OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,REF_TERREINVERLICHTING_PUIC,GELDIG_VANAF,PUBLICATIEDATUM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,LATITUDE,LONGITUDE
19,487bfed9-e590-46d3-9ee5-033168a202fc,,60,Bestaand,,,db96db29-340c-4b14-90d9-7c4f616dfb4e,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,502,b,502,502_b,Meppel,100.933088,"100,933088",31.336938,"31,336938",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Drenthe,35,ASSET Rail,209864.705,523160.923,52.69309747,6.19873324
20,c9f3767e-0217-4f3d-9dbd-12e982dbb692,,60,Bestaand,,,db96db29-340c-4b14-90d9-7c4f616dfb4e,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,502,b,502,502_b,Meppel,101.092237,"101,092237",11.568797,"11,568797",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Drenthe,35,ASSET Rail,209875.271,523323.416,52.69455659,6.19891651
21,fb6301f3-0cca-4a9f-9a39-1f7eca9b1872,,60,Bestaand,,,db96db29-340c-4b14-90d9-7c4f616dfb4e,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,502,b,502,502_b,Meppel,100.42059,"100,420590",17.413312,"17,413312",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Drenthe,35,ASSET Rail,209757.898,522660.503,52.68861136,6.19707063
22,951c6800-b344-48da-92cb-fd7b6c4ae88c,,60,Bestaand,,2020/11/05 00:00:00+00,b290fcb6-1c37-48e3-a854-9d53326d2f52,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,0.801137,"0,801137",13.617345,"13,617345",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,201707.662,501130.259,52.49587858,6.07498948
23,87309b24-1fb6-4926-ab69-310205eaa7c7,,60,Bestaand,,2020/11/05 00:00:00+00,b290fcb6-1c37-48e3-a854-9d53326d2f52,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,0.726425,"0,726425",35.072303,"35,072303",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,201694.712,501047.933,52.49513984,6.07478729
24,075833f1-fc2a-4f0e-a994-d914a24ce440,,60,Bestaand,,2020/11/05 00:00:00+00,9d9aa5ed-07c0-44bb-aac9-7f5ee54ebec7,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,3.730729,"3,730729",-36.446883,"-36,446883",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,203604.379,501714.298,52.50096187,6.10300206
25,859f8ba1-5b85-4211-b3f1-0785b2245757,,60,Bestaand,,2020/11/05 00:00:00+00,522913d3-d074-44eb-928e-862e8c6130d6,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,0.922179,"0,922179",-25.458,"-25,458000",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,201715.077,501260.439,52.49704785,6.07511688
26,a95a7e56-637b-40a0-b355-bd5abbdba813,,60,Bestaand,,2020/11/05 00:00:00+00,522913d3-d074-44eb-928e-862e8c6130d6,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,1.003698,"1,003698",-30.364098,"-30,364098",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,201733.844,501338.971,52.497752,6.07540422
27,f971c2b1-f7a0-414a-9576-89db1da6511a,,60,Bestaand,,2020/11/05 00:00:00+00,522913d3-d074-44eb-928e-862e8c6130d6,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,1.099785,"1,099785",-21.330077,"-21,330077",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,201762.497,501431.565,52.49858167,6.0758391
28,6b719dc1-cb91-47f6-9165-60b6a1a783af,,60,Bestaand,,2020/11/05 00:00:00+00,522913d3-d074-44eb-928e-862e8c6130d6,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,1.154839,"1,154839",-21.369903,"-21,369903",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,201779.134,501485.853,52.49906812,6.07609169
29,41ab1104-4529-4bb9-9716-ecf5d39382d7,,60,Bestaand,,2020/11/05 00:00:00+00,522913d3-d074-44eb-928e-862e8c6130d6,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,1.052252,"1,052252",-25.959269,"-25,959269",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,201748.166,501385.793,52.49817155,6.07562166
30,e8a5dff9-feea-44e8-8cc9-349772c02141,,60,Bestaand,,2020/11/05 00:00:00+00,968c3d19-5214-4480-b802-949267adfc7f,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,2.368845,"2,368845",18.808769,"18,808769",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,202409.278,502345.345,52.50673788,6.08549283
31,233ae361-93a5-4af2-8cbb-4784d58df8a9,,60,Bestaand,,2020/11/05 00:00:00+00,968c3d19-5214-4480-b802-949267adfc7f,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,2.397818,"2,397818",21.203837,"21,203837",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,202436.916,502336.475,52.50665577,6.08589861
32,4aa1969f-13b0-4ea5-bee8-2f12be44064d,,60,Bestaand,,2020/11/05 00:00:00+00,968c3d19-5214-4480-b802-949267adfc7f,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,2.339425,"2,339425",17.65489,"17,654890",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,202382.391,502351.415,52.50679476,6.08509771
33,e8de5437-e22d-406f-98f1-5fa340038fae,,60,Bestaand,,2020/11/05 00:00:00+00,968c3d19-5214-4480-b802-949267adfc7f,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,2.310875,"2,310875",17.650544,"17,650544",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,202353.543,502354.786,52.50682755,6.08467332
34,18f7fc7f-788a-4a40-8758-7217c34ffaad,,60,Bestaand,,2020/11/05 00:00:00+00,968c3d19-5214-4480-b802-949267adfc7f,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,2.187093,"2,187093",18.466476,"18,466476",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,202237.62,502344.819,52.50674801,6.08296461
35,fac0bc90-a36c-47ed-b9d1-06387c76a4e3,,60,Bestaand,,2020/11/05 00:00:00+00,968c3d19-5214-4480-b802-949267adfc7f,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,2.126767,"2,126767",19.297532,"19,297532",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,202182.009,502326.291,52.50658631,6.08214296
36,39282300-c7b0-4af6-9c04-f7c06d04931e,,60,Bestaand,,2020/11/05 00:00:00+00,968c3d19-5214-4480-b802-949267adfc7f,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,2.038625,"2,038625",19.004271,"19,004271",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,202109.768,502285.696,52.50622772,6.08107328
37,2a387539-65c4-4bc4-979d-6f5b37c75af6,,60,Bestaand,,2020/11/05 00:00:00+00,968c3d19-5214-4480-b802-949267adfc7f,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,1.952205,"1,952205",9.670588,"9,670588",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,202044.111,502226.883,52.50570484,6.08009802
38,19c2c54a-4586-4a45-a377-3b83bc772720,,60,Bestaand,,2020/11/05 00:00:00+00,968c3d19-5214-4480-b802-949267adfc7f,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,1.892733,"1,892733",12.871069,"12,871069",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,202008.987,502179.995,52.50528649,6.07957412
39,9e43b502-f1c3-4713-b964-bd46a0daf259,,60,Bestaand,,2020/11/05 00:00:00+00,968c3d19-5214-4480-b802-949267adfc7f,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,1.818145,"1,818145",13.822676,"13,822676",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,201974.141,502116.957,52.50472298,6.07905206
40,0304d6ca-d78c-46fd-a55d-492e64a007aa,,60,Bestaand,,2020/11/05 00:00:00+00,68dba805-ecd8-404e-adbe-70d964ebfef4,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,014,,14,014__,Zwolle - Herfte Aansl.,76.908921,"76,908921",5.371139,"5,371139",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,205884.88,502155.032,52.50471505,6.13665134
41,3d062857-e317-4478-b340-fb6d153e9441,,60,Bestaand,,2020/11/05 00:00:00+00,68dba805-ecd8-404e-adbe-70d964ebfef4,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,014,,14,014__,Zwolle - Herfte Aansl.,76.932038,"76,932038",5.256533,"5,256533",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,205903.723,502168.745,52.50483653,6.13693093
42,769949c1-bfaa-4084-af17-c88c7a2ddbcb,,60,Bestaand,,2020/11/05 00:00:00+00,68dba805-ecd8-404e-adbe-70d964ebfef4,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,014,,14,014__,Zwolle - Herfte Aansl.,76.931365,"76,931365",-5.614798,"-5,614798",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,205896.819,502177.17,52.50491289,6.13683054
43,0e10cbff-0164-4933-9e82-9c53de05d9e4,,60,Bestaand,,2020/11/05 00:00:00+00,68dba805-ecd8-404e-adbe-70d964ebfef4,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,014,,14,014__,Zwolle - Herfte Aansl.,76.956728,"76,956728",5.190494,"5,190494",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,205923.882,502183.346,52.50496587,6.13723004
44,13d46d6a-4ef1-4847-a483-97029c4ab797,,60,Bestaand,,2020/11/05 00:00:00+00,68dba805-ecd8-404e-adbe-70d964ebfef4,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,014,,14,014__,Zwolle - Herfte Aansl.,76.981591,"76,981591",5.1227,"5,122700",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,205944.181,502198.05,52.50509612,6.13753123
45,3855a684-3223-4cb2-bcfb-538f2c60ff05,,60,Bestaand,,2020/11/05 00:00:00+00,68dba805-ecd8-404e-adbe-70d964ebfef4,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,014,,14,014__,Zwolle - Herfte Aansl.,76.981321,"76,981321",-5.668448,"-5,668448",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,205937.653,502206.647,52.50517399,6.1374364
46,68848dba-71bc-4c0c-a371-22c0e63964d8,,60,Bestaand,,2020/11/05 00:00:00+00,68dba805-ecd8-404e-adbe-70d964ebfef4,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,602,b,602,602_b,Herfte Aansl.,77.006392,"77,006392",5.168982,"5,168982",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,205964.488,502212.649,52.50522542,6.13783252
47,afd4ea41-1b1d-4780-b074-0eaa2fb74423,,60,Bestaand,,2020/11/05 00:00:00+00,68dba805-ecd8-404e-adbe-70d964ebfef4,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,602,b,602,602_b,Herfte Aansl.,77.031191,"77,031191",5.240432,"5,240432",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,205984.726,502227.253,52.50535478,6.1381328
48,2506153d-194e-4177-83a4-e9c794b3f87b,,60,Bestaand,,2020/11/05 00:00:00+00,68dba805-ecd8-404e-adbe-70d964ebfef4,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,602,b,602,602_b,Herfte Aansl.,77.056111,"77,056111",-5.500511,"-5,500511",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,205998.71,502250.678,52.50556398,6.13834233
49,a893ed1f-83fd-4453-8465-a6446eb2de78,,60,Bestaand,,2020/11/05 00:00:00+00,68dba805-ecd8-404e-adbe-70d964ebfef4,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,602,b,602,602_b,Herfte Aansl.,77.05608,"77,056080",5.328275,"5,328275",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,206005.047,502241.897,52.50548448,6.13843431
50,e3717160-4fe4-4dcc-898d-9ec6690bf622,,60,Bestaand,,2020/11/05 00:00:00+00,68dba805-ecd8-404e-adbe-70d964ebfef4,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,602,b,602,602_b,Herfte Aansl.,77.080978,"77,080978",5.354572,"5,354572",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,206025.339,502256.596,52.50561468,6.1387354
51,61ad82aa-026c-4233-a4ed-e65d341367e3,,60,Bestaand,,2020/11/05 00:00:00+00,68dba805-ecd8-404e-adbe-70d964ebfef4,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,602,b,602,602_b,Herfte Aansl.,77.105713,"77,105713",5.433444,"5,433444",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,206045.512,502271.16,52.50574368,6.13903473
52,74567217-4ce0-4a7b-9e39-71be07c8594a,,60,Bestaand,,2020/11/05 00:00:00+00,d6da1dd6-51c4-4503-98f3-fa84bfa4bf2d,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,1.379888,"1,379888",-10.685436,"-10,685436",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,201844.774,501699.159,52.50097943,6.0770882
53,c675f803-30d4-4634-8194-9f3be0d4bbab,,60,Bestaand,,2020/11/05 00:00:00+00,d6da1dd6-51c4-4503-98f3-fa84bfa4bf2d,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,1.476313,"1,476313",-1.071711,"-1,071711",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,201873.323,501792.251,52.50181358,6.07752168
54,fc0ac2dc-8341-4ab1-b248-1db6d3213938,,60,Bestaand,,2020/11/05 00:00:00+00,7867e45d-952f-48d4-8236-5367d786537f,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,2.582481,"2,582481",35.04019,"35,040190",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,202584.345,502243.116,52.50580396,6.0880566
55,f554a2a6-44d9-4dc0-807b-b03fee9285db,,60,Bestaand,,2020/11/05 00:00:00+00,7867e45d-952f-48d4-8236-5367d786537f,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,2.552774,"2,552774",30.19389,"30,193890",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,202562.49,502262.26,52.5059779,6.08773746
56,d19b3a2f-2e36-4edf-bf8f-4029612d67a3,,60,Bestaand,,2020/11/05 00:00:00+00,7867e45d-952f-48d4-8236-5367d786537f,2022/12/21 18:01:08+00,,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,2.487956,"2,487956",28.730693,"28,730693",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,202511.981,502293.612,52.50626405,6.08699805
57,e781f2b3-5d2a-4d0e-83bf-9bb1053878de,,60,Bestaand,,2020/11/05 00:00:00+00,6b637180-e47e-44ed-bfaa-89349129bf9b,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,602,b,602,602_b,Herfte Aansl.,77.48585,"77,485850",60.83996,"60,839960",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,206368.673,502485.29,52.50763771,6.14382698
