FID,vrt_code,vrtnaam,haven_vaar,meetpunt,plaatsnaam,bunkerboot,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
bunkerstation.20,233y4,Vissershaven te IJmuiden,,1.146,IJmuiden,Yes,,15116,,,POINT (52.45829999799997 4.594400000000007)
bunkerstation.21,111,Oude Maas,,1.5,Zwijndrecht,No,,15834,,,POINT (51.81560000000002 4.659200001999977)
bunkerstation.22,059,Houkesloot,,3.046,Sneek,No,,16603,,,POINT (53.02650000199998 5.681299998999975)
bunkerstation.23,124a,Donge en Noordergat,,1.756,Geertruidenberg,Yes,,17497,,,POINT (51.706399999999974 4.864599999000006)
bunkerstation.24,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,76,Zaltbommel,Yes,,17990,,,POINT (51.816300001 5.249799999999993)
bunkerstation.25,111,Oude Maas,,3.1,Zwijndrecht,Yes,,20090,,,POINT (51.804099999000016 4.636100001999978)
bunkerstation.26,236,"Zaan, Tap- of Tochtsloot, Markervaart en Alkmaardermeer",,5.316,Koog aan de Zaan,No,,21207,,,POINT (52.46090000100003 4.812800001000028)
bunkerstation.27,111,Oude Maas,,1.8,Zwijndrecht,Yes,,21271,,,POINT (51.81329999899998 4.651200000000017)
bunkerstation.28,226b,Gekanaliseerde Hollandsche IJssel (beoosten Gouda),,15.01,Montfoort,No,,21603,,,POINT (52.044199999 4.943799999000021)
bunkerstation.29,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,9.9,Millingen aan de Rijn,Yes,,21892,,,POINT (51.870200001 6.043000000999996)
bunkerstation.30,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,105.2,Neder-Hardinxveld,Yes,,22015,,,POINT (51.81989999899997 4.846099998999989)
bunkerstation.31,131g1,Havens van Breskens,,0.643,Breskens,Yes,,22184,,,POINT (51.396499999000014 3.5665000010000085)
bunkerstation.32,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,115.9,Papendrecht,Yes,,23843,,,POINT (51.82339999800001 4.694699999000022)
bunkerstation.33,110,Wantij en Otterkanaal,,1.367,Dordrecht,Yes,,23919,,,POINT (51.817000001999986 4.69240000100001)
bunkerstation.34,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,46.7,Weert,No,,23980,,,POINT (51.216999999999985 5.584399997999981)
bunkerstation.35,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,5,Maastricht,Yes,,25487,,,POINT (50.853999998000006 5.695099997999989)
bunkerstation.36,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,9.8,Millingen aan de Rijn,Yes,,26631,,,POINT (51.86970000000002 6.045000001999995)
bunkerstation.37,138f,Haven van Zierikzee,,3.165,Zierikzee,Yes,,27326,,,POINT (51.646799999999985 3.9197999979999736)
bunkerstation.38,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,40.965,Maasbracht,No,,27771,,,POINT (51.146000001999994 5.882100001000026)
bunkerstation.39,076a,Industriehaven te Hoogeveen,,1.526,Hoogeveen Yachting,No,,28703,,,POINT (52.728399998999976 6.496800001999986)
bunkerstation.40,024,Buitenhavens Harlingen,,2.3,Harlingen,Yes,,28968,,,POINT (53.183699999 5.422600000999978)
bunkerstation.41,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,116.1,Dordrecht,Yes,,28988,,,POINT (51.821199998 4.692699999000013)
bunkerstation.42,225,Amsterdam-Rijnkanaal,,0.937,Amsterdam,Yes,,29789,,,POINT (52.37389999999999 4.954999998000005)
bunkerstation.43,060,Lemmer - Delfzijl,,75.7,Fonejacht,Yes,,30147,,,POINT (53.16239999999999 5.932300000999987)
bunkerstation.44,034b,Eernewoudsterwijd,,0.384,Eernewoude,No,,30932,,,POINT (53.128899999 5.939199998999982)
bunkerstation.45,909,Stapelloophaven Heusden,,0.725,Heusden,Yes,,31537,,,POINT (51.73950000100001 5.151000001)
bunkerstation.46,056,Vaarweg van het Johan Frisokanaal (ten oosten van Heeg) naar Bolsward,,13.973,Bolsward,No,,31922,,,POINT (53.06109999900002 5.518399998999996)
bunkerstation.47,075,Drentsche Hoofdvaart,,21.881,Dieverbrug,No,,32663,,,POINT (52.848099999 6.342700001000026)
bunkerstation.48,020,Noord-Willemskanaal,,17.105,De Punt,No,,33641,,,POINT (53.121500000000026 6.604800001000001)
bunkerstation.49,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,4.8,Tolkamer,Yes,,37028,,,POINT (51.849599997999974 6.1071999999999775)
bunkerstation.50,087,Stadsgrachten en havens te Zwolle,,1.855,Zwolle,Yes,,37832,,,POINT (52.514400002 6.0909999979999725)
bunkerstation.51,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,9.1,Millingen aan de Rijn,Yes,,38366,,,POINT (51.8682 6.055500000999984)
bunkerstation.52,244,Vaarweg Stolpen-Schagen-Kolhorn-Medemblik-IJsselmeer,,11.36,Kolhorn,No,,39608,,,POINT (52.794799997999974 4.891100000999984)
bunkerstation.53,208,Buitenhaven en Oude Haven te Vlaardingen,,0.512,Vlaardingen,,,42135,,,POINT (51.901999999 4.347699999999975)
bunkerstation.54,225,Amsterdam-Rijnkanaal,,1.237,Amsterdam,Yes,,42621,,,POINT (52.37130000100001 4.956200000000024)
bunkerstation.55,105a,"Linge, vanaf de mond van het Kanaal van Steenenhoek tot de Boven Merwede",,0.208,Gorinchem,No,,42714,,,POINT (51.833500001999994 4.978000000000009)
bunkerstation.56,037,Vaarweg van Het Deel langs Akkrum en Gorredijk naar de Drentsche Hoofdvaart,,1.356,Akkrum,No,,43254,,,POINT (53.050099999 5.826699997999981)
bunkerstation.57,117,Vaarweg van het Hollandsch Diep via de Goereesesluis naar de Noordzee,,32.197,Stellendam,Yes,,43358,,,POINT (51.82270000099999 4.041800000000023)
bunkerstation.58,631,Farmsumerhaven,,0.288,Farnsum,,,45393,,,POINT (53.31509999899998 6.928699999999992)
bunkerstation.59,137,Kanaal door Zuid-Beveland,,7.861,Reimerswaal,Yes,,45814,,,POINT (51.46119999899997 4.00780000200001)
bunkerstation.60,211,Hollandsche IJssel,,19.417,Capelle aan den IJssel,Yes,,46563,,,POINT (51.90859999899999 4.563800000000015)
bunkerstation.61,201,Vaarweg vanaf de Oude-Wetering via Leiden en Delft naar Rotterdam,,26.463,Leidschendam,No,,46704,,,POINT (52.08100000000002 4.400199998000005)
bunkerstation.62,115,Hartelkanaal,,0.762,Rotterdam,Yes,,46803,,,POINT (51.866300002 4.322500002000027)
bunkerstation.63,134a,Havens van Middelburg,,0.084,"Middelburg, Jos Boone",No,,46980,,,POINT (51.499299999000016 3.625300001000028)
bunkerstation.64,212,Vaarweg van het Afgesloten-IJ naar de Oude Rijn,,32.7,Woubrugge,No,,48908,,,POINT (52.18030000099998 4.6319000010000195)
bunkerstation.65,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,59.7,Roeven,No,,49373,,,POINT (51.272399999000015 5.748100001000012)
bunkerstation.66,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,115.4,Nieuw-Lekkerland,No,,49729,,,POINT (51.89319999899999 4.689300000999992)
bunkerstation.67,134,Kanaal door Walcheren,,2.481,Vlissingen,Yes,,49935,,,POINT (51.44770000099999 3.5852999989999716)
bunkerstation.68,027,Vaarweg van de Slenk (Lauwersmeer) naar Leeuwarden,,40.422,Leeuwarden,No,,50403,,,POINT (53.216800001000024 5.807300000999987)
bunkerstation.69,201,Vaarweg vanaf de Oude-Wetering via Leiden en Delft naar Rotterdam,,38.201,Delft,Yes,,50575,,,POINT (52.00310000000002 4.362500001000001)
bunkerstation.70,768,Vissershaven te Lauwersoog,,0.944,Lauwersoog,Yes,,50609,,,POINT (53.410300001999985 6.211599997999997)
bunkerstation.71,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,110.117,Kampen,Yes,,50747,,,POINT (52.568899999999985 5.899000000000001)
bunkerstation.72,1128,Vluchthaven Zijpe-Zijpe,,0.663,Bruinisse,Yes,,50760,,,POINT (51.651999999 4.098299999000005)
bunkerstation.73,126,Mark en Dintel,,37.902,Dinteloord,Yes,,50959,,,POINT (51.65760000099999 4.370499998000014)
bunkerstation.74,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,48.3,Druten,Yes,,51760,,,POINT (51.90069999899998 5.5634000000000015)
bunkerstation.75,044,Vaarweg van het Prinses Margrietkanaal naar de Ossenzijlersloot,,8.84,Echtenerbrug,No,,52025,,,POINT (52.87310000100001 5.823600001999978)
bunkerstation.76,050a,Stadsbuitengracht Stavoren,,0.3,Stavoren,No,,52369,,,POINT (52.88149999799998 5.363200000999996)
bunkerstation.77,114,Scheepvaartkanaal en Voedingskanaal en Brielse Meer,,10.024,Zwartewaal,No,,52844,,,POINT (51.89499999999998 4.213900000000024)
bunkerstation.78,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,27.1,Nijmegen,Yes,,53805,,,POINT (51.85220000100003 5.85179999799999)
bunkerstation.79,046,"Havens te Lemmer, Zijlroede en Stroomkanaal",,5.36,Lemmer,No,,54037,,,POINT (52.847399998000014 5.697400000000016)
bunkerstation.80,201,Vaarweg vanaf de Oude-Wetering via Leiden en Delft naar Rotterdam,,6.131,Buitenkaag,No,,54255,,,POINT (52.21889999899997 4.559099998000022)
bunkerstation.81,233,"Noordzeekanaal, Afgesloten-IJ en Buiten-IJ",,25.378,Amsterdam,Yes,,54436,,,POINT (52.382300000999976 4.944699999000022)
bunkerstation.82,202,Vaarweg Noordzeekanaal-Spaarne-Kagerplassen,,7.9,Haarlem,No,,55856,,,POINT (52.385400000999994 4.645699999999977)
bunkerstation.83,1135,"Willemstad, haven te",,0.477,Willemstad,No,,57012,,,POINT (51.69570000099998 4.442799999999977)
bunkerstation.84,050,Johan Frisokanaal,,4.3,Warns,No,,57254,,,POINT (52.88529999899998 5.404800002000002)
bunkerstation.85,233,"Noordzeekanaal, Afgesloten-IJ en Buiten-IJ",,27.954,Schellingwoude,Yes,,57843,,,POINT (52.372900001999994 4.976599998999973)
bunkerstation.86,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,59.083,Wijk bij Duurstede,Yes,,58377,,,POINT (51.96900000099998 5.35110000100002)
bunkerstation.87,00001,Donau,,0,,,,1268108,,,POINT (48.347500000000025 16.210900001000027)
bunkerstation.88,00001,Donau,,0,,,,1268143,,,POINT (48.29540000100002 14.333399999999983)
bunkerstation.89,00001,Donau,,0,,,,1268247,,,POINT (48.220500000000015 16.41360000100002)
bunkerstation.90,00001,Donau,,0,,,,1268257,,,POINT (48.397100002 15.56940000100002)
bunkerstation.91,00001,Donau,,0,,,,1268340,,,POINT (48.331999999000004 16.330200002000026)
bunkerstation.92,00001,Donau,,0,,,,1268415,,,POINT (48.23319999900002 16.397100002000002)
bunkerstation.93,00001,Donau,,0,,,,1268460,,,POINT (48.16939999900001 14.70919999900002)
bunkerstation.94,00001,Donau,,0,,,,1268514,,,POINT (48.424199998000006 13.868600000000015)
bunkerstation.95,00001,Donau,,0,,,,1268529,,,POINT (48.23700000000002 14.514800001000026)
bunkerstation.96,041,Zijlroede naar Joure,,2.234,Joure,No,,5980280,,,POINT (52.970699998999976 5.791099998999982)
bunkerstation.97,1072,Madroelhaven,,0.651,Rotterdam,Yes,,7069426,,,POINT (51.894200001 4.379700001000003)
bunkerstation.98,910,Prins Mauritshaven,,0.384,Wessem,No,,7617584,,,POINT (51.15619999900002 5.880600001999994)
bunkerstation.99,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,41.255,Maasbracht,No,,7617743,,,POINT (51.14820000200001 5.8843000009999855)
bunkerstation.100,034e,Nieuwe Drait,,0.8,Drachten,No,,19820554,,,POINT (53.10210000000001 6.044500001000017)
bunkerstation.101,152a7,Zuidplas,,2.3,Roermond,No,,20885538,,,POINT (51.19599999899998 5.968099999999993)
bunkerstation.102,111,Oude Maas,,1.5,Zwijndrecht,No,,22401758,,,POINT (51.81509999899998 4.6534999979999725)
