gebouwnummer;aantal_adressen_in_pand;adressen;bouwjaar;gebouwstatus;max_huisnr;max_postcode;max_straatnaam;max_woonplaats;min_huisnr;min_postcode;min_straatnaam;min_woonplaats;status_id;verdeeld_over_aantal_straten;geometrie
0479100000000013;1;Dorpsstraat 11 B;2003;Pand in gebruik;11;1566AA;Dorpsstraat;Assendelft;11;1566AA;Dorpsstraat;Assendelft;11;1;MULTIPOLYGON(((109742.721 494912.165,109757.079134017 494924.703406849,109771.339 494937.156,109780.539366217 494926.253272522,109782.937 494923.412,109802.848 494940.062,109822.607 494956.621,109715.348 495084.606,109695.589 495068.047,109656.066 495034.919,109746.149 494927.352,109728.571 494912.632,109719.227 494912.79,109719.227116426 494912.794989696,109699.563 494913.138,109700.256 494951.496,109668.175 494951.843,109626.241 494952.511,109536.699 494953.871,109536.78 494958.12,109517.155 494957.597,109516.376 494911.931,109515.038 494911.947,109494.608 494912.276,109493.545 494848.552,109493.201 494828.65,109493.007 494816.194,109521.611 494815.749,109675.561 494813.438,109739.943 494812.291,109742.721 494912.165)))
0479100000000014;;Pand zonder adres;2010;Pand in gebruik;;;;;;;;;11;;MULTIPOLYGON(((110825.661 496474.694,110825.594 496474.675,110835.514 496439.495,110838.468 496440.315,110842.174 496426.916,110833.529 496424.496,110837.563 496410.152,110861.116 496416.777,110860.81 496417.906,110862.67 496418.439,110865.681 496407.651,110880.015 496411.658,110879.176 496414.702,111079.689 496471.1,111058.978 496544.733,111012.774 496531.737,111001.333 496572.2,111001.447 496572.225,110992.119 496605.357,110930.298 496588.022,110868.508 496570.726,110869.139 496568.61,110853.279 496564.156,110855.818 496555.259,110855.976 496554.542,110848.304 496552.41,110851.355 496541.617,110852.222 496541.862,110852.755 496539.957,110851.897 496539.716,110851.99 496539.353,110856.469 496523.422,110875.193 496528.686,110875.708 496526.857,110819.169 496511.02,110818.137 496514.698,110809.905 496512.388,110819.649 496477.68,110824.444 496479.026,110825.661 496474.694)))
0479100000000015;24;Samsonweg 11 t/m Samsonweg 9;2001;Pand in gebruik;39;1521RA;Samsonweg;Wormerveer;5;1521RA;Samsonweg;Wormerveer;11;1;MULTIPOLYGON(((113719.519 502066.719,113718.77 502063.086,113719.005 502063.038,113717.551 502056.173,113722.496983 502053.433684,113727.606392 502051.012829,113732.858749 502048.920139,113738.233 502047.164,113743.501409 502045.800557,113748.8426 502044.758066,113754.23704 502044.040338,113759.665 502043.65,113763.505745 502043.568412,113767.346301 502043.658472,113771.179 502043.92,113772.845 502052.021,113788.822 502129.431,113790.085 502129.17,113790.057 502129.033,113806.549 502125.597,113806.6 502125.842,113819.444 502123.196,113819.394 502122.951,113850.172 502116.656,113850.191 502116.754,113851.328 502116.521,113851.289 502116.272,113861.368 502114.185,113859.826 502106.782,113896.997 502099.09,113898.55 502106.483,113908.633 502104.406,113908.694 502104.7,113909.801 502104.472,113909.782 502104.384,113933.41 502099.403,113933.438 502099.541,113946.429 502096.878,113946.4 502096.74,113969.971 502091.868,113970.015 502092.083,113971.187 502091.84,113947.691 501978.037,113952.705815 501975.532611,113957.866234 501973.343909,113963.152407 501971.479315,113968.544 501969.946,113974.042685 501968.753208,113979.605403 501967.907952,113985.210211 501967.413566,113990.835 501967.272,113994.483452 501967.378499,113998.124247 501967.63765,114001.751 501968.049,114003.191 501974.956,114003.426 501974.907,114004.168 501978.531,114015.732 501976.118,114015.706 501976,114020.085 501975.103,114020.095 501973.69,114020.763 501971.695,114022.078 501970.092,114023.813 501969.027,114025.853 501968.602,114027.985 501968.891,114029.779 501969.876,114031.168 501971.468,114031.947 501973.461,114033.956 501999.271,114021.112 502001.956,114021.138 502002.082,114009.501 502004.478,114012.135 502017.156,114023.773 502014.756,114023.801 502014.893,114035.032 502012.575,114037.428 502042.678,114029.88 502044.239,114029.904 502044.358,114018.241 502046.744,114018.483 502047.918,114018.346 502047.946,114019.308 502052.619,114019.445 502052.591,114020.865 502059.5,114028.907 502057.815,114028.933 502057.944,114038.489 502055.999,114043.111 502114.51,114043.153 502116.521,114042.52 502118.445,114041.255 502120.087,114039.429 502121.201,114037.414 502121.607,114035.357 502121.343,114033.487 502120.327,114032.125 502118.755,114031.36 502116.815,114030.274 502111.559,114030.145 502111.586,114029.24 502107.145,114016.703 502109.702,114021.808 502134.409,113920.27 502155.367,113920.236 502155.21,113891.1 502161.219,113889.807 502161.486,113860.698 502167.489,113860.731 502167.645,113759.175 502188.614,113754.122 502163.928,113740.016 502166.858,113734.308 502139.353,113734.494 502139.314,113727.756 502106.647,113727.511 502105.462,113719.752 502067.845,113719.519 502066.719)))
0479100000000016;1;Heijermansstraat 78;1987;Pand in gebruik (niet ingemeten);78;1502DR;Heijermansstraat;Zaandam;78;1502DR;Heijermansstraat;Zaandam;10;1;MULTIPOLYGON(((116855.120565 496187.328263,116859.073 496163.683,116859.611 496163.773,116859.513638 496164.355204,116891.708 496169.742,116892.79958 496163.217346,116888.835 496162.555,116890.967841 496149.782208,116895.031551 496150.460931,116895.317 496148.75,116894.584041 496148.627155,116894.635 496148.321,116907.957 496150.533,116904.411596 496171.867112,116921.615 496174.723,116925.138 496153.41,116938.542214 496155.625762,116938.488396 496155.951344,116937.728704 496155.825768,116937.449 496157.536,116941.325 496158.185,116939.202 496170.871,116936.129566 496170.447917,116935.042734 496176.959832,116949.238 496179.338,116952.63 496179.94,116948.99 496202.06,116949.62 496202.2,116949.41 496202.9,116946.738 496202.479,116932.742 496200.274,116891.718262 496193.427075,116891.642764 496193.880837,116886.199 496192.975,116886.275 496192.521,116855.120565 496187.328263)))
0479100000000017;6;Stormhoek 39 t/m Stormhoek 49;1960;Pand in gebruik (niet ingemeten);49;1506SW;Stormhoek;Zaandam;39;1506SW;Stormhoek;Zaandam;10;1;MULTIPOLYGON(((116413.55 493629.54,116384.243738 493635.917057,116384.746986902 493638.213127742,116384.953000044 493639.113999989,116384.939456978 493640.177180922,116384.52000003 493641.140000018,116384.192000033 493641.544000032,116383.678999957 493641.984999934,116382.53 493642.49,116383.19 493645.41,116383.695 493645.315,116384.408 493645.201000021,116384.948592538 493645.246755865,116385.410537139 493645.388666368,116385.898257757 493645.662750263,116386.312318541 493646.034424909,116386.457335016 493646.216933557,116386.612690519 493646.464844574,116386.81 493646.95,116390.65 493664.46,116382.417 493666.271,116391.9 493709.409,116361.799517 493716.0942,116340.441632896 493619.17838354,116369.837521 493612.700215,116370.931492 493617.661024,116382.874543 493615.027311,116383.758427 493619.035448,116391.83 493617.3,116390.338806 493610.479654,116408.535189 493606.499192,116413.55 493629.54)))
0479100000000018;;Pand zonder adres;1920;Pand in gebruik;;;;;;;;;11;;MULTIPOLYGON(((113145.949 500746.433,113143.792 500746.83,113143.092 500746.959,113143.226 500747.687,113142.82 500747.762,113142.759 500747.432,113137.064 500748.48,113137.461 500750.592,113124.439 500753.04,113124.087 500751.181,113123.939 500750.377,113116.189 500751.803,113116.77 500754.96,113115.769 500755.6,113096.19 500759.159,113095.54 500755.586,113083.7 500757.74,113043.26 500765.26,113043.27 500765.37,113020.12 500769.66,112973.633 500778.287,112949.042 500782.789,112939.911 500732.922,112957.517 500729.683,112957.012 500726.847,112960.339 500726.255,112960.844 500729.091,112964.782 500728.39,112995.784 500722.683,113000 500721.914,113010.94 500719.99,113033.71 500715.8,113033.47 500714.51,113025.95 500715.91,113025.73 500714.71,113022.95 500715.2,113023.18 500716.43,113000 500720.692,112998.892 500720.897,112985.392 500647.963,113009.756 500643.517,113009.986 500644.747,113012.64 500644.25,113012.41 500643.02,113026.69 500640.39,113053.275 500635.448,113053.519 500636.776,113055.191 500636.469,113054.947 500635.141,113068.473 500632.653,113068.732 500634.059,113070.304 500633.758,113070.038 500632.312,113119.96 500623.241,113119.663 500621.608,113120.017 500621.544,113120.269 500622.931,113129.641 500621.198,113129.389 500619.811,113129.733 500619.748,113129.985 500621.135,113133.368 500620.511,113133.116 500619.124,113133.431 500619.066,113133.683 500620.453,113153.131 500616.848,113152.879 500615.461,113153.203 500615.404,113156.448 500633.149,113157.486 500632.959,113159.551 500644.248,113158.272 500644.482,113147.644 500646.425,113148.549 500651.371,113152.27 500650.691,113154.109 500660.751,113161.027 500659.485,113161.81 500663.764,113164.148 500676.545,113157.16 500677.823,113159.87 500692.64,113169.713 500690.829,113185.36 500687.949,113194.506 500737.645,113171.014 500741.968,113170.988 500741.825,113145.949 500746.433)))
0479100000000019;1;Kleine Tocht 44;1987;Pand in gebruik;44;1507CA;Kleine Tocht;Zaandam;44;1507CA;Kleine Tocht;Zaandam;11;1;MULTIPOLYGON(((115575.397 493739.698,115580.63 493740.671,115559.831 493852.51,115568.386 493854.101,115563.109 493882.475,115440.1 493859.598,115455.83 493775.01,115466.2 493719.39,115480.685 493641.325,115567.681 493657.477,115567.608 493657.87,115564.058 493657.211,115549.659 493734.911,115564.591 493737.688,115575.397 493739.698)))
0479100000000020;1;Industrieweg 12;1922;Pand in gebruik;12;1566JP;Industrieweg;Assendelft;12;1566JP;Industrieweg;Assendelft;11;1;MULTIPOLYGON(((112992.138495505 500155.558237822,112993.411 500154.386,112996.51 500157.731,112995.241 500158.907,113033.562 500200.268,113000 500231.378,112913.286 500311.719,112909.621 500315.12,112884.221634051 500287.743926953,112883.425908 500291.412591,112876.118886 500289.832722,112878.005421116 500281.043936893,112867.850223729 500270.91105867,112866.166 500272.444,112864.632 500270.76,112865.63 500269.851,112852.305 500255.4,112849.886 500257.644,112822.29 500227.893,112824.709 500225.649,112812.04 500212.08,112915.306459682 500116.342346216,112915.46 500116.2,112969.512989287 500174.471672917,112970.478 500175.512,112992.138495505 500155.558237822)))
0479100000000021;3;Kruisbaken 2 A t/m Rijshoutweg 21;1969;Pand in gebruik;21;1505HS;Rijshoutweg;Zaandam;2;1505HL;Kruisbaken;Zaandam;11;2;MULTIPOLYGON(((118593.638 492880.062,118596.903 492800.259,118655.805 492802.666,118651.935 492892.765,118642.578 492901.363,118592.854 492899.227,118592.849 492899.332,118592.495 492899.317,118592.484 492899.562,118592.234 492899.551,118592.259 492898.986,118461.44 492893.508,118462.249 492874.686,118593.638 492880.062)))
0479100000000022;1;Daalderweg 1;2000;Pand in gebruik;1;1507DS;Daalderweg;Zaandam;1;1507DS;Daalderweg;Zaandam;11;1;MULTIPOLYGON(((114731.494 493253.268,114744.985 493315.571,114749.202 493334.864,114753.127 493352.898,114752.15 493353.112,114751.832 493351.656,114739.702 493354.311,114739.697 493354.351,114739.588 493354.336,114570.82 493391.07,114571.13 493392.495,114570.134 493392.712,114548.436 493293.081,114731.494 493253.268)))
0479100000000023;1;Rijshoutweg 16;1970;Pand in gebruik;16;1505HL;Rijshoutweg;Zaandam;16;1505HL;Rijshoutweg;Zaandam;11;1;MULTIPOLYGON(((118461.695 492912.495,118644.932 492920.184,118648.263 492920.298,118647.14 492951.32,118623.056 492950.478,118622.483 492969.277,118623.462 492969.318,118622.07 493008.099,118428.798 493000.413,118430.504 492940.267,118460.479 492941.47,118461.695 492912.495)))
0479100000000024;1;Grote Tocht 31;1993;Pand in gebruik;31;1507CG;Grote Tocht;Zaandam;31;1507CG;Grote Tocht;Zaandam;11;1;MULTIPOLYGON(((115588.969 493188.583,115588.921 493188.386,115592.252 493187.646,115584.96 493154.596,115580.376 493155.597,115572.413 493119.318,115577.483 493118.183,115577.512 493118.307,115607.661 493111.652,115607.232 493109.637,115612.024 493108.58,115612.459 493110.553,115622.75 493108.312,115621.999 493104.896,115628.353 493103.504,115629.103 493106.922,115631.994 493106.289,115625.489 493076.751,115689.362 493062.655,115692.263 493075.834,115676.78 493079.254,115663.879 493082.106,115664.229 493083.688,115665.864 493083.328,115666.67 493086.948,115665.029 493087.311,115665.405 493089.01,115670.55 493087.875,115673.317773 493092.532804,115675.312297 493097.57042,115676.483149 493102.860486,115676.800726 493108.269261,115676.257 493113.66,115665.62 493116.016,115665.721 493116.527,115661.859 493117.382,115661.747 493116.874,115659.998 493117.271,115661.115 493122.335,115663.451 493132.927,115664.767 493132.627,115665.729 493136.843,115711.967 493126.661,115731.505 493215.535,115727.178 493216.486,115727.55 493218.176,115721.695 493221.939,115719.305 493218.221,115714.547 493219.282,115714.922 493220.95,115709.065 493224.712,115705.87 493221.188,115701.877 493222.087,115702.258 493223.755,115696.37 493227.5,115693.192 493223.985,115689.248 493224.854,115689.589 493226.529,115683.69 493230.277,115680.529 493226.779,115676.529 493227.662,115676.883 493229.286,115670.981 493233.087,115667.796 493229.588,115653.88 493232.659,115651.299 493220.687,115598.646 493232.383,115592.195 493203.182,115590.489 493195.474,115588.969 493188.583)))
0479100000000025;;Pand zonder adres;1950;Pand in gebruik;;;;;;;;;11;;MULTIPOLYGON(((116067.736 497762.276,116088.443 497756.376,116148.656 497739.219,116146.143 497730.16,116156.333 497727.4,116159.095 497736.487,116165.098 497734.822,116167.774 497744.468,116173.806 497742.796,116176.482 497752.441,116182.504 497750.77,116185.176 497760.396,116191.217 497758.719,116204.557 497806.782,116104.605 497834.522,116102.682 497827.594,116038.57 497845.444,116037.513 497841.648,116020.895 497846.184,116010.448 497808.972,116033.156 497802.66,116030.86 497794.476,116048.195 497789.944,116050.415 497798.17,116075.773 497791.345,116072.106 497777.865,116013.11 497793.157,116014.503 497798.478,116007.901 497800.267,116004.615 497787.71,116002.238 497778.676,115999.354 497767.771,116003.582 497766.665,116003.608 497766.658,116003.64 497766.65,116003.676 497766.64,116003.714 497766.63,116003.755 497766.62,116003.797 497766.609,116003.839 497766.598,116028 497760.278,116031.365 497759.397,116064.54 497750.719,116067.736 497762.276)))
