FID,wvk_id,wvk_begdat,afstand,fk_veld1,fk_veld4,ibn,gdb_geomattr_data,shape
lichtmasten_wegvak.25,600147202,2021-10-01T00:00:00,44,060014720220211001,PKK0000085078,I,,POINT (202675.95050000027 535703.1554000005)
lichtmasten_wegvak.26,600147940,2019-02-01T00:00:00,2,060014794020190201,PKK0000085079,I,,POINT (198016.12409999967 544132.3005999997)
lichtmasten_wegvak.27,600147076,2021-10-01T00:00:00,17,060014707620211001,PKK0000085081,I,,POINT (196283.99500000104 547079.0357000008)
lichtmasten_wegvak.28,600147074,2021-10-01T00:00:00,10,060014707420211001,PKK0000085082,I,,POINT (196171.87680000067 546946.0185999982)
lichtmasten_wegvak.29,384503023,2022-04-01T00:00:00,46,038450302320220401,PKK0000085083,I,,POINT (192234.61730000004 551802.1077999994)
lichtmasten_wegvak.30,383506047,2021-10-01T00:00:00,28,038350604720211001,PKK0000085085,I,,POINT (191679.3911000006 553208.5340000018)
lichtmasten_wegvak.31,371524027,2021-10-01T00:00:00,32,037152402720211001,PKK0000085088,I,,POINT (185689.16149999946 562398.2087999992)
lichtmasten_wegvak.32,600144850,2022-04-01T00:00:00,44,060014485020220401,PKK0000085089,I,,POINT (185806.750500001 562509.4112000018)
lichtmasten_wegvak.33,366539014,2022-04-01T00:00:00,65,036653901420220401,PKK0000085092,I,,POINT (183492.82840000093 569450.050999999)
lichtmasten_wegvak.34,600152409,2021-10-01T00:00:00,23,060015240920211001,PKK0000085150,I,,POINT (248960.03200000152 473264.02849999815)
lichtmasten_wegvak.35,600153248,2021-10-01T00:00:00,30,060015324820211001,PKK0000085151,I,,POINT (253209.05169999972 469887.4840000011)
lichtmasten_wegvak.36,506339041,2021-10-01T00:00:00,42,050633904120211001,PKK0000085153,I,,POINT (253139.44429999962 469537.1693999991)
lichtmasten_wegvak.37,477370009,2021-10-01T00:00:00,4,047737000920211001,PKK0000085154,I,,POINT (238502.56549999863 485402.04850000143)
lichtmasten_wegvak.38,480382012,2021-10-01T00:00:00,15,048038201220211001,PKK0000085157,I,,POINT (240144.16000000015 491375.81980000064)
lichtmasten_wegvak.39,600433699,2021-10-01T00:00:00,28,060043369920211001,PKK0000085168,I,,POINT (231330.45820000023 526182.9912)
lichtmasten_wegvak.40,491454093,2021-10-01T00:00:00,1,049145409320211001,PKK0000085169,I,,POINT (245667.80999999866 527268.3759999983)
lichtmasten_wegvak.41,600142727,2021-08-01T00:00:00,312,060014272720210801,PKK0000082793,I,,POINT (181837.99109999835 467802.6035999991)
lichtmasten_wegvak.42,600140383,2021-10-01T00:00:00,4,060014038320211001,PKK0000085316,I,,POINT (173501.2142000012 422026.87040000036)
lichtmasten_wegvak.43,93234018,2021-10-01T00:00:00,12,009323401820211001,PKK0000085368,I,,POINT (46939.32070000097 417300.5927999988)
lichtmasten_wegvak.44,77213016,2021-10-01T00:00:00,5,007721301620211001,PKK0000085369,I,,POINT (38821.62420000136 406545.2688000016)
lichtmasten_wegvak.45,77212016,2021-10-01T00:00:00,305,007721201620211001,PKK0000085370,I,,POINT (38666.16899999976 406719.18400000036)
lichtmasten_wegvak.46,600093776,2021-10-01T00:00:00,0,060009377620211001,PKK0000085371,I,,POINT (38516.324799999595 406485.3016999997)
lichtmasten_wegvak.47,600093775,2021-10-01T00:00:00,0,060009377520211001,PKK0000085372,I,,POINT (38435.31450000033 406399.5698999986)
lichtmasten_wegvak.48,600093774,2021-10-01T00:00:00,0,060009377420211001,PKK0000085372,I,,POINT (38435.59980000183 406385.2771999985)
lichtmasten_wegvak.49,600100935,2021-10-01T00:00:00,19,060010093520211001,PKK0000085455,I,,POINT (54272.18780000135 388505.53449999914)
lichtmasten_wegvak.50,66178092,2021-10-01T00:00:00,15,006617809220211001,PKK0000085462,I,,POINT (33279.95580000058 389086.39719999954)
lichtmasten_wegvak.51,600094031,2021-10-01T00:00:00,12,060009403120211001,PKK0000085467,I,,POINT (33399.430300001055 388866.4195000008)
lichtmasten_wegvak.52,382331012,2021-10-01T00:00:00,6,038233101220211001,PKK0000086181,I,,POINT (191096.1009999998 465989.2441999987)
lichtmasten_wegvak.53,600192570,2022-03-01T00:00:00,31,060019257020220301,PKK0000086218,I,,POINT (174639.85570000112 517493.65249999985)
lichtmasten_wegvak.54,600247174,2021-11-01T00:00:00,107,060024717420211101,PKK0000086223,I,,POINT (221301.05590000004 578038.1262000017)
lichtmasten_wegvak.55,452464039,2021-11-01T00:00:00,17,045246403920211101,PKK0000086261,I,,POINT (226455.17110000178 532414.5155000016)
lichtmasten_wegvak.56,600151983,2021-11-01T00:00:00,258,060015198320211101,PKK0000086262,I,,POINT (226446.12139999866 532489.569699999)
lichtmasten_wegvak.57,600151990,2022-04-01T00:00:00,24,060015199020220401,PKK0000086263,I,,POINT (226569.2837000005 532499.6273000017)
lichtmasten_wegvak.58,600151586,2021-11-01T00:00:00,15,060015158620211101,PKK0000086267,I,,POINT (236651.74720000103 566664.9624999985)
lichtmasten_wegvak.59,472533050,2021-11-01T00:00:00,15,047253305020211101,PKK0000086268,I,,POINT (236389.9637000002 566655.9796999991)
lichtmasten_wegvak.60,600271724,2021-11-01T00:00:00,381,060027172420211101,PKK0000086272,I,,POINT (165355.21920000017 579507.9582000002)
lichtmasten_wegvak.61,600135607,2021-10-01T00:00:00,32,060013560720211001,PKK0000087014,I,,POINT (150366.79179999977 375904.5976999998)
lichtmasten_wegvak.62,600149479,2021-11-01T00:00:00,18,060014947920211101,PKK0000086276,I,,POINT (210565.17799999937 524457.6121000014)
lichtmasten_wegvak.63,491454086,2021-11-01T00:00:00,20,049145408620211101,PKK0000086282,I,,POINT (245913.5962000005 527119.8517000005)
lichtmasten_wegvak.64,511454034,2021-11-01T00:00:00,9,051145403420211101,PKK0000086284,I,,POINT (255679.2490000017 527131.2635999992)
lichtmasten_wegvak.65,600151558,2022-01-01T00:00:00,19,060015155820220101,PKK0000088142,I,,POINT (227569.7606999986 536886.6570999995)
lichtmasten_wegvak.66,600151555,2022-01-01T00:00:00,217,060015155520220101,PKK0000088143,I,,POINT (227348.39570000023 537036.3244000003)
lichtmasten_wegvak.67,455450034,2022-01-01T00:00:00,26,045545003420220101,PKK0000088153,I,,POINT (227557.3925999999 525036.0870000012)
lichtmasten_wegvak.68,600150069,2021-10-01T00:00:00,9,060015006920211001,PKK0000088752,I,,POINT (227424.53090000153 440527.35599999875)
lichtmasten_wegvak.69,447280012,2022-02-01T00:00:00,3804,044728001220220201,PKK0000088752,I,,POINT (227437.4800999984 440530.90900000185)
lichtmasten_wegvak.70,600476904,2022-01-01T00:00:00,50,060047690420220101,PKK0000088205,I,,POINT (154608.12590000033 378399.7622999996)
lichtmasten_wegvak.71,143275053,2022-02-01T00:00:00,423,014327505320220201,PKK0000088756,I,,POINT (71708.82999999821 437601.1030000001)
lichtmasten_wegvak.72,600135716,2022-02-01T00:00:00,16,060013571620220201,PKK0000088781,I,,POINT (152307.5623999983 431650.126699999)
lichtmasten_wegvak.73,600135660,2022-02-01T00:00:00,10,060013566020220201,PKK0000088811,I,,POINT (145703.01000000164 473569.4481000006)
lichtmasten_wegvak.74,290347034,2021-10-01T00:00:00,236,029034703420211001,PKK0000086132,I,,POINT (145686.48050000146 473561.5865999982)
lichtmasten_wegvak.75,600145794,2021-10-01T00:00:00,197,060014579420211001,PKK0000086167,I,,POINT (187449.10429999977 328278.36080000177)
lichtmasten_wegvak.76,367504046,2022-03-01T00:00:00,46,036750404620220301,PKK0000089032,I,,POINT (183833.61780000106 552374.5898000002)
lichtmasten_wegvak.77,368504007,2022-03-01T00:00:00,50,036850400720220301,PKK0000089034,I,,POINT (184112.0824000016 552349.8258000016)
lichtmasten_wegvak.78,308534009,2022-03-01T00:00:00,296,030853400920220301,PKK0000089036,I,,POINT (154717.97250000015 567522.8658999987)
lichtmasten_wegvak.79,309535015,2022-03-01T00:00:00,40,030953501520220301,PKK0000089037,I,,POINT (154782.97069999948 567523.1636999995)
lichtmasten_wegvak.80,600147124,2021-10-01T00:00:00,269,060014712420211001,PKK0000088968,I,,POINT (197749.51399999857 543984.8942000009)
lichtmasten_wegvak.81,600147077,2021-10-01T00:00:00,206,060014707720211001,PKK0000088969,I,,POINT (196319.24020000175 547046.7065000013)
lichtmasten_wegvak.82,600144938,2021-10-01T00:00:00,47,060014493820211001,PKK0000088971,I,,POINT (193683.39970000088 549541.6229000017)
lichtmasten_wegvak.83,600144910,2021-10-01T00:00:00,61,060014491020211001,PKK0000088972,I,,POINT (192351.43050000072 551949.6559000015)
lichtmasten_wegvak.84,316534015,2022-03-01T00:00:00,349,031653401520220301,PKK0000089039,I,,POINT (158635.9611000009 566838.2171999998)
lichtmasten_wegvak.85,600137868,2022-03-01T00:00:00,45,060013786820220301,PKK0000089040,I,,POINT (158829.75719999894 567001.3159000017)
lichtmasten_wegvak.86,317533010,2022-03-01T00:00:00,36,031753301020220301,PKK0000089041,I,,POINT (158688.0502000004 566775.9770999998)
lichtmasten_wegvak.87,600140331,2022-03-01T00:00:00,56,060014033120220301,PKK0000089044,I,,POINT (167524.13049999997 562316.5247999988)
lichtmasten_wegvak.88,335524038,2022-03-01T00:00:00,56,033552403820220301,PKK0000089045,I,,POINT (167587.79800000042 562165.9244000018)
lichtmasten_wegvak.89,600147196,2022-03-01T00:00:00,26,060014719620220301,PKK0000089047,I,,POINT (201880.1699000001 567082.0691)
lichtmasten_wegvak.90,600147198,2022-03-01T00:00:00,30,060014719820220301,PKK0000089048,I,,POINT (201747.69269999862 567311.5934000015)
lichtmasten_wegvak.91,600476147,2022-01-01T00:00:00,3,060047614720220101,PKK0000089436,I,,POINT (180501.4312000014 530971.8586000018)
lichtmasten_wegvak.92,454473018,2022-01-01T00:00:00,349,045447301820220101,PKK0000089466,I,,POINT (227559.91270000115 536848.0175999999)
lichtmasten_wegvak.93,600151554,2022-01-01T00:00:00,8,060015155420220101,PKK0000089467,I,,POINT (227362.92550000176 537065.2716999985)
lichtmasten_wegvak.94,465505038,2021-10-01T00:00:00,8,046550503820211001,PKK0000089468,I,,POINT (232840.83989999816 552763.6768999994)
lichtmasten_wegvak.95,600153323,2022-04-01T00:00:00,17,060015332320220401,PKK0000089505,I,,POINT (265581.49010000005 481534.0978000015)
lichtmasten_wegvak.96,600441402,2022-04-01T00:00:00,41,060044140220220401,PKK0000089548,I,,POINT (160633.5784999989 497638.1180000007)
lichtmasten_wegvak.97,600932981,2022-04-01T00:00:00,417,060093298120220401,PKK0000089550,I,,POINT (180991.60229999945 526505.7204000019)
lichtmasten_wegvak.98,600121932,2021-10-01T00:00:00,19,060012193220211001,PKK0000089491,I,,POINT (111373.05680000037 407750.751600001)
lichtmasten_wegvak.99,222215024,2021-10-01T00:00:00,23,022221502420211001,PKK0000089492,I,,POINT (111457.93910000101 407610.9048999995)
lichtmasten_wegvak.100,600121936,2021-10-01T00:00:00,9,060012193620211001,PKK0000089493,I,,POINT (114156.72580000013 409106.45899999887)
lichtmasten_wegvak.101,600124627,2021-10-01T00:00:00,11,060012462720211001,PKK0000089495,I,,POINT (124646.00499999896 411708.44370000064)
lichtmasten_wegvak.102,600931211,2022-04-01T00:00:00,6,060093121120220401,PKK0000089566,I,,POINT (218251.7146999985 576523.7679000013)
lichtmasten_wegvak.103,525553016,2022-04-01T00:00:00,36,052555301620220401,PKK0000089567,I,,POINT (262932.9541000016 576964.7349999994)
lichtmasten_wegvak.104,600138659,2022-04-01T00:00:00,36,060013865920220401,PKK0000089629,I,,POINT (158256.81650000066 464706.1603000015)
lichtmasten_wegvak.105,600930897,2022-04-01T00:00:00,12,060093089720220401,PKK0000089633,I,,POINT (236689.9578000009 571637.4305000007)
lichtmasten_wegvak.106,600930892,2022-04-01T00:00:00,195,060093089220220401,PKK0000089634,I,,POINT (236721.13049999997 571612.1579999998)
lichtmasten_wegvak.107,387498039,2022-04-01T00:00:00,45,038749803920220401,PKK0000089640,I,,POINT (193579.74709999934 549349.5810000002)
lichtmasten_wegvak.108,600473526,2022-04-01T00:00:00,4,060047352620220401,PKK0000089641,I,,POINT (191810.11230000108 553358.7800999992)
lichtmasten_wegvak.109,600953623,2022-06-01T00:00:00,8,060095362320220601,PKK0000090419,I,,POINT (181690.0439000018 468077.1273000017)
lichtmasten_wegvak.110,600953841,2022-06-01T00:00:00,5,060095384120220601,PKK0000090420,I,,POINT (191128.2210999988 466266.47040000185)
lichtmasten_wegvak.111,600938347,2022-05-01T00:00:00,10,060093834720220501,PKK0000090060,I,,POINT (86054.2404000014 391679.96240000054)
lichtmasten_wegvak.112,600938348,2022-05-01T00:00:00,0,060093834820220501,PKK0000090060,I,,POINT (86054.2404000014 391679.96240000054)
lichtmasten_wegvak.113,600938345,2022-05-01T00:00:00,2,060093834520220501,PKK0000090061,I,,POINT (86044.04210000113 391292.1068999991)
lichtmasten_wegvak.114,600938367,2022-05-01T00:00:00,0,060093836720220501,PKK0000090062,I,,POINT (83884.1708999984 391260.50780000165)
lichtmasten_wegvak.115,600938355,2022-05-01T00:00:00,2,060093835520220501,PKK0000090063,I,,POINT (83680.13599999994 391507.0333000012)
lichtmasten_wegvak.116,600954025,2022-06-01T00:00:00,13,060095402520220601,PKK0000090421,I,,POINT (195665.39389999956 465225.70219999924)
lichtmasten_wegvak.117,600954027,2022-06-01T00:00:00,13,060095402720220601,PKK0000090422,I,,POINT (195665.6398999989 465624.3222000003)
lichtmasten_wegvak.118,180213010,2022-05-01T00:00:00,398,018021301020220501,PKK0000090065,I,,POINT (90587.42000000179 406668.2873999998)
lichtmasten_wegvak.119,600114272,2022-05-01T00:00:00,26,060011427220220501,PKK0000090066,I,,POINT (90636.14620000124 406772.69860000163)
lichtmasten_wegvak.120,600938230,2022-05-01T00:00:00,6,060093823020220501,PKK0000090067,I,,POINT (90642.26559999958 406647.0480999984)
lichtmasten_wegvak.121,600938223,2022-05-01T00:00:00,309,060093822320220501,PKK0000090068,I,,POINT (90690.11659999937 406751.6468999982)
lichtmasten_wegvak.122,600947391,2022-06-01T00:00:00,13,060094739120220601,PKK0000090449,I,,POINT (165796.9250999987 373334.19000000134)
lichtmasten_wegvak.123,600135577,2022-03-01T00:00:00,491,060013557720220301,PKK0000090511,I,,POINT (154758.376600001 567749.7600999996)
lichtmasten_wegvak.124,600943263,2022-06-01T00:00:00,7,060094326320220601,PKK0000090512,I,,POINT (164964.58410000056 563261.4164999984)
lichtmasten_wegvak.125,600943258,2022-06-01T00:00:00,250,060094325820220601,PKK0000090513,I,,POINT (164947.90100000054 563189.3062999994)
lichtmasten_wegvak.126,600149438,2021-11-01T00:00:00,3,060014943820211101,PKK0000090514,I,,POINT (208350.40630000085 571824.0117000006)
lichtmasten_wegvak.127,600949830,2022-06-01T00:00:00,7,060094983020220601,PKK0000090534,I,,POINT (202818.17969999835 439476.50730000064)
lichtmasten_wegvak.128,600946688,2022-06-01T00:00:00,6,060094668820220601,PKK0000090579,I,,POINT (147611.89070000127 429897.8707999997)
lichtmasten_wegvak.129,600953276,2022-06-01T00:00:00,4,060095327620220601,PKK0000090581,I,,POINT (154660.54659999907 433732.78830000013)
lichtmasten_wegvak.130,600947124,2022-06-01T00:00:00,6,060094712420220601,PKK0000090582,I,,POINT (158177.74460000172 434667.3236999996)
lichtmasten_wegvak.131,600950701,2022-06-01T00:00:00,7,060095070120220601,PKK0000090588,I,,POINT (218421.3627000004 439945.54839999974)
lichtmasten_wegvak.132,600951661,2022-06-01T00:00:00,4,060095166120220601,PKK0000090590,I,,POINT (248711.24049999937 466771.8020000011)
lichtmasten_wegvak.133,600944711,2022-06-01T00:00:00,5,060094471120220601,PKK0000090604,I,,POINT (92940.49069999903 399995.28830000013)
lichtmasten_wegvak.134,600952522,2022-06-01T00:00:00,244,060095252220220601,PKK0000090605,I,,POINT (92855.4710999988 400036.1532999985)
lichtmasten_wegvak.135,600953245,2022-06-01T00:00:00,23,060095324520220601,PKK0000090615,I,,POINT (151641.68780000135 484783.9180999994)
lichtmasten_wegvak.136,600953848,2022-06-01T00:00:00,5,060095384820220601,PKK0000090619,I,,POINT (189169.1112000011 491518.63489999995)
lichtmasten_wegvak.137,600948849,2022-06-01T00:00:00,9,060094884920220601,PKK0000090620,I,,POINT (189237.21819999814 491466.5073999986)
lichtmasten_wegvak.138,600949350,2022-06-01T00:00:00,5,060094935020220601,PKK0000090621,I,,POINT (195863.82290000096 497863.12689999864)
lichtmasten_wegvak.139,600951215,2022-06-01T00:00:00,433,060095121520220601,PKK0000090623,I,,POINT (236962.26419999823 571810.8040000014)
lichtmasten_wegvak.140,600954383,2022-06-01T00:00:00,6,060095438320220601,PKK0000090624,I,,POINT (236951.91270000115 571814.0982999988)
lichtmasten_wegvak.141,600947527,2022-06-01T00:00:00,32,060094752720220601,PKK0000090626,I,,POINT (169273.13100000098 455448.30310000107)
lichtmasten_wegvak.142,600953483,2022-06-01T00:00:00,364,060095348320220601,PKK0000090627,I,,POINT (166924.2137000002 459347.7254000008)
lichtmasten_wegvak.143,600947451,2022-06-01T00:00:00,27,060094745120220601,PKK0000090628,I,,POINT (167007.29529999942 462435.7960000001)
lichtmasten_wegvak.144,600135580,2022-06-01T00:00:00,33,060013558020220601,PKK0000090640,I,,POINT (154709.0436999984 567750.0001999997)
lichtmasten_wegvak.145,319554024,2022-06-01T00:00:00,198,031955402420220601,PKK0000090641,I,,POINT (159990.9759999998 577401.8068999983)
lichtmasten_wegvak.146,600947363,2022-06-01T00:00:00,285,060094736320220601,PKK0000090642,I,,POINT (165262.2188999988 579231.2529999986)
lichtmasten_wegvak.147,600954629,2022-06-01T00:00:00,12,060095462920220601,PKK0000090643,I,,POINT (192829.8984999992 574964.558699999)
lichtmasten_wegvak.148,378105078,2021-06-01T00:00:00,6,037810507820210601,PKK0000081865,I,,POINT (189464.32840000093 352981.03510000184)
lichtmasten_wegvak.149,600143396,2021-06-01T00:00:00,17,060014339620210601,PKK0000081963,I,,POINT (178771.27419999987 579903.306499999)
lichtmasten_wegvak.150,480311012,2021-07-01T00:00:00,27,048031101220210701,PKK0000082443,I,,POINT (240201.74480000138 456007.4558000006)
lichtmasten_wegvak.151,386216072,2022-05-01T00:00:00,8,038621607220220501,PKK0000091068,I,,POINT (193433.53510000184 408114.43719999865)
lichtmasten_wegvak.152,600966700,2022-08-01T00:00:00,15,060096670020220801,PKK0000091538,I,,POINT (180853.53440000117 526508.8007999994)
lichtmasten_wegvak.153,600140570,2022-08-01T00:00:00,1,060014057020220801,PKK0000091617,I,,POINT (170780.58999999985 482524.59479999915)
lichtmasten_wegvak.154,600442033,2022-02-01T00:00:00,24,060044203320220201,PKK0000091720,I,,POINT (47309.14050000161 417250.62150000036)
lichtmasten_wegvak.155,76212013,2021-10-01T00:00:00,24,007621201320211001,PKK0000091721,I,,POINT (38415.961599998176 406391.0892000012)
lichtmasten_wegvak.156,600967497,2022-08-01T00:00:00,13,060096749720220801,PKK0000091668,I,,POINT (94397.26370000094 395667.77439999953)
lichtmasten_wegvak.157,600952176,2022-06-01T00:00:00,10,060095217620220601,PKK0000091742,I,,POINT (31353.920000001788 387262.9134999998)
lichtmasten_wegvak.158,600954675,2022-09-01T00:00:00,524,060095467520220901,PKK0000091760,I,,POINT (177394.4023000002 540101.4521000013)
lichtmasten_wegvak.159,600971182,2022-09-01T00:00:00,4,060097118220220901,PKK0000091789,I,,POINT (60398.125 386651.61400000006)
lichtmasten_wegvak.160,524457036,2021-10-01T00:00:00,14,052445703620211001,PKK0000091884,I,,POINT (262431.4408 528620.8293000013)
lichtmasten_wegvak.161,600954231,2022-07-01T00:00:00,2,060095423120220701,PKK0000092675,I,,POINT (217887.71979999915 473041.48849999905)
lichtmasten_wegvak.162,600149874,2022-07-01T00:00:00,10,060014987420220701,PKK0000092677,I,,POINT (218256.42379999906 473280.02629999816)
lichtmasten_wegvak.163,335143011,2022-10-01T00:00:00,7,033514301120221001,PKK0000091930,I,,POINT (167731.42480000108 371946.22630000114)
lichtmasten_wegvak.164,600140433,2022-10-01T00:00:00,30,060014043320221001,PKK0000091931,I,,POINT (174272.12029999867 365370.2932999991)
lichtmasten_wegvak.165,600451185,2022-10-01T00:00:00,399,060045118520221001,PKK0000091932,I,,POINT (174337.39139999822 365368.9373999983)
lichtmasten_wegvak.166,160183019,2022-10-01T00:00:00,21,016018301920221001,PKK0000091973,I,,POINT (80086.81670000032 391685.69619999826)
lichtmasten_wegvak.167,600978318,2022-10-01T00:00:00,2,060097831820221001,PKK0000092114,I,,POINT (31454.153299998492 387223.73409999907)
lichtmasten_wegvak.168,415275027,2022-11-01T00:00:00,8,041527502720221101,PKK0000092417,I,,POINT (207645.75989999995 437721.6543999985)
lichtmasten_wegvak.169,600946711,2023-01-01T00:00:00,1,060094671120230101,PKK0000093225,I,,POINT (147624.3772 429903.91959999874)
lichtmasten_wegvak.170,600141255,2023-01-01T00:00:00,23,060014125520230101,PKK0000093226,I,,POINT (167642.37170000002 436881.2675999999)
lichtmasten_wegvak.171,600948011,2023-01-01T00:00:00,38,060094801120230101,PKK0000093227,I,,POINT (178213.3949000016 436336.99329999834)
lichtmasten_wegvak.172,600106643,2021-10-01T00:00:00,18,060010664320211001,PKK0000089794,I,,POINT (80206.71950000152 384352.49170000106)
lichtmasten_wegvak.173,600106647,2021-10-01T00:00:00,30,060010664720211001,PKK0000089795,I,,POINT (80297.24469999969 383950.3894999996)
lichtmasten_wegvak.174,189207026,2021-10-01T00:00:00,9,018920702620211001,PKK0000089834,I,,POINT (94641.17689999938 403805.4305999987)
lichtmasten_wegvak.175,189207024,2021-10-01T00:00:00,298,018920702420211001,PKK0000089835,I,,POINT (94630.9571999982 403813.5826999992)
lichtmasten_wegvak.176,600114290,2021-10-01T00:00:00,334,060011429020211001,PKK0000089836,I,,POINT (94408.41490000114 404074.8942999989)
lichtmasten_wegvak.177,185199020,2021-10-01T00:00:00,483,018519902020211001,PKK0000089837,I,,POINT (92986.97360000014 399933.5945999995)
lichtmasten_wegvak.178,183195019,2021-10-01T00:00:00,27,018319501920211001,PKK0000089838,I,,POINT (91535.04080000147 398008.28979999945)
lichtmasten_wegvak.179,600948450,2022-06-01T00:00:00,23,060094845020220601,PKK0000090647,I,,POINT (184185.02309999987 567127.6895999983)
lichtmasten_wegvak.180,600953632,2022-06-01T00:00:00,25,060095363220220601,PKK0000090648,I,,POINT (184264.25140000135 567266.8968000002)
lichtmasten_wegvak.181,600954318,2022-06-01T00:00:00,17,060095431820220601,PKK0000090651,I,,POINT (248146.79309999943 476229.4970000014)
lichtmasten_wegvak.182,600151429,2022-06-01T00:00:00,12,060015142920220601,PKK0000090654,I,,POINT (240353.03550000116 491471.87530000135)
lichtmasten_wegvak.183,600954456,2022-06-01T00:00:00,20,060095445620220601,PKK0000090655,I,,POINT (255628.79769999906 527318.3115999997)
lichtmasten_wegvak.184,600431221,2022-07-01T00:00:00,25,060043122120220701,PKK0000091078,I,,POINT (228026.0047999993 475367.18569999933)
lichtmasten_wegvak.185,600952844,2022-06-01T00:00:00,18,060095284420220601,PKK0000090696,I,,POINT (119758.7415000014 410703.9017999992)
lichtmasten_wegvak.186,600945690,2022-06-01T00:00:00,6,060094569020220601,PKK0000090697,I,,POINT (119759.27160000056 410696.570700001)
lichtmasten_wegvak.187,600940799,2022-06-01T00:00:00,5,060094079920220601,PKK0000090704,I,,POINT (188122.40560000017 378222.47030000016)
lichtmasten_wegvak.188,600145219,2022-06-01T00:00:00,414,060014521920220601,PKK0000090705,I,,POINT (188183.9759999998 378235.8073000014)
lichtmasten_wegvak.189,600949411,2022-06-01T00:00:00,4,060094941120220601,PKK0000090706,I,,POINT (196607.48110000044 376583.0859999992)
lichtmasten_wegvak.190,600950348,2022-06-01T00:00:00,22,060095034820220601,PKK0000090707,I,,POINT (211549.3546999991 378052.8020000011)
lichtmasten_wegvak.191,382042023,2022-06-01T00:00:00,38,038204202320220601,PKK0000090740,I,,POINT (191359.21379999816 321243.46240000054)
lichtmasten_wegvak.192,600941372,2022-06-01T00:00:00,8,060094137220220601,PKK0000090761,I,,POINT (208699.12249999866 499743.5687999986)
lichtmasten_wegvak.193,600144866,2021-10-01T00:00:00,10,060014486620211001,PKK0000091495,I,,POINT (188472.16860000044 507485.79199999943)
