FID,vrt_code,vrtnaam,haven_vaar,meetpunt,naam,straatnaam,postcode,woonplaats,tel_nr,fax_nr,mobiel_t_n,marifoonka,opmerking,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
inzamelpunt.12,225,Amsterdam-Rijnkanaal,,42.8,Inzameldepot Nieuwegein,,,,,,,,"Let op geen bilgepomp aanwezig!



Beperkte bilgewater & afgewerkte olie afgifte

Olie- en vethoudend afval

Niet oliehoudend KGA

Restafval



Van Gansewinkel BV

06-10206072",,19757765,,,POINT (52.042100000999994 5.1107000000000085)
inzamelpunt.13,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,110.2,Inzamellocatie Kampen,,,,038-3313632,,,,"08:00-17:00. 24 uur vooraf reserveren. LET OP:
AFGIFTE BILGEWATER IS NIET MOGELIJK!

Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

Bunkerstation Verweij

MAIN BV",,19837389,,,POINT (52.568700001000025 5.897999997999989)
inzamelpunt.14,402c1,Jachthaven van Oudeschild,,0.2,Inzamellocatie Oudeschild,,,,0222-312771,,,,"08:00-17:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

CIV Texel


MAIN BV",,19837416,,,POINT (53.04170000200003 4.852400000999978)
inzamelpunt.15,062,Vaarweg van het Van Harinxmakanaal langs Wartena naar het Prinses Margrietkanaal,,4.9,Inzamellocatie Warten,,,,,,06-53887170,,"08:00-17:00. 24 uur vooraf reserveren. LET OP:
AFGIFTE BILGEWATER IS NIET MOGELIJK!

Olie- en vethoudend afvalOlie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

Bunkerstation Pander BV


MAIN BV",,19837420,,,POINT (53.146000001999994 5.907299998999974)
inzamelpunt.16,212,Vaarweg van het Afgesloten-IJ naar de Oude Rijn,,34,Inzamellocatie Woubrugge,,,,0172-519329,,,,Bunkerstation van Leersum,,19837441,,,POINT (52.16969999999998 4.637800001000016)
inzamelpunt.17,051,Haven van Stavoren,,0.8,Inzamelstation Stavoren,,,,0514-681210,,,,"08:00-17:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval
Niet oliehoudend KGA
Restafval

De Groot BV


MAIN BV",,19837477,,,POINT (52.886900000000026 5.358899999000016)
inzamelpunt.18,233,"Noordzeekanaal, Afgesloten-IJ en Buiten-IJ",,20,Milieuboot Amsterdam,,,,0255-525051,,,,"07:00-16:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

Marpol Services BV",,19837480,,,POINT (52.3972 4.883400000999984)
inzamelpunt.19,060,Lemmer - Delfzijl,,1,Milieuboot Delfzijl,,,,,,06-29510717,,"08:00-17:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval
Niet oliehoudend KGA
Restafval

MAIN BV",,19837483,,,POINT (53.316399999 6.937199998999972)
inzamelpunt.20,235,Havens van Den Helder,,1.4,Milieuboot Den Helder,,,,,,06-29510724,,"08:00-17:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

MAIN BV",,19837486,,,POINT (52.955800001 4.779399997999974)
inzamelpunt.21,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,116.3,Milieuboot Dordrecht,,,,,,06-53970107,,"08:00-17:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

MAIN BV",,19837489,,,POINT (51.82040000000001 4.689800002000027)
inzamelpunt.22,002b,Eemshaven,,2.8,Milieuboot Eemshaven,,,,,,06-29510717,,"08:00-17:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval
Niet oliehoudend KGA
Restafval

MAIN BV",,19837517,,,POINT (53.44640000200002 6.833500001999994)
inzamelpunt.23,857,Amercentrale,,0.5,Milieuboot Geertruidenberg,,,,020-5061341,,,,"08:00-17:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

MAIN BV",,19837520,,,POINT (51.70829999799997 4.848700001999987)
inzamelpunt.24,403a,"Kimstergat, Vingegat en Vaarwater van de Zwarte Haan",,1.6,Milieuboot Harlingen,,,,,,06-29510715,,"08:00-17:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval
Niet oliehoudend KGA
Restafval

MAIN BV",,19837523,,,POINT (53.18829999899998 5.412199999999984)
inzamelpunt.25,233y,Aanloop havens van IJmuiden en Noordzeekanaal,,6.4,Milieuboot IJmuiden,,,,0255-525051,,,,"07:00-16:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

Marpol Services BV",,19837526,,,POINT (52.467300002 4.615099999999984)
inzamelpunt.26,147,Zuid Vlije - Krammer,,0.7,Milieuboot Krammer,,,,0113-672210,,,,"07:00-16:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

Martens BV",,19837529,,,POINT (51.66239999999999 4.172800000999985)
inzamelpunt.27,230,Vaarweg van Amsterdam via de Houtribsluizen naar Lemmer,,32.6,"Milieuboot Lelystad, Almere, Muiden, Harderwijk",,,,,,06-51581966,,"08:00-17:00. 24 uur vooraf reserveren. LET OP:
AFGIFTE BILGEWATER IS NIET MOGELIJK!

Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

Scherpenzeel BV

MAIN BV",,19837588,,,POINT (52.51799999899998 5.42700000100001)
inzamelpunt.28,086,"Zwolle-IJsselkanaal, Zwarte Water, Zwolsche Diep, Ramsdiep en Schokkerhaven",,47.9,Milieuboot Lelystad (en omstreken),,,,,,06-53269459,,"08:00-17:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

MAIN BV",,19837591,,,POINT (52.60719999999998 5.661299999999983)
inzamelpunt.62,225e,Lekkanaal,,2.5,"Engels container, Plastic, ID 11",Beatrixsluis Schipperspad,,Nieuwegein,,,,,,,19837792,,,POINT (52.01740000000001 5.110300000999985)
inzamelpunt.29,654,"Lobith, haven te",,0.3,"Milieuboot Lobith, Arnhem",,,,,,06-53970326,,"08:00-17:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

MAIN BV",,19837594,,,POINT (51.855399999999975 6.090700001000016)
inzamelpunt.30,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,43.2,Milieuboot Maasbracht,,,,0475-464985,,,,"07:00-16:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

Tullemans BV",,19837597,,,POINT (51.15870000000001 5.899700000999985)
inzamelpunt.31,108b1,Roode Vaart of Zevenbergsche Haven,,0.2,Milieuboot Moerdijk,,,,,,06-13323745,,"08:00-17:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

MAIN BV",,19837600,,,POINT (51.70109999900001 4.60880000100002)
inzamelpunt.32,729,1e Kanaalhaven te Nijmegen,,0.1,Milieuboot Nijmegen (centrum),,,,,,06-53969546,,"08:00-17:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

MAIN BV",,19837604,,,POINT (51.845500000000015 5.8202)
inzamelpunt.33,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,30,"Milieuboot Nijmegen (Maas, Waal, Nederrijn)",,,,,,06-53969971,,"08:00-17:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

MAIN BV",,19837607,,,POINT (51.86980000099999 5.819299999999998)
inzamelpunt.34,854,"Oosterhout, haven te",,0.2,Milieuboot Oosterhout,,,,020-5061341,,,,"08:00-17:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

MAIN bv",,19837615,,,POINT (51.649599998999975 4.846299998000006)
inzamelpunt.35,152a3,Stuwkanaal Roermond,,1.9,Milieuboot Roermond,,,,0475-464985,,,,"07:00-16:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

Tullemans BV",,19837618,,,POINT (51.22040000200002 5.980700001000002)
inzamelpunt.36,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",,18,Milieuboot Rotterdam,,,,085-4867222,,,,"07:00-16:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

ISD",,19837621,,,POINT (51.897700000999976 4.398699998999973)
inzamelpunt.37,1124,Industriehaven Stein,,0.3,Milieuboot Stein,,,,0475-464985,,,,"07:00-16:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

Tullemans BV",,19837624,,,POINT (50.973900001000004 5.758699997999997)
inzamelpunt.38,130b,Route via Middensluis/Westbuitenhaven naar de Westerschelde,,1.3,Milieuboot Terneuzen,,,,0113-672136,,,,"07:00-16:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

Martens BV",,19837627,,,POINT (51.32900000000001 3.8194999990000156)
inzamelpunt.39,129b,Tholensche Gat naar de Bergsediepsluis en Oosterschelde,,0.4,Milieuboot Tholen,,,,0113-672210,,,,"07:00-16:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

Martens BV",,19837630,,,POINT (51.5 4.215500001000009)
inzamelpunt.40,1133,Nieuwe Haven te Urk,,0,Milieuboot Urk,,,,,,06-53269459,,"08:00-17:00. 24 uur vooraf reserveren. LET OP:
AFGIFTE BILGEWATER IS NIET MOGELIJK!

Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

Hoekman Oliehandel",,19837633,,,POINT (52.65980000000002 5.596799998999984)
inzamelpunt.41,132,Havens Vlissingen-Oost (Sloehaven),,2.4,Milieuboot Vlissingen,,,,0113-672136,,,,"07:00-16:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

Martens BV",,19837636,,,POINT (51.457400001999986 3.683200001999978)
inzamelpunt.42,143,"Vaarweg van het Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",,3.7,Milieuboot Volkerak Zuid,,,,0113-672210,,,,"07:00-16:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

Martens BV",,19837639,,,POINT (51.68090000000001 4.394900001999986)
inzamelpunt.43,109,Vaarweg Spijkerboor-Werkendam,,11.5,Milieuboot Werkendam,,,,,,06-53970040,,"08:00-17:00. 24 uur vooraf reserveren. Bilgewater & Olie- en vethoudend afval

Alleen betaalde afgifte:
Niet oliehoudend KGA
Restafval

MAIN BV",,19837642,,,POINT (51.80649999899998 4.876600000999986)
inzamelpunt.44,1153,De Wacht,,0.2,Servicekade 's-Gravendeel,,,,,,,,Alleen afgifte restafval.,,19837645,,,POINT (51.75890000200002 4.623799997999981)
inzamelpunt.45,233,"Noordzeekanaal, Afgesloten-IJ en Buiten-IJ",,26.5,"Engels container, Glas, ID 14",Oranjesluis,,Amsterdam,,,,,,,19837690,,,POINT (52.37990000100001 4.959600002000002)
inzamelpunt.46,233,"Noordzeekanaal, Afgesloten-IJ en Buiten-IJ",,26.5,"Engels container, Plastic, ID 15",Oranjesluis,,Amsterdam,,,,,,,19837693,,,POINT (52.37990000100001 4.959600002000002)
inzamelpunt.47,233,"Noordzeekanaal, Afgesloten-IJ en Buiten-IJ",,26.5,"Engels container, Huisvuil, ID 49006",Oranjesluis 1,,Amsterdam,,,,,,,19837714,,,POINT (52.37959999999998 4.960299998999972)
inzamelpunt.48,233,"Noordzeekanaal, Afgesloten-IJ en Buiten-IJ",,26.5,"Engels container, Huisvuil, ID 68010",Oranjesluis 2,,Amsterdam,,,,,,,19837718,,,POINT (52.379999999000006 4.9605999999999995)
inzamelpunt.49,233,"Noordzeekanaal, Afgesloten-IJ en Buiten-IJ",,19.9,"Engels container, Huisvuil, ID 70078",REM Eiland,,Amsterdam,,,,,,,19837722,,,POINT (52.39849999900002 4.883800000000008)
inzamelpunt.50,225,Amsterdam-Rijnkanaal,,6.2,"Engels container, Huisvuil, ID 80734",Overdiemerweg thv 21,,Diemen,,,,,,,19837725,,,POINT (52.340599999000005 5.003600000999995)
inzamelpunt.51,060,Lemmer - Delfzijl,,27.2,"Engels container, Huisvuil, ID 70006",Oostersluis,,Groningen,,,,,,,19837728,,,POINT (53.22769999899998 6.592399999000008)
inzamelpunt.52,665,Overnachtingshaven Haaften,,1.1,"Engels container, Huisvuil, ID 70004",,,Haaften,,,,,,,19837731,,,POINT (51.81650000100001 5.218800000999977)
inzamelpunt.53,665,Overnachtingshaven Haaften,,1.1,"Engels container, Glas, ID 7",,,Haaften,,,,,,,19837734,,,POINT (51.815999999999974 5.21840000200001)
inzamelpunt.54,658,Overnachtingshaven IJzendoorn,,1.1,"Engels container, Glas, ID 9",,,IJzendoorn,,,,,,,19837754,,,POINT (51.90459999799998 5.545699999000021)
inzamelpunt.55,658,Overnachtingshaven IJzendoorn,,1.1,"Engels container, Plastic, ID 8",,,IJzendoorn,,,,,,,19837757,,,POINT (51.90459999799998 5.545699999000021)
inzamelpunt.56,658,Overnachtingshaven IJzendoorn,,1.4,"Engels container, Huisvuil, ID 48006",,,IJzendoorn,,,,,,,19837760,,,POINT (51.904300001000024 5.5496000009999875)
inzamelpunt.57,129,Schelde-Rijnverbinding,,24.8,"Engels container, Huisvuil, ID 67009",Kreekraksluizen,,,,,,,,,19837768,,,POINT (51.447900000999994 4.232500001999995)
inzamelpunt.58,230,Vaarweg van Amsterdam via de Houtribsluizen naar Lemmer,,34.2,"Engels container, Huisvuil, ID 70005",Houtribsluis 1,,Lelystad,,,,,,,19837771,,,POINT (52.52769999999998 5.434999999000013)
inzamelpunt.59,230,Vaarweg van Amsterdam via de Houtribsluizen naar Lemmer,,33.9,"Engels container, Huisvuil, ID 70009",Houtribsluis 2,,Lelystad,,,,,,,19837778,,,POINT (52.525199998000005 5.4354999999999905)
inzamelpunt.60,060,Lemmer - Delfzijl,,117.6,"Engels container, Huisvuil, ID 70001",Prinses Margrietsluis,,Lemmer,,,,,,,19837786,,,POINT (52.850299999000015 5.675400000000025)
inzamelpunt.61,654,"Lobith, haven te",,0.5,"Engels container, Huisvuil, ID 68011",Vluchthaven Bijlandseweg,,Lobith,,,,,,,19837789,,,POINT (51.857299997999974 6.093099999999993)
inzamelpunt.63,225e,Lekkanaal,,2.5,"Engels container, Glas, ID 10",Beatrixsluis Schipperspad,,Nieuwegein,,,,,,,19837795,,,POINT (52.01740000000001 5.110300000999985)
inzamelpunt.64,225e,Lekkanaal,,2.5,"Engels container, Huisvuil, ID 64014",Beatrixsluis Schipperspad nr.1,,Nieuwegein,,,,,,,19837816,,,POINT (52.01740000000001 5.110300000999985)
inzamelpunt.65,225e,Lekkanaal,,2.5,"Engels container, Huisvuil, ID 47004",Beatrixsluis Schipperspad nr.2,,Nieuwegein,,,,,,,19837819,,,POINT (52.01780000000002 5.110500000000002)
inzamelpunt.66,060,Lemmer - Delfzijl,,117.5,"Engels container, Plastic, ID 17",Prinses Margrietsluis,,,,,,,,,19837822,,,POINT (52.85159999899997 5.676800001000004)
inzamelpunt.67,060,Lemmer - Delfzijl,,117.5,"Engels container, Glas, ID 16",Prinses Margrietsluis,,,,,,,,,19837840,,,POINT (52.85159999899997 5.676800001000004)
inzamelpunt.68,1153,De Wacht,,0.2,"Engels container, Glas, ID 6",Kilweg,,'s Gravendeel,,,,,,,19837843,,,POINT (51.758699998 4.6240000020000025)
inzamelpunt.69,1153,De Wacht,,0.2,"Engels container, Plastic, ID 5",Kilweg,,'s Gravendeel,,,,,,,19837846,,,POINT (51.758699998 4.6240000020000025)
inzamelpunt.70,1153,De Wacht,,0.2,"Engels container, Huisvuil, ID 80523",Kilweg,,'s Gravendeel,,,,,,,19837849,,,POINT (51.759000000000015 4.623799997999981)
inzamelpunt.71,102f,Waalhaven,,2.8,"Engels container, Huisvuil, ID 70952",,,,,,,,SAB Testkoffer,,19837852,,,POINT (51.87900000100001 4.449299999000004)
inzamelpunt.72,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,0,"Engels container, Huisvuil, ID 67011",Sluis Amerongen,,Amerongen,,,,,,,19837855,,,POINT (51.97650000099998 5.40870000000001)
inzamelpunt.73,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,68.1,"Engels container, Plastic, ID 1",Sluis Belfeld,,Belfeld,,,,,,,19837858,,,POINT (51.320900000999984 6.110300000999985)
inzamelpunt.74,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,68.1,"Engels container, Glas, ID 2",Sluis Belfeld,,Belfeld,,,,,,,19837861,,,POINT (51.320900000999984 6.110300000999985)
inzamelpunt.75,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,68.2,"Engels container, Huisvuil, ID 70008",Sluis Belfeld,,Belfeld,,,,,,,19837864,,,POINT (51.32189999899998 6.110500000000002)
inzamelpunt.76,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,24.2,"Engels container, Huisvuil, ID 43008",Sluis Driel,,Driel,,,,,,,19837867,,,POINT (51.96750000100002 5.806200000999979)
inzamelpunt.77,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,3.4,"Engels container, Glas, ID 12",Sluis Eefde,,Eefde,,,,,,,19837870,,,POINT (52.160500001 6.234999999000024)
inzamelpunt.78,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,3.4,"Engels container, Plastic, ID 13",Sluis Eefde,,Eefde,,,,,,,19837873,,,POINT (52.160500001 6.234999999000024)
inzamelpunt.79,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,3.4,"Engels container, Huisvuil, ID 47001",Sluis Eefde,,Eefde,,,,,,,19837876,,,POINT (52.160599999 6.234999999000024)
inzamelpunt.80,060,Lemmer - Delfzijl,,47.2,"Engels container, Huisvuil, ID 70007",Sluis Gaarkeuken,,Gaarkeuken,,,,,,,19837881,,,POINT (53.24859999900002 6.3115000020000025)
inzamelpunt.81,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,141.2,"Engels container, Huisvuil, ID 80738",Sluis Grave,,Grave,,,,,,,19837884,,,POINT (51.770399999000006 5.738200000999996)
inzamelpunt.82,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,78.2,"Engels container, Huisvuil, ID 67010",Sluis Hagestein,,Hagestein,,,,,,,19837887,,,POINT (51.99219999799999 5.13549999899999)
inzamelpunt.83,124,Amertak en Wilhelminakanaal,,8.2,"Engels container, Huisvuil, ID 46002",Sluis Oosterhout,,Oosterhout,,,,,,,19837894,,,POINT (51.644000000999995 4.839999999999975)
inzamelpunt.84,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,113.9,"Engels container, Huisvuil, ID 70003",Sluis Sambeek,,Sambeek,,,,,,,19837897,,,POINT (51.6404 5.980399999999975)
inzamelpunt.85,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,110.6,"Engels container, Huisvuil, ID 47007",Sluis Schijndel,,Schijndel,,,,,,,19837901,,,POINT (51.64860000099998 5.443100001999994)
inzamelpunt.86,130,Kanaal van Gent naar Terneuzen met de Zijkanalen en havens,,30.6,"Engels container, Huisvuil, ID 37002",Westsluis 1,,Terneuzen,,,,,,,19837904,,,POINT (51.32910000200002 3.8156999980000137)
inzamelpunt.87,130,Kanaal van Gent naar Terneuzen met de Zijkanalen en havens,,30.5,"Engels container, Huisvuil, ID 47002",Westsluis 2,,Terneuzen,,,,,,,19837907,,,POINT (51.329399998999975 3.8168999999999755)
inzamelpunt.88,225,Amsterdam-Rijnkanaal,,71.8,"Engels container, Huisvuil, ID 48007",Prins Bernhardsluis 1,,Tiel,,,,,,,19837910,,,POINT (51.901999999 5.454599998999981)
inzamelpunt.89,143,"Vaarweg van het Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",,2.3,"Engels container, Plastic, ID 18",Volkerak Oostkolk,,,,,,,,,19837913,,,POINT (51.68980000200003 4.410399998999992)
inzamelpunt.90,143,"Vaarweg van het Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",,2.2,"Engels container, Glas, ID 20",Volkerak Oostkolk,,,,,,,,,19837916,,,POINT (51.68990000000002 4.410399998999992)
inzamelpunt.91,143,"Vaarweg van het Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",,2.4,"Engels container, Plastic, ID 3",Volkerak Westkolk,,,,,,,,,19837935,,,POINT (51.690800000000024 4.408300000999986)
inzamelpunt.92,143,"Vaarweg van het Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",,2.3,"Engels container, Glas, ID 19",Volkerak Westkolk,,,,,,,,,19837939,,,POINT (51.691300001 4.408500000999993)
inzamelpunt.93,225,Amsterdam-Rijnkanaal,,59.1,"Engels container, Huisvuil, ID 62006",Broekweg,,Wijk bij Duurstede,,,,,,,19837956,,,POINT (51.96900000099998 5.311900001000026)
inzamelpunt.94,143,"Vaarweg van het Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",,3.7,"Engels container, Huisvuil, ID 70002",Steigerweg,,Willemstad,,,,,,,19837959,,,POINT (51.681100000000015 4.394600000000025)
inzamelpunt.95,143,"Vaarweg van het Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",,0.9,"Engels container, Huisvuil, ID 47003",Volkerak Servicekade Noord,,Willemstad,,,,,,,19837962,,,POINT (51.69979999999998 4.423900000999993)
inzamelpunt.96,143,"Vaarweg van het Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",,2.4,"Engels container, Glas, ID 4",Volkeraksluis,,Willemstad,,,,,,,19837965,,,POINT (51.690800000000024 4.408300000999986)
inzamelpunt.97,143,"Vaarweg van het Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",,2.3,"Engels container, Huisvuil, ID 80521",Volkeraksluis Noord 1,,Willemstad,,,,,,,19837970,,,POINT (51.68890000099998 4.409499998999991)
inzamelpunt.98,143,"Vaarweg van het Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",,2.2,"Engels container, Huisvuil, ID 80728",Volkeraksluis Noord 2,,Willemstad,,,,,,,19838008,,,POINT (51.691899999999976 4.409499998999991)
inzamelpunt.99,143,"Vaarweg van het Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",,2.5,"Engels container, Huisvuil, ID 80522",Volkeraksluis Zuid 1,,Willemstad,,,,,,,19838011,,,POINT (51.69119999899999 4.4065000009999835)
inzamelpunt.100,143,"Vaarweg van het Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",,2.1,"Engels container, Huisvuil, ID 80727",Volkeraksluis Zuid 2,,Willemstad,,,,,,,19838014,,,POINT (51.690499999 4.411699999000007)
inzamelpunt.101,088a,Zijtak naar het Zwarte Water via de Grote Kolksluis,,1,"Engels container, Huisvuil, ID 80922",Havendijk,,Zwartsluis,,,,,,,19838018,,,POINT (52.638799999000014 6.069200002000002)
