Handelsnaam anonimiseerd;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Adprosign;;;;;;;;1;;1
Adriaanse Vastgoed B.V.;1;;;;;;;;;1
AD-S&Co B.V.;1;;;;;;;2;;2
Advanced Travel Partners Nederland B.V.;;;;;;;;;1;1
Advisafe Risk Management B.V.;2;;;;;;;;;2
Advocatenkantoor Jacobs B.V.;;;;;;;;;2;2
Aebi Schmidt Nederland B.V.;3;;;;;;;;;3
AEC Air Support B.V.;3;;;;;;;;;3
AEDcompany.nl;1;;;;;;;;;1
AEG Power Solutions B.V.;1;;;;;;;1;;1
Aero Ind. afzuig- en filterinstallaties B.V.;;;;;;;;1;;1
Aero Marche B.V.;5;;;;;;;;;5
Aerospace Competence Center B.V.;1;;;;;;;;;1
Aeroworks Composites B.V.;1;;;;;;;;;1
AG Connect B.V.;1;;;;;;;;;1
Agfa-Gevaert B.V.;2;;;;;;;;;2
AGVE;1;;;;;;;;1;1
Ahoy Rotterdam N.V.;;;;;;;;2;;2
Ahrend Nederland B.V.;;;;;;;1;;;1
AIM Nederland B.V.;1;;;;;;;;;1
Air Center Best B.V.;;;;;;;;1;;1
Air Group B.V.;1;;;;;;;;;1
Air Liquide B.V.;1;;;;;;;;;1
Air Products Nederland B.V.;2;;;;;;;;1;2
Aircorent B.V.;1;;;;;;;;;1
Aircr. Develop. and Systems Engineering B.V.;1;;;;;;;;;1
Airport Medical Services C.V.;1;;;;;;;;;1
AIR-serv Netherlands B.V.;1;;;;;;;;;1
AKB Longs B.V.;;;;;;;;1;;1
Akse Media B.V.;1;;;;;;;;;1
Albron Nederland B.V.;1;;;;;;;;;1
Albyco Nederland B.V.;1;;;;;;1;2;;2
Alert Teleservices B.V.;1;;;;;;;;;1
Alewijnse Marine Nijmegen B.V.;1;;;;;;;;;1
Alewijnse Marine Rotterdam B.V.;1;;;;;;;;;1
Alfa Laval Benelux B.V.;;;;;;;;;1;1
Alfatech;1;;;;;;;;;1
Algemene Brandstoffen Compagnie Tilburg B.V.;1;;;;;;;;;1
Algemene Verpakkingsindustrie B.V.;;;;;;;;1;;1
All Areas Rental & Sales B.V.;;;;;;;1;;;1
All In Verhuur B.V.;;1;;;;;;1;;1
All Music Publishing B.V.;1;;;;;;;;;1
All Pensions Group;1;;;;;;;;;1
Allekabels B.V.;1;;;;;;;1;;1
Allers;1;;;;;;;;;1
Allinco Business Solutions B.V.;1;;;;;;;;;1
All-Rack B.V.;;;;;;;;1;;1
Almelose Borstelindustrie B.V.;1;;;;;;;;;1
Alp Lift B.V.;;;;;;;1;;;1
Altec Industriële Identificatie;1;;;;;;;1;;1
Alternate Computerversand Nederland;2;;;;;;;;;2
Altrex B.V.;2;;;;;;;1;;2
Aluminium op Maat B.V.;1;;;;;;;;;1
Alup Grassair Kompressoren B.V.;1;;;;;;;1;;1
Amarant Groep;2;;;;;;1;;;2
Ambitech B.V.;;;;;;;;;1;1
Ambius B.V.;1;;;;;;;;;1
AMC Centre;1;;;;;;;;;1
Amco;1;;;;;;;;;1
Amco Compressoren B.V.;;;;;;;;1;;1
AmeComputers;1;;;;;;;;;1
American Hotel Exploitatie B.V.;;1;;;;;;;;1
Amilco Benelux B.V.;1;;;;;;;;;1
Amplicon Benelux;1;;;;;;;;;1
Amstel Graphics B.V.;;;;;;;;1;;1
Amsterdam Experience;2;;;;;;;;;2
Anatec B.V.;1;;;;;;;;;1
Animo B.V.;1;;;;;;1;;;1
Anixter Nederland B.V.;;;;;;;;;1;1
Ankersmid Process B.V.;1;;;;;;;;;1
Anoniem 1;;1;;;;;;;;1
Anoniem 10;;;;;;;;1;;1
Anoniem 100;;1;;;;;;;;1
Anoniem 1002;1;;;;;;;;;1
Anoniem 1003;1;;;;;;;;;1
Anoniem 1005;1;;;;;;;;;1
Anoniem 1006;;;;;;;;1;;1
Anoniem 1009;1;;;;;;;;;1
Anoniem 1010;1;;;;;;;;;1
Anoniem 1014;1;;;;;;;;;1
Anoniem 1017;;;;;;;;1;;1
Anoniem 102;1;;;;;;;;;1
Anoniem 1021;1;;;;;;;;;1
Anoniem 1023;1;;;;;;;;;1
Anoniem 1024;1;1;;;;;1;;;1
Anoniem 1025;;;;;;;1;;;1
Anoniem 1030;;1;;;;;;;;1
Anoniem 1031;;1;;;;;;;;1
Anoniem 1032;;;;;;;1;;;1
Anoniem 1038;;1;;;;;;;;1
Anoniem 1039;1;;;;;;;;;1
Anoniem 104;1;;;;;;;;;1
Anoniem 1040;1;;;;;;;;;1
Anoniem 1044;1;;;;;;;;;1
Anoniem 1048;1;;;;;;;;;1
Anoniem 1049;1;;;;;;;;;1
Anoniem 1052;;1;;;;;;;;1
Anoniem 1060;;1;;;;;;;;1
Anoniem 1062;1;;;;;;;1;;1
Anoniem 1066;;;;;;;1;;;1
Anoniem 1067;;1;;;;;;;;1
Anoniem 1077;1;;;;;;;;;1
Anoniem 108;;;;;;;1;;;1
Anoniem 1081;1;;;;;;;;;1
Anoniem 1083;1;;;;;;;;;1
Anoniem 1086;1;;;;;;;;;1
Anoniem 1087;;;;;;;;1;;1
Anoniem 109;1;;;;;;;;;1
Anoniem 1091;;1;;;;;;;;1
Anoniem 1092;1;;;;;;;;;1
Anoniem 1095;;;;;;;1;;;1
Anoniem 1098;;;;;;;;1;;1
Anoniem 110;1;;;;;;;;;1
Anoniem 1100;;1;;;;;;;;1
Anoniem 1101;;1;;;;;;;;1
Anoniem 1107;;;;;;;1;;;1
Anoniem 1109;1;;;;;;;;;1
Anoniem 1112;1;;;;;;;;;1
Anoniem 1113;;;;;;;1;1;;1
Anoniem 1115;1;;;;;;;;;1
Anoniem 112;1;;;;;;;;;1
Anoniem 1125;;;;;;;1;;;1
Anoniem 1126;;;;;;;;1;;1
Anoniem 1127;1;;;;;;;;;1
Anoniem 1130;;;;;;;;1;;1
Anoniem 1131;;1;;;;;;;;1
Anoniem 1132;;1;;;;;;;;1
Anoniem 1133;;1;;;;;;;;1
Anoniem 1135;;1;;;;;;;;1
Anoniem 1136;1;;;;;;;;;1
Anoniem 1139;;1;;;;;;;;1
Anoniem 1141;2;;;;;;;;;2
Anoniem 1145;1;;;;;;;;;1
Anoniem 1147;1;;;;;;;;;1
Anoniem 1151;1;;;;;;;;;1
Anoniem 1152;1;;;;;;;;;1
Anoniem 1155;1;;;;;;;;;1
Anoniem 116;1;;;;;;;;;1
Anoniem 1161;1;;;;;;;;;1
Anoniem 1163;1;;;;;;;;;1
Anoniem 1168;1;;;;;;;;;1
Anoniem 1169;;;;;;;;1;;1
Anoniem 1174;;;;;;;;1;;1
Anoniem 1176;;1;;;;;;;;1
Anoniem 1178;1;;;;;;;;;1
Anoniem 1180;1;;;;;;;;;1
Anoniem 1181;1;;;;;;;;;1
Anoniem 1182;1;1;;;;;;;;1
Anoniem 1185;1;;;;;;;;;1
Anoniem 1187;1;;;;;;;;;1
Anoniem 1189;1;;;;;;;;;1
Anoniem 1192;1;;;;;;;;;1
Anoniem 1197;;1;;;;;;;;1
Anoniem 1199;1;;;;;;;;;1
Anoniem 120;;;1;;;;;;;1
Anoniem 1200;1;;;;;;;;;1
Anoniem 1204;1;;;;;;;;;1
Anoniem 1207;3;;;;;;;;;3
Anoniem 1208;4;1;;;;;;;;4
Anoniem 1209;1;;;;;;;;;1
Anoniem 1212;1;;;;;;;;;1
Anoniem 1214;1;;;;;;;;;1
Anoniem 1218;1;;;;;;;;;1
Anoniem 1220;;;;;;;;1;;1
Anoniem 1221;1;;;;;;;;;1
Anoniem 123;1;;;;;;;;;1
Anoniem 1231;1;;;;;;;;;1
Anoniem 1239;2;1;;;;;;2;;2
Anoniem 124;1;;;;;;;;;1
Anoniem 1240;;;;;;;;1;;1
Anoniem 1244;;1;;;;;;;;1
Anoniem 1249;1;;;;;;;1;;1
Anoniem 125;1;;;;;;;;;1
Anoniem 1251;1;;;;;;;2;;2
Anoniem 1257;;;;;;;;1;;1
Anoniem 1258;1;;;;;;;;;1
Anoniem 1259;1;;;;;;;;;1
Anoniem 126;1;;;;;;;;;1
Anoniem 1260;1;;;;;;;;;1
Anoniem 1266;1;;;;;;;;;1
Anoniem 1267;;;;;;;;1;;1
Anoniem 1271;1;;;;;;;;;1
Anoniem 1274;1;;;;;;;;;1
Anoniem 1275;1;;;;;;;;;1
Anoniem 1276;;;;;;;;1;;1
Anoniem 1279;;;;;;;;1;;1
Anoniem 128;;1;;;;;;;;1
Anoniem 1282;1;;;;;;;;;1
Anoniem 1284;;;;;;;;1;;1
Anoniem 1287;1;;;;;;;;;1
Anoniem 1288;1;;;;;;;;;1
Anoniem 1291;1;;;;;;;;;1
Anoniem 1294;;1;;;;;;;;1
Anoniem 1302;1;;;;;;;;;1
Anoniem 1303;;;;;;;;;1;1
Anoniem 1308;;1;;;;;;;;1
Anoniem 131;;;;;;;1;;;1
Anoniem 1312;1;;;;;;;;;1
Anoniem 1318;1;;;;;;;;;1
Anoniem 1321;1;;;;;;;;;1
Anoniem 1323;1;;;;;;;;;1
Anoniem 1325;1;;;;;;;;;1
Anoniem 1327;;;;;;;;1;;1
Anoniem 1333;;;;;;;;1;;1
Anoniem 1336;1;;;;;;;;;1
Anoniem 1337;1;;;;;;;;;1
Anoniem 1338;1;;;;;;;;;1
Anoniem 1339;1;;;;;;;;;1
Anoniem 134;1;;;;;;;;;1
Anoniem 1343;1;;;;;;;;;1
Anoniem 1344;1;;;;;;;;;1
Anoniem 1346;1;;;;;;;;;1
Anoniem 1347;1;;;;;;;;;1
Anoniem 1354;;;;;;;;1;;1
Anoniem 1358;1;;;;;;;;;1
Anoniem 136;1;;;;;;;;;1
Anoniem 1366;2;;;;;;;;;2
Anoniem 1369;1;;;;;;;;;1
Anoniem 1371;;1;;;;;;;;1
Anoniem 1372;1;;;;;;;;;1
Anoniem 1374;1;;;;;;;;;1
Anoniem 138;1;;;;;;;;;1
Anoniem 1382;;;;;;;1;;;1
Anoniem 1383;1;;;;;;;;;1
Anoniem 1385;1;;;;;;;;;1
Anoniem 1395;1;;;;;;;;;1
Anoniem 1397;1;;;;;;;;;1
Anoniem 14;1;;;;;;;1;;2
Anoniem 140;;;;;;;1;;;1
Anoniem 1403;1;;;;;;;;;1
Anoniem 1404;;1;;;;;;;;1
Anoniem 1405;1;;;;;;;;;1
Anoniem 1409;1;;;;;;;;;1
Anoniem 141;1;1;;;1;;;;;1
Anoniem 1416;;1;;;;;;;;1
Anoniem 1418;1;;;;;;;;;1
Anoniem 142;1;;;;;;;;;1
Anoniem 1420;1;;;;;;;;;1
Anoniem 1423;1;;1;;;;1;2;;2
Anoniem 1425;1;;;;;;;;;1
Anoniem 1426;1;;;;;;;;;1
Anoniem 1427;;1;;;;;;;;1
Anoniem 1434;;1;;;;;;;;1
Anoniem 1437;1;;;;;;;1;;1
Anoniem 1441;;1;;;;;;;;1
Anoniem 1445;1;;;;;;;1;;1
Anoniem 1446;1;;;;;;;;;1
Anoniem 1449;1;;;;;;;;;1
Anoniem 1455;;;;;;;;1;;1
Anoniem 1460;1;;;;;;;;;1
Anoniem 1462;1;;;;;;;;;1
Anoniem 1466;;1;;;;;;;;1
Anoniem 1475;1;;;;;;;;;1
Anoniem 1478;;1;;;;;;;;1
Anoniem 1480;;;;;;;1;;;1
Anoniem 1482;1;;;;;;;;;1
Anoniem 1484;1;;;;;;;;;1
Anoniem 1486;1;;;;;;;;;1
Anoniem 1488;1;;;;;;;;;1
Anoniem 1489;;;;;;;;1;;1
Anoniem 1492;;1;;;;;;;;1
Anoniem 1493;1;;;;;;;;;1
Anoniem 1498;1;;;;;;;;;1
Anoniem 1500;1;;;;;;;;;1
Anoniem 152;;1;;;;;;;;1
Anoniem 155;1;;;;;;;;;1
Anoniem 156;1;;;;;;;;;1
Anoniem 159;1;1;;;;;;;;1
Anoniem 16;1;;;;;;;;;1
Anoniem 162;1;;;;;;;;;1
Anoniem 164;1;;;;;;;;;1
Anoniem 17;;;;;;;;1;;1
Anoniem 170;1;;;;;;;;;1
Anoniem 171;;;;;;;;1;;1
Anoniem 173;2;;;;;;;;;2
Anoniem 177;;;;;;;;1;;1
Anoniem 178;1;;;;;;;;;1
Anoniem 18;1;1;;;;;;;;1
Anoniem 180;1;;;;;;;;;1
Anoniem 184;1;;;;;;;;;1
Anoniem 185;;;;;;;;1;;1
Anoniem 186;1;;;;;;;;;1
Anoniem 187;1;;;;;;;;;1
Anoniem 191;1;;;;;;;;;1
Anoniem 195;1;;;;;;;;;1
Anoniem 196;1;;;;;;;;;1
Anoniem 197;;1;;;;;;;;1
Anoniem 199;1;;;;;;;;;1
Anoniem 20;;1;;;;;;;;1
Anoniem 203;1;;;;;;;;;1
Anoniem 205;;1;;;;;;;;1
Anoniem 206;1;;;;;;;;;1
Anoniem 207;1;;;;;;;;;1
Anoniem 21;1;;;;;;;;;1
Anoniem 211;1;;;;;;;;;1
Anoniem 212;1;;;;;;;;;1
Anoniem 214;1;;;;;;;;;1
Anoniem 216;1;;;;;;;;;1
Anoniem 22;;1;;;;;;;;1
Anoniem 222;1;1;;;;;;;;1
Anoniem 224;1;;;;;;;;;1
Anoniem 225;1;;;;;;;;;1
Anoniem 227;;;;;;;;1;;1
Anoniem 230;1;;;;;;;;;1
Anoniem 234;1;;;;;;;;;1
Anoniem 24;2;1;;;;;;;;2
Anoniem 243;;1;;;;;;;;1
Anoniem 244;1;;;;;;;;;1
Anoniem 246;1;;;;;;;;;1
Anoniem 247;;1;;;;;;;;1
Anoniem 253;;;;;;;;;1;1
Anoniem 254;1;;;;;;;;;1
Anoniem 259;;1;;;;;;;;1
Anoniem 26;2;;;;;;;;;2
Anoniem 261;2;;;;;;;;;2
Anoniem 262;1;;;;;;;;;1
Anoniem 266;;;;;;;;1;;1
Anoniem 272;;;;;;;;1;;1
Anoniem 273;;;;;;;;1;;1
Anoniem 278;1;;;;;;;;;1
Anoniem 279;1;;;;;;;;;1
Anoniem 282;1;;;;;;;;;1
Anoniem 287;2;;;;;;;;;2
Anoniem 292;1;;;;;;;;;1
Anoniem 294;;1;;;;;;;;1
Anoniem 295;1;;;;;;;;;1
Anoniem 296;;;;;;;1;;;1
Anoniem 299;1;;;;;;;;;1
Anoniem 300;;1;;;;;;;;1
Anoniem 301;1;;;;;;;;;1
Anoniem 302;;1;;;;;;;;1
Anoniem 303;;1;;;;;;;;1
Anoniem 305;1;;;;;;;;;1
Anoniem 307;;;;;;;1;;;1
Anoniem 309;1;;;;;;;;;1
Anoniem 31;;;;;;;;;1;1
Anoniem 310;1;;;;;;;;;1
Anoniem 312;1;;;;;;;;;1
Anoniem 324;;1;;;;;;;;1
Anoniem 325;;;;;;;;1;;1
Anoniem 327;;1;;;;;;;;1
Anoniem 328;1;;;;;;;;;1
Anoniem 332;1;;;;;;;;;1
Anoniem 333;1;;;;;;;;;1
Anoniem 34;1;;;;;;;;;1
Anoniem 342;2;;;;;;;;;2
Anoniem 345;1;;;;;;;;;1
Anoniem 346;;;2;;;;;;;2
Anoniem 347;1;;;;;;;;;1
Anoniem 348;;;1;;;;;;;1
Anoniem 349;;;1;;;;;;;1
Anoniem 350;1;;1;;;;;;;2
Anoniem 351;1;;;;;;;;;1
Anoniem 352;;;2;;;;;;;2
Anoniem 353;1;;;;;;;;;1
Anoniem 354;1;;;;;;;;;1
Anoniem 355;1;;;;;;;;;1
Anoniem 357;1;;;;;;;;;1
Anoniem 359;1;;;;;;;;;1
Anoniem 360;1;;;;;;;;;1
Anoniem 366;;;;;;;;2;;2
Anoniem 368;;1;;;;;;;;1
Anoniem 370;;;;;;;1;;;1
Anoniem 371;1;;;;;;;1;;1
Anoniem 372;1;;;;;;;;;1
Anoniem 373;1;;;;;;;;;1
Anoniem 376;1;;;;;;;;;1
Anoniem 380;;1;;;;;;;;1
Anoniem 381;1;;;;;;;;;1
Anoniem 383;;;;;;;;1;;1
Anoniem 385;;1;;;;;;;;1
Anoniem 388;1;;;;;;;;;1
Anoniem 39;1;;;;;;;;;1
Anoniem 391;1;;;;;;;;;1
Anoniem 392;;;;;;;1;;;1
Anoniem 398;1;;;;;;;;;1
Anoniem 401;1;;;;;;;;;1
Anoniem 402;1;;;;;;;;;1
Anoniem 405;;;;;;;;1;;1
Anoniem 406;1;;;;;;;;;1
Anoniem 408;1;;;;;;;;;1
Anoniem 413;1;;;;;;;;;1
Anoniem 416;1;;;;;;;;;1
Anoniem 42;1;;;;;;;1;;1
Anoniem 421;;;;;;;;;1;1
Anoniem 422;;;;;;;1;;;1
Anoniem 430;1;;;;;;;;;1
Anoniem 433;2;;;;;;;;;2
Anoniem 435;1;;;;;;;;;1
Anoniem 438;;;;;;;;;1;1
Anoniem 439;;1;;;;;;;;1
Anoniem 44;1;;;;;;;;;1
Anoniem 440;1;;;;;;;;;1
Anoniem 445;2;;;;;;;;;2
Anoniem 448;2;1;;;;;;;;2
Anoniem 449;;;;;;;;;1;1
Anoniem 450;1;;;;;;;;;1
Anoniem 451;1;;;;;;;;;1
Anoniem 454;;;;;;;;3;;3
Anoniem 456;1;;;;;;;;;1
Anoniem 463;1;;;;;;;;;1
Anoniem 464;1;;;;;;;;;1
Anoniem 465;1;;;;;;;;;1
Anoniem 468;1;;;;;;;;;1
Anoniem 469;;1;;;;;;;;1
Anoniem 47;1;;;;;;;1;;1
Anoniem 471;;;;;;;;1;;1
Anoniem 472;;1;;;;;;;;1
Anoniem 477;;1;;;;;;;;1
Anoniem 478;;;;;;;1;;;1
Anoniem 48;;;;;;;1;;;1
Anoniem 480;1;;;;;;;;;1
Anoniem 482;1;;;;;;;;;1
Anoniem 484;1;;;;;;;2;;2
Anoniem 485;;;;;;;1;;;1
Anoniem 486;1;;;;;;;;;1
Anoniem 488;1;;;;;;;;;1
Anoniem 490;1;;;;;;;1;;1
Anoniem 494;1;;;;;;;;;1
Anoniem 495;1;;;;;;;;;1
Anoniem 498;;;;;;;;1;;1
Anoniem 50;;;;;;;;1;;1
Anoniem 501;1;;;;;;;;;1
Anoniem 504;1;;;;;;;;;1
Anoniem 505;;;;;;;;1;;1
Anoniem 508;;;;;;;;;1;1
Anoniem 51;1;;;;;;;1;;1
Anoniem 511;1;;;;;;;;;1
Anoniem 512;1;;;;;;;;;1
Anoniem 514;;1;;;;;;;;1
Anoniem 516;1;;;;;;;;;1
Anoniem 518;1;;;;;;;;;1
Anoniem 52;1;;;;;;;;;1
Anoniem 522;1;;;;;;;;;1
Anoniem 525;1;;;;;;;;;1
Anoniem 529;;1;;;;;;;;1
Anoniem 530;1;;;;;;;;;1
Anoniem 531;2;;;;;;;2;;2
Anoniem 536;;;;;;;1;;;1
Anoniem 537;1;;;;;;;;;1
Anoniem 538;1;;;;;;;;;1
Anoniem 539;2;;;;;;;;;2
Anoniem 54;1;;;;;;;;;1
Anoniem 540;1;;;;;;;;;1
Anoniem 542;1;;;;;;;;;1
Anoniem 543;1;;;;;;;;;1
Anoniem 545;1;;;;;;;;;1
Anoniem 547;1;;;;;;;;;1
Anoniem 55;1;;;;;;;;;1
Anoniem 551;;;;;;;1;;;1
Anoniem 552;1;;;;;;;1;;1
Anoniem 554;2;;;;;;;5;;5
Anoniem 556;1;;;;;;;;;1
Anoniem 557;1;;;;;;;;;1
Anoniem 558;1;;;;;;;;;1
Anoniem 561;;;;;;;;1;;1
Anoniem 564;1;1;;;;;1;;;1
Anoniem 567;1;;;;;;;;;1
Anoniem 570;;;;;;;;2;;2
Anoniem 572;1;;;;;;;;;1
Anoniem 573;1;;;;;;;;;1
Anoniem 581;;;;;;;;1;;1
Anoniem 582;;;;;;;;1;;1
Anoniem 589;;1;;;;;;;;1
Anoniem 592;;1;;;;;;;;1
Anoniem 593;1;;;;;;;;;1
Anoniem 595;;1;;;;;;;;1
Anoniem 596;1;;;;;;;;;1
Anoniem 598;1;;;;;;;;;1
Anoniem 6;1;;;;;;;;;1
Anoniem 60;1;;;;;;;;;1
Anoniem 600;1;;;;;;;;;1
Anoniem 61;1;;;;;;;;;1
Anoniem 611;;1;;;;;;;;1
Anoniem 612;1;;;;;;;;;1
Anoniem 613;;;;;;;2;;;2
Anoniem 616;;;;;;;;1;;1
Anoniem 617;1;;;;;;;;;1
Anoniem 618;;1;;;;;;;;1
Anoniem 620;;;;;;;1;;;1
Anoniem 622;;1;;;;;;1;;2
Anoniem 624;;1;;;;;;;;1
Anoniem 627;1;;;;;;;;;1
Anoniem 65;1;;;;;;;;;1
Anoniem 67;1;;;;;;;;;1
Anoniem 680;1;;;;;;;;;1
Anoniem 697;1;;;;;;;;;1
Anoniem 7;2;;;;;;;;;2
Anoniem 70;2;;;;;;;;;2
Anoniem 700;1;;;;;;;1;;1
Anoniem 703;1;;;;;;;;;1
Anoniem 708;;;;;;;;1;;1
Anoniem 71;1;;;;;;;;;1
Anoniem 711;1;;;;;;;;;1
Anoniem 712;;;;;;;;1;;1
Anoniem 713;1;;;;;;;1;;1
Anoniem 716;1;;;;;;;;;1
Anoniem 717;1;;;;;;;;;1
Anoniem 718;;;;;;;;1;;1
Anoniem 719;1;;;;;;;;;1
Anoniem 721;1;;;;;;;;;1
Anoniem 724;;1;;;;;;;;1
Anoniem 726;1;;;;;;;;;1
Anoniem 73;;1;;;;;;;;1
Anoniem 731;1;;;;;;;;;1
Anoniem 733;1;;;;;;;;;1
Anoniem 735;1;;;;;;;;;1
Anoniem 737;1;;;;;;;;;1
Anoniem 743;1;;;;;;;;;1
Anoniem 745;1;;;;;;;;;1
Anoniem 749;1;;;;;;;;;1
Anoniem 75;1;;;;;;;;;1
Anoniem 751;1;;;;;;;;;1
Anoniem 752;1;;;;;;;;;1
Anoniem 756;1;;;;;;;;;1
Anoniem 757;1;;;;;;;;;1
Anoniem 759;;;;;;;;;1;1
Anoniem 763;1;;;;;;;;;1
Anoniem 765;;;;;;;1;;;1
Anoniem 766;1;;;;;;;;;1
Anoniem 769;;;;;;;1;;;1
Anoniem 772;1;;;;;;;;;1
Anoniem 773;1;;;;;;;;;1
Anoniem 774;1;;;;;;;;;1
Anoniem 778;1;;;;;;;;;1
Anoniem 788;;1;;;;;;;;1
Anoniem 789;1;;;;;;;;;1
Anoniem 79;1;;;;;;;;;1
Anoniem 792;1;;;;;;;;;1
Anoniem 793;1;;;;;;;;;1
Anoniem 800;1;1;;;;;;;;1
Anoniem 801;2;;;;;;;;;2
Anoniem 802;1;;;;;;;;;1
Anoniem 806;;1;;;;;;;;1
Anoniem 807;1;;;;;;;;;1
Anoniem 809;1;;;;;;;;;1
Anoniem 81;;;;;;;;1;;1
Anoniem 814;;1;;;;;;;;1
Anoniem 819;;;;;;;;1;;1
Anoniem 821;1;;;;;;;;;1
Anoniem 822;;;;;;;1;;;1
Anoniem 824;1;;;;;;;;;1
Anoniem 826;;;;;;;;1;;1
Anoniem 830;1;;;;;;;;;1
Anoniem 832;1;;;;;;;;;1
Anoniem 836;1;;;;;;;;;1
Anoniem 837;1;;;;;;;;;1
Anoniem 842;;;;;;;;1;;1
Anoniem 844;;;;;;;;2;;2
Anoniem 845;3;;;;;;;;;3
Anoniem 857;2;;;;;;;;;2
Anoniem 859;1;;;;;;;;;1
Anoniem 860;1;;;;;;;;;1
Anoniem 861;1;;;;;;;;;1
Anoniem 866;1;;;;;;;;;1
Anoniem 867;1;;;;;;;;;1
Anoniem 873;;;;;;;;;1;1
Anoniem 877;2;;;;;;;;;2
Anoniem 881;1;;;;;;;;;1
Anoniem 89;1;;;;;;;;;1
Anoniem 891;1;;;;;;;;;1
Anoniem 898;;;;;;;;1;;1
Anoniem 9;;1;;;;;;;;1
Anoniem 90;1;;;;;;;1;;1
Anoniem 902;1;;;;;;;;;1
Anoniem 903;1;;;;;;;;;1
Anoniem 908;1;;;;;;;;;1
Anoniem 909;;1;;;;;;;;1
Anoniem 910;1;;;;;;;;;1
Anoniem 913;1;;;;;;;;;1
Anoniem 914;1;;;;;;;;;1
Anoniem 915;1;;;;;;;;;1
Anoniem 917;1;;;;;;;;;1
Anoniem 924;1;;;;;;;;;1
Anoniem 926;;;2;;;;;;;2
Anoniem 927;1;;;;;;;;;1
Anoniem 933;;;;;;;;;1;1
Anoniem 935;;;;;;;1;;;1
Anoniem 94;1;;;;;;;;;1
Anoniem 944;;;;;;;;1;;1
Anoniem 952;1;;;;;;;;;1
Anoniem 956;1;;;;;;;;;1
Anoniem 957;1;;;;;;;;;1
Anoniem 96;1;;;;;;;;1;1
Anoniem 962;1;;;;;;;;;1
Anoniem 964;;;;;;;;1;;1
Anoniem 968;1;;;;;;;;;1
Anoniem 970;1;;;;;;;;;1
Anoniem 971;;;;;;;;1;;1
Anoniem 972;;;;;;;;1;;1
Anoniem 973;1;;;;;;;;;1
Anoniem 974;1;;;;;;;;;1
Anoniem 979;1;;;;;;;;;1
