Maand,Evenement,Locatie,Soort Evm,begintijd,Eindtijd
13/04/2017,Tweetakt,de Neude,cultureel,,
13/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
13/04/2017,Kermis Utrecht Griftpark,Griftpark,kermis,,
14/04/2017,Tweetakt,de Neude,cultureel,,
14/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
14/04/2017,Kermis Utrecht Griftpark,Griftpark,kermis,,
14/04/2017,Tweetakt,Castellum Hoge Woerd,cultureel,,
15/04/2017,Tweetakt,de Neude,cultureel,,
15/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
15/04/2017,Kermis Utrecht Griftpark,Griftpark,kermis,,
15/04/2017,Tweetakt,Castellum Hoge Woerd,cultureel,,
15/04/2017,Paaseieren zoeken,Jochem Uytdehaageplantsoen,cultureel,,
15/04/2017,Braderie Plantage,Plantage,markt,,
16/04/2017,Tweetakt,de Neude,cultureel,,
16/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
16/04/2017,Kermis Utrecht Griftpark,Griftpark,kermis,,
16/04/2017,Tweetakt,Castellum Hoge Woerd,cultureel,,
16/04/2017,de Streekmarkt.nl,Wilhelminapark,markt,,
16/04/2017,Platen - CD – Beurs,Janskerkhof,markt,,
17/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
17/04/2017,Kermis Utrecht Griftpark,Griftpark,kermis,,
17/04/2017,De Halve van De Haar,Haarzuilens en Vleuten,kermis,,
18/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
19/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
20/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
21/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
22/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
22/04/2017,Internationale dag van de aarde,Castellum Hoge Woerd,cultureel,,
23/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
23/04/2017,Utrecht Urban Trail,Nog onbekend,sport,,
23/04/2017,FC Utrecht-Roda JC,Stadion Galgenwaard,voetbal,,
23/04/2017,CZ- Utrecht 50-75,"Stadhuisbrug, Korte Minrebroederstraat",cultureel,,
23/04/2017,Braderie Marshalllaan,Marshalllaan,markt,,
24/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
25/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
26/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
26/04/2017,Knight,Jacobskerkhof,muziek,,
26/04/2017,Evenementenpleinen i.v.m. Koningsdag       *¹   ( tot 90 dB(A)),"Breedstraat, Tolsteegbarrière, Domplein, Neude, Korte Minrebroederstraat, Vredenburg, Jacobskerkhof, Lucas Bolwerk, Mariaplaats, Wijde Begijneplein, Begijneplein, Janskerkhof, Stadhuisbrug, Rozenstraat, Waterstraat",muziek,,
26/04/2017,Koningsdag 2017,Pleintje Predikherenkerkhof / Lange Lauwerstraat,muziek,,
26/04/2017,Koningsnacht en Koningsdag,Rozenstraat,muziek,,
27/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
27/04/2017,Evenementenpleinen i.v.m. Koningsdag       *¹   ( tot 90 dB(A)),"Breedstraat, Tolsteegbarrière, Domplein, Neude, Korte Minrebroederstraat, Vredenburg, Jacobskerkhof, Lucas Bolwerk, Mariaplaats, Wijde Begijneplein, Begijneplein, Janskerkhof, Stadhuisbrug, Rozenstraat, Waterstraat",muziek,,
27/04/2017,Koningsdag 2017,Pleintje Predikherenkerkhof / Lange Lauwerstraat,muziek,,
27/04/2017,Koningsnacht en Koningsdag,Rozenstraat,muziek,,
27/04/2017,Koningsdag Wijken,"Vleuten, De Meern, Leidsche Rijn, Oog in Al, Zuilen, Tuindorp, Rijnsweerd, Lepelenburg, Hoograven, Het Zand",cultureel,,
27/04/2017,Lombok koningsdag 2017,"Kanaalstraat, Damstraat, moskeeplein.",markt,,
27/04/2017,Koningsdag in t park,Maximapark,muziek,,
27/04/2017,Kingshouse,Jaarbeurs Utrecht,muziek,,
27/04/2017,Seizoensopening de Klanksteen,"Muziektent ""De Klanksteen"" in Tolsteegplantsoen",muziek,,
27/04/2017,Braderie Lombok (marbo),Kanaalstraat,markt,,
27/04/2017,Las Nueve Open Air Tango,Korte Minrebroederstraat,cultureel,,
28/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
29/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
29/04/2017,Elfia,Kasteel de Haar,cultureel,,
30/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
30/04/2017,Swan Market,Vredenburg,markt,,
30/04/2017,Elfia,Kasteel de Haar,cultureel,,
Mei,,,,,
01/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
02/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
03/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
04/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
04/05/2017,Las Nueve Open Air Tango,Korte Minrebroederstraat,cultureel,,
04/05/2017,Dodenherdenking,Berlijnplein,cultureel,,
04/05/2017,4 mei herdenking,Monument Antje Drijverplantsoen,cultureel,,
04/05/2017,4 mei herdenking,Beethovenplein,cultureel,,
04/05/2017,Dodenherdenking,Domplein,cultureel,,
04/05/2017,Dodenherdenking Hoograven,Julianaweg Vrijheidsboom,cultureel,,
04/05/2017,Dodenherdenking,Diverse locaties in de wijken,cultureel,,
05/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
05/05/2017,Sushi Evenement,Lucas Bolwerk,food,,
05/05/2017,Bevrijdingsfestival,Castellum De Hooge Woerd of Berlijnplein,cultureel,,
05/05/2017,Bevrijdings Festival                       *¹   ( tot 90 dB(A)),Park Transwijk,muziek,,
05/05/2017,Lombok 5 mei,Lombok,markt,,
05/05/2017,Springkussenfeest,Janskerkhof,,,
05/05/2017,Utrecht Physics Challenge,Domplein,cultureel,,
06/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
06/05/2017,Sushi Evenement,Lucas Bolwerk,food,,
06/05/2017,Platen - CD - Beurs,Mariaplaats,markt,,
06/05/2017,Utrecht Physics Challenge,Domplein,cultureel,,
07/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
07/05/2017,Sushi Evenement,Lucas Bolwerk,food,,
07/05/2017,FC Utrecht-Vitesse,Stadion Galgenwaard,voetbal,,
07/05/2017,de Streekmarkt.nl,Domplein,markt,,
07/05/2017,Braderie Marco Polo,Marco Pololaan,markt,,
07/05/2017,Romeinenweek en afsluitende Romeinendag,Castellum Hoge Woerd,cultureel,,
08/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
09/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
10/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
10/05/2017,Kermis Vleuten,Dorpsplein Vleuten,kermis,,
11/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
11/05/2017,Kermis Vleuten,Dorpsplein Vleuten,kermis,,
11/05/2017,Las Nueve Open Air Tango,Korte Minrebroederstraat,cultureel,,
11/05/2017,Fonteyn Festival,Janskerkhof,muziek,,
12/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
12/05/2017,Kermis Vleuten,Dorpsplein Vleuten,kermis,,
12/05/2017,Festival voor de Verandering (werktitel),Metaal Kathedraal - Rijksstraatweg 20,cultureel,,
12/05/2017,Fonteyn Festival,Janskerkhof,muziek,,
13/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
13/05/2017,Kermis Vleuten,Dorpsplein Vleuten,kermis,,
13/05/2017,Festival voor de Verandering (werktitel),Metaal Kathedraal - Rijksstraatweg 21,cultureel,,
13/05/2017,Braderie Tiberdreef,Tiberdreef,markt,,
13/05/2017,Fonteyn Festival,Janskerkhof,muziek,,
14/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
14/05/2017,Kermis Vleuten,Dorpsplein Vleuten,kermis,,
14/05/2017,Festival voor de Verandering (werktitel),Metaal Kathedraal - Rijksstraatweg 22,cultureel,,
14/05/2017,Home Made Market,Vredenburg,markt,,
14/05/2017,Fonteyn Festival,Janskerkhof,muziek,,
15/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
15/05/2017,62e Avondvierdaagse Utrecht (noordwest),Grasvelden “Klokkenvelden” aan de Kloosterlaan  ,kinderen,,
16/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
16/05/2017,63e Avondvierdaagse Utrecht (noordwest),Grasvelden “Klokkenvelden” aan de Kloosterlaan  ,kinderen,,
17/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
17/05/2017,64e Avondvierdaagse Utrecht (noordwest),Grasvelden “Klokkenvelden” aan de Kloosterlaan  ,kinderen,,
18/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
18/05/2017,65e Avondvierdaagse Utrecht (noordwest),Grasvelden “Klokkenvelden” aan de Kloosterlaan  ,kinderen,,
18/05/2017,Las Nueve Open Air Tango,Korte Minrebroederstraat,cultureel,,
18/05/2017,SPRING Performing Arts Festival,Neude e.o.,cultureel,,
19/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
19/05/2017,Springkussenfeest,Janskerkhof,,,
19/05/2017,SPRING Performing Arts Festival,Neude e.o.,cultureel,,
20/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
20/05/2017,Fete de la Nature,Castellum Hoge Woerd,cultureel,,
20/05/2017,SPRING Performing Arts Festival,Neude e.o.,cultureel,,
20/05/2017,Soenda Festival,Ruigenhoeksepolder,muziek,,
20/05/2017,Hopfeest,Korte Minrebroederstraat,food,,
21/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
21/05/2017,Fete de la Nature,Castellum Hoge Woerd,cultureel,,
21/05/2017,Braderie Vasco da Gama,Vasco da Gamalaan,markt,,
21/05/2017,SPRING Performing Arts Festival,Neude e.o.,cultureel,,
21/05/2017,de Streekmarkt.nl,Wilhelminapark,markt,,
21/05/2017,Platen - CD – Beurs,Janskerkhof,markt,,
21/05/2017,Tour d 'Utrecht,Utrecht Science Park en route,sport,,
22/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
22/05/2017,SPRING Performing Arts Festival,Neude e.o.,cultureel,,
23/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
23/05/2017,SPRING Performing Arts Festival,Neude e.o.,cultureel,,
24/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
24/05/2017,SPRING Performing Arts Festival,Neude e.o.,cultureel,,
25/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
25/05/2017,Las Nueve Open Air Tango,Korte Minrebroederstraat,cultureel,,
25/05/2017,SPRING Performing Arts Festival,Neude e.o.,cultureel,,
25/05/2017,Gulpener Bluegrassfestival Utrecht,Springertuin Zuilen,muziek,,
25/05/2017,Braderie ASW (marbo),Amsterdamsestraatweg,markt,,
25/05/2017,Foodtruckfestival Maximaal Genieten,Maximapark,food,,
26/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
26/05/2017,SPRING Performing Arts Festival,Neude e.o.,cultureel,,
26/05/2017,Foodtruckfestival Maximaal Genieten,Maximapark,food,,
27/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
27/05/2017,SPRING Performing Arts Festival,Neude e.o.,cultureel,,
27/05/2017,Foodtruckfestival Maximaal Genieten,Maximapark,food,,
27/05/2017,DeloopvanLeidscherijn,"De Meern, Vleuten en Utrecht",sport,,
27/05/2017,Festival deBeschaving,Botanische Tuinen,muziek,,
28/05/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
28/05/2017,Swan Market,Vredenburg,markt,,
28/05/2017,Foodtruckfestival Maximaal Genieten,Maximapark,food,,
28/05/2017,DeloopvanLeidscherijn,"De Meern, Vleuten en Utrecht",sport,,
5/5 tot en met 29/9,Utrecht Skate Parade,Lucasbolwerk Utrecht,sport,,
,,,,,
29/05/2017,Avondvierdaagse Leidsche Rijn,Castellum Hoge Woerd,kinderen,,
,,,,,
30/05/2017,Avondvierdaagse Leidsche Rijn,Castellum Hoge Woerd,kinderen,,
31/05/2017,,,,,
Juni,,,,,
01/06/2017,Avondvierdaagse Leidsche Rijn,Castellum Hoge Woerd,kinderen,,
01/06/2017,Festival Trek,Griftpark,food,,
01/06/2017,Las Nueve Open Air Tango,Korte Minrebroederstraat,cultureel,,
02/06/2017,Juni Witbierfestival,Domplein,,,
02/06/2017,Festival Trek,Griftpark,,,
03/06/2017,Juni Witbierfestival,Domplein,,,
03/06/2017,Platen - CD - Beurs,Mariaplaats,,,
03/06/2017,Benefietconcert,Park Lepelenburg,,,
03/06/2017,Braderie Adm. Helfrichlaan,Admiraal Helfrichlaan,,,
03/06/2017,Festival Trek,Griftpark,,,
03/06/2017,Nationale nachtvlindernacht,Castellum Hoge Woerd,,,
04/06/2017,Juni Witbierfestival,Domplein,,,
04/06/2017,Festival Trek,Griftpark,,,
04/06/2017,de Streekmarkt.nl,Domplein,,,
04/06/2017,Nationale nachtvlindernacht,Castellum Hoge Woerd,,,
04/06/2017,Jazz Festival,Janskerkhof,muziek,12:00,23:00
04/06/2017,Roeiregatta,Tussen Zandbrug en Sluiskom,,,
04/06/2017,Klein New Orleans,Breedstraat / Wijde Begijnestraat,,,
05/06/2017,Festival Trek,Griftpark,,,
05/06/2017,Zomerse Zondag,Castellum Hoge Woerd,,,
05/06/2017,CZ-Utrecht Centraal,"Stadhuisbrug, Oudegracht, Korte Minrebroederstraat, Janskerkhof, Domplein, Mariaplaats, Vredenburg, Ledig Erf",,,
05/06/2017,Beachweek Utrecht (incl Eredivisie Beachvolleybal Tour 2017),Lucasbolwerk,,,
06/06/2017,Beachweek Utrecht (incl Eredivisie Beachvolleybal Tour 2017),Lucasbolwerk,,,
07/06/2017,Beachweek Utrecht (incl Eredivisie Beachvolleybal Tour 2017),Lucasbolwerk,,,
08/06/2017,Beachweek Utrecht (incl Eredivisie Beachvolleybal Tour 2017),Lucasbolwerk,,,
08/06/2017,Platen - CD - Beurs,Vredenburg,,,
08/06/2017,Las Nueve Open Air Tango,Korte Minrebroederstraat,,,
09/06/2017,Beachweek Utrecht (incl Eredivisie Beachvolleybal Tour 2017),Lucasbolwerk,,,
09/06/2017,Kermis Utrecht Amaliapark,Amaliapark,,,
10/06/2017,Beachweek Utrecht (incl Eredivisie Beachvolleybal Tour 2017),Lucasbolwerk,,,
10/06/2017,Kermis Utrecht Amaliapark,Amaliapark,,,
10/06/2017,Bourgondisch Vleuten,Dorpsplein te VLeuten,,,
10/06/2017,Braderie Plantage,Plantage,,,
10/06/2017,Ouderdagen Veritas,Schoolpleintje bij Kromme Nieuwegracht van de Vrije School Utrecht,,,
11/06/2017,Beachweek Utrecht (incl Eredivisie Beachvolleybal Tour 2017),Lucasbolwerk,,,
11/06/2017,Kermis Utrecht Amaliapark,Amaliapark,,,
11/06/2017,Ouderdagen Veritas,Schoolpleintje bij Kromme Nieuwegracht van de Vrije School Utrecht,,,
11/06/2017,A Lazy Sunday Afternoon,Tolsteegplantsoen   ,,,
11/06/2017,Run for KiKa Utrecht,Maximapark,,,
11/06/2017,Zomerse Zondag,Castellum Hoge Woerd,,,
11/06/2017,Ladiesrun Utrecht,Berlijnplein,,,
11/06/2017,Home Made Market,Vredenburg,,,
12/06/2017,Kermis Utrecht Amaliapark,Amaliapark,,,
13/06/2017,Kermis Utrecht Amaliapark,Amaliapark,,,
14/06/2017,Kermis Utrecht Amaliapark,Amaliapark,,,
15/06/2017,Kermis Utrecht Amaliapark,Amaliapark,,,
15/06/2017,Las Nueve Open Air Tango,Korte Minrebroederstraat,,,
16/06/2017,Kermis Utrecht Amaliapark,Amaliapark,,,
16/06/2017,WASBE fringe,stadhuisbrug / stadhuisplein - minrebroederstraat / oude gracht (varen) / park lepelenburg / hal centraal station - plein voor stadskantoor / Neude / Mariaplaats,,,
16/06/2017,Gracht & Nacht,Korte Minrebroederstraat,,,
16/06/2017,Magic Circus,Julianapark,,,
17/06/2017,Kermis Utrecht Amaliapark,Amaliapark,,,
17/06/2017,WASBE fringe,stadhuisbrug / stadhuisplein - minrebroederstraat / oude gracht (varen) / park lepelenburg / hal centraal station - plein voor stadskantoor / Neude / Mariaplaats,,,
17/06/2017,Utrecht Canal Pride,Oudegracht,,,
17/06/2017,Afterparty Utrecht Canal Parade,Jacobikerkhof of hoek Daalsesingel/Paardeveld/Nieuwekade,,,
17/06/2017,Haringparty,Korte Minrebroederstraat,,,
17/06/2017,Braderie de Klop,WKC de Klop,,,
17/06/2017,Magic Circus,Julianapark,,,
17/06/2017,Utrecht Gezond,Castellum Hoge Woerd,,,
18/06/2017,Kermis Utrecht Amaliapark,Amaliapark,,,
18/06/2017,WASBE fringe,stadhuisbrug / stadhuisplein - minrebroederstraat / oude gracht (varen) / park lepelenburg / hal centraal station - plein voor stadskantoor / Neude / Mariaplaats,,,
18/06/2017,Parkdag Midzomergracht,Griftpark,,,
18/06/2017,SingelSwim Utrecht,Singel en Park Lepelenburg,,,
18/06/2017,Magic Circus,Julianapark,,,
18/06/2017,Utrecht Gezond,Castellum Hoge Woerd,,,
18/06/2017,de Streekmarkt.nl,Wilhelminapark,,,
18/06/2017,Dag van het Wilhelminapark,Wilhelminapark,,,
18/06/2017,A Lazy Sunday Afternoon,Park Lepelenburg   ,,,
18/06/2017,Zomerse Zondag,Castellum Hoge Woerd,,,
18/06/2017,Platen - CD – Beurs,Janskerkhof,,,
18/06/2017,Braderie Marco Polo,Marco Pololaan,,,
18/06/2017,Kinderspeelweekend,Julianapark,,,
19/06/2017,WASBE fringe,stadhuisbrug / stadhuisplein - minrebroederstraat / oude gracht (varen) / park lepelenburg / hal centraal station - plein voor stadskantoor / Neude / Mariaplaats,,,
19/06/2017,Kinderspeelweekend,Julianapark,,,
20/06/2017,WASBE fringe,stadhuisbrug / stadhuisplein - minrebroederstraat / oude gracht (varen) / park lepelenburg / hal centraal station - plein voor stadskantoor / Neude / Mariaplaats,,,
20/06/2017,Kinderspeelweekend,Julianapark,,,
21/06/2017,WASBE fringe,stadhuisbrug / stadhuisplein - minrebroederstraat / oude gracht (varen) / park lepelenburg / hal centraal station - plein voor stadskantoor / Neude / Mariaplaats,,,
22/06/2017,WASBE fringe,stadhuisbrug / stadhuisplein - minrebroederstraat / oude gracht (varen) / park lepelenburg / hal centraal station - plein voor stadskantoor / Neude / Mariaplaats,,,
22/06/2017,Las Nueve Open Air Tango,Korte Minrebroederstraat,,,
23/06/2017,WASBE fringe,stadhuisbrug / stadhuisplein - minrebroederstraat / oude gracht (varen) / park lepelenburg / hal centraal station - plein voor stadskantoor / Neude / Mariaplaats,,,
23/06/2017,Lepeltje Lepeltje,Park Lepelenburg   ,,,
23/06/2017,Utrecht Kookt,Park Transwijk,,,
23/06/2017,HomeRide,Domplein,,,
24/06/2017,HomeRide,Domplein,,,
24/06/2017,Lepeltje Lepeltje,Park Lepelenburg   ,,,
24/06/2017,Ronde van het Wilhelminapark,Wilhelminapark en route,,,
24/06/2017,40UP Zomerfestival,Papendorp,,,
24/06/2017,Utrecht Kookt,Park Transwijk,,,
24/06/2017,Braderie WKC Kanaleneiland,WKC Kanaleneiland en parkeerplaats,,,
25/06/2017,Lepeltje Lepeltje,Park Lepelenburg   ,,,
25/06/2017,Ronde van de Maliebaan,Wilhelminapark en route,,,
25/06/2017,Swan Market,Vredenburg,markt,,
25/06/2017,Lombok Kadeconcert 2017,Vlonder Muntplein / nabij AT-brug / 's Rijks Munt,,,
25/06/2017,Vrouwentriathlon,Haarrijnseplas/ ‘t Lint,,,
25/06/2017,A Lazy Sunday Afternoon,Castellum Hoge Woerd ,,,
25/06/2017,Fete de la Musique,Muziektent De Klanksteen in Tolsteegplantsoen,,,
25/06/2017,Utrecht Kookt,Park Transwijk,,,
25/06/2017,Braderie WKC Kanaleneiland,WKC Kanaleneiland en parkeerplaats,,,
25/06/2017,HomeRide,Domplein,,,
29/06/2017,Las Nueve Open Air Tango,Korte Minrebroederstraat,,,
30/06/2017,EuroChoir 2017,"op diverse plekken in de binnenstad (stadhuisbrug, stadhuisplein, domplein, neude, vredenburg, pandhof)",,,
juli,,,,,
01/07/2017,EuroChoir 2017,"op diverse plekken in de binnenstad (stadhuisbrug, stadhuisplein, domplein, neude, vredenburg, pandhof)",,,
01/07/2017,Challenger Run,Máximapark Leidsche Rijn,,,
01/07/2017,Roots in the Park,Julianapark,,,
01/07/2017,Platen - CD - Beurs,Mariaplaats,,,
01/07/2017,Zomerkriebels Festival,Grasweide Papendorp,,,
01/07/2017,Braderie Marshalllaan,Marshalllaan,,,
01/07/2017,Open  Tuinendag,Binnenstad,,,
02/07/2017,EuroChoir 2018,"op diverse plekken in de binnenstad (stadhuisbrug, stadhuisplein, domplein, neude, vredenburg, pandhof)",,,
02/07/2017,de Streekmarkt.nl,Domplein,,,
02/07/2017,Tour d 'Utrecht,Jaarbeurs en route,,,
02/07/2017,Zomerse Zondag,Castellum Hoge Woerd,,,
02/07/2017,Braderie IBB (marbo),IBB Laan,,,
03/07/2017,EuroChoir 2019,"op diverse plekken in de binnenstad (stadhuisbrug, stadhuisplein, domplein, neude, vredenburg, pandhof)",,,
04/07/2017,EuroChoir 2020,"op diverse plekken in de binnenstad (stadhuisbrug, stadhuisplein, domplein, neude, vredenburg, pandhof)",,,
05/07/2017,EuroChoir 2021,"op diverse plekken in de binnenstad (stadhuisbrug, stadhuisplein, domplein, neude, vredenburg, pandhof)",,,
