Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;7-Huisvesting
LEIJEN K OLIEPRODUKTEN;;1;;;1
Lejeune Multi Electra;1;;;;1
Lemans;1;;;;1
Liander;;7;;;7
Liandon;;1;;;1
Liftinstituut;1;;;;1
Linde Gas (incl. Cryoservice en Therapeutics);;1;;;1
Lloyd's Register (incl. Cedeo);1;;;;1
LOONBEDRIJF OSKAM;2;;;;2
LSREF3 Eve De Maas;;;;3;3
Luke Bouwman B.V.;2;;;;2
M. Schroevers Installatiebedrijf;1;;;;1
M7 Group (Canaldigitaal);1;;;;1
Manutan (vh Overtoom International);1;;;;1
Marx Investments;;2;;;2
Meliskerke Bouwbedrijf;3;;;;3
Metos Kitchen Intelligence;1;;;;1
Mettler-Toledo;1;;;;1
MII;1;;;;1
Mitari Hijstechniek;1;;;;1
Mk2 Visuele Media;2;;;1;2
MOL INSTALLATIETECHNIEK HOORN;1;;;;1
Monsdal;1;;;;1
Moodfactory;1;;;;1
Movares Nederland;4;;;;4
MUIDERZAND RECREATIEPARK MARINA;;;;1;1
Mur Conditioning;1;;;;1
MWH;4;;;;4
NANCY KLOMP WATERSNIJTECHNIEK B.V.;3;;;;3
Nederlands Wegenmarkeerbedrijf;1;;;;1
Nedfilter;1;;;;1
Nic Best Deal;1;;;1;1
Nico Transport;1;;;;1
Nijkamp Technisch Bureau;1;;;;1
Nistar;1;;;;1
NoRisk KeyManagement (Traka);1;;;;1
NOVENCO;1;;;;1
Nuon Business;;2;;;2
Oasen;;1;;;1
OBM Ongedierte bestrijding Maarssen;1;1;;;1
OBN Ongedierte Bestrijding Nederland;;1;;;1
Observator Instruments, VIsion;4;;;;4
Officenter Maastricht;2;;;;2
OK Gas;;4;;;4
Oliecentrale Nederland;;3;;;3
Oliehandel Dekker;;1;;;1
Olssen;1;;;;1
Olympus;3;;;;3
Only Human Recruiting en Consulting;4;;;;4
ONNINK & ZN.;1;;;;1
Opbouw Groenvoorziening;2;;;;2
Opgeleid Persoon;1;;;;1
Oving Projectinrichting;1;;;;1
Passionned;1;;;;1
PBS Holland;1;;;;1
PBT Beveiliging en Telecom;1;;;;1
Pcs Europe;;1;;;1
PIPELIFE NEDERLAND B.V.;;1;;;1
Plaatwerkindustrie Tol;3;;;;3
Porto Kali Kantoren;;1;;;1
Post technische groothandel;1;;;;1
Primagaz Nederland;;3;;;3
PRIMAKABIN;2;;;;2
Pronk Ontwerp;2;;;;2
Protinus It;;;;1;1
PWN Waterleidingbedrijf Noord-Holland;;3;;;3
Qpit;1;;;;1
QUALITY FACILITY SERVICES;2;;;;2
Randstad Group (incl. Tempo Team, P/Flex);3;;;;3
Recool;1;;;;1
Recycling Kampen Containers &;1;;;4;4
Rendo;;1;;;1
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);2;;;;2
Reson;2;;;;2
Revis Verkeerstechniek;1;;;;1
Reym;1;;;;1
RIJNGAS;;1;;;1
Riool Techniek Kraggenburg;1;;;;1
Rontgen Technische Dienst;1;;;;1
Roodbeen (Jongensboek);;;;2;2
Roompot Service;;1;;;1
ROOSENDAAL LANDSCAPING;1;;;;1
ROST GROENVOORZIENINGEN;1;;;;1
Rotterdam Airport;1;;;;1
ROVATO TECHNIEK;1;;;;1
Royal Haskoning DHV (incl. Koninklijke Haskoning, Royal Haskoning, Corsmit, DHV);5;;;;5
RPS Advies- en Ingenieursbureau (incl. Analyse, Bcc);3;;;;3
RRS Riool Reinigings Service (incl. HRT Holland Riooltechniek);1;;;;1
Sabel Communicatie;2;;;;2
SAFE BEVEILIGING;1;;;;1
Sagro;3;;;;3
Salland Olie Maatschappij;;3;;;3
Schietbaan Europoort Restaurant;;;;2;2
Schrijver Bouwbedrijf;1;;;;1
Schuitemaker;3;;;;3
Search Ingenieursbureau, Laboratorium, Opleidingen, Consultancy, Knowledge;1;;;;1
Securitas (incl. Data en Archief, Telematics, Direct, Alert Teleservices, Meldkamer MG, MPL Beveiligingsdiensten);2;;;;2
Service Team Nederland;2;;;;2
Shiraz-Bedrijfsinrichtingen;;;;1;1
Siemens Nederland;2;;;;2
Signa Terra Hoveniers;4;;;;4
Skippi Sneltransport;;1;;;1
Sleutelservice.com;1;;;;1
SMC Security Monitoring Centre;1;;;;1
Smoortax;;;1;;1
Solutions for Security;2;;;;2
SOURCE4ENERGY B.V.;;2;;;2
SPAN DESIGN;1;;;;1
SPPS;;4;;;4
SPYKE SECURITY;4;;;;4
Staelduinsebos Groenspecialisten;;;;1;1
Stania State Restaurant-Brasserie;;1;;;1
Stedin (vh Eneco Netbeheer, Mdds);1;7;;;7
Stg SAB Afvalstoffen & Vaardocumenten Binnenvaart;;1;;;1
STICHTING FACILITY WORLD;2;;;;2
Stichting Terschellings Oerol Festival;1;;;;1
STOUTJESDIJK AANNEMINGSBEDRIJF;1;;;;1
STREETFURNITURE MONTAGE;1;;;;1
Studio Groen + Schild;1;;;;1
Stulz Groep;1;;;;1
Sun Solutions;;2;;;2
Swanenberg Groep;;;;5;5
Sysmex (vh Goffin Meyvis);2;;;;2
Sysqa;3;;3;;4
TAFELMAN BOUW;1;;;;1
Tasman Properties;;;;3;3
Tauw;1;;;;1
TBI Techniek (incl. Croon Electrotechniek, Wolter & Dros, CWF);2;;;;2
Team Relocations, Project Verhuizers;;;1;;1
Tebezo Aannemersbedrijf;2;;;;2
Technische Unie;1;1;;;1
Technogym the Wellness Company;1;;;;1
Teeuwissen Rioolreiniging;1;;;;1
Termifa;1;;;;1
Tes Installatietechniek;3;;;;3
Thyzo;1;;;;1
Tijssens Electrotechniek;1;;;;1
TNO;;6;;;6
TOD NIJKAMP;2;;;;2
Toolstation;1;;;;1
Top Movers;5;7;2;;7
TOS Transport & Offshore Services;;4;;;4
Totems Architecture;;1;;;1
Traas Ongediertebestrijding;1;;;;1
Trenton;;5;;;5
Triopsys;;;1;;1
Twynstra Gudde (incl. Adviestalent, The Bridge Business Innovators);5;;;;5
Tyco Integrated Fire & Security (incl. ADT Fire & Security);1;;;;1
Unica (ICT Network, Technisch beheer, Installatietechniek, Automatic Sprinkler);2;;;;2
UTS UniGroup Worlwide incl. UGRN, APC verhuizen;2;;1;;2
VAN BERGHEM EN DIJKSTRA;1;;;;1
Van De Zaag Bedrijfswageninrichtingen en Voertuigelektronica;1;;;;1
Van den Hoogen Security;1;;;;1
Van der Peijl Groep;;1;;;1
Van der Velden Rioleringsbeheer;1;;;;1
Van Dijk Employment Services;3;;;;3
Van Doorn Gebr.;2;;;;2
Van Gansewinkel;;1;;;1
Van Ginkel Groep Hoveniersbedrijf (incl. Pius Floris);1;;;;1
Van Keulen Interieurbouw (incl. Magista);1;;;;1
Van Randwijk Paperflow Solutions;;;1;;1
Van Rossum Ijzerhandel;1;;;;1
VAN SCHOOR AVIATION INFRA TECHNIEK;1;;;;1
Van Zwanenburg Handelmaatschappij, Projekten;1;;;;1
Vandervelde Protection;1;;;;1
VanDoClean / Absorbit;1;;;;1
VCK Groep, Travel & Logistics;;1;;;1
VDP ARCHITECTEN;1;;;;1
VDW Coolsystems;1;;;;1
Venko Schilderwerken;3;;;;3
Verboon Verhuur, Groen;1;;;;1
Vereniging Dakbedekkingsbranche Nederland Vebidak;1;;;;1
VERENIGING PARKMANAGEMENT BUITENVAA;;1;;;1
VGM BULLER;;;;1;1
VIALIS INFRATECHNIEK;4;;;;4
Vialis Traffic;1;;;;1
VIHO LEEUWARDEN;1;;;;1
Vink Schilderwerken & Bouwonderhoud;1;;;;1
VISAFSLAG STELLENDAM;;1;;;1
Vissers Oliehandel Horst;;1;;;1
Vitrov Bouw en Vastgoed;1;;;;1
Vodafone (incl. Libertel);1;;1;;1
Volta Limburg;1;;;;1
Voorberg Bouwkunde;1;;;;1
Voskuilen Interieur- en Projectstoffering;1;;;1;1
VREGELAAR TEN TIMMER- EN BOUWBEDRIJ;1;;;;1
VRIES DE INSTALL BEDRIJF;1;;;;1
Vuuren van Elektrotech;1;;1;;1
WAGENSVELD HOVENIERS;1;;;;1
Waterbedrijf Groningen;;1;;;1
Waterkracht;1;;;;1
Westerdijk, I.D.G.;;;;1;1
Westland Infra;;1;;;1
WILLARD TRANSPORT;1;;;;1
Wits Noord;4;;;;4
Witteveen+Bos Raadgevende Ingenieurs;1;;;;1
WMD Waterleidingmaatschappij Drenthe;;1;;;1
WOONSFEER;2;;;;2
WORK'N TOOLS;1;;;;1
Zetes;1;;;;1
ZETSTRA BOUWBEDRIJF ENUMATIL;1;;;;1
Zonwering-Nederland;1;;;;1
Zwaard Ijzerhandel;1;;;;1
Eindtotaal;9;10;4;7;11
