Datum,Dag,Evenement,locatie,Bijzonderheden
19/04/2019,zaterdag,Kermis Utrecht,Griftpark,versterkt geluid
20/04/2019,zaterdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
20/04/2019,zondag,Platen- CD beurs,Mariaplaats,
20/04/2019,zaterdag,Braderie Adm. Helfrichlaan,Adm. Helfrichlaan,
20/04/2019,zondag,Kermis Utrecht,Griftpark,versterkt geluid
20/04/2019,zaterdag,Paasmarkt,"Amsterdamsestraatweg, Plantage",
21/04/2019,donderdag,Kermis Utrecht,Griftpark,versterkt geluid
21/04/2019,zondag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
22/04/2019,zondag,dag van de aarde,Castellum Hoge Woerd,
22/04/2019,maandag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
22/04/2019,dinsdag,Kasteelloop De Halve van De Haar,Kasteellaan (Kasteel de Haar),versterkt geluid
22/04/2019,vrijdag,Kermis Utrecht,Griftpark,versterkt geluid
23/04/2019,dinsdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
24/04/2019,woensdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
25/04/2019,donderdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
26/04/2019,vrijdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
26/04/2019,vrijdag,Beatrix,Janskerkhof,"versterkt geluid, ‘Verhoogd geluidsniveau’ wegafsluiting"
26/04/2019,vrijdag,Janskerkhof kleurt oranje,Janskerkhof,"versterkt geluid, ‘Verhoogd geluidsniveau’ "
26/04/2019,vrijdag,Kingdom,Domplein,"versterkt geluid, ‘Verhoogd geluidsniveau’ wegafsluiting"
26/04/2019,vrijdag,Koningsdag 2019 WWG,van Asch van Wijcksplein,"versterkt geluid, ‘Verhoogd geluidsniveau’ wegafsluiting"
26/04/2019,vrijdag,Koningsdag Willem van Noortplein,Willem van Noortplein,versterkt geluid
26/04/2019,vrijdag,Koningsnacht 2019,Waterstraat 32,"versterkt geluid, ‘Verhoogd geluidsniveau’ wegafsluiting"
26/04/2019,vrijdag,Koningsnacht en dag,Korte Minrebroederstraat,"versterkt geluid, ‘Verhoogd geluidsniveau’ wegafsluiting"
26/04/2019,vrijdag,Open dagen Sultan Ahmet,Royaards van Den Hamkade 20,
26/04/2019,vrijdag,Willem Foodstreet,Janskerkhof Willibrordzijde,
27/04/2019,zaterdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
27/04/2019,zaterdag,Beatrix,Janskerkhof,"versterkt geluid, ‘Verhoogd geluidsniveau’ wegafsluiting"
27/04/2019,zaterdag,Braderie tijdens Koningsdag,Damstraat/Kanaalstraat,
27/04/2019,zaterdag,De Klanksteen Culturele Verbinding,Tolsteegplantsoen,versterkt geluid
27/04/2019,zaterdag,Janskerkhof kleurt oranje,Janskerkhof,"versterkt geluid, ‘Verhoogd geluidsniveau’ "
27/04/2019,zaterdag,Kindervrijmarkt Nicolaaskerkhof,Nicolaaskerkhof,"versterkt geluid, wegafsluiting"
27/04/2019,zaterdag,KINGCITY 2019,Jacobskerkhof,"versterkt geluid, ‘Verhoogd geluidsniveau’ "
27/04/2019,zaterdag,Kingdom,Domplein,"versterkt geluid, ‘Verhoogd geluidsniveau’ wegafsluiting"
27/04/2019,zaterdag,Koningsdag,Meerndijk,versterkt geluid
27/04/2019,zaterdag,Koningsdag 2019 WWG,van Asch van Wijcksplein,"versterkt geluid, ‘Verhoogd geluidsniveau’ wegafsluiting"
27/04/2019,zaterdag,Koningsdag 27 april 2019,Tolsteegplantsoen,versterkt geluid
27/04/2019,zaterdag,Koningsdag 't Zand,Crouweldijk en de Stuytstraat,"versterkt geluid, wegafsluiting"
27/04/2019,zaterdag,Koningsdag Willem van Noortplein,Willem van Noortplein,versterkt geluid
27/04/2019,zaterdag,Koningsnacht en dag,Korte Minrebroederstraat,"versterkt geluid, ‘Verhoogd geluidsniveau’ wegafsluiting"
27/04/2019,zaterdag,Open dagen Sultan Ahmet,Royaards van Den Hamkade 20,
27/04/2019,zaterdag,SOIA Koningsdag Fest,Strand Oog in Al,"versterkt geluid, wegafsluiting"
27/04/2019,zaterdag,Willem Foodstreet,Janskerkhof Willibrordzijde,
28/04/2019,zondag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
28/04/2019,zondag,Open dagen Sultan Ahmet,Royaards van Den Hamkade 20,
29/04/2019,maandag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
30/04/2019,dinsdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
mei,,,,
02/05/2019,donderdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
02/05/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,"versterkt geluid, wegafsluiting"
03/05/2019,vrijdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
03/05/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
04/05/2019,zaterdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
04/05/2019,zaterdag,Dodenherdenking,Julianaweg,wegafsluiting
04/05/2019,vrijdag,Dodenherdenking 4 mei Leidsche Rijn,Berlijnplein,wegafsluiting
04/05/2019,zaterdag,Home Made Market,Mariaplaats,
04/05/2019,zaterdag,Ouderdagen,Hieronymusplantsoen,versterkt geluid
04/05/2019,zaterdag,Protos INN,Uppsalalaan,
05/05/2019,zondag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
05/05/2019,zondag,Bevrijdingsfestival Utrecht,Park Transwijk,"versterkt geluid, ‘Verhoogd geluidsniveau’ wegafsluiting"
05/05/2019,zondag,Fluff Disco Vrijheidsfestival,Strand Oog in Al,"versterkt geluid, wegafsluiting"
05/05/2019,zondag,Ouderdagen,Hieronymusplantsoen,versterkt geluid
05/05/2019,zondag,Platen- CD beurs,Janskerkhof,
05/05/2019,zondag,Protos INN,Uppsalalaan,
05/05/2019,zondag,straatfeest Lombok,"Kanaalstraat, Abel Tasmanstraat, Billitonkade",wegafsluiting
06/05/2019,maandag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
07/05/2019,dinsdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
07/05/2019,dinsdag,Zomeravondcup,Maarschalkerweerd (atletiekbaan),wegafsluiting
08/05/2019,woensdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
09/05/2019,donderdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
09/05/2019,zaterdag,Fonteyn Festival,Janskerkhof,versterkt geluid
09/05/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
09/05/2019,donderdag,Openlucht theatervoorstelling Metamorfosen,Castellum Hoge Woerd,
10/05/2019,vrijdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
10/05/2019,zondag,Fonteyn Festival,Janskerkhof,versterkt geluid
10/05/2019,zaterdag,Lekker In Het Park,Maximapark,versterkt geluid
10/05/2019,vrijdag,Openlucht theatervoorstelling Metamorfosen,Castellum Hoge Woerd,
10/05/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
11/05/2019,zaterdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
11/05/2019,vrijdag,Fonteyn Festival,Janskerkhof,versterkt geluid
11/05/2019,vrijdag,Lekker In Het Park,Maximapark,versterkt geluid
11/05/2019,vrijdag,Moederdag evenement,"Amsterdamsestraatweg, Plantage",
11/05/2019,zaterdag,Openlucht theatervoorstelling Metamorfosen,Castellum Hoge Woerd,
11/05/2019,vrijdag,Tentfeest Iduna KPJ De Meern,Meerndijk 59,"versterkt geluid, wegafsluiting"
12/05/2019,zondag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
12/05/2019,zondag,Braderie Goylaan,Goylaan,
12/05/2019,zaterdag,Fonteyn Festival,Janskerkhof,versterkt geluid
12/05/2019,zondag,Home Made Market,Vredenburg,versterkt geluid
12/05/2019,zondag,Lekker In Het Park,Maximapark,versterkt geluid
12/05/2019,zondag,Romeinendag 2019,Castellum Hoge Woerd,
12/05/2019,zaterdag,Tentfeest Iduna KPJ De Meern,Meerndijk 59,versterkt geluid
12/05/2019,zondag,Utrecht Marathon,Utrecht Science Park,"versterkt geluid, wegafsluiting"
12/05/2019,vrijdag,Zingende Beelden,Maximapark,
13/05/2019,maandag,64e Avondvierdaagse Utrecht,route door Utrecht,wegafsluiting
13/05/2019,maandag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
14/05/2019,dinsdag,64e Avondvierdaagse Utrecht,route door Utrecht,wegafsluiting
14/05/2019,dinsdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
15/05/2019,woensdag,64e Avondvierdaagse Utrecht,route door Utrecht,wegafsluiting
15/05/2019,woensdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
16/05/2019,donderdag,64e Avondvierdaagse Utrecht,route door Utrecht,wegafsluiting
16/05/2019,donderdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
16/05/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
16/05/2019,dinsdag,SPRING Performing Arts Festival 2019,"Stationsplein, Jaarbeursplein, Lucasbolwerk, Neude, Vredenburg, Stadsplateau, Winkelcentrum Overvecht, Smaragdplein, Korte Minrebroederstraat, Stadhuisbrug, Ganzenmarkt, Wolvenplein",
17/05/2019,vrijdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
17/05/2019,woensdag,SPRING Performing Arts Festival 2020,"Stationsplein, Jaarbeursplein, Lucasbolwerk, Neude, Vredenburg, Stadsplateau, Winkelcentrum Overvecht, Smaragdplein, Korte Minrebroederstraat, Stadhuisbrug, Ganzenmarkt, Wolvenplein",
17/05/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
18/05/2019,zaterdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
18/05/2019,zaterdag,Benefietconcert C.S. Veritas,Lepelenburg,versterkt geluid
18/05/2019,zaterdag,Ghosttown festival,Papendorp,versterkt geluid
18/05/2019,zondag,Platen en Pinten,"Lange Jufferstraat, Lucasbolwerk",
18/05/2019,zaterdag,Soenda Festival,Ruigenhoekse Polder,"versterkt geluid, wegafsluiting"
18/05/2019,donderdag,SPRING Performing Arts Festival 2021,"Stationsplein, Jaarbeursplein, Lucasbolwerk, Neude, Vredenburg, Stadsplateau, Winkelcentrum Overvecht, Smaragdplein, Korte Minrebroederstraat, Stadhuisbrug, Ganzenmarkt, Wolvenplein",
19/05/2019,zondag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
19/05/2019,zondag,Braderie Marshalllaan/Rijnbaan,Marshalllaan/Rijnbaan,
19/05/2019,zondag,De Loop van Leidsche Rijn,Maximapark,"versterkt geluid, wegafsluiting"
19/05/2019,zondag,Jazz-festival ,Janskerkhof,"versterkt geluid, wegafsluiting"
19/05/2019,zondag,skate event of iets anders.,Griftpark,versterkt geluid
19/05/2019,vrijdag,SPRING Performing Arts Festival 2022,"Stationsplein, Jaarbeursplein, Lucasbolwerk, Neude, Vredenburg, Stadsplateau, Winkelcentrum Overvecht, Smaragdplein, Korte Minrebroederstraat, Stadhuisbrug, Ganzenmarkt, Wolvenplein",
19/05/2019,zondag,Fitste Horecateam Utrecht,Vredenburg,
20/05/2019,maandag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
20/05/2019,zaterdag,SPRING Performing Arts Festival 2023,"Stationsplein, Jaarbeursplein, Lucasbolwerk, Neude, Vredenburg, Stadsplateau, Winkelcentrum Overvecht, Smaragdplein, Korte Minrebroederstraat, Stadhuisbrug, Ganzenmarkt, Wolvenplein",
21/05/2019,dinsdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
21/05/2019,dinsdag,DELA Eredivisie Beach & Beachweek,Jaarbeursplein,versterkt geluid
21/05/2019,woensdag,SPRING Performing Arts Festival 2024,"Stationsplein, Jaarbeursplein, Lucasbolwerk, Neude, Vredenburg, Stadsplateau, Winkelcentrum Overvecht, Smaragdplein, Korte Minrebroederstraat, Stadhuisbrug, Ganzenmarkt, Wolvenplein",
22/05/2019,woensdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
22/05/2019,woensdag,DELA Eredivisie Beach & Beachweek,Jaarbeursplein,versterkt geluid
22/05/2019,woensdag,Kermis Vleuten,Dorpsplein,versterkt geluid
22/05/2019,maandag,Lentefeest De Kleine Dichter,Heycopplein ,versterkt geluid
22/05/2019,donderdag,SPRING Performing Arts Festival 2025,"Stationsplein, Jaarbeursplein, Lucasbolwerk, Neude, Vredenburg, Stadsplateau, Winkelcentrum Overvecht, Smaragdplein, Korte Minrebroederstraat, Stadhuisbrug, Ganzenmarkt, Wolvenplein",
22/05/2019,woensdag,Zomeravondcup,Overvecht (atletiekbaan),
23/05/2019,donderdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
23/05/2019,donderdag,DELA Eredivisie Beach & Beachweek,Jaarbeursplein,versterkt geluid
23/05/2019,donderdag,Kermis Vleuten,Dorpsplein,versterkt geluid
23/05/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
23/05/2019,vrijdag,SPRING Performing Arts Festival 2026,"Stationsplein, Jaarbeursplein, Lucasbolwerk, Neude, Vredenburg, Stadsplateau, Winkelcentrum Overvecht, Smaragdplein, Korte Minrebroederstraat, Stadhuisbrug, Ganzenmarkt, Wolvenplein",
24/05/2019,vrijdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
24/05/2019,vrijdag,DELA Eredivisie Beach & Beachweek,Jaarbeursplein,versterkt geluid
24/05/2019,vrijdag,Feeding the Future,Domplein,
24/05/2019,zondag,Italië Evenement Smaak & Stijl,"Kasteel de Haar, Kasteellaan",versterkt geluid
24/05/2019,vrijdag,Kermis Vleuten,Dorpsplein,versterkt geluid
24/05/2019,zaterdag,SPRING Performing Arts Festival 2027,"Stationsplein, Jaarbeursplein, Lucasbolwerk, Neude, Vredenburg, Stadsplateau, Winkelcentrum Overvecht, Smaragdplein, Korte Minrebroederstraat, Stadhuisbrug, Ganzenmarkt, Wolvenplein",
24/05/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
25/05/2019,zaterdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
25/05/2019,zaterdag,Bokbier festival,Willem van Noortplein,versterkt geluid
25/05/2019,vrijdag,Central Park festival,"Strijkviertel, Rijnvliet",versterkt geluid
25/05/2019,zaterdag,DELA Eredivisie Beach & Beachweek,Jaarbeursplein,versterkt geluid
25/05/2019,zaterdag,Feeding the Future,Domplein,
25/05/2019,maandag,Italië Evenement Smaak & Stijl,"Kasteel de Haar, Kasteellaan",versterkt geluid
25/05/2019,zaterdag,Kermis Vleuten,Dorpsplein,versterkt geluid
25/05/2019,zondag,Platen- CD beurs,Mariaplaats,
25/05/2019,zaterdag,Rommelmarkt Schepenbuurt,Schepenbuurt,
25/05/2019,zondag,SPRING Performing Arts Festival 2028,"Stationsplein, Jaarbeursplein, Lucasbolwerk, Neude, Vredenburg, Stadsplateau, Winkelcentrum Overvecht, Smaragdplein, Korte Minrebroederstraat, Stadhuisbrug, Ganzenmarkt, Wolvenplein",
25/05/2019,zaterdag,Utrechtdag,Wilhelminapark,versterkt geluid
26/05/2019,zondag,Classico Giro Utrecht,Uppsalalaan (sportcentrum Olympos),versterkt geluid
26/05/2019,zondag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
26/05/2019,zondag,Braderie Haroekoeplein,Haroekoeplein,
26/05/2019,zondag,Dag van het park,Castellum Hoge Woerd,
26/05/2019,zondag,De Klanksteen Dance Event,Tolsteegplantsoen,versterkt geluid
26/05/2019,zondag,DELA Eredivisie Beach & Beachweek,Jaarbeursplein,versterkt geluid
26/05/2019,zondag,Feeding the Future,Domplein,
26/05/2019,zondag,Italië Evenement Smaak & Stijl,"Kasteel de Haar, Kasteellaan",versterkt geluid
26/05/2019,zondag,Kermis Vleuten,Dorpsplein,versterkt geluid
26/05/2019,vrijdag,Swan Market,Vredenburg,versterkt geluid
26/05/2019,zondag,Young 4 Ever Festival,Julianapark,versterkt geluid
27/05/2019,maandag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
27/05/2019,maandag,Feeding the Future,Domplein,
28/05/2019,dinsdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
28/05/2019,dinsdag,Feeding the Future,Domplein,
29/05/2019,woensdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
29/05/2019,woensdag,Feeding the Future,Domplein,
30/05/2019,donderdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
30/05/2019,donderdag,Feeding the Future,Domplein,
30/05/2019,zondag,Jaarmarkt/braderie,Amsterdamsestraatweg,
30/05/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
30/05/2019,donderdag,Showman's Fair,Berlijnplein,versterkt geluid
30/05/2019,donderdag,TheaterSchaterAvenue,Wilhelminapark,
31/05/2019,vrijdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
31/05/2019,vrijdag,Feeding the Future,Domplein,
31/05/2019,vrijdag,Showman's Fair,Berlijnplein,versterkt geluid
31/05/2019,vrijdag,TheaterSchaterAvenue,Wilhelminapark,
31/05/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
31/05/2019,vrijdag,Vier de Zomer,Castellum Hoge Woerd,
31/05/2019,donderdag,Summum: Driftzand editie,Haarrijnse Plas,versterkt geluid
juni,,,,
01/06/2019,zaterdag,30 jaar ZIMIHC,"Rokade Zuilen, Groot Winkelcentrum Overvecht, Griftpark,Leidsche Rijn Centrum en Winkelcentrum Smaragdplein",versterkt geluid
01/06/2019,zaterdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
01/06/2019,zaterdag,Braderie Zuilerie,Muiyskenweg tot Sweder v Zuylenweg,
01/06/2019,zaterdag,Feeding the Future,Domplein,
01/06/2019,zaterdag,Showman's Fair,Berlijnplein,versterkt geluid
01/06/2019,donderdag,Suikerfeest,"Amsterdamsestraatweg, Plantage",
01/06/2019,zaterdag,TheaterSchaterAvenue,Wilhelminapark,
01/06/2019,zondag,Utrecht Canal Pride 2019,"Catharijnesingel, Oudegracht, Jacobskerkhof/straat, Waterstraat, Paardenveld",versterkt geluid
01/06/2019,zaterdag,Vier de Zomer,Castellum Hoge Woerd,
02/06/2019,zondag,30 jaar ZIMIHC,"Rokade Zuilen, Groot Winkelcentrum Overvecht, Griftpark,Leidsche Rijn Centrum en Winkelcentrum Smaragdplein",versterkt geluid
02/06/2019,zondag,American Day,Julianapark,"versterkt geluid, wegafsluiting"
02/06/2019,zondag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
02/06/2019,zondag,Feeding the Future,Domplein,
02/06/2019,zondag,Platen- CD beurs,Janskerkhof,wegafsluiting
02/06/2019,zondag,Showman's Fair,Berlijnplein,versterkt geluid
02/06/2019,zondag,TheaterSchaterAvenue,Wilhelminapark,
02/06/2019,zondag,Utrecht blaast,"Castellum Hoge Woerd, Mariaplaats, stadhuisbrug, Korte Minrebroederstraat,vismarkt,domplein, neude, plein hamburgerstraat",versterkt geluid
02/06/2019,zondag,Vier de Zomer,Castellum Hoge Woerd,
03/06/2019,donderdag,SGWB Avondvierdaagse Utrecht,"Koningsweg, Vechtzoom",versterkt geluid
03/06/2019,maandag,Feeding the Future,Domplein,
03/06/2019,maandag,SGWB Avondvierdaagse Utrecht,"Koningsweg, Vechtzoom",versterkt geluid
03/06/2019,maandag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
04/06/2019,dinsdag,Feeding the Future,Domplein,
04/06/2019,dinsdag,SGWB Avondvierdaagse Utrecht,"Koningsweg, Vechtzoom",versterkt geluid
04/06/2019,dinsdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
05/06/2019,woensdag,Feeding the Future,Domplein,
05/06/2019,woensdag,SGWB Avondvierdaagse Utrecht,"Koningsweg, Vechtzoom",versterkt geluid
05/06/2019,woensdag,Zomeravondcup,Overvecht (atletiekbaan),wegafsluiting
05/06/2019,woensdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
06/06/2019,donderdag,Feeding the Future,Domplein,
06/06/2019,zaterdag,Festival TREK,Griftpark,versterkt geluid
