FID,cte,dtm,fixtxt,interp,layer,omschr,tctype,length,se_anno_cad_data
dtb_wegen_1993_2000_lijn.69,W030701,J, , ,1,greppel,greppel,53.68,
dtb_wegen_1993_2000_lijn.70,W030701,J, , ,1,greppel,greppel,159.48,
dtb_wegen_1993_2000_lijn.71,W030701,J, ,1,1,greppel,greppel,30,
dtb_wegen_1993_2000_lijn.72,W030701,J, ,1,1,greppel,greppel,137.16,
dtb_wegen_1993_2000_lijn.73,W030701,J, , ,1,greppel,greppel,31.29,
dtb_wegen_1993_2000_lijn.74,W030701,J, , ,1,greppel,greppel,19.66,
dtb_wegen_1993_2000_lijn.75,W030701,J, , ,1,greppel,greppel,8.33,
dtb_wegen_1993_2000_lijn.76,W030701,J, , ,1,greppel,greppel,12.37,
dtb_wegen_1993_2000_lijn.77,W030701,J, , ,1,greppel,greppel,32.96,
dtb_wegen_1993_2000_lijn.78,W030701,J, , ,1,greppel,greppel,506.95,
dtb_wegen_1993_2000_lijn.79,W030701,J, , ,1,greppel,greppel,28.78,
dtb_wegen_1993_2000_lijn.80,W030701,J, , ,1,greppel,greppel,66.36,
dtb_wegen_1993_2000_lijn.81,W030701,J, , ,1,greppel,greppel,34.99,
dtb_wegen_1993_2000_lijn.82,W030701,J, , ,1,greppel,greppel,12.35,
dtb_wegen_1993_2000_lijn.83,W030701,J, , ,1,greppel,greppel,36.11,
dtb_wegen_1993_2000_lijn.84,W030701,J, , ,1,greppel,greppel,21.53,
dtb_wegen_1993_2000_lijn.85,W030701,J, , ,1,greppel,greppel,84.28,
dtb_wegen_1993_2000_lijn.86,W030701,J, , ,1,greppel,greppel,28.85,
dtb_wegen_1993_2000_lijn.87,W030701,J, , ,1,greppel,greppel,31.67,
dtb_wegen_1993_2000_lijn.88,W030701,J, , ,1,greppel,greppel,18.2,
dtb_wegen_1993_2000_lijn.89,W030701,J, , ,1,greppel,greppel,46.7,
dtb_wegen_1993_2000_lijn.90,W030701,J, , ,1,greppel,greppel,35.22,
dtb_wegen_1993_2000_lijn.91,W030701,J, , ,1,greppel,greppel,9.45,
dtb_wegen_1993_2000_lijn.92,W030701,J, , ,1,greppel,greppel,2.45,
dtb_wegen_1993_2000_lijn.93,W030701,J, , ,1,greppel,greppel,8.29,
dtb_wegen_1993_2000_lijn.94,W030701,J, , ,1,greppel,greppel,49.25,
dtb_wegen_1993_2000_lijn.95,W030701,J, , ,1,greppel,greppel,12.79,
dtb_wegen_1993_2000_lijn.96,W030701,J, , ,1,greppel,greppel,50.11,
dtb_wegen_1993_2000_lijn.97,W030701,J, , ,1,greppel,greppel,48.91,
dtb_wegen_1993_2000_lijn.98,W030701,J, , ,1,greppel,greppel,31.34,
dtb_wegen_1993_2000_lijn.99,W030701,J, , ,1,greppel,greppel,160.13,
dtb_wegen_1993_2000_lijn.100,W030701,J, , ,1,greppel,greppel,41.64,
