Leveranciers;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9520 - BZK Specifiek;9540 - EZ Specifiek;Eindtotaal
Isogen Life Science B.V.;1;;;;;1
J. Thiele & Zn. IJmuiden;;;1;;;1
Jacob Hooy & Co. B.V.;;;1;;;1
Jager Holland B.V.;;;1;;;1
Jiya trading;;;1;;;1
Jordbruks verket;;;;;1;1
Juma International B.V.;1;;;;;1
Jumbo Supermarkten B.V.;;;1;;;1
Juridisch advies Voorbach;;;;;1;1
K. v.d. Spijk en Zn. IJsselmuiden B.V.;;;1;;;1
Kai Tak Company B.V.;;;1;;;1
Kamera Express;;;;;1;1
Kentron Microbiology B.V.;1;;;;;1
King Nuts & Raaphorst;;;1;;;1
Kneppelhout & Korthals N.V.;;;;;1;1
Koffiebranderij Beukenhorst B.V.;;;1;;;1
Koman's Vishandel B.V.;;;1;;;1
Koninkl. Nederl. Verenig. voor Luchtvaart;;;;;1;1
Koninklijke Euroma B.V.;;;1;;;1
Koninklijke Fabrieken Posthumus B.V.;;;;;1;1
Koppejan Noten B.V.;;;1;;;1
Kossen Dynamics B.V.;;;;;1;1
Kraan Vleesservice B.V.;;;1;;;1
Kreko B.V.;1;;;;;1
Krg Asian-Food B.V.;;;1;;;1
Kroon B.V.;;;;;1;1
Kuma;;;1;;;1
Landewyck Tabak Holland B.V.;;;1;;;1
Landwinkel Co̦peratie BA;;;1;;;1
Langer EMV Technik;;;;;1;1
Latoxan SAS;1;;;;;1
Leica Microsystems B.V.;;2;;;;2
LGC Standards GmbH;2;;1;;;2
Lidl;;;1;;;1
Life Technologies International B.V.;4;;;;;4
Linde Gas Benelux B.V.;1;;;;;1
Linde Gas Cryoservices B.V.;1;;;;;1
LineStyle;;;1;;;1
Livinggreens B.V.;;;1;;;1
Lobbes Speelgoed B.V.;;;1;;;1
Luiten Food;;;1;;;1
Maatschap D.A.P. Vaassen & Omstreken;;;;;1;1
Magneet Grafische Communicatie B.V.;;;;;2;2
Malhi Import Export B.V.;;;1;;;1
Manutan B.V.;1;1;1;;;1
Maria Margarida Soares de Albergaria Ambar;;;;;3;3
Maxima Seafood B.V.;;;1;;;1
MBF Savannah B.V.;;;1;;;1
Mediaproducts B.V.;1;;;;;1
Medica Natura;;;1;;;1
Mediterra;;;1;;;1
Medivital B.V.;;;1;;;1
MELEDI Den Bosch B.V.;;;1;;;1
Mercer (Nederland) B.V.;;;;;1;1
Mertex;;;1;;;1
Metis IT Support B.V.;1;;;;;1
Metrohm Nederland B.V.;;;1;;;1
Mettler-Toledo B.V.;1;;;;;1
Mij. v. Oestercult. Eensgezindh. Yerseke B.V.;;;1;;;1
Millets Place B.V.;;;1;;;1
Millipore;;1;;;;1
Mini-Circuits Europe;;;;;1;1
Mirac Food B.V.;;;1;;;1
Mission Produce Europe B.V.;;;1;;;1
Mitrofresh B.V.;;;1;;;1
Mix Food B.V.;;;1;;;1
Mole 't Lam;;;1;;;1
Molen Prins van Oranje Amb. Graanmaald. B.V.;;;1;;;1
Mooijer-Volendam B.V.;;;1;;;1
Mo-Tech Industries;;;1;;;1
Mourik Woerden B.V.;;;1;;;1
MS NOISE FRANCE;;1;;;;1
Multi Electronica;;;1;;;1
Multi Food Market B.V.;;;1;;;1
Multibrands Marketing & Sales B.V.;;;1;;;1
Murko Seafood B.V.;;;1;;;1
N&A Eastern Trading B.V.;;;1;;;1
NAK;;;4;;;4
Nanhoe Holding B.V.;;;1;;;1
Naproz B.V.;;;1;;;1
National Instruments Netherlands B.V.;1;;;;;1
National Renewable Energy Labatory;;;;;2;2
National Veterinary Institute;;;1;;;1
Natudis Nederland B.V.;;;1;;;1
Natural History Museum;;;;;1;1
Natural Spices B.V.;;;1;;;1
Naturalia B.V.;;;1;;;1
Naturz Organics Europe B.V.;;;1;;;1
Neo, Netherl. Geomat. & Earth Observat. B.V.;;;;;6;6
Network Innovations Services;;;;;1;1
New Classic Toys B.V.;;;1;;;1
Newmeaco;;;1;;;1
NIVO Im- en Export Beverwijk;;;1;;;1
NMI Certin B.V.;;;;;1;1
Notariskantoor Adegeest B.V.;;;;;1;1
Notariskantoor Roerdalen;;;;;2;2
NovaVeth B.V.;;1;;;;1
Novolab NV;1;;;;;1
Nu Skin Netherlands B.V.;;;1;;;1
Nutacon B.V.;1;;;;;1
Nutritional Supplements Wholesale;;;1;;;1
Nuts4You;;;1;;;1
O. Smeding en Zoon B.V.;;;1;;;1
Obersi Electronics Bonaire;;;;;1;1
Olympus Nederland B.V.;1;;;;;1
Omega Engineering Limited;1;;;;;1
Ontwerpwerk B.V.;;;;;1;1
Oolaboo B.V.;;;1;;;1
Organic Flavour Company B.V.;;;1;;;1
Orient Treasure Holding B.V.;;;1;;;1
Orthobasics;;;1;;;1
Ortholon B.V.;;;1;;;1
OrthoNutrients B.V.;;;1;;;1
Osteovet;;;;;1;1
OTC Medical B.V.;;;1;;;1
Outdoor tuinidee B.V.;;;1;;;1
outTrade B.V.;;;1;;;1
Oxford Nanopore Technologies Ltd;1;;;;;1
Oxoid;2;;;;;2
PAK Aanhangwagens Kruiningen;;;;;1;1
Panasonic Biomedical Sales Europe B.V.;;2;;;;2
PerkinElmer Nederland B.V.;2;2;;;;2
PFI Germany Test and Research Institute;1;;;;;1
Pharmediair;;;;;1;1
Phenomenex B.V.;1;;;;;1
PHEROBANK B.V.;2;;;;;2
PHYTOPLAN Diehm & Neuberger GmbH;1;;;;;1
Plant-Print, Diagnostics, SL;1;;;;;1
Pluimveeslachterij Gebr. Heijs B.V.;;;;;1;1
Pluripharm B.V.;;;1;;;1
Plus Retail B.V.;;;1;;;1
PMI Rotterdam;;;1;;;1
Poeliersbedrijf Cuno Moormann en Zonen B.V.;;;1;;;1
Poiesz Supermarkten B.V.;;;1;;;1
Poisson & Cuisine - Fresh Quality Fish B.V.;;;1;;;1
Polak & Co. Import-Export B.V.;;;1;;;1
Pors Veterinaire Dienstverlening;;;;;1;1
Post Workboats B.V.;;;;;1;1
Posthumus & Dal Graveurs B.V.;;;;;1;1
Power Health Nederland B.V.;;;1;;;1
Pozitif Matbaacilik;;;;;1;1
Pressure Control Solutions;1;;;;;1
Previcare;;;1;;;1
Profile Tyrecenter Heuver Hardenberg;;;;;1;1
Promega Benelux B.V.;1;;;;;1
Pronk Hollandvis B.V.;;;1;;;1
Proof-ACS GmbH;;;1;;;1
Protinus IT B.V.;;2;;;;2
Proviform;;;1;;;1
Public Health England;1;;1;;;1
Qiagen Benelux B.V.;3;;;;;3
Quality Produce International (Q.P.I.) B.V.;;;1;;;1
Rae Benelux B.V.;1;;;;;1
Record Industrie B.V.;1;;;;1;1
Relyvet;;;;;2;2
Remalux B.V.;;;1;;;1
Rendac Son B.V.;;;;;1;1
Renewi Nederland B.V.;;;;;1;1
Rhumveld Winter & Konijn B.V.;;;1;;;1
Rijstgroothandel Van Geest B.V.;;;1;;;1
RIKILT;2;;1;;;2
Rimex Toys;;;1;;;1
Roben Meat B.V.;;;1;;;1
Roche Diagnostics Nederland B.V.;1;;;;;1
Roelofsen Horeca Groothandel B.V.;;;1;;;1
Rohde & Schwarz Benelux B.V.;;;;;7;7
Roots Fish Smokery B.V.;;;1;;;1
Rosies B.V.;;;1;;;1
Roveg Fruit B.V.;;;1;;;1
Roxs-Electro;1;;;;;1
Rozemarijn & Thijm B.V.;;;1;;;1
RS Components B.V.;;;;;1;1
Rubenshop;;;1;;;1
Rustenburg Groothandel B.V.;;;1;;;1
Safe Site B.V.;;;;;1;1
Sanmed B.V.;;;1;;;1
SASA;1;;;;;1
Schapendokter.nl B.V.;;;;;1;1
Schepens Verhuur B.V.;1;;;;;1
Schippers Bladel B.V.;1;;;;;1
Schmidt Zeevis Rotterdam B.V.;;;1;;;1
Schoonderwoerd Vlees B.V.;;;1;;;1
Seafood Centre B.V.;;;1;;;1
SecurCash Nederland B.V.;;;;;1;1
Serhat Impex Velp B.V.;;;1;;;1
Shimadzu Benelux;2;3;;;;3
Sidhu Food B.V.;;;1;;;1
Sigarenhandel Piet van Kuijk;;;1;;;1
Sigma-Aldrich Chemie N.V.;1;;;;;1
Sin Wah Foods B.V.;;;1;;;1
Sismatec B.V.;1;;;;;1
Skalar Analytical B.V.;1;;;;;1
Sligro B.V.;;;1;;;1
Slingeland Dierenartsen;;;;;1;1
Smit Seafood B.V.;;;1;;;1
Snijders Hammerlit;1;;;;;1
SOS Solutions B.V.;1;;;;;1
Souplesse Supplements B.V.;;;1;;;1
Sous Fresh B.V.;;;1;;;1
Spar Holding B.V.;;;1;;;1
Spar Wageningen B.V.;;;1;;;1
Special Cargo Services B.V.;1;;;;;1
Springfield Nutraceuticals B.V.;;;1;;;1
SRK Rechtsbijstand;;;;;1;1
St. Beh. Drd.gld. Schuth/Koelemaij Advocaten;;;;;1;1
Staay Food Group;;;1;;;1
Staples Nederland B.V.;1;;;;;1
Starfruit Company NV;;;1;;;1
Stedin;;;;;1;1
Stg. Bur. Commissie v.d. Mil.-Effectrapport.;;;;;6;6
Stg. Lok. Omr. Dalfsen, Ommen, Nieuwleusen;;;;;2;2
Stichting Argus;;;;;1;1
Stichting Dasuda Foundation;;;;;3;3
Stichting Derdengelden ELEMENT Advocaten;;;;;1;1
Stichting Feel the Night;;;;;1;1
Stichting Flora & Faunabescherming;;;;;1;1
Stichting Iguana;;;;;1;1
Stichting Merita;;;;;5;5
Stichting Platform Stop Invasieve Exoten;;;;;1;1
Stichting ToxicoWatch;;;;;1;1
Stichting Vogelpark Avifauna;;;;;1;1
Stichting voor de Technische Wetenschappen;;;;;2;2
Stichting World of Birds Foundation;;;;;1;1
Stolp International B.V.;;;1;;;1
Storteboom Kornhorn B.V.;;;;;1;1
Strayshop B.V.;;;1;;;1
Studio 3005;;;;;1;1
Sunda B.V.;;;1;;;1
Superfoods B.V.;;;1;;;1
SuperfoodsAndMore Wholesale;;;1;;;1
Syncasso Gerechtsdeurwaarders B.V.;;;;;1;1
T.G.C. Trading B.V.;;;1;;;1
Tabeka B.V.;1;;;;;1
Tac Trade and Converting;1;;;;;1
Takara Bio Europe SAS;1;;;;;1
TCI Europe;1;;;;;1
Technical University of Denmark;;;1;;;1
Technische Unie B.V.;1;;1;;;1
Tekinova B.V.;;;1;;;1
Telefonia Bonairiano (Telbo) N.V.;;;;;3;3
Tempcontrol Industr. Electronic Products B.V.;1;;;;;1
Terra Sana Natuurvoeding Leimuiden B.V.;;;1;;;1
TestQual;1;;;;;1
TFC Holland B.V.;;;1;;;1
Thaimas B.V.;;;1;;;1
The Health Factory B.V.;;;1;;;1
Thermo Fisher Scientific B.V.;;3;;;;3
Timmermans Dierenartspraktijk;;;;;2;2
Top Twence B.V.;;;1;;;1
Topa Verpakking B.V.;1;;;;;1
Total Exotics;;;1;;;1
Tovano B.V.;;;1;;;1
Toyota Material Handling Nederland B.V.;;;;;1;1
Transposafe Systems;1;;;;1;1
Trebs B.V.;;;1;;;1
Tristar Europe B.V.;;;1;;;1
Tritium Microbiologie B.V.;1;;;;;1
Trojax;;;;;1;1
Trust Krediet Beheer (TKB);;;;;1;1
TS Health Products B.V.;;;1;;;1
Tuana Kruiden V.O.F.;;;1;;;1
Tuincentrum De Oude Tol B.V.;;;1;;;1
Tuinderij Vers B.V.;;;1;;;1
Tulp-Bijl Hout en Bouwstoffen Import B.V.;;;1;;;1
Turi Sina B.V.;;;1;;;1
Tur-Ned. International Trading B.V.;;;1;;;1
Twinpack B.V.;1;;;;;1
Udea B.V.;;;1;;;1
UHF SHF Engineering;;;;;1;1
UKW Berichte;;;;;1;1
Unidex B.V.;;;1;;;1
Unipharma;;;1;;;1
Universal Europe B.V.;;;1;;;1
Universidad de Almeria;;;1;;;1
Uw Eigen Secretariaat;;;;;3;3
V.C.'De Grenshoek';;;;;1;1
V.O.F. A.H. Gerth;;;1;;;1
V.O.F. Forellenkwekerij Keijzersberg;;;1;;;1
