SYSTEEM;FEITGROEP;PROJCODE;MATE;AANTAL;INITIEELBEDRAG
WAHV ;Snelheid;KL0611;B 11_tem_15km;7300;670233
WAHV ;Snelheid;KL0611;C 16_tem_20km;2763;360874
WAHV ;Snelheid;KL0611;D 20_tem_25km;1146;200245,5
WAHV ;Snelheid;KL0611;E 25_tem_30km;595;121427
WAHV ;Snelheid;KL0611;F 31_tem_39km;290;77527
WAHV ;Snelheid;KL0612;A tem_10km;62055;2254364
WAHV ;Snelheid;KL0612;B 11_tem_15km;11855;1112949
WAHV ;Snelheid;KL0612;C 16_tem_20km;4725;621392
WAHV ;Snelheid;KL0612;D 20_tem_25km;1273;219202
WAHV ;Snelheid;KL0612;E 25_tem_30km;549;108425
WAHV ;Snelheid;KL0612;F 31_tem_39km;309;65334
WAHV ;Snelheid;KL0613;A tem_10km;59350;2120569
WAHV ;Snelheid;KL0613;B 11_tem_15km;10011;938245
WAHV ;Snelheid;KL0613;C 16_tem_20km;3986;527272
WAHV ;Snelheid;KL0613;D 20_tem_25km;1083;191334
WAHV ;Snelheid;KL0613;E 25_tem_30km;476;100197
WAHV ;Snelheid;KL0613;F 31_tem_39km;274;68399
WAHV ;Snelheid;KL0614;A tem_10km;94324;3133248
WAHV ;Snelheid;KL0614;B 11_tem_15km;12807;1095864
WAHV ;Snelheid;KL0614;C 16_tem_20km;5320;612048
WAHV ;Snelheid;KL0614;D 20_tem_25km;1785;265294
WAHV ;Snelheid;KL0614;E 25_tem_30km;875;151720
WAHV ;Snelheid;KL0614;F 31_tem_39km;741;141038
WAHV ;Snelheid;KL0615;A tem_10km;68649;2239710
WAHV ;Snelheid;KL0615;B 11_tem_15km;8691;717814
WAHV ;Snelheid;KL0615;C 16_tem_20km;3737;413255,5
WAHV ;Snelheid;KL0615;D 20_tem_25km;1342;186902
WAHV ;Snelheid;KL0615;E 25_tem_30km;682;114085
WAHV ;Snelheid;KL0615;F 31_tem_39km;551;98374
WAHV ;Snelheid;KL0618;A tem_10km;19442;632103
WAHV ;Snelheid;KL0618;B 11_tem_15km;1162;119589
WAHV ;Snelheid;KL0618;C 16_tem_20km;471;71356
WAHV ;Snelheid;KL0618;D 20_tem_25km;228;43560
WAHV ;Snelheid;KL0618;E 25_tem_30km;93;21712
WAHV ;Snelheid;KL0618;F 31_tem_39km;36;8484
WAHV ;Snelheid;KL0619;A tem_10km;20289;667010
WAHV ;Snelheid;KL0619;B 11_tem_15km;1163;118922
WAHV ;Snelheid;KL0619;C 16_tem_20km;475;71460
WAHV ;Snelheid;KL0619;D 20_tem_25km;199;36594
WAHV ;Snelheid;KL0619;E 25_tem_30km;100;20796
WAHV ;Snelheid;KL0619;F 31_tem_39km;54;14003
WAHV ;Snelheid;KL0620;A tem_10km;187248;6542455
WAHV ;Snelheid;KL0620;B 11_tem_15km;33995;2980238
WAHV ;Snelheid;KL0620;C 16_tem_20km;16263;2049077
WAHV ;Snelheid;KL0620;D 20_tem_25km;8055;1359760
WAHV ;Snelheid;KL0620;E 25_tem_30km;4535;911919
WAHV ;Snelheid;KL0620;F 31_tem_39km;2623;686334
WAHV ;Snelheid;KL0621;A tem_10km;185726;6294152
WAHV ;Snelheid;KL0621;B 11_tem_15km;32199;2813448
WAHV ;Snelheid;KL0621;C 16_tem_20km;15039;1882403
WAHV ;Snelheid;KL0621;D 20_tem_25km;7537;1249007
WAHV ;Snelheid;KL0621;E 25_tem_30km;4121;795701
WAHV ;Snelheid;KL0621;F 31_tem_39km;2125;516058,5
WAHV ;Snelheid;KL0622;A tem_10km;119910;4373588
WAHV ;Snelheid;KL0622;B 11_tem_15km;24968;2308178
WAHV ;Snelheid;KL0622;C 16_tem_20km;10017;1337165
WAHV ;Snelheid;KL0622;D 20_tem_25km;4020;704938
WAHV ;Snelheid;KL0622;E 25_tem_30km;1669;337727
WAHV ;Snelheid;KL0622;F 31_tem_39km;694;169641
WAHV ;Snelheid;KL0623;A tem_10km;90559;3287486
WAHV ;Snelheid;KL0623;B 11_tem_15km;18132;1675457
WAHV ;Snelheid;KL0623;C 16_tem_20km;7037;933777
WAHV ;Snelheid;KL0623;D 20_tem_25km;2770;486244
WAHV ;Snelheid;KL0623;E 25_tem_30km;1169;224918
WAHV ;Snelheid;KL0623;F 31_tem_39km;451;104065
WAHV ;Snelheid;KL0624;A tem_10km;31054;1192757
WAHV ;Snelheid;KL0624;B 11_tem_15km;3425;325030
WAHV ;Snelheid;KL0624;C 16_tem_20km;1248;171293
WAHV ;Snelheid;KL0624;D 20_tem_25km;436;79954
WAHV ;Snelheid;KL0624;E 25_tem_30km;217;47621
WAHV ;Snelheid;KL0624;F 31_tem_39km;83;21093
WAHV ;Snelheid;KL0625;A tem_10km;18699;683695
WAHV ;Snelheid;KL0625;B 11_tem_15km;2531;238489
WAHV ;Snelheid;KL0625;C 16_tem_20km;822;111595
WAHV ;Snelheid;KL0625;D 20_tem_25km;332;59375
WAHV ;Snelheid;KL0625;E 25_tem_30km;182;38537
WAHV ;Snelheid;KL0625;F 31_tem_39km;62;16284
