OBJECTID,PUIC,NAAM,LEVENSCYCLUS_STATUS,AANNEMER,MONITORING_SYSTEEM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT,X,Y,GELDIG_VANAF,PUBLICATIEDATUM,IN_GEBRUIK,PRORAIL_GEBIED,LATITUDE,LONGITUDE,GDB_GEOMATTR_DATA,KM_GEOCODE
48,c3331d83-8c85-4831-9e87-1071fcabf3db,Junne,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Hea-Emn,Herfte Aansl. - Emmen ,204,,204,204__,Herfte Aansl. - Mariënberg,"28,594141",-0.000476,"-0,000476",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,Ommen - Mariënberg,OMN-MRB,Vrije baan,230384.34599999,502630.92599999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Noord,52.50616299,6.49753877,,28.594141
49,fe3e6c92-4364-4ec2-be09-6a6ab1c49818,Haarlemmerliede,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,084,,84,084__,Amsterdam Sloterdijk - Haarlem,"11,744023",-0.000524,"-0,000524",ProRail,Randstad Noord,RN,Baan,Kennemerland,240,Haarlem,8,Strukton Rail,Halfweg - Haarlem,HW-HLM,Vrije baan,108919.397,488865.08899999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Noord-West,52.38570715,4.71034096,,11.744023
50,276f2bc8-01d5-4b8b-af65-d6cb82f5804a,Duiven,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,038,,38,038__,Velperbroek Aansl. - Zevenaar,"99,852024",0.000227,"0,000227",ProRail,Noord-Oost,NO,Baan,Gelre,400,Achterhoek,30,ASSET Rail,Zevenaar - Velperbroek Aansl.,ZV-VA,Vrije baan,196908.90299999,440400.602,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,51.95046588,5.99681077,,99.852024
51,a675cf56-2b1e-4795-aef7-f2665e4b0ce3,Nijmegen-Boxmeer,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Ah-Vl,Arnhem - Venlo ,049,,49,049__,Nijmegen - Beugen,"21,527913",0.2417,"0,241700",ProRail,Noord-Oost,NO,Baan,Gelre,400,Maas en Waal,28,ASSET Rail,Mook-Molenhoek - Nijmegen,MMLH-NM,Vrije baan,188752.22899999,424629.185,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,51.809267,5.87662233,,21.527913
52,7a00afcf-9882-4a29-846d-be06dbe343fd,Geffen,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Ht-Nm,s-Hertogenbosch - Nijmegen ,047,,47,047__,s Hertogenbosch - Nijmegen,"37,154138",-0.626209,"-0,626209",ProRail,Zuid,Z,Baan,Betuwe,320,Den Bosch,21,Strukton Rail,Oss - 's Hertogenbosch,OSS-HT,Vrije baan,161213.274,417930.826,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Zuid-West,51.7500468,5.47717788,,37.154138
53,b478ecb8-29c6-4cae-b710-5158a2ddf48b,Esch,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Ut-Btl,Utrecht Centraal - Boxtel ,053,,53,053__,Vught Aansl. - Boxtel,"56,704019",-0.28381,"-0,283810",ProRail,Zuid,Z,Baan,Brabant,330,Boxtel,23,ASSET Rail,Vught Aansl. - Boxtel,VGA-BTL,Vrije baan,149093.915,402611.117,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-West,51.61234919,5.30193289,,56.704019
54,ea2a4e89-bc8a-4331-a3c7-1ed3dda8c0ce,Deurne,Bestaand,voestalpine SIGNALING Siershah,Beide,Vl-Ehv,Venlo - Eindhoven ,055,,55,055__,Blerick - Eindhoven,"25,977094",0.243602,"0,243602",ProRail,Zuid,Z,Baan,De Peel,300,Venlo,27,ASSET Rail,Griendtsveen Overloopw. - Deurne,GRVN-DN,Vrije baan,186103.214,384681.173,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Oost,51.45035587,5.83465033,,25.977094
55,acd22e73-aeff-42f0-9e85-91e97fb52ab2,Geldrop,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Ehv-Wt,Eindhoven - Weert ,057,,57,057__,Eindhoven - Weert,"7,127954",0.101524,"0,101524",ProRail,Zuid,Z,Baan,De Peel,300,Eindhoven,24,ASSET Rail,Oud Heeze - Eindhoven,OHZE-EHV,Vrije baan,166780.774,380331.47999999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Oost,51.41199338,5.55653485,,7.127954
56,e4c52298-96c7-4a9f-b0de-c9a77bc083b3,Hoofddorp,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,"17,210023",-0.000528,"-0,000528",ProRail,Randstad Noord,RN,Baan,Kennemerland,240,Haarlem,8,Strukton Rail,Schiphol - Hoofddorp,SHL-HFD,Vrije baan,109772.157,478944.53399999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord-West,52.29662103,4.72419927,,17.210023
57,ea6ec7d3-0d35-415e-b8f1-e1719e244f0e,Maastricht grens,Bestaand,voestalpine SIGNALING Siershah,Beide,Fvs-Mt,Visé (B) - Maastricht ,071,,71,071__,Eijsden - Maastricht,"25,649180",-0.131877,"-0,131877",ProRail,Zuid,Z,Baan,Limburg,340,Maastricht,26,Strukton Rail,Eijsden Grens - Maastricht Randwyck,EDNG-MTR,Vrije baan,178276.529,315012.88799999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Oost,50.8245104,5.71752354,,25.64918
58,b7add453-3f2e-48cf-973a-c6dab871d1a7,Zanderijen,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Rsd-Vs,Roosendaal - Vlissingen ,127,a,127,127_a,Roosendaal - Vlissingen,"9,496250",-0.008658,"-0,008658",ProRail,Zuid,Z,Baan,Zeeland,310,Goes,18,Strukton Rail,Kragge - Bergen op Zoom,KRGE-BGN,Vrije baan,81580.37099999,391506.16399999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-West,51.50777487,4.32963149,,9.49625
59,784edcf8-d487-4076-8104-92ad21563c86,Terschuur,Bestaand,voestalpine SIGNALING Siershah,Beide,Asd-Zp,Amsterdam Centraal - Zutphen ,020,,20,020__,Amersfoort Aansl. - Barneveld Noord,"53,770023",0.000461,"0,000461",ProRail,Noord-Oost,NO,Baan,Veluwe,430,Gelderse Vallei,29,Strukton Rail,Barneveld Aansl. - Amersfoort,BNVA-AMF,Vrije baan,162232.36799999,463972.738,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,52.16386824,5.49290799,,53.770023
60,a39ae154-c0b9-4342-ac35-1fef5d1c89e4,Zevenhuizen,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Gd-Gvc,Gouda - Den Haag Centraal ,107,,107,107__,Moordrecht Aansl. - Den Haag Binckhorst,"6,601929",-0.172517,"-0,172517",ProRail,Randstad Zuid,RZ,Baan,Den Haag,110,Den Haag,2,VolkerRail,Zoetermeer Oost - Moordrecht Aansl. Zuid,ZTMO-MDAZ,Vrije baan,99430.16499999,448972.662,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Holland Noord,52.02631113,4.57750899,,6.601929
61,ba19c7ff-9254-4e8d-98f9-a3ace3c06799,Zwammerdam,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Wd-Ledn,Woerden - Leiden Centraal ,102,,102,102__,Woerden - Alphen a/d Rijn,"12,800530",-0.093573,"-0,093573",ProRail,Randstad Zuid,RZ,Baan,Rijn en Gouwe,100,Rijn en Gouwe,81,BAM Rail,Alphen a/d Rijn - Bodegraven,APN-BDG,Vrije baan,108834.55,457635.462,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Holland Noord,52.10503121,4.71335672,,12.80053
62,0f5a3882-bfed-4ccb-9187-216a75df0373,Boskoop,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Gd-Apn,Gouda - Alphen a/d Rijn ,226,,226,226__,Gouda - Alphen a/d Rijn,"10,351315",1.051477,"1,051477",ProRail,Randstad Zuid,RZ,Baan,Rijn en Gouwe,100,Rijn en Gouwe,81,BAM Rail,Boskoop - Waddinxveen,BSK-WAD,Vrije baan,104227.59,453199.57799999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Holland Noord,52.06476042,4.64677741,,10.351315
63,c217a367-89ba-4677-a195-dc334c1d1b4f,Bussum-Weesp,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Asd-Zp,Amsterdam Centraal - Zutphen ,087,,87,087__,Weesp Aansl. - Hilversum,"16,795023",0.000126,"0,000126",ProRail,Randstad Noord,RN,Baan,Amstelsepoort,230,Weesp,11,Strukton Rail,Naarden = Bussum - Keverdijk,NDB-KV,Vrije baan,134690.68799999,478600.071,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Midden,52.29500872,5.08949806,,16.795023
64,615e21c8-cb83-4458-b5ea-51e54a4e6313,Delft-Schiedam,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,112,,112,112__,Den Haag HS - Schiedam Centrum,"75,058968",-0.123616,"-0,123616",ProRail,Randstad Zuid,RZ,Baan,Den Haag,110,Den Haag,2,VolkerRail,Schiedam Centrum - Delft,SDM-DT,Vrije baan,85909.691,441632.108,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Zuid-Holland Noord,51.9588217,4.38201217,,75.058968
65,a42af593-92cf-40c8-ab9c-2850e00ea07a,Betuweroute Vaanplei,Bestaand,Volker Rail,Quo Vadis,Brda-Whz,"Barendrecht Aansl. - Rotterdam, Emplacement Waalhaven Zuid ",950,d,950,950_d,Barendrecht Vork - Rotterdam Maasvlakte,"203,009197",-0.226048,"-0,226048",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,"Rotterdam Barendrecht Vork - Rotterdam, Waalhaven Zuid Aansl.",BRDV-WHZAN,Vrije baan,93641.096,431123.61099999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zee-Zevenaar,51.86528543,4.49635615,,203.009197
66,d7b1c512-c12d-42ab-9b50-16cf67e1c08d,Zutphen-Hengelo,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Zp-Esg,Zutphen - Enschede Grens ,031,a,31,031_a,Zutphen - Hengelo,"21,530023",2.4e-05,"0,000024",ProRail,Noord-Oost,NO,Baan,Twente,410,Twente,32,VolkerRail,Lochem - Goor,LC-GO,Vrije baan,229938.584,467067.66899999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Oost,52.18664282,6.48305159,,21.530023
67,755c7687-4324-4042-bcf2-92e83d9f9b83,Rijssen-Wierden,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Dv-Aml,Deventer - Almelo ,019,,19,019__,Wierden - Almelo,"34,266023",-0.000126,"-0,000126",ProRail,Noord-Oost,NO,Baan,Twente,410,Twente,32,VolkerRail,Wierden - Almelo,WDN-AML,Vrije baan,237549.90299999,486684.96999999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Oost,52.36184046,6.59912767,,34.266023
68,be4e822b-a3ec-4847-a9be-dcc1489d9dd6,Staphorst,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,"95,352023",0.000204,"0,000204",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,Dedemsvaart - Meppel,DDV-MP,Vrije baan,211271.837,518004.884,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.64662035,6.21866721,,95.352023
69,2acfad24-4984-4800-832f-547428b26d0a,Breda-Tilburg,Bestaand,voestalpine SIGNALING Siershah,Beide,Bd-Ehv,Breda - Eindhoven ,123,,123,123__,Breda - Tilburg,"14,262068",-0.132584,"-0,132584",ProRail,Zuid,Z,Baan,Brabant,330,Breda,20,ASSET Rail,Gilze = Rijen - Tilburg Universiteit,GZ-TBU,Vrije baan,126260.406,398731.42099999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-West,51.57677267,4.97260232,,14.262068
70,60021e81-abeb-4635-8565-37150b3ef070,Dordrecht-Lage Zwalu,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Bd-Rtd,Breda - Rotterdam Centraal ,119,a,119,119_a,Lage Zwaluwe - Dordrecht,"21,081582",-0.420049,"-0,420049",ProRail,Randstad Zuid,RZ,Baan,Dordrecht,140,Dordrecht,5,ASSET Rail,Willemsdorp,WLD,PPLG,103230.263,417307.351,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Holland Zuid,51.7420817,4.63763152,,21.081582
71,91b07dc3-fbcc-4593-a845-f8258f1ffaa4,Gouda-Rotterdam,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,132,,132,132__,Moordrecht Aansl. - Rotterdam Kleiweg,"36,528348",0.294348,"0,294348",ProRail,Randstad Zuid,RZ,Baan,Rijn en Gouwe,100,Rijn en Gouwe,81,BAM Rail,Moordrecht Overloopw. - Nieuwerkerk IVO,MDO-NWKI,Vrije baan,104639.361,446075.98999999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Holland Noord,52.00077478,4.65383059,,36.528348
72,3eefa648-9e79-43ec-8a69-7c358d63c6a6,Utrecht-Amersfoort,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Ut-Amf,Utrecht - Amersfoort ,093,,93,093__,Blauwkapel - Den Dolder,"6,485024",7.9e-05,"0,000079",ProRail,Randstad Noord,RN,Baan,Neerlands Midden,250,Utrecht,13,ASSET Rail,Blauwkapel Oost Aansl.,BLOA,PPLG,140260.084,459268.081,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Midden,52.12143376,5.1719772,,6.485024
73,5ff605b5-8ad4-4f8c-93d2-db1f85579635,Elst,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Ah-Vl,Arnhem - Venlo ,041,,41,041__,Arnhem - Elst,"5,840024",-0.000108,"-0,000108",ProRail,Noord-Oost,NO,Baan,Gelre,400,Maas en Waal,28,ASSET Rail,Elst Aansl. - Arnhem,ESTA-AH,Vrije baan,187020.657,439523.379,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,51.94323925,5.85289934,,5.840024
74,a7fbeb04-cdc8-4cd4-a04d-cc6387f93f6c,Almere -Weesp,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,"2,470024",0.000476,"0,000476",ProRail,Randstad Noord,RN,Baan,Amstelsepoort,230,Weesp,11,Strukton Rail,Muiderberg Aansl.,MBGA,PPLG,133940.57,480497.092,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Midden,52.31203012,5.07838403,,2.470024
75,fbf07fdd-acb7-47f0-b144-f27833ea4b6a,Maastricht-Sittard,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Mt-Vl,Maastricht - Venlo ,063,,63,063__,Maastricht - Sittard,"8,032284",0.030218,"0,030218",ProRail,Zuid,Z,Baan,Limburg,340,Maastricht,26,Strukton Rail,Bunde - Beek = Elsloo,BDE-BK,Vrije baan,180070.533,324625.668,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Oost,50.91084102,5.74364734,,8.032284
76,0685e8a0-ea29-4d3e-b697-8d23ea316e30,Locatie 25: Amsterdam Sloterdijk II,Bestaand,Voestalpine Signaling,Quo Vadis,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,"174,939998",6.387049,"6,387049",ProRail,Randstad Noord,RN,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,Hemtunnel Aansl.,HMTA,PPLG,115248.34,491101.02,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Midden,52.40629668,4.80303497,,174.939998
77,af0d533c-2618-4ebb-9157-589606481cef,Amsterdam Sloterdijk,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,"174,881128",5.1e-05,"0,000051",ProRail,Randstad Noord,RN,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,Hemtunnel Aansl.,HMTA,PPLG,115258.062,491159.911,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Midden,52.40682664,4.80317086,,174.881128
78,5fe0fd52-ea40-4af8-a86b-a10afa25ccbc,Locatie 15: Voorschoten II,Bestaand,Voestalpine Signaling,Quo Vadis,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,104,,104,104__,Leiden Centraal - Den Haag Mariahoeve,"51,729826",-4.497044,"-4,497044",ProRail,Randstad Zuid,RZ,Baan,Rijn en Gouwe,100,Leiden,1,BAM Rail,Den Haag Mariahoeve - Leiden Centraal,GVM-LEDN,Vrije baan,89347.75,459780.96999999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Holland Noord,52.12234408,4.42854027,,51.729826
79,a8dc17b0-8678-41a3-ac15-bb9dfbb033ed,Voorschoten/Den Haag,Bestaand,voestalpine SIGNALING Siershah,Quo Vadis,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,104,,104,104__,Leiden Centraal - Den Haag Mariahoeve,"51,726542",0.581646,"0,581646",ProRail,Randstad Zuid,RZ,Baan,Rijn en Gouwe,100,Leiden,1,BAM Rail,Den Haag Mariahoeve - Leiden Centraal,GVM-LEDN,Vrije baan,89346.316,459786.84999999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Holland Noord,52.12239675,4.4285182,,51.726542
80,b157f4e5-c9b0-494e-8f00-e6951d4b690d,,Bestaand,,Hotbox Detector,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,667,a,667,667_a,Prinsenbeek,"244,009263",0.621722,"0,621722",ProRail,,,Baan,,,HSL,70,Infraspeed,Breda - Breda - Grens,BD-BDGR,Vrije baan,109264.435,399000.591,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Holland Zuid,51.57806597,4.72739582,,244.009263
81,089d7dda-2c10-4b59-8ec7-42c3b70b0bf1,,Bestaand,,Quo Vadis,Rtd-Hfd,Rotterdam Centraal - Hoofddorp ,166,,166,166__,Rotterdam Westelijke Splitsing - Nieuw Vennep,"117,265340",-0.030635,"-0,030635",ProRail,,,Baan,,,HSL,70,Infraspeed,Groene Hart Tunnel - Rotterdam,GHTRTD,PPLG,97188.16,451728.954,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Holland Zuid,52.05085353,4.54437873,,117.26534
82,cb2e1b63-e84b-4868-b507-3dc70c562f84,,Bestaand,,Hotbox Detector,Rtd-Hfd,Rotterdam Centraal - Hoofddorp ,166,,166,166__,Rotterdam Westelijke Splitsing - Nieuw Vennep,"120,596835",-0.061807,"-0,061807",ProRail,,,Baan,,,HSL,70,Infraspeed,Groene Hart Tunnel - Rotterdam - Groene Hart Tunnel,GHTRTD-GHT,Vrije baan,98590.436,454706.23499999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Holland Zuid,52.07775574,4.56432843,,120.596835
