Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Fotopalooza;;;;;1;;;1
Fotostudio Vincent Mentzel;;;;;1;;;1
Fruitful Office Benelux;2;;;;;;;2
Fusion Termomecanica Srl Buenos Air;;;;;1;;;1
Galerie Cokkie Snoei;;;;;1;;;1
Galerie Diana Stigter;;;;;2;;;2
Galerie Nouvelles Images;;;;;2;;;2
Galerie Wouter van Leeuwen;;;;;1;;;1
Geschenkbezorgen.NL Haarlem;1;;;;;;;1
GUIDO SPRENKELS BEELDHOUWER;;;;;1;;;1
Gunnebo Nederland B.V.;;2;;;;;;2
Hafo B.V.;1;;;;;;;1
Hamerslag & Van Haren Advocaten;;;;;;;1;1
Hearttotouch;1;;;;;;;1
HENK WOLVERS PORSELEIN;;;;;1;;;1
Het Pleidooi;1;;;;;;;1
Het Sleutelhuis B.V.;1;1;;;;;;1
Het Stempel No. 539 B.V.;;;;;;1;;1
Holding Beheermaatschappij Ropeni B.V.;1;;;;;;;1
Hotel Contact B.V.;2;;;;;;;2
House of Lords B.V.;2;;;;;;;2
Ijet International, Inc. Annapolis;2;;;;;;;2
In Pace B.V.;1;;;;;;;1
Inigo Advocaten;;;;;;;1;1
Inkt.nl B.V.;;;;;;1;;1
ISS Integrated Facility Services B.V.;1;;;;;;;1
Jamin Oosterhout;;;;;;1;;1
Jansen-Wijsmuller & Beuns Bv Wormer;;;;;;1;;1
Kennedy Van der Laan;;;;;;;1;1
Kik!;;;;;2;;;2
KLM;;;2;;;;;2
Kompaan Beer Bar Den Haag;1;;;;;;;1
Koninklijk Instituut van Ingenieurs;1;;;;;;;1
Koninklijke van der Most B.V.;;;;;;1;;1
KOP  & SCHOUDERS;;;;;;1;;1
L.J.A.D. Creyghton V.O.F.;;;;;1;;;1
LD Horeca B.V.;1;;;;;;;1
LDSPS Local Development & Small Pro;;;;;;;1;1
Lhgwr Liefhertje En De Grote Witte;;;;;1;;;1
Lisanne Bommer Den Haag B.V.;1;;;;;;;1
Lyreco / Ahrend Sint-Oedenrode;;;;;5;;;5
MAGYAR TELEKOM NYRT.;;;;;;1;;1
MAIDIGE CORPORATION / WILLIE CRAWFO;;;;;1;;;1
Maison De La Foret Den Haag;1;;;;;;;1
Manutan B.V.;;;;;;1;;1
Maximes Denneweg 10B B.V.;1;;;;;;;1
Metaform B.V.;;;;;1;;;1
Mettler Toledo, B.V. Tiel;;;1;;;;;1
MingleMush B.V.;1;;;;;;;1
Mpl Alarm & Communicatie Centrale B.V.;;1;;;;;;1
Nedco Display B.V.;;;;;1;;;1
Neon Weka B.V.;;;;;1;;;1
Nespresso Nederland B.V.;1;;;;;;;1
New Babylon Meeting Center B.V.;1;;;;;;;1
NFGD Zoetermeer B.V.;1;;;;;;;1
NH Den Haag;1;;;;;;;1
Office Team Hoekschewaard;;;;;;1;;1
Ouwehands Dierenpark B.V.;1;;;;;;;1
Pactechno;1;;;;;;;1
Partyschip de Berenboot;1;;;;;;;1
PATboard B.V.;1;;;;;;;1
PDS Professional Driving Solutions B.V.;;2;;;;;;2
Perlent;1;;;;;;;1
Prakken DOliveira Human Rights Lawy;;;;;;;1;1
Promopodium B.V.;1;;;;;;;1
Protinus IT B.V.;1;;;;;;;1
QC Light Factory B.V.;;;;;2;;;2
Rabobank Breda;;;;;;;1;1
Rajapack Benelux;;;1;;;;;1
Rechtskundig Bureau Eind;;;;;;;1;1
Reflectwell;;1;;;;;;1
Restaurant Luden Den Haag Kiosk;1;;;;;;;1
Ricoh;;;;;;2;;2
Schut-Copex B.V.;;;3;;;;;3
Smartvizual Amsterdam;;;;;;1;;1
Sodexo Altys B.V.;5;;;;;;;5
Sofitel Hotel Brussel;1;;;;;;;1
SOS International Amsterdam;;1;;;;;;1
Staples Nederland B.V.;1;;;;;2;;2
Stas B.V.;;;;;1;;;1
Ster in Lijsten B.V.;;;;;3;;;3
Stichting Beheer Derdengelden de Binnenstad;;;;;;;1;1
Stichting Billytown;;;;;1;;;1
STICHTING Centre for Safety and Development;;2;;;;;;2
Stichting Choice Amsterdam;1;;;;;;;1
Stichting Heden Den Haag;;;;;1;;;1
Stichting Humanity House;1;;;;;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';1;;;;;;;1
Stichting Pensioenfonds Abp Heerlen;;;;;;;1;1
Stichting Platform Asbestverwijdering;1;;;;;;;1
Stichting Univ̩ Rechtshulp;;;;;;;1;1
Stomerij Panda;;;;;;1;;1
Taxibedrijf Van der Wijst;1;;;;;;;1
Technisch Bureau Verhagen B.V.;;;1;;;1;;1
Ter Hoeven & Partners B.V.;1;;;;;;;1
The British School Washington;;;;;;;1;1
The Ravestijn Gallery B.V.;;;;;1;;;1
The Royal Bank of Scotland N.V.;;;;;;;1;1
Timmerman Bedrijfskleding;1;;;;;;;1
Tindemans Translations B.V.;1;;;;;;;1
TMF AMMAN;;;;;;;1;1
TNO B.V.;1;;;;;;;1
Topa Verpakking, B.V. Voorhout;;;1;;;;;1
Topper Verpakkingen;;;;;;1;;1
Transposafe Systems;;;;;;2;;2
V.O.F. Alpina-van Houweninge & IJsselstijn;1;;;;;;;1
V.O.F. CIR 'De Chinese Muur';1;;;;;;;1
Van Randwijk Waddinxveen;;;;;;1;;1
VCK Travel B.V.;2;;;;;;;2
Vereniging VNO-NCW;1;;;;;;;1
Victor Laurentius Gallery;1;;;;;;;1
Wartna Lettering;;;;;2;;;2
We Like Art! Amsterdam;;;;;1;;;1
WIJNANDA DEROO;;;;;1;;;1
Willy's Snackbar;1;;;;;;;1
Xerox (Nederland) B.V.;3;1;1;2;;1;;3
Eindtotaal;6;7;7;2;6;3;2;8
