FID,shape_leng,strooknaam,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wschelde_2012.22,19977.6571347,l0324_grd,2012-03-12T00:00:00,,,"LINESTRING (24858.34299999848 381915.3920000009, 42784.78599999845 373097.8280000016)"
vlieglijnen_wschelde_2012.23,20321.1207062,l0325_grd,2012-03-12T00:00:00,,,"LINESTRING (24193.186999998987 381707.15300000086, 42418.3590000011 372718.7679999992)"
vlieglijnen_wschelde_2012.24,17420.2023594,l0328_grd,2012-03-11T00:00:00,,,"LINESTRING (45637.5700000003 371641.4690000005, 54844.18100000173 386430.0379999988)"
vlieglijnen_wschelde_2012.25,18714.9448482,l0329_grd,2012-03-11T00:00:00,,,"LINESTRING (46706.745999999344 372442.3440000005, 56597.631999999285 388330.0610000007)"
vlieglijnen_wschelde_2012.26,18036.0063762,l0330_grd,2012-03-11T00:00:00,,,"LINESTRING (47023.52400000021 371974.8729999997, 56549.71700000018 387289.8720000014)"
vlieglijnen_wschelde_2012.27,12947.5699285,l0317_grd,2012-03-12T00:00:00,,,"LINESTRING (34454.47500000149 381084.8260000013, 46081.40100000054 375387.9690000005)"
vlieglijnen_wschelde_2012.28,3074.00168455,l0303_grd,2012-02-02T00:00:00,,,"LINESTRING (34626.69299999997 388808.90300000086, 37389.21999999881 387460.59600000083)"
vlieglijnen_wschelde_2012.29,19103.6995061,l0331_grd,2012-03-11T00:00:00,,,"LINESTRING (47390.52600000054 371646.631000001, 57486.87000000104 387864.3740000017)"
vlieglijnen_wschelde_2012.30,17424.9144455,l0332_grd,2012-03-11T00:00:00,,,"LINESTRING (48360.53500000015 372199.9479999989, 57552.61199999973 387003.1020000018)"
vlieglijnen_wschelde_2012.31,17619.3747791,l0333_grd,2012-03-11T00:00:00,,,"LINESTRING (49054.074999999255 372392.59099999815, 58342.99399999902 387364.51000000164)"
vlieglijnen_wschelde_2012.32,15516.8700714,l0334_2_grd,2012-03-11T00:00:00,,,"LINESTRING (50102.64699999988 373148.1959999986, 58323.54100000113 386308.368999999)"
vlieglijnen_wschelde_2012.33,14738.3100346,l0335_grd,2012-02-25T00:00:00,,,"LINESTRING (51265.666999999434 373981.7890000008, 58977.97599999979 386541.1719999984)"
vlieglijnen_wschelde_2012.34,13818.895136,l0337_grd,2012-02-25T00:00:00,,,"LINESTRING (52610.254000000656 374335.6030000001, 59918.06599999964 386064.1039999984)"
vlieglijnen_wschelde_2012.35,12794.1319673,l0338_grd,2012-02-25T00:00:00,,,"LINESTRING (53530.98999999836 374936.1099999994, 60338.471999999136 385768.83900000155)"
vlieglijnen_wschelde_2012.36,12324.3278588,l0339_grd,2012-02-25T00:00:00,,,"LINESTRING (53966.16800000146 374569.3379999995, 60435.40599999949 385059.23800000176)"
vlieglijnen_wschelde_2012.37,11779.7512688,l0340_grd,2012-02-25T00:00:00,,,"LINESTRING (54743.335999999195 375145.8669999987, 61163.34099999815 385022.4079999998)"
vlieglijnen_wschelde_2012.38,5496.39617868,l0341_grd,2012-02-02T00:00:00,,,"LINESTRING (71087.08199999854 381375.006000001, 75770.88500000164 378498.8350000009)"
vlieglijnen_wschelde_2012.39,5685.74150513,l0342_grd,2012-02-02T00:00:00,,,"LINESTRING (70842.37200000137 380957.2109999992, 75669.1799999997 377952.28500000015)"
vlieglijnen_wschelde_2012.40,6439.16256254,l0343_grd,2012-02-02T00:00:00,,,"LINESTRING (70595.6090000011 380529.6180000007, 76067.2349999994 377134.8969999999)"
vlieglijnen_wschelde_2012.41,7464.56307848,l0344_grd,2012-02-02T00:00:00,,,"LINESTRING (69634.61699999869 380524.48800000176, 75962.4299999997 376564.881000001)"
vlieglijnen_wschelde_2012.42,8367.6602142,l0345_grd,2012-02-02T00:00:00,,,"LINESTRING (69202.81599999964 380216.9459999986, 76313.16600000113 375805.5229999982)"
vlieglijnen_wschelde_2012.43,14140.7528626,l0336_grd,2012-02-25T00:00:00,,,"LINESTRING (51937.36300000176 374330.16699999943, 59465.94399999827 386300.1860000007)"
vlieglijnen_wschelde_2012.44,9052.77153616,l0346_2_grd,2012-02-02T00:00:00,,,"LINESTRING (68913.38800000027 379796.8830000013, 76591.22700000182 375000.69200000167)"
vlieglijnen_wschelde_2012.45,20570.3368591,l0347_grd,2012-02-25T00:00:00,,,"LINESTRING (60341.96799999848 384514.63800000027, 77854.63100000098 373723.65100000054)"
vlieglijnen_wschelde_2012.46,21319.2047455,l0348_grd,2012-02-25T00:00:00,,,"LINESTRING (60148.859999999404 384102.62099999934, 78238.76900000125 372821.5009999983)"
vlieglijnen_wschelde_2012.47,21093.4932683,l0349_grd,2012-03-11T00:00:00,,,"LINESTRING (60458.004000000656 383303.1400000006, 78360.67000000179 372148.3209999986)"
vlieglijnen_wschelde_2012.48,20039.9293567,l0350_grd,2012-03-11T00:00:00,,,"LINESTRING (61901.984999999404 381816.93299999833, 78914.52299999818 371225.79100000113)"
vlieglijnen_wschelde_2012.49,17406.4681892,l0351_grd,2012-03-11T00:00:00,,,"LINESTRING (63388.061000000685 380289.1950000003, 78164.96999999881 371089.84099999815)"
vlieglijnen_wschelde_2012.50,22748.7640334,l0352_grd,2012-03-11T00:00:00,,,"LINESTRING (58944.75800000131 382410.9050000012, 78312.03599999845 370477.13800000027)"
vlieglijnen_wschelde_2012.51,19154.5208844,l0353_grd,2012-03-11T00:00:00,,,"LINESTRING (58808.76199999824 381954.03500000015, 75077.40799999982 371843.30700000003)"
vlieglijnen_wschelde_2012.52,19139.594939,l0354_grd,2012-03-11T00:00:00,,,"LINESTRING (58465.27600000054 381604.13699999824, 74709.61100000143 371482.5929999985)"
vlieglijnen_wschelde_2012.53,19144.0365777,l0355_grd,2012-03-11T00:00:00,,,"LINESTRING (58309.84499999881 381097.3289999999, 74562.80099999905 370981.2250000015)"
vlieglijnen_wschelde_2012.54,16998.7799642,l0356_grd,2012-03-12T00:00:00,,,"LINESTRING (58021.06799999997 380692.6229999997, 72444.98200000077 371697.66800000146)"
vlieglijnen_wschelde_2012.55,17044.5755942,l0357_grd,2012-03-12T00:00:00,,,"LINESTRING (57693.993000000715 380320.41800000146, 72163.6790000014 371312.3260000013)"
vlieglijnen_wschelde_2012.56,17098.1062684,l0358_grd,2012-03-12T00:00:00,,,"LINESTRING (57538.91800000146 379854.01900000125, 72012.30999999866 370750.93299999833)"
vlieglijnen_wschelde_2012.57,13844.6349342,l0359_grd,2012-02-25T00:00:00,,,"LINESTRING (60002.0159999989 377692.43200000003, 71757.97500000149 370380.0229999982)"
vlieglijnen_wschelde_2012.58,14012.7645715,l0360_grd,2012-02-25T00:00:00,,,"LINESTRING (59668.68800000101 377274.5150000006, 71598.52800000086 369923.563000001)"
vlieglijnen_wschelde_2012.59,15962.0287702,l0370_1_grd,2012-03-12T00:00:00,,,"LINESTRING (27164.151000000536 379226.2270000018, 37946.93800000101 390995.5879999995)"
vlieglijnen_wschelde_2012.60,15706.6129037,l0371_1_grd,2012-03-12T00:00:00,,,"LINESTRING (34846.60500000045 375782.19200000167, 37822.14799999818 391204.3779999986)"
vlieglijnen_wschelde_2012.61,17016.2373068,l0372_1_grd,2012-03-11T00:00:00,,,"LINESTRING (44605.04300000146 382453.0720000006, 60443.1950000003 376231.71400000155)"
vlieglijnen_wschelde_2012.62,11964.1054632,l0373_1_grd,2012-02-25T00:00:00,,,"LINESTRING (50472.48600000143 384137.1649999991, 59697.53500000015 376518.87900000066)"
vlieglijnen_wschelde_2012.63,8315.68810291,l0374_1_grd,2012-03-12T00:00:00,,,"LINESTRING (59313.55200000107 376150.00400000066, 64551.903999999166 382608.3579999991)"
vlieglijnen_wschelde_2012.64,10945.5877099,l0375_1_grd,2012-03-11T00:00:00,,,"LINESTRING (65992.1649999991 372588.78500000015, 72961.89699999988 381028.49500000104)"
vlieglijnen_wschelde_2012.65,13432.1514198,l0376_1_grd,2012-03-12T00:00:00,,,"LINESTRING (70055.82800000161 367307.2679999992, 75005.12999999896 379794.3449999988)"
