NUMMER;PLAATS;AFWIJKING;AFLEZING;MAAIVELD;STIJGBUIS;JAARNR;WEEKNR;DDMUTATIE;STATUS;JAAR;INDICATIE_ACTIEF;DD_VERVALLEN;INDICATIENR;LON;LAT;RD_X;RD_Y;WIJKBUURTNR;WIJK;BUURTNAAM;GEMEENTE_CODE;GEMEENTE_NAAM;LANDCODE;LANDNAAM
7012;Lariksdreef 42;;0,820;-1,887;-1,927;2015;22;28-05-2015;V;2015;1;;;4,3408420403;51,9360294476;83043,3450000000;439136,2260000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
7010;Lariksdreef 28;;1,040;-2,199;-2,225;2015;22;28-05-2015;V;2015;1;;;4,3416155228;51,9362946157;83096,9580000000;439164,9600000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
7017;Cederdreef 2;;0,990;-2,076;-2,109;2015;22;28-05-2015;V;2015;1;;;4,3414329285;51,9366188114;83084,9210000000;439201,2070000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
7016;Cederdreef 35;;0,780;-2,211;-2,299;2015;22;28-05-2015;V;2015;1;;;4,3403471139;51,9371074372;83011,0390000000;439256,6410000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
7015;Kastanjedreef 24;;1,020;-2,238;-2,265;2015;22;28-05-2015;V;2015;1;;;4,3393413183;51,9371572372;82941,9570000000;439263,1780000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
7014;Cipressendreef 1;;0,910;-2,163;-2,178;2015;22;28-05-2015;V;2015;1;;;4,3391709300;51,9363154829;82928,8900000000;439169,7030000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
7013;Cipressendreef 29;;0,940;-2,153;-2,192;2015;22;28-05-2015;V;2015;1;;;4,3374738607;51,9363255829;82812,2080000000;439172,5110000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
7003;Platanendreef 166;;0,750;-2,105;-2,257;2015;22;28-05-2015;V;2015;1;;;4,3361073106;51,9371783283;82719,6100000000;439268,7360000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
7008;Platanendreef 2;;0,790;-2,272;-2,425;2015;22;28-05-2015;V;2015;1;;;4,3430891761;51,9399204664;83204,0890000000;439566,8740000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
7006;Hazelaardreef 17;;0,530;-2,295;-2,388;2015;22;28-05-2015;V;2015;1;;;4,3439336947;51,9414898870;83264,6640000000;439740,6360000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
