FID,hectomtrng,afstand,wvk_id,wvk_begdat,zijde,hecto_lttr,gdb_geomattr_data,shape
mutaties_hectopunten.113,1078,639,344369053,2023-01-01T00:00:00, , ,,POINT (172499.30270000175 484231.23750000075)
mutaties_hectopunten.114,1079,739,344369053,2023-01-01T00:00:00, , ,,POINT (172517.5218999982 484132.94420000166)
mutaties_hectopunten.115,1080,839,344369053,2023-01-01T00:00:00, , ,,POINT (172529.4785999991 484033.66690000147)
mutaties_hectopunten.116,1081,939,344369053,2023-01-01T00:00:00, , ,,POINT (172540.09059999883 483934.23160000145)
mutaties_hectopunten.117,1082,1039,344369053,2023-01-01T00:00:00, , ,,POINT (172547.58100000024 483834.5368999988)
mutaties_hectopunten.118,1083,1139,344369053,2023-01-01T00:00:00, , ,,POINT (172551.25840000063 483734.60610000044)
mutaties_hectopunten.119,1084,1239,344369053,2023-01-01T00:00:00, , ,,POINT (172553.39820000157 483634.6372999996)
mutaties_hectopunten.120,1085,1339,344369053,2023-01-01T00:00:00, , ,,POINT (172556.86899999902 483534.7006999999)
mutaties_hectopunten.121,1086,1439,344369053,2023-01-01T00:00:00, , ,,POINT (172560.95380000025 483434.7890000008)
mutaties_hectopunten.122,1501,16,353272003,2023-01-01T00:00:00,Re, ,,POINT (176763.0502000004 436488.71290000156)
mutaties_hectopunten.123,1502,117,353272003,2023-01-01T00:00:00,Re, ,,POINT (176863.7798999995 436481.33509999886)
mutaties_hectopunten.124,1503,217,353272003,2023-01-01T00:00:00,Re, ,,POINT (176963.5124000013 436474.0302999988)
mutaties_hectopunten.125,1504,317,353272003,2023-01-01T00:00:00,Re, ,,POINT (177063.246199999 436466.74529999867)
mutaties_hectopunten.126,1505,418,353272003,2023-01-01T00:00:00,Re, ,,POINT (177163.97679999843 436459.3772)
mutaties_hectopunten.127,1506,518,353272003,2023-01-01T00:00:00,Re, ,,POINT (177263.7100000009 436452.0819000006)
mutaties_hectopunten.128,1507,618,353272003,2023-01-01T00:00:00,Re, ,,POINT (177363.44319999963 436444.7866999991)
mutaties_hectopunten.129,1508,719,353272003,2023-01-01T00:00:00,Re, ,,POINT (177464.1737000011 436437.41849999875)
mutaties_hectopunten.130,1509,819,353272003,2023-01-01T00:00:00,Re, ,,POINT (177563.90560000017 436430.123399999)
mutaties_hectopunten.131,1510,919,353272003,2023-01-01T00:00:00,Re, ,,POINT (177663.6424999982 436423.20899999887)
mutaties_hectopunten.132,1511,1019,353272003,2023-01-01T00:00:00,Re, ,,POINT (177763.44449999928 436418.3737999983)
mutaties_hectopunten.133,1512,1114,353272003,2023-01-01T00:00:00,Re, ,,POINT (177858.31190000102 436415.83480000123)
mutaties_hectopunten.134,1513,1220,353272003,2023-01-01T00:00:00,Re, ,,POINT (177964.22569999844 436415.34490000084)
mutaties_hectopunten.135,1514,1320,353272003,2023-01-01T00:00:00,Re, ,,POINT (178064.10550000146 436417.20760000125)
mutaties_hectopunten.136,163,847,353531013,2023-01-01T00:00:00, , ,,POINT (176958.74540000036 566767.7287999988)
mutaties_hectopunten.137,164,750,353531013,2023-01-01T00:00:00, , ,,POINT (176924.7060999982 566676.9037000015)
mutaties_hectopunten.138,165,649,353531013,2023-01-01T00:00:00, , ,,POINT (176891.48739999905 566581.5287999995)
mutaties_hectopunten.139,166,551,353531013,2023-01-01T00:00:00, , ,,POINT (176869.0357999988 566486.2041999996)
mutaties_hectopunten.140,167,454,353531013,2023-01-01T00:00:00, , ,,POINT (176854.6035999991 566390.2848000005)
mutaties_hectopunten.141,168,351,353531013,2023-01-01T00:00:00, , ,,POINT (176839.39600000158 566288.4138999991)
