FID,ZOEK_POSTCODE,ZOEK_ADRES,X,Y,STRAAT,HUISNUMMER,HUISLETTER,HUIS_TOEVOEGING,POSTCODE,WOONPLAATS,WIJ_NAAM,WEBSITE,GEOM
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_285b,"9712GP, 6",'t Klooster 6 9712GP Groningen,233690,582168,'t Klooster,6,,,9712GP,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233690 582168)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_285c,"9712GP, 8",'t Klooster 8 9712GP Groningen,233691,582164,'t Klooster,8,,,9712GP,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233691 582164)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_285d,"9791CJ, 1a",'t Laantje 1a 9791CJ Ten Boer,242461,588363,'t Laantje,1,a,,9791CJ,Ten Boer,WIJ Ten Boer,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-ten-boer"" target=""_blank"">Website WIJ Ten Boer</A>",POINT (242461 588363)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_285e,"9791CJ, 1b",'t Laantje 1b 9791CJ Ten Boer,242482,588376,'t Laantje,1,b,,9791CJ,Ten Boer,WIJ Ten Boer,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-ten-boer"" target=""_blank"">Website WIJ Ten Boer</A>",POINT (242482 588376)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_285f,"9791CJ, 1c",'t Laantje 1c 9791CJ Ten Boer,242482,588376,'t Laantje,1,c,,9791CJ,Ten Boer,WIJ Ten Boer,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-ten-boer"" target=""_blank"">Website WIJ Ten Boer</A>",POINT (242482 588376)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2860,"9791CJ, 1d",'t Laantje 1d 9791CJ Ten Boer,242482,588376,'t Laantje,1,d,,9791CJ,Ten Boer,WIJ Ten Boer,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-ten-boer"" target=""_blank"">Website WIJ Ten Boer</A>",POINT (242482 588376)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2861,"9791CJ, 2",'t Laantje 2 9791CJ Ten Boer,242485,588401,'t Laantje,2,,,9791CJ,Ten Boer,WIJ Ten Boer,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-ten-boer"" target=""_blank"">Website WIJ Ten Boer</A>",POINT (242485 588401)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2862,"9791CJ, 3",'t Laantje 3 9791CJ Ten Boer,242492,588409,'t Laantje,3,,,9791CJ,Ten Boer,WIJ Ten Boer,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-ten-boer"" target=""_blank"">Website WIJ Ten Boer</A>",POINT (242492 588409)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2863,"9791CJ, 4",'t Laantje 4 9791CJ Ten Boer,242501,588414,'t Laantje,4,,,9791CJ,Ten Boer,WIJ Ten Boer,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-ten-boer"" target=""_blank"">Website WIJ Ten Boer</A>",POINT (242501 588414)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2864,"9791CJ, 4a",'t Laantje 4a 9791CJ Ten Boer,242504,588418,'t Laantje,4,a,,9791CJ,Ten Boer,WIJ Ten Boer,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-ten-boer"" target=""_blank"">Website WIJ Ten Boer</A>",POINT (242504 588418)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2865,"9791CJ, 5",'t Laantje 5 9791CJ Ten Boer,242511,588430,'t Laantje,5,,,9791CJ,Ten Boer,WIJ Ten Boer,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-ten-boer"" target=""_blank"">Website WIJ Ten Boer</A>",POINT (242511 588430)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2866,"9791CJ, 6",'t Laantje 6 9791CJ Ten Boer,242528,588450,'t Laantje,6,,,9791CJ,Ten Boer,WIJ Ten Boer,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-ten-boer"" target=""_blank"">Website WIJ Ten Boer</A>",POINT (242528 588450)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2867,"9479PN, 2",'t Wegje 2 9479PN Noordlaren,240664,571101,'t Wegje,2,,,9479PN,Noordlaren,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (240664 571101)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2868,"9479PN, 4",'t Wegje 4 9479PN Noordlaren,240658,571099,'t Wegje,4,,,9479PN,Noordlaren,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (240658 571099)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2869,"9479PN, 6",'t Wegje 6 9479PN Noordlaren,240648,571089,'t Wegje,6,,,9479PN,Noordlaren,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (240648 571089)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_286a,"9728EN, 1",16 Aprillaan 1 9728EN Groningen,233137,579946,16 Aprillaan,1,,,9728EN,Groningen,WIJ Corpus den Hoorn,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-corpusdenhoorn-hoornsemeer"" target=""_blank"">Website WIJ Corpus den Hoorn</A>",POINT (233137 579946)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_286b,"9728EN, 10",16 Aprillaan 10 9728EN Groningen,233100,579865,16 Aprillaan,10,,,9728EN,Groningen,WIJ Corpus den Hoorn,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-corpusdenhoorn-hoornsemeer"" target=""_blank"">Website WIJ Corpus den Hoorn</A>",POINT (233100 579865)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_286c,"9728EN, 12",16 Aprillaan 12 9728EN Groningen,233096,579860,16 Aprillaan,12,,,9728EN,Groningen,WIJ Corpus den Hoorn,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-corpusdenhoorn-hoornsemeer"" target=""_blank"">Website WIJ Corpus den Hoorn</A>",POINT (233096 579860)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_286d,"9728EN, 2",16 Aprillaan 2 9728EN Groningen,233171,579969,16 Aprillaan,2,,,9728EN,Groningen,WIJ Corpus den Hoorn,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-corpusdenhoorn-hoornsemeer"" target=""_blank"">Website WIJ Corpus den Hoorn</A>",POINT (233171 579969)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_286e,"9728EN, 3",16 Aprillaan 3 9728EN Groningen,233131,579949,16 Aprillaan,3,,,9728EN,Groningen,WIJ Corpus den Hoorn,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-corpusdenhoorn-hoornsemeer"" target=""_blank"">Website WIJ Corpus den Hoorn</A>",POINT (233131 579949)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_286f,"9728EN, 4",16 Aprillaan 4 9728EN Groningen,233177,579967,16 Aprillaan,4,,,9728EN,Groningen,WIJ Corpus den Hoorn,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-corpusdenhoorn-hoornsemeer"" target=""_blank"">Website WIJ Corpus den Hoorn</A>",POINT (233177 579967)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2870,"9728EN, 5",16 Aprillaan 5 9728EN Groningen,233125,579951,16 Aprillaan,5,,,9728EN,Groningen,WIJ Corpus den Hoorn,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-corpusdenhoorn-hoornsemeer"" target=""_blank"">Website WIJ Corpus den Hoorn</A>",POINT (233125 579951)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2871,"9728EN, 6",16 Aprillaan 6 9728EN Groningen,233183,579964,16 Aprillaan,6,,,9728EN,Groningen,WIJ Corpus den Hoorn,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-corpusdenhoorn-hoornsemeer"" target=""_blank"">Website WIJ Corpus den Hoorn</A>",POINT (233183 579964)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2872,"9728EN, 8",16 Aprillaan 8 9728EN Groningen,233105,579871,16 Aprillaan,8,,,9728EN,Groningen,WIJ Corpus den Hoorn,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-corpusdenhoorn-hoornsemeer"" target=""_blank"">Website WIJ Corpus den Hoorn</A>",POINT (233105 579871)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2873,"9711CR, 11",1e Drift Ged. Zuiderdiep 11 9711CR Groningen,233988,581569,1e Drift Ged. Zuiderdiep,11,,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233988 581569)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2874,"9711CR, 11a",1e Drift Ged. Zuiderdiep 11a 9711CR Groningen,233990,581571,1e Drift Ged. Zuiderdiep,11,a,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233990 581571)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2875,"9711CR, 11b",1e Drift Ged. Zuiderdiep 11b 9711CR Groningen,233990,581568,1e Drift Ged. Zuiderdiep,11,b,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233990 581568)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2876,"9711CR, 11c",1e Drift Ged. Zuiderdiep 11c 9711CR Groningen,233992,581572,1e Drift Ged. Zuiderdiep,11,c,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233992 581572)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2877,"9711CR, 11d",1e Drift Ged. Zuiderdiep 11d 9711CR Groningen,233993,581569,1e Drift Ged. Zuiderdiep,11,d,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233993 581569)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2878,"9711CR, 13",1e Drift Ged. Zuiderdiep 13 9711CR Groningen,233990,581564,1e Drift Ged. Zuiderdiep,13,,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233990 581564)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2879,"9711CR, 13a",1e Drift Ged. Zuiderdiep 13a 9711CR Groningen,233991,581566,1e Drift Ged. Zuiderdiep,13,a,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233991 581566)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_287a,"9711CR, 13b",1e Drift Ged. Zuiderdiep 13b 9711CR Groningen,233992,581563,1e Drift Ged. Zuiderdiep,13,b,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233992 581563)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_287b,"9711CR, 13c",1e Drift Ged. Zuiderdiep 13c 9711CR Groningen,233994,581567,1e Drift Ged. Zuiderdiep,13,c,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233994 581567)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_287c,"9711CR, 13d",1e Drift Ged. Zuiderdiep 13d 9711CR Groningen,233995,581564,1e Drift Ged. Zuiderdiep,13,d,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233995 581564)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_287d,"9711CR, 15",1e Drift Ged. Zuiderdiep 15 9711CR Groningen,233992,581559,1e Drift Ged. Zuiderdiep,15,,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233992 581559)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_287e,"9711CR, 15a",1e Drift Ged. Zuiderdiep 15a 9711CR Groningen,233993,581561,1e Drift Ged. Zuiderdiep,15,a,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233993 581561)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_287f,"9711CR, 15b",1e Drift Ged. Zuiderdiep 15b 9711CR Groningen,233995,581562,1e Drift Ged. Zuiderdiep,15,b,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233995 581562)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2880,"9711CR, 15c",1e Drift Ged. Zuiderdiep 15c 9711CR Groningen,233994,581558,1e Drift Ged. Zuiderdiep,15,c,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233994 581558)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2881,"9711CR, 15d",1e Drift Ged. Zuiderdiep 15d 9711CR Groningen,233996,581559,1e Drift Ged. Zuiderdiep,15,d,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233996 581559)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2882,"9711CR, 17",1e Drift Ged. Zuiderdiep 17 9711CR Groningen,233993,581555,1e Drift Ged. Zuiderdiep,17,,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233993 581555)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2883,"9711CR, 17a",1e Drift Ged. Zuiderdiep 17a 9711CR Groningen,233995,581556,1e Drift Ged. Zuiderdiep,17,a,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233995 581556)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2884,"9711CR, 17b",1e Drift Ged. Zuiderdiep 17b 9711CR Groningen,233995,581554,1e Drift Ged. Zuiderdiep,17,b,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233995 581554)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2885,"9711CR, 17c",1e Drift Ged. Zuiderdiep 17c 9711CR Groningen,233997,581557,1e Drift Ged. Zuiderdiep,17,c,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233997 581557)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2886,"9711CR, 17d",1e Drift Ged. Zuiderdiep 17d 9711CR Groningen,233998,581555,1e Drift Ged. Zuiderdiep,17,d,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233998 581555)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2887,"9711CR, 3",1e Drift Ged. Zuiderdiep 3 9711CR Groningen,233971,581580,1e Drift Ged. Zuiderdiep,3,,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233971 581580)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2888,"9711CR, 5",1e Drift Ged. Zuiderdiep 5 9711CR Groningen,233981,581558,1e Drift Ged. Zuiderdiep,5,,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233981 581558)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2889,"9711CR, 5a",1e Drift Ged. Zuiderdiep 5a 9711CR Groningen,233982,581555,1e Drift Ged. Zuiderdiep,5,a,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233982 581555)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_288a,"9711CR, 7",1e Drift Ged. Zuiderdiep 7 9711CR Groningen,233983,581552,1e Drift Ged. Zuiderdiep,7,,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233983 581552)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_288b,"9711CR, 9",1e Drift Ged. Zuiderdiep 9 9711CR Groningen,233986,581544,1e Drift Ged. Zuiderdiep,9,,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233986 581544)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_288c,"9711CR, 2",2e Drift Ged. Zuiderdiep 2 9711CR Groningen,234018,581612,2e Drift Ged. Zuiderdiep,2,,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (234018 581612)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_288d,"9711CR, 4",2e Drift Ged. Zuiderdiep 4 9711CR Groningen,234019,581613,2e Drift Ged. Zuiderdiep,4,,,9711CR,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (234019 581613)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_288e,"9756TC, 2",A-Weg 2 9756TC Glimmen,237357,572795,A-Weg,2,,,9756TC,Glimmen,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (237357 572795)
