FID,omschr,type_div,hectobord,afritnr,afritnaam,wegdeelltr,kmtr,wegnummer,fk_veld4,ibn,gdb_geomattr_data,shape
divergenties_kenmerk.39,Halfklaverblad-aansluiting,U,109.0a,36,'ZEEWOLDE'VBW. a,R,108.91999817,027,KPK0001149828,I,,POINT (150860.29940000176 480259.7419999987)
divergenties_kenmerk.40,Halfklaverblad-aansluiting,U,109.3c,36,'ZEEWOLDE'VBW. c,R,109.41000366,027,KPK0001149829,I,,POINT (151201.89710000157 480647.13280000165)
divergenties_kenmerk.41,Pseudo Haarlemmermeer-aansluiting,U,0.9a,1,'STEIN'VBW. a,R,0.65100002,076,KPK0001150459,I,,POINT (181246.39200000092 330214.48050000146)
divergenties_kenmerk.42,Klaverbladknooppunt,D,2.9y,-,'KP.KERENSHEIDE'MAASTRICHT RANG.BAAN y,R,3.01399994,076,KPK0001150464,I,,POINT (183440.28840000182 330844.7456)
divergenties_kenmerk.43,Haarlemmermeer-aansluiting,U,5.3c,2,'GELEEN'VBW. c,R,5.44999981,076,KPK0001150477,I,,POINT (185332.77849999815 329316.1072999984)
divergenties_kenmerk.44,Haarlemmermeer-aansluiting,U,"11,2c",5,'NUTH'VBW. c,R,11.31700039,076,KPK0001150484,I,,POINT (190130.1272 326427.0111999996)
divergenties_kenmerk.45,Pseudo Haarlemmermeer-aansluiting,U,12.4c,5a,'NUTH-CENTRUM'VBW. c,R,12.54199982,076,KPK0001150486,I,,POINT (190712.9717000015 325380.3632000014)
divergenties_kenmerk.46,Pseudo Halfklaverblad-aansluiting,U,25.7c,7,'SIMPELVELD'VBW. c,R,25.81399918,076,KPK0001150501,I,,POINT (199227.3900000006 315599.85709999874)
divergenties_kenmerk.47,Pseudo Haarlemmermeer-aansluiting,U,0.0#,1a,'STEIN'VBW. c,R,2.62299991,076,KPK0001150518,I,,POINT (183223.76099999994 331208.3280000016)
divergenties_kenmerk.48,Niet indeelbaar,U,0.0#,,'BRUNSSUM',R,10.82900047,076,KPK0001150520,I,,POINT (189986.80029999837 326884.43730000034)
divergenties_kenmerk.49,Pseudo T-knooppunt,D,0.4q,,'KP.KRUISDONK'CADIER EN KEER VBW. q,R,0.616,079,KPK0001150529,I,,POINT (179194.05920000002 320151.7514999993)
divergenties_kenmerk.50,Pseudo Overig volledig knooppunt,D,0.0#,,'KP.LEENDERHEIDE'DUISBURG (RW67),R,169.17100525,002,KPK0001219402,I,,POINT (162193.37200000137 379538.4120000005)
divergenties_kenmerk.51,Niet indeelbaar,U,0.0#,,'CENTRUM',R,1.18299997,003,KPK0001219571,I,,POINT (108097.57030000165 427273.4508999996)
divergenties_kenmerk.52,Haarlemmermeer-aansluiting,U,7.5a,5,'DORDRECHT-STERRENBURG'VBW. a,R,7.1789999,003,KPK0001219584,I,,POINT (105582.51429999992 422467.7170000002)
divergenties_kenmerk.53,Niet indeelbaar,D,0.0#,,'SLOTERVAART',R,2.3499999,004,KPK0001219596,I,,POINT (115821.68070000038 483410.2595999986)
divergenties_kenmerk.54,Niet indeelbaar,U,0.0#,,'ASSEN',R,178.65400696,028,KPK0001221899,I,,POINT (234399.70749999955 560972.1163000017)
divergenties_kenmerk.55,Pseudo T-knooppunt,U,7.1u,,'KP.ZURICH'ZURICH VBW. u,R,7.26599979,031,KPK0001221907,I,,POINT (155238.2811000012 568917.9409000017)
divergenties_kenmerk.56,Halfklaverblad-aansluiting,U,17.6a,19,'HARLINGEN-HAVENS'VBW. a,R,17.43000031,031,KPK0001221923,I,,POINT (159773.50699999928 577448.4875000007)
divergenties_kenmerk.57,Pseudo Klaverbladknooppunt,U,2.6c,2,'UTRECHT-SCIENCE PARK'VBW. c,R,2.76399994,028,KPK0001140263,I,,POINT (141289.748399999 456060.80469999835)
divergenties_kenmerk.58,Klaverbladknooppunt,D,27.8s,,'KP.HOEVELAKEN'AMERSFOORT-NOORD VBW. s,R,27.89699936,028,KPK0001140318,I,,POINT (158040.35159999877 465649.13369999826)
divergenties_kenmerk.59,Haarlemmermeer-aansluiting,U,61.6c,27,'HENGELO-ZUID'VBW. c,R,61.76800156,035,KPK0001141015,I,,POINT (249339.85700000077 472763.35489999875)
divergenties_kenmerk.60,Pseudo T-knooppunt,U,157.4#,,'KP.PAALGRAVEN'OSS(RW59 L.RIJB.),R,131.42900085,050,KPK0001141428,I,,POINT (168647.26570000127 416966.07609999925)
divergenties_kenmerk.61,Halfklaverblad-aansluiting,U,158.8a,18,'HETEREN'VBW. a,R,158.71099854,050,KPK0001141549,I,,POINT (181077.1447999999 439275.1590999998)
divergenties_kenmerk.62,T-knooppunt,D,169.4r,,'KP.GRIJSOORD'ZWOLLE VBW. r,R,169.30700684,050,KPK0001141666,I,,POINT (184625.48299999908 448099.5245999992)
divergenties_kenmerk.63,Pseudo Haarlemmermeer-aansluiting,U,183.7c,20,'ARNHEM-CENTRUM'VBW. c,R,183.85099792,050,KPK0001141694,I,,POINT (191996.88430000097 449050.28350000083)
divergenties_kenmerk.64,,U,15.2n,,BS.PPL.+REST.'DEN RUYGEN HOEK',R,15.49800014,004,KPK0001219734,I,,POINT (106834.71449999884 474526.1884999983)
divergenties_kenmerk.65,Pseudo Halfklaverblad-aansluiting,U,206.6c,24,'APELDOORN'VBW. c,R,206.69400024,050,KPK0001141933,I,,POINT (198415.69810000062 469466.0031000003)
divergenties_kenmerk.66,Halfklaverblad-aansluiting,U,247.3a,31,'KAMPEN-ZUID'VBW. a,R,247.20799255,050,KPK0001142009,I,,POINT (191106.11950000003 504515.0654999986)
divergenties_kenmerk.67,Halfklaverblad-aansluiting,U,261.8a,33,'ENS'VBW. a,R,261.60299683,050,KPK0001142020,I,,POINT (184042.2292000018 516757.51579999924)
divergenties_kenmerk.68,Klaverbladknooppunt,U,143.5k,,'KP.HEERENVEEN'HEERENVEEN VBW. k,R,143.55799866,007,KPK0001204330,I,,POINT (190412.41120000184 554297.0447999984)
divergenties_kenmerk.69,Haarlemmermeer-aansluiting,U,61.6c,18,'HOOGRAVEN'VBW. c,R,61.72700119,012,KPK0001204549,I,,POINT (137317.86279999837 451939.76790000126)
divergenties_kenmerk.70,Klaverbladknooppunt,U,4.5p,,'KP.ZAANDAM'AMSTERDAM VBW. p,R,4.41200018,007,KPK0001219981,I,,POINT (117534.54450000077 496465.8878000006)
divergenties_kenmerk.71,Haarlemmermeer-aansluiting,U,13.4a,4,'PURMEREND-ZUID'VBW. a,R,13.1619997,007,KPK0001219991,I,,POINT (123751.57820000127 501834.2410000004)
divergenties_kenmerk.72,T-aansluiting halfklaverblad,U,36.5a,10,'WOGNUM'VBW. a,R,36.3730011,007,KPK0001220031,I,,POINT (130872.19750000164 522509.8487999998)
divergenties_kenmerk.73,Niet indeelbaar,U,0.0#,,'CENTRUM',R,121.86299896,007,KPK0001220240,I,,POINT (173063.2050999999 559524.8779999986)
divergenties_kenmerk.74,,U,0.0#,,BS.PPL.'OUDE RIET',R,179.41400146,007,KPK0001204364,I,,POINT (217132.12950000167 576042.4747000001)
divergenties_kenmerk.75,Halfklaverblad-aansluiting,U,43.1a,11,'MEDEMBLIK'VBW. a,R,42.89099884,007,KPK0001220056,I,,POINT (131117.88690000027 528931.0333000012)
divergenties_kenmerk.76,T-aansluiting halfklaverblad,U,50.0a,12,'MIDDENMEER'VBW. a,R,49.86999893,007,KPK0001220060,I,,POINT (129538.57330000028 535413.2936999984)
divergenties_kenmerk.77,T-aansluiting halfklaverblad,U,50.1c,12,'MIDDENMEER'VBW. c,R,50.33000183,007,KPK0001220062,I,,POINT (129556.02320000157 535874.9587999992)
divergenties_kenmerk.78,Niet indeelbaar,U,0.0#,,'CALAMITEITENROUTE',R,57.66899872,007,KPK0001220070,I,,POINT (130479.29089999944 542986.9631999992)
divergenties_kenmerk.79,Niet indeelbaar,U,0.0#,,'ALMELO-ZUID',R,48.16600037,035,KPK0001222054,I,,POINT (240898.07129999995 482355.9750000015)
divergenties_kenmerk.80,Niet indeelbaar,D,0.0#,,'ALMELO-ZUID',R,47.86199951,035,KPK0001222055,I,,POINT (241006.53979999945 482598.0025999993)
divergenties_kenmerk.81,Haarlemmermeer-aansluiting,U,0.0#,,'WASSENAAR-KERKEHOUT',R,27.18000031,044,KPK0001222187,I,,POINT (84604.55000000075 458031.40399999917)
divergenties_kenmerk.82,Niet indeelbaar,U,0.0#,,'BILTHOVEN' (N234),R,86.08499908,027,KPK0001205201,I,,POINT (139365.93189999834 461489.60599999875)
divergenties_kenmerk.83,Niet indeelbaar,U,0.0#,,'LELYSTAD' (N302),R,53.19200134,028,KPK0001205385,I,,POINT (172609.74830000103 483389.12519999966)
divergenties_kenmerk.84,Niet indeelbaar,U,0.0#,,'HOOGEVEEN',R,143.51600647,028,KPK0001205402,I,,POINT (227878.1763000004 528454.0920999981)
divergenties_kenmerk.85,Niet indeelbaar,U,0.0#,,'DE WIJERT',R,198.90100098,028,KPK0001205412,I,,POINT (233726.65100000054 579019.0227000006)
divergenties_kenmerk.86,,U,0.0#,,PPL.'DE MARKTE',R,100.97799683,028,KPK0001205545,I,,POINT (208169.58619999886 507153.45639999956)
divergenties_kenmerk.87,Niet indeelbaar,D,0.0#,,'IND.ZUIDERHOF',R,19.71699905,010,KPK0001220610,I,,POINT (118998.38439999893 483380.007100001)
divergenties_kenmerk.88,Pseudo Haarlemmermeer-aansluiting,U,0.0#,,'HALFWEG'VBW. p,R,25.8220005,010,KPK0001220615,I,,POINT (118091.2778000012 488150.7980000004)
divergenties_kenmerk.89,Niet indeelbaar,U,0.0#,,'LIJNBUS',R,27.22400093,010,KPK0001220622,I,,POINT (117984.66110000014 489572.2938000001)
divergenties_kenmerk.90,Niet indeelbaar,U,0.0#,,'ZAANSTAD-ZUID',R,31.85000038,010,KPK0001220634,I,,POINT (120707.90830000117 493173.77010000125)
divergenties_kenmerk.91,Haarlemmermeer-aansluiting,U,147.5a,28,'RUINEN'VBW. a,R,147.30299377,028,KPK0001205602,I,,POINT (226604.63980000094 532046.9692000002)
divergenties_kenmerk.92,Halfklaverblad-aansluiting,U,157.6a,30,'BEILEN'VBW. a,R,157.30400085,028,KPK0001205612,I,,POINT (229561.72309999913 541410.0718999989)
divergenties_kenmerk.93,,U,0.0#,,BS.PPL.'WITTE MOLEN',R,193.52000427,028,KPK0001205649,I,,POINT (236354.90199999884 574460.8311999999)
divergenties_kenmerk.94,,U,0.0#,,BS.PPL.'DORPSHELLEN',R,41.3409996,032,KPK0001205709,I,,POINT (194032.11030000076 548448.8797000013)
divergenties_kenmerk.95,Haarlemmermeer-aansluiting,U,42.6c,10,'HEERENVEEN-ZUID'VBW. c,R,42.7519989,032,KPK0001205710,I,,POINT (193494.42489999905 549747.4620000012)
divergenties_kenmerk.96,Haarlemmermeer-aansluiting,U,45.5c,11,'HEERENVEEN'VBW. c,R,45.66500092,032,KPK0001205711,I,,POINT (192143.82970000058 552307.3577000014)
divergenties_kenmerk.97,Halfklaverblad-aansluiting,U,46.5a,12,'HEERENVEEN-CENTRUM'VBW. a,R,46.3030014,032,KPK0001205715,I,,POINT (191924.62310000136 552901.1750000007)
divergenties_kenmerk.98,Haarlemmermeer-aansluiting,U,57.8a,13,'AKKRUM'VBW. a,R,57.65100098,032,KPK0001205727,I,,POINT (185850.64130000025 562060.2138999999)
divergenties_kenmerk.99,Haarlemmermeer-aansluiting,U,58.2c,13,'AKKRUM'VBW. c,R,58.43000031,032,KPK0001205732,I,,POINT (185629.90029999986 562815.060800001)
divergenties_kenmerk.100,Haarlemmermeer-aansluiting,U,103.1a,,'DEDEMSVAART'VBW. a,R,102.92500305,048,KPK0001205835,I,,POINT (224173.9886999987 512801.69790000096)
divergenties_kenmerk.101,Klaverbladknooppunt,U,115.6r,,'KP.HOOGEVEEN'EMMEN VBW. r,R,115.50099945,048,KPK0001205840,I,,POINT (227155.1581000015 524578.5449000001)
divergenties_kenmerk.102,Niet indeelbaar,U,0.0#,,ONBEKEND,R,31.20299911,010,KPK0001220592,I,,POINT (120114.41459999979 492883.870099999)
divergenties_kenmerk.103,Haarlemmermeer-aansluiting,U,96.1a,32,'MADE'VBW. a,R,95.96199799,059,KPK0001206138,I,,POINT (113710.58540000021 408867.8720000014)
divergenties_kenmerk.104,,U,98.0m,,BS.PPL.'HESPELAAR',R,97.8789978,059,KPK0001206139,I,,POINT (115506.04259999841 409528.10379999876)
divergenties_kenmerk.105,T-aansluiting halfklaverblad,U,100.1a,33,'OOSTERHOUT'VBW. a,R,100,059,KPK0001206143,I,,POINT (117506.18030000106 410237.0716000013)
divergenties_kenmerk.106,Haarlemmermeer-aansluiting,U,107.1a,35,'WASPIK'VBW. a,R,106.97000122,059,KPK0001206159,I,,POINT (124208.71889999881 411689.88230000064)
divergenties_kenmerk.107,Pseudo Haarlemmermeer-aansluiting,U,118.7e,40,'DRUNEN-WEST'VBW. e,R,118.60199738,059,KPK0001206176,I,,POINT (135670.75129999965 411715.6695000008)
divergenties_kenmerk.108,T-aansluiting Haarlemmermeer,U,122.3a,42,'HEUSDEN'VBW. a,R,122.13600159,059,KPK0001206179,I,,POINT (139074.06689999998 412171.0817999989)
divergenties_kenmerk.109,T-knooppunt,U,128.2c,45,'RING-WEST 's-HERTOGENBOSCH-WEST'VBW. c,R,128.33399963,059,KPK0001206192,I,,POINT (145097.00360000134 411991.60269999877)
divergenties_kenmerk.110,Niet indeelbaar,U,0.0#,,'DRUNEN',R,122.52700043,059,KPK0001206234,I,,POINT (139473.13489999995 412167.15670000017)
divergenties_kenmerk.111,Niet indeelbaar,U,0.0#,,'HEUSDEN',R,122.80899811,059,KPK0001206238,I,,POINT (139771.51960000023 412237.7646000013)
divergenties_kenmerk.112,Niet indeelbaar,U,0.0#,,'LIJNDIENSTEN BUS',R,14.27000046,001,KPK0001148700,I,,POINT (134795.6999000013 481257.8999999985)
divergenties_kenmerk.113,Pseudo T-knooppunt,D,41.5#,,'KP.MUIDERBERG'GRONINGEN (RW6),R,15.0710001,001,KPK0001148709,I,,POINT (135503.62920000032 480921.2595000006)
divergenties_kenmerk.114,Haarlemmermeer-aansluiting,U,18.0a,6,'NAARDEN-VESTING'VBW. a,R,17.87100029,001,KPK0001148728,I,,POINT (138038.99720000103 479775.6207000017)
divergenties_kenmerk.115,,U,20.9p,,PPL.'RONDUIT',R,20.78499985,001,KPK0001148738,I,,POINT (140535.06280000135 478825.5665999986)
divergenties_kenmerk.116,Halfklaverblad-aansluiting,D,22.4a,7,'NAARDEN'VBW. a,R,22.38199997,001,KPK0001148742,I,,POINT (141115.45949999988 477368.8136)
divergenties_kenmerk.117,Haarlemmermeer-aansluiting,D,111.3m,,'RING 'S HERTOGENBOSCH'RANG.BAAN m,R,111.10199738,002,KPK0001124539,I,,POINT (149992.94350000098 415701.9090999998)
divergenties_kenmerk.118,,U,207.9m,,BS.PPL.'ELLERBRUG',R,207.77000427,002,KPK0001149249,I,,POINT (184459.89029999822 359244.4697000012)
divergenties_kenmerk.119,,U,236.4n,,BS.PPL.'SWENTIBOLT',R,236.48199463,002,KPK0001149281,I,,POINT (183767.66490000114 335566.1574999988)
divergenties_kenmerk.120,Haarlemmermeer-aansluiting,U,243.3c,49,'ELSLOO'VBW. c,R,243.37600708,002,KPK0001149303,I,,POINT (183205.05999999866 328964.1479000002)
divergenties_kenmerk.121,,U,244.8m,,BS.PPL.'VOSSEDAL',R,244.68699646,002,KPK0001149305,I,,POINT (183014.15700000152 327680.13800000027)
divergenties_kenmerk.122,Pseudo Haarlemmermeer-aansluiting,U,0.0#,50a,'LIJNDIENSTEN BUS'VBW. c,R,247.83599854,002,KPK0001149310,I,,POINT (181585.7426000014 324894.6495000012)
divergenties_kenmerk.123,T-aansluiting Haarlemmermeer,D,141.3c,28,'BEST'VBW. c,R,141.46800232,002,KPK0001124870,I,,POINT (157126.39350000024 390416.5909000002)
divergenties_kenmerk.124,Pseudo Overig volledig knooppunt,U,0.0#,,'KP.OUDENRIJN'ARNHEM VBW. p,R,62.85800171,002,KPK0001126039,I,,POINT (133429.31700000167 453976.2943999991)
divergenties_kenmerk.125,,U,269.5n,,BS.PPL.'PATIEL',R,269.63000488,002,KPK0001149361,I,,POINT (178994.9739000015 309474.12970000133)
divergenties_kenmerk.126,Pseudo Haarlemmermeer-aansluiting,U,216.0c,42,'WESSEM'VBW. c,R,216.16400146,002,KPK0001125219,I,,POINT (189642.26720000058 353023.63699999824)
divergenties_kenmerk.127,Halfklaverblad-aansluiting,U,228.6c,46,'ROOSTEREN'VBW. c,R,228.77200317,002,KPK0001125366,I,,POINT (185642.7991000004 342664.7511)
divergenties_kenmerk.128,Haarlemmermeer-aansluiting,U,232.7c,47,'BORN'VBW. c,R,232.81700134,002,KPK0001125420,I,,POINT (185687.39799999818 338640.6319000013)
divergenties_kenmerk.129,Halfklaverblad-aansluiting,U,49.5c,5,'BREUKELEN'VBW. c,R,49.61199951,002,KPK0001123842,I,,POINT (127652.28519999981 464965.52540000156)
divergenties_kenmerk.130,Haarlemmermeer-aansluiting,U,242.9a,49,'ELSLOO'VBW. a,R,242.79100037,002,KPK0001125543,I,,POINT (183066.07009999827 329535.71620000154)
divergenties_kenmerk.131,,U,0.0#,,PPL.'KRUISBERG',R,250.11999512,002,KPK0001125596,I,,POINT (180493.96840000153 322914.3748999983)
divergenties_kenmerk.132,Pseudo Haarlemmermeer-aansluiting,U,252.6a,52,'MAASTRICHT-NOORD'VBW. a,R,252.46299744,002,KPK0001125608,I,,POINT (179453.6061999984 320871.6966999993)
divergenties_kenmerk.133,Haarlemmermeer-aansluiting,U,72.4a,11,'VIANEN'VBW. a,R,72.18499756,002,KPK0001124154,I,,POINT (133942.8123999983 444925.80999999866)
divergenties_kenmerk.134,Pseudo Haarlemmermeer-aansluiting,U,85.2a,14,'BEESD'VBW. a,R,85.0510025,002,KPK0001124292,I,,POINT (141401.877700001 434575.1794000007)
divergenties_kenmerk.135,Pseudo Klaverbladknooppunt,U,8.8f,,'KP.RAASDORP'ALKMAAR VBW. f,R,8.89700031,005,KPK0001128587,I,,POINT (111213.47430000082 486165.5920000002)
divergenties_kenmerk.136,Pseudo Klaverbladknooppunt,U,8.1e,,'KP.RAASDORP'AMSTELVEEN VBW. e,R,8.00500011,005,KPK0001128591,I,,POINT (110920.9776000008 485302.39070000127)
divergenties_kenmerk.137,Pseudo T-knooppunt,D,42.0u,,'KP.MUIDERBERG'HENGELO VBW. u,R,42.20999908,006,KPK0001128608,I,,POINT (136250.7514999993 480875.41160000116)
divergenties_kenmerk.138,Halfklaverblad-aansluiting,U,43.4a,1,'MUIDERBERG'VBW. a,R,43.27999878,006,KPK0001128628,I,,POINT (137221.56749999896 481331.0346000008)
divergenties_kenmerk.139,Halfklaverblad-aansluiting,U,43.6c,1,'MUIDERBERG'VBW. c,R,43.72200012,006,KPK0001128639,I,,POINT (137556.63969999924 481585.70800000057)
divergenties_kenmerk.140,T-knooppunt,D,0.9h,,'KP.DE NIEUWE MEER'RING-WEST LEEUWARDEN VBW. h,R,0.958,004,KPK0001127199,I,,POINT (117187.77039999887 483506.9908999987)
divergenties_kenmerk.141,Niet indeelbaar,U,53.9n,,'ALMERE'RANG.BAAN n,R,54.01100159,006,KPK0001128751,I,,POINT (146577.34219999984 485577.7402999997)
divergenties_kenmerk.142,Niet indeelbaar,U,55.5m,,'ALMERE-OOSTVAARDERS'RANG.BAAN m,R,55.39400101,006,KPK0001128775,I,,POINT (147695.14400000125 486383.44519999996)
divergenties_kenmerk.143,Halfklaverblad-aansluiting,U,118.8a,22,'ST.MICHIELSGESTEL'VBW. a,R,118.64700317,002,KPK0001124598,I,,POINT (151333.62840000167 409658.60379999876)
divergenties_kenmerk.144,Haarlemmermeer-aansluiting,U,119.1n,,'RING 'S HERTOGENBOSCH'RANG.BAAN n,R,119.35099792,002,KPK0001124633,I,,POINT (150704.65480000153 409314.9023000002)
divergenties_kenmerk.145,Haarlemmermeer-aansluiting,U,122.5a,24,'VUGHT'VBW. a,R,122.3710022,002,KPK0001124666,I,,POINT (149220.65630000085 407221.3674999997)
divergenties_kenmerk.146,Niet indeelbaar,U,0.0#,,'CALAMITEITENROUTE',R,7.92799997,004,KPK0001127309,I,,POINT (111484.01350000128 480431.20059999824)
divergenties_kenmerk.147,,U,67.7m,,BS.PPL.+ REST.'LEPELAAR',R,67.54499817,006,KPK0001128886,I,,POINT (157190.00600000098 493755.2569999993)
