BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE LEERLING;PLAATSNAAM LEERLING;GEMEENTENUMMER LEERLING;GEMEENTENAAM LEERLING;LEER- OF VERBLIJFSJAAR 1;LEER- OF VERBLIJFSJAAR 2;LEER- OF VERBLIJFSJAAR 3;LEER- OF VERBLIJFSJAAR 4;LEER- OF VERBLIJFSJAAR 5;LEER- OF VERBLIJFSJAAR 6;TOTAAL
01UH;00;Maartenscollege;0014;GRONINGEN;9602;HOOGEZAND;1952;Midden-Groningen;1;0;0;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9603;HOOGEZAND;1952;Midden-Groningen;0;0;1;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9605;KIEL-WINDEWEER;1952;Midden-Groningen;0;1;0;1;0;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9606;KROPSWOLDE;1952;Midden-Groningen;3;1;1;1;0;0;6
01UH;00;Maartenscollege;0014;GRONINGEN;9608;WESTERBROEK;1952;Midden-Groningen;0;0;2;2;0;0;4
01UH;00;Maartenscollege;0014;GRONINGEN;9611;SAPPEMEER;1952;Midden-Groningen;1;1;1;1;0;1;5
01UH;00;Maartenscollege;0014;GRONINGEN;9613;MEERSTAD;0014;Groningen;2;2;0;4;2;0;10
01UH;00;Maartenscollege;0014;GRONINGEN;9614;HARKSTEDE GN;0014;Groningen;1;0;0;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9617;HARKSTEDE;1952;Midden-Groningen;2;0;0;2;3;1;8
01UH;00;Maartenscollege;0014;GRONINGEN;9625;OVERSCHILD;1952;Midden-Groningen;0;0;0;0;1;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9626;SCHILDWOLDE;1952;Midden-Groningen;0;1;0;1;0;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9628;SIDDEBUREN;1952;Midden-Groningen;0;0;0;1;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9636;ZUIDBROEK;1952;Midden-Groningen;0;0;1;1;0;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9645;VEENDAM;0047;Veendam;0;0;0;1;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9651;MEEDEN;1952;Midden-Groningen;0;0;0;0;2;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9654;ANNERVEENSCHEKANAAL;1680;Aa en Hunze;0;1;1;0;0;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9671;WINSCHOTEN;1895;Oldambt;0;0;0;0;1;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9673;WINSCHOTEN;1895;Oldambt;0;0;0;0;1;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9712;GRONINGEN;0014;Groningen;2;1;2;0;4;2;11
01UH;00;Maartenscollege;0014;GRONINGEN;9713;GRONINGEN;0014;Groningen;4;4;3;2;4;0;17
01UH;00;Maartenscollege;0014;GRONINGEN;9714;GRONINGEN;0014;Groningen;1;0;0;1;1;0;3
01UH;00;Maartenscollege;0014;GRONINGEN;9715;GRONINGEN;0014;Groningen;1;0;0;0;1;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9716;GRONINGEN;0014;Groningen;2;0;0;0;0;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9717;GRONINGEN;0014;Groningen;0;1;1;2;0;0;4
01UH;00;Maartenscollege;0014;GRONINGEN;9718;GRONINGEN;0014;Groningen;0;0;2;2;3;0;7
01UH;00;Maartenscollege;0014;GRONINGEN;9721;GRONINGEN;0014;Groningen;25;12;12;14;15;9;87
01UH;00;Maartenscollege;0014;GRONINGEN;9722;GRONINGEN;0014;Groningen;10;10;5;10;8;5;48
01UH;00;Maartenscollege;0014;GRONINGEN;9723;GRONINGEN;0014;Groningen;6;2;5;6;9;2;30
01UH;00;Maartenscollege;0014;GRONINGEN;9724;GRONINGEN;0014;Groningen;2;2;1;1;1;0;7
01UH;00;Maartenscollege;0014;GRONINGEN;9725;GRONINGEN;0014;Groningen;3;1;0;3;3;2;12
01UH;00;Maartenscollege;0014;GRONINGEN;9726;GRONINGEN;0014;Groningen;0;1;0;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9727;GRONINGEN;0014;Groningen;5;2;2;0;1;1;11
01UH;00;Maartenscollege;0014;GRONINGEN;9728;GRONINGEN;0014;Groningen;9;8;9;12;9;5;52
01UH;00;Maartenscollege;0014;GRONINGEN;9731;GRONINGEN;0014;Groningen;1;0;2;1;1;0;5
01UH;00;Maartenscollege;0014;GRONINGEN;9732;GRONINGEN;0014;Groningen;1;0;0;0;2;0;3
01UH;00;Maartenscollege;0014;GRONINGEN;9734;GRONINGEN;0014;Groningen;2;0;1;1;1;0;5
01UH;00;Maartenscollege;0014;GRONINGEN;9736;GRONINGEN;0014;Groningen;0;0;0;0;0;1;1
01UH;00;Maartenscollege;0014;GRONINGEN;9737;GRONINGEN;0014;Groningen;0;2;0;0;1;0;3
01UH;00;Maartenscollege;0014;GRONINGEN;9741;GRONINGEN;0014;Groningen;1;0;1;1;1;1;5
01UH;00;Maartenscollege;0014;GRONINGEN;9742;GRONINGEN;0014;Groningen;0;0;1;2;2;0;5
01UH;00;Maartenscollege;0014;GRONINGEN;9743;GRONINGEN;0014;Groningen;1;1;1;0;3;1;7
01UH;00;Maartenscollege;0014;GRONINGEN;9744;GRONINGEN;0014;Groningen;0;1;2;0;3;0;6
01UH;00;Maartenscollege;0014;GRONINGEN;9746;GRONINGEN;0014;Groningen;3;2;2;2;4;2;15
01UH;00;Maartenscollege;0014;GRONINGEN;9751;HAREN GN;0014;Groningen;22;18;15;18;21;5;99
01UH;00;Maartenscollege;0014;GRONINGEN;9752;HAREN GN;0014;Groningen;15;5;10;13;15;8;66
01UH;00;Maartenscollege;0014;GRONINGEN;9753;HAREN GN;0014;Groningen;9;4;17;9;13;4;56
01UH;00;Maartenscollege;0014;GRONINGEN;9755;ONNEN;0014;Groningen;3;2;1;2;0;0;8
01UH;00;Maartenscollege;0014;GRONINGEN;9756;GLIMMEN;0014;Groningen;5;2;1;3;3;1;15
01UH;00;Maartenscollege;0014;GRONINGEN;9761;EELDE;1730;Tynaarlo;8;3;9;8;14;5;47
01UH;00;Maartenscollege;0014;GRONINGEN;9765;PATERSWOLDE;1730;Tynaarlo;4;1;3;6;9;2;25
01UH;00;Maartenscollege;0014;GRONINGEN;9766;EELDERWOLDE;1730;Tynaarlo;2;0;5;6;6;7;26
01UH;00;Maartenscollege;0014;GRONINGEN;9785;ZUIDWOLDE GN;1966;Het Hogeland;0;0;1;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9792;TEN POST;0014;Groningen;1;0;0;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9801;ZUIDHORN;1969;Westerkwartier;2;1;1;1;1;0;6
01UH;00;Maartenscollege;0014;GRONINGEN;9805;BRILTIL;1969;Westerkwartier;1;0;0;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9832;DEN HORN;1969;Westerkwartier;0;0;0;0;1;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9843;GRIJPSKERK;1969;Westerkwartier;0;0;1;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9861;GROOTEGAST;1969;Westerkwartier;0;0;0;0;0;1;1
01UH;00;Maartenscollege;0014;GRONINGEN;9908;GODLINZE;1979;Eemsdelta;1;0;0;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9922;WESTEREMDEN;1979;Eemsdelta;0;0;0;0;0;1;1
01UH;00;Maartenscollege;0014;GRONINGEN;9943;NIEUW SCHEEMDA;1895;Oldambt;0;0;1;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9944;NIEUWOLDA;1895;Oldambt;0;0;0;2;0;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9967;EENRUM;1966;Het Hogeland;1;0;0;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9977;KLOOSTERBUREN;1966;Het Hogeland;1;0;0;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9988;USQUERT;1966;Het Hogeland;0;0;2;0;0;0;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;8433;HAULERWIJK;0085;Ooststellingwerf;0;1;0;0;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9285;BUITENPOST;0059;Achtkarspelen;0;0;0;0;1;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9301;RODEN;1699;Noordenveld;1;0;1;1;3;3;9
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9302;RODEN;1699;Noordenveld;4;0;1;1;3;4;13
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9311;NIEUW-RODEN;1699;Noordenveld;0;0;0;0;0;1;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9312;NIETAP;1699;Noordenveld;0;0;0;0;0;1;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9315;RODERWOLDE;1699;Noordenveld;0;0;0;0;0;2;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9321;PEIZE;1699;Noordenveld;3;0;1;2;0;2;8
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9331;NORG;1699;Noordenveld;1;0;0;0;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9342;EEN;1699;Noordenveld;0;0;0;1;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9351;LEEK;1969;Westerkwartier;1;8;3;0;3;0;15
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9354;ZEVENHUIZEN GN;1969;Westerkwartier;0;1;0;0;1;0;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9356;TOLBERT;1969;Westerkwartier;2;1;1;1;1;0;6
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9363;MARUM;1969;Westerkwartier;0;2;1;0;2;1;6
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9365;NIEBERT;1969;Westerkwartier;0;0;0;0;1;1;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9404;ASSEN;0106;Assen;0;0;1;0;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9431;WESTERBORK;1731;Midden-Drenthe;1;0;0;0;1;0;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9434;EURSINGE;1731;Midden-Drenthe;0;0;0;0;1;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9461;GIETEN;1680;Aa en Hunze;1;0;0;0;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9467;ANLOO;1680;Aa en Hunze;0;1;1;1;2;0;5
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9468;ANNEN;1680;Aa en Hunze;1;0;0;0;1;0;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9471;ZUIDLAREN;1730;Tynaarlo;1;1;0;0;0;0;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9472;ZUIDLAREN;1730;Tynaarlo;0;0;0;2;1;0;3
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9475;MIDLAREN;1730;Tynaarlo;0;2;0;1;0;0;3
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9479;NOORDLAREN;0014;Groningen;2;0;0;0;0;0;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9481;VRIES;1730;Tynaarlo;0;0;0;0;2;0;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9497;DONDEREN;1730;Tynaarlo;0;1;0;0;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9533;DROUWEN;1681;Borger-Odoorn;0;0;0;0;1;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9601;HOOGEZAND;1952;Midden-Groningen;1;0;0;1;0;0;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9602;HOOGEZAND;1952;Midden-Groningen;2;0;0;1;0;1;4
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9603;HOOGEZAND;1952;Midden-Groningen;0;0;0;1;1;1;3
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9606;KROPSWOLDE;1952;Midden-Groningen;1;1;1;0;1;1;5
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9607;FOXHOL;1952;Midden-Groningen;0;0;0;0;1;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9611;SAPPEMEER;1952;Midden-Groningen;1;1;4;1;3;3;13
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9613;MEERSTAD;0014;Groningen;0;0;0;2;0;0;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9616;SCHARMER;1952;Midden-Groningen;0;0;1;0;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9617;HARKSTEDE;1952;Midden-Groningen;0;0;3;2;2;0;7
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9621;SLOCHTEREN;1952;Midden-Groningen;0;0;0;0;1;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9623;LAGELAND;1952;Midden-Groningen;0;1;0;0;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9626;SCHILDWOLDE;1952;Midden-Groningen;0;0;1;0;0;1;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9627;HELLUM;1952;Midden-Groningen;0;0;0;0;1;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9628;SIDDEBUREN;1952;Midden-Groningen;1;0;0;0;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9635;NOORDBROEK;1952;Midden-Groningen;1;0;0;0;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9636;ZUIDBROEK;1952;Midden-Groningen;1;0;2;0;0;0;3
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9645;VEENDAM;0047;Veendam;0;0;0;0;1;1;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9646;VEENDAM;0047;Veendam;0;0;1;0;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9649;MUNTENDAM;1952;Midden-Groningen;0;0;2;0;0;0;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9679;SCHEEMDA;1895;Oldambt;1;0;0;0;1;0;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9685;BLAUWESTAD;1895;Oldambt;0;0;1;0;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9711;GRONINGEN;0014;Groningen;0;1;1;0;1;0;3
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9712;GRONINGEN;0014;Groningen;1;1;1;0;1;0;4
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9713;GRONINGEN;0014;Groningen;0;0;1;1;0;1;3
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9714;GRONINGEN;0014;Groningen;1;1;2;0;0;0;4
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9715;GRONINGEN;0014;Groningen;0;1;0;0;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9716;GRONINGEN;0014;Groningen;0;2;1;0;1;0;4
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9717;GRONINGEN;0014;Groningen;0;0;2;1;0;2;5
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9718;GRONINGEN;0014;Groningen;3;4;0;1;1;5;14
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9721;GRONINGEN;0014;Groningen;0;5;6;3;3;4;21
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9722;GRONINGEN;0014;Groningen;3;5;2;4;0;6;20
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9723;GRONINGEN;0014;Groningen;1;2;3;1;2;0;9
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9724;GRONINGEN;0014;Groningen;0;1;2;0;0;0;3
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9725;GRONINGEN;0014;Groningen;0;0;0;0;0;1;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9726;GRONINGEN;0014;Groningen;0;0;0;1;1;0;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9727;GRONINGEN;0014;Groningen;1;2;5;3;3;2;16
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9728;GRONINGEN;0014;Groningen;3;9;8;6;8;6;40
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9731;GRONINGEN;0014;Groningen;4;4;3;1;1;2;15
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9732;GRONINGEN;0014;Groningen;1;0;1;0;0;0;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9733;GRONINGEN;0014;Groningen;0;0;1;0;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9734;GRONINGEN;0014;Groningen;0;0;1;1;1;0;3
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9736;GRONINGEN;0014;Groningen;1;2;0;0;2;1;6
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9737;GRONINGEN;0014;Groningen;1;0;2;0;1;1;5
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9741;GRONINGEN;0014;Groningen;2;4;0;0;1;0;7
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9742;GRONINGEN;0014;Groningen;2;5;1;2;0;2;12
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9743;GRONINGEN;0014;Groningen;4;2;0;0;1;0;7
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9744;GRONINGEN;0014;Groningen;1;5;1;3;2;0;12
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9745;GRONINGEN;0014;Groningen;2;2;1;1;1;1;8
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9746;GRONINGEN;0014;Groningen;10;11;8;10;8;7;54
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9751;HAREN GN;0014;Groningen;3;5;3;1;0;2;14
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9752;HAREN GN;0014;Groningen;3;5;5;6;1;3;23
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9753;HAREN GN;0014;Groningen;1;1;3;2;2;1;10
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9755;ONNEN;0014;Groningen;0;0;0;1;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9756;GLIMMEN;0014;Groningen;1;0;1;1;0;0;3
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9761;EELDE;1730;Tynaarlo;1;7;0;3;6;7;24
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9765;PATERSWOLDE;1730;Tynaarlo;1;2;5;2;3;1;14
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9766;EELDERWOLDE;1730;Tynaarlo;2;8;9;7;3;3;32
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9771;SAUWERD;1966;Het Hogeland;1;1;0;0;0;0;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9781;BEDUM;1966;Het Hogeland;1;2;1;1;2;1;8
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9785;ZUIDWOLDE GN;1966;Het Hogeland;0;0;0;0;1;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9791;TEN BOER;0014;Groningen;0;0;0;0;1;1;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9797;THESINGE;0014;Groningen;0;1;0;0;0;0;1
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9801;ZUIDHORN;1969;Westerkwartier;6;4;5;8;4;6;33
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9804;NOORDHORN;1969;Westerkwartier;0;2;0;1;0;0;3
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9805;BRILTIL;1969;Westerkwartier;0;1;0;2;1;0;4
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9821;OLDEKERK;1969;Westerkwartier;0;1;1;0;0;0;2
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9822;NIEKERK WESTERKWARTIER;1969;Westerkwartier;0;1;0;2;0;0;3
02CR;00;Willem Lodewijkgymnasium;0014;GRONINGEN;9831;ADUARD;1969;Westerkwartier;0;0;2;1;0;0;3
