Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd door de bezoekers (in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)na het hier in te voeren.,Bounces,Vertrekken,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/voorjaarsvakantierooster/index,2901,3363,543281,8,1783,0.001,31.57,279,840,119048,166,1372,2743,251,1291,187,59%,47%,0.594,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/voorjaarsvakantierooster/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fopeningstijden-tarieven%2Fvoorjaarsvakantierooster%2F,
Andere,2719,3366,189423,59,2868,0.001,25.755,756,4739,308932,181,508,1500,182,260,70,24%,19%,1,,,
sport-in-utrecht/zwembaden/index,2713,4325,148478,29,2922,0.001,22.899,1514,10333,512300,220,484,2660,1485,470,55,15%,18%,0.485,http://www.utrecht.nl/sport-in-utrecht/zwembaden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=962,2685,3316,275945,35,2410,0.002,70.566,1618,8298,660028,377,672,2602,1560,638,103,23%,25%,0.705,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=962,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D962,
Loket/process/closeWindowAction.do,2639,2899,308519,1,2488,0.002,15.952,160,515,61385,118,1640,2589,152,1618,117,74%,62%,0.173,https://pki.utrecht.nl/Loket/process/closeWindowAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprocess%2FcloseWindowAction.do,
Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=personApplicantDetails,2621,3908,147223,1,3358,0.01,26.728,8,30,2003,3,147,2561,8,145,56,38%,6%,0.853,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=personApplicantDetails,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_verhuizingdoorgeven%26state%3DpersonApplicantDetails,
Loket/login/initLoginAction.do?forward=/cases/mycases/getAllMyCasesAction.do&failedForward=/login/loginForwardFailedDAction.do&ltype=1,2557,3277,173208,90,2693,0.001,29.942,189,1319,88143,37,321,2493,167,313,68,20%,13%,0.181,https://pki.utrecht.nl/Loket/login/initLoginAction.do?forward=%2Fcases%2Fmycases%2FgetAllMyCasesAction.do&failedForward=%2Flogin%2FloginForwardFailedDAction.do&ltype=1,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Flogin%2FinitLoginAction.do%3Fforward%3D%2Fcases%2Fmycases%2FgetAllMyCasesAction.do%26failedForward%3D%2Flogin%2FloginForwardFailedDAction.do%26ltype%3D1,
Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=deVerhuizing,2499,3858,240597,2,3306,0.003,9.819,15,79,2823,4,147,2446,14,142,96,27%,6%,0.502,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=deVerhuizing,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_verhuizingdoorgeven%26state%3DdeVerhuizing,
Loket/prodcat/products/getProductDetailsAction.do?id=323,2404,3415,215684,18,2628,0.001,37.668,391,2802,179587,86,408,2289,334,399,90,22%,17%,0.515,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=323,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D323,
startpagina/werk-en-inkomen/index,2344,3281,100650,39,2678,0.001,11.774,169,1798,104145,28,126,2288,167,123,43,17%,5%,0.428,http://www.utrecht.nl/startpagina/werk-en-inkomen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fwerk-en-inkomen%2F,
sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/activiteitenrooster/index,2327,2667,390058,2,1355,0.001,22.081,332,1132,163808,220,1212,2202,299,1143,168,66%,52%,0.565,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/activiteitenrooster/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fopeningstijden-tarieven%2Factiviteitenrooster%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=430,2271,3896,254449,48,2841,0.001,68.738,958,6090,462137,176,533,2202,910,517,112,18%,23%,0.418,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=430,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D430,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/voorjaarsvakantierooster/index,2261,2567,353363,12,1412,0.002,21.696,205,470,61994,141,1112,2135,179,1032,156,69%,49%,0.591,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/voorjaarsvakantierooster/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fopeningstijden-tarieven%2Fvoorjaarsvakantierooster%2F,
Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=woonsituatie,2200,2853,239439,,2507,0.019,128.644,15,104,2891,3,171,2162,15,163,109,20%,8%,1.804,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=woonsituatie,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_verhuizingdoorgeven%26state%3Dwoonsituatie,
index.php?id=24071,2154,3321,411125,122,2186,0.001,47.823,631,2903,311492,311,990,2004,557,904,191,49%,46%,0.569,http://www.utrecht.nl/index.php?id=24071,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Findex.php%3Fid%3D24071,
utrechtse-energie/stadsgesprek-energie/index,2142,3144,262763,39,2436,0.001,21.651,1462,5521,470879,403,717,2034,1377,673,123,28%,33%,0.522,http://www.utrecht.nl/utrechtse-energie/stadsgesprek-energie/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechtse-energie%2Fstadsgesprek-energie%2F,
verkeer-en-vervoer/milieuzone/personen-en-bestelautos/index,2121,3003,297857,12,2320,0.001,15.973,409,1373,114176,215,1061,2059,393,1033,140,53%,50%,0.489,http://www.utrecht.nl/verkeer-en-vervoer/milieuzone/personen-en-bestelautos/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeer-en-vervoer%2Fmilieuzone%2Fpersonen-en-bestelautos%2F,
parkeren/parkeren-bezoeker/parkeergarages/index,2090,2527,139976,24,1677,0.001,50.537,1094,3683,255038,261,474,2030,1054,455,67,24%,23%,0.608,http://www.utrecht.nl/parkeren/parkeren-bezoeker/parkeergarages/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2Fparkeergarages%2F,
english/index,2056,3086,107733,132,2545,0.001,17.54,639,3074,154105,217,580,1979,609,556,52,34%,28%,0.637,http://www.utrecht.nl/english/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fenglish%2F,
sport-in-utrecht/zwembaden/openingingstijden-utrechtse-zwembaden/index,2047,2368,171596,3,1286,0.001,19.594,80,335,42067,40,250,2012,76,241,84,50%,12%,0.566,http://www.utrecht.nl/sport-in-utrecht/zwembaden/openingingstijden-utrechtse-zwembaden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fopeningingstijden-utrechtse-zwembaden%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/index,2006,2689,119651,20,1717,0.001,15.138,242,1474,122476,32,222,1971,237,219,60,13%,11%,0.592,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fvrij-zwemmen%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=1060,1995,2550,189960,12,1817,0.001,33.184,713,5307,357079,163,366,1859,646,342,95,23%,18%,0.519,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=1060,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1060,
Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=overview,1948,2253,89153,1,1979,0.028,180.641,3,7,1441,1,35,1937,3,35,46,33%,2%,1.627,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=overview,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_verhuizingdoorgeven%26state%3Doverview,
werk-en-inkomen/uitkeringen/index,1907,2587,139911,35,2104,0.001,13.503,494,3196,247762,138,321,1825,466,303,73,28%,17%,0.528,http://www.utrecht.nl/werk-en-inkomen/uitkeringen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fuitkeringen%2F,
Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=confirmation,1895,2001,188028,,1752,0.005,161.528,9,16,605,5,1232,1887,8,1227,99,56%,65%,0.738,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=confirmation,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_verhuizingdoorgeven%26state%3Dconfirmation,
werken-en-leren-bij-utrecht/index,1881,2355,106485,135,1707,0.001,18.554,1049,3062,177922,359,720,1864,1036,718,57,34%,38%,0.471,http://www.utrecht.nl/werken-en-leren-bij-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2F,
sport-in-utrecht/zwembaden/aqua-activiteiten/index,1880,2516,270246,17,1561,0.001,17.369,324,1499,143930,151,633,1807,301,593,144,47%,34%,0.62,http://www.utrecht.nl/sport-in-utrecht/zwembaden/aqua-activiteiten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Faqua-activiteiten%2F,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=aanmeldingGrofvuil,1792,2295,178852,4,1802,0.001,22.129,49,363,37970,15,220,1761,48,216,100,31%,12%,0.468,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=aanmeldingGrofvuil,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3DaanmeldingGrofvuil,
Loket/cases/mycases/getAllMyCasesAction.do,1767,3205,151040,17,2729,0.001,180.11,35,203,13108,18,232,1715,33,215,85,51%,13%,1.884,https://pki.utrecht.nl/Loket/cases/mycases/getAllMyCasesAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fcases%2Fmycases%2FgetAllMyCasesAction.do,
verkeer-en-vervoer/verkeersbeleid/oproep-verkeerslichten/index,1737,2339,148672,16,1643,0.001,80.058,1339,3360,254728,456,787,1678,1298,768,86,34%,45%,0.58,http://www.utrecht.nl/verkeer-en-vervoer/verkeersbeleid/oproep-verkeerslichten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeer-en-vervoer%2Fverkeersbeleid%2Foproep-verkeerslichten%2F,
startpagina/verkeer-en-bereikbaarheid/index,1706,2336,45900,31,1666,0.001,101.418,73,554,37478,13,88,1657,72,87,27,18%,5%,0.512,http://www.utrecht.nl/startpagina/verkeer-en-bereikbaarheid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fverkeer-en-bereikbaarheid%2F,
wijk-vleuten-de-meern/index,1698,2228,190536,61,1636,0.001,33.33,1021,7077,525175,303,515,1648,985,495,112,30%,30%,0.614,http://www.utrecht.nl/wijk-vleuten-de-meern/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-vleuten-de-meern%2F,
leidsche-rijn/actueel/index,1672,2217,279623,14,1558,0.001,17.564,977,3372,328545,480,786,1642,955,767,167,49%,47%,0.919,http://www.utrecht.nl/leidsche-rijn/actueel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Factueel%2F,
verkeer-en-vervoer/milieuzone/waar-is-de-milieuzone/index,1655,2211,131713,12,1662,0.001,49.293,411,1601,131752,109,425,1610,391,403,80,27%,26%,0.616,http://www.utrecht.nl/verkeer-en-vervoer/milieuzone/waar-is-de-milieuzone/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeer-en-vervoer%2Fmilieuzone%2Fwaar-is-de-milieuzone%2F,
startpagina/gemeenteraad/index,1635,2231,86719,34,1710,0.001,4.265,78,424,23109,16,212,1534,70,183,53,21%,13%,0.425,http://www.utrecht.nl/startpagina/gemeenteraad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fgemeenteraad%2F,
werk-en-inkomen/extras-bij-laag-inkomen/index,1611,2241,227525,32,1698,0.001,42.279,492,2484,222121,218,475,1536,453,456,141,44%,29%,0.919,http://www.utrecht.nl/werk-en-inkomen/extras-bij-laag-inkomen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fextras-bij-laag-inkomen%2F,
verkiezingen/index,1585,2137,131764,30,1615,0.001,31.848,1250,4999,403823,256,433,1544,1218,423,83,20%,27%,0.561,http://www.utrecht.nl/verkiezingen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkiezingen%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/tarieven-zwembad-den-hommel/index,1584,1703,186112,4,1038,0.001,34.083,79,184,27954,41,535,1545,77,526,117,52%,34%,0.609,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/tarieven-zwembad-den-hommel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fopeningstijden-tarieven%2Ftarieven-zwembad-den-hommel%2F,
