FID,id,dienst,objecttype,catalogusn,herkomst,oorspr_nr,omschrijvi,se_anno_cad_data,gdb_geomattr_data,shape
archeologie.22,43,Utrecht,Archeologie,A18, , ,"Verlaten kerk, grafveld en boerderij",,,POINT (153984.9990000017 460203.1979999989)
archeologie.23,44,Utrecht,Archeologie,A19, , ,Ridderhofstad 'Wulverhorst',,,POINT (121398.74199999869 453752.06500000134)
archeologie.24,45,Utrecht,Archeologie,A20, , ,Kloostercomplex,,,POINT (141835.85300000012 455929.83100000024)
archeologie.25,55,Noord-Holland,Archeologie,A25, , ,Bewoning aan weerszijden van de Diem,,,POINT (127980.98600000143 483797.8759999983)
archeologie.26,53,Noord-Holland,Archeologie,A23, , ,Romeins fort en haven van Velsen,,,POINT (106204.92700000107 496307.2250000015)
archeologie.27,52,Noord-Holland,Archeologie,A22, , ,Opgravingen in VINEX-locatie Broekpolder,,,POINT (107553.27899999917 499381.63699999824)
archeologie.28,51,Noord-Holland,Archeologie,A21, , , Bewoning op oude strandwallen,,,POINT (106855.62700000033 488583.72399999946)
archeologie.29,54,Noord-Holland,Archeologie,A24, , ,Vikingschat,,,POINT (127599.27400000021 546973.0949999988)
archeologie.30,61,Zuid-Holland,Archeologie,A26, , ,Opgedregd materiaal,,,POINT (65332.517000000924 441518.8260000013)
archeologie.31,62,Zuid-Holland,Archeologie,A27, , ,Donken,,,POINT (126126.04600000009 432110.66899999976)
archeologie.32,65,Zuid-Holland,Archeologie,A30, , ,Romeinse weg,,,POINT (106413.38699999824 458440.49500000104)
archeologie.33,63,Zuid-Holland,Archeologie,A28, , ,Huis uit de Romeinse tijd,,,POINT (84357.39200000092 451689.63599999994)
archeologie.34,64,Zuid-Holland,Archeologie,A29, , ,Roomburg en Corbulogracht,,,POINT (95706.38199999928 462449.29399999976)
archeologie.35,73,Zeeland,Archeologie,A33, , ,Ringwalburcht,,,POINT (40803.46700000018 412575.4609999992)
archeologie.36,74,Zeeland,Archeologie,A34, , ,Vliedberg,,,POINT (47427.38399999961 389586.6620000005)
archeologie.37,71,Zeeland,Archeologie,A31, , ,Begravingen,,,POINT (31342.980000000447 397550.48600000143)
archeologie.38,72,Zeeland,Archeologie,A32, , ,Romeinse tempel voor Nehalennia,,,POINT (46687.84299999848 403907.38699999824)
archeologie.39,75,Zeeland,Archeologie,A35, , ,Jufferschans,,,POINT (31778.133999999613 370937.08900000155)
archeologie.40,81,Noord-Brabant,Archeologie,A36, , , Kampement uit paleolithicum en mesolithicum,,,POINT (104572.02299999818 397550.256000001)
archeologie.41,84,Noord-Brabant,Archeologie,A39, , ,Tempel van Empel,,,POINT (150137.08300000057 415802.33999999985)
archeologie.42,85,Noord-Brabant,Archeologie,A40, , ,Bronsdepot van Nistelrode,,,POINT (167574.11400000006 413795.625)
archeologie.43,82,Noord-Brabant,Archeologie,A37, , ,Vorstengraf Oss,,,POINT (168015.6099999994 416126.78500000015)
archeologie.44,83,Noord-Brabant,Archeologie,A38, , ,Cultusplaatsen,,,POINT (155122.00200000033 424221.0179999992)
archeologie.45,92,Limburg,Archeologie,A42, , ,Romeinse villa,,,POINT (190423.94399999827 321261.8200000003)
