FID,datum,se_anno_cad_data
dtb2000_2000_2007_omhullende.36,2003-03-21T00:00:00,
dtb2000_2000_2007_omhullende.43,2003-06-01T00:00:00,
dtb2000_2000_2007_omhullende.44,2003-09-16T00:00:00,
dtb2000_2000_2007_omhullende.45,2003-10-15T00:00:00,
dtb2000_2000_2007_omhullende.37,2003-04-01T00:00:00,
dtb2000_2000_2007_omhullende.38,2003-04-05T00:00:00,
dtb2000_2000_2007_omhullende.39,2003-04-13T00:00:00,
dtb2000_2000_2007_omhullende.46,2003-10-30T00:00:00,
dtb2000_2000_2007_omhullende.52,2004-03-19T00:00:00,
dtb2000_2000_2007_omhullende.53,2004-03-27T00:00:00,
dtb2000_2000_2007_omhullende.54,2004-03-30T00:00:00,
dtb2000_2000_2007_omhullende.40,2003-04-14T00:00:00,
dtb2000_2000_2007_omhullende.41,2003-04-29T00:00:00,
dtb2000_2000_2007_omhullende.42,2003-05-01T00:00:00,
dtb2000_2000_2007_omhullende.50,2003-12-11T00:00:00,
dtb2000_2000_2007_omhullende.51,2004-03-12T00:00:00,
dtb2000_2000_2007_omhullende.47,2003-11-20T00:00:00,
dtb2000_2000_2007_omhullende.48,2003-12-03T00:00:00,
dtb2000_2000_2007_omhullende.49,2003-12-10T00:00:00,
dtb2000_2000_2007_omhullende.55,2004-04-28T00:00:00,
dtb2000_2000_2007_omhullende.56,2004-05-24T00:00:00,
dtb2000_2000_2007_omhullende.57,2004-06-02T00:00:00,
dtb2000_2000_2007_omhullende.75,2006-02-06T00:00:00,
dtb2000_2000_2007_omhullende.76,2006-02-10T00:00:00,
dtb2000_2000_2007_omhullende.58,2004-06-07T00:00:00,
dtb2000_2000_2007_omhullende.59,2004-09-09T00:00:00,
dtb2000_2000_2007_omhullende.60,2004-11-03T00:00:00,
dtb2000_2000_2007_omhullende.61,2004-11-11T00:00:00,
dtb2000_2000_2007_omhullende.62,2004-11-19T00:00:00,
dtb2000_2000_2007_omhullende.63,2005-03-02T00:00:00,
dtb2000_2000_2007_omhullende.64,2005-03-13T00:00:00,
dtb2000_2000_2007_omhullende.65,2005-04-07T00:00:00,
dtb2000_2000_2007_omhullende.66,2005-04-20T00:00:00,
dtb2000_2000_2007_omhullende.67,2005-06-28T00:00:00,
dtb2000_2000_2007_omhullende.68,2005-10-05T00:00:00,
dtb2000_2000_2007_omhullende.69,2005-10-19T00:00:00,
dtb2000_2000_2007_omhullende.77,2006-02-16T00:00:00,
dtb2000_2000_2007_omhullende.78,2006-03-02T00:00:00,
dtb2000_2000_2007_omhullende.79,2006-03-06T00:00:00,
dtb2000_2000_2007_omhullende.80,2006-04-08T00:00:00,
dtb2000_2000_2007_omhullende.70,2005-11-17T00:00:00,
dtb2000_2000_2007_omhullende.71,2005-11-22T00:00:00,
dtb2000_2000_2007_omhullende.72,2005-12-07T00:00:00,
dtb2000_2000_2007_omhullende.73,2006-01-20T00:00:00,
dtb2000_2000_2007_omhullende.74,2006-01-25T00:00:00,
dtb2000_2000_2007_omhullende.91,2000-04-28T00:00:00,
dtb2000_2000_2007_omhullende.92,2000-04-28T00:00:00,
dtb2000_2000_2007_omhullende.93,2000-04-28T00:00:00,
dtb2000_2000_2007_omhullende.81,2006-04-18T00:00:00,
dtb2000_2000_2007_omhullende.82,2006-06-23T00:00:00,
dtb2000_2000_2007_omhullende.94,2000-04-28T00:00:00,
dtb2000_2000_2007_omhullende.95,2000-04-28T00:00:00,
dtb2000_2000_2007_omhullende.96,2000-04-28T00:00:00,
dtb2000_2000_2007_omhullende.97,2000-04-28T00:00:00,
dtb2000_2000_2007_omhullende.98,2000-04-28T00:00:00,
dtb2000_2000_2007_omhullende.99,2000-04-28T00:00:00,
dtb2000_2000_2007_omhullende.100,2000-04-28T00:00:00,
dtb2000_2000_2007_omhullende.83,2006-08-04T00:00:00,
dtb2000_2000_2007_omhullende.84,2006-09-20T00:00:00,
dtb2000_2000_2007_omhullende.85,2006-10-06T00:00:00,
dtb2000_2000_2007_omhullende.86,2006-11-09T00:00:00,
dtb2000_2000_2007_omhullende.87,2006-11-15T00:00:00,
dtb2000_2000_2007_omhullende.88,2006-11-16T00:00:00,
dtb2000_2000_2007_omhullende.89,2006-12-20T00:00:00,
dtb2000_2000_2007_omhullende.90,2006-12-31T00:00:00,
