OBJECTID_1,PC5CODE,OBJECTID,pc5,TotaalVastgoedbjecten,TotaalVastgoedobjectenElektra,TotaalVastgoedobjectenGas,TotaalCO2uitstootKg,TotaalVerbruikElektrakWh,TotaalVerbruikGasM3,AantalVastgoedobjectenParticuli,AantalVastgoedobjectenElektraPa,AantalVastgoedobjectenGasPartic,CO2uitstootParticulierKg,VerbruikElektraParticulierkWh,VerbruikGasParticulierM3,GemiddeldeCO2UitstootParticulie,GemiddeldVerbruikElektraParticu,GemiddeldVerbruikGasParticulier,AantalVastgoedobjectenZakelijk,AantalVastgoedobjectenElektraZa,AantalVastgoedobjectenGasZakeli,CO2UitstootZakelijkKg,VerbruikElektraZakelijkkWh,VerbruikGasZakelijkM3,GemiddeldeCO2uitstootZakelijkKg,GemiddeldVerbruikElektraZakelij,GemiddeldVerbruikGasZakelijkm3,AantalVastgoedobjectenOpwekZonn,OpwekZonneenergieKVkWh,AantalVastgoedobjectenOpwekOver,OpwekOverigkWh,ElektraverbruikPerHuishoudenkWh,GasverbruikPerHuishoudenKg,GasverbruikPerHuishouden_Jaar_G,GasverbruikPerZakelijkeAansluit,MaxSimpTol,MinSimpTol,Shape__Area,Shape__Length
38,2497N,6008,2497N,188,165,177,2772253,2504548,727286,99,81,94,523394,348006,178691,5287,4296,1901,89,84,83,2248859,2156542,548595,25268,25673,6610,15,46656.5,0,,3663.22105263158,1880.95789473684,60.16665,209.2065,25,25,508020.475551605,6535.12885519947
39,2497T,6009,2497T,222,222,0,453691,768967,,173,173,0,260568,441640,,,2553,,49,49,0,193123,327327,,,6680,,0,,0,,2154.34146341463,,,,25,25,115852.892524719,4243.42117942893
40,2497V,6010,2497V,231,231,14,626187,947603,37697,162,162,6,404524,640759,14874,2497,3955,2479,69,69,8,221663,306844,22823,3213,4447,2853,6,15963,0,,3051.23333333333,70.8285714285714,78.46035,90.29745,25,25,187837.655387878,2614.04041688332
41,2497W,6011,2497W,408,408,0,819021,1388171,,322,322,0,594865,1008245,,,3131,,86,86,0,224156,379926,,,4418,,5,,0,,2618.81818181818,,,,25,25,108419.571582794,1578.70087192534
42,2497Z,6012,2497Z,444,444,0,1044118,1769692,,328,328,0,691145,1171433,,,3571,,116,116,0,352973,598259,,,5157,,12,18955,0,,2603.18444444444,,,,25,25,222005.79258728,2670.10320490705
43,2498A,6013,2498A,358,358,0,850132,1440903,,261,261,0,587816,996299,,,3817,,97,97,0,262316,444604,,,4584,,16,34620.5,1,,2974.02686567164,,,,25,25,176367.073490143,1906.16488316859
44,2498B,6014,2498B,391,381,21,,1969916,,283,273,18,590936,960275,13693,2088,3517,761,108,108,3,,1009641,,,9349,,23,43120.5,0,,2783.40579710145,39.6898550724638,24.08565,,25,25,193758.798091888,2976.83096419949
45,2498C,6015,2498C,321,321,0,762621,1292578,,238,238,0,533199,903727,,,3797,,83,83,0,229422,388851,,,4685,,21,49963,1,,2545.70985915493,,,,25,25,170990.177890778,2983.84360925589
46,2498D,6016,2498D,241,241,0,582728,987674,,177,177,0,391972,664359,,,3753,,64,64,0,190756,323315,,,5052,,10,18683,0,,2605.32941176471,,,,25,25,108443.78730011,1469.29392886248
47,2498E,6017,2498E,452,452,0,1041139,1764642,,326,326,0,658482,1116071,,,3424,,126,126,0,382657,648571,,,5147,,36,84777.3,1,,2426.24130434783,,,,25,25,214538.129722595,2337.53767114781
48,2498Z,6018,2498Z,33,26,26,179716,118193,61788,23,20,17,110717,89032,32690,4814,4452,1923,10,6,9,68999,29161,29098,6900,4860,3233,5,,0,,3561.28,1307.6,60.86295,102.32445,25,25,43927.9957923889,845.492195366046
49,2511A,6019,2511A,360,349,284,6702182,9217097,710166,147,142,127,527678,437076,151575,3590,3078,1194,213,207,157,6174504,8780021,558591,28988,42416,3558,0,,0,,1942.56,673.666666666667,37.7901,112.6107,25,25,51219.6449432373,1342.84241397934
50,2511B,6020,2511B,521,466,363,37449759,59782034,1223797,297,255,202,759467,667656,205365,2557,2618,1017,224,211,161,36690292,59114378,1018432,163796,280163,6326,0,,0,,3179.31428571429,977.928571428571,32.18805,200.2179,25,25,94962.2261314392,2327.57448291109
51,2511C,6021,2511C,333,313,248,19369359,29045103,1254353,133,122,102,515863,330050,180412,3879,2705,1769,200,191,146,18853496,28715053,1073941,94267,150341,7356,0,,0,,1692.5641025641,925.189743589744,55.98885,232.8174,25,25,218520.563480377,2576.06670942288
52,2511D,6022,2511D,133,133,60,9383778,15709624,64663,97,97,53,209346,181379,57490,2158,1870,1085,36,36,7,9174432,15528245,7173,254845,431340,1025,0,,0,,1577.20869565217,499.913043478261,34.34025,32.44125,25,25,16923.645236969,672.433935750671
53,2511E,6023,2511E,190,182,160,5594303,7769197,567684,78,76,63,326234,255040,98742,4182,3356,1567,112,106,97,5268069,7514157,468942,47036,70888,4834,0,,0,,1821.71428571429,705.3,49.59555,152.9961,25,25,37677.6550445557,1064.48509729521
54,2511G,6024,2511G,469,469,5,,2347340,,380,380,1,,814612,,,2144,,89,89,4,,1532728,,,17222,,0,,0,,5091.325,,,,25,25,17254.4586372375,576.306431249584
55,2511L,6025,2511L,51,51,47,107383,144770,12342,41,41,41,81466,103589,11432,1987,2527,279,10,10,6,25917,41181,910,2592,4118,152,0,,0,,2301.97777777778,254.044444444444,8.83035,4.8108,25,25,6134.92784118652,413.212659771557
56,2511V,6026,2511V,451,435,289,11180857,17477120,488402,300,290,213,819979,739192,215649,2733,2549,1012,151,145,76,10360878,16737928,272753,68615,115434,3589,1,,0,,1679.98181818182,490.111363636364,32.0298,113.59185,25,25,44449.9206962585,1438.051710466
57,2511W,6027,2511W,43,43,0,122094,206939,,29,29,0,33857,57385,,,1979,,14,14,0,88237,149554,,,10682,,0,,0,,1639.57142857143,,,,25,25,3793.91667175293,318.631082220624
58,2511Z,6028,2511Z,111,111,52,,283363,,105,105,48,194086,224401,34657,1848,2137,722,6,6,4,,58962,,,9827,,0,,0,,1870.00833333333,288.808333333333,22.8513,,25,25,25929.5893325806,989.582170423004
59,2512A,6029,2512A,1056,1031,758,13007863,16760124,1752466,789,773,561,1730491,1593480,444010,2193,2061,791,267,258,197,11277372,15166644,1308456,42237,58785,6642,1,,0,,1821.12,507.44,25.03515,210.2193,25,25,99423.3279151917,2017.05334160326
60,2512B,6030,2512B,664,638,570,4198797,3796806,1100383,441,425,382,1138021,913486,336553,2581,2149,881,223,213,188,3060776,2883320,763830,13725,13537,4063,2,,0,,1449.97777777778,534.211111111111,27.88365,128.59395,25,25,60223.4051895142,1541.77129149543
61,2512C,6031,2512C,725,702,629,3435202,2856727,982996,527,510,467,1685562,1265785,527387,3198,2482,1129,198,192,162,1749640,1590942,455609,8837,8286,2812,2,,0,,2557.14141414141,1065.42828282828,35.73285,88.9998,25,25,65833.5443649292,2084.35041104066
62,2512D,6032,2512D,499,496,365,1579489,1387591,427422,426,424,312,925585,956861,202830,2173,2257,650,73,72,53,653904,430730,224592,8958,5982,4238,0,,0,,1933.05252525253,409.757575757576,20.5725,134.1327,25,25,8302.59243011475,461.266683365641
63,2512E,6033,2512E,789,752,674,3744002,3401220,976001,523,502,475,1530304,1168034,472564,2926,2327,995,266,250,199,2213698,2233186,503437,8322,8933,2530,4,,0,,1868.8544,756.1024,31.49175,80.0745,25,25,97612.5400238037,2197.38980118707
64,2512G,6034,2512G,629,603,541,5132502,4482328,1397713,421,402,375,1416796,1000725,464252,3365,2489,1238,208,201,166,3715706,3481603,933461,17864,17321,5623,3,,0,,2175.48913043478,1009.24347826087,39.1827,177.96795,25,25,66832.6052894592,1276.09958419381
65,2512H,6035,2512H,484,473,445,2907057,2747621,722450,362,354,337,977729,733040,306312,2701,2071,909,122,119,108,1929328,2014581,416138,15814,16929,3853,0,,0,,1685.14942528736,704.165517241379,28.76985,121.94745,25,25,60661.074306488,1480.14854856674
66,2512J,6036,2512J,406,403,381,1581301,1190367,493812,328,327,316,984166,666702,331917,3001,2039,1050,78,76,65,597135,523665,161895,7656,6890,2491,1,,0,,1754.47894736842,873.465789473684,33.2325,78.84015,25,25,68350.7189254761,1428.12505987194
67,2512K,6037,2512K,137,133,133,352105,377393,72721,120,119,119,225690,279620,34109,1881,2350,287,17,14,14,126415,97773,38612,7436,6984,2758,0,,0,,2071.25925925926,252.659259259259,9.08355,87.2907,25,25,19712.9743041992,756.727369170482
68,2512P,6038,2512P,284,279,270,1044070,687108,358807,234,230,223,812818,542548,276806,3474,2359,1241,50,49,47,231252,144560,82001,4625,2950,1745,0,,0,,1808.49333333333,922.686666666667,39.27765,55.22925,25,25,8745.9454536438,479.663128520474
69,2512R,6039,2512R,296,290,284,1496076,1395622,377898,237,232,232,833635,589238,273025,3517,2540,1177,59,58,52,662441,806384,104873,11228,13903,2017,0,,0,,1841.36875,853.203125,37.25205,63.83805,25,25,69759.0482559204,1733.87158923221
70,2512S,6040,2512S,379,368,355,1290235,870113,436443,314,304,301,1034135,664051,360868,3293,2184,1199,65,64,54,256100,206062,75575,3940,3220,1400,0,,0,,2142.1,1164.09032258065,37.94835,44.31,25,25,33056.2974967957,756.050970954651
71,2512T,6041,2512T,326,319,309,1685330,1296421,517102,284,278,270,927463,621871,314921,3266,2237,1166,42,41,39,757867,674550,202181,18044,16452,5184,0,,0,,1776.77428571429,899.774285714286,36.9039,164.0736,25,12.5,44247.3361701965,1321.04765410411
72,2512V,6042,2512V,479,470,272,12999937,16961422,1681291,346,340,175,843164,806106,206495,2437,2371,1180,133,130,97,12156773,16155316,1474796,91404,124272,15204,0,,0,,1990.38518518519,509.864197530864,37.347,481.2066,25,25,48905.1635398865,1410.32703243736
73,2512W,6043,2512W,134,134,133,575409,458637,171243,119,119,119,497512,376992,154543,4181,3168,1299,15,15,14,77897,81645,16700,5193,5443,1193,0,,0,,1933.29230769231,792.528205128205,41.11335,37.75845,25,25,11210.6657295227,516.060163580001
74,2512Z,6044,2512Z,283,282,144,493405,715565,40012,271,270,133,470386,686370,36757,1736,2542,276,12,12,11,23019,29195,3255,1918,2433,296,0,,0,,2495.89090909091,133.661818181818,8.7354,9.3684,25,25,37260.1303863525,1108.65505935193
75,2513A,6045,2513A,359,332,245,12009893,17248552,1029914,113,99,78,394910,359163,102811,3495,3628,1318,246,233,167,11614983,16889389,927103,47215,72487,5552,5,,0,,2873.304,822.488,41.7147,175.7208,25,25,127228.442298889,2886.05991020399
76,2513B,6046,2513B,667,649,469,5823566,6363809,1162314,381,375,256,1095659,956143,298615,2876,2550,1166,286,274,213,4727907,5407666,863699,16531,19736,4055,0,,0,,1707.39821428571,533.241071428571,36.9039,128.34075,25,25,64029.8566627502,1342.35650084218
77,2513C,6047,2513C,452,430,383,3679917,3289345,977081,260,245,222,1172491,764136,405422,4510,3119,1826,192,185,161,2507426,2525209,571659,13060,13650,3551,4,,0,,1756.63448275862,932.004597701149,57.7929,112.38915,25,25,69287.9250717163,1380.36714907973
78,2513D,6048,2513D,108,108,102,421852,244202,156052,94,94,88,365070,208394,136021,3884,2217,1546,14,14,14,56782,35808,20031,4056,2558,1431,1,,0,,2778.58666666667,1813.61333333333,48.9309,45.29115,25,25,14095.8433876038,835.47221476167
79,2513E,6049,2513E,556,543,529,3023346,2909548,734108,449,438,437,1557814,982579,549490,3470,2243,1257,107,105,92,1465532,1926969,184618,13697,18352,2007,0,,0,,2090.59361702128,1169.12765957447,39.78405,63.52155,25,25,81419.6271858215,2553.45759060622
80,2513G,6050,2513G,433,418,402,3463892,3846446,671061,305,297,296,1050303,659483,371465,3444,2220,1255,128,121,106,2413589,3186963,299596,18856,26339,2826,0,,0,,1570.19761904762,884.440476190476,39.72075,89.4429,25,25,61091.8663749695,1174.64943115727
81,2513H,6051,2513H,127,126,120,451492,419752,114516,108,107,106,302488,220711,96780,2801,2063,913,19,19,14,149004,199041,17736,7842,10476,1267,0,,0,,2452.34444444444,1075.33333333333,28.89645,40.10055,25,25,2802.01486587524,237.156869776722
82,2513P,6052,2513P,215,215,205,884687,599565,298283,200,200,192,786446,495563,277564,3932,2478,1446,15,15,13,98241,104002,20719,6549,6933,1594,0,,0,,2608.22631578947,1460.86315789474,45.7659,50.4501,25,25,26162.4080429077,1107.01474404482
83,2513R,6053,2513R,468,445,441,1743277,1090453,617927,366,349,351,1079353,728286,364980,2949,2087,1040,102,96,90,663924,362167,252947,6509,3773,2811,4,,0,,1734.01428571429,869,32.916,88.96815,25,25,52536.8157501221,953.042707089286
84,2513S,6054,2513S,306,300,268,2129589,939873,884867,243,239,213,849171,555816,292831,3495,2326,1375,63,61,55,1280418,384057,592036,20324,6296,10764,1,,0,,2058.57777777778,1084.55925925926,43.51875,340.6806,25,25,18147.998046875,558.570134463032
85,2513T,6055,2513T,514,511,461,2171696,1256761,803487,414,411,380,1207737,798007,413996,2917,1942,1089,100,100,81,963959,458754,389491,9640,4588,4809,0,,0,,1680.01473684211,871.570526315789,34.46685,152.20485,25,25,51098.127620697,1219.16496653275
86,2513V,6056,2513V,457,454,434,1657324,1431631,456552,382,380,375,1087907,840175,332699,2848,2211,887,75,74,59,569417,591456,123853,7592,7993,2099,2,,0,,1697.32323232323,672.119191919192,28.07355,66.43335,25,25,62717.1326560974,1384.38760208237
87,2514A,6057,2514A,230,221,181,5283843,6389573,850559,104,99,91,600898,376012,212950,5778,3798,2340,126,122,90,4682945,6013561,637609,37166,49291,7085,2,,0,,3269.66956521739,1851.73913043478,74.061,224.24025,25,25,140809.125106812,4805.68316547611
88,2514B,6058,2514B,497,481,364,3225629,3046670,802300,309,300,217,1083445,817059,337854,3506,2724,1557,188,181,147,2142184,2229611,464446,11395,12318,3159,3,,0,,2817.44482758621,1165.01379310345,49.27905,99.98235,25,25,68321.1360588074,1760.14300640634
89,2514C,6059,2514C,424,408,380,3075384,3078588,707313,246,237,227,865850,651702,270419,3520,2750,1191,178,171,153,2209534,2426886,436894,12413,14192,2856,1,,0,,2506.54615384615,1040.07307692308,37.69515,90.3924,25,25,20897.4918136597,915.718598217529
90,2514E,6060,2514E,210,197,155,8476397,11999315,784720,87,83,75,415975,306190,132204,4781,3689,1763,123,114,80,8060422,11693125,652516,65532,102571,8156,1,,0,,4710.61538461538,2033.90769230769,55.79895,258.1374,25,25,134118.810409546,2046.56998171237
91,2514G,6061,2514G,377,360,325,4276221,4790018,814669,170,162,151,756208,469021,269374,4448,2895,1784,207,198,174,3520013,4320997,545295,17005,21823,3134,1,,0,,1876.084,1077.496,56.4636,99.1911,25,25,129083.771007538,2022.22780529944
92,2514H,6062,2514H,438,412,377,4967207,4292233,1367859,289,270,252,1239331,803511,429921,4288,2976,1706,149,142,125,3727876,3488722,937938,25019,24568,7504,2,,0,,2921.85818181818,1563.34909090909,53.9949,237.5016,25,25,111914.545204163,2525.25671683638
93,2514J,6063,2514J,192,179,143,9657942,10621559,1905181,52,51,32,200879,149195,63401,3863,2925,1981,140,128,111,9457063,10472364,1841780,67550,81815,16593,0,,0,,2131.35714285714,905.728571428571,62.69865,525.16845,25,25,133483.169620514,1686.65438715086
94,2514K,6064,2514K,299,288,289,1391948,820438,510050,226,217,219,941805,524182,355358,4167,2416,1623,73,71,70,450143,296256,154692,6166,4173,2210,1,,0,,2184.09166666667,1480.65833333333,51.36795,69.9465,25,25,30243.8773040771,1047.38215286505
95,2514L,6065,2514L,410,402,341,3156260,2101566,1076593,274,271,238,1009100,748273,318887,3683,2761,1340,136,131,103,2147160,1353293,757706,15788,10330,7356,1,,0,,2672.40357142857,1138.88214285714,42.411,232.8174,25,25,29552.6704597473,983.823708076614
96,2515A,6066,2515A,525,491,479,2508359,1728468,836271,395,365,362,1336323,868182,462975,3383,2379,1279,130,126,117,1172036,860286,373296,9016,6828,3191,1,,0,,1315.42727272727,701.477272727273,40.48035,100.99515,25,25,65620.7103157043,2034.6672198961
97,2515B,6067,2515B,569,546,435,4586281,5008209,916538,380,367,281,1057291,822589,321328,2782,2241,1144,189,179,154,3528990,4185620,595210,18672,23383,3865,7,16060.75,0,,1645.178,642.656,36.2076,122.32725,25,25,131189.497394562,3328.53314329994
98,2515D,6068,2515D,103,102,81,,,,98,97,79,244003,113589,99430,2490,1171,1259,5,5,2,,,,,,,0,,0,,1135.89,994.3,39.84735,,25,25,2287.94923019409,265.508066280299
99,2515E,6069,2515E,58,58,1,,,,56,56,0,51526,87332,,,1560,,2,2,1,,,,,,,0,,0,,2911.06666666667,,,,25,25,1240.88785552979,164.033758895803
100,2515G,6070,2515G,420,411,398,2673728,2127311,796974,358,349,349,1134922,768940,382723,3170,2203,1097,62,62,49,1538806,1358371,414251,24819,21909,8454,0,,0,,1875.46341463415,933.470731707317,34.72005,267.5691,25,25,24925.8147659302,1108.04457063956
101,2515H,6071,2515H,293,267,290,876479,729444,250622,270,244,267,749133,570714,231692,2775,2339,868,23,23,23,127346,158730,18930,5537,6901,823,0,,0,,2113.75555555556,858.118518518519,27.4722,26.04795,25,25,26147.9139671326,820.723108007505
102,2515J,6072,2515J,335,325,317,1363483,1404111,300594,286,276,279,810337,663371,235364,2833,2404,844,49,49,38,553146,740740,65230,11289,15117,1717,0,,0,,2041.14153846154,724.196923076923,26.7126,54.34305,25,25,43478.8365707397,1624.39372911508
103,2515K,6073,2515K,352,350,324,881971,934660,185686,314,313,294,751981,786884,161640,2395,2514,550,38,37,30,129990,147776,24046,3421,3994,802,1,,0,,2280.8231884058,468.521739130435,17.4075,25.3833,25,25,34687.4849433899,763.941847332542
104,2515L,6074,2515L,382,361,370,1521101,1092233,492519,307,288,299,1040693,702098,351941,3390,2438,1177,75,73,71,480408,390135,140578,6405,5344,1980,1,,0,,1577.74831460674,790.878651685393,37.25205,62.667,25,25,38695.4579544067,1157.11612084885
