OBJECTID,GUID,REF_FYSIEKE_SPOORTAK_PUIC,REF_FYSIEKE_SPOORTAK_NAAM,LENGTE,X_BEGIN,Y_BEGIN,Z_BEGIN,X_EIND,Y_EIND,Z_EIND,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VAN,KM_GEOCODE_VAN_T,KM_GEOCODE_TOT,KM_GEOCODE_TOT_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,PRORAIL_GEBIED,REF_FUNC_SPOORTAK_NAAM_LANG
11,c5c5c968-88f8-425b-a600-e3ebd2752922,a1c5fa98-36c6-4bc5-9fd1-cb6c958759c3,271V,1.006429,83257.17032244,432372.80493782,3.62178293,83256.232,432372.441,3.626,950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",13.809586,"13,809586",13.810584,"13,810584",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,950_271V_13.2
12,1631270c-4bce-4e79-bc7e-29bee5183ee9,a3a25fcc-19f8-498f-91cc-fa40fc491eda,1123BV,67.805847,107344.22731156,478010.85793949,-3.01333484,107300.331,477959.179,-3.465,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,19.883926,"19,883926",19.950777,"19,950777",ProRail,Randstad Noord,RN,Baan,Kennemerland,240,Haarlem,8,Strukton Rail,Noord-West,133_1123BV_19.3
13,0c4bd68e-3421-44c4-a0a9-00052ec44271,670b2fba-7139-46cc-af00-10a779add995,415L,372.048769,187293.861,434870.779,9.58,187315.43856596,434499.35758093,9.63098952,512,a,512,512_a,Ressen = Bemmel,Ah-Vl,Arnhem - Venlo ,10.50011,"10,500110",10.868971,"10,868971",ProRail,Noord-Oost,NO,Baan,Gelre,400,Maas en Waal,28,ASSET Rail,Oost,510_415L_10.3
14,e6803c2b-2835-464a-99e3-4fe1320fc464,ef15ee64-f5d2-45f2-a067-18999b7f0d49,875L,446.24262,96248.47,432390.384,0.002,96451.53706038,431993.02773485,-0.48338593,664,b,664,664_b,Rotterdam Lombardijen,Bd-Rtd,Breda - Rotterdam Centraal ,41.829321,"41,829321",41.38255,"41,382550",ProRail,Randstad Zuid,RZ,Baan,Dordrecht,140,Dordrecht,5,ASSET Rail,Zuid-Holland Zuid,664_875L_41.9
15,4922849d-4c19-4f15-8cfc-278af3469cdd,d64f6d9b-1564-4f2a-983d-2220693453b8,1155AR,658.735538,107797.488,478394.92,-0.608,107296.98174503,477971.55685834,-1.70811403,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,19.290915,"19,290915",19.945536,"19,945536",ProRail,Randstad Noord,RN,Baan,Kennemerland,240,Haarlem,8,Strukton Rail,Noord-West,133_1155AR_19.3
16,ff62679c-43ca-4967-954b-472c0f72fdde,c5cd9e16-5373-4c95-a706-b68c8ef7ddd1,223AV,908.235572,79952.303,431664.737,4.142,80856.28366584,431751.35135981,4.06603093,950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",17.214973,"17,214973",16.306044,"16,306044",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,950_223AV_17.2
17,725a42b5-636c-4c22-b1ca-a2d4a0e22d78,d64f6d9b-1564-4f2a-983d-2220693453b8,1155AR,57.016787,107296.98033334,477971.55471911,-1.70830428,107264.245,477924.918,-3.481,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,19.945539,"19,945539",20.001148,"20,001148",ProRail,Randstad Noord,RN,Baan,Kennemerland,240,Haarlem,8,Strukton Rail,Noord-West,133_1155AR_19.3
18,275b0d60-7be7-43e6-aa87-24cb158383b4,cef3bbc2-3095-4a26-bc4e-1bd21f0bd1f4,221V,53.809986,83870.9817665,432482.98150422,3.67008711,83924.549,432488.087,3.797,950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",13.185767,"13,185767",13.132245,"13,132245",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,950_221V_17.2
19,27550342-cffc-437c-b49d-ed6b292a0007,89dbd837-3792-44d8-9b36-2fa601e9538a,1013R,0.005272,116723.046,483548.191,6.512,116723.05127218,483548.19099342,6.51200578,,,,,,,,,,,,ProRail,Randstad Noord,RN,Baan,Kennemerland,240,Haarlem,8,Strukton Rail,Noord-West,133_1013R_8.6
20,1bb12e1c-0655-4820-613a-2ea2b70388a9,cf9f6ca0-55d5-492d-8bd7-5f5ce6db2bb8,956L,141.780289,61885.636,439555.898,5.177,61927.293,439420.512,5.125,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,Bot-Mvt,"Rotterdam, Botlek - Rotterdam, Emplacement Maasvlakte",40.855828,"40,855828",40.714264,"40,714264",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,950_956L_40.9
21,3d881b45-e36c-76a3-f2a4-b1bdc3e2a63f,0dab29be-9e5c-4399-96d8-10f144ffddf0,399AR,1457.529276,184104.88687449,384992.27043305,28.27220052,182692.04,385347.571,25.498,055,,55,055__,Blerick - Eindhoven,Vl-Ehv,Venlo - Eindhoven ,27.999941,"27,999941",29.45783,"29,457830",ProRail,Zuid,Z,Baan,De Peel,300,Eindhoven,24,ASSET Rail,Zuid-Oost,055_399AR_19.6
22,bab04432-3054-9460-d99d-633bdcdde2d7,4cab4f1e-989a-4480-ac7a-4a5e5171157f,114L,768.135067,145689.553,461614.478,7.877,146390.63,461927.889,6.606,530,b,530,530_b,Den Dolder,Ut-Amf,Utrecht - Amersfoort ,12.402275,"12,402275",13.169741,"13,169741",ProRail,Randstad Noord,RN,Baan,Eemland,200,Amersfoort,12,ASSET Rail,Midden,530_114L_12.4
23,104ef3f8-79ca-4777-8877-00e033cf79ec,24033df9-004b-45bd-a147-1d4d9d6757f0,91AR,5.303354,110731.47,516626.574,1.695,110728.836,516621.971,1.681,620,,620,620__,Alkmaar,Hdr-Zd,Den Helder - Zaandam ,42.52164,"42,521640",42.52711,"42,527110",ProRail,Randstad Noord,RN,Baan,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,Noord-West,620_91AR_42.5
24,24d8d6a5-59c8-555a-cad9-27b387514af2,ce53ecd6-67c2-4252-8f2c-9ad7dda349f9,233L,42.77468,246149.362,604394.397,1.942,246180.335,604423.865,1.846,200,,200,200__,Winsum - Roodeschool,Swd-Rd,Sauwerd - Roodeschool ,26.696591,"26,696591",26.739146,"26,739146",ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,Noord,200_233L_26.7
25,0aab0ab1-727c-1b95-5507-5d996b71d6b8,21398acf-8642-43ce-b381-93c8cd81e73a,885L,204.613929,134839.979,456682.116,2.075,135043.026,456672.992,2.16,531,d,531,531_d,Utrecht Centraal,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,1.438826,"1,438826",1.245841,"1,245841",ProRail,Randstad Noord,RN,Baan,Neerlands Midden,250,Utrecht,13,ASSET Rail,Midden,531_885L_1.5
26,d506877a-f3f6-976d-e413-c43d65b6ab14,1d5b6db9-fd23-426b-b372-64cb7314bf8b,101AL,3.121708,90934.129,395361.18,4.195,90931.881,395359.014,4.199,545,b,545,545_b,Roosendaal,Zlw-Np,Lage Zwaluwe - Nispen ,22.498523,"22,498523",22.501871,"22,501871",ProRail,Zuid,Z,Baan,Zeeland,310,Roosendaal,19,Strukton Rail,Zuid-West,545_101AL_22.4
27,97b96044-40eb-aaac-5e5c-bba7edfe9007,cbe9c604-32a4-4c49-9240-c29826b66c80,99V,51.504274,119342.204,490667.463,1.13,119383.405,490636.558,1.106,485,d,485,485_d,Amsterdam Hemhaven (gebied),Awhv-Chv,Amsterdam Westhaven (gebied) - Amsterdam Coenhaven ,101.260965,"101,260965",101.312483,"101,312483",ProRail,Randstad Noord,RN,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,Midden,485_99V_101.3
28,fbc95942-2ff9-aa96-b2c5-9a2d700b4c4f,7519423e-d0e3-4a81-b1e6-890ce457123b,103AR,159.873526,190131.203,553291.656,1.873,190040.234,553423.125,1.888,009,,9,009__,Meppel - Leeuwarden,Zl-Lw,Zwolle - Leeuwarden ,138.582836,"138,582836",138.741525,"138,741525",ProRail,Noord-Oost,NO,Baan,Wadden,420,Friesland,36,Strukton Rail,Noord,009_103AR_138.5
29,2330f3c1-e4c5-41d1-af8e-ef82f5bf77a7,50f105cd-2891-4977-84b2-3d17ea0ea166,8554L,158.021593,103500.273,499547.724,3.735,103346.062,499582.217,3.803,804,b,804,804_b,"Beverwijk Hoogovens, Van Gelder",Bvhca-Bvhc,Beverwijk Hoogovens Centraal Aansl. - Beverwijk Hoogovens Centraal ,202.018208,"202,018208",202.175723,"202,175723",Derden - Overig - Tata Steel,Randstad Noord,RN,Baan,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,Noord-West,804_8554L_202.0
30,e83764ac-28de-46a7-8b9a-fbca39bee4e1,90a5bbed-f780-467e-8546-1b902759cf1b,4AV,1618.090101,47207.82868908,370288.96012177,3.54451498,46340.009,371584.448,1.424,129,,129,129__,Terneuzen Aansl. - Terneuzen,Fsz-Tnz,Zelzate (B) - Terneuzen ,28.30005,"28,300050",29.918214,"29,918214",ProRail,Zuid,Z,Baan,Zeeland,310,Goes,18,Strukton Rail,Zuid-West,557_4AV_28.2
31,22ca21f5-2582-43ab-b76a-e4f452fc4f53,9ffbd708-70a3-4682-a57e-d900e4c5df13,X0870V,86.715811,88247.013,433074.814,3.279,88328.401,433044.887,3.279,468,g,468,468_g,Rotterdam Eemhaven,Whz-Rdhw,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam Den Hamweg ",400.831832,"400,831832",400.745399,"400,745399",Derden - Overig - Steinweg,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,468_X0870V_400.8
32,f28b2cc7-1eb3-0a61-c352-7a44602b1275,7f3aa1e5-01bf-400a-b458-70825adc8e13,970V,295.986515,125874.523,484634.527,3.041,126147.397,484551.767,2.767,927,,927,927__,Watergraafsmeer,Wgm-Dmn,Watergraafsmeer - Diemen ,906.090188,"906,090188",906.366414,"906,366414",ProRail,Randstad Noord,RN,Baan,Amstelsepoort,230,Weesp,11,Strukton Rail,Midden,927_970V_906.1
33,6a55420a-d725-fa66-17fd-02ac3a00b026,11ba6df5-5a41-435f-87c2-a2e60fb5837e,231AL,46.170728,115507.554,496189.034,0.261,115517.598,496143.969,0.278,524,b,524,524_b,Zaandam,Hdr-Zd,Den Helder - Zaandam ,69.599866,"69,599866",69.646045,"69,646045",ProRail,Randstad Noord,RN,Baan,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,Noord-West,078_231AL_66.0
34,f74909e8-d4ec-3be4-16f3-d60aa267310b,84a6cf9e-a9a0-4b54-901d-3bf76b050c5b,2207L,137.241395,236362.30802326,579523.44438442,2.72,236481.44413272,579455.41447268,2.72,552,b,552,552_b,Groningen Losplaats,Hlg-Nscg,Harlingen - Nieuweschans Grens ,83.662283,"83,662283",83.799689,"83,799689",ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,Noord,552_2207L_73.8
35,0c1ea4ef-f7fa-a53e-b300-4a0beebc3258,19f522bd-cf64-45ce-805b-9fc21ab2331a,215L,89.618494,203013.938,437132.934,11.975,202924.38441656,437133.20869189,11.859,611,a,611,611_a,Zevenaar,Ww-Zv,Winterswijk-Zevenaar ,48.999944,"48,999944",49.1,"49,100000",ProRail,Noord-Oost,NO,Baan,Gelre,400,Achterhoek,30,ASSET Rail,Oost,212_215L_45.0
36,1bfb789b-c2d6-c05e-f44c-401662fae8f8,2a708034-1584-449f-8f77-528d1c0b22c9,16R,114.281921,148719.741,411930.479,6.793,148773.439,412030.932,6.694,614,c,614,614_c,s Hertogenbosch,Ut-Btl,Utrecht Centraal - Boxtel ,47.268267,"47,268267",47.152047,"47,152047",ProRail,Zuid,Z,Baan,Betuwe,320,Den Bosch,21,Strukton Rail,Zuid-West,614_16R_47.3
37,d07ec7db-8fb5-462e-e31c-c28f59c7c2a4,f1c71e6e-b2df-4f6b-aff9-4cce846d8a1d,877L,167.453033,134612.439,456671.809,2.082,134445.552,456662.195,2.137,531,d,531,531_d,Utrecht Centraal,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,1.665632,"1,665632",1.830281,"1,830281",ProRail,Randstad Noord,RN,Baan,Neerlands Midden,250,Utrecht,13,ASSET Rail,Midden,531_877L_1.6
38,241bc9ce-0c2a-4fbd-885e-074038af7128,d56766a8-c9e7-4c8e-a611-a21bbf2a0d7a,22V,795.56813,62542.957,439837.623,4.917,63290.782,440108.495,5.104,475,a,475,475_a,Rotterdam Maasvlakte,Mvt-Mvtm,"Rotterdam, Emplacement Maasvlakte - Maasvlakte Missouriweg ",2.090823,"2,090823",2.886368,"2,886368",Strukton Rail Short Line,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,475_22V_2.1
39,0879dc53-060e-4afb-f06d-21479a9b0322,263a69f5-5324-4381-9e76-9b759d8ccf2b,289AR,55.736534,122206.428,487787.93,5.764,122260.197,487773.255,5.364,586,,586,586__,Amsterdam Centraal,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,81.201849,"81,201849",81.257697,"81,257697",ProRail,Randstad Noord,RN,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,Midden,586_289AR_81.2
40,566a8b8b-af13-0d22-bf49-17808ecdbc5d,d0c39787-3e14-4ed8-b555-eeda623d24ff,71AL,324.432496,241052.735,486577.452,11.401,241279.574,486345.534,11.562,606,a,606,606_a,Almelo,Aml-Hgl,Almelo - Hengelo ,0.278525,"0,278525",0.601969,"0,601969",ProRail,Noord-Oost,NO,Baan,Twente,410,Twente,32,VolkerRail,Oost,606_71AL_0.2
41,56ddce91-e86f-4ce4-9070-dcda436e9782,2cb9c140-f23e-4002-ad05-4bb8c0155fdf,909R,129.307869,91423.10435397,396059.12383482,4.179,91479.492,396175.185,4.179,545,b,545,545_b,Roosendaal,Zlw-Np,Lage Zwaluwe - Nispen ,21.628568,"21,628568",21.5,"21,500000",Derden - Overig - Gemeente Roosendaal,Zuid,Z,Baan,Zeeland,310,Roosendaal,19,Strukton Rail,Zuid-West,545_909R_21.8
42,8419094c-ec97-2266-88c2-213caf4c33ee,434e8e2d-5ec2-431b-a687-7939f0993896,105AL,9505.943722,190031.056,553429.136,1.825,185769.414,561750.645,1.329,009,,9,009__,Meppel - Leeuwarden,Zl-Lw,Zwolle - Leeuwarden ,138.751838,"138,751838",148.171962,"148,171962",ProRail,Noord-Oost,NO,Baan,Wadden,420,Friesland,36,Strukton Rail,Noord,009_105AL_138.7
43,e3334591-043a-5482-87e3-922dbc0ffe93,0b9f3b83-68b8-416b-9fd1-e22f4d2d9e15,237V,79.099842,210596.211,462556.501,10.064,210554.069,462489.585,10.051,609,,609,609__,Zutphen,Ah-Zl,Arnhem - Zwolle ,28.094017,"28,094017",28.016134,"28,016134",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,Oost,609_237V_28.1
44,2ed27105-e6c8-8a6a-5c0c-627b23410740,3b36dc43-58ed-44f1-a351-4b4e2b0612e1,315V,10472.861337,225053.918,502972.932,5.798,235434.839,502888.815,9.392,204,,204,204__,Herfte Aansl. - Mariënberg,Hea-Emn,Herfte Aansl. - Emmen ,23.23453,"23,234530",33.700049,"33,700049",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,Noord,204_315V_23.2
45,59d8ea74-388f-2cdb-7806-0102ca23bb91,fc072983-c250-4ca6-b1a9-48da3859cdd4,963R,104.914741,40402.233,386364.458,2.448,40446.333,386269.419,2.475,817,e,817,817_e,Vlissingen Sloehaven,Sloe-Qh,Sloehaven Emplacement - Quarleshaven ,200.236639,"200,236639",200.13155,"200,131550",ProRail,Zuid,Z,Baan,Zeeland,310,Goes,18,Strukton Rail,Zuid-West,817_963R_200.3
46,8429028e-caec-12ed-a812-a1f7a3478a96,d2f1c14b-7a54-419c-8aff-72e6718b0562,273AL,315.826723,155657.3885202,464634.24900142,3.81829051,155854.109,464881.193,3.822,505,a,505,505_a,Amersfoort Aansl.,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,23.5,"23,500000",23.815096,"23,815096",ProRail,Randstad Noord,RN,Baan,Eemland,200,Amersfoort,12,ASSET Rail,Midden,089_273AL_46.1
47,ab003f4d-89a1-79a8-bac9-14671820c3b6,be731fc2-9e16-4b1f-a1ee-bff6cf4d92af,185BV,328.967994,90320.247,394734.351,3.828,90180.621,394438.841,3.104,545,b,545,545_b,Roosendaal,Zlw-Np,Lage Zwaluwe - Nispen ,23.382421,"23,382421",23.713578,"23,713578",ProRail,Zuid,Z,Baan,Zeeland,310,Roosendaal,19,Strukton Rail,Zuid-West,545_185BV_23.4
48,fe9ac336-8b79-b3a5-65ef-5eadece62cf6,ecdd369e-0ab8-4e60-8e2c-d4f59b0a269b,5V,20.850425,132523.061,517592.195,-0.675,132543.457,517587.869,-0.583,626,c,626,626_c,Hoorn,Zd-Ekz,Zaandam - Enkhuizen ,32.517173,"32,517173",32.537464,"32,537464",ProRail,Randstad Noord,RN,Baan,Hollands Noorderkwartier,210,Heerhugowaard,6,VolkerRail,Noord-West,626_5V_32.5
49,2d777f97-137c-b217-183c-c56c4c11b38d,a3566f8c-2013-4e9f-bb60-11b27434a561,165L,387.318434,230323.75,597609.015,1.607,230355.733,597994.911,1.859,200,,200,200__,Winsum - Roodeschool,Swd-Rd,Sauwerd - Roodeschool ,7.935599,"7,935599",8.322996,"8,322996",ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,Noord,200_165L_7.9
50,83adee83-880a-d418-1424-aea868b8f169,53b5bdec-4b7f-49e0-9199-3962814c3901,49L,29.405218,152879.352,463035.697,5.632,152901.951,463016.92,5.548,506,b,506,506_b,Amersfoort,Asd-Zp,Amsterdam Centraal - Zutphen ,43.418826,"43,418826",43.448179,"43,448179",ProRail,Randstad Noord,RN,Baan,Eemland,200,Amersfoort,12,ASSET Rail,Midden,506_49L_43.4
51,3afc5e7f-2382-577e-be69-ba43d8296026,bda4d1b2-95a6-4f43-8576-547416c01f22,3027V,10.783145,125136.718,485131.789,2.582,125146.727,485127.777,2.426,927,,927,927__,Watergraafsmeer,Wgm-Dmn,Watergraafsmeer - Diemen ,905.221976,"905,221976",905.231279,"905,231279",ProRail,Randstad Noord,RN,Baan,Amstelsepoort,230,Weesp,11,Strukton Rail,Midden,927_3027V_905.2
52,c975d82d-89c5-08fb-57ba-da33654a4edd,7c3c464d-b703-46b2-af46-a664dda2cf26,305R,534.895844,191292.172,581372.236,1.14,191770.927,581610.595,0.961,002,,2,002__,Leeuwarden - Groningen,Hlg-Nscg,Harlingen - Nieuweschans Grens ,35.817454,"35,817454",36.350152,"36,350152",ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,Noord,002_305R_35.8
53,67575a73-584b-4327-dbfd-d6315035b989,89180ed6-0fb9-49a8-b680-4c0954b0de8e,79L,292.529077,209865.422,374999.681,20.921,209685.73,375230.424,21.299,517,b,517,517_b,Venlo,Mt-Vl,Maastricht - Venlo ,69.458034,"69,458034",69.751385,"69,751385",ProRail,Zuid,Z,Baan,De Peel,300,Venlo,27,ASSET Rail,Zuid-Oost,517_79L_69.4
54,cb86ec1b-0fd9-1c5f-3c0c-e4bad9ba3e85,ca5f906e-86cd-4ac5-bbf7-41dc0c401476,514L,188.839934,104494.22,424742.625,3.498,104318.918,424812.837,3.43,805,a,805,805_a,Dordrecht Zeehaventerrein,Ddr-Ddrz,Dordrecht - Dordrecht Zeehaventerrein ,100.071854,"100,071854",100.248,"100,248000",ProRail,Randstad Zuid,RZ,Baan,Dordrecht,140,Dordrecht,5,ASSET Rail,Zuid-Holland Zuid,805_514L_100.0
55,852c87a2-c96b-d7d7-d17e-cd3589581b2a,6631bf95-cbee-442e-8604-9e17dd15deeb,307R,690.055466,185855.496,320337.338,81.815,186437.518,319977.096,82.061,070,,70,070__,Schin op Geul - Maastricht,Vet-Mtn,Verschau (D) - Maastricht Noord ,25.884403,"25,884403",25.195503,"25,195503",ProRail,Zuid,Z,Baan,Limburg,340,Maastricht,26,Strukton Rail,Zuid-Oost,070_307R_25.9
56,bde8a050-c867-4698-8a06-52f0ac1b6ae3,78e64895-ab80-4748-91df-c2cb3bc0e4c8,HHHV,14.095881,185395.673,341187.158,30.224,185404.241,341198.351,30.142,851,d,851,851_d,Born Franciscushaven,Bon-Bonfh,Born-Born Franciscushaven ,131.295311,"131,295311",131.309278,"131,309278",Derden - Overig - Barge Terminal Born,Zuid,Z,Baan,Limburg,340,Roermond,25,Strukton Rail,Zuid-Oost,851_HHHV_131.3
