FID,jaar,bed_zosnol,bed_zosmar,bed_rupmar,bedzostot,bio_zosnol,bio_zosmar,bio_rupmar,biozostot,bio_tot,type_ws,hoofdgeb,gebied,deelgeb,gdb_geomattr_data,shape
zostera_noltei_2007.401,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600540.0001000017, 258380 600540.0001000017, 258380 600560.0001000017, 258399.9998999983 600560.0001000017, 258399.9998999983 600540.0001000017))"
zostera_noltei_2007.402,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600500.0001999997, 258380 600500.0001999997, 258380 600520.0001000017, 258399.9998999983 600520.0001000017, 258399.9998999983 600500.0001999997))"
zostera_noltei_2007.428,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258299.9998999983 600460, 258280 600460, 258280 600480, 258299.9998999983 600480, 258299.9998999983 600460))"
zostera_noltei_2007.431,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258140 600419.9998999983, 258120 600419.9998999983, 258120 600439.9998999983, 258140 600439.9998999983, 258140 600419.9998999983))"
zostera_noltei_2007.435,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258160 600419.9998999983, 258140 600419.9998999983, 258140 600439.9998999983, 258160 600439.9998999983, 258160 600419.9998999983))"
zostera_noltei_2007.437,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258120 600419.9998999983, 258099.9998999983 600419.9998999983, 258099.9998999983 600439.9998999983, 258120 600439.9998999983, 258120 600419.9998999983))"
zostera_noltei_2007.440,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258099.9998999983 600419.9998999983, 258079.9998999983 600419.9998999983, 258079.9998999983 600439.9998999983, 258099.9998999983 600439.9998999983, 258099.9998999983 600419.9998999983))"
zostera_noltei_2007.443,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258140 600439.9998999983, 258120 600439.9998999983, 258120 600460, 258140 600460, 258140 600439.9998999983))"
zostera_noltei_2007.446,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258120 600439.9998999983, 258099.9998999983 600439.9998999983, 258099.9998999983 600460, 258120 600460, 258120 600439.9998999983))"
zostera_noltei_2007.448,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258099.9998999983 600439.9998999983, 258079.9998999983 600439.9998999983, 258079.9998999983 600460, 258099.9998999983 600460, 258099.9998999983 600439.9998999983))"
zostera_noltei_2007.478,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600339.9998999983, 258399.9998999983 600339.9998999983, 258399.9998999983 600359.9998000003, 258419.9998999983 600359.9998000003, 258419.9998999983 600339.9998999983))"
zostera_noltei_2007.480,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258439.9998999983 600339.9998999983, 258419.9998999983 600339.9998999983, 258419.9998999983 600359.9998000003, 258439.9998999983 600359.9998000003, 258439.9998999983 600339.9998999983))"
zostera_noltei_2007.481,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258439.9998999983 600359.9998000003, 258419.9998999983 600359.9998000003, 258419.9998999983 600380, 258439.9998999983 600380, 258439.9998999983 600359.9998000003))"
zostera_noltei_2007.482,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600359.9998000003, 258399.9998999983 600359.9998000003, 258399.9998999983 600380, 258419.9998999983 600380, 258419.9998999983 600359.9998000003))"
zostera_noltei_2007.491,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258439.9998999983 600520.0001000017, 258419.9998999983 600520.0001000017, 258419.9998999983 600540.0001000017, 258439.9998999983 600540.0001000017, 258439.9998999983 600520.0001000017))"
zostera_noltei_2007.492,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258459.99980000034 600520.0001000017, 258439.9998999983 600520.0001000017, 258439.9998999983 600540.0001000017, 258459.99980000034 600540.0001000017, 258459.99980000034 600520.0001000017))"
zostera_noltei_2007.494,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258459.99980000034 600540.0001000017, 258439.9998999983 600540.0001000017, 258439.9998999983 600560.0001000017, 258459.99980000034 600560.0001000017, 258459.99980000034 600540.0001000017))"
zostera_noltei_2007.495,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258439.9998999983 600540.0001000017, 258419.9998999983 600540.0001000017, 258419.9998999983 600560.0001000017, 258439.9998999983 600560.0001000017, 258439.9998999983 600540.0001000017))"
zostera_noltei_2007.506,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258260 600419.9998999983, 258239.99980000034 600419.9998999983, 258239.99980000034 600439.9998999983, 258260 600439.9998999983, 258260 600419.9998999983))"
zostera_noltei_2007.509,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258280 600419.9998999983, 258260 600419.9998999983, 258260 600439.9998999983, 258280 600439.9998999983, 258280 600419.9998999983))"
zostera_noltei_2007.514,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258239.99980000034 600439.9998999983, 258219.9998999983 600439.9998999983, 258219.9998999983 600460, 258239.99980000034 600460, 258239.99980000034 600439.9998999983))"
zostera_noltei_2007.515,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258260 600439.9998999983, 258239.99980000034 600439.9998999983, 258239.99980000034 600460, 258260 600460, 258260 600439.9998999983))"
zostera_noltei_2007.542,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258559.9998999983 600600.0001999997, 258539.9998999983 600600.0001999997, 258539.9998999983 600620.0001000017, 258559.9998999983 600620.0001000017, 258559.9998999983 600600.0001999997))"
zostera_noltei_2007.544,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258559.9998999983 600620.0001000017, 258539.9998999983 600620.0001000017, 258539.9998999983 600640.0001000017, 258559.9998999983 600640.0001000017, 258559.9998999983 600620.0001000017))"
zostera_noltei_2007.596,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258439.9998999983 600439.9998999983, 258419.9998999983 600439.9998999983, 258419.9998999983 600460, 258439.9998999983 600460, 258439.9998999983 600439.9998999983))"
zostera_noltei_2007.597,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258459.99980000034 600439.9998999983, 258439.9998999983 600439.9998999983, 258439.9998999983 600460, 258459.99980000034 600460, 258459.99980000034 600439.9998999983))"
