FID,omschrij_3,opmerking,code,ngd_mv,ngd_lat,bag_dp_mv,bag_dp_lat,se_anno_cad_data,gdb_geomattr_data,shape
vakindeling_historie.67,Stortvak,Stortvak Queen,B,0,0,0,0,,,"POLYGON ((600982.8486000001 5819507.0385, 601607.4784000004 5819402.146199999, 601521.5159 5818882.935799999, 600894.0196000002 5818988.680299999, 600982.8486000001 5819507.0385))"
vakindeling_historie.68,Stortvak,Loswal Noord,64,0,0,0,0,,,"POLYGON ((574974.9500000002 5769988.040100001, 575419.8208999997 5770353.0375, 575763.4436999997 5769933.5403, 575318.5094999997 5769569.0429, 574974.9500000002 5769988.040100001))"
vakindeling_historie.69,Stortvak,Loswal Noord,63,0,0,0,0,,,"POLYGON ((574530.0157000003 5769623.5427, 574974.9500000002 5769988.040100001, 575318.5094999997 5769569.0429, 574873.6376 5769204.545600001, 574530.0157000003 5769623.5427))"
vakindeling_historie.70,Stortvak,Loswal Noord,68,0,0,0,0,,,"POLYGON ((575763.4436999997 5769933.5403, 576107.0656000003 5769514.543199999, 575662.1312999995 5769150.0458, 575318.5094999997 5769569.0429, 575763.4436999997 5769933.5403))"
vakindeling_historie.71,Stortvak,Loswal Noord,62,0,0,0,0,,,"POLYGON ((574085.0813999996 5769259.045399999, 574530.0157000003 5769623.5427, 574873.6376 5769204.545600001, 574428.7033000002 5768839.5491, 574085.0813999996 5769259.045399999))"
vakindeling_historie.72,Stortvak,Loswal Noord,67,0,0,0,0,,,"POLYGON ((575318.5094999997 5769569.0429, 575662.1312999995 5769150.0458, 575217.2604 5768785.0493, 574873.6376 5769204.545600001, 575318.5094999997 5769569.0429))"
vakindeling_historie.73,Stortvak,Loswal Noord,84,0,0,0,0,,,"POLYGON ((576107.0656000003 5769514.543199999, 576398.8766000001 5769158.5458, 575954.0047000004 5768794.0485, 575662.1312999995 5769150.0458, 576107.0656000003 5769514.543199999))"
vakindeling_historie.74,Stortvak,Loswal Noord,61,0,0,0,0,,,"POLYGON ((573640.2094999999 5768894.048900001, 574085.0813999996 5769259.045399999, 574428.7033000002 5768839.5491, 573983.8063000003 5768475.0825, 573640.2094999999 5768894.048900001))"
vakindeling_historie.75,Stortvak,Loswal Noord,66,0,0,0,0,,,"POLYGON ((574873.6376 5769204.545600001, 575217.2604 5768785.0493, 574772.3261000002 5768420.551999999, 574428.7033000002 5768839.5491, 574873.6376 5769204.545600001))"
vakindeling_historie.76,Stortvak,KF Maasgeul,A,0,0,0,0,,,"POLYGON ((571241.8915999997 5764314.0331, 570619.4848999996 5765479.5988, 572191.1688000001 5766841.3245, 572915.0264999997 5765574.5732, 571241.8915999997 5764314.0331))"
vakindeling_historie.77,Stortvak,KF Maasgeul,B,0,0,0,0,,,"POLYGON ((571241.8915999997 5764314.0331, 572915.0264999997 5765574.5732, 573665.2263000002 5764261.723200001, 571957.0462999996 5762974.7804000005, 571241.8915999997 5764314.0331))"
vakindeling_historie.78,Stortvak,KF Maasgeul,C,0,0,0,0,,,"POLYGON ((571957.0462999996 5762974.7804000005, 573665.2263000002 5764261.723200001, 574415.426 5762948.873199999, 572672.2012 5761635.5274, 571957.0462999996 5762974.7804000005))"
vakindeling_historie.79,Stortvak,KF Maasgeul,D,0,0,0,0,,,"POLYGON ((572191.1688000001 5766841.3246, 572969.5203999998 5767494.774, 575220.5566999996 5763555.458799999, 574415.426 5762948.873199999, 572191.1688000001 5766841.3246))"
vakindeling_historie.80,Stortvak,KF Maasgeul,E3a,0,0,0,0,,,"POLYGON ((572615.4897999996 5767180.311000001, 572939.8585000001 5766800.199899999, 572559.2092000004 5766475.494100001, 572234.8227000004 5766855.5886, 572615.4897999996 5767180.311000001))"
vakindeling_historie.81,Stortvak,KF Maasgeul,D1b,0,0,0,0,,,"POLYGON ((572067.2072999999 5764741.791200001, 572391.7728000004 5764361.4529, 572011.3722000001 5764036.9604, 571686.8066999996 5764417.298699999, 572067.2072999999 5764741.791200001))"
vakindeling_historie.82,Stortvak,KF Maasgeul,D1c,0,0,0,0,,,"POLYGON ((571686.8066999996 5764417.298699999, 572011.3722000001 5764036.9604, 571630.6025 5763712.152899999, 571452.8937999997 5763920.3475, 571343.7768999999 5764124.6844999995, 571686.8066999996 5764417.298699999))"
vakindeling_historie.83,Stortvak,KF Maasgeul,D1d,0,0,0,0,,,"POLYGON ((571362.4374000002 5764797.407199999, 571686.8066999996 5764417.298699999, 571343.7768999999 5764124.6844999995, 571102.8070999999 5764575.9344999995, 571362.4374000002 5764797.407199999))"
vakindeling_historie.84,Stortvak,KF Maasgeul,D5b,0,0,0,0,,,"POLYGON ((575109.8476999998 5767337.2502, 575434.4516000003 5766956.944599999, 575054.2638999997 5766632.6337, 574729.6639 5767012.942600001, 575109.8476999998 5767337.2502))"
