DOSSIERNR;REGISTR_OMS;INGANGSDATUM;EINDDATUM;STRAAT;HUISNR;LOKATIE;STADSDEEL;X_KOORD;Y_KOORD;COUNTER;LONG;LAT
00019IPM19;het organiseren van een incidentele private markt genaamd Braderie Paul Krugerlaan van 29 tot en met 30 juni op de locatie Paul Krugerlaan vanaf de Schalkburgerstraat tot aan de Joubertstraat en Paul Krugerplein verleend;2019-06-29;2019-06-30;Paul Krugerlaan;1;Paul Krugerlaan 1 - Paul Krugerlaan (Paul Krugerlaan vanaf Schalkburgerstraat tot aan de Joubertstraat en Paul Krugerplein);CENTRUM;79428.655;454162.625;119;4.284969840773066;52.070587058118164
00022IPM19;het organiseren van een incidentele private markt genaamd Flagship Market Mosselfeest op 15 september 2019 op de locatie Piet Heinstraat en Piet Heinplein. verleend;2019-09-15;2019-09-15;Piet Heinplein;5;Piet Heinplein 5-25-50-87-102 / Piet Heinstraat 2-3-4-58-59A-79-98-109A-122-125;CENTRUM;80483.803;455511.158;120;4.300062376935225;52.082848915897095
00039IPM19;het organiseren van een incidentele private markt genaamd Laakfestival op 22 juni 2019 verleend;2019-06-22;2019-06-22;Goeverneurlaan;1;Goeverneurlaan 1;LAAK;82278.801;453002.078;121;4.326780416207628;52.06053897532115
00044IPM19;het organiseren van een incidentele private markt genaamd Proef de zomer op de locatie Appelstraat/Vlierboomstraat op 7 juli 2019. verleend;2019-07-06;2019-07-06;Appelstraat;0;Appelstraat  - Appelstraat (Segbroek, Appelstraat/Vlierboomstraat);SEGBROEK;77235.795;453733.729;122;4.253089851802414;52.066429205178565
00041IPM20;"Jaarmark Scheveningen, gelegen op locatie Boulevard van 26-9-2020 t/m 27-9-2020;  verleend";2020-09-26;2020-09-27;Strandweg;1;Strandweg 1;SCHEVENINGEN;77880.105;457428.037;123;4.26164952891275;52.09971864699273
00046IPM20;Stoffenbeurs                            Lange Voorhout                                                                                   18-10-2020 verleend;2020-10-18;2020-05-18;Lange Voorhout;1;Lange Voorhout 1 - Lange Voorhout (Centrum, Lange Voorhout);CENTRUM;81118.763;455303.686;124;4.309369371428719;52.08106950617021
00082IPM20;Salt Market op locatie Boulevard van 16-7-2021 t/m 18-7-2021 verleend;2021-07-16;2021-07-18;Strandweg;1;Strandweg 1;SCHEVENINGEN;77880.105;457428.037;125;4.26164952891275;52.09971864699273
00001IPM21;IPM Royal Christmas Fair op het Lange Voorhout, Plein en Lange Vijverberg van 29-11-2021 t/m 29-12-2021  ingekomen;2021-11-29;2021-12-29;Lange Voorhout;1;Lange Voorhout 1 - Lange Voorhout (Centrum, Lange Voorhout, Plein en Lange Vijverberg);CENTRUM;81118.763;455303.686;126;4.309369371428719;52.08106950617021
00041IPM21;Jaarmarkt Scheveningen op 23-4-2022 t/m 24-4-2022, gelegen op het Boulevard verleend;2022-04-23;2022-04-24;Strandweg;0;Strandweg ;SCHEVENINGEN;78310.088;457939.296;127;4.2678088680464015;52.10437288543751
00022IPM22;"Hipfest Vlaggetjesdagbraderie van 17-06-2022 t/m 18-06-2022, gelegen op locaties Badhuisstraat, Keizerstraat, Marcellisstraat, Prins Willemstraat en Prins Willemplein
 verleend";2022-06-17;2022-06-18;Keizerstraat;0;"Keizerstraat  - Keizerstraat (Stadsdeel: Schevingen
Locatie: Badhuisstraat, Keizerstraat, Marcellisstraat, Prins Willemstraat en Prins Willemplein)";SCHEVENINGEN;78682.188;458168.334;128;4.273187892693356;52.10648260828828
00023IPM22;"IPM Fahrenheitfestival op 25-6-2022, gelegen op locatie Fahrenheitstraat, Thomsonlaan en Thomsplein 
 verleend";2022-06-25;2022-06-25;Fahrenheitstraat;0;Fahrenheitstraat  - Fahrenheitstraat (Segbroek, Thomsonlaan, Thomsonplein en Fahrenheitstraat );SEGBROEK;78638.834;454623.313;129;4.273349036945351;52.074618786363274
00039IPM22;IPM Stoffebeurs, gelegen op locatie Lange Voorhout op 23-10-2022 verleend;2022-10-23;2022-10-23;Lange Voorhout;0;Lange Voorhout  - Lange Voorhout (Centrum, Lange Voorhout);CENTRUM;81252.232;455426.005;130;4.311289744471343;52.08218654846781
00044IPM22;IPM Braderie Leyweg van 1-10-2022 t/m 2-10-2022, gelegen op locatie Leyweg verleend;2022-10-01;2022-10-02;Leyweg;0;Leyweg  - Leyweg (Escamp, Leyweg);ESCAMP;78712.332;451806.727;131;4.275050145017823;52.0493171328947
00047IPM22;IPM Swan Market op 4-6-2023 op het Lange Voorhout ingekomen;2023-06-04;2023-06-04;Lange Voorhout;0;Lange Voorhout  - Lange Voorhout (Centrum, Lange Voorhout);CENTRUM;81252.232;455426.005;132;4.311289744471343;52.08218654846781
00049IPM22;IPM Swan Market op 6-8-2023 op locatie Lange Voorhout ingekomen;2023-08-06;2023-08-06;Lange Voorhout;0;Lange Voorhout  - Lange Voorhout (Centrum, Lange Voorhout);CENTRUM;81252.232;455426.005;133;4.311289744471343;52.08218654846781
00067IPM22;IPM Stoffenbeurs op locatie Lange Voorhout op 19-3-2023 verleend;2023-03-19;2023-03-19;Lange Voorhout;1;Lange Voorhout 1 - Lange Voorhout (Centrum, Lange Voorhout);CENTRUM;81118.763;455303.686;134;4.309369371428719;52.08106950617021
00011IPM23;"IPM Boergondisch Winter editie op locatie van Lange Voorhout van 16-3-2023 t/m 19-3-2023
 ingekomen";2023-03-16;2023-03-19;Lange Voorhout;1;Lange Voorhout 1 - Lange Voorhout (Cetrum, Lange Voorhout);CENTRUM;81118.763;455303.686;135;4.309369371428719;52.08106950617021
00003IPM17;Voorjaarsmarkt Dierenselaan Apeldoornselaan van 26 tot en met 28 mei 2017 verleend;2017-05-26;2017-05-28;Dierenselaan;0;Dierenselaan  - Dierenselaan (winkelgebied en Apeldoornselaan);ESCAMP;79247.277;453666.205;136;4.282435007849145;52.06610110487174
00007IPM17;ZIE BWT00017IPM17 Le Marie Marché op 3 en 4 juni 2017 verleend;2017-06-03;2017-06-04;Plein;1;Plein 1;CENTRUM;81495.162;455173.946;137;4.314887587625159;52.07995365708993
00022IPM17;Bezuidenhoud Festival Braderie op 27 mei 2017 verleend;2017-05-27;2017-05-27;Theresiastraat;0;Theresiastraat  - Theresiastraat (Theresiastraat);HAAGSE HOUT;82840.982;455717.413;138;4.334402748241928;52.08501469851297
00033IPM17;Zomermarkt Leyweg van 25 tot en met 27 augustus 2017 verleend;2017-08-25;2017-08-27;Leyweg;1;Leyweg 1 - Leyweg (Leyweg);LOOSDUINEN;77760.078;453187.768;139;4.260858079038967;52.06159619401367
00042IPM17;test in adviesfase;2017-03-27;2017-03-27;Apeldoornselaan;0;Apeldoornselaan  - Apeldoornselaan (test locatie);ESCAMP;79268.172;453918.701;140;4.2826836732365425;52.068373067892765
00043IPM17;Braderie Paul Krugerlaan op 3 en 4 juni 2017 verleend;2017-06-03;2017-06-04;Paul Krugerlaan;1;Paul Krugerlaan 1 - Paul Krugerlaan (Paul Krugerlaan vanaf Schalk Burgerstraat tot aan de Joubertstraat en Paul Krugerplein);CENTRUM;79428.655;454162.625;141;4.284969840773066;52.070587058118164
00053IPM17;Najaarsmarkt Leyweg van 27 tot en met 29 oktober 2017 verleend;2017-10-27;2017-10-29;Leyweg;550;Leyweg 550 - Leyweg (Winkelcentrum/gebied Leyweg);ESCAMP;78344.153;452397.466;142;4.269551117489843;52.05457512130263
00057IPM17;Maandmarkt Loosduinen op 30 juli 2017 ingekomen;2017-07-30;2017-07-30;Loosduinse Hoofdplein;183;Loosduinse Hoofdplein 183 - Loosduinse Hoofdstraat (Het plein in het winkelcentrum Loosduinen. );LOOSDUINEN;75928.357;452290.954;143;4.234359869279029;52.0532784990318
00077IPM17;Rrrollend Den Haag van 22 t/m 24 september 2017 (VERLEEND) verleend;2017-09-22;2017-09-24;Lange Voorhout;1;Lange Voorhout 1 - Lange Voorhout (Lange Voorhout);CENTRUM;81118.763;455303.686;144;4.309369371428719;52.08106950617021
00097IPM17;DUBBEL INGEVOERD. ZIE BWT00076IPM17. verleend;2017-08-13;2017-08-13;Plein;1;Plein 1 - Plein (Centrum, het plein);CENTRUM;81495.162;455173.946;145;4.314887587625159;52.07995365708993
00113IPM17;Jaarmarkt Scheveningen 2017 (VERLEEND) verleend;2017-04-30;2017-04-30;Strandweg;0;Strandweg ;SCHEVENINGEN;78310.088;457939.296;146;4.2678088680464015;52.10437288543751
00114IPM17;Pasar Malam op 13 en 14 mei 2017 verleend;2017-05-13;2017-05-14;Jaap Hoekdreef;156;Jaap Hoekdreef 156;LEIDSCHENVEEN-YPENBURG;87474.278;453336.031;147;4.402463875054204;52.06419776670844
00005IPM17;Zomermarkt Leyweg van 23 tot en met 25 juni 2017 (VERLEEND) verleend;2017-06-23;2017-06-25;Leyweg;0;Leyweg  - Leyweg (winkelcentrum);ESCAMP;78712.332;451806.727;1;4.275050145017823;52.0493171328947
00014IPM17;Le Marie Marché op 6 en 7 mei 2017 verleend;2017-05-06;2017-05-07;Rond de Grote Kerk;10;Kerkplein 1 / Rond de Grote Kerk 10;CENTRUM;80956.824;454876.167;2;4.3071000645734205;52.077205872233755
00017IPM17;Le Marie Marché op 1 en 2 april, 3 en 4 juni, 7 en 8 oktober, 4 en 5 november en 2 en 3 december 2017 verleend;2017-04-01;2017-04-02;Plein;1;Plein 1;CENTRUM;81495.162;455173.946;3;4.314887587625159;52.07995365708993
00036IPM17;Le Marie Marché 2 en 3 september 2017 (VERLEEND) verleend;2017-09-02;2017-09-03;Noordeinde;1;Noordeinde 1 - Noordeinde, Plein voor Paleisstraat 1;CENTRUM;81069.668;455143.587;4;4.308687951611819;52.07962418452212
00047IPM17;International Market Reinkenstraat op 11 juni 2017 verleend;2017-06-11;2017-06-11;Reinkenstraat;1;Reinkenstraat 1 - Reinkenstraat (gehele Reinkenstraat);SCHEVENINGEN;79391.991;455321.371;5;4.2841784444892745;52.08099534911913
00050IPM17;Proef de Zomer op 24 juni 2017 verleend;2017-06-24;2017-06-24;Vlierboomstraat;666;Appelstraat 112 / Vlierboomstraat 666 - Vlierboomstraat (Appelstraat);SEGBROEK;77266.592;453781.35;6;4.2535280687040276;52.06686147984183
00081IPM17;Braderie Hofkwartier op 11 en 12 november 2017 verleend;2017-11-11;2017-11-12;Prinsestraat;0;Prinsestraat  - Prinsestraat, Kerkplein, Molenstraat, Kleine Molstraat, Nobelstraat, Papestraat, Annastraat;CENTRUM;80934.523;455001.146;7;4.306747676147629;52.07832604443808
00090IPM17;Rollend Den Haag van 22 tot en met 24 september 2017 ingekomen;2017-09-22;2017-09-25;Lange Voorhout;1;Lange Voorhout 1 - Lange Voorhout (Lange Voorhout);CENTRUM;81118.763;455303.686;8;4.309369371428719;52.08106950617021
00107IPM17;Swan Market op 2 april 2017 verleend;2017-04-02;2017-04-02;Kerkplein;0;Kerkplein  - Plein (Centrum, Kerkplein);CENTRUM;80990.463;454938.984;9;4.307577064605387;52.077774889318846
00112IPM17;Koningsdag Oudekustlijn 27 april 2017 verleend;2017-04-26;2017-09-27;Oude Kustlijn;0;Oude Kustlijn ;LEIDSCHENVEEN-YPENBURG;85185.039;450816.431;10;4.369599319738154;52.041270550697135
00117IPM17;Kijkduin Sunrise op 3 juni 2017 (VERLEEND) verleend;2017-06-03;2017-06-04;Deltaplein;0;Deltaplein  - Deltaplein (Deltaplein, Kijkduin);LOOSDUINEN;75054.65;454030.56;11;4.221216730510848;52.06878621183574
00122IPM17;8-4-2018 en 17 - 6 2018 verleend;2018-04-08;2017-04-08;Plein;0;Plein  - Lange Voorhout (Centrum, pleinen);CENTRUM;81556.476;455170.647;12;4.315782619372681;52.0799321452457
00143IPM17;het organiseren van een private markt genaamd Platen en CD beurs op de Hofplaats in Den Haag. 10-3, 7-4, 5-5, 6-7, 7-7, 4-8 en 1 september 2018. verleend;2018-03-10;2018-03-10;Lange Voorhout;0;Lange Voorhout  - Plein (Centrum, Lange Voorhout);CENTRUM;81252.232;455426.005;13;4.311289744471343;52.08218654846781
00147IPM17;Kerstmarkt Radio Hollandplein op 22 en 23 december 2017 verleend;2017-12-22;2017-12-23;Dr. Lelykade;1;Dr. Lelykade 1C;SCHEVENINGEN;78558.286;457347.922;14;4.271563648407739;52.09909277223869
00170IPM17;Jaarmarkt Scheveningen op de Boulevard en Strandweg op  26 augustus 2018.  verleend;2018-08-26;2017-08-26;Strandweg;0;Strandweg ;SCHEVENINGEN;78310.088;457939.296;15;4.2678088680464015;52.10437288543751
00171IPM17;Jaarmarkt Scheveningen 22 juli 2018 verleend;2018-07-29;2018-07-29;Strandweg;0;Strandweg ;SCHEVENINGEN;78310.088;457939.296;16;4.2678088680464015;52.10437288543751
00175IPM17;Het organiseren van een private markt Le Marie Marche ter hoogte van het Plein. De aanvraag is ingediend voor 3 en 4 november 2018.  verleend;2018-11-03;2018-11-04;Spui;0;Spui  - Plein (Centrum, pleinkwartier);CENTRUM;81655.796;454762.37;17;4.317319054122192;52.076276217983064
00008IPM18;HS Markt Stationsweg op 24 en 25 juni 2018 verleend;2018-03-24;2018-03-25;Stationsplein;0;Stationsplein  - Stationsplein (Centrum, Stationsplein/Stationsweg);CENTRUM;81919.195;454038.925;18;4.321315570420651;52.06980959376704
00010IPM18;vrijheidsmarkt op 27 april 2018 verleend;2018-04-27;2018-04-27;Thomsonlaan;175;Thomsonlaan 175 - Thomsonlaan (Thomsonlaan);SEGBROEK;78084.517;454945.205;19;4.2651923285268225;52.077434810038696
00017IPM18;Een braderie op 23 juni 2018 ter plaase van Thomsonlaan/Thomsonplein/Fahrenheitstraat.  verleend;2018-06-22;2018-06-23;Thomsonlaan;1;Thomsonlaan 1 - Thomsonlaan (Segbroek Thomsonlaan/Thomsonplein/Fahrenheitstraat);SEGBROEK;78775.26;455118.882;20;4.275227976480341;52.07909109441869
00029IPM18;Vrijmarkt In het Vlietpark gelegen langs de Santiagosingel i.v.m. koningsdag.  verleend;2018-04-27;2018-04-27;Laan van Wateringse Veld;2;Laan van Wateringse Veld 2 - Plein (Escamp, wateringse Veld);ESCAMP;79124.707;450685.74;21;4.2813096863858275;52.039299733675925
00059IPM18;Het organiseren van een een vinyl & muziek markt op de locatie Boekhorststraat op 28 juli 2018.  verleend;2018-07-28;2018-07-28;Boekhorststraat;1;Boekhorststraat 1 - Boekhorststraat (Centrum, Boekhorststraat );CENTRUM;81057.055;454625.52;22;4.308616245736976;52.074966762034656
00061IPM18;het organiseren van een Platen en CD beurs op de locatie Hofplaats in Den Haag. De aanvraag is ingediend in de periode van 6 oktober 2018.  verleend;2018-10-06;2018-10-06;Hofplaats;2;Hofplaats 2 - Spuistraat (Centrum, Hofplaats);CENTRUM;81314.835;455082.304;23;4.312277144943558;52.07910612672167
00064IPM18;Het organiseren van een braderie/ snuffelmarkt op het winkelcentrum De Stede. De aanvraag is ingediend voor 24 en 25 augustus 2018. verleend;2018-08-24;2018-08-25;De Stede;1;De Stede 1 - De Stede (De Stede);ESCAMP;77748.481;451040.68;24;4.261174456717656;52.042299408518375
00087IPM18;Le Marie Marché, 6 en 7 juli 2019 op het Plein. verleend;2019-07-06;2019-07-07;Plein;1;Plein 1 - Plein (Centrum, Plein);CENTRUM;81495.162;455173.946;25;4.314887587625159;52.07995365708993
00094IPM18;het organiseren van een private markt genaamd de Surf Expo in Scheveningen. De aanvraag is gedaan voor 29 en 30 september 2018. verleend;2018-09-29;2018-09-30;Gevers Deynootweg;970;Gevers Deynootweg 970;SCHEVENINGEN;79421.527;459008.24;26;4.283791792780519;52.11413202378329
00123IPM18;het organiseren van een incidentele private markt genaamd Sushi & Asian Street Food Festival JOY op de locatie Lange Voorhout. De aanvraag is ingediend op 17 mei 2019 tot en met 19 mei 2019.   verleend;2019-05-17;2019-05-19;Lange Voorhout;1;Lange Voorhout 1 - Lange Voorhout (Centrum, Lange Voorhout);CENTRUM;81118.763;455303.686;27;4.309369371428719;52.08106950617021
00136IPM18;15 en 16 juni 2019 Kerkplein Markets verleend;2019-06-08;2019-06-10;Lange Voorhout;1;Lange Voorhout 1 - Lange Voorhout (Centrum, kerkplein);CENTRUM;81118.763;455303.686;28;4.309369371428719;52.08106950617021
00146IPM18;Summer of love Market, Lange Voorhout 27 sept 2019 tot en met 29 sept 2019. verleend;2019-09-07;2019-09-28;Lange Voorhout;1;Lange Voorhout 1 - Lange Voorhout (Lange Voorhout);CENTRUM;81118.763;455303.686;29;4.309369371428719;52.08106950617021
00161IPM18;Swan Market 16 juni 2019 verleend;2019-06-16;2019-06-16;Lange Voorhout;1;Lange Voorhout 1 - Lange Voorhout (Centrum ,Lange Voorhout);CENTRUM;81118.763;455303.686;30;4.309369371428719;52.08106950617021
00003IPM19;het organiseren van een incidentele private markt genaamd Braderie Hobbemastraat op de locatie Hobbemastraat en Hobbemaplein. De aanvraag is ingediend voor 30 maart 2019 en 31 maart 2019. ingekomen;2019-03-30;2019-03-31;Hobbemastraat;3;Hobbemastraat 3 - Hobbemastraat (Centrum, Hobbemastraat en Hobbemaplein);CENTRUM;80968.484;454147.218;31;4.307428250211668;52.070656547563715
00040IPM19;het organiseren van een incidentele private markt genaamd Hobbemarkt op de locatie Hobbemastraat en Hobbemaplein op 29 en 30 juni 2019 verleend;2019-06-29;2019-06-30;Hobbemastraat;3;Hobbemastraat 3 - Hobbemastraat (Centrum, Hobbemastraat en Hobbemaplein);CENTRUM;80968.484;454147.218;32;4.307428250211668;52.070656547563715
00077IPM19;Vergunning voor het organiseren van een incidentele private markt Najaarbraderie Paul Krugerlaan voor de periode van 7 september 2019 en 8 september 2019 verleend;2019-09-07;2019-09-08;Paul Krugerlaan;1;Paul Krugerlaan 1 - Paul Krugerlaan (Centrum, Paul Krugerlaan);CENTRUM;79428.655;454162.625;33;4.284969840773066;52.070587058118164
00061IPM20;Le Marie Marché, gelegen op locatie Plein van 5-9-2020 t/m 6-9-2020 verleend;2020-06-05;2020-06-06;Plein;1;Plein 1 - Plein (Centrum, Plein);CENTRUM;81495.162;455173.946;34;4.314887587625159;52.07995365708993
00014IPM21;Le Marie Marche op het Plein van 14-8-2021 t/m 15-8-2021 verleend;2021-08-14;2021-08-05;Plein;1;Plein 1 - Plein (Centrum, Plein);CENTRUM;81495.162;455173.946;35;4.314887587625159;52.07995365708993
00025IPM21;Flagship Market op 29-8-2021 verleend;2021-08-29;2021-08-29;Prins Hendrikstraat;1;Prins Hendrikstraat 1;CENTRUM;80259.505;455581.03;36;4.296775277715412;52.08344660431202
00027IPM21;Braderie Hobbemastraat op 4-9-2021 t/m 5-9-2021 verleend;2021-09-04;2021-09-05;Hobbemastraat;3;Hobbemastraat 3 - Hobbemastraat (Centrum, Hobbemastraat en Hobbemaplein);CENTRUM;80968.484;454147.218;37;4.307428250211668;52.070656547563715
00034IPM21;IPM Platenbeurs op 23-10-2021, gelegen op locatie Plein verleend;2021-10-23;2021-10-23;Plein;1;Plein 1 - Plein (Cetrum, Plein);CENTRUM;81495.162;455173.946;38;4.314887587625159;52.07995365708993
00039IPM21;Zeldzame Mooi op het Lange Voorhout op 3-4-2022 verleend;2022-04-03;2022-04-03;Lange Voorhout;0;Lange Voorhout  - Lange Voorhout (Centrum, Lange Voorhout);CENTRUM;81252.232;455426.005;39;4.311289744471343;52.08218654846781
00043IPM21;Jaarmarkt Scheveningen van 29-7-2022 t/m 31-7-2022, gelegen op het Boulevard  verleend;2022-07-29;2021-07-31;Strandweg;0;Strandweg ;SCHEVENINGEN;78310.088;457939.296;40;4.2678088680464015;52.10437288543751
