Ministerie;Leveranciers;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
AZ;BrandDeli C.V.;2;;;;;;2
AZ;Bureau BlauwGeel B.V.;1;;;;;;1
AZ;Bureau Zuidema B.V.;;;;;2;;2
AZ;Carat Nederland B.V.;3;;;;;;3
AZ;Centraal Boekhuis B.V.;;;;;;1;1
AZ;Christen Unie;;1;;;;;1
AZ;Ciao! Ciao! B.V.;;;;1;;;1
AZ;Cimon B.V.;;;;;;2;2
AZ;Clou, voor Marketing, Informatie en Research;1;;;;;;1
AZ;Co Efficiënt B.V.;2;;;;;;2
AZ;Commerciële Radio Nederland;3;;;;;;3
AZ;Cooking & Booking;;;;1;;;1
AZ;Costuummagazijn A.T. de Wit B.V.;1;;;;;;1
AZ;Da Ponte, Tolk Nederlandse Gebarenstaal;1;;;;;;1
AZ;Danielle Braun;;;;;1;;1
AZ;De Gelderlander;;1;;;;;1
AZ;De Groene Amsterdammer weekbl. voor Nederland;;1;;;;;1
AZ;De Helling;;1;;;;;1
AZ;De Onderzoekspartner;;;;;2;;2
AZ;de Redactietoko;;;;;;1;1
AZ;De Volkskrant B.V.;;1;;;;;1
AZ;De Wittenburg;;;;1;;;1
AZ;Dedicon B.V.;2;;;;;;2
AZ;Deloitte Consulting B.V.;4;;;;;;4
AZ;Duidelijke Taal tekstproducties;;;;;;1;1
AZ;Editor E.;;;;;;2;2
AZ;Effectory B.V.;1;;;;;;1
AZ;Eisma Businessmedia B.V.;;1;;;;;1
AZ;Elsevier Congressen;;1;;;;;1
AZ;EMMA Communicatie B.V.;2;;;;;;2
AZ;Entopic B.V.;1;;;;;;1
AZ;Erdee Media B.V.;;1;;;;;1
AZ;Ergo B.V.;4;;;;;;4
AZ;Erik Hartman Communicatie;1;;;;;;1
AZ;ESB B.V.;;1;;;;;1
AZ;Eurekam Research B.V.;;;;;;1;1
AZ;Evolve B.V.;;;;;1;;1
AZ;Exceed Jazz B.V.;1;;;;;;1
AZ;F & P Media B.V.;2;;;;;;2
AZ;F. C. Klap B.V.;;1;;;;;1
AZ;Fotogeniek;;;;;;2;2
AZ;Frank van Beek Fotografie;;;;;;1;1
AZ;Genootschap Onze Taal;;1;;;;;1
AZ;GfK Intomart B.V.;3;;;;;;3
AZ;GFK Panel Services Benelux;1;;;;;;1
AZ;Grapefish;;;;;;1;1
AZ;Grapes & Olives;2;;;;;;2
AZ;Green Earth Products;;;;1;;;1
AZ;Greengiving;;;;1;;;1
AZ;GroupM B.V.;6;;;;;;6
AZ;Haags Historisch Museum;;1;;;;;1
AZ;HADOKEN;1;;;;;;1
AZ;Hafo B.V.;;;;;;1;1
AZ;Hans de Bruijn Training & Advies;;;;;1;;1
AZ;Hans Roggen Fotografie;1;;;;;;1
AZ;Happy Meat B.V.;;;;1;;;1
AZ;Het Financieele Dagblad B.V.;;1;;;;;1
AZ;Hogeschool Utrecht;;;;;1;;1
AZ;Hollandse Hoogte B.V.;2;;;;;1;2
AZ;Hotel/Restaurant Corona;;;;;1;;1
AZ;HOTTRAFFIC B.V.;3;;;;;;3
AZ;House of Lords;;;;3;;1;3
AZ;HTM Specials B.V.;;;;;;1;1
AZ;I & O Research B.V.;1;;;;;;1
AZ;Igor Design B.V.;;;;2;;;2
AZ;IM3D;1;;;;;;1
AZ;ImPressed druk & print;;;;1;;;1
AZ;In2Content B.V.;1;;;;;3;3
AZ;Intermax Hosting B.V.;2;;;;;;2
AZ;Intomart GfK Group B.V.;;;;;;2;2
AZ;Involve;;;;;1;;1
AZ;Iona Des Indes B.V.;;;;;1;;1
AZ;Ipsos B.V.;1;;;;;;1
AZ;J. van Noord;;;;;;1;1
AZ;J.P. van Soest-Advies voor Duurzaamheid B.V.;;;;;;1;1
AZ;Joris van Hoboken;;;;;;1;1
AZ;Kees Kaptein Teksten;1;;;;;;1
AZ;Kessels & Smit, Development Centers B.V.;;1;;;2;;2
AZ;Kesselskramer;5;;;;;;5
AZ;Kluwer;;1;;;;;1
AZ;Kluwer Opleidingen;;1;;;;;1
AZ;Kring van Kabinetsmedewerkers;;1;;;;;1
AZ;L.H. Punt Heijning;;;1;;;;1
AZ;Leike van Oss Organisatievragen;;;;;1;;1
AZ;Len Middelbeek Communicatie Support;;;;;;1;1
AZ;Lenthe Publishers B.V.;;1;;;;;1
AZ;LexisNexis Benelux;;1;;;;;1
AZ;Lydia Jumelet, Communicatiemanagement;;;;;1;;1
AZ;Mainpress B.V.;;1;;;;;1
AZ;Mangrove B.V.;;;;;;3;3
AZ;Mare Holland B.V.;4;;;;;;4
AZ;Marieke de Ridder Tekst & Training;;;;;;1;1
AZ;Marjon van den Broek Visagie;;;;;;1;1
AZ;Marketresponse Nederland B.V.;1;;;;;;1
AZ;Martijn Beekman Fotografie;;;;;;1;1
AZ;MCW Studio's B.V.;1;;;;;;1
AZ;Measuremail B.V.;2;;;;;;2
AZ;Media Academie B.V.;;;;;1;;1
AZ;Media Benchmark B.V.;2;;;;;;2
AZ;Mediagraphix Studio Smulders;;;;;;1;1
AZ;Memo2 B.V.;2;;;;;;2
AZ;Moeskops B.V.;;;;;1;;1
AZ;N=5 Communicatie-Adviesbureau;3;;;;;;3
AZ;Nationale Beeldbank B.V.;1;;;;;;1
AZ;Nederlands Dagblad B.V.;;1;;;;;1
AZ;Nederlandse Hartstichting;;;;;1;;1
AZ;Netprofiler B.V.;2;;;;;;2
AZ;NEVI-Purspective B.V.;;1;;;;;1
AZ;NIBHV B.V.;;1;;;;;1
AZ;Nic. Oudendijk B.V.;1;;;;;;1
AZ;Noise B.V.;6;;;;;;6
AZ;Novagraaf IP NL B.V.;1;;;;;;1
AZ;Novum Foto;;;;;;1;1
AZ;NRC Handelsblad Weekeditie voor buitenland;;1;;;;;1
AZ;OBT B.V.;1;;;;;;1
AZ;OCLC B.V.;;1;;;;;1
AZ;OmnicomMediaGroup Nederland B.V.;5;;;;;;5
AZ;Omroep Reclame Nederland Sales C.V.;4;;;;;;4
AZ;Ontwerpwerk B.V.;1;;;;;;1
AZ;Ordina Beheer & Outsourcing;1;;;;;;1
AZ;Otto Cramwinckel Uitgever;;1;;;;;1
AZ;P.J. Scheffer;;;;;1;;1
AZ;P.W. Akkerman B.V.;;;;1;;;1
AZ;Paagman Den Haag B.V.;;1;;;;;1
AZ;Paardekooper Verpakkingen B.V.;;;;1;;;1
AZ;Paul Grijpma Media;;;;;;1;1
AZ;Pauline Tjong-Ayong online advies;1;;;;;;1
AZ;PeO;;;;;;1;1
AZ;Phil Nijhuis Fotografie;;;;;;1;1
AZ;Photo Republic;1;;;;1;;1
AZ;Politeia;;1;;;;;1
AZ;Pon Dealer;;;;1;;;1
AZ;Primera Van der Zwaan;;1;;;;;1
AZ;Prisma-IT B.V.;1;;;;;;1
AZ;Prof. mr. B.M. Teldersstichting;;1;;;;;1
AZ;ProFotonet B.V.;1;;;;;1;1
AZ;Promit Ter Haar B.V.;2;;;;;;2
AZ;Propol Produkten B.V.;;;;1;;;1
AZ;Public Partners B.V.;1;;;;;;1
AZ;Publiek Denken;;1;;;;;1
AZ;QuoVadis Trustlink B.V.;1;;;;;;1
AZ;R.J.W. Hulst Agenturen;;;;1;;;1
AZ;Radio 10 B.V.;3;;;;;;3
AZ;Radio 538 B.V.;5;;;;;;5
AZ;Radio Veronica 103 FM B.V.;4;;;;;;4
AZ;RadioCorp B.V.;1;;;;;;1
AZ;Regina Bloemsierkunst;;;;1;;;1
AZ;Regioplan Beleidsonderzoek B.V.;;;;;;2;2
AZ;Rene Verleg Fotografie;1;;;;;1;1
AZ;Renée Broekmeulen Tekst & Training;;;;;;1;1
AZ;Restaurant De Basiliek B.V.;;;;1;;;1
AZ;Robin Utrecht Fotografie;;;;;;1;1
AZ;Roorda Reclamebureau B.V.;7;;;;;;7
AZ;RTL Nederland B.V.;7;;;;;;7
AZ;Ruigrok-NetPanel B.V.;2;;;;;;2
AZ;Sabel Online B.V.;;;;;1;;1
AZ;SBS Broadcasting B.V.;6;;;;;;6
AZ;Schinkelshoek & Verhoog B.V.;1;;;;;;1
AZ;Schrijen-Lippertz MediaNova B.V.;;1;;;;;1
AZ;Schwandt Infographics B.V.;;;;;;1;1
AZ;Scrum Company;;;;;1;;1
AZ;Sdu Uitgevers B.V.;;1;;;;;1
AZ;Simone Langeweg Tekst- en Communicatieadvies;;;;;;2;2
AZ;Sisow B.V.;;1;;;;;1
AZ;Sky Radio B.V.;4;;;;;;4
AZ;Slagerij Dungelmann B.V.;;;;1;;;1
AZ;SLAM! FM;1;;;;;;1
AZ;Soundfocus;;;;;;1;1
AZ;Stadion Books;;1;;;;;1
AZ;Star Project;1;;;;;;1
AZ;Starcom Nederland;3;;;;;;3
AZ;Steam Advertising;1;;;;;;1
AZ;Stg. Kennisinst. Cultuureduc. en Amateurkunst;;1;;;;;1
AZ;Stg. Org. Redd.w. & E.H.B.O. Het Oranje Kruis;;1;;;;;1
AZ;Stichting City Mondial;;;;;1;;1
AZ;Stichting de Idazaal;1;;;;1;;1
AZ;Stichting Ether Reclame;2;;;;;;2
AZ;Stichting Matrijs;;1;;;;;1
AZ;Stichting MOVISIE;;1;;;;;1
AZ;Stichting Reclame Code;1;;;;;;1
AZ;Strandpaviljoen Sport;;;;1;;;1
AZ;Studio 3005;1;;;;;;1
AZ;Studio A Mediamelange;2;;;;;;2
AZ;Studio Clock;1;;;;;;1
AZ;T.D. Hymans;;;;;;1;1
AZ;Taat & De Regt;;;;1;;;1
AZ;Tabula Rasa B.V.;;;;;1;;1
AZ;Taylor & Francis Books Ltd.;;1;;;;;1
AZ;TeamChange Talentontwikkeling;;;;;1;;1
AZ;Techne Press;;1;;;;;1
AZ;Telegraaf Media Groep N.V.;;1;;;;;1
AZ;Textcetera;;;;;;1;1
AZ;The American Book Center;;1;;;;;1
AZ;The text consultant;;;1;;;1;1
AZ;Things To Make And Do;2;;;;;1;2
AZ;Tikkerbell;;;;;;1;1
AZ;Tint, Buro voor Grafische Vormgeving;1;;;;;1;1
AZ;TMG Landelijke Media B.V.;;1;;;;;1
AZ;TNS Nipo B.V.;6;;;;;;6
AZ;Tom van Dijk;;;;;;1;1
AZ;Tonco Modderman Training & Advies;;;1;;1;;1
AZ;Trouw B.V.;;1;;;;;1
AZ;UbachsWisbrun/JWT;6;;;;;;6
AZ;Uitgeverij Paris B.V.;;1;;;;;1
AZ;UMP Research;;;;;;1;1
AZ;Upstream B.V.;;;;;1;;1
AZ;Urgent Vertalen;1;;;;;;1
AZ;V8 Broadcasting B.V.;4;;;;;;4
AZ;Vakmedianet Management B.V.;;1;;;;;1
AZ;Valerie Kuypers Fotografie;1;;;;;;1
AZ;Van der Linde Holding B.V.;;;;2;;;2
AZ;Van Helden;;;;1;;;1
AZ;Van Latesteijn Consultancy B.V.;;;;;;2;2
AZ;Van Mill Fotografie;;;;;;1;1
AZ;Van Vlier Media B.V.;1;;;;;;1
AZ;Vastinvorm;1;;;;;;1
AZ;VCK Travel B.V.;;;;;1;;1
AZ;Veen media;;1;;;;;1
AZ;Veldkamp Marktonderzoek B.V.;3;;;;1;2;4
AZ;Vereniging van Milieuprofessionals;;;;;1;;1
AZ;Vereniging van Vertaalbureaus in Nederland;;;2;;;;2
AZ;Vereniging voor Bestuurskunde;;1;;;;;1
AZ;Verhuurbedrijf Paul;;;;1;1;;1
AZ;Verka extensive B.V.;;;;;;1;1
AZ;Vermaat Leisure B.V.;;;;1;;;1
AZ;Villamedia Uitgeverij B.V.;;1;;;;;1
AZ;W. Eizenga;;;;;1;;1
AZ;Weekbladpers Tijdschriften;;1;;;;;1
AZ;Wezz Traxx;1;;;;;;1
AZ;Whatworks Consultancy B.V.;;;;;;1;1
AZ;Wiebe Kiestra Fotografie;;;;;;1;1
AZ;Wijnkoperij De Gouden Ton;;;;;1;;1
AZ;Winkwaves B.V.;1;;;;;;1
AZ;Wolf Productions B.V.;;1;;;;;1
AZ;Xerox (Nederland) B.V.;2;;;;;;2
AZ;Xillio B.V.;3;;;;;;3
AZ;X-Press Images;;;;;;1;1
AZ;Zelos B.V.;1;;;;;;1
AZ;ZZakenPartner B.V.;;;;;;2;2
BZ;(BBP) Beerens-Business Press B.V.;;;;;;1;1
BZ;7AM B.V.;;;;;;1;1
BZ;a friend of mine;;;;;;1;1
BZ;Abonnementenland;;1;;;;;1
BZ;ANP Photo;;;;;;1;1
BZ;Argo Special Media B.V.;;1;;;;;1
BZ;Art Connected B.V.;;;;;;1;1
BZ;B+B Vakmedianet B.V.;;1;;;;;1
BZ;Bart Maat Fotografie;;;;;;1;1
BZ;Bex*communicatie;;;;;;2;2
BZ;BKB;;;;;;2;2
BZ;Bobbe International B.V.;;5;;;;;5
BZ;bol.com B.V.;;1;;;;;1
BZ;Boom Distributie Centrum;;1;;;;;1
BZ;Buitenlandse Persvereniging in Nederland;;1;;;;;1
BZ;Centraal Boekhuis B.V.;;1;;;;;1
BZ;CGB Services;;1;;;;;1
BZ;Claranet Benelux B.V.;;1;;;;;1
BZ;Comic House;;;;;;1;1
BZ;COMPAREX Nederland B.V.;;3;;;;3;4
BZ;Daleman Lijsten;;;;;;1;1
BZ;Debatacademie;;;;;;1;1
BZ;Double Healix Educational Media B.V.;;1;;;;;1
BZ;Entopic Expert Services B.V.;;;;;;1;1
BZ;Facilion B.V.;;1;;;;1;1
BZ;Femous Productions;;;;;;1;1
BZ;Ferro Explore B.V.;;;;;;2;2
BZ;FreeCollective;;;;;;1;1
BZ;Hollandse Hoogte B.V.;;;;;;1;1
BZ;HTM Specials;;;;;;1;1
BZ;In2Content B.V.;;;;;;2;2
BZ;Indivirtual B.V.;;;;;;2;2
BZ;ING Bank N.V.;;1;;;;1;1
BZ;Jaarbeurs Ontwikkeling B.V.;;;;;;1;1
BZ;Kick Smeets Fotografie;;;;;;1;1
BZ;Koolhaas Concepts B.V.;;;;;;1;1
BZ;Kris Kras Design B.V.;;;;;;3;3
BZ;LexisNexis Benelux;;;;;;1;1
BZ;Logeion;;1;;;;1;1
BZ;Maters & Hermsen Journalistiek B.V.;;;;;;2;2
BZ;MCW Studio's B.V.;;;;;;1;1
BZ;MichielB.com;;;;;;1;1
BZ;Mies/Tekst en Training;;;;;;1;1
BZ;Motivaction International B.V.;;;;;;2;2
BZ;Nederlandse Vereniging voor Burgerzaken;;1;;;;;1
BZ;NFGD Zoetermeer B.V.;;;;;;2;2
BZ;Odmedia B.V.;;;;;;1;1
BZ;Opmeer Machine B.V.;;;;;;2;2
BZ;Protinus IT B.V.;;;;;;2;2
BZ;RauwCC B.V.;;;;;;2;2
BZ;Reed Business B.V.;;1;;;;;1
BZ;Rendement Uitgeverij B.V.;;1;;;;;1
BZ;Reporterservice B.V.;;;;;;2;2
BZ;Sabel Online B.V.;;;;;;2;2
BZ;Schwandt Infographics;;;;;;1;1
BZ;Sdu Uitgevers B.V.;;3;;;;;3
BZ;Soundfocus B.V.;;;;;;1;1
BZ;Sticht. ROI v/h het Rijks Opleidingsinstituut;;;;;;1;1
BZ;Stichting Lokaal Mondiaal;;1;;;;;1
BZ;Stichting Reclame- en Marketing-Onderwijs;;;;;;1;1
BZ;Studio A Mediamelange;;;;;;2;2
BZ;Tappan Communicatie B.V.;;;;;;1;1
BZ;Tint, Buro voor Grafische Vormgeving;;;;;;1;1
BZ;Trapped in Suburbia;;;;;;2;2
BZ;Uitgeverij H. Nelissen B.V.;;1;;;;;1
BZ;Van der Hilst Communicatie-Advies;;;;;;1;1
BZ;Van Stockum, Belinfante & Coebergh B.V.;;1;;;;;1
BZ;VCK Travel B.V.;;;;;;1;1
BZ;Vereniging Bedrijfscollecties Nederland;;1;;;;;1
BZ;Vertaalbureau.nl B.V.;;;;;;1;1
BZ;Westmedia;;;;;;2;2
BZ;Woudschoten Conferentiecentrum B.V.;;;;;;1;1
BZ;Xerox (Nederland) B.V.;;;;;;1;1
BZ;Yune B.V.;;;;;;2;2
BZK;Abonnementenland;;1;;;;;1
BZK;Absoluta Food and Facilities B.V.;;;;;2;;2
BZK;Action Events B.V.;;;;;;1;1
BZK;AD NieuwsMedia B.V.;;1;;;;;1
BZK;Adfo Groep B.V.;;1;;;;;1
BZK;Adviesbureau Reit;;1;;;;;1
BZK;Aedes vereniging van woningcorporaties;;1;;;;;1
BZK;Agripers B.V.;;1;;;;;1
BZK;Amsterdam University Press AUP B.V.;;1;;;;;1
BZK;Amsterdamse Carrière Dagen;;;;;1;;1
BZK;anoniem;2;2;;;;4;4
BZK;ANWB B.V.;;1;;;;;1
BZK;Art of Branding B.V.;;;;;;3;3
BZK;Asp4all Hosting B.V.;;;;;;2;2
BZK;Atos B.V.;;;;;;1;1
BZK;Atos Consulting N.V.;;;;;;2;2
BZK;August Purple;;1;;;;;1
BZK;Auxilium B.V.;;;;;;3;3
BZK;Avelite;;;;;;1;1
BZK;B+B Vakmedianet B.V.;;1;;;;;1
BZK;Balance Juridica;;;;;;1;1
BZK;Baltzer Science Publishers B.V.;;1;;;;;1
BZK;Beleidstheater;;;;;;1;1
BZK;Berghauser Pont B.V.;;1;;;;;1
BZK;Beroepsvereniging Vide;;1;;;;;1
BZK;Bestronics B.V.;;;;;;1;1
BZK;Beuk Touringcars;;;;;1;;1
BZK;BIM Media B.V.;;2;;;;;2
BZK;Binnenlands Bestuur B.V.;;1;;;;;1
BZK;Bio Futura B.V.;;;;;1;;1
BZK;Blomsma Reclame B.V.;;;;;;1;1
BZK;Blomsma Signs & Safety;;;;;;1;1
BZK;BlueBerry Media B.V.;;;;;;1;1
BZK;Bobbe International B.V.;;3;;;;;3
BZK;Boekhandel Couvée;;1;;;;;1
BZK;Boelens Jorritsma Meppel;;;;;;1;1
BZK;Boenders Catering B.V.;;;;;1;;1
BZK;bol.com B.V.;;1;;;1;;1
BZK;Books Unlimited V.O.F.;;1;;;;;1
BZK;Boom Distributie Centrum;;1;;;;;1
BZK;Bourgonje Geluid- en Lichtservice B.V.;;;;;3;;3
BZK;Building Business B.V.;;1;;;;;1
BZK;Bureau Louter;;1;;;;;1
BZK;Calcsoft B.V.;;1;;;;;1
BZK;Centraal Boekhuis B.V.;;1;;;;;1
BZK;CIO Platform Nederland;;1;;;;;1
BZK;CMedia B.V.;;1;;;;;1
BZK;Concorde Group B.V.;;;;;;1;1
BZK;Conjugo Events B.V.;;;;;2;;2
BZK;Coolblue B.V.;;;;;1;;1
BZK;Creator Meeting Support B.V.;;;;;1;;1
BZK;CSC Computer Sciences;;3;;;;;3
BZK;C-Track Benelux B.V.;;1;;;;;1
BZK;Dankers & Frank;;1;;;;;1
BZK;Dare to Design;1;;;;;;1
BZK;Dataland B.V.;2;;;;;;2
BZK;De Correspondent B.V.;;1;;;;;1
BZK;De Haagse Boekerij;;1;;;;;1
BZK;de Persgroep Nederland B.V.;;1;;;;1;1
BZK;DE POUS;;1;;;;;1
BZK;De Ruiter Makelaarshuis;;;;;;1;1
BZK;De Volkskrant B.V.;;1;;;;;1
BZK;Dekoratie Studio Ferry Winkler B.V.;;;;;;1;1
BZK;Delta International Promotioneel B.V.;;;;1;;;1
BZK;DNV GL Business Assurance;;1;;;;;1
BZK;Dos Mundos;;1;;;;;1
BZK;Dotweb Systems B.V.;;1;;;;;1
BZK;Dun & Bradstreet B.V.;;1;;;;;1
BZK;Easy2Rent Bv;2;;;;;;2
BZK;Easyhosting B.V.;;;;;;1;1
BZK;EBSCO Information Services B.V.;;1;;;;;1
BZK;Eisma Bouwmedia B.V.;;1;;;;;1
BZK;Elba Media B.V.;;1;;;;;1
BZK;ER;;;;;;1;1
BZK;European Leadership Platform B.V.;;1;;;;;1
BZK;European Management Development Centre;;1;;;;;1
BZK;Euro-Toilet B.V.;;;;;1;;1
BZK;Facilion B.V.;;;;;;1;1
BZK;Facultatieve Real Estate;;1;;;;;1
BZK;FaMo;;1;;;;;1
BZK;FilmService B.V.;;;;;;1;1
BZK;Fleetlogic B.V.;;2;;;;;2
BZK;Free Musketeers B.V.;;1;;;;;1
BZK;Frisse Blikken ondernemen met talent B.V.;;;;;;1;1
BZK;Gemaco B.V.;;;;1;;;1
BZK;Gemnet B.V.;;1;;;;;1
BZK;Gielissen Exhibitions B.V.;;;;;1;;1
BZK;Gielissen's Bedrijven B.V.;;;;;1;;1
BZK;Gladwell Academy B.V.;;1;;;;;1
BZK;GP Strategies Netherlands B.V.;2;;;;;;2
BZK;Greengiving;;;;;1;;1
BZK;Haai B.V.;;;;;;1;1
BZK;Het Coachhuis B.V.;;1;;;;;1
BZK;Het Financieele Dagblad B.V.;;1;;;;;1
BZK;Het Parool B.V.;;1;;;;;1
BZK;Heuvelman Sound & Vision B.V.;;;;;;1;1
BZK;Holland Service Koeriers C.V.;;;;;;1;1
BZK;Hollandse Hoogte B.V.;;;;;;1;1
BZK;Houtschild Internationale Boekhandel B.V.;;1;;;;;1
BZK;Ideeaanzee B.V.;1;;;;;;1
BZK;Illustre Lieve Vrouwe Broederschap;;1;;;;;1
BZK;Imade;;;;;;1;1
BZK;In2Content B.V.;2;;;;;2;2
BZK;in60seconds B.V.;;;;;;1;1
BZK;Indicator B.V.;;1;;;;;1
BZK;Indicia e-Business B.V.;2;;;;;;2
BZK;INDICIA Interactive;2;;;;;;2
BZK;Instituut van Internal Auditors Nederland;;1;;;;;1
BZK;Intermax Hosting B.V.;;;;;;1;1
BZK;IPMA - NL;;1;;;;;1
BZK;Jongbloed Juridische Boekhandel;;1;;;;;1
BZK;Jongbloed.nl;;2;;;;;2
BZK;Kantoorboekhandel Nieborg B.V.;;1;;;;;1
BZK;Klantocratie B.V.;;1;;;;;1
BZK;Kloosterhof Neer B.V.;;1;;;;;1
BZK;Kluwer Opleidingen;;2;;;;;2
BZK;Kwaliteitsstichting Mediators;;1;;;;;1
BZK;La Red B.V.;;1;;;;;1
BZK;LexisNexis Benelux;;1;;;;;1
BZK;Lof Media B.V.;;1;;;;;1
BZK;Logeion;;1;;;;;1
BZK;Lokapost;;;;;;1;1
BZK;Lyreco Nederland B.V.;;;;;;1;1
BZK;Mainpress B.V.;;1;;;;;1
BZK;Managementboek.nl;;1;;;;;1
BZK;Marz Kreatiek;;;;;1;;1
BZK;Maya-4kids-Parties;;;;;1;;1
BZK;Media Info Groep B.V.;;1;;;;1;1
BZK;Mediatorsfederatie Nederland;;1;;;;;1
BZK;Merk Echt B.V.;1;;;;;1;1
BZK;MMM Interactieve Communicatie;;;;;;1;1
BZK;Museum Catering B.V.;;;;;2;;2
BZK;MVA Communicatie;2;;;;;;2
BZK;MYbusinessmedia B.V.;;1;;;;;1
BZK;MyriadM B.V.;;1;;;;;1
BZK;NaJOU;;1;;;;;1
BZK;Ned. Ver. van Bedr.telecomm. Grootgebruikers;;1;;;;;1
BZK;Nedco Holding B.V.;;;;;;1;1
BZK;Nederl. Ver. van Maatschappelijk Werkers;;1;;;;;1
BZK;Nederland. Vereniging voor Aanbestedingsrecht;;1;;;;;1
BZK;Nederlandse Mediatorsvereniging;;1;;;;;1
BZK;Nederlandse Vereniging voor Vlaggenkunde;;1;;;;;1
BZK;Nestas Communicatie B.V.;1;;;;;;1
BZK;NEVI;;1;;;;;1
BZK;NEVI Purspective;;1;;;;;1
BZK;New Skool Exploitatie B.V.;;1;;;;;1
BZK;Nietraco;;;;;;1;1
BZK;Noloc;;1;;;;;1
BZK;Norea Holding B.V.;;1;;;;;1
BZK;Novagraaf Nederland B.V.;;1;;;;;1
BZK;Novum Foto;;;;;;1;1
BZK;NRC Media Holding B.V.;;1;;;;;1
BZK;NVB Verenig. voor Ontwikkel. & Bouwondern.;;1;;;;;1
BZK;Nvdo, Ned. Verenig. voor Doelmatig Onderhoud;;;;;;1;1
BZK;OCLC B.V.;;1;;;;;1
BZK;Online Business Productions;;1;;;;;1
BZK;OnlyHuman B.V.;;;;;;2;2
BZK;Openbare Bibliotheek Amsterdam;;1;;;;;1
BZK;Optima Forma;;;;;;1;1
BZK;Optima Forma B.V.;;;;;;1;1
BZK;Orde van Organisatiekundigen en- Adviseurs;;1;;;;;1
BZK;Paagman Centrum B.V.;;1;;;;;1
BZK;Pardon Consult;;2;;;;;2
BZK;Performa Uitgeverij B.V.;;1;;;;;1
BZK;Photo Republic;;;;;;1;1
BZK;Postcode.NL B.V.;;1;;;;;1
BZK;PRiMAN Talent Management;;;;;;1;1
BZK;Primera Van der Zwaan;;1;;;;;1
BZK;Projectcolor B.V.;;;;;1;;1
BZK;Promothing B.V.;;;;;;1;1
BZK;PropertyEU B.V.;;1;;;;;1
BZK;Publiek Denken;;1;;;;;1
BZK;Raad voor Arbeidsverhoudingen (RAS);;1;;;;;1
BZK;RAI Amsterdam B.V.;;;;1;;;1
BZK;Realmark;;;;;;2;2
BZK;Redrum Bureau B.V.;;;1;;;;1
BZK;Reed Business;;1;;;;;1
BZK;Reed Business B.V.;;1;;;;;1
BZK;Region B.V.;;1;;;;;1
BZK;Remlicht;;;;;;1;1
BZK;Rendement Uitgeverij B.V.;;1;;;;;1
BZK;Ris Information Systems;1;;;;;;1
BZK;Riverpark Films;;;;;;1;1
BZK;RNVC;;1;;;;;1
BZK;Schoonhoven Bedrijfsmakelaardij B.V.;;;;;;1;1
BZK;Sdu B.V.;;1;;;;;1
BZK;Sdu Uitgevers B.V.;;1;;;;;1
BZK;Security Press B.V.;;1;;;;;1
BZK;Sendsteps B.V.;;1;;;;;1
BZK;Sligro B.V.;;;;;1;;1
BZK;Snelle Vliet Touringcars B.V.;;;;;1;;1
BZK;Sterkindesign;;1;;;;;1
