Leveranciersnaam;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
CAPGEMINI NEDERLAND;;;;4;;;;;4
Capgemini Nederland B.V.;;;7;2;7;7;;8;9
Cascadis;;;;;;;;1;1
CENDRIS CUSTOMER CONTACT;;;;5;;;;;5
CENDRIS DATACONSULTING;;;;1;;;;;1
CENTER FOR INTERNATIONAL LEGAL COOPERATION STICHTING;;;1;;;;;;1
Central Point Nederland B.V.;;7;2;;;;5;;7
CentralPoint.nl;;1;;;;;;;1
Centric;;;1;2;7;4;;;7
CGI NEDERLAND;;;;2;;;;;2
CGI Nederland B.V.;;;;;5;3;;8;8
CIMSOLUTIONS;;;;;;;;2;2
Claranet Benelux B.V.;;;1;;1;;;1;1
Cloud Seven B.V.;;;;;;;1;;1
CM Telecom B.V.;;1;;;;7;2;1;7
Co & Co Solutions B.V.;;;;;4;;;;4
CoCo Tech;;;;;;;;1;1
COMPAREX NEDERLAND;;;;3;;;;7;7
COMPAREX Nederland B.V.;;4;4;7;9;2;;5;9
Compumatica Secure Networks B.V.;;5;4;;;;1;;5
COMPUTEL STANDBY;;;;1;;;;;1
Computest;;;;;;;;3;3
Computest Services B.V.;;;4;;;;;;4
Coney Analytix;;;;;1;;;;1
Connected Information Systems B.V.;;;;;;;;1;1
CONNICTED IT SOLUTIONS;;;;;;;;2;2
Content Kings B.V.;;;;;;;;2;2
CONTEXT IS EVERYTHING;;;;;;;;2;2
Contracto B.V.;;;;1;1;;;;1
Controle Support B.V.;;;;;;;;2;2
Cool Blue;;1;;;;;;;1
Coöperatieve vereniging OpenGeoGroep UA;;;2;;;;;;2
COT Inst. voor Veil.h.- & Crisismanagem. B.V.;;;;;;1;;;1
Covalent Infra Technology Solutions B.V.;;;5;5;;;;;6
CRMATCH;;;;4;;;;;4
CTMabc;;;1;;;;;;1
CUSTOMER REVOLUTION;;;;1;;;;1;1
DALOSY PROJECTEN;;;;1;;;;;1
Damme Kunststoffen;;;;;;;;1;1
DANKERS & FRANK;;;;;;;;2;2
De Horeca Academie Zakelijk BV;;;;;;;;1;1
DE REDACTIE;;;;;;;;4;4
DE REE;;;;3;;;;;3
De Resolutie;;;;;;;;1;1
De Stroopwafelwinkel;;;;;;;;1;1
De Zilveren Vosch vergader-en congresaccomodatie;;;;;;;;2;2
DEKOM B.V.;;;;;;2;;;2
Deloitte Consulting B.V.;;;;;;;;3;3
Detron Communication Solutions;;3;2;4;6;;5;3;7
Diergaande Blijdorp;;;;;;;;1;1
Digidentity B.V.;;;;;1;;;2;2
DIGITAL ANTS;;;;;;;;1;1
Digital River GmbH;;;;1;;;;1;1
DOCSPRO;;;1;1;;;;2;2
Domstad Cursus -en Vergadercentrum;;;;;;;;1;1
Dong IT;;;;;;;;1;1
Dotweb Systems B.V.;;;;3;2;;;;3
DPI Animation House B.V.;;;;;;;;1;1
DRIEBIT;;;;2;;;;;2
DRIEBIT HOSTING;;;;1;;;;;1
Drukwerkdeal.nl;;;;;;;;1;1
Duett B.V.;;;;;2;;;;2
DUTCH GIRAFFE;;;;;;;;1;1
Dutch Punch;;;;;;;;1;1
E J Consultants LTD;;;;;;;;1;1
Easydus B.V.;;;;1;;;;;1
EASYLOCATE;;;;;;;;2;2
Eenhoorn Meeting Center;;;;;;;;1;1
Ehrm Vision;;;;;2;;;;2
Eleqtron;;;1;;;;;;1
Elgersma Mediaproducties;;;;;;;;1;1
EMC Computer Systems (Benelux) B.V.;;;;;6;;;;6
EMMA COMMUNICATIE;;;;4;;;;;4
EMMA Communicatie B.V.;;;;;;;;1;1
EnablE-U B.V.;;;;;;2;;;2
Enterprise Services Nederland B.V.;;;;2;;;;;2
Entopic B.V.;;;1;;;;;;1
EPAM Consulting;;;;3;;;;;3
Ericsson Telecommunicatie B.V.;;;;;;;1;;1
Ernst & Young Certifypoint B.V.;;;;;;;;4;4
Esri Nederland;;;;4;;1;;;4
EUROPEAN DATAWAREHOUSE;;;;1;;;;;1
European Public Law Organization;;;;;;;;2;2
Evention Inc.;;;;;1;;;;1
Exact Software Nederland B.V.;;;;;3;;;;3
Experis Nederland B.V.;;;;;;;;1;1
Explore-IT B.V.;;;;;1;;;;1
Expo Display Service;;;;;;;;1;1
ezCompany B.V.;;;;;;;;2;2
FACILION;;;;2;;;;;2
Fast Moving Targets;;;;;;;;1;1
FastSpring;;1;;;;;;;1
FINALIST;;;;1;;;;;1
Firm Ground;;;;;;;;1;1
Flashbay Limited;;;;;;;;1;1
Fletcher Hotel Restaur. Loosdrecht-Amsterdam;;;;;;;;1;1
FLORIJN BUSINESS SOLUTIONS;;;;1;;;;;1
Flowlogics;;;;;;;;2;2
FOR CONFERENCE;;;;1;;;1;;1
For Conference B.V.;;;;;;;;1;1
Forrester research ltd.;;;;;2;;;;2
FORSITE MEDIA;;;;1;;;;;1
FORTES SOLUTIONS;;;;;;;;1;1
FOX-IT;;;;;;;;3;3
Frozen Rockets;;;;;;;;1;1
Fujitsu Technology Solutions B.V.;;8;6;2;3;3;;7;9
Futureproof Document Solutions;;;;;2;;;1;2
G.E.T. Nederland B.V.;;;;1;;;;;1
GARTNER NEDERLAND;;;;2;;;;;2
Gartner Nederland B.V.;;;;2;;;;4;4
GAZMEDIA;;;;;;;;1;1
GBL ICT B.V.;;;;;;1;;;1
gefeliciTAART B.V.;;;;;;;;1;1
GeoPhy B.V.;;;2;;;;;;2
Golden Tulip Zoetermeer-Den Haag;;;;;;;;1;1
Grand Hotel Karel V Utrecht;;;;;;;;1;1
Greenonline B.V.;;;;;;;1;;1
GT-ADVIES;;;;;;1;;;1
GTS-Online B.V.;;;1;;;;;;1
GW Cross Media B.V.;;;;1;;;;;1
HAFO speciaalzaak voor foto en video;;1;;;;;;;1
Hampshire Hotel Groningen Centre;;;;;;;;1;1
HeadFirst B.V.;;;;2;;;;1;2
Heuvelman Sound & Vision B.V.;;6;6;;;;;;7
Hewlett Packard Enterprise B.V.;;;;;2;;;;2
Hodac B.V.;;;1;;;;;;1
Hoffmann Bedrijfsrecherche B.V.;;;2;1;;;;;2
Hollandse Hoogte;;;;;;;;1;1
Hollandse Telecommunicatie Maatschappij;;;;;;;1;;1
HTA software;;;;;1;;;;1
HVR GROUP;;;;;;;;4;4
i2a2 Interim proffessional en advies;;;;;;;;1;1
IBABS;;;;1;;;;;1
IBM Nederland B.V.;;;;;7;;;;7
Icrow B.V.;;;;;1;;;;1
ICTRecht BV;;;;;;;;1;1
ICTroom Company B.V.;;2;;;;;;;2
ID Ware International B.V.;;1;;4;7;5;;;7
Idemia The Netherlands BV;;;;;;7;;;7
Identiteit & Diensten B.V.;;;;;;7;;;7
IITTIG-CNR;;;;3;;;;;3
ILC;;;;;;;;1;1
ILUMY INNOVATION B.V.;;;;3;;;;;3
IN2CONTENT;;;;1;;;;;1
In2Content B.V.;;;;;;;;2;2
IN60SECONDS;;;;;;;;2;2
INFOPROJECTS;;;;2;;;;1;2
Informed Consulting B.V.;;;;;1;;;;1
Informed Products B.V.;;;;2;1;;;;2
Infotheek Groep B.V.;;7;;3;;;;2;7
Infotheek ICT Services B.V.;;;;;;1;;;1
ING Corparate Card;;;;;1;;;;1
Inkesta B.V.;;;;1;;;;;1
INKOOP 3.0;;;;;;;;1;1
INNOVALENT;;;2;;;;;;2
InnoValor B.V.;;;;;;;;2;2
INNOVERO SOFTWARE SOLUTIONS;;;;1;;;;;1
Innovero Software Solutions B.V.;;;;;1;;;;1
Inntel Hotels Art Eindhoven;;;;;;;;1;1
InsightsWorld B.V.;;;;;1;;;;1
INSPRING MEDIA B.V.;;;1;2;;;;;2
Intelec Systems B.V.;;;;1;;;;;1
Inter Access B.V.;;;;;1;;;4;4
INTERMAX HOSTING;;;;;;;;1;1
Intermax outsourcing;;;;;2;1;;;2
Internedservices;;;;1;;;;;1
Interpulse Automatisering B.V.;;;;;;1;;;1
Interval B.V.;;;;;;1;;;1
InVisionApp;;1;;;;;;;1
Involon B.V.;;;;1;;;;;1
IOVIO BPT B.V.;;;;;2;;;;2
IRIS INTERNATIONAL;;;;1;;;;;1
IS Group BV;;;;;2;2;;;2
IT Management Group;;;2;;;;;1;2
ItaQ;;;;;;;;2;2
IT-STAFFING NEDERLAND;;;;;;;;5;5
IVU TRAFFIC TECHNOLOGIES;;;;4;;;;;4
iWelcome B.V.;;;;;2;;;;2
Jaarbeurs B.V.;;;;;;;;2;2
Jakajima;;;;;;;;1;1
JetBraines;;;;;;;;1;1
Kaliber Interactive B.V.;;;;;2;;;6;6
KING Kwaliteits Instituut nederlandse Gemeenten;;;;;;;;3;3
Klantenservice Federatie;;;;;;;;1;1
Klevant Groen;;;;;;;;2;2
KnowledgePlaza Professional Services B.V.;;;;2;5;1;;4;5
Konica Minolta Business Solutions Nederland B.V.;;;2;;;;;;2
Koning & Hartman B.V.;;;1;;;;6;;6
Koninklijke Kampert en Helm Rotaform B.V.;;;;;;;;4;4
KPMG Advisory N.V.;;;;;;;;4;4
KPMG BUSINESS ADVISORY SERVICES;;;;;;;;2;2
KPN (vaste telefonie);;;;;;;1;;1
KPN ADM 160 VASTE VERBINDINGEN;;;;;;;1;;1
KPN B.V.;;;;;9;3;7;8;9
KPN B.V. t.n.v.Trusted Autorisatie Service;;;;;1;;;;1
KPN Consulting B.V.;;;;;;;2;7;7
KPN Corporate Market;;;1;1;5;2;;2;5
KPN Insurance Company;;;;;;;1;;1
KPN Internedservices B.V.;;;;1;;;;1;1
KPN Lokale Overheid (Gemnet B.V.);;;;;;;1;;1
KPN Lokale Overheid (voorh Gemnet);;;;;;7;;;7
KPN Mobile International B.V.;;;;;;1;;;1
KPN TELECOM;;;;;;;1;;1
KPN Ventures B.V.;;;;;;;1;;1
KPN/GETRONICS;;;;;;;1;;1
Kransen IT;;;;;2;5;;;5
LDC Uitgeverij B.V.;;;;;1;;;;1
Lean Six Sigma Groep B.V.;;;;;;;;1;1
LeaseWeb;;;;;;;;2;2
Leoprinting;;;;;;;;1;1
LimoenGroen B.V.;;;;;;;;1;1
LINKIT B.V.;;;;;;;;1;1
LOYALS ONLINE B.V.;;;;;;;;1;1
Luna.nl B.V.;;;;;;1;;;1
Madame Moustache;;;;;;;;1;1
Madurodam B.V.;;;;;;;;1;1
MAHIEU WEB DEVELOPMENT;;;1;;;;;;1
Management Centrum Partners B.V.;;;;;;;;3;3
Management Producties;;;;;;;;1;1
Mangrove;;;;2;;;;;2
Mangrove B.V.;;;;;;;;2;2
Marosel B.V.;;;;;;;;3;3
Maslow;;;;;;;;1;1
MathAlex;;;;;;;;1;1
Mavim B.V.;;;1;;2;;;;2
Maxd'Oro B.V.;;;;;1;;;;1
Maykin Media;;;;;;;;2;2
Mazars;;;;;;;;4;4
MENTIMETER AB;;;;1;;;;;1
Messagebird;;;;;;;1;;1
MessageBird B.V.;;;;;;;1;;1
METIER ACADEMY BENELUX;;;;;;;;2;2
METRI;;;;;;;;1;1
MetrixLab Nederland B.V.;;;;;;;;2;2
METT B.V.;;;;2;;;;;2
Meurs HRM;;;;2;2;;;;2
mijndomein.nl B.V.;;;;1;;;;;1
Milú;;;;;;;;1;1
MILVUM;;;;2;;;;;2
Ministery of Justice of the republic of Croatia;;;;;;;;2;2
MINTLAB B.V.;;;;;;;;1;1
Misco Solutions B.V.;;9;6;5;1;;;;9
MK2 Audiovisueel Verhuur B.V.;;1;;;;;;;1
MMM Interactieve Communicatie;;;;;1;;;;1
Mobile Mindz B.V.;;;;1;;;;;1
MOBILEE CONSULTANCY;;;;;;;;1;1
Moduli Print B.V.;;;;;;;;1;1
Morpho B.V.;;4;;7;2;;;;7
Motivacation;;;;;;;;1;1
Motus BV;;;;;;;;1;1
Mproof Beheer B.V.;;;;;2;;;;2
Multi Post;;;;;;4;;;4
Multi Vlaai Utrecht BV;;;;;;;;1;1
Muntgebouw Utrecht;;;;;;;;1;1
myBrand;;;2;1;;;;;2
Nationale Beeldbank B.V.;;;;;;;;1;1
NCC Group Escrow Europe B.V.;;;;1;;;;;1
Ncoi Nederlands Commerc. Opleidings Instituut;;;1;;;;;;1
Nederlandweb.nl;;;1;;;;;;1
Nemesys Telecommunicatie;;;;1;4;;;;4
NetAxis Solutions;;;;;;;;2;2
NETCREATORS B.V.;;;;2;;;;3;3
Nétive VMS B.V.;;;;;5;;;;5
Network Innovations;;;;;;;3;;3
Network Innovations Services;;;;;;;;5;5
Network Operations;;;;;1;;;;1
Networking4all B.V.;;;;;1;;;;1
NEW BABYLON MEETING CENTER B.V.;;;;;;;;2;2
Nibble IT B.V.;;;;;2;;;;2
Notificare BV;;;;1;;;;;1
NRC Media;;;;;;;;1;1
NubiloSoft B.V.;;;;;2;;;;2
O. s.P.L. Nederland B.V.;;;1;;;;;;1
OBI WEBHOSTING;;;;1;;;;;1
OCLC;;;1;;;;;;1
Odyssee B.V.;;;;1;;;;;1
Office Athletes B.V.;;1;;;;;;;1
OFFICE DEPOT;;;;1;;;;;1
Omnext B.V.;;;;;2;;;;2
onelevel tekstbureau;;;;;;;;1;1
ONESTO AUTOMATISERING;;;;1;;1;;;1
ONLY HUMAN;;;;;;;;2;2
Oostduinhaghe Hotel B.V.;;;;;;;;1;1
Open Ateliers B.V.;;;1;;;;;;1
Open Netlabs BV;;;;;;;;1;1
Open Preservation Foundation;;;;;;;;3;3
Openindex;;;;;;;;1;1
Opleidingscentrum Haaglanden B.V.;;;2;;;;;;2
Oracle Benelux Usergroups;;;;1;;;;;1
Oracle Nederland;;;;7;6;;;1;7
Orcavoice B.V.;;;;;;;1;;1
Ordina Beheer & Outsourcing;;;1;;;;;;1
Ordina N.V.;;;;;7;1;;4;7
Ordina Nederland B.V.;;;;;;;;3;3
Ordina Technologie & Competenties B.V.;;;;;4;;;4;5
Oribi Software B.V.;;;;;4;;;;4
Oscity.nl;;;;;;;;1;1
Othersight;;;;;;;;1;1
Otys International B.V.;;;;;2;;;;2
PANKRA;;;;1;;;;;1
PANTEIA B.V.;;;;;;;;1;1
Pardon Consult;;;;;1;;;2;2
PBLQ B.V.;;;2;;;3;;3;4
PBLQ HEC;;;;;;;;1;1
PeP;;;;;;;;1;1
Pink Business Intelligence;;;;2;2;;;;2
Pink Elephant;;;;2;3;1;;;3
PinkRoccade Local Government;;;;3;;;;;3
PLANON B.V.;;;2;2;5;;;;6
Plein 10a BV;;;;;;;;1;1
Portiva B.V.;;;;;;;;2;2
POSTCODE NL;;;;1;;;;;1
Pouw Vervoer;;;;;;;;1;1
PQR B.V.;;7;5;;2;6;;3;7
PREVIDER;;;;1;;;;1;1
Pricewaterhousecoopers N.V.;;;;;1;2;;4;4
PRIME CONTACT;;;;;;;;2;2
Pro Warehouse B.V.;;2;;;;;;;2
Prolan;;;1;;;1;;;1
Promio;;;;;;;;1;1
PROTINUS IT;;;5;3;;;;;5
Protinus IT B.V.;;9;7;7;7;5;7;5;10
PT Business Services B.V.;;;;;;;1;;1
Publiek Denken;;;;;;;;2;2
Puur IT;;;;;;2;;;2
PvIB Platform voor InformatieBeveiliging;1;;;;;;;;1
Q DELFT;;;;4;;;;;4
QS solutions B.V.;;;2;;;;;;2
Quality Support B.V.;;;;;;;;1;1
QUINT WELLINGTON REDWOOD NEDERLAND B.V.;;;;;;;;2;2
QuoVadis Trustlink B.V.;;;;4;2;;;;4
RAATWERK;;;;1;;;;;1
RBIT INFORMATICA B.V.;;;;;;;;2;2
RDMG Uitgeverij B.V.;;;;1;;;;;1
ReadSpeaker B.V.;;;;;1;;;;1
RedNose IT B.V.;;;;3;6;;;;6
Redplume;;;;;;;;1;1
Regas IP B.V.;;;;;1;;;;1
Registrite ja Infosusteemide keskus;;;;2;;;;;2
RenA IT Consultancy;;;;;;;;2;2
Retriever Media Informatie B.V.;;;;;1;;;;1
Ricoh Nederland B.V.;;;3;;;;;;3
RIPE NCC;;;;;;1;;;1
Rogier Elshout;;;;;;;;1;1
Rosarium;;;;;;;;1;1
RUIMTELIJK ECONOMISCH ATELIER;;;;;;1;;;1
Rusch Consultancy B.V.;;;;;1;;;;1
Sabel Communicatie B.V.;;;;;;2;;3;3
Safety Control Real Estate B.V.;;;;;;1;;;1
SAIT B.V.;;;;;;;2;;2
SAP Nederland B.V.;;;;5;7;;;;7
Scan Sys B.V.;;;;;1;;;;1
Scholten Awater B.V.;;7;7;4;6;;;;8
Schut-Copex B.V.;;5;;;;;;;5
SDL Netherlands B.V.;;;;;1;;;;1
SDU UITGEVERS B.V.;;;;;1;;;;1
Seats2Meet.com Utrecht B.V.;;;;;;;;2;2
Sectra Communications B.V.;;;;;;;4;;4
SEEBURGER Benelux;;;;;2;;;;2
Semansys Consultancy BV;;;;;;;;2;2
SENZ;;;;;;;;1;1
Service Management Technology eXperts B.V.;;;;;1;;;;1
SG Equipment Finance Benelux B.V.;;;;;5;;;;5
SGOA;;;;;;;;1;1
SHARENL;;;;1;;;;;1
SHARP ELECTRONICS BENELUX;;;1;;;;;;1
Signalutions B.V.;;;;;;1;;;1
Siteimprove BV;;;;;;;;1;1
Snelle Vliet Touringcars B.V.;;;;;;;;1;1
SNIJDERS;;;1;;;;;;1
SOFTCROW TRUSTED ELECTRONIC SERVICES;;;;1;;;;;1
Softline Solutions Netherlands B.V.;;;;;;;;2;2
Software Improvement Group B.V. (SIG);;;;;;;;2;2
SoftwareONE B.V.;;;;4;9;;;;9
SoftwareONE BV;;;;;;;;1;1
Sogeti Nederland B.V.;;;;;;3;;7;7
Sol Y Luna Advies, Training en Begeleiding;;;2;;;;;;2
Solvinity;;;;;1;;;;1
Spaces Rode Olifant B.V.;;;;;;;;1;1
Spitz Congres enEvent;;;;;;;;1;1
Sportsdesign Utrecht B.V.;;;;;;;;1;1
Spotler Nederland B.V.;;;;;1;;;;1
Stabiplan BV;;;;;2;;;;2
STAPLES NEDERLAND;;;1;;;1;;;1
Staples Nederland B.V.;;1;;;;;;;1
STB AUTOMATISERING EN ADVIES;;;1;1;;;;;2
Stedin Netbeheer B.V.;;;3;;;;;;3
Stemmenbank.nl;;;;;;;;1;1
Stg. Standaardbestek Burg.- en Utiliteitsbouw;;;1;1;;;;;1
Sticht. Internet Domeinregistratie Nederland;;;;;1;;;;1
STICHTING ACCESSIBILITY;;;;;2;;;2;2
Stichting beheer derden gelden X-Pact;;;;;;;;2;2
Stichting Beheer Derdengelden X Pact;;;;;;;;1;1
Stichting Nlnet;;;;;;;;2;2
Stichting Pleio;;;;2;;;;1;2
Stichting RINIS;;;;;;3;;;3
STICHTING SBRCURNET;;;;1;;;;;1
Stichting Simplerinvoicing;;;;;;;;1;1
STIJLVAN;;;;;;;;1;1
Stolk Deutschland B.V.;;;;;;;1;;1
Sumatra Software B.V.;;;;;1;;;;1
Survey Monkey;;1;;;;;;;1
SurveyMonkey;;;;;1;;;;1
SWIS;;;;1;;;;;1
Sysqa B.V.;;;;;;;;4;4
T & T COMPETENT;;;;1;;;1;1;1
T&T Compet&t.b.v.;;;1;;;;;;1
Talmundo Netherlands B.V.;;;;;1;;;;1
TAM TAM;;;;;;;;1;1
TANGRAM;;;;2;;;;2;3
TAPPAN COMMUNICATIE;;;;1;;;;;1
Team Biesbosch B.V.;;;;;;;;1;1
TEC / CAD College B.V.;;;1;;;;;;1
Technosoft B.V.;;;1;;;;;;1
Tele2 Nederland B.V.;;;;;;2;7;;7
Telegrootgebruik B.V.;;;;;;1;;;1
Telengy Management en Advies BV;;;;;;;;1;1
Telfort winkel;;;;;;;1;;1
Telfort Zakelijk B.V.;;;;;;;1;;1
Telindus-ISIT B.V.;;9;6;3;8;7;4;;9
Textinfo B.V.;;;;6;;;;;6
THE RIGHT PRODUCTIONS;;;;1;;;1;;1
Tilaa.com;;;;;;;;1;1
TimeTell B.V.;;;;;1;;;;1
T-MOBILE NETHERLANDS;;;;;;;1;;1
Toby enzo;;;;;;;;1;1
TOTE-M;;;;;;;;2;2
Transformation Technologies B.V.;;;;;2;;;;2
Transposafe;;;;;;;;1;1
Trinoco;;;;;;;;1;1
Trusted Autorisatie Service;;;;;;;;1;1
Trusted-ID B.V.;;;;;1;;;;1
TWO KINGS;;;;3;;;;;3
U&I Learning Nederland B.V.;;;1;;;;;;1
UL TS B.V.;;;;;;;;1;1
Ultimo Software Solutions B.V.;;;1;;;;;;1
UniCarriers Netherlands B.V.;;1;1;;;;;;1
Utimaco;;;;;;;;2;2
Vakmedianet Bouwdata B.V.;;;;;;;1;;1
Vakmedianet Government BV;;;;1;;;;;1
Valori High Performance Maintenance B.V.;;;;;;;;2;2
Valsplat B.V.;;;;;;;;2;2
Van Buttingha Wichers Notarissen;;;;2;;;;;2
Van der Valk Hotel Akersloot;;;;;;;;1;1
Van Ottele Communicatie;;;;;;;1;;1
Van Zijderveld;;;;;;;;1;1
Vasco Data Security NV;;;1;;1;;;;1
VCD CSS;;;;;3;;;;3
VCK Travel B.V.;;;;;;;;1;1
Verdonck, Klooster & Associates B.V.;;;;;;;;5;5
Verizon Nederland B.V.;;;;;;;1;;1
VERT VAN NED IN DE NED ANTILLEN;;;;;;;1;;1
Vertaalbureau Perfect B.V.;;;;;;;;1;1
vertalen.nl;;;;;;;;1;1
Vicrea Solutions B.V.;;;2;;;;;;2
VIP INTERNET;;;;1;;;;;1
Virtu Secure Webservices B.V.;;;;;3;9;;10;10
Virtual Security;;;;;;;;1;1
Visma Software B.V.;;;;;2;;;;2
Vitasys B.V.;;2;;;;;;;2
VITASYS BV;;;;1;;;;;1
Vodafone;;;;;;;6;;6
Vodafone Libertel B.V.;;;;;;1;8;;8
Volker Wessels Telecom Infra B.V.;;;;;;3;2;;3
Vos Olie & Gas B.V.;;2;2;;;;;;2
WebEx Communications B.V.;;;1;;1;;;;1
Webhelp Nederland B.V.;;;;;;4;;7;7
Webscale B.V.;;;;;;1;;2;2
Webservices.nl B.V.;;;;;1;;;;1
WORTH IT WEBDEVELOPMENT;;;;2;;;;;2
WOT-P Promoproducts;;;;;;;;1;1
WP SMART HOST;;;;1;;;;;1
WP SUPPORT B.V.;;;;1;;;;;1
WWPLUS;;;;3;;;;;3
Xerox (Nederland) B.V.;;5;7;;;1;;2;7
XEROX NEDERLAND;;;;1;;;;;1
XL Knowledge;;;;;;;;2;2
XS4ALL INTERNET;;;;;;;1;;1
XS4ALL Internet B.V.;;;;;1;;1;;1
Ya Works Projects B.V.;;;;;;;;2;2
Yacht;;;;;;;;1;1
Yogastudio108;;;;;;;;1;1
Yune Creative Content Company;;;;;;;;2;2
Zaaksysteem.NL (Mintlab);;;;4;;;;;4
Zendesk Inc;;;;;1;;;;1
Ziggo B.V.;;;;;;;3;;3
Ziggo Services B.V.;;;;;;;1;;1
Ziggo Zakelijk Services B.V.;;;;;;1;1;;1
Ziggo Zakelijk Services BV;;;;;;1;;;1
Zoloo;;;;;;;;2;2
ZURICH LEVEN;;;;1;;;;;1
Zwolse Theaters;;;;;;;;1;1
ZYLON INTERNET SERVICES;;;;1;;;;;1
Eindtotaal;1;11;9;9;11;10;9;11;13
