;9302 - Laboratoriummaterialen;9304 - Aankoop onderzoeksmateriaal;9520 - BZK specifiek;9530 - DEF specifiek;9550 - Fin specifiek;Eindtotaal
Broekema.Nielsen Notarissen N.V.;;;1;;;1
Brondool B.V.;;;;3;;3
Bruijns Glas en Schilderwerken;;;;1;;1
BTL Realisatie B.V.;;;;3;;3
BTS;;;;1;;1
bur. VERBEEK landsch.arch./ecol./sted. ontw.;;;;2;;2
Bureau Bouwkunde Nederland;;;2;;;2
Bureau De Wit B.V.;;;1;;;1
Bureau Meervelt;;;;1;;1
Bureau Waardenburg B.V.;;;;3;;3
bureau ZWIRT;;;;2;;2
Buren N.V.;;;2;;;2
Buren Systems International B.V.;;;;1;;1
Buro Bentheimer;;;1;;;1
Buro SL B.V.;;;2;;;2
Buro Springweg B.V.;;;1;;;1
Buysen Schilders B.V.;;;;2;;2
BVA Auctions B.V.;;;1;;;1
C.P.F.C. van Meel Holding B.V.;;;1;;;1
CAG;;;1;;;1
Cahoots;;;1;;;1
Caminada Notarissen;;;1;;;1
Cannock Chase;;;1;;;1
Cannock Chase Public;;;1;;;1
Cardietech Nederland B.V.;;;1;;;1
Castermans Engineers B.V.;;;;1;;1
Centraal Bureau Bouwbegeleiding B.V.;;;;1;;1
Centraal Bureau voor Genealogie;;;3;;;3
Christiaan Weiler Architecte ir. Msc.;;;;1;;1
Chubb Fire & Security B.V.;;;;6;;6
Circular Interiors B.V.;;;2;;;2
City Dust Studio;;;;1;;1
Civil, Environmental & Geotechnical Engineers Caribbean;;;;2;;2
Coaton B.V.;;;;1;;1
Cobra adviseurs B.V.;;;2;;;2
Coform B.V.;;;2;1;;2
Compagnon B.V.;;;3;;;3
Conan B.V.;;;;4;;4
Con-c B.V.;;;4;;;4
Constructie Bureau De Prouw B.V.;;;1;;;1
Cormet Enjoy the Good Life B.V.;;;;1;;1
Cornelissen Aannemingsbedrijf B.V.;;;;4;;4
Crawford;;;;1;;1
Crimson Historians and Urbanists;;;;2;;2
Croon advocaten N.V.;;;;2;;2
Croon Elektrotechniek B.V.;;;;2;;2
CROWNE PLAZA;;;1;;;1
Cruydt-Hoeck;;;1;;;1
CSC Installatie B.V.;;;;5;;5
CSU B.V.;;;;1;;1
Cuppens en Zn. Aannemers B.V.;;;;5;;5
Curacaose Wegenbouw Mij. B.V.;;;;1;;1
Cushman & Wakefield V.O.F.;;;2;;;2
DÃƒÂ© Vastgoedbeschermer B.V.;;;1;;;1
DaF-architecten;;;;2;;2
DBH Business Services International B.V.;;;1;;;1
De Breet Notariaat B.V.;;;1;;;1
De Burgerij;;;;1;;1
De Comme B.V.;;;;1;;1
De Cooker Notariaat;;;1;;;1
De Dakdokters Groep B.V.;;;3;;;3
De Dijken Agrarische Makelaardij B.V.;;;1;;;1
De Enk Groen & Golf B.V.;;;;2;;2
De Federatie B.V.;;;;1;;1
De Groene Ruimte B.V.;;;;2;;2
De Groot Brandwachten B.V.;;;;1;;1
De Haan;;;1;;;1
De Haan & Hilbers notarissen;;;1;;;1
De Haan Advocaten & Notarissen;;;1;;;1
De Kabath Vastgoedbescherming B.V.;;;1;;;1
De Kim Hekwerk;;;1;;;1
De Meeuw Oirschot B.V.;;;;6;;6
De Mik Adviesbureau;;;1;;;1
de Persgroep Nederland B.V.;;;;1;;1
De Ruiter Mos Netwerk Notarissen;;;1;;;1
De Smelt B.V.;;;;2;;2
De Vlieg Techniek B.V.;;;;5;;5
De Vries Projekt Design B.V.;;;;1;;1
De VriesVellenga Leenknegt Notarissen B.V.;;;1;;;1
De Wijde Blik B.V.;;;2;;;2
De Wijkplaats B.V.;;;;1;;1
De Zeeuwse Alliantie;;;1;;;1
Debuco Advies B.V.;;;2;;;2
Decos Software Engineering B.V.;;;2;;;2
Deerns Nederland B.V.;;;;3;;3
Dekker Notaris(sen) Rotterdam B.V.;;;2;;;2
Delta Infra B.V.;;;;4;;4
Demton B.V.;;;3;;;3
Den Ouden Aannemingsbedrijf B.V.;;;;4;;4
Denios B.V.;;;;2;;2
DGMR Bouw B.V.;;;1;;;1
Dialogic Innovatie & Interactie;;;2;;;2
DJEU Scheepvaart B.V.;;;1;;;1
DKC Koudetechniek B.V.;;;;2;;2
DLA Piper Nederland N.V.;;;1;;;1
Doorn Jacobs Notarissen B.V.;;;1;;;1
DPI;;;2;;;2
DPI Animation House B.V.;;;;2;;2
Drent Techniek B.V.;;;;5;;5
Drost Juten Notarissen;;;1;;;1
Drukkerij Libertas B.V.;;;;1;;1
