Leveranciers;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
Van der Valk Hotel Den Haag B.V.;1;;1
VCK Travel B.V.;1;;1
Venditoris B.V.;1;;1
Vergadercentrum Domus Medica B.V.;1;;1
Vergadercentrum Vredenburg;1;;1
Vroeg B.V.;1;;1
Whoosah;1;;1
WijnstraServices Exploitatie Harmonie B.V.;1;;1
Wittebrug;;1;1
Zalencentrum 'De Pineta';1;;1
Eindtotaal;7;7;7
