systeem;feitgroep;projcode;mate;aantal;initieelbedrag;;;;A4 (Hoofddorp rechts);KL0601
WAHV ;Snelheid;KL0605;B 11_tem_15km;699;57.968;;;;;
WAHV ;Snelheid;KL0605;C 16_tem_20km;268;31.582;;;;;
WAHV ;Snelheid;KL0605;D 20_tem_25km;109;13.518;;;;;
WAHV ;Snelheid;KL0605;E 25_tem_30km;44;6.067;;;;;
WAHV ;Snelheid;KL0605;F 31_tem_39km;38;5.727;;;;;
WAHV ;Snelheid;KL0606;A tem_10km;21.238;732.491;;;;;
WAHV ;Snelheid;KL0606;B 11_tem_15km;3.046;276.250;;;;;
WAHV ;Snelheid;KL0606;C 16_tem_20km;1.234;150.444;;;;;
WAHV ;Snelheid;KL0606;D 20_tem_25km;384;60.599;;;;;
WAHV ;Snelheid;KL0606;E 25_tem_30km;219;36.068;;;;;
WAHV ;Snelheid;KL0606;F 31_tem_39km;176;35.954;;;;;
WAHV ;Snelheid;KL0607;A tem_10km;21.151;725.692;;;;;
WAHV ;Snelheid;KL0607;B 11_tem_15km;2.740;246.068;;;;;
WAHV ;Snelheid;KL0607;C 16_tem_20km;1.089;132.279;;;;;
WAHV ;Snelheid;KL0607;D 20_tem_25km;352;53.243;;;;;
WAHV ;Snelheid;KL0607;E 25_tem_30km;208;35.394;;;;;
WAHV ;Snelheid;KL0607;F 31_tem_39km;159;28.357;;;;;
WAHV ;Snelheid;KL0608;A tem_10km;13.726;460.643;;;;;
WAHV ;Snelheid;KL0608;B 11_tem_15km;1.656;141.186;;;;;
WAHV ;Snelheid;KL0608;C 16_tem_20km;569;61.345;;;;;
WAHV ;Snelheid;KL0608;D 20_tem_25km;180;25.046;;;;;
WAHV ;Snelheid;KL0608;E 25_tem_30km;101;14.973;;;;;
WAHV ;Snelheid;KL0608;F 31_tem_39km;62;13.376;;;;;
WAHV ;Snelheid;KL0609;A tem_10km;11.922;415.694;;;;;
WAHV ;Snelheid;KL0609;B 11_tem_15km;1.660;142.896;;;;;
WAHV ;Snelheid;KL0609;C 16_tem_20km;595;69.493;;;;;
WAHV ;Snelheid;KL0609;D 20_tem_25km;258;36.011;;;;;
WAHV ;Snelheid;KL0609;E 25_tem_30km;117;20.393;;;;;
WAHV ;Snelheid;KL0609;F 31_tem_39km;58;11.578;;;;;
WAHV ;Snelheid;KL0610;A tem_10km;16.681;591.365;;;;;
WAHV ;Snelheid;KL0610;B 11_tem_15km;2.172;201.843;;;;;
WAHV ;Snelheid;KL0610;C 16_tem_20km;789;104.032;;;;;
WAHV ;Snelheid;KL0610;D 20_tem_25km;289;49.507;;;;;
WAHV ;Snelheid;KL0610;E 25_tem_30km;166;30.893;;;;;
WAHV ;Snelheid;KL0610;F 31_tem_39km;96;23.198;;;;;
WAHV ;Snelheid;KL0611;A tem_10km;24.485;891.095;;;;;
WAHV ;Snelheid;KL0611;B 11_tem_15km;2.878;262.790;;;;;
WAHV ;Snelheid;KL0611;C 16_tem_20km;1.070;141.067;;;;;
WAHV ;Snelheid;KL0611;D 20_tem_25km;419;73.450;;;;;
WAHV ;Snelheid;KL0611;E 25_tem_30km;208;40.061;;;;;
WAHV ;Snelheid;KL0611;F 31_tem_39km;126;31.878;;;;;
WAHV ;Snelheid;KL0612;A tem_10km;21.023;765.633;;;;;
WAHV ;Snelheid;KL0612;B 11_tem_15km;4.161;392.221;;;;;
WAHV ;Snelheid;KL0612;C 16_tem_20km;1.596;209.850;;;;;
WAHV ;Snelheid;KL0612;D 20_tem_25km;388;65.808;;;;;
WAHV ;Snelheid;KL0612;E 25_tem_30km;171;32.524;;;;;
WAHV ;Snelheid;KL0612;F 31_tem_39km;105;18.888;;;;;
WAHV ;Snelheid;KL0613;A tem_10km;23.549;839.299;;;;;
WAHV ;Snelheid;KL0613;B 11_tem_15km;4.022;378.427;;;;;
WAHV ;Snelheid;KL0613;C 16_tem_20km;1.575;206.945;;;;;
WAHV ;Snelheid;KL0613;D 20_tem_25km;433;77.833;;;;;
WAHV ;Snelheid;KL0613;E 25_tem_30km;161;34.548;;;;;
WAHV ;Snelheid;KL0613;F 31_tem_39km;114;27.718;;;;;
WAHV ;Snelheid;KL0614;A tem_10km;28.251;942.942;;;;;
WAHV ;Snelheid;KL0614;B 11_tem_15km;3.852;331.022;;;;;
WAHV ;Snelheid;KL0614;C 16_tem_20km;1.567;175.409;;;;;
WAHV ;Snelheid;KL0614;D 20_tem_25km;549;82.420;;;;;
WAHV ;Snelheid;KL0614;E 25_tem_30km;266;47.299;;;;;
WAHV ;Snelheid;KL0614;F 31_tem_39km;246;47.228;;;;;
WAHV ;Snelheid;KL0615;A tem_10km;20.457;666.797;;;;;
WAHV ;Snelheid;KL0615;B 11_tem_15km;2.499;206.336;;;;;
WAHV ;Snelheid;KL0615;C 16_tem_20km;1.103;120.406;;;;;
WAHV ;Snelheid;KL0615;D 20_tem_25km;374;49.783;;;;;
WAHV ;Snelheid;KL0615;E 25_tem_30km;216;31.879;;;;;
WAHV ;Snelheid;KL0615;F 31_tem_39km;190;34.960;;;;;
WAHV ;Snelheid;KL0618;A tem_10km;2.598;79.157;;;;;
WAHV ;Snelheid;KL0618;B 11_tem_15km;166;16.827;;;;;
WAHV ;Snelheid;KL0618;C 16_tem_20km;66;10.107;;;;;
WAHV ;Snelheid;KL0618;D 20_tem_25km;28;5.320;;;;;
WAHV ;Snelheid;KL0618;E 25_tem_30km;10;2.223;;;;;
WAHV ;Snelheid;KL0618;F 31_tem_39km;8;2.157;;;;;
WAHV ;Snelheid;KL0619;A tem_10km;6.627;221.407;;;;;
WAHV ;Snelheid;KL0619;B 11_tem_15km;337;35.034;;;;;
WAHV ;Snelheid;KL0619;C 16_tem_20km;136;20.994;;;;;
WAHV ;Snelheid;KL0619;D 20_tem_25km;62;11.757;;;;;
WAHV ;Snelheid;KL0619;E 25_tem_30km;40;7.137;;;;;
WAHV ;Snelheid;KL0619;F 31_tem_39km;14;3.486;;;;;
WAHV ;Snelheid;KL0620;A tem_10km;73.203;2.558.768;;;;;
WAHV ;Snelheid;KL0620;B 11_tem_15km;13.632;1.197.021;;;;;
WAHV ;Snelheid;KL0620;C 16_tem_20km;6.806;860.848;;;;;
WAHV ;Snelheid;KL0620;D 20_tem_25km;3.520;591.831;;;;;
WAHV ;Snelheid;KL0620;E 25_tem_30km;2.026;408.148;;;;;
WAHV ;Snelheid;KL0620;F 31_tem_39km;1.196;307.830;;;;;
WAHV ;Snelheid;KL0621;A tem_10km;58.421;1.987.962;;;;;
WAHV ;Snelheid;KL0621;B 11_tem_15km;10.342;912.654;;;;;
WAHV ;Snelheid;KL0621;C 16_tem_20km;4.838;612.735;;;;;
WAHV ;Snelheid;KL0621;D 20_tem_25km;2.366;398.491;;;;;
WAHV ;Snelheid;KL0621;E 25_tem_30km;1.368;262.438;;;;;
WAHV ;Snelheid;KL0621;F 31_tem_39km;677;159.880;;;;;
WAHV ;Snelheid;KL0622;B 11_tem_15km;1;98;;;;;
WAHV ;Snelheid;KL0622;E 25_tem_30km;1;242;;;;;
WAHV ;Snelheid;KL0623;F 31_tem_39km;1;412;;;;;
WAHV ;Snelheid;KL0624;A tem_10km;10.179;394.265;;;;;
WAHV ;Snelheid;KL0624;B 11_tem_15km;1.076;101.111;;;;;
WAHV ;Snelheid;KL0624;C 16_tem_20km;430;57.413;;;;;
WAHV ;Snelheid;KL0624;D 20_tem_25km;157;27.516;;;;;
WAHV ;Snelheid;KL0624;E 25_tem_30km;71;15.137;;;;;
WAHV ;Snelheid;KL0624;F 31_tem_39km;37;8.490;;;;;
WAHV ;Snelheid;KL0625;A tem_10km;5.197;188.385;;;;;
WAHV ;Snelheid;KL0625;B 11_tem_15km;732;69.228;;;;;
WAHV ;Snelheid;KL0625;C 16_tem_20km;228;31.590;;;;;
WAHV ;Snelheid;KL0625;D 20_tem_25km;94;16.001;;;;;
WAHV ;Snelheid;KL0625;E 25_tem_30km;51;10.721;;;;;
WAHV ;Snelheid;KL0625;F 31_tem_39km;18;4.892;;;;;
