OMSCHRIJVING;OPMERKINGEN;PLAATS;LOCATIE;WATERVOEREND_PAKKET;WARMTE_KOUDE_SOORT;BESLUITNUMMER;DATUM_BESLUIT;VERGUND_IN_M3_PER_UUR;VERGUND_IN_M3_PER_JAAR;BESPARING_AARDGAS_IN_M3_PER_JA;CO2_PER_TON;NOX_PER_KG;GEMIDDELDE_OPSLAG_IN_MWH;TYPE_PAND;LGR_NUMMER;REGRON_NUMMER;STRAATNAAM_OMSC;IMGEO_IDENTIFICATIE_BAG_PAND;X;Y;LONG;LAT;ID;GUID
Kantorencomplex De Monarch 1;(vergunning gesplitst Monarch 1 en Monarch 2);Den Haag;Prinses Beatrixlaan 5-11;3;;PZH-2011-315899487;20111213000000;125;685500;202800;351;457;1338;;86263;0;;;82688;455228;4.332274776110411;52.080596904399016;78319;{CEF8E350-A6A2-46B7-ACBC-4ACF6870B78A}
ASN Bank;nog niet gestart febr. 2013;Den Haag;Bezuidenhoutseweg 153;3;;PZH-2012-322894059;20120131000000;20;60000;16830;29;40;111;;87389;0;;;82666;455789;4.3318349098265605;52.08563563361869;78320;{2A00523D-8EE5-4549-A484-D2DBB0F58E5E}
Gezondheidscentrum De Brink, terrein Parnassia;nog niet in bedrijf febr. 2013;Den Haag;Monsterseweg;2 en 3;;PZH-2012-352569948;20121009000000;50;109000;38000;67;87;254;;93213;0;;;74821;451408;4.218425230067725;52.045184753860326;78321;{DBDF19F4-AE51-42E3-98A4-6638E05EEC1B}
Gezondheidscentrum Triple Ex, terrein Parnassia;monobron, nog niet in bedrijf. Febr. 2013;Den Haag;Monsterseweg;2 en 3;;PZH-2012-352569948;20121009000000;30;60600;21000;36;47;137;;93232;0;;;73950;451192;4.2057823173754025;52.04311694711903;78322;{436864D5-C424-4F0F-BD78-9B7D5815E6EA}
Kantorencomplex De Monarch 2;;Den Haag;Prinses Beatrixlaan 5-11;3;;PZH-2012-361459799;20121206000000;125;685500;202800;351;457;1338;;93552;0;;;82753;455274;4.333213135768162;52.08101878262103;78323;{1C0D015D-B4ED-4232-A59C-C4A8FAED919A}
Vereniging van Eigenaars Stadsdeelcomplex Leidschenveen Ypenburg;;Den Haag;Brigantijnlaan 303;1;;PZH-2012-334262165;20120424000000;10;80700;17000;31;0;234;;97425;0;;;86588;452275;4.389753330254063;52.054553858523555;78324;{400BD30B-1E41-4A45-BBF0-BB5E72B2A24D}
Kantoor Hoge Raad;;Den Haag;hoek Korte Voorhout / Smitsplein;3;;ODH-2013-6025;20130729000000;100;302000;78000;135;175;514;;98091;0;;;81638;455600;4.316879331556759;52.08380186921811;78325;{75DAE211-F525-4E24-BFB8-6AA61BD96596}
Kantoorgebouw Eurojust;;Den Haag;Lodewijklaan (ongen);2 en 3;;ODH-2013-00006155;20131105000000;115;710000;220000;380;496;1450;;99856;0;;;79483;456715;4.285197243603569;52.09353225919499;78326;{8E8065F6-117B-40F7-8E35-4B904850C383}
Steigenberger Kurhaus Hotel;;Den Haag;Gevers Deynootplein 30;2+3;;2005-16183;20051107000000;20;175000;0;0;0;0;;33861;10708;;;79210;458870;4.280734728952162;52.11286117607958;78327;{EC04B988-97FD-4036-8C44-99281298FBE5}
Kantoorgebouw Parnassia voor dubbele problematiek;;Den Haag (loosduinen);Mangolaan 5;2;;PZH-2012-331325195;20120330000000;28;99800;12160;22;20;188;;88361;0;;;77020;453020;4.250106286147622;52.05998508670247;78328;{D7453657-535D-43B8-A01F-4E2D10596687}
Hofzichtpark;;Den Haag;Bordewijklaan 38-68;1;;182351;19991208000000;50;158000;73000;190;0;0;;33216;10167;;;84975;456175;4.365439194092433;52.089401404979235;78265;{F2D481DA-4316-4226-AAB2-7D149FF03D9D}
kantoren,-winkel,-Bioscoopcomplex Spuimark;;Den Haag;Grote Marktstraat/Spui;1;;2005-10594;20050715000000;110;780000;0;0;0;0;;33284;10232;;;81425;454815;4.313941574337754;52.076718985341095;78266;{EE558149-1693-491D-8979-4768BDB6003E}
Kantoorcomplex Koningin Julianaplein;Ingetrokken ODH-2013-00013105;Den Haag;Koningin Julianaplein;3;;PZH-2008-896256;20081015000000;350;1119300;336000;620;880;0;;33850;10704;;;82087;455440;4.323463184728756;52.08242329488167;78267;{73DFCA92-5C93-413B-834A-FDF069389FCD}
Ministerie van Defensie;pas 1e helft 2012 in bedrijf ivm renovatie;Den Haag;Kalvermarkt 32;1;;PZH-2007-501830;20071008000000;125;520000;150000;305;195;1150;;34306;11097;;;81650;454980;4.317187695518883;52.078231655167976;78268;{D0315418-A3F8-4A43-92E8-28357C271222}
Haagse Hoge Huys;;Den Haag;Waldorpstraat;1;;2003-4609;20030417000000;112;225000;115000;221;234;0;;34498;11376;;;82088;453885;4.323810044502108;52.06844894361418;78269;{F10D83D1-0A7D-4EAF-992A-3B45CF80B291}
Prinsenhof;;Den Haag;Prinses Marijke/Beatrixlaan/Carolina van Nassaulaan;1;;2002-670;20020118000000;330;1200000;0;774;284;0;;34513;11387;;;83100;455000;4.3383323428222695;52.07860155559437;78270;{3ABC4A3F-8D79-4A50-9834-796A579DE0E5}
Kinderdagverblijf Compaan;;Den Haag;Laan van Wateringseveld 1496;2;;2002-2066;20020416000000;18;64800;68000;12;0;0;;34666;11542;;;80270;448540;4.298468406603211;52.0201721487118;78271;{F9F326E1-FFD7-433C-9584-315CAE425BF3}
 Stichting Internationaal Perscentrum Nieuwpoort;;Den Haag;Lange Poten 10;1;;2002-1718;20020410000000;14;27300;0;0;0;0;;34674;11556;;;81400;455200;4.3134938955215745;52.080175571756214;78272;{5F1D6686-AEF3-4437-8748-835CB9D9E925}
Hoofdkantoor Shell International;;Den Haag;Carel van Bijlandtlaan 30;1;;2004-161;20040106000000;230;775000;165000;317;206;0;;35099;11923;;;81350;456550;4.312473038079778;52.09230105093587;78273;{671B3CF8-0A0C-4E9D-A5C6-384456D716E2}
Stadhuis Den Haag;;Den Haag;Kalvermarkt;1;;PZH-2007-501084;20071005000000;429;580000;192000;335;380;1250;;35469;1389;;;81800;455100;4.319349752883095;52.07932992003358;78274;{55354BD4-3F46-4142-A906-43B95C110DC2}
Stichting Samenwerkende Ziekenhuizen;;Den Haag;Sportlaan 600;1;;157784;19980618000000;90;165000;0;508;418;0;;35492;1407;;;78000;455000;4.263947258486371;52.07791580608314;78275;{C7F9E4B9-84D7-45B8-A1AE-476564B83CC7}
Woningen en appartementen Remu Project;;Den Haag;Hildebrandstraat in Spoorwijk;3;;2003-8968;20030626000000;188;720000;0;0;0;0;;35533;15059;;;81100;452390;4.309726434988776;52.05488274371409;78276;{B1C395CC-FD12-4FDD-8C13-EDDB08447627}
Raad van State;;Den Haag;Kneuterdijk 22;1;;2005-17628;20051214000000;120;167500;0;0;0;0;;36085;16617;;;81100;455400;4.309074777504406;52.0819329641885;78277;{07A98294-CE8F-4167-A0FF-C545AD3700D1}
Nationaal Automobielmuseum;;Den Haag;Leidsestraatweg 57;3;;PZH-2009-89787;20090210000000;70;280000;92000;160;210;0;;36166;16875;;;84350;457750;4.355994532537289;52.1034762980319;78278;{8EB73BF5-C9D4-41E7-BC70-2AE14EA64DD9}
Ministerie Landbouw, Natuur en Voedselkwaliteit;;Den Haag;Bezuidenhoutseweg 73;1;;2004-18336;20041101000000;310;600000;0;0;0;0;;36320;17250;;;82477;455597;4.329118639916482;52.0838854422391;78279;{A599738E-FA37-4EB5-AA7E-AEA25DD00EAD}
Project New-Babylon;start 2011;Den Haag;Anna van Buerenstaart 8-10;1;;2006-52;20060113000000;315;984000;0;516;0;0;;36523;17652;;;82200;455425;4.325114688718383;52.0823033614413;78280;{637769CB-D3DD-40E5-8117-84A2A2A6A8C9}
Motorhuis Kerktuinen;;Den Haag;Kerketuinenweg;2;;2005-10982;20050721000000;30;180000;23000;0;0;0;;36791;18412;;;77147;451573;4.252287601136156;52.04699923063394;78281;{04F2F7D8-E7A8-45A9-997D-881E30C94C5E}
Spoorwijk II (Appartementen);debiet gewijzigd 17-2-2012;Den Haag;Alberdink Thijmstraat e.o.;3;;2005-15918;20051109000000;55;441000;0;0;0;0;;36858;18575;;;81325;452060;4.313077594526179;52.051947056787704;78282;{7895F406-A398-4404-95AA-869E09785AD7}
Ministerie van Financiën;;Den Haag;Korte Voorhout 7;1;;2006-11100;20060728000000;108;750000;0;0;0;0;;37305;19379;;;81660;455430;4.317236803184818;52.08227703178623;78283;{258F73D4-A574-4E87-B7E8-8F8D02B37B9D}
Laakhaven-Westgebouw;;Den Haag;Calandplein;3;;PZH-2008-1093583;20081211000000;120;790000;273000;470;620;1800;;37869;20248;;;81450;453125;4.314670357959889;52.061534625132744;78284;{71BE33C0-5D45-4E70-A30E-4DC83BF76AE2}
Ministerie van Economische Zaken;wordt bij renovatie in 2013 aangelegd;Den Haag;Bezuidenhoutseweg 30;1;;PZH-2007-473258;20070927000000;120;440000;148000;250;335;980;;38054;20543;;;82600;455700;4.3308910070263416;52.08482718091984;78285;{276A5BC0-5B1E-41BB-9028-E8DC6B74CC60}
Woningen Spoorwijk fase III;;Den Haag;Camera Obscuraweg;3;;PZH-2008-434099;20080522000000;75;370000;108000;190;240;0;;38081;20588;;;81230;452157;4.311671855621873;52.05280613901998;78286;{8AB41790-684C-42AF-A23A-32D59605ADBC}
Stadskantoor Leyweg;start 1-4-2011;Den Haag;Leyweg 809;2 en 3;;PZH-2007-727995;20080109000000;150;1040000;216000;371;469;2372;;38404;21113;;;79100;451320;4.28080886106124;52.0449965381163;78287;{BAE0AF18-CA58-43AD-80C6-DE420901490B}
Woningen Transvaalbuurt;;Den Haag;Kempstraat/1e Pieterburgstraat;2;;PZH-2008-84040;20080204000000;200;432500;42400;75;0;1676;;38616;21418;;;79790;453400;4.2904072726609535;52.063783090663726;78288;{C2EC066D-4765-4357-9DBA-ECBCD7469C10}
Stichting Florence;;Den Haag;Daal  en Bergselaan 52;2 en 3;;PZH-2008-201221;20080320000000;40;100550;26000;51;61;239;;38707;21558;;;77230;454650;4.252796562704886;52.07466285332388;78289;{F4EB9CDE-3371-4F82-A496-E4A3A3B56055}
Hogeschool INHolland;;Den Haag;Theresiastraat 8;3;;PZH-2009-123290215;20090812000000;45;90000;60651;105;137;400;;39424;22557;;;82500;455600;4.329453508817708;52.08391541479698;78290;{D320C085-B251-47B6-9C8F-233339234E32}
OV Terminal Den Haag Centraal Station;nog niet gerealiseerd jan. 2012;Den Haag;Koningin Julianaplein 10;3;;PZH-2009-129166736;20090909000000;70;204000;103000;205;242;690;;39430;22569;;;82483;454800;4.329375585643349;52.076723739243235;78291;{FC57168F-FDF0-44DC-A971-2869FAA6CAA7}
The British School in The Netherlands;;Den Haag;Vrouw Avenweg 640;2;;PZH-2009-136188118;20091028000000;50;448000;43000;70;120;400;;40107;23221;;;87355;452520;4.400886066705111;52.05684981179249;78292;{FE977CE0-462E-4FFA-843D-31EADABA64F5}
Kantoorgebouw Europol;;Den Haag;Eisenhowerlaan 73;2 en 3;;PZH-2009-129793488;20090917000000;170;580000;270000;470;610;1718;;40113;23227;;;79255;456615;4.281892891747817;52.09260243282007;78293;{D1AA8DF5-0CD3-4004-811B-BB565994BA0E}
De Tempel;start 20-9-2010;Den Haag;Prins Hendrikstraat 39;1;;PZH-2009-149064257;20091221000000;9;49000;21500;37;49;142;;40215;23327;;;80040;455465;4.293598816866487;52.08237459560214;78294;{DAB0A62E-00AD-43B0-96F5-B2B79992C0CB}
Hoofddirectie Rijkswaterstaat;;Den Haag;Koningskade 4;1;;2000-13445;20001207000000;115;288000;0;137;275;0;;40578;422;;;81500;456100;4.314758538954658;52.088276948851565;78295;{26429B04-AD38-48BD-96B2-21BED9F74926}
Kantoorgebouw Politie Haaglanden;start 2012;Den Haag;locatie Gooland bij Nootdorp;2 en 3;;PZH-2009-129793353;20090924000000;160;460000;174000;331;125;1718;;40584;425;;;86745;452182;4.392060637855147;52.05373742174774;78296;{AA057295-B8D3-4C55-A781-D18256B9D191}
Ministerie van Buitenlandse Zaken/Kon. Bibliotheek;;Den Haag;Bezuidenhoutseweg 67;1;;117736;19960412000000;0;400000;0;0;0;0;;40621;450;;;82300;455500;4.326557374835607;52.08299051027062;78297;{57A3A4C0-DDF6-4DFD-8702-4C1A73C0EAEB}
Provinciehuis Zuid-Holland;;Den Haag;Zuid Hollandplein 1;1;;139088+2004-19473;20041118000000;200;600000;0;0;0;0;;40635;457;;;81660;456060;4.317101324337252;52.08793869969766;78298;{2E3C5EA9-8DBE-421C-BD6E-D511C8A61915}
MCH Westeinde Ziekenhuis;niet meer in gebruik, wordt ontmanteld (22-1-2009);Den Haag;Lijnbaan 32;2 en 3;;PZH-2007-467426;20070926000000;300;1490000;740000;1.25;1.6;5400;;40685;488;;;80000;454500;4.293227493775729;52.0736969857364;78299;{54BD31BC-0E24-4E38-910B-760F1C7061B1}
