stembureau;straatnaam;postcode;gemeente;foto;openingsti;x;y;lat;lon;geopunt
Ontmoetingscentrum de Cabine;Tarwelaan 54;5632 KE;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/f84244dde217e2506c6592608fd6aa89;Stemlokaal is open van 07.30 tot 21.00 uur.;162450.3134;387563.4883;51.4770732983;5.49444234366;51.4770732983, 5.49444234366
Gymzaal Elf13;St Philomenastraat 11;5622 CG;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/1d40775f360e8721a15a1b8c3dc8c4ab;Stemlokaal is open van 07.30 tot 21.00 uur.;160104.7898;385514.5567;51.4586823767;5.46065019894;51.4586823767, 5.46065019894
Basisschool De reis van Brandaan;Kanunnikensven 1;5646 JD;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/162c6edf58fc5a4883772c20a1454f13;Stemlokaal is open van 07.30 tot 21.00 uur.;163510.33;380924.1501;51.4173795952;5.50954035646;51.4173795952, 5.50954035646
Basisschool de Vuurvlinder;Opera 60A;5629 NC;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/beebfb40e8338d4f910e14c4837e39bb;Stemlokaal is open van 07.30 tot 21.00 uur.;161395.7257;389275.437;51.4924743612;5.47929330871;51.4924743612, 5.47929330871
Buurtinfowinkel Woensel-West;Wenckenbachstraat 52;5621 HB;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/048686b6edcfbbad09ddeefa78fed1fa;Stemlokaal is open van 07.30 tot 21.00 uur.;160191.5875;384987.9424;51.4539480301;5.46189134622;51.4539480301, 5.46189134622
Vitalis Peppelrode;Ds Theodor Fliednerstraat 5;5631 BM;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/b8e83cc0ba7393c1fed7db1c10e0bb0b;Stemlokaal is open van 07.30 tot 21.00 uur.;162037.4531;385299.1687;51.4567254654;5.48845421934;51.4567254654, 5.48845421934
Vitalis Engelsbergen;Maria van Bourgondielaan 8;5616 EE;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/dc4325f2baaa143275d5d9cf54361686;Stemlokaal is open van 07.30 tot 21.00 uur.;159895.1141;382433.0732;51.4309858372;5.45759052058;51.4309858372, 5.45759052058
Vitalis Brunswijck;Generaal Bradleylaan 1;5623 KM;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/5cca16428413ded05ad058893635462a;Stemlokaal is open van 07.30 tot 21.00 uur.;161415.565;386408.6439;51.4667055793;5.47952669748;51.4667055793, 5.47952669748
Gymzaal Bordeauxlaan;Bordeauxlaan 139;5627 GT;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/40257383e8785ee01721dd725b6f950a;Stemlokaal is open van 07.30 tot 21.00 uur.;159114.0666;388087.7796;51.4818202947;5.44642513174;51.4818202947, 5.44642513174
Vitalis De Horst;Imkerstraat 6;5623 DC;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/58d5a0235545f7f4af3f81aea4750d3b;Stemlokaal is open van 07.30 tot 21.00 uur.;160961.8965;385084.4906;51.454808228;5.47297549489;51.454808228, 5.47297549489
