;5210 - Wagenpark;Eindtotaal
FleetCor Technologieën B.V.;1;1
Flyct B.V.;1;1
Freek;1;1
Friese Banden Service Leeuwarden V.O.F.;1;1
FullTank;1;1
Garage Peter;1;1
Gebrs. Stoop Waarland B.V.;1;1
Greenwheels Shared Service B.V.;1;1
Groenendijk Bedrijfskleding B.V.;1;1
Gulf Nederland B.V.;1;1
Handelsonderneming Coenen B.V.;1;1
Handelsonderneming Lemmen Tuin en Park;1;1
Harrie Arendsen Hengelo B.V.;1;1
Harting-Bank B.V.;1;1
Havik Auto;1;1
Health2Work B.V.;1;1
Hendriks Benzine-Olie Bandenservice V.O.F.;1;1
Hepo Car Cleaning;1;1
Het Motorhuis;2;2
Hoetjer Autoservice;1;1
Hogenbirk Bedrijfswagens B.V.;1;1
Holland Carwash B.V.;1;1
Huiskes-Kokkeler Oldenzaal;2;2
Innobike B.V.;1;1
Interparking Nederland B.V.;1;1
Janssen Aanhangwagens;1;1
Janssen Van Kouwen Automotive B.V.;1;1
JP's Carwash;1;1
Jungheinrich Financial Services B.V.;1;1
Jungheinrich Nederland B.V.;1;1
KAV Autoverhuur B.V.;1;1
Kors Hoogwerksystemen B.V.;1;1
Kruizinga B.V.;1;1
Lasaulec B.V.;1;1
LeasePlan A2;3;3
Leaseplan Nederland N.V.;9;9
Leus Specials B.V.;1;1
LJ Network Holding B.V.;1;1
Louwman & Parqui B.V.;1;1
Louwman Breda;1;1
Louwman Kerketuinen;1;1
M van Gulick Service;1;1
Machinehandel Bruntink;1;1
Manutan B.V.;2;2
Mengelers Toyota Maastricht B.V.;1;1
Mercedes-Benz Dealer Bedrijven B.V.;1;1
Mercedes-Benz Vans Nederland B.V.;;
MIXACT;1;1
Mobility Group Haaker;1;1
moovel GmbH;1;1
Niham Den Haag B.V.;1;1
Oostendorp Auto Roermond B.V.;1;1
PAK Aanhangwagens Kruiningen;1;1
Patric's Car Cleaning;1;1
Peinemann Heftrucks B.V.;1;1
Peinemann Kranen B.V.;;
Plakservice E. Versteegh;1;1
POL Heteren B.V.;1;1
Pouw Rijssen;1;1
Profile Car & Tyreservice Den Bosch;1;1
Profile Car & Tyreservice Oss;1;1
Protinus IT B.V.;1;1
Q-Park Off Street Exploitatie B.V.;1;1
Q-Park Operations Netherlands B.V.;1;1
Quist Tweewielers;1;1
R. Snippe Monteur/Chauffeur;1;1
Republique Francaise;1;1
Rijwielbedrijf Vincent van Ellen B.V.;1;1
Rijwielhandel Piet Voskamp;1;1
Riwal Hoogwerkers B.V.;1;1
SAA Verzekeringen B.V.;1;1
Scholten Tweewielerspecialist;1;1
Schouten Olie;1;1
Schurer-Kamphuis;1;1
Schut Car Systems B.V.;1;1
Shell Nederland Verkoopmaatschappij B.V.;1;1
Smeets M.B. Zuid-Limburg B.V.;1;1
Stam Bilthoven II;1;1
Stern Auto B.V.;1;1
SternRent;1;1
Swapfiets B.V.;1;1
Tamoil Direct B.V.;1;1
Touringcarbedrijf IJsseltours B.V.;1;1
Toyota Material Handling Nederland B.V.;1;1
Travelcard B.V.;5;5
Truckwash Amsterdam;1;1
TÜV Nederland QA B.V.;1;1
Tweewielers van Woerden V.O.F.;1;1
UniCarriers Netherlands B.V.;1;1
Utrechtse Taxi Centrale (U.T.C.) B.V.;1;1
Van der Jagt-Willemse B.V.;1;1
Van der Laan Kantoorefficiëncy B.V.;1;1
Van der Veen Tweewielers;1;1
Van Mossel West B.V.;1;1
Van Opzeeland Techniek B.V.;1;1
Van Tilburg-Bastianen B.V.;1;1
VDA Konstruktie B.V.;1;1
Veenstra Banden & Autoservice B.V.;1;1
Vervoerservice Van Driel B.V.;1;1
Vink Lisse B.V.;2;2
Visscher Mechanisatie B.V.;1;1
Vissers Energy B.V.;1;1
VW Garage Van der Velden B.V.;1;1
Weersink Aanpasbedrijf;1;1
Weghorst ODN B.V.;1;1
Wensink;1;1
Witte Wielsport V.O.F.;1;1
Wittebrug Autogroep B.V.;1;1
Wout van Putten B.V.;1;1
Yellowbrick B.V.;1;1
Zijm B.V.;1;1
Eindtotaal;9;9
