FID,nummer,bwid_code,donarcode,eu_naam,x_coörd,y_coörd,etrs_89_n,etrs_89_e,rws_dienst,provincie,zwp_naam,zout_zoet,eu_2013,eu_2014,eu_2015,eu_2016,eu_2017,eu_actueel,blauwalg,krw_code,krw_systee,gdb_geomattr_data,shape
zwemlocaties_rws_2019.23,23,NLBW81_NESBSD,NESBSD,"BADSTRAND NES, AMELAND",180969,608500,53.4621,5.7782,Noord-Nederland,FRYSLÂN,Ameland NES,zout,Goed,Goed,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL95_4A,Waddenkust (kustwater),,POINT (180969 608500)
zwemlocaties_rws_2019.24,24,NLBW81_SCHIERMNOBSD,SCHIERMNOBSD,"BADSTRAND PRINS BERNHARDWEG, SCHIERMONNIKOOG",208275,613380,53.5039,6.1901,Noord-Nederland,FRYSLÂN,"BADSTRAND PRINS BERNHARDWEG, SCHIERMONNIKOOG",zout,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL95_4A,Waddenkust (kustwater),,POINT (208275 613380)
zwemlocaties_rws_2019.25,25,NLBW81_TERSLPL8,TERSLPL8,"BADSTRAND WEST AAN ZEE, TERSCHELLING",145994,602113,53.4053,5.2518,Noord-Nederland,FRYSLÂN,"Badstrand West aan Zee, West-Terschelling",zout,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL95_4A,Waddenkust (kustwater),,POINT (145994 602113)
zwemlocaties_rws_2019.26,26,NLBW81_VLIELBSD,VLIELBSD,"BADSTRAND BADHUIS, VLIELAND",132643,590997,53.305,5.0518,Noord-Nederland,FRYSLÂN,Vlieland strand hotel dam 50,zout,Goed,Goed,Goed,Uitstekend,Uitstekend,Goed,nee,NL95_4A,Waddenkust (kustwater),,POINT (132643 590997)
zwemlocaties_rws_2019.27,27,NLBW92_HINDLPBPVJN,HINDLPBPVJN,"BADPAVILJOEN IJSSELMEER, HINDELOOPEN",156084,549598,52.9334,5.4033,Midden-Nederland,FRYSLÂN,BADPAVILJOEN HINDELOOPEN,zoet,Goed,Goed,Goed,Uitstekend,Uitstekend,Uitstekend,nee,NL92_IJSSELMEER,IJsselmeer,,POINT (156084.13379999995 549598)
zwemlocaties_rws_2019.28,28,NLBW92_HOGGZN,HOGGZN,"DE HEGE GERZEN, OUDEMIRDUM",165637,538445,52.8331,5.545,Midden-Nederland,FRYSLÂN,Hoge grazen,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_IJSSELMEER,IJsselmeer,,POINT (165637.0529000014 538444.7738000005)
zwemlocaties_rws_2019.29,29,NLBW92_HOLLPTE,HOLLPTE,"DE HOLLE POARTE, MAKKUM",154384,562887,53.0529,5.378,Midden-Nederland,FRYSLÂN,"DE HOLLE POARTE, MAKKUM",zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_IJSSELMEER,IJsselmeer,,POINT (154383.6528000012 562886.500500001)
zwemlocaties_rws_2019.30,30,NLBW92_KLIF,KLIF,"MIRNSER KLIF, MIRNS",161283,540365,52.8504,5.4805,Midden-Nederland,FRYSLÂN,Mirnser Klif,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_IJSSELMEER,IJsselmeer,,POINT (161283.24749999866 540365.1074000001)
zwemlocaties_rws_2019.31,31,NLBW92_LEMMBSD,LEMMBSD,"LEMSTERSTRAND, LEMMER",176078,539512,52.8424,5.7,Midden-Nederland,FRYSLÂN,"Lemsterstrand, Lemmer",zoet,Goed,Goed,Aanvaardbaar,Goed,Goed,Uitstekend,nee,NL92_IJSSELMEER,IJsselmeer,,POINT (176078.34760000184 539511.6823999994)
zwemlocaties_rws_2019.32,32,NLBW92_MOLKWRBSD,MOLKWRBSD,"MOLKWERUM, MOLKWERUM",155638,546529,52.9059,5.3967,Midden-Nederland,FRYSLÂN,Molkwerum,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_IJSSELMEER,IJsselmeer,,POINT (155637.77409999818 546528.5883999988)
zwemlocaties_rws_2019.33,33,NLBW92_SOAL,SOAL,"IT SOAL, WORKUM",156618,553187,52.9657,5.4113,Midden-Nederland,FRYSLÂN,"It Soal, Workum",zoet,Aanvaardbaar,Goed,Goed,Goed,Aanvaardbaar,Aanvaardbaar,ja,NL92_IJSSELMEER,IJsselmeer,,POINT (156618 553187)
zwemlocaties_rws_2019.34,34,NLBW92_STAVRBSD,STAVRBSD,"IT SUDERSTRAND, STAVOREN",153846,542776,52.8721,5.3701,Midden-Nederland,FRYSLÂN,Stavoren suderstrand,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_IJSSELMEER,IJsselmeer,,POINT (153846.01570000127 542775.6548999995)
zwemlocaties_rws_2019.35,35,NLBW91_CKRKDCA1,KERKDCPDBDSD,CAMPING MAASZICHT,151525,421053,51.7781,5.3368,Zuid-Nederland,GELDERLAND,Camping Maaszicht D2,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL94_5,Beneden Maas,,POINT (151525 421053)
zwemlocaties_rws_2019.36,36,NLBW91_CKRKDZA1,KERKDZMRWZDE,DE ZANDMEREN WEST,152240,419446,51.7637,5.3472,Zuid-Nederland,GELDERLAND,DE ZANDMEREN WEST,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL94_5,Beneden Maas,,POINT (152240 419446)
zwemlocaties_rws_2019.37,37,NLBW91_CKRKDZA2,KERKDZMRND,DE ZANDMEREN NOORD,152238,419704,51.766,5.3472,Zuid-Nederland,GELDERLAND,DE ZANDMEREN NOORD,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL94_5 ,Beneden Maas,,POINT (152238 419704)
zwemlocaties_rws_2019.38,38,NLBW91_CPPLGOU1,GOUDHMTP,HET GROENE EILAND STRAND MAASBOULEVARD,166522,427353,51.8347,5.5544,Zuid-Nederland,GELDERLAND,Campingpark Het Groene Eiland - Strand Maasboulevard,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,,POINT (166522 427353)
zwemlocaties_rws_2019.39,39,NLBW91_CPPLGOU2,GOUDHHZLD,DE GOUDEN HAM HANZELAND,165993,426411,51.8262,5.5467,Zuid-Nederland,GELDERLAND,De Gouden Ham Hanzeland,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,,POINT (165993 426411)
zwemlocaties_rws_2019.40,40,NLBW91_CPPLGOU3,GOUDHHSST,DE GOUDEN HAM DE MAASLANDEN,167070,426870,51.8303,5.5623,Zuid-Nederland,GELDERLAND,De Gouden Ham De Maaslanden,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,,POINT (167070 426870)
zwemlocaties_rws_2019.41,41,NLBW91_CSCHGRE1,GREFFLNZDE,CAMPING DE SCHANS,162466,427476,51.8358,5.4955,Zuid-Nederland,GELDERLAND,De Greffeling,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL91BM,Bedijkte Maas,,POINT (162466 427476)
zwemlocaties_rws_2019.42,42,NLBW92_ELBVELWSOT,ELBVELWSOT,RECREATIEOORD VELUWE STRANDBAD,184545,496250,52.4532153,5.82184199,Midden-Nederland,GELDERLAND,RECREATIEOORD VELUWE STRANDBAD,zoet,Slecht,Aanvaardbaar,Goed,Goed,Goed,Goed,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,POINT (184545 496250)
zwemlocaties_rws_2019.43,43,NLBW92_HARDWVLWSD,HARDWVLWSD,DOLFINARIUM,170504,485299,52.3554,5.6148,Midden-Nederland,GELDERLAND,DOLFINARIUM,zoet,Goed,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,POINT (170503.7386999987 485298.73970000073)
zwemlocaties_rws_2019.44,44,NLBW92_HOOPHZN,HOOPHZN,DROOMPARK BAD HOOPHUIZEN,176736,488592,52.3848,5.7065,Midden-Nederland,GELDERLAND,Hoophuizen,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Goed,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,POINT (176735.67610000074 488592.0282000005)
zwemlocaties_rws_2019.45,45,NLBW92_HORSTBSD,HORSTBSD,STRAND HORST,166654,480140,52.3091,5.5581,Midden-Nederland,GELDERLAND,Strand Horst,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Goed,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,POINT (166654.0821999982 480139.92240000144)
zwemlocaties_rws_2019.46,46,NLBW92_NULDBSD,NULDBSD,STRAND NULDE NOORD,165597,477085,52.28166449,5.54249467,Midden-Nederland,GELDERLAND,Strand Nulde Noord,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,POINT (165597.3883999996 477084.7188999988)
zwemlocaties_rws_2019.47,47,NLBW92_OUDPL,OUDPL,DE OUDE POL,178088,489452,52.3924,5.7264,Midden-Nederland,GELDERLAND,DE OUDE POL,zoet,Slecht,Goed,Goed,Aanvaardbaar,Slecht,Slecht,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,POINT (178088.44460000098 489452.40370000154)
zwemlocaties_rws_2019.48,48,NLBW93_CBVRBIJLA,BIJLND,WATERSPORTCENTRUM DE BIJLAND,202689,430955,51.8651,6.0796,Oost-Nederland,GELDERLAND,Watersportcentrum De Bijland,zoet,Aanvaardbaar,Aanvaardbaar,Aanvaardbaar,Goed,Goed,Goed,nee,NL93_8,"Bovenrijn, Waal",,POINT (202688.61499999836 430955.1339999996)
zwemlocaties_rws_2019.49,49,NLBW93_CIJSGIESS,RHEDLGSKP,RHEDERLAAG GIESE KOP,201100,445100,51.9924,6.0584,Oost-Nederland,GELDERLAND,Rhederlaag Giese Kop,zoet,Goed,Goed,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL93_IJSSEL,IJssel,,POINT (201100 445100)
zwemlocaties_rws_2019.50,50,NLBW93_CIJSSCHER,SCHERPHF,RECREATIEPARK DE SCHERPENHOF,203610,479150,52.2982,6.0998,Oost-Nederland,GELDERLAND,IJSSEL DE SCHERPENHOF,zoet,Goed,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_IJSSEL,IJssel,,POINT (203610 479150)
zwemlocaties_rws_2019.51,51,NLBW93_CIJSSTRAN,DOESBFTWD,CAMPING IJSSELSTRAND,208005,449455,52.0309,6.1596,Oost-Nederland,GELDERLAND,IJSSELSTRAND,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_IJSSEL,IJssel,,POINT (208005 449455)
zwemlocaties_rws_2019.52,52,NLBW93_CNDRMAURI,EILDMAURK,STRAND EILAND VAN MAURIK,157354,442980,51.9752,5.4215,Oost-Nederland,GELDERLAND,EILAND VAN MAURIK,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_7,Nederrijn/Lek,,POINT (157354 442980)
zwemlocaties_rws_2019.53,53,NLBW93_CNDRZWANE,ZWANWTR,ZWANENBAD,193615,438878,51.937,5.9487,Oost-Nederland,GELDERLAND,ZWANENBAD,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_7,Nederrijn/Lek,,POINT (193615 438878)
zwemlocaties_rws_2019.54,54,NLBW93_CWALBEMME,BEMMSWD,BEMMELSE WAARD,190280,432695,51.8817,5.8996,Oost-Nederland,GELDERLAND,BEMMELSE WAARD,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_8,"Bovenrijn, Waal",,POINT (190280 432695)
zwemlocaties_rws_2019.55,55,NLBW93_CWALBISOS,BISBOT,DE BISONBAAI,192654,431134,51.86748256,5.93390692,Oost-Nederland,GELDERLAND,DE BISONBAAI,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL93_8,"Bovenrijn, Waal",,POINT (192654.08449999988 431133.8913999982)
zwemlocaties_rws_2019.56,56,NLBW91_DENWDNBSD,DENWDNBSD,DE NESWAARDEN,136230,421925,51.7857,5.1152,Zuid-Nederland,GELDERLAND,De Neswaarden,zoet,Goed,Goed,Goed,Goed,Uitstekend,Uitstekend,ja,NL94_5,Beneden Maas,,POINT (136230 421925)
zwemlocaties_rws_2019.57,57,NLBW91_DERSCPBSD,DERSCPBSD,DE RIETSCHOOF,136972,420929,51.7767,5.126,Zuid-Nederland,GELDERLAND,De Rietschoof,zoet,Slecht,Slecht,Goed,Goed,Uitstekend,Uitstekend,nee,NL94_5,Beneden Maas,,POINT (136972 420929)
zwemlocaties_rws_2019.58,58,NLBW91_WELLBSD,WELLBSD,STRANDBAD WELL,141102,417666,51.7475,5.186,Zuid-Nederland,GELDERLAND,Well badstrand-einde Dode arm,zoet,Goed,Goed,Goed,Uitstekend,Uitstekend,Uitstekend,nee,NL94_5,Beneden Maas,,POINT (141102 417666)
zwemlocaties_rws_2019.59,59,NLBW93_RHEDLNOVR,RHEDLNOVR,RHEDERLAAG NOORDOEVER,200290,446195,52.0023,6.0468,Oost-Nederland,GELDERLAND,RHEDERLAAG NOORDOEVER,zoet,Nieuw,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_IJSSEL,IJssel,,POINT (200290 446195)
zwemlocaties_rws_2019.60,60,NLBW93_RHEDLBSSD,RHEDLBSSD,RHEDERLAAG BAHRSCHE STRAND,199966,444530,51.9873,6.0418,Oost-Nederland,GELDERLAND,RHEDERLAAG BAHRSESTRAND,zoet,Nieuw,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Goed,nee,NL93_IJSSEL,IJssel,,POINT (199966 444530)
zwemlocaties_rws_2019.61,61,NLBW91_GOUDGNELD ,GOUDGNELD,DE GOUDEN HAM CAMPING HET GROENE EILAND,166126,427343,51.8346,5.5486,Zuid-Nederland,GELDERLAND,De Gouden Ham Campingpark Het Groene Eiland,zoet,Nieuw,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,,POINT (166126 427343)
zwemlocaties_rws_2019.62,62,NLBW93_DORDBH,DORDBH,MARINA STRANDBAD,206386,449956,52.0355,6.1361,Oost-Nederland,GELDERLAND,DORADOBEACH,zoet,Nieuw,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_IJSSEL,IJssel,,POINT (206386 449956)
zwemlocaties_rws_2019.63,63,NLBW81_DELFZBSD,DELFZBSD,"ZEESTRAND EEMSHOTEL, DELFZIJL",257864,595370,53.3348,6.9314,Noord-Nederland,GRONINGEN,"Zeestrand Eemshotel, Delfzijl",zout,Slecht,Slecht,Aanvaardbaar,Goed,Goed,Gesloten,nee,NL81_2,Eems-Dollard,,POINT (257864 595370)
zwemlocaties_rws_2019.64,64,NLBW81_TERMTZBSD,TERMTZBSD,ZEESTRAND TERMUNTEN,264616,591963,53.3029,7.0315,Noord-Nederland,GRONINGEN,Zeestrand Termunten,zout,Slecht,Slecht,Slecht,Wijziging,Goed,Aanvaardbaar,nee,NL81_2,Eems-Dollard,,POINT (264616 591963)
zwemlocaties_rws_2019.65,65,NLBW91_CBRAND50,DAGSDKSZZ,"DE KIS ZUID, PLAS EILAND",187932,349851,51.1372,5.8577,Zuid-Nederland,LIMBURG,"De Kis Zuid, Plas Eiland",zoet,Goed,Goed,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91GM,Grensmaas,,POINT (187932 349851)
zwemlocaties_rws_2019.66,66,NLBW91_CBRAND80,DAGSDKSNZ,"DE KIS NOORD, PLAS BRANDT",188053,350023,51.1387,5.8595,Zuid-Nederland,LIMBURG,BRANDT DAGSTRAND DE KIS NOORDZ. D2,zoet,Goed,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91GM,Grensmaas,,POINT (188053 350023)
zwemlocaties_rws_2019.67,67,NLBW91_CDILKE35,DIKLPS,DILKENSPLAS,185144,346909,51.1109,5.8176,Zuid-Nederland,LIMBURG,Dagstrand Dilkensplas 2 D2,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91GM,Grensmaas,,POINT (185144 346909)
zwemlocaties_rws_2019.68,68,NLBW91_CDOUVE30,CAMPBTNSN,RECREATIESTRAND VELMANS/NIESSEN/VAN ASS,196171,357838,51.2084,5.9764,Zuid-Nederland,LIMBURG,Recreatiestrand Camping Barten/Niessen,zoet,Uitstekend,Goed,Goed,Uitstekend,Goed,Uitstekend,ja,NL91ZM,Zandmaas,,POINT (196171 357838)
zwemlocaties_rws_2019.69,69,NLBW91_CGRHEG10,DAGSDGTHGE,DAGSTRAND DE GROTE HEGGE,186746,351694,51.1538,5.8409,Zuid-Nederland,LIMBURG,Grote Hegge Dagstrand D2,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91GM,Grensmaas,,POINT (186746 351694)
zwemlocaties_rws_2019.70,70,NLBW91_CHATEN50,MARNODHKE,RECREATIESTRAND RESORT MARINA OOLDERHUUSKE,194688,355807,51.1903,5.9549,Zuid-Nederland,LIMBURG,RECREATIESTRAND RESORT MARINA OOLDERHUUSKE,zoet,Goed,Aanvaardbaar,Slecht,Slecht,Wijziging,Goed,ja,NL91ZM,Zandmaas,,POINT (194688 355807)
zwemlocaties_rws_2019.71,71,NLBW91_CHORNE50,DAGSDWD,DAGSTRAND AREA X,195200,357449,51.205,5.9624,Zuid-Nederland,LIMBURG,Dagstrand Area X,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91ZM,Zandmaas,,POINT (195200 357449)
zwemlocaties_rws_2019.72,72,NLBW91_CKOEWE20,WATSCTKWDE,RECREATIESTRAND COMFORTPARC WESSEM,188919,351687,51.1536,5.872,Zuid-Nederland,LIMBURG,Recreatiestrand Comfortparc Wessem,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91GM,Grensmaas,,POINT (188919 351687)
zwemlocaties_rws_2019.73,73,NLBW91_CLEUKE20,LEUKMR,RECREATIESTRAND VAKANTIEPARK LEUKERMEER,201815,397822,51.5674,6.0624,Zuid-Nederland,LIMBURG,Leukermeer,zoet,Goed,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL91ZM,Zandmaas,,POINT (201815 397822)
