Stembureau_naam;Stembureau_nummer;Stembureau_adres;Stembureau_plaats;PvdA;VVD;ECO-D;CDA;GL;CUSGP;D66;BVD;VSP;Geldig;Blanco;Oproep;
60 Wooncentrum de Klockelaer;60;Tak van Poortvlietstr. ingang 1 t/m 137;Dordrecht;291;63;49;63;24;60;12;69;83;714;9;1531;
61 J.F. Kennedyschool;61;Bosstraat 1;Dordrecht;275;39;38;53;22;43;8;46;48;572;1;1527;
"63 Kerk De Verrezen Christus""""";63;Slotemaker de Bruinestraat 1;Dordrecht;223;47;25;58;27;36;12;53;59;540;3;1181;
65 Bejaardencentrum Vijverhof;65;Henri Polakstraat 7;Dordrecht;323;34;9;68;49;29;17;62;64;655;5;1503;
70 Morgensterkerk;70;Plutolaan;Dordrecht;292;193;36;170;60;106;27;90;105;1079;0;1813;
71 Dep J.F. Kennedyschool;71;Eddingtonweg 3;Dordrecht;268;83;24;90;44;94;12;125;85;825;3;1742;
73 Wielborgh, het Sterrenwiel;73;Dalmeijerplein 80;Dordrecht;395;76;26;156;63;92;16;116;119;1059;2;1588;
74 Verpleegtehuis Sterrenlanden;74;Minnaertweg 4;Dordrecht;252;142;45;134;58;72;26;149;112;990;3;1711;
75 Polyanderschool;75;Atmosfeerstraat 34;Dordrecht;308;96;43;138;60;102;15;113;101;976;2;1841;
76 School De Driehoek;76;Driehoek 41;Dordrecht;263;233;57;141;74;89;55;189;79;1180;3;1800;
78 School De Keerkring;78;Ockenburg 44;Dordrecht;260;186;56;78;88;37;41;116;71;933;1;1718;
81 Ontmoetingskerk;81;Slangenburg 3;Dordrecht;269;290;62;94;86;59;69;135;87;1151;3;1833;
82 School De Meridiaan;82;Kinkelenburg 19;Dordrecht;243;225;56;95;64;53;51;129;58;974;2;1735;
84 School Het Kristal;84;ingang Heimerstein 35;Dordrecht;235;185;63;103;67;121;65;144;50;1033;1;1830;
91 Bejaardencentrum Dubbelmonde;91;Koningstraat 290;Dordrecht;185;314;60;248;43;151;32;148;97;1278;1;1950;
93 Beatrixschool/Boerderijschool;93;Dubbelsteijnlaan West 54;Dordrecht;198;268;65;182;66;150;24;121;78;1152;3;1988;
94 Verpleeghuis Het Parkhuis;94;Haaswijkweg Oost 69A;Dordrecht;152;238;75;208;41;172;22;150;56;1114;1;1734;
96 Julianaschool;96;Goudenregenstraat 65;Dordrecht;154;283;77;204;42;108;40;156;58;1122;0;1510;
97 Wooncentrum De Gravenhorst;97;Vijverlaan 1002;Dordrecht;206;268;41;216;48;111;27;133;88;1138;4;1780;
101 School De Griffioen;101;Rudyard Kipling-erf 123;Dordrecht;219;91;38;38;54;34;26;96;38;634;4;1764;
102 Oranje Nassauschool;102;Selma Lagerlof-erf 166;Dordrecht;308;145;43;93;67;92;41;141;52;982;6;1890;
103 Peuterspeelzaal Kabouter-erfje;103;Henriette Roland Holst-erf 134;Dordrecht;268;92;45;64;48;122;22;154;60;875;4;1818;
104 Geert Grooteschool;104;van den Broek-erf 3;Dordrecht;251;251;61;111;56;120;36;152;65;1103;3;2035;
105 Geert Grooteschool;105;van den Broek-erf 7;Dordrecht;251;209;36;89;54;50;44;128;61;922;0;1931;
106 Zorgcentrum Polderwiel;106;Dudok-erf 58;Dordrecht;405;273;60;207;84;99;34;123;130;1415;3;2034;
107 School De Bever;107;Chico Mendesring 188;Dordrecht;269;261;34;100;68;79;57;122;39;1029;6;1938;
108 J.W. Frisoschool;108;Chico Mendesring 821;Dordrecht;230;165;34;57;45;68;30;104;46;779;2;1458;
200 Loketruimte Stationshal;200;Stationsplein 2;Dordrecht;202;117;38;58;132;44;21;136;19;767;3;0;
