Rijlabels;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Centric Test & Security Professionals B.V.;;;;;;;;1;1
CERRIX B.V.;;;;;;;;1;1
CGI Nederland B.V.;;;3;;4;;;9;9
Cimsolutions;;;2;;;;;;2
Cinnamon Interactive B.V.;;;1;;;1;;;2
Cloud Seven B.V.;;;;;;;1;;1
Clownfish Creatieve Communicatie B.V.;;;;;;;1;;1
CM Telecom B.V.;;;1;;;;2;7;7
Co & Co Solutions B.V.;;;;;4;;;;4
COMPAREX Nederland B.V.;;4;5;8;9;6;;6;9
Computel Stand-By B.V.;;;1;;;;;;1
Concorde Group B.V.;;;;;;;1;;1
Coney Analytix;;;;;1;;;;1
Connected Information Systems B.V.;;;;;;;;2;2
ConnectTools B.V.;;;1;;;;;;1
Conrad Electronic Benelux B.V.;;;1;;;;;;1
Contracto B.V.;;;;1;;;;;1
Coolblue B.V.;;;1;;;;1;;1
Coosto B.V.;;;2;;;;;;2
Copas B.V.;;;;;;;;2;2
Cosensis B.V.;;;;;;;1;;1
Covalent Infra Technology Solutions B.V.;;;;4;;;;;4
Creativa Design;;;;;;;1;;1
CrMatch B.V.;;;3;;;;;;3
Crossmark VR B.V.;;;1;;;;;;1
Customer Revolution B.V.;;;2;;;;;;2
Dalosy Projecten B.V.;;1;2;;;;;;2
De Fit communicatief label;;;;;;;1;;1
De Ideeënfabriek B.V.;;;;;;;1;;1
de Persgroep Nederland B.V.;;;;;;;1;;1
DE REE archiefsystemen;;;4;;;;;;4
De Wijkplaats B.V.;;;2;;;;;;2
Deloitte Consulting B.V.;;;2;;3;3;;5;5
Detron Computerverhuur;;;;;;;1;;1
Detron Telecom Enterprise;1;2;2;3;3;1;5;3;6
DIG - Design Innovation Group B.V.;;;;;;;2;;2
Digidentity B.V.;;;;;1;;;1;1
Digital Action;;;2;;;;;;2
Digital Data Warehouse B.V.;;;1;;;;;;1
Docspro B.V.;;;1;;;;;;1
Donki Gotte;;;;;;;2;;2
Dotweb Systems B.V.;;;;4;;;1;;4
DPI Animation House B.V.;;;;;;;3;;3
Driebit Hosting B.V.;;;2;;;;2;;2
Econed Veiligheid en Milieu;;;1;;;;;;1
Edery International B.V.;;;;;;;1;;1
Eenhoorn Meeting Center;;;;;;;;1;1
Ehrm Vision;;;;1;2;;;;2
Eleqtron;;;1;;;;;;1
EMC Computer Systems (Benelux) B.V.;;;;;5;;;;5
EMMA Communicatie B.V.;;;;;;;;2;2
EnablE-U B.V.;;;;;;;;1;1
Eneco Zakelijk;;;2;;;;;;2
Entopic B.V.;;;;1;;;;;1
EPI-USE B.V.;;;;2;1;;;1;2
Ernst & Young Certifypoint B.V.;;;;;;;;4;4
Esri Nederland;;;;2;;;;;2
Etuconsult B.V.;;;;;;;1;;1
Eurofiber Nederland;;;;;;;1;;1
Exact Software Nederland B.V.;;;;;2;;;;2
Explore-IT B.V.;;;;;1;;;;1
Expo Display Service;;;;;;;;1;1
ezCompany B.V.;;;;;;;;3;3
Facilion B.V.;;;2;;;;;;2
Finalist IT Group B.V.;;;1;;;;;;1
Fine Arts Productions John van Helvert;;;;;;;1;;1
firMM information/service design B.V.;;;;;;;2;;2
First Element B.V.;;;1;;;;;;1
Fleetlogic B.V.;;;;;1;;;;1
Flowlogics;;;;;;;;2;2
For Conference B.V.;;;1;;;1;1;;1
Fotopersburo Dijkstra B.V.;;;;;;;1;;1
Fox-IT;;;2;;;;;2;2
Franke Interim Management B.V.;;;;;;;;1;1
Frephitophe;;;;;;;1;;1
Fujitsu Technology Solutions B.V.;1;4;6;5;4;;;6;7
Futurecheck;;;;;;;1;;1
Futureproof Document Solutions;;;;;2;;;1;2
Gartner Nederland B.V.;;;1;;2;;;2;3
GBL ICT B.V.;;;;;;1;;;1
Gemnet B.V.;;;;;;4;;;4
Gemoro B.V.;;;1;;;;;;1
Geodan B.V.;;;1;;;;;;1
Getronics B.V.;;;;;;1;;;1
Grafisch Buro van Erkelens B.V.;;;1;;;;2;;2
Greenonline B.V.;;;;;;;1;;1
GreyPOSSIBLE Amsterdam B.V.;;;;;1;;;;1
H & R Interim - projectmanagement B.V.;;;;;;;;3;3
Hague Corporate Affairs B.V.;;;;;;;1;;1
Hatchfund.nl;;;1;;;;;;1
Havana Orange B.V.;;;;;;;1;;1
Hay Group B.V.;;;2;;;;;;2
HeadFirst B.V.;;;;;;;;2;2
HET KLOOSTER;;;;;;;;1;1
Heuvelman Sound & Vision B.V.;;5;6;;;1;;;6
Hoffmann Bedrijfsrecherche B.V.;;;;1;;;;;1
Hollandse Hoogte B.V.;;;;;;;1;;1
Hollandse Telecommunicatie Maatschappij;;;;;;;1;;1
Honeywell B.V.;;;;;;;;1;1
Hotel Zwolle Vastgoed B.V.;;;;;;;;1;1
Huis van Oorsprong;;;;;;;;1;1
Hulskamp Audiovisueel Den Haag;;1;;;;;;;1
IBM Nederland B.V.;;;;;7;;;;7
Icrow B.V.;;;;;1;;;;1
ID Ware International B.V.;;;;;3;7;;;7
Ideeaanzee B.V.;;;;;;;2;;2
Imachine B.V.;;;;;;;1;;1
Imageselect B.V.;;;;;;;1;;1
Imago B.V.;;;2;;;;;;2
In2Content B.V.;;;;;;;;2;2
in60seconds B.V.;;;;;;;1;;1
Infoprojects;;;3;;;;;;3
Information Builders (Benelux) B.V.;;;1;;;;;;1
Inkesta B.V.;;;1;;;;;;1
InnoValor B.V.;;;;;;;;2;2
Innovero Software Solutions B.V.;;;2;;1;;1;;2
Insight Enterprises Netherlands B.V.;;;;2;3;;;;3
InsightsWorld B.V.;;;1;;1;;;;1
Inspring Media B.V.;;;1;;;;;;1
Inter Access B.V.;;;;;;;;4;4
Interexcellent Holding B.V.;;;1;;;;;;1
Interexcellent IT Regie Management B.V.;;;2;;;;;;2
Intermax Holding B.V.;;;1;;;;;;1
Intermax outsourcing;;;;;2;;;;2
Internedservices;;;1;1;;;;;1
IOVIO BPT B.V.;;;;;2;;;1;2
IP Parking B.V.;;;2;;;;;;2
IT Management Group;;;;;2;;;;2
Itera B.V.;;;;;2;;;;2
ITQ Celerior B.V.;;;;;1;;;;1
IVU Traffic Technologies Benelux B.V.;;;3;;;;;;3
iWelcome B.V.;;;;;2;;;;2
JAWS Amsterdam;;;1;;;;4;;4
Joh. Enschedé Amsterdam B.V.;;;;;;;2;;2
Kaliber;;;1;;;;1;;2
Kaliber Interactive B.V.;;;;;;;;7;7
KBenP;;;;;;;;2;2
Kiwi Electronics B.V.;;1;;;;;;;1
Kom Plot ! Hosting & Webdesign B.V.;;;1;;;;;;1
Koning & Hartman B.V.;;;1;;;;;;1
Koninklijke Kampert en Helm Rotaform B.V.;;;;;;;;5;5
Kosmos Reisgids;;;;;1;;;;1
KPMG Advisory N.V.;;;;;;;;4;4
KPN B.V.;5;;5;;4;1;7;1;7
KPN Consulting B.V.;;;;;;;2;7;7
KPN Corporate Market;1;;;1;7;2;;5;7
KPN ITNS Networks B.V.;;;;;;1;;;1
KPN Ventures B.V.;;;;;;;1;;1
KPN Winkel;;;;;;1;;;1
KSMT;;;1;;;;2;;2
Kubus architectural solutions;;;;1;;;;;1
Kwink Groep B.V.;;;;;;;2;;2
Land van verbinding;;;;;;1;;;1
LDC Uitgeverij B.V.;;;;;1;;;;1
Leene Communicatie;;;;;;;2;;2
Librt B.V.;;;;;;;1;;1
LimoenGroen B.V.;;;;;;;;1;1
Ljs Automatisering B.V.;;1;;;;;;;1
Login B.V.;;;1;;;;;;1
Loyals Online ZH B.V.;;;1;;;;;;1
Luna.nl B.V.;1;;;;;;;;1
Lyreco Nederland B.V.;;1;;;;;;;1
Maas Communicatie B.V.;;;;;;;1;;1
Mahieu Web Development B.V.;;;1;;;;;;1
MaMa Kelly B.V.;;;;;;;;1;1
Management Centrum Partners B.V.;;;;;;;;4;4
Marosel B.V.;;;;;;;;2;2
Maters & Hermsen Journalistiek B.V.;;;;;;;4;;4
Maxd'Oro B.V.;;;;;1;;;;1
MessageBird B.V.;;;;;;;1;;1
Metamorfose Vertalingen B.V.;;;;;;;2;;2
MetrixLab Nederland B.V.;;;;;;;;2;2
Meurs HRM;;;;;1;;;;1
Mexx Global B.V.;;;;;1;;;;1
Microsoft Financing International B.V.;;;;;1;;;;1
Mihosnet;;;;;1;;;;1
mijndomein.nl B.V.;;;;1;;;;;1
Misco Solutions B.V.;1;9;7;;1;3;;;9
MMM Interactieve Communicatie;;;;;1;;;;1
Mobile Tulip;;;;;;;1;;1
Moduli Print B.V.;;;;;;;2;;2
MSI Services B.V.;;;1;;;;;;1
My Cubes B.V.;;;;;;;;2;2
myBrand;;2;;;;;;;2
Nationale Beeldbank B.V.;;;;;;;1;;1
NCC Group Escrow Europe B.V.;;;;1;;;;;1
NCCW B.V.;;;2;2;;;;;3
Nemesys Telecommunicatie;;;;4;4;;;;5
Netcreators B.V.;;;;1;1;1;1;2;2
Nétive VMS B.V.;;;;;5;;;;5
Network Innovations;;1;;;;1;1;;2
Network Innovations Services;;;;;;5;2;2;5
Networking4all B.V.;;;;;1;;;;1
NEVI-Purspective B.V.;;;;;;;;1;1
New Babylon Meeting Center B.V.;;;;;;;;2;2
NH Den Haag;;;;;;;;2;2
Noise B.V.;;;2;;;;;;2
Norisk Keymanagement B.V.;;;1;;;;;;1
Nota Bene B.V.;;;;;1;;;;1
NotuBiz Nederland B.V.;;;1;;;;;;1
NRC Media Holding B.V.;;;;;;;1;;1
NSD International NL B.V.;;1;1;;;;;;1
O2 Communicatieadviesbureau B.V.;;;;;;;2;;2
OCIUS;;;;;;2;;;2
Odyssee B.V.;;;;1;;;;;1
Om De Hoek;;;;;;;;1;1
Ontwerpwerk B.V.;;;2;;;;1;;2
Optelec Nederland B.V.;;;;;;;;2;2
Optima Forma B.V.;;;;;;;2;;2
Oracle Benelux Usergroups;;;;1;;;;;1
Oracle Nederland;;;;6;6;;;;7
Orange IT B.V.;;;1;;;;;;1
Orcavoice B.V.;;;;;;;1;;1
Ordina N.V.;;;;;7;;;6;7
Ordina Nederland B.V.;;;;1;;;;;1
Ordina Technologie & Competenties B.V.;;;;;6;;;2;6
OSAGE communicatie en ontwerp;;;;;;;3;;3
Otys International B.V.;;;;;2;;;;2
P. Achten Beheer B.V.;;;1;;;;;;1
Panteia B.V.;;;;;;;;1;1
Paralax B.V.;;;;;;2;;2;2
Pardon Consult;;;1;;1;;;1;2
PBLQ B.V.;1;;;;;2;;4;4
PCextreme B.V.;;;1;;;;;;1
Performa Uitgeverij B.V.;;;;;;;1;;1
Photo Republic;;;;;;;1;;1
Pink Elephant;;;;2;2;;;1;3
Pink Elephant Business Intelligence B.V.;;;;;1;;;;1
PinkRoccade Local Government;;;;2;;;;;2
Planon B.V.;;;;;5;;;;5
Pool Worldwide B.V.;;;;;;;2;;2
Postcode.NL B.V.;;;1;1;;;;;1
PQR B.V.;;8;8;5;6;7;;2;9
Presence Translate & Interact B.V.;;;;;;;1;;1
Previder;;;1;;;;;;1
Pricewaterhousecoopers Advisory N.V.;;;;;2;;;;2
Pricewaterhousecoopers N.V.;;;;;2;;;4;4
Prime Contact B.V.;;;;;2;;;2;2
Procura;;;;;;;1;;1
Protinus IT B.V.;1;9;7;7;7;4;1;5;9
Public Creation;;;;;;;2;;2
Publiek Denken;;;;;;;2;;2
PvIB: Platform voor informatiebeveiliging;;;;;;;;1;1
Q Delft B.V.;;;2;;;;;;2
QS solutions B.V.;;;;;1;;;;1
Quality Support B.V.;;;;;;;;1;1
Quint Wellington Redwood Nederland B.V.;;;;;2;;;2;2
QuoVadis Trustlink B.V.;;1;;2;2;2;;2;4
R.D. Holding B.V.;;;1;;;;;;1
Raatwerk B.V.;;;1;;;;;;1
Ravestein & Zwart Bedrijfscommunicatie B.V.;;;;;;;2;;2
RBit Informatica B.V.;;;1;;;;;;1
ReadSpeaker B.V.;;;;;1;;;;1
Redrum Bureau B.V.;;;;;;;;1;1
Regas IP B.V.;;;;;5;;;;5
Restaurant De Basiliek B.V.;;;;;;;;1;1
Retriever Media Informatie B.V.;;;;;1;;;;1
Rework Apps B.V.;;;;;;;1;;1
Rikkers Infographics;;;;;;;;1;1
Rittal B.V.;;1;;;;;;;1
Rob Acket B.V.;;;;;;;1;;1
Sabel Communicatie B.V.;;;;;;;4;1;4
SAIT B.V.;;1;1;;;1;4;;4
SAM Office Support;;;;;;;;1;1
SAP Nederland B.V.;;;;5;7;;;;7
Scan Sys B.V.;;;;;1;;;;1
Scholten Awater B.V.;;7;7;7;7;;;1;9
Sdu Uitgevers B.V.;;;6;1;;;7;;7
Seats2Meet.com Utrecht B.V.;;;;;;;;1;1
Sectra Communications B.V.;;;1;;;;;5;5
SEEBURGER Benelux;;;;;2;;;;2
Service Management Technology eXperts B.V.;;;;2;3;;;;4
SHL Nederland B.V.;;;;;1;;;;1
Sies/van Hintum Management B.V.;;;;;;;1;;1
Signalutions B.V.;;;1;;;2;;;2
Signet;;;;;;;1;;1
Significant B.V.;;;;;;;1;;1
Simac Document Solutions B.V.;;;1;1;;;;;1
Sitex Electronics B.V.;;1;;;;;;;1
Smart Signs Solutions B.V.;;1;;;;;;1;2
SMT Simple Management Technologies B.V.;;;;;;;;1;1
Softcrow Trusted Electronic Services B.V.;;;1;;;;;;1
Software AG Nederland B.V.;;;;;1;;;;1
SoftwareONE B.V.;;;;4;8;;;2;8
Sogeti Nederland B.V.;;;;;2;2;;7;7
SolidWare Consultancy B.V.;;;;;;;;1;1
Solvinity B.V.;;;2;;;;;;2
Soundfocus B.V.;;;;;;;1;;1
Spaces Rode Olifant B.V.;;;;;;;;2;2
Sportsdesign Utrecht B.V.;;;;;;;;1;1
Stabiplan B.V.;;;;;2;;;;2
Staples Nederland B.V.;;1;;;;;;;1
Star Project;;;;;;;2;;2
STB Automatisering & Advies B.V.;;;2;;;;;;2
Stedin Meetbedrijf;;;1;;;;;;1
Stg. Standaardbestek Burg.- en Utiliteitsbouw;;;1;3;;;;;3
Sticht. Internet Domeinregistratie Nederland;;;;;1;;;;1
Stichting Accessibility;;;;;2;;;2;2
Stichting Geonovum;;;;;;;;2;2
Stichting ISSO;;;;1;;;;;1
Stichting Pleio;;;;;;;;1;1
Stichting SBRCURnet;;;;1;;;;;1
Stichting Simplerinvoicing;;;;;;;;1;1
Stichting Spaarnestad Photo;;;;;;;1;;1
Stichting Stimular;;;1;;;;;;1
Stichting Wilkohaag;;;;;;;1;;1
Stipte B.V.;;;;;1;;;;1
Stream;;;1;;;;;;1
Studio Noord Licht;;;;;;;1;;1
StudioFG;;;;;;;1;;1
Sumatra Software B.V.;;;;;1;;;;1
Survalyzer Nederland B.V.;;;;;2;;;;2
Swis B.V.;;;1;;;;;;1
Swisscap B.V.;;1;;;;;;;1
Sysqa B.V.;;;;;4;;;5;6
T&T Compet&t.b.v.;;;1;;;1;;;2
Taalsmid;;;;;;;1;;1
Tam Tam B.V.;;2;1;;;;;;2
Tangram B.V.;;;1;;;;;;1
Tappan Communicatie B.V.;;;;;;;;2;2
Tekom Vertalers B.V.;;;;;;;1;;1
Tekstschrijvers.nl B.V.;;;;;;;1;;1
Tele2 Nederland B.V.;1;;;;2;;7;;7
Telecom Service Leek B.V.;;1;;;;;;;1
Telegrootgebruik B.V.;;;;;1;;2;;2
Telfort winkel;;;;;;;1;;1
Telfort Zakelijk B.V.;;;;;;;1;;1
Telindus-ISIT B.V.;;9;4;2;1;;;2;9
Textinfo B.V.;;;;5;;;;;5
The Right Productions;;;1;;;;;;1
Theater Buitensoos;;;;;;;;1;1
Things To Make And Do B.V.;;;;;;;1;;1
Thornstein Groep B.V.;;;;;;;;2;2
TimeTell B.V.;;;;;1;;;;1
T-Mobile Netherlands B.V.;;;;;;1;;;1
TNO B.V.;;;;;;;;1;1
Topbloemen Nederland B.V.;;;;;;;;1;1
TOPdesk Nederland B.V.;2;;;;;;;;2
Total Identity;;;;;;;2;;2
Trends Telematics Rotterdam B.V.;;;1;;;;;;1
Trusted-ID B.V.;;;;;2;;;1;2
Two Kings B.V.;;;2;;;;;;2
U&I Learning Nederland B.V.;;;;1;;;;;1
Uitgeverij de 12 Provinciën B.V.;;;;;;;1;;1
Uptrends B.V.;;;;;1;;;;1
UTS Van der Lee/Cors De Jongh B.V.;;;;;;;1;;1
VABI Software B.V.;;;;;1;;;;1
Van Buttingha Wichers Notarissen;;;;2;;;;;2
VCK Travel B.V.;;;;;;;;1;1
Vedeve Oirschot B.V.;;1;;;;;;;1
Vening;;;2;;;;;;2
Ver. Bedr. Jansen-Wijsmuller & Beuns B.V.;;;1;;;;;;1
Ver. Nederl. Organisaties Vrijwilligerswerk;;;;;;;2;;2
Verdonck, Klooster & Associates B.V.;;;;;;1;;6;6
Verhaallijnen;;;;;;;1;;1
Verizon Nederland B.V.;;;;;;;3;;3
Vertaalbureau Bothof;;;;;;;1;;1
Vertaalbureau Perfect B.V.;;;;;;;;1;1
vertalen.nl;;;;;;;;1;1
Videoregistraties.com;;;;;;;1;;1
Virtu Secure Webservices B.V.;;;;;5;7;;10;10
Visions Connected Netherlands B.V.;;1;;;;1;;;1
VisualizeMe B.V.;;;1;;;;1;;2
Vitasys B.V.;;2;1;;;1;;;2
Vodafone;;;;;;3;5;;5
Vodafone Libertel B.V.;;;1;;;1;7;1;7
Vorm Vijf Ontwerpteam B.V.;;;;;;;2;;2
Vos Olie & Gas B.V.;;2;;;;;;;2
WebEx Communications B.V.;;;1;1;;;;;1
Webhelp Nederland B.V.;;;;;;2;;7;7
Webscale B.V.;;;;;;;;2;2
Webservices.nl B.V.;;;;;1;;;;1
Westbury Software;;;;;2;;;;2
Wiebe Kiestra Fotografie;;;;;;;1;;1
Willems Van den Brink Architecten B.V.;;;1;;;;;;1
Wortgewandt;;;;;;;1;;1
Worth IT Webdevelopment B.V.;;;2;;;;;;2
WWplus B.V.;;;3;;;;;;3
Xcellent Automatisering B.V.;;;;2;;;;;2
Xerox (Nederland) B.V.;;2;7;;1;1;2;3;7
Xpirit Nederland B.V.;;;;;;;;1;1
XS4ALL Internet B.V.;;;;;1;1;1;;1
Yacht;;;;;;;;1;1
Z Index B.V.;;;;;;;2;;2
Ziggo B.V.;;;;;;;3;;3
Ziggo Services B.V.;;;;;;;1;;1
Ziggo Zakelijk Services B.V.;1;;;;;;;;1
Eindtotaal;5;11;9;9;10;9;9;11;13
