KADAAND;KADAAND_ID;KADAAND_VOLGNUMMER;EIGENDOMSSITUATIE;APARTEMENTSSITUATIE;OBJECTID;OPPERVL_GROND;SOORT_GROOTTE
GVH35 AU 00564 G 0000;138036;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153560;156;vastgesteld
GVH38 AX 03906 G 0000;35;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;35;269;vastgesteld
GVH27 AK 11585 G 0000;628762;7;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;284304;31;
GVH38 AX 04151 G 0000;39;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;39;15;vastgesteld
GVH38 AX 04152 G 0000;40;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;40;15;vastgesteld
GVH11 P 01747 G 0000;190252;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;243823;25;vastgesteld
LDN03 H 08292 G 0000;573721;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;241484;126;
GVH37 AW 04979 G 0000;412641;3;Gemeentelijk eigendom niet belast met erfpacht;Niet gesplitst in appartementsrechten;243137;0;vastgesteld
GVH38 AX 03876 G 0000;32;5;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;115944;290;vastgesteld
GVH38 AX 04407 G 0000;49;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;49;351;vastgesteld
LDN03 N 03028 G 0000;57765;4;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;241511;186;vastgesteld
GVH38 AX 04444 G 0000;51;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;51;236;vastgesteld
GVH19 AB 06884 G 0000;238649;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243836;159;vastgesteld
GVH38 AX 04541 G 0000;53;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;53;455;vastgesteld
GVH38 AX 04555 G 0000;54;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;54;1160;vastgesteld
GVH49 BK 03824 G 0000;883646;1;Gemeentelijk eigendom niet belast met erfpacht;Niet gesplitst in appartementsrechten;290245;2227;
GVH13 U 04312 G 0000;350418;7;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243167;0;vastgesteld
GVH43 BD 06671 G 0000;418629;7;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;243837;166;vastgesteld
GVH13 U 04287 G 0000;350404;10;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243189;0;vastgesteld
GVH10 O 07614 G 0000;187846;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;243209;166;vastgesteld
GVH15 W 02871 G 0000;217013;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;161481;150;vastgesteld
LDN03 M 06462 G 0000;438661;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;252372;226;vastgesteld
GVH12 R 09680 G 0000;199888;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243243;196;vastgesteld
GVH38 AX 05177 G 0000;71;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;71;749;vastgesteld
GVH49 BK 03822 G 0000;883642;1;Gemeentelijk eigendom niet belast met erfpacht;Niet gesplitst in appartementsrechten;290241;26;
GVH15 W 01635 G 0000;216365;3;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;132155;186;vastgesteld
GVH38 AX 05335 G 0000;77;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;77;377;vastgesteld
GVH38 AX 05340 G 0000;78;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;78;655;vastgesteld
GVH38 AX 05391 G 0000;79;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;79;17;vastgesteld
GVH15 W 01655 G 0000;216376;3;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;132156;148;vastgesteld
LDN03 M 06474 G 0000;438644;9;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;252384;13;vastgesteld
GVH16 X 02308 G 0000;220733;4;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;243245;153;vastgesteld
GVH13 U 04268 G 0000;350424;8;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243254;57;vastgesteld
GVH17 Y 01394 G 0000;228995;4;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;243268;323;vastgesteld
GVH13 U 04298 G 0000;350412;8;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243272;57;vastgesteld
GVH38 AX 05423 G 0000;88;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;88;716;vastgesteld
GVH34 AS 01797 G 0000;136267;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243276;162;vastgesteld
GVH30 AN 04215 G 0000;120381;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243283;157;vastgesteld
GVH38 AX 06122 G 0000;146;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;144;640;vastgesteld
GVH38 AX 06127 G 0000;147;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;145;432;vastgesteld
GVH48 BI 02100 G 0000;23423;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;255780;170;vastgesteld
GVH38 AX 06133 G 0000;150;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;148;461;vastgesteld
GVH38 AX 06135 G 0000;152;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;150;94;vastgesteld
GVH38 AX 06136 G 0000;153;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;151;94;vastgesteld
GVH49 BK 03791 G 0000;619643;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;256340;279;
GVH38 AX 06147 G 0000;156;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;154;105;vastgesteld
GVH01 D 01315 G 0000;165241;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;243358;155;vastgesteld
LDN03 H 06585 G 0000;38361;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;300941;109;vastgesteld
GVH07 K 03243 G 0000;173858;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;241424;30;vastgesteld
GVH13 U 04304 G 0000;350387;8;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243367;57;vastgesteld
GVH13 U 04315 G 0000;350421;9;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243369;0;vastgesteld
GVH17 Y 00900 G 0000;228771;8;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;254489;157;vastgesteld
GVH38 AX 06220 G 0000;186;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;184;485;vastgesteld
GVH38 AX 06221 G 0000;187;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;185;221;vastgesteld
GVH38 AX 06223 G 0000;188;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;186;708;vastgesteld
GVH38 AX 06224 G 0000;189;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;187;50;vastgesteld
LDN03 L 01261 G 0000;746635;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;301018;248;vastgesteld
GVH00 C 06297 G 0000;163944;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;241475;95;vastgesteld
GVH15 W 01112 G 0000;216117;3;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;130425;155;vastgesteld
GVH38 AX 06069 G 0000;126;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;124;1000;vastgesteld
GVH11 P 04827 G 0000;191072;5;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;284301;92;vastgesteld
GVH15 W 04405 G 0000;818638;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284279;12;vastgesteld
GVH12 R 05793 G 0000;199597;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;243409;214;vastgesteld
GVH13 U 04352 G 0000;991737;2;Gemeentelijk eigendom niet belast met erfpacht;Niet gesplitst in appartementsrechten;321860;11982;
GVH48 BI 03050 G 0000;284392;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;243441;130;vastgesteld
GVH38 AX 05513 G 0000;89;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;89;600;vastgesteld
GVH38 AX 05514 G 0000;90;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;90;555;vastgesteld
GVH01 D 01810 G 0000;165535;7;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;321903;120;vastgesteld
GVH38 AX 05576 G 0000;93;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;93;100;vastgesteld
GVH37 AW 04969 G 0000;412635;5;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243448;108;vastgesteld
GVH39 AY 04102 G 0000;6954;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;246616;195;vastgesteld
LDN03 M 05665 G 0000;54636;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;246625;16;vastgesteld
GVH03 F 02152 G 0000;168407;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;243138;1559;vastgesteld
GVH13 U 04303 G 0000;350408;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243140;57;vastgesteld
GVH38 AX 05598 G 0000;99;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;99;555;vastgesteld
GVH38 AX 05619 G 0000;100;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;100;2220;vastgesteld
GVH35 AU 02427 G 0000;139096;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153581;210;vastgesteld
GVH03 F 00047 G 0000;168090;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;135202;48;vastgesteld
GVH35 AU 01531 G 0000;138508;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153582;159;vastgesteld
GVH35 AU 00899 G 0000;138238;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153587;169;vastgesteld
GVH16 X 04713 G 0000;222543;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;105511;462;vastgesteld
GVH27 AK 03742 G 0000;86043;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;173665;203;vastgesteld
GVH38 AX 06172 G 0000;165;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;163;1200;vastgesteld
GVH38 AX 06181 G 0000;166;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;164;287;vastgesteld
GVH38 AX 06182 G 0000;167;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;165;169;vastgesteld
GVH38 AX 06183 G 0000;168;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;166;163;vastgesteld
GVH38 AX 06184 G 0000;169;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;167;40;vastgesteld
GVH38 AX 06185 G 0000;170;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;168;177;vastgesteld
GVH03 F 01168 G 0000;168161;5;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;243162;50;vastgesteld
GVH49 BK 02971 G 0000;25948;7;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;244925;2718;vastgesteld
GVH10 O 06956 G 0000;187692;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;241507;45;vastgesteld
GVH18 Z 01591 G 0000;231926;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;322890;121;vastgesteld
GVH26 AI 06038 G 0000;72173;3;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;322892;173;vastgesteld
GVH26 AI 10066 G 0000;82240;10;Gemeentelijk eigendom belast met erfpacht;Gesplitst in appartementsrechten;322900;907;vastgesteld
GVH27 AK 08198 G 0000;88530;6;Gemeentelijk eigendom belast met erfpacht;Gesplitst in appartementsrechten;322903;544;vastgesteld
GVH13 U 04277 G 0000;350417;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243190;57;vastgesteld
GVH38 AX 06244 G 0000;199;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;197;70;vastgesteld
GVH38 AX 06245 G 0000;200;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;198;679;vastgesteld
GVH37 AW 04964 G 0000;412631;5;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243228;108;vastgesteld
GVH43 BD 04094 G 0000;11276;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;101682;146;vastgesteld
LDN03 K 02876 G 0000;610634;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;244948;352;
GVH16 X 02184 G 0000;220632;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;244957;123;vastgesteld
GVH35 AU 01434 G 0000;138466;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153624;125;vastgesteld
GVH35 AU 00950 G 0000;138285;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153633;154;vastgesteld
GVH24 AG 02560 G 0000;256160;8;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;243256;64;vastgesteld
GVH20 AC 01757 G 0000;240999;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;241477;111;vastgesteld
GVH38 AX 06273 G 0000;213;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;210;580;vastgesteld
LDN03 H 08337 G 0000;647661;7;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;323833;217;
GVH38 AX 06283 G 0000;216;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;213;92;vastgesteld
GVH28 AL 06297 G 0000;106728;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;241502;120;vastgesteld
GVH38 AX 06287 G 0000;218;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;215;504;vastgesteld
GVH35 AU 02616 G 0000;139241;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153638;286;vastgesteld
GVH27 AK 01483 G 0000;84984;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;104195;163;vastgesteld
GVH35 AU 02735 G 0000;139322;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153649;11;vastgesteld
GVH07 K 01928 G 0000;172988;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;241419;36;vastgesteld
GVH38 AX 06519 G 0000;361;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;124961;676;vastgesteld
GVH21 AD 04640 G 0000;248279;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;323840;85;
GVH14 V 07551 G 0000;213798;6;Gemeentelijk eigendom belast met erfpacht;Gesplitst in appartementsrechten;321870;4832;vastgesteld
GVH23 AF 03528 G 0000;252780;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;104216;73;vastgesteld
GVH38 AX 06311 G 0000;233;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;230;205;vastgesteld
GVH38 AX 06312 G 0000;234;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;231;1105;vastgesteld
GVH17 Y 02862 G 0000;230784;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;323857;83;vastgesteld
GVH00 C 06261 G 0000;163844;8;Gemeentelijk eigendom belast met erfpacht;Gesplitst in appartementsrechten;321917;800;vastgesteld
GVH38 AX 06626 G 0000;901;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;322880;104;vastgesteld
GVH44 BE 04045 G 0000;15047;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;124968;436;vastgesteld
GVH28 AL 02608 G 0000;98541;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;245273;125;vastgesteld
LDN03 I 05825 G 0000;43839;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243297;385;vastgesteld
GVH13 U 04285 G 0000;350411;8;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243298;0;vastgesteld
GVH38 AX 05669 G 0000;111;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;111;500;vastgesteld
GVH38 AX 05746 G 0000;112;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;112;2090;vastgesteld
GVH03 F 02349 G 0000;276375;6;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;243316;5;vastgesteld
GVH38 AX 05760 G 0000;116;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;116;731;vastgesteld
GVH31 AO 02506 G 0000;127896;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;241476;148;vastgesteld
GVH27 AK 02854 G 0000;85586;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;125007;152;vastgesteld
GVH13 U 04272 G 0000;350389;10;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243348;0;vastgesteld
GVH38 AX 06103 G 0000;140;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;138;70;vastgesteld
GVH27 AK 11432 G 0000;261535;4;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;241495;371;vastgesteld
LDN03 N 04208 G 0000;65665;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243349;148;vastgesteld
LDN03 H 08126 G 0000;42599;3;Gemeentelijk eigendom niet belast met erfpacht;Niet gesplitst in appartementsrechten;252812;248;vastgesteld
GVH38 AX 06444 G 0000;332;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;319;517;vastgesteld
GVH38 AX 06446 G 0000;334;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;321;570;vastgesteld
GVH10 O 04222 G 0000;187461;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;135213;175;vastgesteld
GVH38 AX 06324 G 0000;241;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;238;38;vastgesteld
GVH38 AX 06326 G 0000;243;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;240;664;vastgesteld
GVH18 Z 02704 G 0000;233100;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;113368;124;vastgesteld
GVH30 AN 04230 G 0000;120395;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243331;180;vastgesteld
GVH37 AW 04970 G 0000;412630;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243364;125;vastgesteld
GVH38 AX 06327 G 0000;244;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;241;765;vastgesteld
GVH15 W 01793 G 0000;216445;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;243377;189;vastgesteld
GVH12 R 12816 G 0000;202983;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;243398;963;vastgesteld
GVH17 Y 00668 G 0000;228685;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;105227;44;vastgesteld
GVH06 I 02684 G 0000;172053;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;156280;58;vastgesteld
GVH27 AK 04298 G 0000;86353;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;296540;147;vastgesteld
GVH47 BH 03033 G 0000;22509;5;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;161502;147;vastgesteld
GVH45 BF 04669 G 0000;19470;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;135165;122;vastgesteld
GVH45 BF 04879 G 0000;566630;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;251203;213;
GVH17 Y 01109 G 0000;228886;4;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;105228;140;vastgesteld
LDN03 N 02281 G 0000;57098;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;251205;118;vastgesteld
GVH46 BG 03483 G 0000;19779;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284760;311;vastgesteld
LDN03 I 05509 G 0000;43615;3;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;284829;12;vastgesteld
GVH12 R 13044 G 0000;203371;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;135218;50;vastgesteld
LDN03 I 04321 G 0000;42755;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;166971;140;vastgesteld
GVH43 BD 04698 G 0000;11889;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284761;169;vastgesteld
GVH26 AI 09896 G 0000;82015;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;284766;113;vastgesteld
GVH48 BI 02234 G 0000;23544;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284825;138;vastgesteld
GVH02 E 02767 G 0000;166772;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;178669;275;vastgesteld
GVH43 BD 06263 G 0000;14607;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;300929;403;vastgesteld
GVH39 AY 04534 G 0000;7383;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;242959;115;vastgesteld
GVH08 L 13709 G 0000;336384;7;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;300979;66;vastgesteld
GVH43 BD 04364 G 0000;11609;6;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;242976;324;vastgesteld
GVH26 AI 02938 G 0000;69749;6;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;152692;107;vastgesteld
GVH26 AI 10494 G 0000;83155;5;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;242997;118;vastgesteld
GVH25 AH 03381 G 0000;258541;4;Gemeentelijk eigendom niet belast met erfpacht;Niet gesplitst in appartementsrechten;243006;620;vastgesteld
GVH45 BF 04643 G 0000;19444;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;105204;129;vastgesteld
GVH04 G 04928 G 0000;168819;5;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284755;8698;vastgesteld
GVH48 BI 02081 G 0000;23380;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;173662;143;vastgesteld
GVH38 AX 06397 G 0000;304;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;301;758;vastgesteld
GVH45 BF 04758 G 0000;344390;7;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;300980;1020;vastgesteld
GVH11 P 08448 G 0000;192539;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284765;1588;vastgesteld
GVH35 AU 00484 G 0000;137971;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;289146;440;vastgesteld
LDN03 I 07362 G 0000;632669;5;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284778;3;vastgesteld
GVH38 AX 06404 G 0000;308;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;305;838;vastgesteld
GVH38 AX 06412 G 0000;310;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;307;568;vastgesteld
GVH27 AK 04582 G 0000;86571;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;135186;660;vastgesteld
LDN03 M 06213 G 0000;56000;5;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;251214;6921;vastgesteld
LDN03 H 07647 G 0000;40400;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;251216;99;vastgesteld
GVH46 BG 04110 G 0000;20842;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;173661;293;vastgesteld
LDN03 I 05507 G 0000;43613;3;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;284743;10;vastgesteld
GVH38 AX 06458 G 0000;345;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;332;779;vastgesteld
GVH38 AX 06462 G 0000;349;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;336;68;vastgesteld
