FID,PUTNUMMER,DD_BRONBESTAND,DD_BIJGEWERKT,GEOMETRIE
BOR_RIO_KOLKEN.207,K82,2021-03-08,,POINT (187617.69 432898.72)
BOR_RIO_KOLKEN.208,K83,2021-03-08,,POINT (187596.44 432899.88)
BOR_RIO_KOLKEN.209,K84,2021-03-08,,POINT (187577.42 432900.88)
BOR_RIO_KOLKEN.210,K85,2021-03-08,,POINT (187576.97 432883.94)
BOR_RIO_KOLKEN.211,K86,2021-03-08,,POINT (187595.48 432882.97)
BOR_RIO_KOLKEN.212,K87,2021-03-08,,POINT (187616.94 432881.78)
BOR_RIO_KOLKEN.213,K88,2021-03-08,,POINT (187635.64 432880.75)
BOR_RIO_KOLKEN.214,K50216,2021-03-08,,POINT (188055.31 431151.12)
BOR_RIO_KOLKEN.215,K89,2021-03-08,,POINT (184195.49 427703.07)
BOR_RIO_KOLKEN.216,K90,2021-03-08,,POINT (184194.8 427703.28)
BOR_RIO_KOLKEN.217,K2269,2021-03-08,,POINT (183769.61 428152.3)
BOR_RIO_KOLKEN.218,K46889,2021-03-08,,POINT (186806.22 431929.25)
BOR_RIO_KOLKEN.219,K46842,2021-03-08,,POINT (186838.66 431954.8)
BOR_RIO_KOLKEN.220,K46386,2021-03-08,,POINT (186855.67 431962.34)
BOR_RIO_KOLKEN.221,K41998,2021-03-08,,POINT (184817.72 427877.75)
BOR_RIO_KOLKEN.222,K41999,2021-03-08,,POINT (184811.8 427887.1)
BOR_RIO_KOLKEN.223,K42000,2021-03-08,,POINT (184799.77 427899.6)
BOR_RIO_KOLKEN.224,K42002,2021-03-08,,POINT (184788.03 427912.5)
BOR_RIO_KOLKEN.225,K42001,2021-03-08,,POINT (184791.73 427922.44)
BOR_RIO_KOLKEN.226,K33367,2021-03-08,,POINT (188193.52 426808.6)
BOR_RIO_KOLKEN.227,K33368,2021-03-08,,POINT (188192.02 426792.66)
BOR_RIO_KOLKEN.228,K33369,2021-03-08,,POINT (188175.98 426797.44)
BOR_RIO_KOLKEN.229,K33370,2021-03-08,,POINT (188177.44 426813.1)
BOR_RIO_KOLKEN.230,K27238,2021-03-08,,POINT (184839.69 425738.7)
BOR_RIO_KOLKEN.231,K27239,2021-03-08,,POINT (184848.52 425729.16)
BOR_RIO_KOLKEN.232,K26543,2021-03-08,,POINT (184858.03 425718.88)
BOR_RIO_KOLKEN.233,K27057,2021-03-08,,POINT (184867.56 425708.62)
BOR_RIO_KOLKEN.234,K27088,2021-03-08,,POINT (184877.11 425698.28)
BOR_RIO_KOLKEN.235,K27090,2021-03-08,,POINT (184886.7 425687.88)
BOR_RIO_KOLKEN.236,K27236,2021-03-08,,POINT (184847.33 425773.25)
BOR_RIO_KOLKEN.237,K27235,2021-03-08,,POINT (184836.48 425785.34)
BOR_RIO_KOLKEN.238,K27183,2021-03-08,,POINT (184825.34 425797.72)
BOR_RIO_KOLKEN.239,K27184,2021-03-08,,POINT (184814.9 425809.34)
BOR_RIO_KOLKEN.240,K27234,2021-03-08,,POINT (184805.94 425819.34)
BOR_RIO_KOLKEN.241,K27182,2021-03-08,,POINT (184782.45 425798.03)
BOR_RIO_KOLKEN.242,K27165,2021-03-08,,POINT (184792.88 425786.25)
BOR_RIO_KOLKEN.243,K27164,2021-03-08,,POINT (184803.11 425774.9)
BOR_RIO_KOLKEN.244,K27163,2021-03-08,,POINT (184812.66 425764.25)
BOR_RIO_KOLKEN.245,K27091,2021-03-08,,POINT (184823.52 425752.2)
BOR_RIO_KOLKEN.246,K27416,2021-03-08,,POINT (184888.03 425577.78)
BOR_RIO_KOLKEN.247,K27288,2021-03-08,,POINT (184889.05 425576.62)
BOR_RIO_KOLKEN.248,K27242,2021-03-08,,POINT (184728.98 425570.94)
BOR_RIO_KOLKEN.249,K27251,2021-03-08,,POINT (184726.47 425566.8)
BOR_RIO_KOLKEN.250,K27120,2021-03-08,,POINT (184891.84 424251.88)
BOR_RIO_KOLKEN.251,K27121,2021-03-08,,POINT (184884.16 424260.78)
BOR_RIO_KOLKEN.252,K27122,2021-03-08,,POINT (184917.06 424273.16)
BOR_RIO_KOLKEN.253,K27123,2021-03-08,,POINT (184909.22 424282.28)
BOR_RIO_KOLKEN.254,K27124,2021-03-08,,POINT (184934.08 424303.97)
BOR_RIO_KOLKEN.255,K27125,2021-03-08,,POINT (184941.94 424294.84)
BOR_RIO_KOLKEN.256,K22049,2021-03-08,,POINT (185371.38 424187.47)
BOR_RIO_KOLKEN.257,K22050,2021-03-08,,POINT (185379.3 424178.28)
BOR_RIO_KOLKEN.258,K92,2021-03-08,,POINT (186158.7 432658.1)
BOR_RIO_KOLKEN.259,K93,2021-03-08,,POINT (185433.4 427401.53)
BOR_RIO_KOLKEN.260,K5876,2021-03-08,,POINT (184413.56 426533.2)
BOR_RIO_KOLKEN.261,K94,2021-03-08,,POINT (186451.9 432810.9)
BOR_RIO_KOLKEN.262,K95,2021-03-08,,POINT (186443.83 432803.5)
BOR_RIO_KOLKEN.263,K96,2021-03-08,,POINT (186439.6 432808.06)
BOR_RIO_KOLKEN.264,K97,2021-03-08,,POINT (186447.62 432815.47)
BOR_RIO_KOLKEN.265,K27126,2021-03-08,,POINT (186689.14 425321.97)
BOR_RIO_KOLKEN.266,K2270,2021-03-08,,POINT (188157.61 426810.7)
BOR_RIO_KOLKEN.267,K2271,2021-03-08,,POINT (188155.84 426792.84)
BOR_RIO_KOLKEN.268,K42364,2021-03-08,,POINT (186915.177 428722.085)
BOR_RIO_KOLKEN.269,K99,2021-03-08,,POINT (187109.84 426549.94)
BOR_RIO_KOLKEN.270,K27127,2021-03-08,,POINT (186727.19 425334.62)
BOR_RIO_KOLKEN.271,K27128,2021-03-08,,POINT (186712.45 425316.75)
BOR_RIO_KOLKEN.272,K100,2021-03-08,,POINT (185512.47 427596)
BOR_RIO_KOLKEN.273,K101,2021-03-08,,POINT (185565.75 427633.94)
BOR_RIO_KOLKEN.274,K2688,2021-03-08,,POINT (182352.38 426263.9)
BOR_RIO_KOLKEN.275,K103,2021-03-08,,POINT (185236.64 426498.94)
BOR_RIO_KOLKEN.276,K104,2021-03-08,,POINT (185139.48 426493.16)
BOR_RIO_KOLKEN.277,K105,2021-03-08,,POINT (185146.12 426486.84)
BOR_RIO_KOLKEN.278,K106,2021-03-08,,POINT (185153.95 426479.56)
BOR_RIO_KOLKEN.279,K107,2021-03-08,,POINT (185160.72 426473.34)
BOR_RIO_KOLKEN.280,K108,2021-03-08,,POINT (185185.53 426459.1)
BOR_RIO_KOLKEN.281,K109,2021-03-08,,POINT (185195.34 426445.9)
BOR_RIO_KOLKEN.282,K111,2021-03-08,,POINT (185132.7 426474.38)
BOR_RIO_KOLKEN.283,K114,2021-03-08,,POINT (185108.48 426534.34)
BOR_RIO_KOLKEN.284,K120,2021-03-08,,POINT (185186.5 426576.53)
BOR_RIO_KOLKEN.285,K123,2021-03-08,,POINT (185204.28 426551.97)
BOR_RIO_KOLKEN.286,K124,2021-03-08,,POINT (185209.89 426544.28)
BOR_RIO_KOLKEN.287,K125,2021-03-08,,POINT (185216.06 426535.88)
BOR_RIO_KOLKEN.288,K126,2021-03-08,,POINT (185218 426524.16)
BOR_RIO_KOLKEN.289,K127,2021-03-08,,POINT (185224.28 426515.75)
BOR_RIO_KOLKEN.290,K128,2021-03-08,,POINT (185230.78 426506.88)
BOR_RIO_KOLKEN.291,K130,2021-03-08,,POINT (185103.48 426582.38)
BOR_RIO_KOLKEN.292,K131,2021-03-08,,POINT (185094.89 426576.25)
BOR_RIO_KOLKEN.293,K132,2021-03-08,,POINT (185090.34 426558.7)
BOR_RIO_KOLKEN.294,K133,2021-03-08,,POINT (185095.92 426551.34)
BOR_RIO_KOLKEN.295,K134,2021-03-08,,POINT (185102.47 426542.34)
BOR_RIO_KOLKEN.296,K135,2021-03-08,,POINT (185114.48 426526.12)
BOR_RIO_KOLKEN.297,K136,2021-03-08,,POINT (185120.27 426518.38)
BOR_RIO_KOLKEN.298,K137,2021-03-08,,POINT (185126.27 426510.28)
BOR_RIO_KOLKEN.299,K138,2021-03-08,,POINT (185132.66 426501.7)
BOR_RIO_KOLKEN.300,K6486,2021-03-08,,POINT (186880.92 433480.9)
BOR_RIO_KOLKEN.301,K13734,2021-03-08,,POINT (183007.9 426129.88)
BOR_RIO_KOLKEN.302,K50234,2021-03-08,,POINT (181890.007 426545.269)
BOR_RIO_KOLKEN.303,K139,2021-03-08,,POINT (182376 427588.4)
BOR_RIO_KOLKEN.304,K2178,2021-03-08,,POINT (182293.56 427633.34)
BOR_RIO_KOLKEN.305,K50238,2021-03-08,,POINT (187501.596 430919.769)
BOR_RIO_KOLKEN.306,K40091,2021-03-08,,POINT (188215.36 428840.8)
BOR_RIO_KOLKEN.307,K42305,2021-03-08,,POINT (186111.827 424832.908)
BOR_RIO_KOLKEN.308,K50246,2021-03-08,,POINT (186696.945 424697.216)
BOR_RIO_KOLKEN.309,K50248,2021-03-08,,POINT (186694.55 424691.546)
BOR_RIO_KOLKEN.310,K50250,2021-03-08,,POINT (186893.058 424891.224)
BOR_RIO_KOLKEN.311,K4038,2021-03-08,,POINT (182943.19 426499.5)
BOR_RIO_KOLKEN.312,K46716,2021-03-08,,POINT (186924.38 433279.3)
BOR_RIO_KOLKEN.313,K46500,2021-03-08,,POINT (186928.53 433269.5)
BOR_RIO_KOLKEN.314,K2691,2021-03-08,,POINT (186937.11 433285.66)
BOR_RIO_KOLKEN.315,K50251,2021-03-08,,POINT (186930.78 433285.88)
BOR_RIO_KOLKEN.316,K50252,2021-03-08,,POINT (186933.16 433314.2)
BOR_RIO_KOLKEN.317,K2692,2021-03-08,,POINT (186939.55 433313.94)
BOR_RIO_KOLKEN.318,K2693,2021-03-08,,POINT (186941.83 433340.7)
BOR_RIO_KOLKEN.319,K50253,2021-03-08,,POINT (186935.48 433341.5)
BOR_RIO_KOLKEN.320,K44122,2021-03-08,,POINT (186937.8 433368.78)
BOR_RIO_KOLKEN.321,K2694,2021-03-08,,POINT (186944.16 433368.5)
BOR_RIO_KOLKEN.322,K2695,2021-03-08,,POINT (186947 433401.66)
BOR_RIO_KOLKEN.323,K46908,2021-03-08,,POINT (186935.4 433415.44)
BOR_RIO_KOLKEN.324,K50254,2021-03-08,,POINT (186922.48 433431.25)
BOR_RIO_KOLKEN.325,K50255,2021-03-08,,POINT (186928.107 433434.329)
BOR_RIO_KOLKEN.326,K50256,2021-03-08,,POINT (186911.557 433454.875)
BOR_RIO_KOLKEN.327,K50257,2021-03-08,,POINT (186896.185 433473.758)
BOR_RIO_KOLKEN.328,K45682,2021-03-08,,POINT (185809.72 429050.56)
BOR_RIO_KOLKEN.329,K46162,2021-03-08,,POINT (185828.98 429049.12)
BOR_RIO_KOLKEN.330,K46912,2021-03-08,,POINT (185742.89 429210.12)
BOR_RIO_KOLKEN.331,K50260,2021-03-08,,POINT (185726.94 429211.28)
BOR_RIO_KOLKEN.332,K141,2021-03-08,,POINT (185120.31 426462.84)
BOR_RIO_KOLKEN.333,K27133,2021-03-08,,POINT (188693.89 426371.2)
BOR_RIO_KOLKEN.334,K1657,2021-03-08,,POINT (184206.72 426496.47)
BOR_RIO_KOLKEN.335,K4823,2021-03-08,,POINT (184399.58 426530.12)
BOR_RIO_KOLKEN.336,K40580,2021-03-08,,POINT (184226.03 426500.16)
BOR_RIO_KOLKEN.337,K5877,2021-03-08,,POINT (184381.98 426526.3)
BOR_RIO_KOLKEN.338,K40583,2021-03-08,,POINT (184284.9 426508.6)
BOR_RIO_KOLKEN.339,K40582,2021-03-08,,POINT (184304.84 426511.75)
BOR_RIO_KOLKEN.340,K40135,2021-03-08,,POINT (184323.75 426515.03)
BOR_RIO_KOLKEN.341,K13585,2021-03-08,,POINT (184363.45 426522.66)
BOR_RIO_KOLKEN.342,K40579,2021-03-08,,POINT (184245.3 426502.66)
BOR_RIO_KOLKEN.343,K22053,2021-03-08,,POINT (185205.72 423966.28)
BOR_RIO_KOLKEN.344,K27240,2021-03-08,,POINT (184870.47 425674.03)
BOR_RIO_KOLKEN.345,K27237,2021-03-08,,POINT (184853.6 425767.25)
BOR_RIO_KOLKEN.346,K45915,2021-03-08,,POINT (185761.7 429032.28)
BOR_RIO_KOLKEN.347,K43756,2021-03-08,,POINT (185771.81 429033.34)
BOR_RIO_KOLKEN.348,K42353,2021-03-08,,POINT (186896.445 424697.499)
BOR_RIO_KOLKEN.349,K42357,2021-03-08,,POINT (186825.502 424722.366)
BOR_RIO_KOLKEN.350,K42351,2021-03-08,,POINT (186822.422 424717.327)
BOR_RIO_KOLKEN.351,K4625,2021-03-08,,POINT (188193.72 431408.84)
BOR_RIO_KOLKEN.352,K153,2021-03-08,,POINT (187565.67 432901.8)
BOR_RIO_KOLKEN.353,K154,2021-03-08,,POINT (187564.64 432884.84)
BOR_RIO_KOLKEN.354,K155,2021-03-08,,POINT (185148.86 426637.25)
BOR_RIO_KOLKEN.355,K158,2021-03-08,,POINT (184343.84 426518.88)
BOR_RIO_KOLKEN.356,K159,2021-03-08,,POINT (185896.92 432339.84)
BOR_RIO_KOLKEN.357,K2696,2021-03-08,,POINT (182126.62 427115.34)
BOR_RIO_KOLKEN.358,K2697,2021-03-08,,POINT (183617.36 428456.12)
BOR_RIO_KOLKEN.359,K161,2021-03-08,,POINT (185081.38 426572.38)
BOR_RIO_KOLKEN.360,K165,2021-03-08,,POINT (185101.62 426592.9)
BOR_RIO_KOLKEN.361,K166,2021-03-08,,POINT (185089.92 426584.4)
BOR_RIO_KOLKEN.362,K167,2021-03-08,,POINT (185079.05 426576.3)
BOR_RIO_KOLKEN.363,K168,2021-03-08,,POINT (185135.66 426618)
BOR_RIO_KOLKEN.364,K169,2021-03-08,,POINT (185127.2 426611.75)
BOR_RIO_KOLKEN.365,K4642,2021-03-08,,POINT (183939.11 428717.88)
BOR_RIO_KOLKEN.366,K4643,2021-03-08,,POINT (183940.28 428713.6)
BOR_RIO_KOLKEN.367,K181,2021-03-08,,POINT (185167.53 426467.03)
BOR_RIO_KOLKEN.368,K2272,2021-03-08,,POINT (187442.9 428415.34)
BOR_RIO_KOLKEN.369,K186,2021-03-08,,POINT (184946.22 426667.9)
BOR_RIO_KOLKEN.370,K187,2021-03-08,,POINT (184927.6 426660.53)
BOR_RIO_KOLKEN.371,K188,2021-03-08,,POINT (184908.97 426653.1)
BOR_RIO_KOLKEN.372,K189,2021-03-08,,POINT (184964.47 426675.3)
BOR_RIO_KOLKEN.373,K194,2021-03-08,,POINT (184200.53 427730.8)
BOR_RIO_KOLKEN.374,K195,2021-03-08,,POINT (184205.5 427700.47)
BOR_RIO_KOLKEN.375,K196,2021-03-08,,POINT (184196.14 427702.94)
BOR_RIO_KOLKEN.376,K197,2021-03-08,,POINT (184194.12 427703.44)
BOR_RIO_KOLKEN.377,K2179,2021-03-08,,POINT (183974.36 427753.72)
BOR_RIO_KOLKEN.378,K200,2021-03-08,,POINT (183628.34 427779.22)
BOR_RIO_KOLKEN.379,K22054,2021-03-08,,POINT (186883.97 429106.1)
BOR_RIO_KOLKEN.380,K4644,2021-03-08,,POINT (186228.34 429249.5)
BOR_RIO_KOLKEN.381,K4645,2021-03-08,,POINT (186208.88 429251)
BOR_RIO_KOLKEN.382,K4646,2021-03-08,,POINT (186194 429252.06)
BOR_RIO_KOLKEN.383,K4647,2021-03-08,,POINT (186173.22 429253.62)
BOR_RIO_KOLKEN.384,K4648,2021-03-08,,POINT (186159.6 429254.62)
BOR_RIO_KOLKEN.385,K22057,2021-03-08,,POINT (186587.834 428286.545)
BOR_RIO_KOLKEN.386,K2180,2021-03-08,,POINT (184147 426494.6)
BOR_RIO_KOLKEN.387,K29769,2021-03-08,,POINT (188492.34 427252.06)
BOR_RIO_KOLKEN.388,K40924,2021-03-08,,POINT (188528.9 428697.66)
BOR_RIO_KOLKEN.389,K40093,2021-03-08,,POINT (188658.38 428711.22)
BOR_RIO_KOLKEN.390,K40094,2021-03-08,,POINT (188641.44 428714.53)
BOR_RIO_KOLKEN.391,K40095,2021-03-08,,POINT (188624.25 428716.84)
BOR_RIO_KOLKEN.392,K37267,2021-03-08,,POINT (188617.28 428650.5)
BOR_RIO_KOLKEN.393,K38492,2021-03-08,,POINT (185363.42 425264.12)
BOR_RIO_KOLKEN.394,K38493,2021-03-08,,POINT (185380.27 425333.03)
BOR_RIO_KOLKEN.395,K38494,2021-03-08,,POINT (185365.69 425246.2)
BOR_RIO_KOLKEN.396,K38495,2021-03-08,,POINT (185373.2 425316.1)
BOR_RIO_KOLKEN.397,K2701,2021-03-08,,POINT (185283.03 429538.7)
BOR_RIO_KOLKEN.398,K2702,2021-03-08,,POINT (185315.4 429522.62)
BOR_RIO_KOLKEN.399,K2703,2021-03-08,,POINT (185395.38 429476.66)
BOR_RIO_KOLKEN.400,K2704,2021-03-08,,POINT (185398.23 429474.47)
BOR_RIO_KOLKEN.401,K206,2021-03-08,,POINT (184966.69 429706.56)
BOR_RIO_KOLKEN.402,K207,2021-03-08,,POINT (184960.25 429710.06)
BOR_RIO_KOLKEN.403,K208,2021-03-08,,POINT (184969.27 429695.3)
BOR_RIO_KOLKEN.404,K209,2021-03-08,,POINT (184962.02 429697.28)
BOR_RIO_KOLKEN.405,K210,2021-03-08,,POINT (184955.4 429700.2)
BOR_RIO_KOLKEN.406,K27148,2021-03-08,,POINT (185689.6 424144.94)
BOR_RIO_KOLKEN.407,K27149,2021-03-08,,POINT (185654.94 424114.78)
BOR_RIO_KOLKEN.408,K27150,2021-03-08,,POINT (185640.12 424101.97)
BOR_RIO_KOLKEN.409,K211,2021-03-08,,POINT (187533.16 428758.16)
BOR_RIO_KOLKEN.410,K212,2021-03-08,,POINT (187533.773 428757.869)
BOR_RIO_KOLKEN.411,K213,2021-03-08,,POINT (187533.38 428752.25)
BOR_RIO_KOLKEN.412,K214,2021-03-08,,POINT (187552.25 428753.25)
BOR_RIO_KOLKEN.413,K215,2021-03-08,,POINT (187538.42 428760.78)
BOR_RIO_KOLKEN.414,K216,2021-03-08,,POINT (187546.11 428743.06)
BOR_RIO_KOLKEN.415,K40100,2021-03-08,,POINT (188270.42 428980.62)
BOR_RIO_KOLKEN.416,K38809,2021-03-08,,POINT (188035.4 428868.72)
BOR_RIO_KOLKEN.417,K38810,2021-03-08,,POINT (188037.83 428871.53)
BOR_RIO_KOLKEN.418,K40102,2021-03-08,,POINT (187960.45 428921.78)
BOR_RIO_KOLKEN.419,K40103,2021-03-08,,POINT (187961.48 428927.62)
BOR_RIO_KOLKEN.420,K40104,2021-03-08,,POINT (187962.81 428934)
BOR_RIO_KOLKEN.421,K40105,2021-03-08,,POINT (187967.31 428937.1)
BOR_RIO_KOLKEN.422,K40106,2021-03-08,,POINT (187947.31 428890.9)
BOR_RIO_KOLKEN.423,K40107,2021-03-08,,POINT (187775.83 429045.53)
BOR_RIO_KOLKEN.424,K40108,2021-03-08,,POINT (187789.31 429051.06)
BOR_RIO_KOLKEN.425,K27156,2021-03-08,,POINT (186111.28 424852.5)
BOR_RIO_KOLKEN.426,K40676,2021-03-08,,POINT (187676.11 428773.06)
BOR_RIO_KOLKEN.427,K27157,2021-03-08,,POINT (186343.95 424841.3)
BOR_RIO_KOLKEN.428,K40591,2021-03-08,,POINT (187700.78 428856.1)
BOR_RIO_KOLKEN.429,K40592,2021-03-08,,POINT (187698.53 428859.47)
BOR_RIO_KOLKEN.430,K38812,2021-03-08,,POINT (187709.8 428852.66)
BOR_RIO_KOLKEN.431,K38813,2021-03-08,,POINT (187706.83 428860.16)
BOR_RIO_KOLKEN.432,K38814,2021-03-08,,POINT (187728.33 428792.16)
BOR_RIO_KOLKEN.433,K38815,2021-03-08,,POINT (188109.25 429043.12)
BOR_RIO_KOLKEN.434,K38816,2021-03-08,,POINT (188132.92 429034.62)
BOR_RIO_KOLKEN.435,K2159,2021-03-08,,POINT (187513.83 428950.7)
BOR_RIO_KOLKEN.436,K2710,2021-03-08,,POINT (188495.14 430849.8)
BOR_RIO_KOLKEN.437,K4652,2021-03-08,,POINT (188462.11 432103.66)
BOR_RIO_KOLKEN.438,K4653,2021-03-08,,POINT (188491.03 432114.94)
BOR_RIO_KOLKEN.439,K4654,2021-03-08,,POINT (188512.19 432123.78)
BOR_RIO_KOLKEN.440,K4655,2021-03-08,,POINT (188368.28 432059.3)
BOR_RIO_KOLKEN.441,K4656,2021-03-08,,POINT (188377.34 432069.4)
BOR_RIO_KOLKEN.442,K4657,2021-03-08,,POINT (188413.34 432084.78)
BOR_RIO_KOLKEN.443,K4658,2021-03-08,,POINT (188433.1 432092.47)
BOR_RIO_KOLKEN.444,K4659,2021-03-08,,POINT (188348.81 432057.3)
BOR_RIO_KOLKEN.445,K4660,2021-03-08,,POINT (188293.34 432034.03)
BOR_RIO_KOLKEN.446,K4661,2021-03-08,,POINT (188321.6 432044.94)
BOR_RIO_KOLKEN.447,K599,2021-03-08,,POINT (188080.98 430072.06)
BOR_RIO_KOLKEN.448,K4666,2021-03-08,,POINT (188067.73 430087.4)
BOR_RIO_KOLKEN.449,K13737,2021-03-08,,POINT (183983.23 424614.97)
BOR_RIO_KOLKEN.450,K46961,2021-03-08,,POINT (182447.16 426286.72)
BOR_RIO_KOLKEN.451,K46868,2021-03-08,,POINT (182440.89 426292.8)
BOR_RIO_KOLKEN.452,K43612,2021-03-08,,POINT (182425.69 426292.7)
BOR_RIO_KOLKEN.453,K50271,2021-03-08,,POINT (182415.33 426298.7)
BOR_RIO_KOLKEN.454,K13738,2021-03-08,,POINT (183972.06 424620.03)
BOR_RIO_KOLKEN.455,K13739,2021-03-08,,POINT (183978.31 424618.84)
BOR_RIO_KOLKEN.456,K13740,2021-03-08,,POINT (183984.66 424642.28)
BOR_RIO_KOLKEN.457,K38496,2021-03-08,,POINT (183941.25 423727.53)
BOR_RIO_KOLKEN.458,K2680,2021-03-08,,POINT (182942.08 426614.97)
BOR_RIO_KOLKEN.459,K259,2021-03-08,,POINT (186360.03 432539.03)
BOR_RIO_KOLKEN.460,K260,2021-03-08,,POINT (186442.48 432632.3)
BOR_RIO_KOLKEN.461,K261,2021-03-08,,POINT (185987.274 432058.312)
BOR_RIO_KOLKEN.462,K265,2021-03-08,,POINT (186428.78 432498.88)
BOR_RIO_KOLKEN.463,K266,2021-03-08,,POINT (186391.647 432584.242)
BOR_RIO_KOLKEN.464,K270,2021-03-08,,POINT (186310.78 432209.38)
BOR_RIO_KOLKEN.465,K38817,2021-03-08,,POINT (188057.12 429057.8)
BOR_RIO_KOLKEN.466,K2181,2021-03-08,,POINT (186642.9 429245.4)
BOR_RIO_KOLKEN.467,K38818,2021-03-08,,POINT (187359.11 429136.4)
BOR_RIO_KOLKEN.468,K38819,2021-03-08,,POINT (187984.5 429024.03)
BOR_RIO_KOLKEN.469,K40593,2021-03-08,,POINT (188083.66 428983.3)
BOR_RIO_KOLKEN.470,K38820,2021-03-08,,POINT (188073.4 428986.38)
BOR_RIO_KOLKEN.471,K38821,2021-03-08,,POINT (188072.64 428956.16)
BOR_RIO_KOLKEN.472,K38822,2021-03-08,,POINT (188076.86 428964.94)
BOR_RIO_KOLKEN.473,K38823,2021-03-08,,POINT (188080.94 428974.66)
BOR_RIO_KOLKEN.474,K38824,2021-03-08,,POINT (187668.83 429123.4)
