FID,naam,se_anno_cad_data,gdb_geomattr_data,shape
2e_herziening_serie3_index.44,36 moerdijk_4e uitg_1940,,,"POLYGON ((99108.45699999854 410492.51099999994, 99108.45699999854 418498.63599999994, 104107.17300000042 418498.63599999994, 104107.17300000042 410492.51099999994, 99108.45699999854 410492.51099999994))"
2e_herziening_serie3_index.45,37 noordschans_3e uitg_1940,,,"POLYGON ((91085.4059999995 410053.9120000005, 91085.4059999995 415100.1319999993, 99122.07299999893 415100.1319999993, 99122.07299999893 410053.9120000005, 91085.4059999995 410053.9120000005))"
2e_herziening_serie3_index.46,38 willemstad_2e uitg_1959,,,"POLYGON ((86001.44900000095 409688.5219999999, 86001.44900000095 417701.743999999, 91109.62200000137 417701.743999999, 91109.62200000137 409688.5219999999, 86001.44900000095 409688.5219999999))"
2e_herziening_serie3_index.47,39 dintelsas_2e uitg_1957,,,"POLYGON ((80500.43200000003 405377.118999999, 80500.43200000003 410396.2049999982, 88499.44000000134 410396.2049999982, 88499.44000000134 405377.118999999, 80500.43200000003 405377.118999999))"
2e_herziening_serie3_index.48,40 den bommel_2e uitg_1958,,,"POLYGON ((78088.61400000006 410367.9219999984, 78088.61400000006 415384.5450000018, 86012.69799999893 415384.5450000018, 86012.69799999893 410367.9219999984, 78088.61400000006 410367.9219999984))"
2e_herziening_serie3_index.49,41 tien gemeten_2e uitg_1950,,,"POLYGON ((78095.48200000077 415366.1710000001, 78095.48200000077 420405.8220000006, 86003.75899999961 420405.8220000006, 86003.75899999961 415366.1710000001, 78095.48200000077 415366.1710000001))"
2e_herziening_serie3_index.50,42 stad aan t-haringvliet_2e uitg_1957,,,"POLYGON ((73093.25600000098 414477.46499999985, 73093.25600000098 422491.0009999983, 78121.43299999833 422491.0009999983, 78121.43299999833 414477.46499999985, 73093.25600000098 414477.46499999985))"
2e_herziening_serie3_index.51,43 middelharnis_1e uitg_1953,,,"POLYGON ((68803.6959999986 419494.8539999984, 68803.6959999986 427505.4530000016, 73806.32200000063 427505.4530000016, 73806.32200000063 419494.8539999984, 68803.6959999986 419494.8539999984))"
2e_herziening_serie3_index.52,44 hellevoetsluis_1e uitg_1959,,,"POLYGON ((63796.70899999887 421240.4990000017, 63796.70899999887 429256, 68806.71799999848 429256, 68806.71799999848 421240.4990000017, 63796.70899999887 421240.4990000017))"
2e_herziening_serie3_index.53,45 goedereede_1e uitg_1960,,,"POLYGON ((55778.38899999857 424046.24599999934, 55778.38899999857 430035.5159999989, 63829.7490000017 430035.5159999989, 63829.7490000017 424046.24599999934, 55778.38899999857 424046.24599999934))"
2e_herziening_serie3_index.54,46 rockanje_1e uitg_1956,,,"POLYGON ((60520.63300000131 429244.188000001, 60520.63300000131 436269.46599999815, 65498.311000000685 436269.46599999815, 65498.311000000685 429244.188000001, 60520.63300000131 429244.188000001))"
2e_herziening_serie3_index.55,01 eijsden_1934,,,"POLYGON ((173717.67700000107 305493.15900000185, 173717.67700000107 311808.3269999996, 178757.97700000182 311808.3269999996, 178757.97700000182 305493.15900000185, 173717.67700000107 305493.15900000185))"
2e_herziening_serie3_index.56,02 maastricht_3e uitg_1933,,,"POLYGON ((174947.69999999925 311784.73099999875, 174947.69999999925 319312.08900000155, 179943.23299999908 319312.08900000155, 179943.23299999908 311784.73099999875, 174947.69999999925 311784.73099999875))"
2e_herziening_serie3_index.57,03 itteren_3e uitg_1933,,,"POLYGON ((175083.60799999908 319301.5229999982, 175083.60799999908 328299.3839999996, 181122.5450000018 328299.3839999996, 181122.5450000018 319301.5229999982, 175083.60799999908 319301.5229999982))"
2e_herziening_serie3_index.58,04 stein_3e uitg_1940,,,"POLYGON ((177264.86499999836 328293.1220000014, 177264.86499999836 337307.57400000095, 183281.7650000006 337307.57400000095, 183281.7650000006 328293.1220000014, 177264.86499999836 328293.1220000014))"
2e_herziening_serie3_index.59,05 grevenbicht_3e uitg_1938,,,"POLYGON ((178554.3900000006 337293.94900000095, 178554.3900000006 343308.5560000017, 187537.1959999986 343308.5560000017, 187537.1959999986 337293.94900000095, 178554.3900000006 337293.94900000095))"
2e_herziening_serie3_index.60,06 roosteren_3e uitg_1940,,,"POLYGON ((181845.77600000054 343294.65300000086, 181845.77600000054 348310.4310000017, 189842.2800000012 348310.4310000017, 189842.2800000012 343294.65300000086, 181845.77600000054 343294.65300000086))"
2e_herziening_serie3_index.61,07 stevensweert_3e uitg_1951,,,"POLYGON ((184995.56899999827 348285.9149999991, 184995.56899999827 355309.02899999917, 190094.2100000009 355309.02899999917, 190094.2100000009 348285.9149999991, 184995.56899999827 348285.9149999991))"
2e_herziening_serie3_index.62,08 linne_3e uitg_1951,,,"POLYGON ((190084.40399999917 351142.88699999824, 190084.40399999917 359166.0709999986, 195108.33900000155 359166.0709999986, 195108.33900000155 351142.88699999824, 190084.40399999917 351142.88699999824))"
2e_herziening_serie3_index.63,09 roermond_3e uitg_1956,,,"POLYGON ((195090.87099999934 353794.80000000075, 195090.87099999934 361804.19999999925, 200112.7589999996 361804.19999999925, 200112.7589999996 353794.80000000075, 195090.87099999934 353794.80000000075))"
2e_herziening_serie3_index.64,10 kessel_3e uitg_1956,,,"POLYGON ((196970.09099999815 361797.5560000017, 196970.09099999815 369809.62099999934, 201971.3999999985 369809.62099999934, 201971.3999999985 361797.5560000017, 196970.09099999815 361797.5560000017))"
2e_herziening_serie3_index.65,11 belfeld_3e uitg_1956,,,"POLYGON ((201966.9539999999 366212.7340000011, 201966.9539999999 374256.7340000011, 206974.9539999999 374256.7340000011, 206974.9539999999 366212.7340000011, 201966.9539999999 366212.7340000011))"
2e_herziening_serie3_index.66,12 venlo_3e uitg_1957,,,"POLYGON ((205896.0300000012 372876.18200000003, 205896.0300000012 380869.73900000006, 210908.48299999908 380869.73900000006, 210908.48299999908 372876.18200000003, 205896.0300000012 372876.18200000003))"
2e_herziening_serie3_index.67,13 lottum_3e uitg_1955,,,"POLYGON ((206755.35300000012 380869.3819999993, 206755.35300000012 388872.5729999989, 211785.26900000125 388872.5729999989, 211785.26900000125 380869.3819999993, 206755.35300000012 380869.3819999993))"
2e_herziening_serie3_index.68,14 broekhuizenvorst_3e uitg_1954,,,"POLYGON ((202304.1099999994 388863.26199999824, 202304.1099999994 394078.9140000008, 210549.52600000054 394078.9140000008, 210549.52600000054 388863.26199999824, 202304.1099999994 388863.26199999824))"
2e_herziening_serie3_index.69,15 geijsteren_3e uitg_1953,,,"POLYGON ((198952.51999999955 394068.3429999985, 198952.51999999955 399269.04199999943, 206951.62999999896 399269.04199999943, 206951.62999999896 394068.3429999985, 198952.51999999955 394068.3429999985))"
2e_herziening_serie3_index.70,16 vierlingsbeek_3e uitg_1953,,,"POLYGON ((194875.62200000137 399266.1570000015, 194875.62200000137 404280.6700000018, 202912.45600000024 404280.6700000018, 202912.45600000024 399266.1570000015, 194875.62200000137 399266.1570000015))"
2e_herziening_serie3_index.71,17 sambeek_3e uitg_1955,,,"POLYGON ((192632.10200000182 404261.56500000134, 192632.10200000182 409276.11499999836, 200606.18499999866 409276.11499999836, 200606.18499999866 404261.56500000134, 192632.10200000182 404261.56500000134))"
2e_herziening_serie3_index.72,18 gennep_3e uitg_1952,,,"POLYGON ((192156.34800000116 409267.84099999815, 192156.34800000116 417270.4129999988, 197172.54100000113 417270.4129999988, 197172.54100000113 409267.84099999815, 192156.34800000116 409267.84099999815))"
2e_herziening_serie3_index.73,19 mook_3e uitg_1949,,,"POLYGON ((187154.98299999908 412602.7670000009, 187154.98299999908 420629.44099999964, 192157.22399999946 420629.44099999964, 192157.22399999946 412602.7670000009, 187154.98299999908 412602.7670000009))"
2e_herziening_serie3_index.74,20 linden_3e uitg_1949,,,"POLYGON ((182155.37299999967 412725.9270000011, 182155.37299999967 420711.813000001, 187160.4759999998 420711.813000001, 187160.4759999998 412725.9270000011, 182155.37299999967 412725.9270000011))"
2e_herziening_serie3_index.75,21 grave_3e uitg_1949,,,"POLYGON ((174152.3209999986 416781.2679999992, 174152.3209999986 421812.45600000024, 182161.96200000122 421812.45600000024, 182161.96200000122 416781.2679999992, 174152.3209999986 416781.2679999992))"
2e_herziening_serie3_index.76,22 ravenstein_3e uitg_1950,,,"POLYGON ((172680.05099999905 421794.0610000007, 172680.05099999905 426811.4930000007, 179706.25699999928 426811.4930000007, 179706.25699999928 421794.0610000007, 172680.05099999905 421794.0610000007))"
2e_herziening_serie3_index.77,23 batenburg_3e uitg_1950,,,"POLYGON ((167688.5080000013 421495.7270000018, 167688.5080000013 429503.2120000012, 172710.52199999988 429503.2120000012, 172710.52199999988 421495.7270000018, 167688.5080000013 421495.7270000018))"
2e_herziening_serie3_index.78,24 megen_3e uitg_1950,,,"POLYGON ((162694.53599999845 422089.26399999857, 162694.53599999845 430104.1970000006, 167710.9200000018 430104.1970000006, 167710.9200000018 422089.26399999857, 162694.53599999845 422089.26399999857))"
2e_herziening_serie3_index.79,25 alphen_3e uitg_1950,,,"POLYGON ((157685.97899999842 421253.38899999857, 157685.97899999842 429284.83300000057, 162714.30600000173 429284.83300000057, 162714.30600000173 421253.38899999857, 157685.97899999842 421253.38899999857))"
2e_herziening_serie3_index.80,26 varik_3e uitg_1960,,,"POLYGON ((149687.50499999896 422487.69099999964, 149687.50499999896 427507.19099999964, 157712.29399999976 427507.19099999964, 157712.29399999976 422487.69099999964, 149687.50499999896 422487.69099999964))"
