OBJECTID,AGEMATERIAAL,AGEGEBRUIKSTATUS,AGELABELCODE,AGEOPMERKING,MBSDIAMETERBINNEN,MBSDIAMETERBUITEN,AGEIDENT,GLOBALID,LDG_LDG_ID,AGE_AGE_ID,SHAPE_Length
490,18,300,,,,900,21855,{FD78F124-813B-4894-9F79-F4CAE74D9C13},{72D359B0-759A-4BB8-A193-332A93173E8A},,0.000258194346371144
491,18,300,,,206,219,27300,{92848331-ECE1-438E-83D6-F1713A68ABF1},{EEA96E1A-A724-43D1-BFD7-750F85721426},,0.000158338596808381
492,18,300,,overgedragen aan gemeente per 1-1-19,,200,12255,{82B5DCF0-E9DB-40F5-99AE-A4A901481E75},{3738BDE7-7741-4D02-9FE3-32D997F4C332},,0.000214986798375314
493,18,300,,,206,219,27302,{6FDB1E31-C235-428E-A7E8-92C36A246091},{EEA96E1A-A724-43D1-BFD7-750F85721426},,0.000127808544074332
494,18,300,,overgedragen aan gemeente per 1-1-19,,178,17058,{66A25A73-B5DB-47FC-B515-4320C9465E06},{EE3467A4-9616-4DC5-BEAA-C0B7C7893F03},,0.000126304765158773
495,18,300,,overgedragen aan gemeente per 1-1-19,,,17059,{2EF66FC1-199B-451E-B069-E0572225AA52},{EE3467A4-9616-4DC5-BEAA-C0B7C7893F03},,7.81161355034564e-05
496,,300,,Mantelbuis staal,,,BC1298,{41DF0BD2-08F7-4E9D-9A47-A61C151603FB},{19BB15B3-95DB-9AFD-E053-07011EAC467A},,0.000266909163015773
497,,300,,Mantelbuis staal 127x118,,,BC1266,{20B4BB88-BBC6-4FDE-B0D8-B6702423D59D},{19BB15B3-95DB-9AFD-E053-07011EAC467A},,8.11009436861236e-05
498,,300,,Spoorkruising,,,BC1272,{60C47966-1AE0-4069-B8B3-58DE23EC2C68},{19BB15B3-95DB-9AFD-E053-07011EAC467A},,0.000174870030737932
499,1,300,,,1100,,23777,{8B3D63A6-B4E0-44C8-BEDA-5248C972DC22},{337F02F2-4758-4E0F-8066-3B1860735095},,0.00101621902341661
500,18,300,,,,323,26016,{F2644E41-5F1A-47C2-8A07-466946FF79D7},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,0.000330847413625253
501,18,300,,,,,27935,{2918CA4D-AFF9-49B4-8F6E-962E7CDEA3F1},{DBF0FC8D-4E96-4CA9-80A9-CB3A981DA42A},,4.49078587989915e-05
502,6,300,,,,250,BC180,{C5B23F8A-7DD4-412B-B2AE-BAF18B326143},{19BB15B3-960E-9AFD-E053-07011EAC467A},,4.54917171752935e-05
503,,300,,Mantelbuis staal,,315,BC238,{9D1583F3-C281-4883-9EFE-63D4DE1D1BD0},{19BB15B3-95D9-9AFD-E053-07011EAC467A},,7.30355306173591e-05
504,6,300,,,,,BC178,{343A9CFE-09EE-4CFB-9D5E-D67C80255DA1},{19BB15B3-960E-9AFD-E053-07011EAC467A},,7.66663514697221e-05
505,,300,,Mantelbuis PVC ø160,,160,BC1162,{391335FA-3387-4268-9A27-02572A77C388},{19BB15B3-9606-9AFD-E053-07011EAC467A},,8.79252561457022e-05
506,,300,,Mantelbuis PVC,,160,BC280,{C4C1C201-6B86-4551-B112-92881D4AC0AA},{19BB15B3-95DA-9AFD-E053-07011EAC467A},,0.000235471937691914
507,18,300,,,347,355,23138,{A0075BBF-5FC3-47E7-B7DA-2C090E80D254},{35F6A19F-99A7-402A-9046-4FDA9619C02A},,9.93491027777852e-05
