Ministerie;Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
AZ;BVA bond van adverteerders;;;;;;;;1;;1
AZ;Café de Wijnhaven B.V.;;;;;;;1;;;1
AZ;Café Huppel 'The Pub';;;;1;;;;;;1
AZ;Café Restaurant Rootz B.V.;;;;1;;;;;;1
AZ;Capgemini N.V.;;;;;;1;;;;1
AZ;Catharel;;;;;;1;;;;1
AZ;Centrum Quadraat;;;;;;1;;;;1
AZ;Chocolaterie Zoete Lekkernij;;;;1;;;;;;1
AZ;Ciao! Ciao! B.V.;;;;1;;;;;;1
AZ;Cimon B.V.;;;;;;1;;;;1
AZ;Clou, voor Marketing, Informatie en Research;;;;;;1;;;;1
AZ;Compu'Train Opleidingen B.V.;;;;;;1;;;;1
AZ;Concepts for Content;;;;;;1;;;;1
AZ;CorpTV;;;;;;1;;;;1
AZ;Cottontree Mer by Gert-Jan;;;;1;;;;;;1
AZ;Cuisine Royale B.V.;;;;1;;;;;;1
AZ;De Baak B.V.;;;;;;2;;;;2
AZ;De Blogacademie;;;;;;1;;;;1
AZ;De Byzantijn;;;;1;;;;;;1
AZ;De Haagse Creatieven Alliantie B.V.;;;;;;;1;;;1
AZ;De Walvis, Tekst, Training en Advies;;;;;;1;;;;1
AZ;Deloitte Consulting B.V.;;;;;;2;;;;2
AZ;DIOR Opleidingen;;;;;;2;;;;2
AZ;Dream in Colours;;;;;;;1;;;1
AZ;Duoprint t.h.o.d.n. Multicopy Den Haag Centr.;;;;;;1;;;;1
AZ;Eduvision B.V.;;;;;;1;;;;1
AZ;Entopic B.V.;;;;;;1;;1;;1
AZ;Ergatis B.V.;;;1;;;;;;;1
AZ;Erik Hartman Communicatie;;;;;;1;;;;1
AZ;Escape Challenge B.V.;;;;;;;1;;;1
AZ;Eur. Instit. voor Certified Public Controll.;;;;;;;;1;;1
AZ;EURIB/Europ. Instit. for Brand Managem. B.V.;;;;;;1;;;;1
AZ;European Language Centre B.V.;;;;;;1;;;;1
AZ;Fletcher Hotel-Restaurant Heiloo;;;;;;;;;1;1
AZ;Frank van Beek Fotografie;;;;1;;;;;;1
AZ;Friederike de Raat Journalist. & Communicatie;;;;;;1;;;;1
AZ;Gastronomia Lusso;;;;1;;;;;;1
AZ;Gazooom Network;;;;;;1;;;;1
AZ;Gemeenschappel. Regeling Regio West-Brabant;;;;;;1;;;;1
AZ;GIMD B.V.;;;1;;;;;;;1
AZ;Gladwell Academy B.V.;;;;;;2;;;;2
AZ;GPAW;;;;;;1;;;;1
AZ;Grandcafe Haagsche Bluf;;;;;;;1;;;1
AZ;Greenbean;;;;1;;;;;;1
AZ;Grey Amsterdam;;;;;;1;;;;1
AZ;GroupM B.V.;;;;;;1;;;;1
AZ;Gwendolynn intuitieve massage praktijk;;;;;;;1;;;1
AZ;H.M.G. Dittmar;;;;;;2;;;;2
AZ;Hanting Cuisine B.V.;;;;1;;;;;;1
AZ;HC Producties;;;;;;1;;;;1
AZ;Het Haagsche Schouw;;;;;;;;1;;1
AZ;Het Heden;;;;1;;;;;;1
AZ;Hogeschool Utrecht;;;;;;2;;;;2
AZ;Holding Beheermaatschappij Ropeni B.V.;;;;1;;;;;;1
AZ;Holland Catering Specialisten Loc. Woudestein;;;;;;;1;;;1
AZ;Hotel/Restaurant Corona;;;;;;;;;1;1
AZ;House of Lords;;;;1;;;2;;;2
AZ;HTM Specials B.V.;;;;1;;;;;;1
AZ;Human Factors NL;;;;;;1;;;;1
AZ;Iacobien;;;;;;2;;;;2
AZ;ICM Administratie B.V.;;;;;;1;;;;1
AZ;ICM Opleidingen & Trainingen B.V.;;;;;;2;;;;2
AZ;IM Social;;;;;;1;;;;1
AZ;InCT Publishing B.V.;;;;;;;;1;;1
AZ;Information Security Academy B.V.;;;;;;1;;;;1
AZ;Institute of Protocol The Hague B.V.;;;;;;1;;;;1
AZ;Intenz Gezondheidsplan B.V.;;;1;;;;;;;1
AZ;Interieur Corner B.V.;;;;;;;;;1;1
AZ;Istana Indonesisch Restaurant;;;;1;;;;;;1
AZ;IT Management Group;;;;;;1;;;;1
AZ;JR Horeca Company B.V.;;;;1;;;;;;1
AZ;Karakter.TV;;;;;;1;;;;1
AZ;KLM Health Services;;;1;;;;;;;1
AZ;Kluwer Opleidingen;;;;;;1;;;;1
AZ;Koffie- en Eetsalon 't Achterommetje;;;;;;;1;;;1
AZ;Kon. Ned. Veren. van Informatieprofessionals;;;;;;;;1;;1
AZ;Kon. Verenig. van Archivarissen in Nederland;;;;;;;;1;;1
AZ;La Taperita;;;;;;;1;;;1
AZ;Lagerweij Zaltbommel B.V.;;;;;;1;;;;1
AZ;Landgoed de Horst;;;;;;1;;;;1
AZ;Landgoed Duin & Kruidberg B.V.;;;;;;;1;;;1
AZ;Lectric Opleidingen B.V.;;;;;;1;;;;1
AZ;Licht op de Zaak;;;;;;1;;;;1
AZ;Lloyd Hotel B.V.;;;;;;;;;1;1
AZ;Logeion;;;;;;1;;1;;1
AZ;Madurodam;;;;1;;;;;;1
AZ;Mainpress B.V.;;;;;;1;;;;1
AZ;Marcus Evans (Holland) Limited;;;;;;1;;;;1
AZ;MarktOnderzoekAssociatie.nl;;;;;;;;1;;1
AZ;Martijn Beekman Fotografie;;;;;;;1;;;1
AZ;Masterclass Academy of Languages B.V.;;;;;;1;;;;1
AZ;Maxlead Services B.V.;;;;;;1;;;;1
AZ;MB Evenementen;;;;;;;1;;;1
AZ;Media Academie B.V.;;;;;;1;;;;1
AZ;Media Werkgroep;;;;;;;;1;;1
AZ;Mercure Hotel Zwolle;;;;;;;;;1;1
AZ;MK 24;;;;;;1;;;;1
AZ;Mobility Mixx B.V.;;;;;;;;;5;5
AZ;Moeskops B.V.;;;;;;1;;;;1
AZ;Museum Catering B.V.;;;;1;;;;;;1
AZ;Museum Quarter B.V.;;;;;;;;;1;1
AZ;Nationale Stichting de Nieuwe Kerk;;;;;;;1;;;1
AZ;Navigatiestemmen.nl;;;;;;;1;;;1
AZ;Ned. Gen.schap van Funct. Gegevensbescherming;;;;;;;;1;;1
AZ;Nederl. Ber.ver. voor Contractmanagement;;;;;;;;1;;1
AZ;NEVI-Purspective B.V.;;;;;;2;;1;;2
AZ;Nielsen Media Research B.V.;;;;;;;;1;;1
AZ;NIMA-Nederlands Instituut voor Marketing;;;;;;;;1;;1
AZ;NLJUG B.V.;;;;;;;;1;;1
AZ;Northstorm;;;;;;;1;;;1
AZ;Novotel Den Haag;;;;;;;;;1;1
AZ;NS Reizigers B.V.;;;;;;;;;3;3
AZ;Nter Solutions;;;;1;;;;;;1
AZ;ONEforONE B.V.;;;;1;;;;;;1
AZ;Ontbijt & Lunch Juni;;;;1;;;;;;1
AZ;O'Reilly;;;;;;1;;;;1
AZ;Park-line B.V.;;;;;;;;;1;1
AZ;Pastis Den Haag B.V.;;;;1;;;;;;1
AZ;Pazzimusic;;;;1;;;;;;1
AZ;Phoenix Opleidingen;;;;;;1;;;;1
AZ;Pino Evenementen & Congressen B.V.;;;;;;1;;;;1
AZ;ProHuman B.V.;;;;;;1;;;;1
AZ;Prokwadraat;;;;1;;;;;;1
AZ;Purple Monkey;;;;;;1;;;;1
AZ;Q-Link Bemiddeling & Advies;;;;;;1;;;;1
AZ;R.J.W. Hulst Agenturen;;;;;;;1;;;1
AZ;Raatwerk B.V.;;;1;;;;;;;1
AZ;Restaurant Bar Artusi;;;;1;;;;;;1
AZ;Restaurant Giuliano;;;;;;;1;;;1
AZ;Restaurant Karakter;;;;;;;1;;;1
AZ;Ricardo Balans Communicatie;;;;;;1;;;;1
AZ;ROI B.V.;;;;;;1;;;;1
AZ;Roma Terneuzen B.V.;;;;;;;;;1;1
AZ;Sancy Tres B.V.;;;;1;;;;;;1
AZ;Santé Horeca Beheer B.V.;;;;1;;;1;;;1
AZ;SBI Training en Advies/FNV Formaat B.V.;;;;;;1;;;;1
AZ;SchoolvoorCoaching B.V.;;;;;;1;;;;1
AZ;Schouten & Nelissen Nederland B.V.;;;;;;1;;;;1
AZ;Schworks;;;;;;1;;;;1
AZ;Scrum Company;;;;;;1;;;;1
AZ;Seegers Coaching;;;;;;1;;;;1
AZ;Senior Jurist Training & Coaching;;;;;;1;;;;1
AZ;Simon Peter Been;;;;;;1;;1;;1
AZ;Skils B.V.;;;;;;1;;;;1
AZ;Slagerij Dungelmann B.V.;;;;1;;;;;;1
AZ;Sligro;;;;1;;;1;;;1
AZ;SNR Schouten & Nelissen Recovery B.V.;;;;;;1;;;;1
AZ;Specialtours Events;;;;;;;1;;;1
AZ;Speechless;;;;;;1;;;;1
AZ;Spice Events;;;;;;;1;;;1
AZ;SRM Aktiviteiten B.V.;;;;;;1;;;;1
AZ;SRM Communicatie B.V.;;;;;;1;;;;1
AZ;Stavoor B.V.;;;;;;1;;;;1
AZ;Stg. Descartes, Kring vr. Inst. Franç. P-Bas;;;;;;1;;;;1
AZ;Sticht. ROI v/h het Rijks Opleidingsinstituut;;;;;;1;;;;1
AZ;Stichting 24Festival;;;;;;1;;;;1
AZ;Stichting Aanbestedingsrecht;;;;;;;;1;;1
AZ;Stichting Continuïteit Schrijversvakschool;;;;;;1;;;;1
AZ;Stichting De Ooievaart;;;;1;;;;;;1
AZ;Stichting Golf Duinzicht;;;;1;;;;;;1
AZ;Stichting Infographicscongres Nederland;;;;;;1;;;;1
AZ;Stichting Internat. Perscentrum 'Nieuwspoort';;;;;;;;1;;1
AZ;Stichting Present Den Haag;;;;;;;1;;;1
AZ;Stoelmassage op locatie Roemers;;;;;;;1;;;1
AZ;Strandpaviljoen Buiten B.V.;;;;1;;;;;;1
AZ;'t Goude Hooft Exploitatie B.V.;;;;1;;;1;;1;1
AZ;T.I.D.;;;;;1;;;;;1
AZ;Taat & Friends B.V.;;;;1;;;;;;1
AZ;Taleninstituut Nederland;;;;;;1;;;;1
AZ;Talent Factor Consultancy;;;;;;1;;;;1
AZ;Taveerne De Resident;;;;1;;;;;;1
AZ;TeamChange Talentontwikkeling;;;;;;1;;;;1
AZ;Tezet Business Gifts B.V.;;;;1;;;;;;1
AZ;The Lean Six Sigma Company;;;;;;2;;;;2
AZ;The Next Web B.V.;;;;;;1;;;;1
AZ;Theater in De Steeg;;;;;;1;;;;1
AZ;Tinguely Xperts B.V.;;;1;;;;;;;1
AZ;top of the hill;;;;;;1;;;;1
AZ;Topbloemen Nederland B.V.;;;;1;;;;;;1
AZ;Tower Leisure B.V.;;;;;;;1;;;1
AZ;Twynstra Gudde;;;;;;1;;;;1
AZ;Umami Restaurant B.V.;;;;1;;;;;;1
AZ;UNIT4 Business Software B.V.;;;;;;1;;;;1
AZ;Vaccinatiezorg B.V.;;;1;;;;;;;1
AZ;Vakmedianet Management B.V.;;;;;;1;;;;1
AZ;VCK Travel B.V.;;;;;;;;;5;5
AZ;Vereniging JuristenRijk;;;;;;;;1;;1
AZ;Vereniging voor Bestuurskunde;;;;;;1;;;;1
AZ;Vereniging voor Financieel Recht;;;;;;;;1;;1
AZ;Vereniging voor Overheidsmanagement;;;;;;;;1;;1
AZ;Verhuurbedrijf Paul;;;;;;;1;;;1
AZ;Verhuurbedrijf Zuid-Holland B.V.;;;;1;;;;;;1
AZ;Vijlbrief Assessment;;;;;;1;;;;1
AZ;Villamedia Uitgeverij B.V.;;;;;;;;1;;1
AZ;VVV Cadeaubonnen B.V.;;;;2;;;;;;2
AZ;Warung Stores B.V.;;;;1;;;;;;1
AZ;Wat is Wijsheid.nu;;;;;;1;;;;1
AZ;XebiaLabs B.V.;;;;;;1;;;;1
AZ;X-Press Images;;;;1;;;;;;1
AZ;Yearth B.V.;;;;;;1;;;;1
AZ;YNNO B.V.;;;;;;1;;;;1
BZ;5hart-IT Opleidingen B.V.;;;;;;1;;;;1
BZ;7AM B.V.;;;;1;;1;1;;;2
BZ;a4 Training;;;;;;2;;;;2
BZ;AAA Movers;;1;;;;;;;;1
BZ;About Flowers;;;;1;;;;;;1
BZ;ABP-Reclame;;;;1;;;;;;1
BZ;Academie voor de Rechtspraktijk B.V.;;;;;;1;;;;1
BZ;Accenture B.V.;;;;;;2;;;;2
BZ;Accretor;;;;;;1;;;;1
BZ;ACE Performance;;;;;;1;;;;1
BZ;Advance Business Events;;;;1;;;;;;1
BZ;Adviesbureau Planplan;;;1;;;;;;;1
BZ;anoniem;;;1;;;1;;;;1
BZ;Ardis Opleidingen B.V.;;;;;;6;1;;;6
BZ;Artiestenverloningen B.V.;;;;1;;;;;;1
BZ;Artimedès B.V.;;;;;;;1;;;1
BZ;ARTTRA Cultureel Organisatiebureau;;;;;;;1;;;1
BZ;Atlantic Hotel Exploitatie B.V.;;;;;;2;;;1;2
BZ;Avans Hogeschool PRL B.V.;;;;;;1;;;;1
BZ;Avetica B.V.;;;;;;1;;;;1
BZ;B.V. Haagsche Sportprijzenhandel HSH;;;;;;1;;;;1
BZ;B.V. Hotel Bel Air Den Haag;;;;;;;;;1;1
BZ;B+B Vakmedianet B.V.;;;;;;1;;;;1
BZ;Balans & Impuls B.V.;;;1;;;;;;;1
BZ;Banketbakkerij Boheemen;;;;1;;;;;;1
BZ;Banketbakkerij Maison Kelder B.V.;;;;1;;;;;;1
BZ;Bar Restaurant La Vina;;;;1;;;1;;;1
BZ;Bar Restaurant Pavlov B.V.;;;;1;;;1;;;2
BZ;Bastion Hotel Het Loo B.V.;;;;;;;;;1;1
BZ;Battlefield Live Nederland B.V.;;;;1;;;;;;1
BZ;BCD Travel B.V.;;;;;;;;;1;1
BZ;Beachclub De Karavaan;;;;1;;;;;;1
BZ;Beachclub Indigo B.V.;;;;1;;;;;;1
BZ;Beachzone events;;;;1;;;;;;1
BZ;Bento Presentaties;;;;;;1;;;;1
BZ;Berenschot Groep B.V.;;;;;2;2;;;;3
BZ;Bestaansverwondering;;;;;;1;;;;1
BZ;Bex*communicatie;;;;;;2;;;;2
BZ;bITa Center B.V.;;;;;;1;;;;1
BZ;Boek- Kantoorvakhandel Veenerick B.V.;;;;1;;;;;;1
BZ;Boertiengroep;;;;;;2;;;;2
BZ;bol.com B.V.;;;;;1;1;;;;1
BZ;Bon Vivant B.V.;;;;1;;;;;;1
BZ;Boom Chicago Creative B.V.;;;;;;;1;;;1
BZ;Boom Distributie Centrum;;;;;;1;;;;1
BZ;Boonoonoonoos;;;;1;;;;;;1
BZ;BorstkankerVereniging Nederland;;;;;;;1;;;1
BZ;Bowling Scheveningen B.V.;;;;1;;;;;;1
BZ;Brain Box Mediatraining B.V.;;;;;;3;;;;3
BZ;Brasserie Buitenhof;;;;1;;;;;;1
BZ;Brasserie-Traiteur Dungelmann B.V.;;;;1;;;;;;1
BZ;Bright Alley Knowledge & Learning B.V.;;;;;;2;;;;2
BZ;Buena Vista Beach Club B.V.;;;;1;;;1;;;1
BZ;Bureau La Poutre;;;;;;1;;;;1
BZ;Bureau Zuidema B.V.;;;;;;1;;;;1
BZ;BURGERS Makel. o.g. Hypotheek adv.ctr. B.V.;;;;;;3;;;;3
BZ;C.V. Rosarium Wokrestaurant Westbroekpark;;;;1;;;;;;1
BZ;CAD Accent B.V.;;;;;;1;;;;1
BZ;Cafe/Restaurant De Eeuwige Jachtvelden;;;;1;;;;;;1
BZ;Camiel Boomsma;;;;1;;;;;;1
BZ;Capilla;;;;;;1;;;;1
BZ;Capo Cucina;;;;1;;;;;;1
BZ;Cappon Coaching & Training;;;;;;2;;;;2
BZ;Carlton Hotels Nederland B.V.;;;;;;;2;;;2
BZ;CHIMP - Change & Impact;;;;;;;1;;;1
BZ;Chocstar;;;;1;;1;;;;1
BZ;Cinop Advies B.V.;;;;;;1;;;;1
BZ;Cirquest B.V.;;;;;;;2;;;2
BZ;Clingendael Advocaten;;;;;1;;;;;1
BZ;Cloose;;;;1;;;;;;1
BZ;Connexxion Taxi Services B.V.;;;;;;;;;3;3
BZ;Cooking & Booking;;;;1;;;1;;;1
BZ;Coöperatief Congrestolkensecretariaat UA;;;;;;;1;;;1
BZ;Corael;;;;;;1;;;;1
BZ;CRM Partners;;;;;;1;;;;1
BZ;Crowne Plaza Hotel Maastricht;;;;;;1;;;1;1
BZ;Culpepper B.V.;;;;1;;;;;;1
BZ;Daan Limburg;;;;;;1;;;;1
BZ;Dagelijks Lekker B.V.;;;;1;;;;;;1
BZ;DanZep Hotels B.V.;;;;;;;;;1;1
BZ;Darpo Reklame B.V.;;;;;;1;;;;1
BZ;DataWeb B.V.;;;;;1;;;;;1
BZ;De Baak B.V.;;;;;;2;;;;2
BZ;De Bloemenvink;;;;1;;;;;;1
BZ;De Boshut;;;;1;;;;;;1
BZ;De Franse Stap Culinair;;;;1;;;1;;;1
BZ;De Lof der Zotheid (Breitner);;;;;;;1;;;1
BZ;De Ondersteen;;;;;;1;;;;1
BZ;de Persgroep Nederland B.V.;;;;;;;1;;;1
BZ;De Schenker;;;;1;;;;;;1
BZ;De Staat;;;;1;;;;;;1
BZ;De Wijkplaats B.V.;;;;;;1;;;;1
BZ;Denk Producties B.V.;;;;;;1;;;;1
BZ;DesignThinkers B.V.;;;;;;2;;;;2
BZ;Destiny Management Consultancy;;1;;;;;;;;1
BZ;Diner Thuis;;;;1;;;;;;1
BZ;Distinguished;;;;;;1;;;;1
BZ;DKP;;;;;;1;;;;1
BZ;Dr. MAAIJWEE B.V.;;;1;;;;;;;1
BZ;Dragon Events;;;;1;;;1;;;1
BZ;Drs. J.S.E. Vriesema, Consultancy;;;;;;1;;;;1
BZ;Dunea N.V.;;;;1;;;;;;1
BZ;Dutch Aviation Group (DAG);;;;;;1;;;;1
BZ;E & M Exportmanagement B.V.;;;;;;1;;;;1
BZ;Ecorys B.V.;;;;;;1;;;;1
BZ;Elycio Talen B.V.;;;;;3;3;;;;4
BZ;EMC Advies B.V.;;;;;;2;;;;2
BZ;En nu online;;;;;;4;;;;4
BZ;Ergo B.V.;;;;;2;;;;;2
BZ;E-Trainers;;;;;;1;;;;1
BZ;EU Watcher;;;;;;1;;;;1
BZ;Eurocross Assistance Netherlands B.V.;;;4;;;;;;2;4
BZ;European Language Centre B.V.;;;;;;4;;;;4
BZ;Expertise in Labour Mobility B.V.;;;;;;1;;;;1
BZ;Exploit.maatsch. Saur International B.V.;;;;;;;1;;;1
BZ;Exploitatie Maatschappij Hotel Kurhaus V.O.F.;;;;;;;;;2;2
BZ;Fine Asian Gourmet B.V.;;;;1;;;1;;;1
BZ;Firma Hof der Muzen;;;;1;;;;;;1
BZ;First 1 Bedrijfsfitness B.V.;;;4;;;;;;;4
BZ;Fish & Meat B.V.;;;;;;;1;;;1
BZ;Fjord B.V.;;;;1;;;;;;1
BZ;FLOC Restaurant;;;;;;;1;;;1
BZ;Florisand Consultancy;;;;;1;;;;;1
BZ;Foodlovers 'Catering voor liefhebbers';;;;;;;1;;;1
BZ;Fotogeniek;;;;;1;;;;;1
BZ;Frank van Leeuwen;;;;;1;;;;;1
BZ;Frans Hals Museum;;;;;;;1;;;1
BZ;Fred Adam B.V.;;;;;;1;;;;1
BZ;Frisse Zin;;;;;1;;;;;1
BZ;Fruitful Office Nederland B.V.;;;;2;;;;;;2
BZ;Fruitpunt;;;;1;;;;;;1
BZ;Galema Cross Cultural Coaching;;;;;;2;;;;2
BZ;Geschenkbezorgen.nl B.V.;;;;1;;;;;;1
BZ;Gezondheidscentrum Bronovo;;;1;;;;;;;1
BZ;Global Connection;;;;;;2;;;;2
BZ;Glope Events B.V.;;;;1;;;1;;;1
BZ;GoodHabitz B.V.;;;;;;2;;;;2
BZ;Gorelli Cultural Projects;;;;1;;;;;;1
BZ;GrachtenAtelier;;;;1;;;;;;1
BZ;Grandcafe Haagsche Bluf;;;;1;;;;;;1
BZ;Grapes & Olives;;;;1;;;;;;1
BZ;Hampshire Exploitatie I B.V.;;;;1;;1;1;;2;2
BZ;Handelsonderneming N.W. van Bavel;;;;1;;;;;;1
BZ;Hartong B.V.;;;;;;;;;1;1
BZ;Hauber Management Advies;;;;;;1;;;;1
BZ;Havana Den Haag;;;;1;;;;;;1
BZ;HC Producties;;;;;;1;;;;1
BZ;Hesbak B.V.;;;;1;;;;;;1
BZ;Het Broekerhuis;;;;;;1;;;;1
BZ;Het Kabinet, Eten en Drinken;;;;;;;1;;;1
BZ;Het Nutshuis;;;;1;;1;1;;;1
BZ;Het Panorama;;;;1;;;;;;1
BZ;Het Pleidooi;;;;1;;;1;;;1
BZ;Het Wapen van Reeuwijk;;;;1;;;;;;1
BZ;Hilgers Consultancy - Partner in Leren/Ontw.;;;;;;3;;;;3
BZ;Holding Beheermaatschappij Ropeni B.V.;;;;1;;;1;;;2
BZ;Holland Maritime Services B.V.;;;;1;;;;;;1
BZ;Horeca Exploitatie Maatschappij Berlage B.V.;;;;1;;;;;;1
BZ;Hot ITem B.V.;;;;;2;1;;;;2
BZ;Hotel New York B.V.;;;;1;;;;;;1
BZ;Hotel/Restaurant Corona;;;;;;;;;1;1
BZ;House of Lords;;;;;;;1;;;1
BZ;HR Via Care B.V.;;;;;;;;;1;1
BZ;HSK Interventie B.V.;;;1;;;;;;;1
BZ;HTM Specials;;;;1;;1;1;;1;2
BZ;Huis ten Haghe;;;;;;;1;;;1
BZ;ICM Opleidingen & Trainingen B.V.;;;;;;1;;;;1
BZ;Impero Romano Holding B.V.;;;;;;;1;;;1
BZ;In2Content B.V.;;;;;;1;1;;;1
BZ;Indisch Restaurant Garoeda;;;;1;;;1;;;1
BZ;Indonesisch Restaurant Poentjak;;;;1;;;1;;;1
BZ;ING Bank N.V.;;1;;1;;;1;;2;2
BZ;Instituut voor Psychotrauma Nederland B.V.;;;2;;;;;;;2
BZ;Intelligence Group B.V.;;;;;2;;;;;2
BZ;Internet Unie Services B.V.;;;;;1;;;;;1
BZ;Intersafe Groeneveld B.V.;;;1;;;;;;;1
BZ;Investico E-Commerce;;;;;;;1;;;1
BZ;Iona Des Indes B.V.;;;;1;;;1;;1;1
BZ;ITIP School voor Leven en Werk B.V.;;;;;;1;;;;1
BZ;Jaarbeurs Ontwikkeling B.V.;;;;;2;;;;;2
BZ;Japans restaurant Sumo Den Haag B.V.;;;;1;;;;;;1
BZ;Jonker en Wu;;;;;;1;;;;1
BZ;Kaap Doorn B.V.;;;;;;1;;;;1
BZ;Kasteel Oud-Poelgeest B.V.;;;;;;1;;;;1
BZ;Kessels & Smit Something B.V.;;;;;;2;;;;2
BZ;KLM;;;;;;;;;1;1
BZ;KLM Health Services B.V.;;;5;;;;;;;5
BZ;Koken-op-maat;;;;1;;;;;;1
BZ;Koninklijk Instituut van Ingenieurs;;;;1;;2;;;;2
BZ;Koninklijke Haskoning DHV Groep B.V.;;;;;;1;;;;1
BZ;Koninklijke Visio, Land. Stg. Slechtz./Blind.;;;1;;;;;;;1
BZ;Kris Kras Design B.V.;;;;;;1;;;;1
BZ;KSG B.V.;;;;;;3;;;;3
BZ;La Place;;;;1;;;;;;1
BZ;Language Partners;;;;;;1;;;;1
BZ;Lara Frank Managementadvies;;;;;;2;;;;2
BZ;LD Horeca B.V.;;;;1;;;;;;1
BZ;Le Bistroquet B.V.;;;;;;;1;;;1
BZ;Learn it B.V.;;;;;;1;;;;1
BZ;Leeuwendaal Advies B.V.;;;;;3;;;;;3
BZ;Leidse Onderwijsinstellingen B.V.;;;;;;1;;;;1
BZ;Les Ombrelles;;;;1;;;1;;;1
BZ;Libereaux B.V.;;;;;;2;;;;2
BZ;Link 2 Learn;;;;;;1;;;;1
BZ;Little V;;;;1;;;;;;1
BZ;Live Trainingen B.V.;;;;;;2;;;;2
BZ;Logeion;;;;1;;;;;;1
BZ;Louwman Musea B.V.;;;;;;;1;;;1
BZ;Lunchroom Nieuw Engelhard;;;;1;;;;;;1
BZ;Lyreco Nederland B.V.;;;1;;;;;;;1
BZ;Maatsch. Chirurgen Medisch Centrum Haaglanden;;;1;;;;;;;1
BZ;Madurodam B.V.;;;;;;;1;;;1
BZ;Magnet.me;;;;;1;;;;;1
BZ;Maison de la Foret;;;;1;;;1;;;1
BZ;Maison van den Boer;;;;1;;;;;;1
BZ;MaMa Kelly B.V.;;;;1;;;;;;1
BZ;Markus Verbeek Consultancy B.V.;;;;;;1;;;;1
BZ;Maters & Hermsen Journalistiek B.V.;;;;1;;;;;;1
BZ;Maureen Cuisine;;;;1;;;;;;1
BZ;Mauritshuis;;;;1;;;1;;;1
BZ;Maximum;;;;;1;2;;;;2
BZ;Maxlead Services B.V.;;;;;2;;;;;2
BZ;Menz B.V.;;;;;;1;;;;1
BZ;Mercure Hotel Amsterdam City;;1;;1;;2;2;;1;3
BZ;MetrixLab B.V.;;;;;2;;;;;2
BZ;Meurs HRM;;;;;1;;;;;1
BZ;Michiel Hulshof;;;;;;;1;;;1
BZ;Mieke Tunnissen & Annet Boskamp B.V.;;;;;;1;;;;1
BZ;Millers;;;;1;;;;;;1
BZ;Moving Balance;;;;;;1;;;;1
BZ;Munckhof Taxi B.V.;;;;;;;;;2;2
BZ;Museum Catering B.V.;;;;1;;;1;;;1
BZ;Ncoi Nederlands Commerc. Opleidings Instituut;;;;;;3;;;;3
BZ;Ned. Trainingsinst. v Neurolinguist. Progr.;;;;;;1;;;;1
BZ;Ned. Ver. van HRD-Prof. in Ontw. en Opleiden;;;;;;1;;;;1
BZ;Nederlandse Vereniging voor Europees Recht;;;;;;1;;;;1
BZ;Nespresso Nederland B.V.;;;;1;;;;;;1
BZ;Nevi Opleidingen B.V.;;;;;;2;;;;2
