FID,land,opmerking,vliegveld,point,se_anno_cad_data,gdb_geomattr_data,shape
waypoints_controlevluchten.64,Denemarken,Bonn Agreement, ,S5,,,POINT (1082066.2571999999 6076500.7607)
waypoints_controlevluchten.65,Denemarken,Bonn Agreement, ,S6,,,POINT (995522.7692 6090511.998400001)
waypoints_controlevluchten.66,Denemarken,Bonn Agreement, ,S7,,,POINT (1004813.3222000003 6142100.9966)
waypoints_controlevluchten.67,Denemarken,Bonn Agreement, ,S8,,,POINT (984046.1184 6222125.6196)
waypoints_controlevluchten.68,Denemarken,Bonn Agreement, ,S9,,,POINT (1034267.9923999999 6323781.2838)
waypoints_controlevluchten.69,Denemarken,Bonn Agreement, ,S10,,,POINT (986493.1458999999 6420973.9121)
waypoints_controlevluchten.70,Denemarken,Bonn Agreement, ,S11,,,POINT (958064.5854000002 6432608.0034)
waypoints_controlevluchten.71,Denemarken,Bonn Agreement, ,S12,,,POINT (923524.2710999995 6447499.6064)
waypoints_controlevluchten.72,Denemarken,Bonn Agreement, ,S13,,,POINT (750350.3564999998 6401215.580700001)
waypoints_controlevluchten.73,Denemarken,Bonn Agreement, ,S14,,,POINT (704469.9941999996 6322426.356799999)
waypoints_controlevluchten.74,Denemarken,Bonn Agreement, ,S15,,,POINT (748979.8076999998 6324862.1543000005)
waypoints_controlevluchten.75,Denemarken,Bonn Agreement, ,S16,,,POINT (775435.5285999998 6369345.2193)
waypoints_controlevluchten.76,Denemarken,Bonn Agreement, ,S17,,,POINT (815879.5477999998 6379730.7674)
waypoints_controlevluchten.77,Denemarken,Bonn Agreement, ,S18,,,POINT (766661.5228000004 6270145.817299999)
waypoints_controlevluchten.78,Denemarken,Bonn Agreement, ,S19,,,POINT (771907.449 6186761.7239)
waypoints_controlevluchten.79,Denemarken,Bonn Agreement, ,S20,,,POINT (798031.3313999996 6188477.0013)
waypoints_controlevluchten.80,Denemarken,Bonn Agreement, ,S21,,,POINT (792280.0330999997 6271842.759)
waypoints_controlevluchten.81,Denemarken,Bonn Agreement, ,S22,,,POINT (839373.7369999997 6387218.1899)
waypoints_controlevluchten.82,Denemarken,Bonn Agreement, ,S23,,,POINT (958064.5854000002 6432608.0034)
waypoints_controlevluchten.83,Denemarken,Bonn Agreement, ,S24,,,POINT (969695.4934 6321596.441400001)
waypoints_controlevluchten.84,Denemarken,Bonn Agreement, ,O1,,,POINT (969695.4934 6321596.441400001)
waypoints_controlevluchten.85,Denemarken,Bonn Agreement, ,O2,,,POINT (1093025.0428999998 6258385.593599999)
waypoints_controlevluchten.86,Denemarken,Bonn Agreement, ,O3,,,POINT (1101668.7414999995 6173066.466600001)
waypoints_controlevluchten.87,Denemarken,Bonn Agreement, ,O4,,,POINT (1119775.6491999999 6151131.3072)
waypoints_controlevluchten.88,Denemarken,Bonn Agreement, ,O5,,,POINT (1200099.2905000001 6163185.549900001)
waypoints_controlevluchten.89,Denemarken,Bonn Agreement, ,SDG3,,,POINT (1218792.5296999998 6181339.268300001)
waypoints_controlevluchten.90,Denemarken,Bonn Agreement, ,O6,,,POINT (1320390.6074 6218329.714)
waypoints_controlevluchten.91,Denemarken,Bonn Agreement, ,O7.,,,POINT (1329100.3937999997 6172392.7338)
waypoints_controlevluchten.92,Denemarken,Bonn Agreement, ,SDG2,,,POINT (1224846.6418000003 6144502.526000001)
waypoints_controlevluchten.93,Denemarken,Bonn Agreement, ,O8.,,,POINT (1207718.9475999996 6115274.0645)
waypoints_controlevluchten.94,Denemarken,Bonn Agreement, ,O9.,,,POINT (1131618.9512999998 6113280.5196)
waypoints_controlevluchten.95,Denemarken,Bonn Agreement, ,O10.,,,POINT (995522.7692 6090511.998400001)
waypoints_controlevluchten.96,Denemarken,Bonn Agreement, ,O12.,,,POINT (1004813.3222000003 6142100.9966)
waypoints_controlevluchten.97,Denemarken,Bonn Agreement, ,O13,,,POINT (984046.1184 6222125.6196)
waypoints_controlevluchten.98,Denemarken,Bonn Agreement, ,O14,,,POINT (1034267.9923999999 6323781.2838)
waypoints_controlevluchten.99,Denemarken,Bonn Agreement, ,O15,,,POINT (986493.1458999999 6420973.9121)
waypoints_controlevluchten.100,Denemarken,Bonn Agreement, ,O16,,,POINT (958064.5854000002 6432608.0034)
waypoints_controlevluchten.101,Denemarken,Bonn Agreement, ,O17,,,POINT (837437.3563000001 6349770.9055)
waypoints_controlevluchten.102,Denemarken,Bonn Agreement, ,O18,,,POINT (792280.0330999997 6271842.759)
waypoints_controlevluchten.103,Denemarken,Bonn Agreement, ,O19,,,POINT (766661.5228000004 6270145.817299999)
waypoints_controlevluchten.104,Denemarken,Bonn Agreement, ,O20,,,POINT (839373.7369999997 6387218.1899)
waypoints_controlevluchten.105,Denemarken,Bonn Agreement, ,O21.,,,POINT (958064.5854000002 6432608.0034)
waypoints_controlevluchten.106,Denemarken,Bonn Agreement, ,O22.,,,POINT (969695.4934 6321596.441400001)
waypoints_controlevluchten.107,Nederland,Kustwacht, ,KA1,,,POINT (580296.4435 5819163.9044)
waypoints_controlevluchten.108,Nederland,Kustwacht, ,KA2,,,POINT (551535.9879000001 5811360.8127999995)
waypoints_controlevluchten.109,Nederland,Kustwacht, ,KA3,,,POINT (521844.10979999974 5736987.8026)
waypoints_controlevluchten.110,Nederland,Kustwacht, ,KA4,,,POINT (553835.7511 5755766.9035)
waypoints_controlevluchten.111,Nederland,Kustwacht, ,KA5,,,POINT (495416.5016999999 5753625.4978)
waypoints_controlevluchten.112,Nederland,Kustwacht, ,KA6,,,POINT (484017.26769999973 5772186.272399999)
waypoints_controlevluchten.113,Nederland,Kustwacht, ,KA7,,,POINT (511446.0022 5759197.616599999)
waypoints_controlevluchten.114,Nederland,Kustwacht, ,KA8,,,POINT (534312.4183999998 5763009.9354)
waypoints_controlevluchten.115,Nederland,Kustwacht, ,KA9,,,POINT (534210.3202 5777839.7216)
waypoints_controlevluchten.116,Nederland,Kustwacht, ,KB1,,,POINT (500000.00009999983 5946435.870999999)
waypoints_controlevluchten.117,Nederland,Kustwacht, ,KB2,,,POINT (507138.0226999996 5959421.1063)
waypoints_controlevluchten.118,Nederland,Kustwacht, ,KB3,,,POINT (519684.4676999999 5978927.4945)
waypoints_controlevluchten.119,Nederland,Kustwacht, ,KB4,,,POINT (549240.2435999997 5976364.8509)
waypoints_controlevluchten.120,Nederland,Kustwacht, ,KB5,,,POINT (530121.3929000003 5971565.8872)
waypoints_controlevluchten.121,Nederland,Kustwacht, ,KB6,,,POINT (502759.51680000033 5935311.3456999995)
waypoints_controlevluchten.122,Nederland,Kustwacht, ,KB7,,,POINT (627928.1913999999 6096620.706499999)
waypoints_controlevluchten.123,Nederland,Kustwacht, ,KD1,,,POINT (509003.08100000024 5842615.066)
waypoints_controlevluchten.124,Nederland,Kustwacht, ,KD2,,,POINT (520169.50600000005 5863598.7754999995)
waypoints_controlevluchten.125,Nederland,Kustwacht, ,KD3,,,POINT (530048.1809 5896467.8562)
waypoints_controlevluchten.126,Nederland,Kustwacht, ,KD4,,,POINT (532493.8025000002 5913171.556399999)
waypoints_controlevluchten.127,Nederland,Kustwacht, ,KD5,,,POINT (544004.2976000002 5951277.830600001)
waypoints_controlevluchten.128,Nederland,Kustwacht, ,KD6,,,POINT (587672.1029000003 5987131.8884)
waypoints_controlevluchten.129,Nederland,Kustwacht, ,KD7,,,POINT (629842.7131000003 5990904.271500001)
waypoints_controlevluchten.130,Nederland,Kustwacht, ,KD8,,,POINT (695991.6528000003 6002516.2798)
waypoints_controlevluchten.131,Nederland,Kustwacht, ,KD9,,,POINT (609856.4480999997 5982039.009199999)
waypoints_controlevluchten.132,Nederland,Kustwacht, ,KD10,,,POINT (590595.3783 5960292.7664)
waypoints_controlevluchten.133,Nederland,Kustwacht, ,KD11,,,POINT (550854.4819999998 5928167.263800001)
waypoints_controlevluchten.134,Nederland,Kustwacht, ,KD13,,,POINT (549213.9033000004 5872522.060900001)
waypoints_controlevluchten.135,Nederland,Kustwacht, ,KV1,,,POINT (582437.6985999998 5852948.552200001)
waypoints_controlevluchten.136,Nederland,Kustwacht, ,KV2,,,POINT (589834.5553000001 5871995.989)
waypoints_controlevluchten.137,Nederland,Kustwacht, ,KV3,,,POINT (603882.2549 5895091.8445999995)
waypoints_controlevluchten.138,Nederland,Kustwacht, ,KV4,,,POINT (612808.4643999999 5917924.3759)
waypoints_controlevluchten.139,Nederland,Kustwacht, ,KV5,,,POINT (636215.6194000002 5929114.331900001)
waypoints_controlevluchten.140,Nederland,Kustwacht, ,KV6,,,POINT (721653.2352 5960582.468599999)
waypoints_controlevluchten.141,Nederland,Kustwacht, ,KV7,,,POINT (718025.9134999998 5969884.680199999)
waypoints_controlevluchten.142,Nederland,Kustwacht, ,KV8,,,POINT (641183.2054000003 5940578.5504)
waypoints_controlevluchten.143,Nederland,Kustwacht, ,KV9,,,POINT (606210.8163999999 5925395.662599999)
waypoints_controlevluchten.144,Nederland,Kustwacht, ,KV10,,,POINT (599752.6771 5906132.297499999)
waypoints_controlevluchten.145,Nederland,Kustwacht, ,KV11,,,POINT (592698.4241000004 5891708.977399999)
waypoints_controlevluchten.146,Nederland,Kustwacht, ,KV12,,,POINT (566385.2473999998 5868463.331499999)
waypoints_controlevluchten.147,Nederland,Kustwacht, ,KV13,,,POINT (562319.5472999997 5809631.7247)
waypoints_controlevluchten.148,Nederland,Kustwacht, ,KV14,,,POINT (559838.3942 5771037.401900001)
waypoints_controlevluchten.149,Nederland,Kustwacht, ,KV15,,,POINT (551639.5220999997 5768720.876499999)
waypoints_controlevluchten.150,Nederland,Kustwacht, ,KV16,,,POINT (510288.01549999975 5765683.1326)
waypoints_controlevluchten.151,Nederland,Kustwacht, ,KV17,,,POINT (504794.10780000035 5772904.401900001)
waypoints_controlevluchten.152,Nederland,Kustwacht, ,KV18,,,POINT (508554.2017999999 5776802.3401)
waypoints_controlevluchten.153,Nederland,Kustwacht, ,KV19,,,POINT (501366.7814999996 5783654.105599999)
waypoints_controlevluchten.154,Nederland,Kustwacht, ,KV20,,,POINT (497720.15670000017 5779576.1412)
waypoints_controlevluchten.155,Nederland,Kustwacht, ,KV21,,,POINT (467040.4363000002 5742609.5053)
waypoints_controlevluchten.156,Nederland,Kustwacht, ,KV22,,,POINT (434270.7686999999 5704371.221899999)
waypoints_controlevluchten.157,Nederland,Kustwacht, ,KV23,,,POINT (441383.42590000015 5698908.3763)
waypoints_controlevluchten.158,Nederland,Kustwacht, ,KV24,,,POINT (474126.26889999956 5735894.704700001)
waypoints_controlevluchten.159,Nederland,Kustwacht, ,KV25,,,POINT (512617.22020000033 5748634.3292)
waypoints_controlevluchten.160,Nederland,Kustwacht, ,KV26,,,POINT (552876.2401999999 5759835.182)
waypoints_controlevluchten.161,Nederland,Kustwacht, ,KV27,,,POINT (543964.7844000002 5744918.338500001)
waypoints_controlevluchten.162,Nederland,Kustwacht, ,KV28,,,POINT (560197.9704999998 5750648.511499999)
waypoints_controlevluchten.163,Nederland,Kustwacht, ,KV29,,,POINT (565108.2441999996 5769805.7742)
waypoints_controlevluchten.164,Nederland,Kustwacht, ,KV30,,,POINT (574093.8230999997 5780128.878699999)
waypoints_controlevluchten.165,Nederland,Kustwacht, ,KV31,,,POINT (581304.0268000001 5826597.7004)
waypoints_controlevluchten.166,Nederland,Kustwacht, ,KV32,,,POINT (598204.2313999999 5828762.596899999)
waypoints_controlevluchten.167,Nederland,Kustwacht, ,KV33,,,POINT (531642.7248999998 5822315.9494)
waypoints_controlevluchten.168,Nederland,Kustwacht, ,KW1,,,POINT (720550.9868999999 5944185.3046)
waypoints_controlevluchten.169,Nederland,Kustwacht, ,KW2,,,POINT (710836.6485000001 5939097.249299999)
waypoints_controlevluchten.170,Nederland,Kustwacht, ,KW3,,,POINT (696606.3141999999 5935697.0550999995)
waypoints_controlevluchten.171,Nederland,Kustwacht, ,KW4,,,POINT (688398.3592999997 5933505.643999999)
waypoints_controlevluchten.172,Nederland,Kustwacht, ,KW5,,,POINT (684568.0696 5932426.1438)
waypoints_controlevluchten.173,Nederland,Kustwacht, ,KW6,,,POINT (674002.5732000005 5933881.1701)
waypoints_controlevluchten.174,Nederland,Kustwacht, ,KW7,,,POINT (666888.4040000001 5931768.2831)
waypoints_controlevluchten.175,Nederland,Kustwacht, ,KW8,,,POINT (663605.4424999999 5930725.4671)
waypoints_controlevluchten.176,Nederland,Kustwacht, ,KW9,,,POINT (652119.4178999998 5926630.367900001)
waypoints_controlevluchten.177,Nederland,Kustwacht, ,KW10,,,POINT (642828.8157000002 5922629.801999999)
waypoints_controlevluchten.178,Nederland,Kustwacht, ,KW11,,,POINT (629873.2562999995 5910197.9241)
waypoints_controlevluchten.179,Nederland,Kustwacht, ,KW12,,,POINT (622802.1864999998 5904444.845000001)
waypoints_controlevluchten.180,Nederland,Kustwacht, ,KW13,,,POINT (618426.3300000001 5901551.5765)
waypoints_controlevluchten.181,Nederland,Kustwacht, ,KW14,,,POINT (613709.1829000004 5889379.868100001)
waypoints_controlevluchten.182,Nederland,Kustwacht, ,KW15,,,POINT (609998.9115000004 5880946.4848)
waypoints_controlevluchten.183,Nederland,Kustwacht, ,KW16,,,POINT (604297.8074000003 5860417.524700001)
waypoints_controlevluchten.184,Nederland,Kustwacht, ,KW17,,,POINT (601049.6632000003 5854784.665899999)
waypoints_controlevluchten.185,Nederland,Kustwacht, ,KW18,,,POINT (599068.8075000001 5841761.757999999)
waypoints_controlevluchten.186,Nederland,Kustwacht, ,KW19,,,POINT (597149.1885000002 5825032.5364)
waypoints_controlevluchten.187,Nederland,Kustwacht, ,KW20,,,POINT (593372.2050999999 5815686.8752)
waypoints_controlevluchten.188,Nederland,Kustwacht, ,KW21,,,POINT (593016.6679999996 5804553.8379)
waypoints_controlevluchten.189,Nederland,Kustwacht, ,KW22,,,POINT (586973.9661999997 5793317.675000001)
waypoints_controlevluchten.190,Nederland,Kustwacht, ,KW23,,,POINT (582550.1424000002 5785824.944700001)
waypoints_controlevluchten.191,Nederland,Kustwacht, ,KW24,,,POINT (573035.6996999998 5774550.945800001)
waypoints_controlevluchten.192,Nederland,Kustwacht, ,KW25,,,POINT (561144.5812999997 5766974.568700001)
waypoints_controlevluchten.193,Nederland,Kustwacht, ,KW26,,,POINT (552739.1452000001 5751120.571799999)
waypoints_controlevluchten.194,Nederland,Kustwacht, ,KW27,,,POINT (540776.2637999998 5741740.018100001)
waypoints_controlevluchten.195,Nederland,Kustwacht, ,KW28,,,POINT (538493.2259 5739868.2585)
waypoints_controlevluchten.196,Nederland,Kustwacht, ,KW29,,,POINT (533353.2412 5735197.237299999)
waypoints_controlevluchten.197,Nederland,Kustwacht, ,KW30,,,POINT (527673.8043 5722187.1383)
waypoints_controlevluchten.198,Nederland,Kustwacht, ,KW31,,,POINT (523069.9729000004 5720310.3967)
waypoints_controlevluchten.199,Nederland,Kustwacht, ,KW32,,,POINT (517318.33800000045 5715653.4089)
waypoints_controlevluchten.200,Nederland,Kustwacht, ,KW33,,,POINT (513900.25710000005 5698960.7261)
waypoints_controlevluchten.201,Nederland,Kustwacht, ,KX1,,,POINT (586599.9356000004 5782185.6493)
waypoints_controlevluchten.202,Nederland,Kustwacht, ,KX2,,,POINT (601321.0515999999 5814546.508199999)
waypoints_controlevluchten.203,Nederland,Kustwacht, ,KX3,,,POINT (604737.2686999999 5840025.9221)
waypoints_controlevluchten.204,Nederland,Kustwacht, ,KX4,,,POINT (707076.8871999998 5949143.982799999)
waypoints_controlevluchten.205,Nederland,Kustwacht, ,KX5,,,POINT (649061.2518999996 5935811.107899999)
waypoints_controlevluchten.206,Nederland,Kustwacht, ,KX6,,,POINT (583335.8872999996 5904518.5284)
waypoints_controlevluchten.207,Nederland,Kustwacht, ,KX7,,,POINT (608356.0450999998 5904094.451300001)
waypoints_controlevluchten.208,Nederland,Kustwacht, ,KX8,,,POINT (597866.3875000002 5873265.307399999)
waypoints_controlevluchten.209,Nederland,Kustwacht, ,KX9,,,POINT (589620.5495999996 5816544.0649999995)
waypoints_controlevluchten.210,Nederland,Kustwacht, ,KX10,,,POINT (571787.2410000004 5781949.0471)
waypoints_controlevluchten.211,Nederland,Kustwacht, ,KX11,,,POINT (519595.1069 5724002.991599999)
waypoints_controlevluchten.212,Nederland,Kustwacht, ,KX12,,,POINT (510419.5020000003 5701732.7356)
waypoints_controlevluchten.213,Nederland,Kustwacht, ,KX13,,,POINT (521445.1459999997 5695279.7928)
waypoints_controlevluchten.214,Nederland,Kustwacht, ,KX14,,,POINT (524267.83189999964 5711047.9059999995)
waypoints_controlevluchten.215,Nederland,Kustwacht, ,KX15,,,POINT (555113.5626999997 5743730.718800001)
waypoints_controlevluchten.216,Nederland,Kustwacht, ,KX16,,,POINT (564645.2284000004 5761456.842700001)
waypoints_controlevluchten.217,Nederland,Kustwacht, ,KM1,,,POINT (719410.0637999997 5961461.173800001)
waypoints_controlevluchten.218,Nederland,Kustwacht, ,KM2,,,POINT (709269.0482999999 5955648.0834)
waypoints_controlevluchten.219,Nederland,Kustwacht, ,KM3,,,POINT (698009.2855000002 5954880.357100001)
waypoints_controlevluchten.220,Nederland,Kustwacht, ,KM4,,,POINT (688721.9164000005 5950245.769300001)
waypoints_controlevluchten.221,Nederland,Kustwacht, ,KM5,,,POINT (683508.3256000001 5949649.243100001)
waypoints_controlevluchten.222,Nederland,Kustwacht, ,KM6,,,POINT (673720.5669999998 5950483.4735)
waypoints_controlevluchten.223,Nederland,Kustwacht, ,KM7,,,POINT (664403.8247999996 5947456.760500001)
waypoints_controlevluchten.224,Nederland,Kustwacht, ,KM8,,,POINT (656043.1527000004 5945223.0812)
waypoints_controlevluchten.225,Nederland,Kustwacht, ,KM9,,,POINT (648731.2251000004 5942759.3342)
waypoints_controlevluchten.226,Nederland,Kustwacht, ,KM10,,,POINT (632903.4173999997 5936719.667099999)
waypoints_controlevluchten.227,Nederland,Kustwacht, ,KM11,,,POINT (619533.2460000003 5923839.798699999)
waypoints_controlevluchten.228,Nederland,Kustwacht, ,KM12,,,POINT (613725.8503 5918966.5206)
waypoints_controlevluchten.229,Nederland,Kustwacht, ,KM13,,,POINT (603547.0911999997 5910497.905200001)
waypoints_controlevluchten.230,Nederland,Kustwacht, ,KM14,,,POINT (599576.1350999996 5898616.901000001)
waypoints_controlevluchten.231,Nederland,Kustwacht, ,KM15,,,POINT (593270.3376000002 5885228.9154)
waypoints_controlevluchten.232,Nederland,Kustwacht, ,KM16,,,POINT (587824.3076999998 5871773.4551)
waypoints_controlevluchten.233,Nederland,Kustwacht, ,KM17,,,POINT (591401.4359999998 5857189.2533)
waypoints_controlevluchten.234,Nederland,Kustwacht, ,KM18,,,POINT (588109.7571999999 5840623.648)
waypoints_controlevluchten.235,Nederland,Kustwacht, ,KM19,,,POINT (586705.9725000001 5827710.4584)
waypoints_controlevluchten.236,Nederland,Kustwacht, ,KM20,,,POINT (582346.0696999999 5818363.4976)
waypoints_controlevluchten.237,Nederland,Kustwacht, ,KM21,,,POINT (582204.4847999997 5809924.16)
waypoints_controlevluchten.238,Nederland,Kustwacht, ,KM22,,,POINT (577234.5362999998 5798736.8716)
waypoints_controlevluchten.239,Nederland,Kustwacht, ,KM23,,,POINT (572793.4676999999 5791790.4858)
waypoints_controlevluchten.240,Nederland,Kustwacht, ,KM24,,,POINT (564779.3631999996 5781871.075999999)
waypoints_controlevluchten.241,Nederland,Kustwacht, ,KM25,,,POINT (553010.2734000003 5774111.626)
waypoints_controlevluchten.242,Nederland,Kustwacht, ,KM26,,,POINT (546923.2505999999 5761166.078600001)
waypoints_controlevluchten.243,Nederland,Kustwacht, ,KM27,,,POINT (534966.5438000001 5751243.0011)
waypoints_controlevluchten.244,Nederland,Kustwacht, ,KM28,,,POINT (528105.0632999996 5748141.136399999)
waypoints_controlevluchten.245,Nederland,Kustwacht, ,KM29,,,POINT (521310.95100000035 5740711.408)
waypoints_controlevluchten.246,Nederland,Kustwacht, ,KM30,,,POINT (518309.0273000002 5729002.9822)
waypoints_controlevluchten.247,Nederland,Kustwacht, ,KM31,,,POINT (516137.4172 5727512.657299999)
waypoints_controlevluchten.248,Nederland,Kustwacht, ,KM32,,,POINT (508087.66449999996 5719244.7666)
waypoints_controlevluchten.249,Nederland,Kustwacht, ,KM33,,,POINT (505662.4809999997 5711011.553099999)
waypoints_controlevluchten.250,Nederland,Kustwacht, ,SB1,,,POINT (593616.9450000003 5918619.6764)
waypoints_controlevluchten.251,Nederland,Kustwacht, ,SB2,,,POINT (642919.9369000001 5956032.0901999995)
waypoints_controlevluchten.252,Nederland,Kustwacht, ,VB1,,,POINT (567830.8257999998 5820829.6055)
