;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
Fenicks Erfgoed;;;3;;;;;3
Fits4All;;;1;;;;;1
Floris Douma;;;1;;;;;1
Francissen Communicatie;;;1;;;;;1
Future Motions;;;2;;;;;2
G84;;;1;;;;;1
GGN Mastering Credit N.V.;;;;;1;;;1
Glasatelier Oud Rijswijk B.V.;;;2;;;;;2
Goossen Aviation;;;1;;;;;1
Gordion Cultureel Advies;;;1;;;;;1
Green Archaeology;;;2;;;;;2
Groeneveld Metaalrestauratie;;;1;;;;;1
H.J.M. Zonderland Fotografie;;;1;;;;;1
Harvey Nash B.V.;;;4;;;;;4
Het Kookplein;;;1;;;;;1
HVK Stevens Belastingadvies B.V.;;;2;;;;;2
Hypercube Business Innovation B.V.;;;2;;;;;2
IBC Logistics Center B.V.;;;3;;;;;3
Inbo;;;2;;;;;2
Inhoudelijke Zaken B.V.;;;2;;;;;2
Inspire to Act;;2;;;;;;2
Instituut Maatschappelijke Innovatie;;;2;;;;;2
Investiga B.V.;;4;;;;;;4
Jaspervdh;;;1;;;;;1
Jil Care Art Collections;;;2;;;;;2
John Beckers;;;2;;;;;2
Judistira, A.M.;;;;;1;;;1
JVDT B.V.;;;2;;;;;2
Kick Smeets Fotografie;;;1;;;;;1
Kila Taaltraining;;;1;;;;;1
Klimaraad;;;2;;;;;2
KSG B.V.;;2;;;;;;2
Kunstenaarsoverleg Vught;;;1;;;;;1
Kwink Groep B.V.;;;1;;;;;1
Laheij V.O.F.;;;1;;;;;1
Landelijke Kamer van Verenigingen;;;1;;;;;1
Lara Voerman;;;2;;;;;2
LBP Sight B.V.;;;2;;;;;2
Leidelmeijer, Historisch Onderzoek en Advies;;;1;;;;;1
Lijst 37;;;1;;;;;1
Lloyd's Register Nederland B.V.;;2;;;;;;2
Lumage Managing Customer Relations B.V.;;1;;;;;;1
M. Schuurhuis;;;1;;;;;1
Maatschap Biax Consult;;;4;;;;;4
Machinehandel Teygeler B.V.;;;1;;;;;1
Margareta Svensson fotografie;;;3;;;;;3
Marian Hellema;;;1;;;;;1
MarKingDirect;;2;;;;;;2
Marree Administratie;;;1;;;;;1
Martijn Wensink;;;1;;;;;1
Medea;;1;;;;;;1
Meetingselect B.V.;;;1;;;;;1
M-Effect;;;;1;;;;1
Metals Inc. - Onderz. in archeologie en kunst;;;1;;;;;1
Micromacro Consultants B.V.;;;1;;;;;1
Moned;;;1;;;;;1
Monique Staal, Papierrestauratie;;;2;;;;;2
MOOi;;;1;;;;;1
Motivaction International B.V.;;;2;;;;;2
MS Marine;;;4;;;;;4
MSF Coaching and Research;;;2;;;;;2
Musicaers;;;2;;;;;2
MWM2 B.V.;;3;;;;;;3
Nassauhof;;;1;;;;;1
Ndv utrecht;;;1;;;;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;2;;;;;2
Nederlandse School voor Openbaar Bestuur B.V.;;;3;;;;;3
Neo, Netherl. Geomat. & Earth Observat. B.V.;;;2;;;;;2
Netcompany Netherlands B.V.;;;2;;;;;2
NIBE B.V.;;;1;;;;;1
Niels Jonker Geluidstechniek;;;1;;;;;1
Noorderpoort B.V.;;;2;;;;;2
Nr1raamfolies.nl B.V.;;;1;;;;;1
NRC Media;;;;;1;;;1
Oberon B.V.;;;3;;;;;3
Ochkan IPS;;;3;;;;;3
OnlyHuman Groep B.V.;;;4;;;;;4
Otten+;;2;;;;;;2
Panteia B.V.;;;2;;;;;2
Pause Conservation;;;2;;;;;2
Pels Rijcken & Droogleever Fortuijn N.V.;;;;;3;;;3
Periplus Archeomare B.V.;;;1;;;;;1
PETRACON;;;1;;;;;1
PHYSITEC B.V.;;;2;;;;;2
Picturae B.V.;;;1;;;;;1
PlasBossinade Notarissen N.V.;;;;;2;;;2
Plein 20 Den Haag B.V.;;;1;;;;;1
Postcode.eu;;;;;;1;;1
pr architectenburo;;;1;;;;;1
Pro-Tact B.V.;;;;;4;;;4
Protinus IT B.V.;;;;;;2;;2
Raap Archeologisch Adviesbureau B.V.;;;3;;;;;3
Reith-Hendriks & partners;;;1;;;;;1
ResearchNed B.V.;;;6;;;;;6
Restauratie Atelier Oude Delft;;;2;;;;;2
Restauratieatelier Mandy Slager;;;2;;;;;2
Richard Harmanni;;;1;;;;;1
RINO Training en Advies B.V.;;;1;;;;;1
RNA - Restauratie Nijhoff Asser;;;1;;;;;1
Rris;;2;1;;;;;2
Ruth Visser;;;1;;;;;1
Seats2Meet.com Utrecht B.V.;;;1;;;;;1
SHR B.V.;;;2;;;;;2
Significant APE B.V.;;;2;;;;;2
Smid Advies;;;1;;;;;1
Smit's Antropologisch Bureau;;;1;;;;;1
Software Borg;;;;;;1;;1
Soral;;;1;;;;;1
Souterrains;;;1;;;;;1
Spaander Restauratie Uurwerken en Speeldozen;;;1;;;;;1
Sprengers Advocaten;;;;;2;;;2
Steer B.V.;;;2;;;;;2
Stg. Zakenvrienden Rijksmuseum van Oudheden;;;2;;;;;2
Stichting Art Web;;;3;;;;;3
Stichting Crafts Council Productions;;;2;;;;;2
Stichting Fontys;;;1;;;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;;1;;;;;1
Stichting Kerkenland;;;1;;;;;1
Stichting Mitswatenoe;;;;;;4;;4
Stichting Monumentenwacht Utrecht;;;2;;;;;2
Stichting Nationaal Restauratiefonds;;;1;;;;;1
Stichting Nuffic;;5;;;;;;5
Stichting Open State Foundation;;;;;;1;;1
Stichting Team Haagse Hogeschool;;;2;;;;;2
Stichting Tehuis voor Archiefambtenaren;;;1;;;;;1
Stichting Univé Rechtshulp;;;;;1;;;1
Stichting Vilans;;;2;;;;;2
Stichting Werkpro;;2;;;;;;2
SV Land B.V.;;5;;;;;;5
Taal en Teken;;;2;;;;;2
Tempo-Team Direct;;;1;;;;;1
Ten Holter Noordam advocaten;;;;;1;;;1
Terra Nova, partners in onderzoek;;;2;;;;;2
Thaesis B.V.;;;1;;;;;1
Thomas Kogler;;;3;;;;;3
Thonik B.V.;;;2;;;;;2
Tijdlab;;;2;;;;;2
Tolk- en Vertaalbureau Orontes;;;1;;;;;1
Tools4ever B.V.;;;;;;2;;2
Tot op het Bot;;;2;;;;;2
TwynstraGudde Huisvest., Vastgoed & Fac. Man.;;2;;;;;;2
van der Zee & van der Lem;;;2;;;;;2
Van Deventer Man.-, Office & Project Support;;;2;;;;;2
Vancis Topco B.V.;;;;;;1;;1
Vast Vero;;;1;;;;;1
Vedas Quality B.V.;;;1;;;;;1
Veerman Conserv./Restauratie van Schilderijen;;;2;;;;;2
Verdonck, Klooster & Associates B.V.;;;2;;;;;2
Vestigia B.V.;;;1;;;;;1
VNSG Diensten B.V.;;;;;1;;;1
Waardewerk;;;;;2;;;2
Worldmeetings.com B.V.;;;1;;;;;1
Xerox (Nederland) B.V.;;;2;;;;;2
Young Works B.V.;;;1;;;;;1
ZWL Expertise Centrum B.V.;;;3;;;;;3
Eindtotaal;1;7;8;1;5;5;2;8
