Telpunt;opmerkingen;Weg;Telvak;vast/wissel;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
F497;;Helperzoom;Waterloolaan - Kempkensberg;vast;11686;10212;12425;6941;8498;7904;8379;6432;7271;7502;1437
F498;;Hereweg;Waterloolaan - Papiermolenlaan;vast;10132;9738;10667;10603;12139;10293;10379;9971;9678;7335;6815
F503;;Paterswoldseweg;Muntinglaan - Laan van de Vrede;vast;7453;8878;8524;7811;8313;7205;7400;6822;8372;8096;7320
F504;;Leonard Springerlaan;Expositielaan - Laan 1940-1945;vast;;611;525;534;564;564;608;1108;467;425;
F572;;Korreweg;Balistraat - J.C. Kapteijnlaan;wissel;13745;11934;;13742;;12378;;;14218;12316;
F576;;Van Ketwich Verschuurlaan;Vondellaan - Van Leneplaan;wissel;1706;1392;;1846;;1719;;;1718;1686;
R2201;vanaf 2017;Van Hall pad;Emmaviaduct-Van Hallbrug;vast;;;;;;;;4275;4779;4684;3299
R2202;vanaf 2017;Paterswoldsweg;Peizerweg-Van Speykstraat;vast;;;;;;;;15522;16804;16047;16387
R2203;vanaf 2017;Eendrachtskade NZ;Barentzstraat-Hoendiepskade;vast;;;;;;;;4692;6035;5790;4589
R2204;vanaf 2017;Herman Colleniusstraat - fietspad;Israelstraat-Mesdagplein;vast;;;;;;;;6761;7467;7439;5430
R2205;vanaf 2017;Hermans Colleniussstraat;De Grootkade-Colleniusbrug;vast;;;;;;;;6929;8793;8485;6851
R2206;vanaf 2017;Wilhelminakade;Prinsesseweg-Regentesseweg;vast;;;;;;;;7368;6946;6742;4939
R3652F;vanaf 2019;Emmalaan;Westerse Drift-Kroonkampweg;vast;;;;;;;;;;498;725
R3654F;vanaf 2019;Kromme Elleboog;Oude Brinkweg-Schoolpad;vast;;;;;;;;;;2864;3165
R3655F;vanaf 2019;Molenweg;Hortuslaan-Botanicuslaan;vast;;;;;;;;;;2047;1881
R3656F;vanaf 2019;Molenweg;Hortuslaan-Kerklaan;vast;;;;;;;;;;2361;2558
R3657F;vanaf 2019;Rijksstraatweg;Kerkstraat-Meerweg;vast;;;;;;;;;;3283;3199
R3658F;vanaf 2019;Vondellaan (Haren);Korte Dreef-Van Veldelaan;vast;;;;;;;;;;1526;1629
