Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Coolworld Nederland B.V.;1;;;;1
Cooten en Koen Advies B.V.;;;;1;1
Copijn Boomspecialisten B.V.;1;;;;1
Cornelissen Aannemingsbedrijf B.V.;2;;;;2
Countus Accountants + Adviseurs;;;;2;2
CousCous&Zo;;;;1;1
CRH Fencing & Security Group B.V.;1;;;;1
Croissanterie Antoine Bezorging-Catering B.V.;;;;1;1
Croon Elektrotechniek B.V.;3;;;;3
Croonen;1;;;;1
CSO Adviesbureau, Milieu, Ruimte, Water;;;;1;1
CSO-Milfac;;;;1;1
Cumulo;;;;1;1
Cuna International B.V.;1;;;;1
Cushman & Wakefield V.O.F.;2;;;;2
D.P. Industries B.V.;1;;;;1
Damen Shiprepair Rotterdam;;;;1;1
Damen Vastgoed Pernis;;;;3;3
Damsté advocaten - notarissen;;;;2;2
Dassen Bouw B.V.;3;;;;3
DAT.Mobility B.V.;;;;1;1
Dawid Technisch Projectmanagement;;;;4;4
Dbvision B.V.;;;;3;3
DDCgroup B.V.;;;;3;3
De Bakker Makelaardij;;;;1;1
de Bibliotheek aan de Vliet;;;;1;1
de Breedte;;;;2;2
De Colonie Houten B.V.;;;;1;1
De Gemeynt Coöperatie UA;;1;;;1
De Glascentrale Tilburg B.V.;1;;;;1
De Haan & Martojo B.V.;;;;2;2
De Hoog ontwerp en onderzoek;;;;1;1
De Jong Van Leeuwen adv. - Vastgoed en Overh.;;;;1;1
De Jong Zuurmond Infrabeheer, Ond.&Serv. B.V.;1;;;3;3
De Lorijn Raadgevers O.G.;;;;4;4
De Polderland Groep B.V.;;;;1;1
De Rijk Magazijninrichting B.V.;1;;;;1
Dé Vastgoedbeschermer B.V.;;;;1;1
De Veldkeuken;;;;1;1
De Vries Projekt Design B.V.;2;;;;2
De Wilt-Cyrox Groep B.V.;1;;;;1
Debuco Advies B.V.;;;;1;1
Deel 2 ontwerpers;;;;1;1
Deloitte Accountants;;3;;;3
DELTA Comfort B.V.;;1;;;1
Delta Infra B.V.;;2;;;2
DELTA N.V.;;9;;;9
Derkman Netwerk Notarissen;;;;2;2
Detron Telecom Enterprise;;;;4;4
Deuts;;;;1;1
Diligente;1;;;;1
DLV Rundvee Advies B.V.;;;;1;1
Doclife B.V.;;;;2;2
Dokkumer Vlaggen Centrale B.V.;;1;;;1
Donkergroen B.V.;1;;;;1
Dorpshuis het Trefpunt;;;;1;1
Doxis;1;;;5;5
Drentea Kantoormeubelen;3;;;;3
Dunea N.V.;;1;;;1
Dura Vermeer Infrastructuur Noord West;1;;;;1
DuretTrip Notarissen N.V.;;;;1;1
E. van der Boom Advies;;;;1;1
Ealyze B.V.;;1;;;1
Ebima;;;;2;2
Ecofys Netherlands B.V.;;;;1;1
ECORYS Nederland B.V.;;;;2;2
Eden Springs Nederland B.V.;;1;;;1
Effectief Personeelsdiensten B.V.;;;;2;2
Eijkelboom B.V.;1;;;;1
EJW Beheer B.V.;1;;;;1
Elbenk Com.;1;;;;1
Elec.techn. Bureau Van den Meerendonk B.V.;1;;;;1
Electrabel Invest B.V.;;1;;;1
Elektramat B.V.;1;;;;1
Elementbouwtechniek P.B.S. Holland B.V.;1;;;;1
Endinet;;1;;;1
Enduris B.V.;;5;;;5
Eneco Services B.V.;;4;;;4
Eneco Zakelijk;;7;;;7
Enexis B.V.;;6;;;6
Enexis Meetbedrijf B.V.;;3;;;3
Engbers Trainingen;1;;;;1
ENGIE Infra & Mobility B.V.;;;;2;2
ENGIE Services Noord B.V.;4;;;;4
ENVIEM Oil Nederland B.V.;;4;;;4
Envita Almelo B.V.;;;;1;1
Erkamp Projekt Service B.V.;1;;;;1
Essent Energie Verkoop Nederland B.V.;;3;;;3
Euroforum;;1;;;1
Eurogroen;;;;3;3
European Energy Auction B.V.;;4;;;4
Eurosense B.V.;;;;2;2
EV-Box;1;;;;1
Evides N.V.;;3;;;3
Ex Aequo Pruijssers Management B.V.;;;;1;1
Exploitatiemaatschappij De Koepoort B.V.;;;;1;1
Explosive Clearance Group B.V.;2;;;;2
Fa. van der Neut Uw Groene Vakwinkel;1;;;;1
Fabzz;;;;2;2
Facility Service;2;;;;2
Facilitylinq B.V.;1;;;;1
Farwick Groenspecialisten;3;;;;3
Feddema Makelaardij o.g.;;;;2;2
Firma J. de Ruyter & Zn.;;;;1;1
FMT Vastgoed Beheer;;;;1;1
Fokkema Linssen;;;;4;4
FonteinAdvies;;;;2;2
Fotostudio J. van Houdt;;;;1;1
Fratersgoed B.V.;;;;6;6
Frisse Lucht B.V.;1;;;;1
Fudura B.V.;;2;;;2
Fugro GeoServices B.V.;;1;;4;4
Fusacon B.V.;;;;3;3
Gasned B.V.;;1;;1;1
Gebr. Bonenkamp Techniek en Handel B.V.;1;;;;1
Gebr. Dijkhoff B.V.;;;;4;4
Gebr. Olieman B.V.;;;;5;5
Gebroeders Van der Lee;1;;;;1
Geoplan Nederland B.V.;1;;;;1
Gerritse IJzerwaren;1;;;;1
Gijs de Haan;1;;;;1
Ginger B.V.;;;;3;3
Gispen Groningen;1;;;;1
Glaspunt B.V.;1;;;;1
Glassprotect Glasfolies;1;;;;1
Global Wetlands Nederland B.V.;1;;;;1
gloedcommunicatie;;;;1;1
Go About B.V.;;;;2;2
Goconnectit B.V.;;;;3;3
Goorts + Coppens B.V.;;;;1;1
Goudappel Coffeng B.V.;;;;2;2
Gouweloos Elektrotechniek B.V.;;1;;;1
Green Giraffe B.V.;;1;;;1
Grizzly B.V.;;;;1;1
Groenburgwal B.V.;;;;2;2
Groenendael Philips Management Train. Centre;;;;1;1
Grondtoon;;;;3;3
Groningen Seaports N.V.;;;;2;2
Grontmij N.V.;2;2;;7;7
Grontmij Nederland B.V.;;;;2;2
Groothandelsgebouwen N.V.;1;3;;;3
GS1 Nederland B.V.;;1;;;1
Guldie Schilders- en Afwerkingsbedrijf B.V.;1;;;;1
Guliker's Gas- en Oliehandel B.V.;;2;;;2
Guy Wolfs Hoveniersbedrijf;1;;;;1
GVG Holding B.V.;;;;1;1
H. v/d Galiën-F. Verbeek/I QUIT SMOKING;1;;;;1
H. van Haarst B.V.;;;;2;2
H.J.L.J. Swanenberg Beheermaatschappij B.V.;;;;5;5
H.O.D. Nederland B.V.;1;;;1;2
H+N+S B.V.;;;;3;3
HACH;;;;4;4
Hakvoort Professional Zuid B.V.;;1;;;1
Hamabest Asbest B.V.;1;;;;1
Handels- en Verhuurbedrijf Krans B.V.;1;;;;1
Hans Cox V.O.F.;1;;;;1
Hans Roetert Advies Onroerende Zaken;;;;1;1
Hans Roetert Tax.- en Adv.buro Onr. Zkn. B.V.;;;;1;1
Harenberg Grondzaken & Taxaties;;;;3;3
HaskoningDHV Nederland B.V.;5;;;7;7
Have fun Events;;;;1;1
Havenbedrijf Amsterdam N.V.;;;;4;4
Havenbedrijf Rotterdam N.V.;;;;2;2
HB Eco-Products;;;;1;1
HB Milieuk. en Civieltechn. Adviesbureau B.V.;;;;3;3
Heemborgh Hillegom thodn Heemborgh Makelaars;;;;2;2
Heijltjes Advocaten;;;;1;1
Heijmans Civiel B.V.;;;;3;3
Heijmans Utiliteit;1;;;;1
Henk van Tongeren Bronbemaling B.V.;1;;;;1
Het NIC B.V.;1;;;;1
Het Notarieel;;;;2;2
High Security International B.V.;2;;;;2
Hillsafety B.V.;1;1;;;1
HKV Lijn in Water B.V.;;;;2;2
Hobru Wegenonderhoud B.V.;1;;;;1
Hoekstra & Partners Notarissen;;;;4;4
Hoffspoor Notarissen;;;;5;5
Hofrijck bureau voor taxaties en onteigening.;;;;3;3
Holland Floor Projectstoffering B.V.;1;;;;1
Holland Herstel Groep B.V.;1;;;;1
Holland Mast B.V.;1;;;;1
Holland Scherm B.V.;;;;6;6
Hollandse Nieuwe Concepts & Design B.V.;2;;;;2
Hollandse Telecommunicatie Maatschappij;1;;;;1
Homij Technische Installaties B.V.;2;;;;2
Hoogstate Taxateurs O.Z. en Rentmeesters B.V.;;;;3;3
Horeca Invest Ned B.V.;;;;1;1
Hornbach Bouwmarkt (Nederland) B.V.;1;;;;1
Horvat & Partners B.V.;;;;3;3
Hosted.nl B.V.;;1;;;1
Hotel Contact B.V.;1;1;;1;1
Hotel De Vigilante;;;;1;1
Hotel Delft;1;;;;1
Hotel Hofker V.O.F.;1;;;;1
Hotel Schylge B.V.;1;;;;1
Hotel Wieringermeer B.V.;;;;1;1
Hovek Projectinrichting B.V.;1;;;;1
Hoveniersbedrijf Hans Balk B.V.;1;;;;1
Hoveniersbedrijf Jkh;1;;;;1
Hoveniersbedrijf K.S. Jissink;;;;1;1
Hoveniersbedrijf Kees de Bruin B.V.;2;;;;2
HSB Bouw B.V.;2;;;;2
HUBO Bossenbroek;1;;;;1
Huizer Bouw B.V.;1;;;;1
I.T.O. Vaarwegmarkering B.V.;1;;;;1
IHC Offshore & Marine;1;;;;1
IJsfontein Interactive Space B.V.;1;;;;1
IJskar Visser;;;;1;1
IJzerhandel Zwaard B.V.;1;;;;1
IMARES;;;;1;1
Imtech Building Services;1;2;;;2
Ineke Roest Management en Advies;;;;1;1
Info.NL Holding B.V.;;;;3;3
Infram B.V.;;;;2;2
Infram Participatie B.V.;4;;;4;5
Ingenieursbureau de Marne B.V.;;;;2;2
Ingenieursbureau Ebatech B.V.;;3;;;3
Ingenieursbureau Geodelta B.V.;;;;5;5
InkoopTarget;;;;1;1
Inquest B.V.;;;;2;2
Installatiebedrijf J.C. Barendse;1;;;;1
Installatiebureau Geka B.V.;1;;;;1
Instituut voor Veiligheid en Milieu B.V.;1;;;;1
Insyde B.V.;;1;;;1
Intercity Mobile Communications B.V.;;;;2;2
Interdaad B.V.;2;;;;2
Intrum Justitia Nederland B.V.;;1;;;1
J. Feitsma Tuinaanleg en Groenvoorziening;2;;;;2
J. v.d. Velden Schoonm.bedr.- Multi Onderhoud;;;;1;1
J. Verhagen Houdstermij. Oud-Beijerland B.V.;;;;1;1
J.R.I. Communication;;;;3;3
Jaarbeurs-Servicebureau;;1;;;1
Jar Luchtreiniging;1;;;;1
Jelmer B.V.;;;;1;1
Jennissen Melkveebedrijf;;;;2;2
Jeroen Baars Beheer B.V.;;;;7;7
JJV Adv. en Proj.man. in Ruimtel. Vraagstukk.;;;;2;2
Joh. van Es Petit Restaurant en Partyservice;;;;1;1
Joint Analytical Systems Benelux B.V.;;;;2;2
Jones Lang LaSalle B.V.;3;;;3;4
Jos Rademakers Ecologie en Ontwikkeling;;;;1;1
Jos Scholman Handelsmaatschappij B.V.;3;;;3;4
Jubitana Advies;;;;2;2
Julo Systeemwanden en Kantoorinr. B.V.;3;1;;;3
K.F.J.P. de Bont Holding B.V.;;;;1;1
Karel Stein Kabels & Leidingen;;;;2;2
Karmac Facilitair B.V.;1;;;;1
Karres en Brands Landschapsarchitecten B.V.;;;;3;3
Kasteel Oud-Poelgeest B.V.;;;;1;1
Kavegas B.V.;1;1;;1;1
KEMA Nederland B.V.;;4;;;4
Kendes Rentmeesters & Adviseurs;;;;2;2
Kern Architecten B.V.;1;;;;1
Kiezebrink Consultancy;;;;3;3
King Wall;1;;;;1
Kiwa Technology;;3;;;3
Klaas van Ommen Beregeningstechniek;1;;;;1
KlaGer Dak en Timmerwerken;1;;;;1
Klimaatservice Holland B.V.;1;;;;1
KlokBouwOntwikkeling B.V.;1;;;;1
KOAC.NPC, Inst. voor Mat.-/Wegbouwk. Onderz.;1;;;1;2
Kodos B.V.;;;;1;1
Koeman en Bijkerk B.V.;2;;;;2
Koet Tuin- en Boomzorg;1;;;;1
Kok Party-Catering Service;1;;;;1
Kon. Ver. Agent Halverhout-Zwart-Zurmühlen BV;;;;1;1
Kone B.V.;1;;;;1
Kongsberg Maritime Holland B.V.;;;;2;2
Konings- Sloopwerk. - Recycl.- Asb.verw. B.V.;;;;3;3
Koninklijke Damstra Installatietechniek B.V.;1;;;;1
'Koninklijke Metaalunie';1;;;;1
Kontakt der Kontinenten;;;;1;1
Koppelaar Notarissen;;;;1;1
Krijt advies;;;;2;2
Kroon B.V.;1;;;;1
Kuiper Bouw B.V.;2;;;;2
KWS Infra Heerhugowaard;1;;;;1
L.W. van der Lee;;;;1;1
Laagland Communicatie;;;;2;2
Lankhorst Mouldings;1;;;;1
Las- Scheeps- en Jachtbouw Peters;;;;2;2
Lasaulec B.V.;;;;1;1
LAWTON;;;;3;3
LBP Sight B.V.;;;;4;4
Lejeune Multi Electra;1;;;;1
Leylines B.V.;1;;;;1
Liander N.V.;;7;;4;7
Liandon B.V.;;1;;;1
Lievens Communicatie B.V.;;2;;4;4
Lievense Consulting Engineers;;;;1;1
Life Architect B.V.;;;;1;1
Liftinstituut B.V.;1;;;;1
LigneNotarissen;;;;1;1
Linde Gas Cryoservices B.V.;;1;;;1
Loenderveen, Waternet;;1;;7;7
Loodgiet.- & Inst.bedr. M. Schroevers B.V.;1;;;;1
Loon- en Grondwerkbedrijf Martens B.V.;;;;1;1
Loonbedrijf Kleijweg;2;;;;2
Luke Bouwman B.V.;2;;;;2
M. van der Giezen t.h.o.n. Snackmoments;;;;1;1
M+P, raadgevende ingenieurs B.V.;;;;2;2
Maatschap Van der Valk Woudstra;1;;;;1
Maatschap Veraart;;;;1;1
Madeko Office Solution B.V.;1;;;;1
Makelaarskantoor Leonard;;;;3;3
ManEngenius B.V.;;;;1;1
Manpower B.V.;;;;1;1
Manutan B.V.;1;;;;1
Marees Installatie en Techniek B.V.;1;;;;1
Maritech Marine B.V.;1;;;;1
mArketeerZ;;;;4;4
Marx Investments B.V.;;2;;;2
Matchd;;;;3;3
Mathijsen & Weijs, Notarissen;;;;6;6
Maton-De Rooy B.V.;2;;;;2
Max Bögl Nederland B.V.;;;;5;5
MBu Project Consultancy;;;;2;2
Meander Hoveniers;1;;;;1
Medusa Explorations;;;;1;1
Meerkerk Houtbouw B.V.;2;;;2;2
Meetwinkel B.V.;1;;;;1
Meeuwsen RTO B.V.;;;;1;1
Metrohm Applikon;;;;1;1
Mett;;;;1;1
MHL Consultancy;;;;1;1
Milieuk. en Geotechn. Adv.bureau Arnicon B.V.;1;;;;1
mind@work;;1;;;1
Mitari Hijstechniek B.V.;1;;;;1
MK2 Audiovisueel B.V.;1;;;;1
MLG B.V.;;;;1;1
mmeer consultancy B.V.;;;;3;3
Monolithic Archeologie;;;;1;1
Monsdal Limburg Zuid B.V.;1;;;;1
Mooie projecten;;;;2;2
Motel Haarlem Zuid B.V.;;;;1;1
Movares Nederland B.V.;;;;4;4
Move Mobility B.V.;;;;2;2
Mr. K.J. van den Dool B.V.;1;;;;1
Multi Bouwadvies B.V.;1;;;;1
Multicopy Haarlem;;;;1;1
Multicopy Lelystad B.V.;;;;1;1
MWH;2;;;5;5
MYbusinessmedia B.V.;1;;;;1
N.A. van den Hoven & Zonen B.V.;1;;;;1
N.B.C. Exploitatie B.V.;;;;1;1
N.V. Golf Exploit. Mij. Schipluid.;1;;;;1
N.V. Kabeltelevisie Noord-Oost Friesland;;1;;;1
N.V. Nederlandse Gasunie;;5;;;5
N.V. PWN Waterleidingbedrijf Noord-Holland;;3;;;3
N.V. Rendo;;1;;;1
N.V. Waterbedrijf Groningen;;1;;;1
N.V. Waterleidingmaatschappij Drenthe;;1;;;1
Nachtveiligheidsdienst Haarlem B.V.;1;;;;1
Naeff Consult B.V.;;;;1;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;2;;7;7
Nedfilter B.V.;1;;;;1
Neerlandia Scheepsservice;1;;;;1
Nelen & Schuurmans B.V.;;2;;;2
NetAction Business Consultancy;;;;1;1
NIBA Bleskensgraaf;2;;;;2
NIC Best Deal B.V.;1;;;;1
NIC Finance Invoice Services B.V.;1;;;;1
Nieuw Ammervelde;1;;;;1
Noorderstaete rentmeesters B.V.;;;;5;5
Norisk Keymanagement B.V.;1;;;;1
Notariaat Aa en Hunze;;;;1;1
Notariaat Ritsma B.V.;;;;1;1
Notariskantoor Butijn;;;;1;1
Notariskantoor Roerdalen;;;;2;2
Notariskantoor Spruijt;;;;3;3
Notariskantoor Terneuzen;;;;5;5
Notariskantoor Verhaegen & Verhaegen B.V.;;;;2;2
Notarispraktijk Interwaert B.V.;;;;6;6
Nouwen Notarissen;;;;7;7
Novitarius/Van Esch Wisse;;;;9;9
NS Reizigers B.V.;;;;2;2
NUON Business;;2;;;2
Nysingh Advocaten-Notarissen N.V.;;;;5;5
O.B.M. Ongedierte Bestrijding Maarssen;1;;;;1
O.J. Deddens B.V.;;;;1;1
Oasen N.V.;;1;;;1
OBN Ongedierte Bestrijding Nederland B.V.;1;;;;1
Observator Instruments B.V.;;;;2;2
Officenter Maastricht B.V.;1;;;;1
Oliecentrale Nederland;;4;;;4
Oliehandel Dekker B.V.;;2;;;2
OMNILOFT;;;;1;1
Ondernemersvereniging Kampen;;;;2;2
Onlyhuman B.V.;2;;;3;3
Onno te Rijdt;;;;2;2
Ooms Construction B.V.;1;;;;1
Opgeleid Persoon B.V.;1;;;;1
Oranje Adviseurs B.V.;;;;1;1
OVB Advies B.V.;;;;1;1
Over Morgen;;;;3;3
Oving Projectinrichting B.V.;1;;;;1
P. Muller Fotografie;1;;;;1
P2 Proces- en Projectmanagers B.V.;;;;1;1
Palladio Groep B.V.;;;;7;7
Palmen & Dassen Notarissen;;;;1;1
Panasonic Biomedical Sales Europe B.V.;;1;;;1
Pandoro Value Added Services;;;;1;1
Parkstad Installatie Techniek & More;1;1;;;1
Party Cruises Bommelervaart;;;;1;1
Partyservice Van der Zee;;;;1;1
Patisserie Juliette;;;;1;1
PDK engineering;;;;2;2
Pels Rijcken & Droogleever Fortuijn N.V.;;;;5;5
Perfect Vloerenonderhoud B.V.;3;;;;3
Periplus Archeomare B.V.;;;;3;3
Plaatwerkindustrie Tol B.V.;1;;;;1
Planecologie;;;;1;1
Plaveka Interieurs B.V.;1;;;;1
Plomp Makelaars;;;;2;2
PMA Exclusive;;;;4;4
POL Heteren B.V.;1;;;;1
Poldernotaris;;;;1;1
Polet Projectconsult B.V.;;;;2;2
Poolen Organisatieadvies B.V.;;;;4;4
Pot Verhuizingen/Logistiek - A tot Z B.V.;1;;;;1
PPPgroupe;;;;2;2
Presentatie Techniek Holland B.V.;2;;;;2
Pricewaterhousecoopers Advisory N.V.;;;;2;2
Pricewaterhousecoopers N.V.;;;;5;5
Prick & Van Houtum notarissen;;;;7;7
Primagaz Nederland B.V.;;3;;1;3
Primakabin B.V.;2;;;;2
Primaplan (Project Control Services) B.V.;;;;2;2
Prisma Beveiliging B.V.;1;;;;1
Probe It;;;;2;2
Pronk Ontwerp;2;;;;2
ProRail B.V.;;;;7;7
Protinus IT B.V.;1;;;;1
R.I.E.T. Ruimtel. Inricht. & Techn. B.V.;;;;3;3
Raadg. Ingenieursbur. Wiertsema & Partn. B.V.;;;;1;1
RAAP Archeolog. Adviesbureau Oost Nederland;;;;2;2
RAAP Archeolog. Adviesbureau Zuid Nederland;;;;2;2
Radac B.V.;;;;1;1
Rail Side;;;;1;1
Randstad HR Solutions;5;;;2;5
Randstad Resource Bedrijf Zakelijk B.V.;;;;2;2
Rasenberg Infra B.V.;;;;4;4
Reaseuro;;;;2;2
Rebel Energy B.V.;;;;2;2
Rechtsdraaiende-Organisatie B.V.;;2;;;2
Recool B.V.;1;;;;1
Recycling Kampen Beheer B.V.;;;;4;4
Recycling Kampen Containers en Transport B.V.;1;;;;1
Rederij Carpe Diem B.V.;;1;;;1
Rederij Noordgat;1;;;;1
Regio Noord-Oost;;;;7;7
Regus Amsterdam;;;;2;2
Relatics B.V.;;;;3;3
Rentmeesterskantoor Bouman;;;;2;2
Rentokil pest control;2;;;;2
Restaurant Belle van Zuylen B.V.;1;;;;1
Restaurant Schietbaan Europoort C.V.;;;;2;2
Restaurant Vrijenburg;;;;2;2
Rick Lüschen Organisatie Ondersteuning;;;;1;1
Rijngas B.V.;;1;;;1
Rikkers Infographics;;;;1;1
Rions B.V.;1;;;;1
Rob Karis Holding B.V.;;;;2;2
