OBJECTID,DESCR,RSURF_DESC,V_MCDAY,TOTINTENS,PFLOWDAY,PFLOWEVE,PFLOWNI,PFLOWLVDAY,PFLOWLVEVE,PFLOWLVNI,PFLOWLTDAY,PFLOWLTEVE,PFLOWLTNI,PFLOWHTDAY,PFLOWHTEVE,PFLOWHTNI,Shape__Length,GlobalID
17,Handelskade,Klinkers,30,92,7.13,2.59,0.56,96.53,97.07,95.66,3.12,2.64,3.91,0.35,0.29,0.43,79.3147328220601,01bf970f-f6ee-4e9e-b0e7-98206b879ba8
18,Hasselterdijk N331,DAB (Ref.),50,13382,6.61,2.97,1.1,88.75,95.29,89.51,7.85,3.32,7,3.39,1.39,3.49,66.1542876756582,b3e84437-7e68-493f-acd0-8e99443768ec
19,Marktstraat,Klinkers,30,716,7.09,2.57,0.58,93,94.03,91.33,6.03,5.14,7.47,0.97,0.83,1.2,76.7973480545984,6a32677c-8f4b-4771-b373-59e628e8c10f
20,Stationsweg,Klinkers,30,1589,7.07,2.57,0.61,92.56,93.65,90.83,6.27,5.35,7.73,1.17,1,1.44,62.8955817121887,bb60eb71-1b5e-4d61-b174-085a4b1139e8
21,Pottenbakkersstraat,Klinkers,30,5,7.54,2.76,0.58,100,100,100,0,0,0,0,0,0,18.8265241151474,ca4a464f-7070-44e2-9fe5-c7d4a1884ad0
22,Handelskade,Klinkers,30,79,7.06,2.57,0.56,95.93,96.54,94.9,3.66,3.11,4.59,0.41,0.35,0.51,105.096357608874,fda855c5-0d2c-4a50-b248-c1c2290255cb
23,Pottenbakkersstraat,Klinkers,30,665,7.09,2.57,0.58,92.62,93.71,90.87,6.24,5.32,7.72,1.14,0.97,1.41,31.8031938178835,0c42c226-a1de-41af-8be3-ab92950f6508
24,Hasselterdijk N331,DAB (Ref.),50,13382,6.61,2.97,1.1,88.75,95.29,89.51,7.85,3.32,7,3.39,1.39,3.49,146.30025095036,cc2eb4fb-46b9-448d-a610-7bcaa068635e
25,Hasselterdijk N331,DAB (Ref.),50,13382,6.61,2.97,1.1,88.75,95.29,89.51,7.85,3.32,7,3.39,1.39,3.49,82.5527075961569,1c1254c1-ee32-4d94-b54c-97941c269731
26,De Vlakte,Klinkers,30,53,7.11,2.6,0.55,100,100,100,0,0,0,0,0,0,29.4473658903863,deef5812-1578-4ccc-bc02-b35fe0c2f00f
27,De Vleugel,Klinkers,30,41,7.17,2.61,0.57,97.42,97.82,96.76,2.32,1.96,2.92,0.26,0.22,0.32,63.6517370947252,95062258-6b66-42c0-ab3c-bd441c5c4f4b
28,Hasselterdijk N331,DAB (Ref.),50,13358,6.61,2.97,1.1,88.9,95.53,89.68,7.7,3.07,6.82,3.4,1.4,3.5,21.5687370948675,cef72af8-28e4-4b7b-aa18-87b77fecf983
29,De Vlakte,Klinkers,30,437,7,2.75,0.63,87.82,82.35,77.8,11.76,17.32,21.73,0.42,0.33,0.47,71.768944834631,60670e33-78fc-4564-a555-4c9c1b27cd03
30,Hasselterdijk N331,DAB (Ref.),50,13358,6.61,2.97,1.1,88.9,95.53,89.68,7.7,3.07,6.82,3.4,1.4,3.5,101.741328799522,ba5cab51-362c-44dc-bf67-d8870b9b6c02
31,De Nieuwesluis,Klinkers,50,2037,7.05,2.59,0.62,96.96,96.71,95.58,2.8,3.09,4.13,0.24,0.2,0.3,12.8058053090035,b03849f4-bc5b-4552-8856-483c0f3e4db7
32,De Vlakte,Klinkers,30,17,7.1,2.6,0.55,100,100,100,0,0,0,0,0,0,47.7272128165356,765551f4-d181-44a5-aa7b-90ebf1033b11
33,De Vlakte,Klinkers,30,383,7.09,2.59,0.57,95.27,95.99,94.1,4.26,3.61,5.31,0.47,0.4,0.59,57.9596125697053,13056a91-5b3c-4905-b305-b36e2ccd1b2d
34,Hasselterdijk N331,DAB (Ref.),50,13382,6.61,2.97,1.1,88.75,95.29,89.51,7.85,3.32,7,3.39,1.39,3.49,41.8337432967938,0172b6ea-6a78-49d4-bb00-50f9972b4fb3
35,ZYWG N331 HMP 145,Klinkers,30,53,7.11,2.6,0.55,100,100,100,0,0,0,0,0,0,169.443265669978,130a5cd5-63c1-4ac4-9dad-e6dd8489741d
36,Kolksluiskade,Klinkers,50,187,7.01,2.73,0.61,89.67,84.22,80.04,10.04,15.55,19.64,0.29,0.22,0.32,55.0267825307634,e92b1cac-b05d-4997-adba-81440277a65c
37,De Nieuwesluis,Klinkers,30,1619,6.16,4.6,0.96,89.9,93.6,94,5.9,3.6,4.3,4.2,2.8,1.7,30.4691638880355,a3db0fae-40d1-4626-b8d2-4d00e4edbb7f
38,Hasselterdijk,Klinkers,30,110,7.13,2.59,0.56,98.07,98.37,97.57,1.74,1.47,2.19,0.19,0.16,0.24,33.8302858901761,17e651e5-3cd4-4815-8f3c-bcb28fb54dc4
39,Oppen Swolle N331,DAB (Ref.),80,6408,6.57,2.94,1.18,87.51,92.47,88.22,9.32,5.46,8.61,3.17,2.07,3.17,162.951821020583,cde3f27e-3078-41d3-9197-493b5d5b5984
40, ,DAB (Ref.),50,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8621336034287,6ee09aa6-6715-4c46-bd34-17826c1afa1f
41, ,DAB (Ref.),50,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5315128335922,f0aadc29-03bc-4b07-978a-fc0cfaa238ed
42,Oppen Swolle N331,DAB (Ref.),80,6408,6.57,2.94,1.18,87.51,92.47,88.22,9.32,5.46,8.61,3.17,2.07,3.17,80.3959303045886,957b25aa-d7df-489b-a61f-4661739188ec
43,Grote Kranerweerd,DAB (Ref.),50,2689,7.07,2.49,0.65,71.74,75.07,66.9,17.14,15.12,20.08,11.12,9.81,13.02,24.476524600796,35c6e9bf-8f25-4994-a138-aa6ab387ddf9
44,Stouweweg,DAB (Ref.),30,62,7.05,2.56,0.56,94.8,95.59,93.51,4.68,3.97,5.84,0.52,0.44,0.65,129.545276307353,e8fb1fbf-55a5-4b02-8cd4-1569f6160935
45,Het Oude Diep,DAB (Ref.),50,2661,7.07,2.49,0.65,70.9,74.3,65.98,17.51,15.46,20.47,11.59,10.24,13.55,78.7445406524804,ca94d9fc-e40f-47ad-9366-ad326ccfde56
46,Grote Kranerweerd,DAB (Ref.),50,2680,7.07,2.49,0.65,71.77,75.1,66.92,17.13,15.11,20.07,11.1,9.79,13.01,128.279059656334,1e28228e-52ef-4dbd-9b88-41ce34e4d86f
47,Grote Kranerweerd,DAB (Ref.),50,2629,7.07,2.49,0.65,71.74,75.07,66.89,17.14,15.12,20.08,11.12,9.81,13.03,211.501516058209,860f5bc2-b5ef-4519-bad1-2fb0514f562a
48,Grote Kranerweerd,DAB (Ref.),50,2648,7.07,2.49,0.65,71.01,74.39,66.09,17.46,15.42,20.42,11.53,10.19,13.49,55.4704026118004,81262710-ad96-4356-9590-62608532d3c1
49,Grote Kranerweerd,DAB (Ref.),50,2623,7.07,2.49,0.65,71.03,74.42,66.11,17.45,15.41,20.41,11.52,10.17,13.48,92.2973495264435,45065bfa-2de7-49f6-b559-7f1568545b3e
50,Grote Kranerweerd,DAB (Ref.),50,2886,7.07,2.49,0.65,74.26,77.38,69.68,16.01,14.07,18.86,9.73,8.55,11.46,57.454942786167,1800c8d5-693d-4c20-975a-bc8c14ade691
51,Conradsweg,Klinkers,50,304,7.09,2.56,0.57,90.87,92.2,88.73,7.27,6.21,8.97,1.86,1.59,2.3,71.7563775802599,90da1e0a-ee21-4e18-a76c-65e434fff35d
52,Het Bosch,DAB (Ref.),30,61,7.05,2.49,0.58,80.63,83.17,76.67,12.94,11.25,15.59,6.43,5.58,7.74,131.151717488069,952cb1c2-ff42-4b00-8f68-8a81c5f461ed
53,Stouweweg,DAB (Ref.),30,57,7.14,2.59,0.56,94.42,95.26,93.03,5.02,4.27,6.27,0.56,0.47,0.7,137.674529556739,9afff5b0-212c-4fbd-b90f-2af3c2984fcf
54,Het Oude Diep,DAB (Ref.),50,1447,7.08,2.48,0.64,69.76,73.24,64.72,18,15.93,21,12.24,10.83,14.28,29.4725772965311,9530d2dd-c935-4b64-815d-ed3f7ccc3337
55,Het Bosch,Klinkers,50,106,7.11,2.54,0.58,81.93,84.34,78.17,12.28,10.64,14.83,5.79,5.02,7,34.407776042194,8bdb7023-58d0-433e-8cc2-fb696f5f48a9
56,Stouweweg,DAB (Ref.),50,7,7.54,2.76,0.58,100,100,100,0,0,0,0,0,0,29.6587119518618,d91ed973-c697-4646-9307-efc7c3f6cb46
57,Stouweweg,DAB (Ref.),50,7,7.54,2.76,0.58,100,100,100,0,0,0,0,0,0,48.7579988409934,5d763bef-a854-429f-929a-a3a0a20f5d68
58,Het Oude Diep,DAB (Ref.),50,1455,7.08,2.46,0.65,69.62,73.12,64.57,18.06,15.98,21.06,12.32,10.9,14.37,40.4862141629302,d3998714-10d3-4b66-a474-cdd23cc526fc
59,Het Oude Diep,DAB (Ref.),50,1397,7.08,2.48,0.64,68.68,72.24,63.55,18.46,16.36,21.48,12.86,11.4,14.97,18.555885601982,dfa977db-76dc-490c-8452-a6f852b2926b
60,Het Oude Diep,Klinkers,50,1281,7.08,2.48,0.64,67.02,70.68,61.76,19.14,17.02,22.2,13.84,12.3,16.04,11.4500896739455,88d59909-132b-40e1-a7f4-fa0fb5c19081
61, ,Klinkers,50,0,0,0,0,0,0,0,0,0,0,0,0,0,160.542693739955,f1c13bf9-68d9-4ce1-8bd9-0c1c153d9616
62,Het Oude Diep,Klinkers,50,1305,7.08,2.48,0.64,67.03,70.7,61.78,19.14,17.01,22.19,13.83,12.29,16.03,73.5269771153291,98e9af01-a2dc-47e7-9665-06b27d996835
63,Het Oude Diep,Klinkers,50,1319,7.08,2.46,0.65,66.74,70.42,61.46,19.26,17.13,22.31,14,12.45,16.23,92.9867264201495,c6ae1a02-4c63-4267-9630-d649c0f94125
64,Het Oude Diep,Klinkers,50,1322,7.08,2.46,0.65,66.74,70.42,61.46,19.26,17.13,22.31,14,12.45,16.23,29.4704174698948,3b6f50d4-5b2f-477c-95fe-a5b05c7e46d5
65,Het Oude Diep,Klinkers,50,1307,7.08,2.46,0.65,66.19,69.91,60.88,19.48,17.34,22.54,14.33,12.75,16.58,20.8830391233001,2873a9df-ec61-48d0-82a9-0fbb1cfc37ea
66,Het Bosch,Klinkers,50,88,7.12,2.49,0.59,77.03,79.93,72.59,14.72,12.86,17.56,8.25,7.21,9.85,64.5089781698491,6284210f-605c-47f3-b61b-5d4dcebc6b45
67,Het Bosch,Klinkers,50,89,7.12,2.5,0.59,77.3,80.17,72.89,14.59,12.74,17.42,8.11,7.09,9.69,48.0000565593339,14d69cab-cd10-45d3-8ba9-e60d65513f72
68,Het Bosch,Klinkers,50,89,7.12,2.5,0.59,77.3,80.17,72.89,14.59,12.74,17.42,8.11,7.09,9.69,16.9035350181242,8de7ef13-09a5-4f2a-b8fb-d27f67ff7278
69,Het Bosch,Klinkers,50,90,7.13,2.5,0.59,77.57,80.41,73.19,14.46,12.63,17.28,7.97,6.96,9.53,34.9419174317073,6febfc81-c03c-43f2-88e8-a74eff948995
70,Het Bosch,Klinkers,50,6,7.54,2.76,0.58,100,100,100,0,0,0,0,0,0,30.6213430367776,ab172ace-75e0-48a5-89cf-7d0abe752219
71,Het Bosch,Klinkers,50,6,7.54,2.76,0.58,100,100,100,0,0,0,0,0,0,30.0063764571982,080a3142-5f21-49f8-a2f0-34906e43fb4f
72,Het Bosch,Klinkers,50,6,7.54,2.76,0.58,100,100,100,0,0,0,0,0,0,39.0016668333032,9ca64409-1c02-4d4e-ab8d-a0ef61b6e3bd
73,Het Bosch,Klinkers,50,6,7.54,2.76,0.58,100,100,100,0,0,0,0,0,0,29.9140452757161,e6a1858c-f3aa-49f8-8402-d6049a6bbe45
74,Stouweweg,DAB (Ref.),50,53,7.11,2.6,0.55,100,100,100,0,0,0,0,0,0,137.243459066912,81360799-273e-4a29-b7a5-943940b3f796
75,De Zede,Klinkers,50,6,7.55,2.66,0.62,83.27,85.53,79.72,11.57,10.01,14.03,5.16,4.46,6.25,151.281941253716,9ce8b31a-f770-4c1f-aa1f-25f1cc5d655a
76,Schoolstraat,Klinkers,30,1279,7.01,3.27,0.35,90.8,94.9,88.2,5,3.8,11.8,4.2,1.3,0,44.0636396149428,73632056-2ea1-42ec-af4b-9bde9b6c1f3e
77,Molenstraat,Klinkers,30,644,7.09,2.57,0.58,93.54,94.51,91.99,5.81,4.94,7.21,0.65,0.55,0.8,39.5241299851841,3a0efdcf-0925-4ff5-bc85-7f1ac99ec7ea
78,Baanstraat,Klinkers,30,1050,7.13,2.59,0.51,93.63,94.55,91.31,5.73,4.9,7.82,0.64,0.55,0.87,8.88577690750786,09ebcf06-7d6b-4a34-b86c-15f8a8e6da2f
79,Molenstraat,Klinkers,30,658,7.09,2.57,0.58,93.69,94.62,92.16,5.68,4.84,7.06,0.63,0.54,0.78,37.2170565378397,fa5b408f-5158-40bf-bb22-8d9fc8ca3c79
80,Baanstraat,Klinkers,30,55,7.13,2.61,0.55,100,100,100,0,0,0,0,0,0,29.8896037558468,16773308-0e4c-46f5-95aa-1e1f618d12e1
81,Schoolstraat,Klinkers,30,399,7.09,2.59,0.57,93.32,94.31,91.7,5.87,5,7.29,0.81,0.69,1.01,46.0587621852991,96fe3598-d0cb-4abe-ac26-81f0c5544c51
82,Molenstraat,Klinkers,30,701,7.09,2.57,0.58,93.61,94.57,92.07,5.75,4.89,7.14,0.64,0.54,0.79,9.68693990319691,554313b7-c3d5-4f5e-90d3-6b441efdb8cc
83,Baanstraat,Klinkers,30,73,7.13,2.61,0.55,98.54,98.77,98.17,1.31,1.11,1.65,0.15,0.12,0.18,38.0247906488027,7a801e99-42fe-4ee8-a402-dbb7770d02df
84,Baanstraat,Klinkers,30,16,7.07,2.59,0.55,100,100,100,0,0,0,0,0,0,37.397945893812,529bff25-82b9-4bcc-ba25-d06be0045a9f
85,Het Singel,Klinkers,30,45,7.04,2.58,0.54,100,100,100,0,0,0,0,0,0,51.9531610519787,a8627638-79f4-4bc7-af9a-24dfbcf77674
86,Zomerdijk,Klinkers,30,410,7.09,2.57,0.58,90.9,92.22,88.76,7.25,6.2,8.95,1.85,1.58,2.29,47.2426381924875,5c7b4398-f776-475d-ad0b-57024f583440
87,Kerkstraat,Klinkers,30,474,7.08,2.57,0.58,92.12,93.28,90.24,6.53,5.57,8.08,1.35,1.15,1.68,8.14808134984581,dca2384b-580d-4c00-bb3f-0497ab8f2286
88,Baanstraat,Klinkers,30,42,7.18,2.63,0.56,100,100,100,0,0,0,0,0,0,74.9880718476279,f7f143a9-a38b-46e7-8965-2f011e9e3ccc
89,Zomerdijk,Klinkers,30,416,7.09,2.57,0.58,90.53,91.9,88.31,7.47,6.39,9.22,2,1.71,2.47,98.259272008841,89d6376e-29fd-4f00-bbfc-f1c086c3c8a0
90,Zomerdijk,Klinkers,30,280,7.11,2.54,0.58,87.83,89.55,85.09,9.05,7.77,11.09,3.12,2.68,3.82,83.6551973885954,84b257d1-5371-4da1-b9f1-c9ad75fddfbf
91,Museumlaan,Klinkers,30,71,7.11,2.6,0.55,98.5,98.73,98.11,1.35,1.14,1.7,0.15,0.13,0.19,29.3075900400165,b07956eb-b4b3-4ddf-862b-fcf6ed378d5b
92,Kerkstraat,Klinkers,30,647,7.09,2.57,0.58,93.9,94.81,92.42,5.49,4.67,6.82,0.61,0.52,0.76,37.3876936591814,12036684-1529-468c-a77d-bdfed40751ff
93,Kerkstraat,Klinkers,30,169,7.09,2.56,0.57,91.79,93,89.83,6.72,5.73,8.32,1.49,1.27,1.85,58.8424587968951,36f7c6d5-d345-4c4c-af8f-91535f82851f
94,Kerkstraat,Klinkers,30,590,7.09,2.57,0.58,93.32,94.31,91.71,5.87,5,7.28,0.81,0.69,1.01,58.3982567966087,87fe4cfb-c139-49b1-a83b-a6b873289257
95,Dwarsstraat,Klinkers,30,12,6.91,2.53,0.54,100,100,100,0,0,0,0,0,0,51.7314186639668,4f99686d-4fa5-47fd-9b91-0bfee1dc0aac
96,Purperreigerlaan,Klinkers,30,961,6.91,3.47,0.4,95.1,98.4,93.1,3.2,0.8,6.9,1.7,0.8,0,57.3030277382546,ef0a797f-a103-403d-93c0-6946ba98802d
97,Roerdompstraat,Klinkers,30,92,7.13,2.61,0.55,98.84,99.02,98.54,1.04,0.88,1.31,0.12,0.1,0.15,119.368084292954,7a6792e0-91a2-4850-9cd5-4c6030cde739
98,Purperreigerlaan,Klinkers,30,961,6.91,3.47,0.4,95.1,98.4,93.1,3.2,0.8,6.9,1.7,0.8,0,58.5818767937247,bfc2a61d-d714-43e3-8e06-af134262d7cf
99,Buizerdstraat,Klinkers,30,892,7.08,2.6,0.58,97.61,97.98,97,2.15,1.82,2.7,0.24,0.2,0.3,74.5831508524415,e24cc601-0116-41ce-9ea4-dac34b2110ef
100,Populierenstraat,Klinkers,30,2034,7.06,2.58,0.62,98.43,98.67,98.03,1.41,1.2,1.77,0.16,0.13,0.2,32.2189297239887,a7c7d553-7dd7-4674-a2eb-effb31c79746
101,Kiekendiefstraat,Klinkers,30,467,7.09,2.59,0.57,98.18,98.46,97.7,1.64,1.39,2.07,0.18,0.15,0.23,55.7738444093186,dc72c3df-9384-4014-9364-1ab6bf9fcc67
102,Kiekendiefstraat,Klinkers,30,420,7.1,2.59,0.57,98.22,98.5,97.77,1.6,1.35,2.01,0.18,0.15,0.22,4.38828888064435,59253394-8fcc-4843-a7c1-8c8192af6e37
103,Sternstraat,Klinkers,30,92,7.13,2.61,0.55,98.84,99.02,98.54,1.04,0.88,1.31,0.12,0.1,0.15,89.6220402905177,8bc0be78-2cbd-4b65-9f87-fd091ae6f26a
104,Purperreigerlaan,Klinkers,30,961,6.91,3.47,0.4,95.1,98.4,93.1,3.2,0.8,6.9,1.7,0.8,0,58.4556266593203,d2390f31-cfc2-4740-ace9-d583b07b94d5
105,Buizerdstraat,Klinkers,30,742,7.08,2.6,0.58,97.41,97.81,96.76,2.33,1.97,2.92,0.26,0.22,0.32,37.0905192012323,be962ab2-d2da-46dc-bc18-f8e0acb93eaa
106,Buizerdstraat,Klinkers,30,255,7.09,2.56,0.57,95.4,96.09,94.24,4.14,3.52,5.18,0.46,0.39,0.58,85.238685663741,806f96b6-423d-461b-b3dc-0ae1a746bbbf
107,Julianastraat,Klinkers,30,13,6.96,2.55,0.54,100,100,100,0,0,0,0,0,0,55.4516577136844,39c31503-d170-4d1f-a2df-f55967fe0e26
108,Kiekendiefstraat,Klinkers,30,399,7.09,2.59,0.57,98.13,98.42,97.64,1.68,1.42,2.12,0.19,0.16,0.24,54.0151473883601,bfedfe81-2f88-4ff8-bfeb-5994b21a6276
109,Roerdompstraat,Klinkers,30,30,7.04,2.58,0.55,100,100,100,0,0,0,0,0,0,45.5969936314592,ca3cacbe-09b3-47d8-8fac-28dd70a64009
110,Sternstraat,Klinkers,30,4,7.54,2.76,0.58,100,100,100,0,0,0,0,0,0,31.1158806617841,7841be79-8420-4c1d-8399-526e79648bdc
111,De Zegge,Klinkers,30,261,7.1,2.58,0.56,97.56,97.93,96.92,2.2,1.86,2.77,0.24,0.21,0.31,64.7044267097436,207bb3ae-bba6-42d8-86c0-0cc38ff6803e
112,Kiekendiefstraat,Klinkers,30,102,7.09,2.6,0.55,98.96,99.12,98.68,0.94,0.79,1.19,0.1,0.09,0.13,58.8750520759729,bf4a65a9-2298-4373-a486-345d07d8aa01
113,De Zegge,Klinkers,30,155,7.1,2.58,0.56,94.5,95.32,93.13,4.95,4.21,6.18,0.55,0.47,0.69,113.739850513238,99eac92d-09b6-4ff9-9d76-b085ec41c99b
114,De Zegge,Klinkers,30,231,7.11,2.59,0.56,97.23,97.67,96.53,2.49,2.1,3.12,0.28,0.23,0.35,68.2759832163158,512b280d-4b15-4942-a5c1-512639071415
115,Kiekendiefstraat,Klinkers,30,50,7.09,2.59,0.55,100,100,100,0,0,0,0,0,0,58.5161744500372,7642aeb1-8c51-49b1-a893-ad38224cedfc
116,Meerkoetstraat,Klinkers,30,8,7.53,2.76,0.58,100,100,100,0,0,0,0,0,0,31.3471938049867,b006897d-f9f6-4db8-9226-b7ecd812843d
117,Kolksluiskade,Klinkers,30,53,7.11,2.6,0.55,100,100,100,0,0,0,0,0,0,6.15208929918269,93a23f02-a3d7-4814-94e1-64174163d1b9
118,Kolksluiskade,Klinkers,30,10,6.79,2.45,0.54,88.84,90.43,86.28,8.47,7.26,10.41,2.69,2.31,3.31,9.43235969193817,bade29fd-7d42-4c43-85a2-b82301176af9
119,Mastenmakersstraat,Klinkers,30,16,7.07,2.57,0.56,93.3,94.3,91.67,5.88,5,7.31,0.82,0.7,1.02,30.0012301724039,75d9503a-54d0-4c9e-af12-1ccaa3311be8
120,Kolksluiskade,Klinkers,30,53,7.11,2.6,0.55,100,100,100,0,0,0,0,0,0,8.21702691062893,191dae22-35aa-4a81-89c6-8261d2529061
121,Kolksluiskade,Klinkers,30,53,7.11,2.6,0.55,100,100,100,0,0,0,0,0,0,29.4138284927399,210cad5a-fa88-4ce9-86a4-4905c7152b80
122,Mastenmakersstraat,Klinkers,50,93,6.68,3.33,0.83,60.7,44.52,37.82,39.3,55.48,62.18,0,0,0,9.25128502488026,d7af3322-6237-4a2e-9b87-be0b91f51b1e
123,Kolksluiskade,Klinkers,30,53,7.11,2.6,0.55,100,100,100,0,0,0,0,0,0,47.4172427643942,1aeefaa4-98ec-4d50-a522-bbdab133a190
124,Mastenmakersstraat,Klinkers,30,104,7.1,2.58,0.56,95.9,96.52,94.87,3.69,3.13,4.62,0.41,0.35,0.51,43.4829875565321,99fda2b2-6ca7-49f2-ab24-ae2b561553fb
125,Kolksluiskade,Klinkers,30,53,7.11,2.6,0.55,100,100,100,0,0,0,0,0,0,88.5156177556516,82ec8fad-a2df-48e3-9ea4-77658841e82b
126,Kolksluiskade,Klinkers,30,53,7.11,2.6,0.55,100,100,100,0,0,0,0,0,0,36.0073638475545,3f127af3-78c7-4b2b-9989-742f8915c19a
127,Mastenmakersstraat,Klinkers,30,89,7.11,2.59,0.56,96.41,96.97,95.5,3.23,2.73,4.05,0.36,0.3,0.45,60.0132787986005,205b202b-4869-4aab-9041-80bac283d590
128,Mastenmakersstraat,Klinkers,30,56,7.13,2.59,0.56,96.21,96.79,95.24,3.41,2.89,4.28,0.38,0.32,0.48,74.9952730602854,4ba99197-9491-47e7-ab87-cf8e76690ad9
129,De Taanderij,Klinkers,30,558,7.1,2.59,0.57,99.04,99.2,98.8,0.86,0.72,1.08,0.1,0.08,0.12,70.9730728400792,be2d803a-e8ef-4bb9-b136-a9d0db6fe757
130,De Nieuwesluis,Klinkers,30,533,7.09,2.59,0.57,98.2,98.48,97.73,1.62,1.37,2.04,0.18,0.15,0.23,31.3272974444178,498aecee-aa50-485b-b3a1-f947b06b494a
131,De Nieuwesluis,Klinkers,30,1108,7.08,2.58,0.59,98.66,98.87,98.31,1.21,1.02,1.52,0.13,0.11,0.17,81.8840626753735,94760be3-53b8-4aa4-806f-975cb9dda896
132,De Taanderij,Klinkers,30,53,7.11,2.6,0.55,100,100,100,0,0,0,0,0,0,21.2710643964735,b980c723-5eca-48ee-9563-7c09345c929c
133,Scheepvaartlaan,Klinkers,30,454,7.1,2.59,0.57,99.07,99.21,98.82,0.84,0.71,1.06,0.09,0.08,0.12,14.0021508802741,7c393344-aef0-4770-aa63-e8b9348e0de5
134,De Nieuwesluis,Klinkers,30,540,7.1,2.59,0.57,98.22,98.5,97.77,1.6,1.35,2.01,0.18,0.15,0.22,65.8334973337663,4804a63c-171d-47f3-87e1-9c2f4889a41f
135,De Nieuwesluis,Klinkers,30,441,7.08,2.59,0.57,98.07,98.37,97.57,1.74,1.47,2.19,0.19,0.16,0.24,113.913418714508,5871ddfa-79e1-4058-a631-1326d886825b
136,De Turfoverslag,Klinkers,30,54,7.12,2.61,0.55,100,100,100,0,0,0,0,0,0,58.2858003187356,4679ba58-43a1-444f-b8cc-4edc224dc4c7
137,De Klipper,Klinkers,30,293,7.09,2.61,0.56,97.46,97.84,96.8,2.29,1.94,2.88,0.25,0.22,0.32,77.2285755034431,e704707f-ae28-431a-9109-4996a8b603d1
