Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;Eindtotaal
TrueTalk B.V.;;;2;;;;2
Valerie Kuypers Fotografie;1;;;1;;;2
Van Arkel Gerechtsdeurwaarders;;;2;;1;;2
VCK Travel B.V.;2;;;;;;2
Verdonck, Klooster & Associates B.V.;2;;;;;;2
Vizea B.V.;;;2;;;;2
Voor de Buis;2;;;;;;2
WagenaarHoes B.V.;;;2;;;;2
Went Werkt Journalistiek;1;;2;;;;2
Zasja;;;2;;;;2
Avance PMC B.V.;;;3;;;;3
Bank Ten Cate & Cie. N.V.;;;3;;;;3
Bruggeling Holding B.V.;3;;;;;;3
Epsilon;;;3;;;;3
Fier mee!;;;3;;;;3
Futureconsult B.V.;;;3;;;;3
HeadFirst B.V.;;;;;;3;3
Ipsos B.V.;;;3;;;;3
LISAAN;1;;3;;;;3
OBI Group B.V.;;;;3;;;3
Ordina Technologie & Competenties B.V.;;;3;;;;3
Organis. voor Vitaliteit, Activ. en Loopbaan;3;;;;;;3
Pels Rijcken & Droogleever Fortuijn N.V.;;;2;;2;;3
Radar Groep B.V.;1;;3;;;;3
Sociaal Economisch OndeRzoek Rotterdam B.V.;;;3;;;;3
Stichting MOVISIE;1;;2;;;;3
TenderData;3;;2;;;;3
Verhagen Familierecht;;;3;;;;3
Winkelman & van Hessen Participaties B.V.;3;;;;;;3
Worldmeetings.com B.V.;3;;;;;;3
Yacht;;;;3;;;3
ZINZIZ B.V.;;;3;;;;3
Zunderdorp B.V.;;;3;;;;3
Andersson Elffers Felix;;;4;;;;4
APE Public Economics B.V.;;;4;;;;4
Atlas voor Gemeenten B.V.;;;4;;;;4
Berenschot Interim Management B.V.;;;4;;;;4
D&B;2;;2;3;;;4
ECORYS Nederland B.V.;;;4;;;;4
EMMA Communicatie B.V.;;;2;4;;;4
I & O Research B.V.;;;4;;;;4
KPMG Advisory N.V.;;;4;;;;4
Lysias Advies B.V.;;;4;;;;4
Maters & Hermsen Journalistiek B.V.;;;;4;;;4
Meetingselect B.V.;4;;2;;;;4
Publiquest, de Communicatie Coöperatie UA;4;;;1;;;4
Roorda Reclamebureau B.V.;;;4;4;;;4
Start People Industri�le Diensten B.V.;;;1;4;;;4
The Oddshop B.V.;;;;4;;;4
TNS Nipo B.V.;;;;4;;;4
BBK/Door Vriendschap Sterker B.V.;;;;5;;;5
BMC Implementatie;;4;1;;;;5
Bureau Bartels B.V.;;;5;;;;5
Labyrinth onderzoek & advies;1;;4;;;;5
Panteia B.V.;;;5;;;;5
Pijk - Interim-managers/Troubleshooters B.V.;;3;;;;4;5
Publicis;;;;5;;;5
Significant B.V.;;;5;;;;5
Bureau voor Interculturele Evaluatie B.V.;;;6;;;;6
De Beleidsonderzoekers;;;6;;;;6
Klusman.Com B.V.;;;2;6;;;6
Porter Novelli B.V.;5;;6;2;;;6
Regioplan Beleidsonderzoek B.V.;2;;6;;;;6
Schouten & Nelissen Groep B.V.;;;6;;;;6
Stg. Routerings (Int.)Nat. Informatiestromen;6;;4;;;;6
Xerox (Nederland) B.V.;1;;6;;;;6
Capgemini Nederland B.V.;5;;6;;;;7
Stichting Nederlands Migratie Instituut;;;7;;;;7
Stichting SEO Economisch Onderzoek;2;;7;;;;7
Eindtotaal;7;5;9;7;5;5;9
;;;;;;;
