OBJECTID,PUIC,NAAM,VOLTAGE,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,LATITUDE,LONGITUDE
1051,e504fce0-8730-445d-8773-0d1d8096382c,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,96.029847,"96,029847",0.054969,"0,054969",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,210822.487,518517.628,52.65127427,6.21211486
1052,79e34652-c0fe-431b-8e77-b22eaf378a0b,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,82.310265,"82,310265",0.042201,"0,042201",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,209540.502,506005.203,52.53896223,6.19111698
1053,0e78b839-3837-4308-8c6b-8e9a945c3877,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,502,b,502,502_b,Meppel,100.325429,"100,325429",0.148619,"0,148619",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Drenthe,35,ASSET Rail,209724.171,522569.82,52.68779986,6.19655684
1054,48f477e2-c45c-464d-934d-0cfa15940ace,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,80.051736,"80,051736",0.140002,"0,140002",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,208343.756,504138.557,52.52230573,6.17318016
1055,9d17633d-e5b8-4a23-a0aa-52c634e9f5b6,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,78.57045,"78,570450",0.224412,"0,224412",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,207179.774,503211.872,52.51409039,6.15588645
1056,a0267e6b-edd6-4d9a-930c-03421015681f,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,92.047144,"92,047144",-0.399651,"-0,399651",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,212841.419,515148.243,52.6207853,6.2413578
1057,be8eb887-6e4d-44c3-940b-cbb6e19cc621,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,90.288557,"90,288557",0.303097,"0,303097",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,212500.906,513455.258,52.60560761,6.23603644
1058,c96673f2-7014-4a07-8945-dbbf5d745f78,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,96.163815,"96,163815",-0.230172,"-0,230172",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,210731.881,518617.83,52.65218399,6.21079295
1059,6adf520d-c2f9-47c4-8a7b-c166afce73d0,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,86.914125,"86,914125",0.389613,"0,389613",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,211250.782,510307.135,52.57744777,6.21705072
1060,84a0cede-2acd-4049-8d63-be4dcd17cef7,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,502,b,502,502_b,Meppel,100.25631,"100,256310",21.313061,"21,313061",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Drenthe,35,ASSET Rail,209733.601,522498.347,52.68715664,6.19668446
1061,c4442602-b07e-4242-bc08-f395a43b2492,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,96.617482,"96,617482",-0.477135,"-0,477135",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,210427.141,518957.119,52.65526405,6.20634688
1062,1e4053f9-c0b3-43a2-b73b-8efc1c6e0b95,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,502,b,502,502_b,Meppel,101.054329,"101,054329",12.83318,"12,833180",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Drenthe,35,ASSET Rail,209870.416,523285.42,52.69421564,6.19883839
1063,b89d14ea-6eef-4e54-a838-18fc09d91108,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,502,b,502,502_b,Meppel,101.171372,"101,171372",-0.734478,"-0,734478",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Drenthe,35,ASSET Rail,209877.01,523403.503,52.69527609,6.19895553
1064,acde62ca-cd3f-4c97-84a4-2e417df6b302,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,85.511221,"85,511221",0.470175,"0,470175",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,210729.926,508996.674,52.56572486,6.20914786
1065,16f02f19-e1de-43c8-914f-ab09adf5801a,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,85.833611,"85,833611",-0.613817,"-0,613817",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,210849.579,509297.885,52.56841944,6.21096299
1066,8c01fa64-47b2-4734-8007-53cc032aa3fa,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,96.425574,"96,425574",-0.01434,"-0,014340",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,210555.789,518812.476,52.65395114,6.20822366
1067,df06a29f-a8cc-49c5-b7ba-2136a28f96d1,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,95.095982,"95,095982",1.096288,"1,096288",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,211429.566,517803.053,52.64479031,6.22096314
1068,7a31fb43-a15b-428e-99d1-d436b846ea42,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,91.704265,"91,704265",-0.171196,"-0,171196",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,212876.934,514804.804,52.61769528,6.24182225
1069,6ce26a23-f322-459c-998a-a505362135af,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,79.651496,"79,651496",-1.018636,"-1,018636",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,208029.595,503888.524,52.52008937,6.16851194
1070,09663490-e9cf-4f9b-bc39-9cfdf65cec08,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,85.442439,"85,442439",-0.076257,"-0,076257",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,210704.047,508931.629,52.56514298,6.20875532
