FID,omschr,type_div,hectobord,afritnr,afritnaam,wvk_id,wvk_begdat,afstand,fk_veld1,fk_veld4,ibn,gdb_geomattr_data,shape
divergenties_wegvak.14,Pseudo Overig volledig knooppunt,D,46.6z,,'KP.PR.CLAUSPLEIN'DEN HAAG VBW. z (RW.4),170305024,2022-01-01T00:00:00,0,017030502420220101,KPK0001420937,I,,POINT (85253.42639999837 452588.1721000001)
divergenties_wegvak.15,T-aansluiting halfklaverblad,U,58.1c,9,'HEEMSKERK'VBW. c,600120060,2022-01-01T00:00:00,0,060012006020220101,KPK0001179555,I,,POINT (109002.877700001 502820.21930000186)
divergenties_wegvak.16,Pseudo Haarlemmermeer-aansluiting,U,69.4r,,'KP.KOOIMEER'RING-WEST DEN HELDER VBW. r,221426015,2022-01-01T00:00:00,0,022142601520220101,KPK0001130757,I,,POINT (110651.02710000053 513277.75569999963)
divergenties_wegvak.17,T-knooppunt,U,41.7e,,'KP.ROTTEPOLDERPLEIN ZUID'HOOFDDORP-WEST VBW. e,217375006,2022-01-01T00:00:00,0,021737500620220101,KPK0001179526,I,,POINT (108805.02019999921 487706.1063000001)
divergenties_wegvak.18,,U,14.7m,,BS.PPL.+REST.'DEN RUYGEN HOEK',600119564,2022-02-01T00:00:00,0,060011956420220201,KPK0001217707,I,,POINT (107445.97129999846 475245.11030000076)
divergenties_wegvak.19,Pseudo Haarlemmermeer-aansluiting,U,16.8a,4,'NIEUW-VENNEP'VBW. a,600119545,2022-02-01T00:00:00,1388,060011954520220201,KPK0001190444,I,,POINT (106002.02939999849 473640.23220000044)
divergenties_wegvak.20,Niet indeelbaar,D,45.0m,,'RING ALMERE-CENTRUM'RANG.BAAN m,276364007,2021-12-01T00:00:00,0,027636400720211201,KPK0001157766,I,,POINT (138436.17810000107 482243.91600000113)
divergenties_wegvak.21,Niet indeelbaar,D,0.0#,,'ALMERE-STAD'VBW. p,281367024,2021-12-01T00:00:00,1044,028136702420211201,KPK0001179023,I,,POINT (141502.92419999838 484408.7184999995)
divergenties_wegvak.22,Pseudo Haarlemmermeer-aansluiting,U,25.9c,4,'SLOTERMEER'VBW. c,236376126,2021-12-01T00:00:00,141,023637612620211201,KPK0001158145,I,,POINT (118044.71169999987 488235.06540000066)
divergenties_wegvak.23,Pseudo Haarlemmermeer-aansluiting,U,26.1a,3,'AMSTERDAM-WESTERPARK'VBW. a,600123444,2021-12-01T00:00:00,0,060012344420211201,KPK0001156113,I,,POINT (118084.17749999836 488370.1559000015)
divergenties_wegvak.24,Niet indeelbaar,U,27.4p,,WISSELSTROOK p,236378100,2021-12-01T00:00:00,0,023637810020211201,KPK0001156027,I,,POINT (118044.31949999928 489475.8759999983)
divergenties_wegvak.25,,U,19.0n,,BS.'MIJNSHEERENLAND',182248011,2021-12-01T00:00:00,0,018224801120211201,KPK0001159376,I,,POINT (90998.06540000066 424014.24439999834)
divergenties_wegvak.26,,U,22.4q,,PPL.'OUDE KREEK',176242012,2021-12-01T00:00:00,763,017624201220211201,KPK0001159377,I,,POINT (88341.80310000107 421927.3808999993)
divergenties_wegvak.27,Pseudo Overig volledig knooppunt,U,6.0c,,'KP.YPENBURG'RING-ZUID DEN HAAG-ZUID VBW. c,168300028,2022-01-01T00:00:00,0,016830002820220101,KPK0001420939,I,,POINT (84032.21150000021 450191.7562999986)
divergenties_wegvak.28,Pseudo Overig volledig knooppunt,D,3.9q,,'KP.PR.CLAUSPLEIN'UTRECHT VBW. q,169303067,2022-01-01T00:00:00,0,016930306720220101,KPK0001133877,I,,POINT (84758.9662999995 451896.39550000057)
divergenties_wegvak.29,Haarlemmermeer-aansluiting,U,42.5a,,'KP.ROTTEPOLDERPLEIN'HAARLEM VBW. a,600119989,2022-01-01T00:00:00,0,060011998920220101,KPK0001155759,I,,POINT (108767.64149999991 488274.15509999916)
divergenties_wegvak.30,T-knooppunt,U,41.1h,,'KP.ROTTEPOLDERPLEIN ZUID'HAARLEM-ZUID VBW. h,600119594,2022-01-01T00:00:00,0,060011959420220101,KPK0001130270,I,,POINT (109341.26440000162 487060.3022999987)
divergenties_wegvak.31,Halfklaverblad-aansluiting,U,141.8c,26,'HOOGEVEEN'VBW. c,455453042,2022-01-01T00:00:00,0,045545304220220101,KPK0001140138,I,,POINT (227757.95809999853 526909.7765999995)
divergenties_wegvak.32,Niet indeelbaar,U,0.0#,,'BUSBAAN',600190321,2022-02-01T00:00:00,0,060019032120220201,KPK0001190636,I,,POINT (105270.83480000123 472477.1488999985)
divergenties_wegvak.33,Pseudo Haarlemmermeer-aansluiting,U,19.2c,4,'NIEUW-VENNEP'VBW. c,208343014,2022-02-01T00:00:00,0,020834301420220201,KPK0001127462,I,,POINT (104341.65920000151 471702.2523000017)
divergenties_wegvak.34,Pseudo T-aansluiting halfklaverblad,D,18.6p,,'SASSENHEIM'VBW. p,600114282,2022-02-01T00:00:00,0,060011428220220201,KPK0001164279,I,,POINT (104720.49659999833 472450.7655000016)
divergenties_wegvak.35,T-knooppunt,D,0.4#,,'KP.BURGERVEEN'DEN HAAG-CENTRUM,600112482,2022-02-01T00:00:00,0,060011248220220201,KPK0001127434,I,,POINT (105001.20960000157 472516.73039999977)
divergenties_wegvak.36,Pseudo Haarlemmermeer-aansluiting,U,28.8a,1,'AMSTERDAM-HEMHAVENS'VBW. a,237381036,2021-12-01T00:00:00,0,023738103620211201,KPK0001131105,I,,POINT (118704.61919999868 490825.80629999936)
divergenties_wegvak.37,Pseudo Haarlemmermeer-aansluiting,U,28.5c,1,'AMSTERDAM-HEMHAVENS'VBW. c,600123656,2021-12-01T00:00:00,200,060012365620211201,KPK0001158187,I,,POINT (118505.70800000057 490722.6158000007)
divergenties_wegvak.38,Pseudo Haarlemmermeer-aansluiting,U,28.4a,1,'AMSTERDAM-HEMHAVENS'VBW. a,236379061,2021-12-01T00:00:00,745,023637906120211201,KPK0001158086,I,,POINT (118428.00250000134 490470.3933000006)
divergenties_wegvak.39,T-knooppunt,U,0.7#,,'KP.COENPLEIN'LEEUWARDEN (RW8),239384030,2021-12-01T00:00:00,495,023938403020211201,KPK0001156063,I,,POINT (119909.89660000056 492639.09970000014)
divergenties_wegvak.40,Niet indeelbaar,D,1.5q,,WISSELSTROOK q,600215356,2021-12-01T00:00:00,307,060021535620211201,KPK0001157909,I,,POINT (119980.41250000149 493426.8638000004)
divergenties_wegvak.41,Halfklaverblad-aansluiting,U,0.0#,,'VELSERBROEK' (N208),600112959,2021-12-01T00:00:00,0,060011295920211201,KPK0001159914,I,,POINT (105002.92100000009 495108.62900000066)
divergenties_wegvak.42,Pseudo Halfklaverblad-aansluiting,U,8.6a,,'IJMUIDEN'VBW. a,210392044,2021-12-01T00:00:00,0,021039204420211201,KPK0001159922,I,,POINT (105345.0289000012 496052.96449999884)
divergenties_wegvak.43,Haarlemmermeer-aansluiting,U,15.2c,31,'VALKENSWAARD BS.PPL.OEIENBOSCH'VBW. c,600476880,2022-01-01T00:00:00,0,060047688020220101,KPK0001182267,I,,POINT (155102.9913999997 378591.1281000003)
divergenties_wegvak.44,Haarlemmermeer-aansluiting,U,14.4a,31,'VALKENSWAARD'VBW. a,600476898,2022-01-01T00:00:00,167,060047689820220101,KPK0001182264,I,,POINT (154124.5298999995 378186.2703000009)
divergenties_wegvak.45,Halfklaverblad-aansluiting,U,110.9c,10,'EERDE'VBW. c,600137729,2021-12-01T00:00:00,0,060013772920211201,KPK0001159569,I,,POINT (163427.24419999868 402032.5883000009)
divergenties_wegvak.46,T-knooppunt,U,32.1c,18,'AMSTERDAM-TUINDORP OOSTZAAN'VBW. c,600124908,2021-12-01T00:00:00,0,060012490820211201,KPK0001131163,I,,POINT (121056.4448999986 493167.30999999866)
divergenties_wegvak.47,Niet indeelbaar,U,0.0#,,'BARENDRECHT-CARNISSELANDE',600474691,2021-12-01T00:00:00,445,060047469120211201,KPK0001159380,I,,POINT (95051.70439999923 428784.6468000002)
divergenties_wegvak.48,Niet indeelbaar,U,0.0#,,'BARENDRECHT-CARNISSELANDE',600474707,2021-12-01T00:00:00,3,060047470720211201,KPK0001181477,I,,POINT (94801.24080000073 428802.52650000155)
divergenties_wegvak.49,Haarlemmermeer-aansluiting,U,8.5#,,'RW.708 (L.RIJB.)',210392046,2021-12-01T00:00:00,0,021039204620211201,KPK0001156228,I,,POINT (105394.32169999927 496291.4684000015)
divergenties_wegvak.50,Pseudo Halfklaverblad-aansluiting,D,10.6a,1,'IJMUIDEN'VBW. a,600120806,2021-12-01T00:00:00,672,060012080620211201,KPK0001158977,I,,POINT (105517.83240000159 496036.7564999983)
divergenties_wegvak.51,Niet indeelbaar,D,71.6m,,'BENELUXTUNNEL'RANGEERBAAN VBW. m,169274021,2021-12-01T00:00:00,702,016927402120211201,KPK0001431237,I,,POINT (84845.99399999902 436717.0047999993)
divergenties_wegvak.52,Niet indeelbaar,U,0.0#,,'RING ROTTERDAM OOST'VBW. p,169273028,2021-12-01T00:00:00,720,016927302820211201,KPK0001128059,I,,POINT (85031.4001000002 436022.9307000004)
divergenties_wegvak.53,Halfklaverblad-aansluiting,U,52.8a,12,'DEN HAAG-ZUID'VBW. a,600105975,2022-01-01T00:00:00,271,060010597520220101,KPK0001178854,I,,POINT (81403.61250000075 448114.33669999987)
divergenties_wegvak.54,Haarlemmermeer-aansluiting,U,232.2a,47,'BORN'VBW. a,600143991,2022-01-01T00:00:00,1368,060014399120220101,KPK0001178490,I,,POINT (185757.67859999835 339342.5012000017)
divergenties_wegvak.55,Klaverbladknooppunt,U,68.4k,,'KP.ZAARDERHEIKEN'VENLO-WEST/ZUID VBW. k,600148323,2022-01-01T00:00:00,0,060014832320220101,KPK0001163372,I,,POINT (206501.28069999814 378556.3630999997)
divergenties_wegvak.56,Niet indeelbaar,U,0.0#,,'WIERDEN-WEST',600433039,2022-01-01T00:00:00,73,060043303920220101,KPK0001181513,I,,POINT (235355.63289999962 486284.001699999)
divergenties_wegvak.57,T-aansluiting Haarlemmermeer,U,39.0a,3,'ABCOUDE'VBW. a,250353008,2022-01-01T00:00:00,1405,025035300820220101,KPK0001178216,I,,POINT (125914.83769999817 475441.8524999991)
divergenties_wegvak.58,Pseudo T-knooppunt,U,11.5f,,'KP.HOLENDRECHT'AMSTERDAM-ZUIDOOST VBW. f,600448980,2022-01-01T00:00:00,0,060044898020220101,KPK0001085466,I,,POINT (124609.16840000078 478568.2448000014)
divergenties_wegvak.59,Pseudo T-knooppunt,D,47.1t,,'KP.GOOIMEER'ALMERE-MUZIEKWIJK VBW. t,280366004,2021-12-01T00:00:00,0,028036600420211201,KPK0001129039,I,,POINT (140117.16849999875 483482.3746000007)
divergenties_wegvak.60,Pseudo T-knooppunt,U,96.9e,7,'CENTRUM'VBW. e,321179019,2021-12-01T00:00:00,0,032117901920211201,KPK0001159737,I,,POINT (160543.21389999986 389663.22250000015)
divergenties_wegvak.61,Pseudo T-knooppunt,U,96.5r,7,'SON EN BREUGEL'VBW. r,322179024,2021-12-01T00:00:00,0,032217902420211201,KPK0001159722,I,,POINT (161395.79030000046 389753.62629999965)
divergenties_wegvak.62,Halfklaverblad-aansluiting,U,14.7a,11,'AMSTERDAM-OVERAMSTEL'VBW. a,600124080,2021-12-01T00:00:00,0,060012408020211201,KPK0001131422,I,,POINT (123884.42540000007 482896.6292000003)
divergenties_wegvak.63,Pseudo T-knooppunt,D,49.9e,,'KP.WERPSTERHOEK'ZWOLLE VBW. e,363549056,2021-12-01T00:00:00,0,036354905620211201,KPK0001140664,I,,POINT (181410.8702000007 574776.5044)
divergenties_wegvak.64,Halfklaverblad-aansluiting,U,12.3c,20,'BARENDRECHT'VBW. c,189257023,2021-12-01T00:00:00,0,018925702320211201,KPK0001159351,I,,POINT (94959.03029999882 429028.46240000054)
divergenties_wegvak.65,Pseudo T-aansluiting halfklaverblad,U,8.2f,2,'SCHIPHOL'VBW. s,600474740,2021-12-01T00:00:00,15,060047474020211201,KPK0001157594,I,,POINT (111540.25329999998 480153.74819999933)
divergenties_wegvak.66,Pseudo T-aansluiting halfklaverblad,U,8.2f,2,'SCHIPHOL'VBW. s,600474741,2021-12-01T00:00:00,0,060047474120211201,KPK0001157594,I,,POINT (111540.25329999998 480153.74819999933)
divergenties_wegvak.67,Niet indeelbaar,U,0.0#,,'IND.DORDTSE KIL 3',600476939,2022-01-01T00:00:00,210,060047693920220101,KPK0001208320,I,,POINT (103371.37200000137 418431.5113000013)
divergenties_wegvak.68,Halfklaverblad-aansluiting,U,9.0a,1,'IND. EDE'VBW. a,600140258,2022-01-01T00:00:00,645,060014025820220101,KPK0001162772,I,,POINT (170699.7965000011 449668.0320000015)
divergenties_wegvak.69,Pseudo T-knooppunt,D,77.1p,,'KP.BENELUX'RING-ZUID ROTTERDAM-ZUID VBW. p,173264003,2022-01-01T00:00:00,0,017326400320220101,KPK0001128183,I,,POINT (86788.87000000104 432080.65300000086)
divergenties_wegvak.70,Pseudo T-knooppunt,D,75.5e,,'KP.BENELUX'EUROPOORT/MAASVLAKTE VBW. e,600454210,2022-01-01T00:00:00,0,060045421020220101,KPK0001178882,I,,POINT (85863.55220000073 432969.0287999995)
divergenties_wegvak.71,Overig volledig knooppunt,D,3.5m,,'KP.BADHOEVEDORP'SCHIPHOL RANG.BAAN. m,600122329,2022-01-01T00:00:00,0,060012232920220101,KPK0001157221,I,,POINT (115000.77490000054 482807.01949999854)
divergenties_wegvak.72,Niet indeelbaar,U,0.0#,,'AMSTELVEEN-ZUID',600478130,2022-01-01T00:00:00,0,060047813020220101,KPK0001179607,I,,POINT (118671.63069999963 479377.7368000001)
divergenties_wegvak.73,Niet indeelbaar,U,0.0#,,'STADSHART',600478143,2022-01-01T00:00:00,2,060047814320220101,KPK0001179605,I,,POINT (118892.91290000081 479405.8456000015)
divergenties_wegvak.74,Niet indeelbaar,U,0.0#,,'LAAN DER VERENIGDE NATIES',600478959,2022-02-01T00:00:00,39,060047895920220201,KPK0001190370,I,,POINT (106068.60970000178 423205.617899999)
divergenties_wegvak.75,Niet indeelbaar,U,0.0#,,'ZWARTEWAAL' (N218),600402527,2022-02-01T00:00:00,0,060040252720220201,KPK0001193325,I,,POINT (73068.69830000028 434133.17749999836)
divergenties_wegvak.76,Niet indeelbaar,U,0.0#,,'ZWARTEWAAL' (N218),600402526,2022-02-01T00:00:00,311,060040252620220201,KPK0001193325,I,,POINT (73068.69830000028 434133.17749999836)
divergenties_wegvak.77,Halfklaverblad-aansluiting,U,27.0c,9,'HILVERSUM-NOORD'VBW. c,600472550,2021-11-01T00:00:00,0,060047255020211101,KPK0001156487,I,,POINT (143164.61340000108 473420.1356999986)
divergenties_wegvak.78,T-aansluiting halfklaverblad,U,24.9a,8,'BLARICUM'VBW. a,282353042,2021-11-01T00:00:00,1661,028235304220211101,KPK0001150715,I,,POINT (142396.71339999884 475549.89240000024)
divergenties_wegvak.79,Halfklaverblad-aansluiting,U,13.9c,12,'AMSTERDAM-CENTRUM'VBW. c,248366030,2021-12-01T00:00:00,0,024836603020211201,KPK0001131425,I,,POINT (124363.93430000171 483141.0592)
divergenties_wegvak.80,Pseudo T-knooppunt,U,50.2a,,'KP.WERPSTERHOEK'LEEUWARDEN-ZUID VBW. a,363549055,2021-12-01T00:00:00,0,036354905520211201,KPK0001140665,I,,POINT (182022.7124999985 574713.8836999983)
divergenties_wegvak.81,Pseudo T-knooppunt,D,50.3h,,'KP.WERPSTERHOEK'ZWOLLE VBW. h,600143497,2021-12-01T00:00:00,0,060014349720211201,KPK0001140668,I,,POINT (182345.40260000154 574823.7866000012)
divergenties_wegvak.82,Niet indeelbaar,U,0.0#,,CALAMITEITENROUTE,600280906,2021-12-01T00:00:00,271,060028090620211201,KPK0001207547,I,,POINT (111513.20399999991 480593.11780000106)
divergenties_wegvak.83,Haarlemmermeer-aansluiting,U,2.0a,1,'AMSTERDAM-SLOTEN'VBW. a,600122465,2021-12-01T00:00:00,441,060012246520211201,KPK0001157207,I,,POINT (116283.00649999827 483574.84600000083)
divergenties_wegvak.84,Halfklaverblad-aansluiting,U,79.5a,12,'EVERDINGEN'VBW. a,276278062,2022-01-01T00:00:00,0,027627806220220101,KPK0001124235,I,,POINT (138381.46770000085 439375.03269999847)
divergenties_wegvak.341,,U,96.9p,,PPL.'SPUITENDONK',600105804,2021-10-01T00:00:00,0,060010580420211001,KPK0001143007,I,,POINT (87434.98919999972 391846.061999999)
divergenties_wegvak.85,Haarlemmermeer-aansluiting,U,109.4c,14,'EMMELOORD-WEST'VBW. c,600141701,2021-12-01T00:00:00,0,060014170120211201,KPK0001128921,I,,POINT (179314.62539999932 522064.6488999985)
divergenties_wegvak.86,Pseudo T-aansluiting halfklaverblad,U,0.0#,,ASSENDELFT-NOORD,226396008,2021-12-01T00:00:00,185,022639600820211201,KPK0001157922,I,,POINT (113206.73800000176 498465.0729999989)
divergenties_wegvak.87,Niet indeelbaar,D,1.5q,,WISSELSTROOK q,239386003,2021-12-01T00:00:00,0,023938600320211201,KPK0001157909,I,,POINT (119980.41250000149 493426.8638000004)
divergenties_wegvak.88,Pseudo T-aansluiting halfklaverblad,U,8.3m,,'ROTTERDAM'RANG.BAAN m,600122367,2021-12-01T00:00:00,0,060012236720211201,KPK0001157592,I,,POINT (111359.04630000144 480191.9096000008)
divergenties_wegvak.89,Pseudo T-aansluiting halfklaverblad,U,9.0s,2,'SCHIPHOL'VBW. s,221358005,2021-12-01T00:00:00,0,022135800520211201,KPK0001157279,I,,POINT (110982.43360000104 479195.2686999999)
divergenties_wegvak.90,Haarlemmermeer-aansluiting,U,13.5c,2,'BEVERWIJK'VBW. c,600120117,2022-01-01T00:00:00,0,060012011720220101,KPK0001138111,I,,POINT (105335.42660000175 499012.1667999998)
divergenties_wegvak.91,Pseudo Overig volledig knooppunt,D,49.7a,,'KP.YPENBURG'RIJSWIJK-PLASPOELPOLDER VBW. a,600106604,2022-01-01T00:00:00,0,060010660420220101,KPK0001420643,I,,POINT (83215.31060000136 450650.5901999995)
divergenties_wegvak.92,Pseudo Overig volledig knooppunt,U,47.2y,,'KP.PR.CLAUSPLEIN'UTRECHT VBW. y,169304016,2022-01-01T00:00:00,0,016930401620220101,KPK0001127793,I,,POINT (84775.99139999971 451977.6281000003)
divergenties_wegvak.93,Pseudo Overig volledig knooppunt,U,50.0n,,'KP.YPENBURG'DEN HAAG-YPENBURG RANG.BAAN n,165300042,2022-01-01T00:00:00,0,016530004220220101,KPK0001420375,I,,POINT (82813.46049999818 450204.72260000184)
divergenties_wegvak.94,Haarlemmermeer-aansluiting,U,51.1a,11,'RIJSWIJK'VBW. a,600105882,2022-01-01T00:00:00,0,060010588220220101,KPK0001178805,I,,POINT (82239.75769999996 449609.35830000043)
divergenties_wegvak.95,,U,0.0#,,BS.'REUNEN',600148306,2022-01-01T00:00:00,0,060014830620220101,KPK0001182336,I,,POINT (209191.2437000014 378833.0289000012)
divergenties_wegvak.96,Halfklaverblad-aansluiting,U,118.8a,22,'ST.MICHIELSGESTEL'VBW. a,600134953,2022-01-01T00:00:00,0,060013495320220101,KPK0001124598,I,,POINT (151333.62840000167 409658.60379999876)
divergenties_wegvak.97,Niet indeelbaar,U,0.0#,,'ROSMALEN',303228031,2022-01-01T00:00:00,150,030322803120220101,KPK0001126294,I,,POINT (151519.5469999984 413999.7270000018)
divergenties_wegvak.98,Pseudo Haarlemmermeer-aansluiting,U,27.8a,5,'AMSTELVEEN-STADSHART'VBW. a,600122646,2022-01-01T00:00:00,0,060012264620220101,KPK0001179418,I,,POINT (119060.12049999833 479309.49280000106)
divergenties_wegvak.99,Niet indeelbaar,U,0.0#,,'BUSBAAN',600123850,2022-01-01T00:00:00,668,060012385020220101,KPK0001179456,I,,POINT (115286.83080000058 481853.1596999988)
divergenties_wegvak.100,Pseudo Haarlemmermeer-aansluiting,U,28.4c,5,'AMSTELVEEN-STADSHART'VBW. c,237359082,2022-01-01T00:00:00,0,023735908220220101,KPK0001179419,I,,POINT (118431.63589999825 479578.8231000006)
divergenties_wegvak.101,Halfklaverblad-aansluiting,D,31.7c,6,'AALSMEER'VBW. c,230363013,2022-01-01T00:00:00,576,023036301320220101,KPK0001179446,I,,POINT (115574.47819999978 481322.12860000134)
divergenties_wegvak.102,Niet indeelbaar,U,0.0#,,'MONTFOORT',600478340,2022-01-01T00:00:00,337,060047834020220101,KPK0001180155,I,,POINT (130474.34079999849 453853.06720000133)
divergenties_wegvak.103,Halfklaverblad-aansluiting,U,59.0c,16,'NIEUWEGEIN'VBW. c,600126370,2022-01-01T00:00:00,0,060012637020220101,KPK0001180198,I,,POINT (134749.03429999948 452613.436900001)
divergenties_wegvak.104,Halfklaverblad-aansluiting,U,5.0c,3,'DORDRECHT-STADSPOLDERS'VBW. c,214247033,2022-02-01T00:00:00,0,021424703320220201,KPK0001184553,I,,POINT (107155.91070000082 423686.0379999988)
divergenties_wegvak.105,Haarlemmermeer-aansluiting,U,7.9c,5,'DORDRECHT-STERRENBURG'VBW. c,210243048,2022-02-01T00:00:00,0,021024304820220201,KPK0001184561,I,,POINT (105145.12000000104 421665.5593000017)
divergenties_wegvak.106,Niet indeelbaar,U,10.1c,,'DEN HAAG - HAAGSE HOUT'VBW. c,168316062,2022-02-01T00:00:00,0,016831606220220201,KPK0001191665,I,,POINT (83997.97910000011 458492.6019000001)
divergenties_wegvak.107,Haarlemmermeer-aansluiting,U,31.7c,23,'WERKENDAM'VBW. c,600124157,2022-02-01T00:00:00,0,060012415720220201,KPK0001138513,I,,POINT (123599.17269999906 423876.1741999984)
divergenties_wegvak.108,Klaverbladknooppunt,U,36.6w,,'KP.GORINCHEM'GORINCHEM-OOST VBW. w,600124132,2022-02-01T00:00:00,0,060012413220220201,KPK0001185572,I,,POINT (124849.83300000057 428570.3931999989)
divergenties_wegvak.109,Haarlemmermeer-aansluiting,U,29.8a,10,'HAVENS 5700-6200'VBW. a,138278005,2022-02-01T00:00:00,0,013827800520220201,KPK0001191812,I,,POINT (69370.69000000134 439344.64820000157)
divergenties_wegvak.110,Pseudo Haarlemmermeer-aansluiting,U,44.3x,,'BOTLEKBRUG'RANG.BAAN x,158263004,2022-02-01T00:00:00,840,015826300420220201,KPK0001191969,I,,POINT (79887.36450000107 431615.3447000012)
divergenties_wegvak.111,Pseudo Halfklaverblad-aansluiting,U,37.3a,,'ROZENBURG'VBW. a,150270017,2022-02-01T00:00:00,82,015027001720220201,KPK0001192253,I,,POINT (75390.73350000009 435401.67749999836)
divergenties_wegvak.112,Pseudo T-knooppunt,U,37.8y,13,'ROZENBURG'RANG.BAAN y,600100881,2022-02-01T00:00:00,0,060010088120220201,KPK0001184918,I,,POINT (76230.47740000114 435076.65410000086)
divergenties_wegvak.113,Pseudo T-knooppunt,U,35.0x,,'BRIELLE'RANG.BAAN x,145273004,2022-02-01T00:00:00,433,014527300420220201,KPK0001191838,I,,POINT (73348.7426000014 436251.8093000017)
divergenties_wegvak.114,Haarlemmermeer-aansluiting,U,3.3c,13,'AMSTERDAM-WATERGRAAFSMEER'VBW. c,600125969,2021-12-01T00:00:00,0,060012596920211201,KPK0001150647,I,,POINT (125598.14039999992 484122.6180999987)
divergenties_wegvak.115,Pseudo T-aansluiting halfklaverblad,D,0.0#,,'LANG PARKEREN'VBW. c,222359045,2021-12-01T00:00:00,0,022235904520211201,KPK0001157600,I,,POINT (111291.72659999877 479879.73330000043)
divergenties_wegvak.116,Overig volledig knooppunt,U,5.0f,,'KP.BADHOEVEDORP'HAARLEM VBW. f,227364016,2021-12-01T00:00:00,0,022736401620211201,KPK0001155244,I,,POINT (113446.51089999825 482071.9450000003)
divergenties_wegvak.117,Overig volledig knooppunt,D,4.0j,,'KP.BADHOEVEDORP'UTRECHT VBW. j,600122354,2021-12-01T00:00:00,451,060012235420211201,KPK0001202191,I,,POINT (114574.08170000091 482482.28649999946)
divergenties_wegvak.118,Pseudo T-knooppunt,U,0.0#,,'CALAMINTEITENROUTE',214399010,2022-01-01T00:00:00,0,021439901020220101,KPK0001138127,I,,POINT (107291.60850000009 499821.316300001)
divergenties_wegvak.119,Pseudo Overig volledig knooppunt,U,48.4a,,'KP.YPENBURG'DEN HAAG-YPENBURG VBW. a,600105962,2022-01-01T00:00:00,393,060010596220220101,KPK0001420371,I,,POINT (84254.91440000013 451443.93459999934)
divergenties_wegvak.120,Pseudo Overig volledig knooppunt,D,48.9m,,'KP.YPENBURG'RIJSWIJK-PLASPOELPOLDER RANG.BAAN m,600106234,2022-01-01T00:00:00,0,060010623420220101,KPK0001420373,I,,POINT (83818.17370000109 451126.2474000007)
