OBJECTID,GEOCODE,SUBCODE,GEOSUBCODE,GEOCODE_NR,GEOCODE_NAAM,KM_GEOCODE_VAN,KM_GEOCODE_TOT,KM_GEOCODE_VAN_T,KM_GEOCODE_TOT_T,LENGTE,KMLINT,KMLINT_OMSCHRIJVING,GELDIG_VANAF,PUBLICATIEDATUM,Shape__Length
49,520,a,520_a,520,Maastricht,0,1.6,"0,000","1,600",1610.02765362,Mt-Vl,Maastricht - Venlo ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1610.0276536232
50,785,,785__,785,Lanaken (B) - Maastricht grens,11.603,12.751,"11,603","12,751",1147.96936992,Has-Glk,Hasselt (B) - Lanaken (B) ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1147.96936992553
51,072,a,072_a,72,Maastricht - Maastricht Grens,37,40.57,"37,000","40,570",3574.71363941,Mt-Glk,Maastricht - Lanaken (B) ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,3574.71363941982
52,063,,063__,63,Maastricht - Sittard,1.6,20.7,"1,600","20,700",19111.90859923,Mt-Vl,Maastricht - Venlo ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,19111.9085992305
53,072,b,072_b,72,Maastricht - Maastricht Grens,200.2,200.8,"200,200","200,800",598.23630896,Mtb-Mtf,Maastricht Boschpoort - Maastricht Frontenkwartier ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,598.236308965956
54,144,b,144_b,144,Duivendrecht - Amsterdam Riekerpolder,300.077,300.833,"300,077","300,833",750.29261714,Dvaw-Asb,Duivendrecht Aansl. West - Amsterdam Bijlmer ArenA ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,750.29261714641
55,144,a,144_a,144,Duivendrecht - Amsterdam Riekerpolder,151,157.6,"151,000","157,600",6596.1153642,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,6596.11536420953
56,535,b,535_b,535,Amsterdam Bijlmer Arena,302.1,302.344,"302,100","302,344",253.14012154,Dvaw-Asb,Duivendrecht Aansl. West - Amsterdam Bijlmer ArenA ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,253.140121546861
57,589,d,589_d,589,Duivendrecht,200.4,201.6,"200,400","201,600",1196.37640769,Vspa-Dvaz,Venserpolder Aansl. - Duivendrecht Aansl. Zuid ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1196.37640769172
58,096,a,096_a,96,Amsterdam Muiderpoort - Duivendrecht,1.458,3.8,"1,458","3,800",2338.55355443,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2338.55355443562
59,535,c,535_c,535,Amsterdam Bijlmer Arena,200.119,200.4,"200,119","200,400",281.53493427,Vspa-Dvaz,Venserpolder Aansl. - Duivendrecht Aansl. Zuid ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,281.5349342792
60,027,,027__,27,Diemen - Duivendrecht,147.5,149.5,"147,500","149,500",2002.67304654,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2002.67304654252
61,589,b,589_b,589,Duivendrecht,3.8,5.2,"3,800","5,200",1401.83527876,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1401.83527876991
62,589,e,589_e,589,Duivendrecht,300.833,302.1,"300,833","302,100",1265.32902587,Dvaw-Asb,Duivendrecht Aansl. West - Amsterdam Bijlmer ArenA ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1265.32902587594
63,096,b,096_b,96,Amsterdam Muiderpoort - Duivendrecht,104.3,105.854,"104,300","105,854",1551.23023206,Asdm-Asa,Amsterdam Muiderpoort - Amsterdam Amstel ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1551.23023206156
64,535,a,535_a,535,Amsterdam Bijlmer Arena,5.2,6,"5,200","6,000",799.36123248,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,799.361232489714
65,589,a,589_a,589,Duivendrecht,0.035,0.9,"0,035","0,900",861.19095773,Dvaz-Vspa,Duivendrecht Aansl. Zuid - Venserpolder Aansl. ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,861.190957739656
66,589,c,589_c,589,Duivendrecht,149.5,151,"149,500","151,000",1511.67082716,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1511.67082716019
67,561,,561__,561,Den Haag Laan van NOI,57.8,59.8,"57,800","59,800",2004.6065145,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2004.60651450893
68,536,,536__,536,Den Haag HS,60.4,62.4,"60,400","62,400",1998.27979905,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1998.27979905053
69,564,a,564_a,564,Den Haag Binckhorst,22.4,22.6,"22,400","22,600",201.81027878,Laa-Gvc,Den Haag Laan van NOI - Den Haag Centraal ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,201.810278786324
70,564,f,564_f,564,Den Haag Binckhorst,300.3,300.5,"300,300","300,500",204.40130131,Gvc-Gv,Den Haag Centraal - Den Haag HS ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,204.401301312539
71,564,d,564_d,564,Den Haag Binckhorst,100,100.654,"100,000","100,654",652.87554677,Bkh-Gv,Den Haag Binckhorst - Den Haag HS ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,652.875546773601
72,564,c,564_c,564,Den Haag Binckhorst,59.8,60.4,"59,800","60,400",599.36094102,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,599.360941023194
73,564,b,564_b,564,Den Haag Binckhorst,23.4,24.5,"23,400","24,500",1098.90985925,Gd-Gvc,Gouda - Den Haag Centraal ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1098.9098592566
74,560,b,560_b,560,Den Haag Centraal,300.2,300.3,"300,200","300,300",99.96997474,Gvc-Gv,Den Haag Centraal - Den Haag HS ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,99.9699747440254
75,560,a,560_a,560,Den Haag Centraal,24.5,25.415,"24,500","25,415",909.78574068,Gd-Gvc,Gouda - Den Haag Centraal ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,909.785740687214
76,611,b,611_b,611,Zevenaar,105,107.2,"105,000","107,200",2201.89602758,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2201.89602758287
77,611,c,611_c,611,Zevenaar,601.8,604.843,"601,800","604,843",3044.67053153,Brzv-Zvbtwa,Betuweroute Zevenaar - Zevenaar Betuweroute Aansl. ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,3044.67053153831
78,611,a,611_a,611,Zevenaar,49,49.1,"49,000","49,100",89.27558696,Ww-Zv,Winterswijk-Zevenaar ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,89.2755869656647
79,039,,039__,39,Zevenaar - Zevenaar Grens,107.2,111.03,"107,200","111,030",3830.09299962,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,3830.09299962281
80,212,,212__,212,Winterswijk - Zevenaar,0.6,49,"0,600","49,000",48432.75494255,Ww-Zv,Winterswijk-Zevenaar ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,48432.7549425512
81,549,a,549_a,549,Haren,0.2,0.4,"0,200","0,400",199.49534007,Hrna-Wha,Haren Aansl. - Waterhuizen Aansl. ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,199.495340075454
82,530,a,530_a,530,Den Dolder,1.5,1.6,"1,500","1,600",100.89990591,Dld-Brn,Den Dolder - Baarn ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.89990591175
83,557,g,557_g,557,Terneuzen Aansl.,500.1,501.205,"500,100","501,205",1118.2805114,Tnzz-Tnzew,Terneuzen Zuidzijde (Racc.) - Terneuzen Engelandweg ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1118.28051140494
84,817,b,817_b,817,Vlissingen Sloehaven,130,131.35,"130,000","131,350",1350.02245131,Eupwz-Adw,Europaweg Zuid - Achterduinweg ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1350.02245131039
85,435,,435__,435,Hoorn - Medemblik,1.4,20.431,"1,400","20,431",19029.37013538,Hn-Mbk,Hoorn - Medemblik ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,19029.3701353835
86,507,a,507_a,507,Velperbroek Aansl.,1.3,1.5,"1,300","1,500",198.66054964,Ahg-Va,Arnhem Goederenstation - Velperpoort Aansl. ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,198.660549645892
87,533,,533__,533,Woerden,14.8,17.6,"14,800","17,600",2796.09606016,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2796.09606016111
88,046,,046__,46,Meteren Aansl. - s Hertogenbosch,30.9,46.7,"30,900","46,700",15797.379568,Ut-Btl,Utrecht Centraal - Boxtel ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,15797.3795680007
89,543,b,543_b,543,Hengelo,15.7,16.1,"15,700","16,100",409.25651896,Hgl-Odzg,Hengelo - Oldenzaal Grens ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,409.256518963793
90,509,b,509_b,509,Baarn,9,9.1,"9,000","9,100",99.99798967,Dld-Brn,Den Dolder - Baarn ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,99.9979896797931
91,026,,026__,26,Hengelo - Oldenzaal Grens,16.1,33.466,"16,100","33,466",17412.74461492,Hgl-Odzg,Hengelo - Oldenzaal Grens ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,17412.7446149267
92,069,,069__,69,Simpelveld - Schin op Geul,13.5,21.9,"13,500","21,900",8343.64928513,Vet-Mtn,Verschau (D) - Maastricht Noord ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,8343.64928513042
93,477,a,477_a,477,Rotterdam Europoort 3,100,101.47,"100,000","101,470",1497.91879336,Erp-Erpch,"Rotterdam, Emplacement Europoort - EUROCHEMIE ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1497.91879336288
94,585,,585__,585,Diemen Aansl.,8.1,9.8,"8,100","9,800",1693.40832026,Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1693.40832026906
95,666,e,666_e,666,Meteren Aansl.,346.091,347.285,"346,091","347,285",1196.47658674,Brmet-Mbtwaz,Betuweroute Meteren - Meteren Betuweroute Aansl. Zuid ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1196.47658674081
96,667,b,667_b,667,Prinsenbeek,399.965,402.457,"399,965","402,457",2458.12867502,Hsbda-Bda,HSL Breda Aansluiting - Breda Aansluiting ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2458.12867502744
97,522,a,522_a,522,Uitgeest,17.5,17.6,"17,500","17,600",100.65481006,Hlm-Utg,Haarlem - Uitgeest ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.654810064445
98,167,,167__,167,Zevenbergschenhoek Aansluiting,300,302.071,"300,000","302,071",2071.22821015,Hszha-Zha,HSL - Zevenbergschen Hoek Aansl. - Zevenbergschen Hoek Aansl. ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2071.22821015878
99,851,c,851_c,851,Born Franciscushaven,120,120.64,"120,000","120,640",624.6234971,Bon-Bonlw,Born - Born Loswal ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,624.623497108676
100,468,a,468_a,468,Rotterdam Eemhaven,100,103.77,"100,000","103,770",3743.45868362,Whz-Rol,"Rotterdam, Emplacement Waalhaven Zuid - Rondolaan ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,3743.45868362871
101,562,a,562_a,562,De Haar Aansl.,37.2,37.443,"37,200","37,443",243.84913136,Rhn-Har,Rhenen - De Haar Aansl. ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,243.849131367239
102,124,b,124_b,124,Tilburg - Vught Aansl.,100,100.1,"100,000","100,100",100.62416576,Tbi-Tbio,Tilburg Industrieterrein - Tilburg De Loven ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.624165762757
103,606,a,606_a,606,Almelo,0,1.1,"0,000","1,100",1098.81637517,Aml-Hgl,Almelo - Hengelo ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1098.81637517305
104,010,,010__,10,Haren - Groningen Losplaats,71.4,73.8,"71,400","73,800",2400.87238265,Mp-Gn,Meppel - Groningen ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2400.8723826576
105,079,,079__,79,Zaandam - Hoorn,1.3,31.5,"1,300","31,500",30198.93814759,Zd-Ekz,Zaandam - Enkhuizen ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,30198.9381475919
106,068,,068__,68,Simpelveld Grens - Simpelveld,8.5,11.9,"8,500","11,900",3441.71664767,Vet-Mtn,Verschau (D) - Maastricht Noord ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,3441.71664767868
107,781,a,781_a,781,Aachen (D) - Herzogenrath (D),14.09,18.812,"14,090","18,812",4721.61093391,A-Hz,Aachen (D) - Herzogenrath (D) ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,4721.61093391081
108,020,,020__,20,Amersfoort Aansl. - Barneveld Noord,47.4,60.3,"47,400","60,300",12895.97750572,Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,12895.9775057261
109,521,a,521_a,521,Schin op Geul,7.5,7.8,"7,500","7,800",299.40389059,Hrl-Sog,Heerlen - Schin op Geul ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,299.403890593119
110,823,b,823_b,823,Oosterhout Weststad,100.069,101.565,"100,069","101,565",1496.57037175,Otw-Otwrw,Oosterhout Weststad - Oosterhout Weststad Rederijweg ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1496.57037175549
111,451,b,451_b,451,Coevorden - Coevorden Grens,73.65,74.869,"73,650","74,869",1219.63950295,Lar-Coep,Laarwald (D) - Coevorden Europark ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1219.63950295561
112,618,b,618_b,618,Eindhoven,49.4,51.595,"49,400","51,595",2194.25424745,Vl-Ehv,Venlo - Eindhoven ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2194.25424745255
113,858,,858__,858,Arnhem Gem. Stamlijn,100.3,102.2,"100,300","102,200",1910.43597163,Ahg-Ahi,Arnhem Goederenstation - Arnhem Industrie ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1910.43597163972
114,089,,089__,89,Amersfoort - Amersfoort Aansl.,45.5,46.6,"45,500","46,600",1099.61651909,Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1099.6165190934
115,825,,825__,825,Roosendaal Majoppeveld Noord,100.5,100.878,"100,500","100,878",378.57671295,Rsd-Rsdmn,Roosendaal - Roosendaal Majoppeveld Noord ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,378.576712955137
116,023,,023__,23,Apeldoorn - Deventer,1.1,14,"1,100","14,000",12895.45890967,Apd-Dv,Apeldoorn - Deventer ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,12895.4589096783
117,200,,200__,200,Winsum - Roodeschool,5.1,27.12,"5,100","27,120",22047.19890685,Swd-Rd,Sauwerd - Roodeschool ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,22047.1989068522
118,541,d,541_d,541,Weesp Aansl.,200.007,202.248,"200,007","202,248",2241.49635407,Mbga-Kv,Muiderberg Aansl. - Keverdijk ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2241.49635407899
119,617,b,617_b,617,Boxtel,59.4,59.6,"59,400","59,600",200.88666646,Ut-Btl,Utrecht Centraal - Boxtel ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.886666467512
