FID,id,filenaam,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_kust_2010.23,23,amel_g_75,06-03-2010,,,"LINESTRING (174242.313000001 603783.313000001, 172631.6409999989 605009.813000001)"
vlieglijnen_kust_2010.24,24,amel_g_76,06-03-2010,,,"LINESTRING (173833.5940000005 603678.936999999, 170410.811999999 606880.311999999)"
vlieglijnen_kust_2010.25,25,amel_g_77,06-03-2010,,,"LINESTRING (174783.4840000011 602563.061999999, 169737.9059999995 606911.813000001)"
vlieglijnen_kust_2010.26,26,amel_g_78,06-03-2010,,,"LINESTRING (174506.438000001 602486.875, 169767.7659999989 606541.625)"
vlieglijnen_kust_2010.27,27,amel_g_79,06-03-2010,,,"LINESTRING (173351.7969999984 603206, 169911.4059999995 606106.875)"
vlieglijnen_kust_2010.28,28,amel_g_80,06-03-2010,,,"LINESTRING (171675.8590000011 604415.688000001, 170501.875 605426.686999999)"
vlieglijnen_kust_2010.29,1,schi_g_100,17-03-2010,,,"LINESTRING (203404.875 610857.875, 208630.0469999984 611412.688000001)"
vlieglijnen_kust_2010.30,2,schi_g_101,17-03-2010,,,"LINESTRING (207327.8590000011 611049.186999999, 203374.2340000011 610630.561999999)"
vlieglijnen_kust_2010.31,3,schi_g_102,17-03-2010,,,"LINESTRING (203363.936999999 610376.75, 207220.9840000011 610792.438000001)"
vlieglijnen_kust_2010.32,4,schi_g_103,18-03-2010,,,"LINESTRING (206119.8280000016 610415.936999999, 203336.688000001 610143)"
vlieglijnen_kust_2010.33,5,schi_g_104,18-03-2010,,,"LINESTRING (203272.2659999989 609882.813000001, 205936.6559999995 610182.25)"
vlieglijnen_kust_2010.34,6,schi_g_105,18-03-2010,,,"LINESTRING (208684.313000001 610213.5, 203203.5940000005 609643.686999999)"
vlieglijnen_kust_2010.35,7,schi_g_106,18-03-2010,,,"LINESTRING (203153.4059999995 609390.813000001, 207094.25 609806)"
vlieglijnen_kust_2010.36,8,schi_g_107,18-03-2010,,,"LINESTRING (207912.625 609656.561999999, 203136.5940000005 609143)"
vlieglijnen_kust_2010.37,9,schi_g_108,18-03-2010,,,"LINESTRING (206922.688000001 609291.938000001, 203113.625 608908.311999999)"
vlieglijnen_kust_2010.38,10,schi_g_109,18-03-2010,,,"LINESTRING (207385.1090000011 609100, 203138.4059999995 608666.188000001)"
vlieglijnen_kust_2010.39,11,schi_g_110,18-03-2010,,,"LINESTRING (206572.9059999995 608757.563000001, 203259.4840000011 608457.375)"
vlieglijnen_kust_2010.40,12,schi_g_111,18-03-2010,,,"LINESTRING (206359.125 608507.688000001, 203558.375 608242.813000001)"
vlieglijnen_kust_2010.41,13,schi_g_112,18-03-2010,,,"LINESTRING (206942.438000001 608330.061999999, 203850.4530000016 608019.625)"
vlieglijnen_kust_2010.42,14,schi_g_113,18-03-2010,,,"LINESTRING (206485.6559999995 608048.436999999, 203668.875 607744.063000001)"
vlieglijnen_kust_2010.43,15,schi_g_114,14-04-2010,,,"LINESTRING (207592.7969999984 607938.561999999, 203683.0780000016 607492.25)"
vlieglijnen_kust_2010.44,16,schi_g_115,06-03-2010,,,"LINESTRING (206894.7659999989 607587.563000001, 203627.3280000016 607287.561999999)"
vlieglijnen_kust_2010.45,17,schi_g_116,06-03-2010,,,"LINESTRING (206090.5309999995 607305.875, 202577.7969999984 606952.188000001)"
vlieglijnen_kust_2010.46,18,schi_g_117,06-03-2010,,,"LINESTRING (205959.3440000005 607110.686999999, 202723.2969999984 606983.5)"
vlieglijnen_kust_2010.47,19,schi_g_85,17-03-2010,,,"LINESTRING (223100.4059999995 615587.686999999, 219118.188000001 615011.438000001)"
vlieglijnen_kust_2010.48,20,schi_g_86,17-03-2010,,,"LINESTRING (222357.0309999995 615295.75, 216011.688000001 614461)"
vlieglijnen_kust_2010.49,21,schi_g_87,17-03-2010,,,"LINESTRING (223601.2809999995 615164.5, 205246.688000001 613094.5)"
vlieglijnen_kust_2010.50,22,schi_g_88,17-03-2010,,,"LINESTRING (222660.625 614813.436999999, 205011.7969999984 612962.936999999)"
vlieglijnen_kust_2010.51,23,schi_g_89,17-03-2010,,,"LINESTRING (223937.9530000016 614691.188000001, 204842.5780000016 612716.563000001)"
vlieglijnen_kust_2010.52,24,schi_g_90,17-03-2010,,,"LINESTRING (222245.625 614280.686999999, 204457.7190000005 612442.625)"
vlieglijnen_kust_2010.53,25,schi_g_91,17-03-2010,,,"LINESTRING (223838.625 614208, 204006.0940000005 612148.813000001)"
vlieglijnen_kust_2010.54,26,schi_g_92,17-03-2010,,,"LINESTRING (222132.7659999989 613788, 203582.438000001 611860.436999999)"
vlieglijnen_kust_2010.55,27,schi_g_93,17-03-2010,,,"LINESTRING (222762.8909999989 613600.5, 209824.2340000011 612257.875)"
vlieglijnen_kust_2010.56,28,schi_g_94,17-03-2010,,,"LINESTRING (206480.9530000016 611937.125, 203490.9840000011 611598.5)"
vlieglijnen_kust_2010.57,29,schi_g_95,17-03-2010,,,"LINESTRING (224031.7340000011 613476.188000001, 211317.4530000016 612169.625)"
vlieglijnen_kust_2010.58,30,schi_g_96,17-03-2010,,,"LINESTRING (207590.7030000016 611782.188000001, 203454.813000001 611352.375)"
vlieglijnen_kust_2010.59,31,schi_g_97,17-03-2010,,,"LINESTRING (222755.8440000005 613121.375, 215483.6559999995 612358.813000001)"
vlieglijnen_kust_2010.60,32,schi_g_98,17-03-2010,,,"LINESTRING (206308.0940000005 611428.875, 203435.0469999984 611123.625)"
vlieglijnen_kust_2010.61,33,schi_g_99,17-03-2010,,,"LINESTRING (223557.2659999989 612961.75, 216856.2340000011 612255.375)"
vlieglijnen_kust_2010.62,1,ters_g_116,06-03-2010,,,"LINESTRING (162876.6409999989 606865.375, 141423.188000001 600860.875)"
vlieglijnen_kust_2010.63,2,ters_g_117,06-03-2010,,,"LINESTRING (163924.25 607004.875, 140621.7969999984 600500.25)"
vlieglijnen_kust_2010.64,3,ters_g_118,06-03-2010,,,"LINESTRING (164493.2659999989 606950, 140538.5159999989 600248.688000001)"
vlieglijnen_kust_2010.65,4,ters_g_119_1,06-03-2010,,,"LINESTRING (164960.5940000005 606829.125, 140511.813000001 600001.125)"
vlieglijnen_kust_2010.66,5,ters_g_119_2,06-03-2010,,,"LINESTRING (164927.5780000016 606822.25, 140525.625 600010.125)"
vlieglijnen_kust_2010.67,6,ters_g_120,18-03-2010,,,"LINESTRING (165180.0940000005 606640.5, 140913.9530000016 599865.188000001)"
vlieglijnen_kust_2010.68,7,ters_g_121,18-03-2010,,,"LINESTRING (165500.8440000005 606484.25, 141099.8909999989 599647.375)"
vlieglijnen_kust_2010.69,8,ters_g_122,06-03-2010,,,"LINESTRING (165786.6409999989 606287.625, 162684.875 605447)"
vlieglijnen_kust_2010.70,9,ters_g_123,07-03-2010,,,"LINESTRING (145627.5 600664.75, 140824.2659999989 599306.125)"
vlieglijnen_kust_2010.71,10,ters_g_124,06-03-2010,,,"LINESTRING (166026.4530000016 606127.563000001, 160465.3280000016 604550.813000001)"
vlieglijnen_kust_2010.72,11,ters_g_125,07-03-2010,,,"LINESTRING (143341.813000001 599766.25, 139442.9059999995 598703.375)"
vlieglijnen_kust_2010.73,12,ters_g_126,06-03-2010,,,"LINESTRING (166275.938000001 605918.438000001, 162747.3909999989 604973.938000001)"
vlieglijnen_kust_2010.74,13,ters_g_127,07-03-2010,,,"LINESTRING (143677.7809999995 599646.125, 139520.3909999989 598432.5)"
vlieglijnen_kust_2010.75,14,ters_g_128,06-03-2010,,,"LINESTRING (166411.9840000011 605727.75, 161698.875 604427.5)"
vlieglijnen_kust_2010.76,15,ters_g_129,07-03-2010,,,"LINESTRING (143143.1409999989 599194.625, 140014.2969999984 598351.5)"
vlieglijnen_kust_2010.77,16,ters_g_130,06-03-2010,,,"LINESTRING (166469.5940000005 605523.5, 164445.2659999989 604921.186999999)"
vlieglijnen_kust_2010.78,17,ters_g_131,07-03-2010,,,"LINESTRING (139837.438000001 598042, 143624.0159999989 599123.125)"
vlieglijnen_kust_2010.79,18,ters_g_132,07-03-2010,,,"LINESTRING (143540.313000001 598813, 137481.7340000011 597170.313000001)"
vlieglijnen_kust_2010.80,19,ters_g_133,18-03-2010,,,"LINESTRING (144532.4690000005 598877.813000001, 139539.3440000005 597472.5)"
vlieglijnen_kust_2010.81,20,ters_g_134,18-03-2010,,,"LINESTRING (143531.5159999989 598349.25, 138680.0159999989 596981.75)"
vlieglijnen_kust_2010.82,21,ters_g_135,18-03-2010,,,"LINESTRING (146063.4840000011 598800, 139157.0780000016 596864.5)"
vlieglijnen_kust_2010.83,22,ters_g_136,18-03-2010,,,"LINESTRING (144969.436999999 598239.688000001, 138617.563000001 596459.686999999)"
vlieglijnen_kust_2010.84,23,ters_g_137_1,18-03-2010,,,"LINESTRING (145040.4840000011 598017.125, 138599.625 596208.563000001)"
vlieglijnen_kust_2010.85,24,ters_g_137_2,18-03-2010,,,"LINESTRING (143708.188000001 597639.875, 138646.7030000016 596216.311999999)"
vlieglijnen_kust_2010.86,25,ters_g_138,17-03-2010,,,"LINESTRING (143795.8440000005 597420.125, 138664.7969999984 595982.311999999)"
vlieglijnen_kust_2010.87,26,ters_g_139,17-03-2010,,,"LINESTRING (145335.7969999984 597603.938000001, 138758.8590000011 595761.936999999)"
vlieglijnen_kust_2010.88,27,ters_g_140,17-03-2010,,,"LINESTRING (144005.2809999995 596975.063000001, 139668.563000001 595771.5)"
vlieglijnen_kust_2010.89,28,ters_g_141,17-03-2010,,,"LINESTRING (144820.8280000016 596973.375, 139859.7030000016 595571.561999999)"
vlieglijnen_kust_2010.90,29,ters_g_142,17-03-2010,,,"LINESTRING (144282.3590000011 596653.436999999, 138997.4530000016 595009.438000001)"
vlieglijnen_kust_2010.91,30,ters_g_143,17-03-2010,,,"LINESTRING (142846.9690000005 596006.625, 140484.438000001 595321.188000001)"
vlieglijnen_kust_2010.92,31,ters_g_144,17-03-2010,,,"LINESTRING (143811.5469999984 595834.313000001, 143285.438000001 595584.438000001)"
vlieglijnen_kust_2010.93,32,ters_g_145_1,17-03-2010,,,"LINESTRING (143081.1409999989 595440.561999999, 142652.0309999995 595183.5)"
vlieglijnen_kust_2010.94,1,vlie_g_149,07-03-2010,,,"LINESTRING (133615.2340000011 591590.311999999, 118086.1799999997 581347.938000001)"
vlieglijnen_kust_2010.95,2,vlie_g_150,07-03-2010,,,"LINESTRING (127438.67199999839 587220.688000001, 118166.7190000005 581174.375)"
vlieglijnen_kust_2010.96,3,vlie_g_151,07-03-2010,,,"LINESTRING (133919.4690000005 591369.688000001, 130536.27299999818 589409.561999999)"
vlieglijnen_kust_2010.97,4,vlie_g_152,07-03-2010,,,"LINESTRING (126630.4690000005 586401.188000001, 118348.6559999995 581049.25)"
vlieglijnen_kust_2010.98,5,vlie_g_153,07-03-2010,,,"LINESTRING (130221.50800000131 588475.875, 118437.39799999818 580771.313000001)"
vlieglijnen_kust_2010.99,6,vlie_g_154,07-03-2010,,,"LINESTRING (127972.75800000131 586736.5, 118575.49199999869 580542)"
vlieglijnen_kust_2010.100,7,vlie_g_155,07-03-2010,,,"LINESTRING (126468.95300000161 585398.25, 118757.7809999995 580361.813000001)"
vlieglijnen_kust_2010.101,8,vlie_g_156,07-03-2010,,,"LINESTRING (127584.9059999995 585841.5, 118927.3200000003 580155.436999999)"
vlieglijnen_kust_2010.102,9,vlie_g_157,07-03-2010,,,"LINESTRING (127116.63300000131 585188.875, 119068.0309999995 579950.25)"
vlieglijnen_kust_2010.103,10,vlie_g_158,07-03-2010,,,"LINESTRING (128487.89799999818 585791.5, 119234.79699999839 579760.063000001)"
vlieglijnen_kust_2010.104,11,vlie_g_159,07-03-2010,,,"LINESTRING (127108.81300000101 584503, 119625.1090000011 579714.563000001)"
vlieglijnen_kust_2010.105,12,vlie_g_160,07-03-2010,,,"LINESTRING (128803.5390000008 585326.75, 119911.93800000101 579620.688000001)"
vlieglijnen_kust_2010.106,13,vlie_g_161,07-03-2010,,,"LINESTRING (133001.1559999995 591449.875, 125144.79699999839 586357.5)"
vlieglijnen_kust_2010.107,14,vlie_g_162,07-03-2010,,,"LINESTRING (125532.35200000182 586793.813000001, 131758.4530000016 590841.063000001)"
vlieglijnen_kust_2010.108,15,vlie_g_163,07-03-2010,,,"LINESTRING (137296.1719999984 590661.688000001, 133217.4840000011 591479.063000001)"
vlieglijnen_kust_2010.109,16,vlie_g_164,07-03-2010,,,"LINESTRING (138348.5309999995 590301.938000001, 132813.9219999984 591344.936999999)"
vlieglijnen_kust_2010.110,17,vlie_g_165,07-03-2010,,,"LINESTRING (136803.0159999989 590368.313000001, 132405.0469999984 591190.061999999)"
vlieglijnen_kust_2010.111,18,vlie_g_166,07-03-2010,,,"LINESTRING (135977.436999999 590978.561999999, 135247.2659999989 589821.875)"
vlieglijnen_kust_2010.112,19,vlie_g_169,07-03-2010,,,"LINESTRING (137371.813000001 590280.811999999, 131591.938000001 590922.125)"
vlieglijnen_kust_2010.113,1,tex_g_26,07-03-2010,,,"LINESTRING (118637.1799999997 577873.063000001, 110328.47700000182 564827.936999999)"
vlieglijnen_kust_2010.114,2,tex_g_27,07-03-2010,,,"LINESTRING (118893.11699999869 577959.061999999, 109897.63300000131 563712.563000001)"
vlieglijnen_kust_2010.115,3,tex_g_28,07-03-2010,,,"LINESTRING (119120.5 577902.938000001, 109692.8440000005 562932.063000001)"
vlieglijnen_kust_2010.116,4,tex_g_29,07-03-2010,,,"LINESTRING (119597.45300000161 578127.5, 109754.9299999997 562453.25)"
vlieglijnen_kust_2010.117,5,tex_g_30,07-03-2010,,,"LINESTRING (115029.74199999869 570386.5, 119627.17199999839 577686.938000001)"
vlieglijnen_kust_2010.118,6,tex_g_31,07-03-2010,,,"LINESTRING (117750.3909999989 574286.5, 114068.8440000005 568544.313000001)"
vlieglijnen_kust_2010.119,7,tex_g_32,07-03-2010,,,"LINESTRING (118269.49199999869 574747.75, 115695.64799999818 570576.875)"
vlieglijnen_kust_2010.120,8,tex_g_33,07-03-2010,,,"LINESTRING (122803.56199999899 573156, 119428.89799999818 577847.438000001)"
vlieglijnen_kust_2010.121,9,tex_g_34,07-03-2010,,,"LINESTRING (122040.82800000161 573966.875, 119345.7890000008 577852)"
vlieglijnen_kust_2010.122,10,tex_g_35,07-03-2010,,,"LINESTRING (121483.6559999995 574140.25, 119079.2890000008 577951.811999999)"
vlieglijnen_kust_2010.123,11,tex_g_36,17-03-2010,,,"LINESTRING (110412.3909999989 565173.375, 109916.89799999818 555501.375)"
vlieglijnen_kust_2010.124,12,tex_g_37,17-03-2010,,,"LINESTRING (109706.7109999992 556869.875, 110103.02299999818 564440.75)"
vlieglijnen_kust_2010.125,13,tex_g_38,17-03-2010,,,"LINESTRING (109491.6090000011 557685.875, 109816.22700000182 563301.936999999)"
vlieglijnen_kust_2010.126,14,tex_g_39,17-03-2010,,,"LINESTRING (109371.27299999818 558509.813000001, 109622.9299999997 562526.625)"
vlieglijnen_kust_2010.127,15,tex_g_40,17-03-2010,,,"LINESTRING (115407.07800000161 557657.061999999, 109525.81300000101 557835.186999999)"
vlieglijnen_kust_2010.128,16,tex_g_41,17-03-2010,,,"LINESTRING (112616.14799999818 557463.188000001, 109573.88300000131 557552.811999999)"
vlieglijnen_kust_2010.129,17,tex_g_42,17-03-2010,,,"LINESTRING (114138.64799999818 557134.186999999, 109624.0390000008 557278.5)"
vlieglijnen_kust_2010.130,18,tex_g_43,17-03-2010,,,"LINESTRING (114095.86699999869 556850.375, 109694.0309999995 557006.688000001)"
vlieglijnen_kust_2010.131,19,tex_g_44,17-03-2010,,,"LINESTRING (113906 556603.813000001, 109846.42199999839 556713.125)"
vlieglijnen_kust_2010.132,20,tex_g_45,17-03-2010,,,"LINESTRING (113476.4690000005 556383.25, 109987.77299999818 556422)"
vlieglijnen_kust_2010.133,21,tex_g_46,17-03-2010,,,"LINESTRING (112761.45300000161 556164.875, 109950.60200000182 556107.311999999)"
vlieglijnen_kust_2010.134,22,tex_g_47,17-03-2010,,,"LINESTRING (111948.5940000005 555926.813000001, 109929.50800000131 555831.875)"
vlieglijnen_kust_2010.135,23,tex_g_48,17-03-2010,,,"LINESTRING (111612.5 555705.375, 109941.56199999899 555604.311999999)"
vlieglijnen_kust_2010.136,24,tex_g_49,17-03-2010,,,"LINESTRING (111055.5940000005 555568.875, 109960.5940000005 555482.625)"
vlieglijnen_kust_2010.137,1,nhol_g_1,13-04-2010,,,"LINESTRING (109887.3440000005 550654.625, 111144.1090000011 559539.063000001)"
vlieglijnen_kust_2010.138,2,nhol_g_10,11-03-2010,,,"LINESTRING (104250.9059999995 520842, 104684.2109999992 524425.063000001)"
vlieglijnen_kust_2010.139,3,nhol_g_11,11-03-2010,,,"LINESTRING (104669.02299999818 527644.625, 102423.72700000182 510381.313000001)"
vlieglijnen_kust_2010.140,4,nhol_g_12,12-04-2010,,,"LINESTRING (100872.88300000131 501838.125, 102853.29699999839 513470.875)"
vlieglijnen_kust_2010.141,5,nhol_g_13,12-04-2010,,,"LINESTRING (102929.63300000131 512934.9690000005, 100857.38300000131 500867.3440000005)"
vlieglijnen_kust_2010.142,6,nhol_g_14,12-04-2010,,,"LINESTRING (101447.2190000005 502875.875, 103041.2190000005 512199.8440000005)"
vlieglijnen_kust_2010.143,7,nhol_g_15,12-04-2010,,,"LINESTRING (98384.07800000161 494306.2190000005, 101644.35200000182 504225.2190000005)"
vlieglijnen_kust_2010.144,8,nhol_g_16,12-04-2010,,,"LINESTRING (98786.49199999869 495371.2809999995, 101220.24199999869 503869.6559999995)"
vlieglijnen_kust_2010.145,9,nhol_g_17,12-04-2010,,,"LINESTRING (100966.29699999839 501562.625, 99365.9609999992 496705.0940000005)"
vlieglijnen_kust_2010.146,10,nhol_g_18,12-04-2010,,,"LINESTRING (100109.68699999899 500544.8440000005, 98810.6409999989 497011.125)"
vlieglijnen_kust_2010.147,11,nhol_g_2,11-03-2010,,,"LINESTRING (109930.43800000101 551483.438000001, 109009.45300000161 540923.75)"
vlieglijnen_kust_2010.148,12,nhol_g_24,12-04-2010,,,"LINESTRING (98092.75 496911.0940000005, 101883.82800000161 502071.75)"
vlieglijnen_kust_2010.149,13,nhol_g_3,13-04-2010,,,"LINESTRING (109280.75 541177.438000001, 110082.32800000161 552047.061999999)"
vlieglijnen_kust_2010.150,14,nhol_g_4,13-04-2010,,,"LINESTRING (109582.25 541637.25, 110429.04699999839 552810.936999999)"
vlieglijnen_kust_2010.151,15,nhol_g_400,11-03-2010,,,"LINESTRING (104534.2890000008 526907.813000001, 102370.13300000131 510622.563000001)"
vlieglijnen_kust_2010.152,16,nhol_g_406,12-04-2010,,,"LINESTRING (102212.82800000161 509528.686999999, 104324.54699999839 525725.436999999)"
vlieglijnen_kust_2010.153,17,nhol_g_5_1,11-03-2010,,,"LINESTRING (106557.9609999992 533403.75, 109506.77299999818 544499.5)"
vlieglijnen_kust_2010.154,18,nhol_g_5_2,11-03-2010,,,"LINESTRING (106810.2190000005 534300.625, 109471.10200000182 544373.5)"
vlieglijnen_kust_2010.155,19,nhol_g_6_1,13-04-2010,,,"LINESTRING (105995.7190000005 530724.125, 108750.97700000182 541012.125)"
vlieglijnen_kust_2010.156,20,nhol_g_6_2,13-04-2010,,,"LINESTRING (109517.5700000003 543853.375, 108373.43800000101 539627.125)"
vlieglijnen_kust_2010.157,21,nhol_g_7_1,11-03-2010,,,"LINESTRING (104034.5309999995 526076.936999999, 106865.14799999818 535419.938000001)"
vlieglijnen_kust_2010.158,22,nhol_g_7_2,11-03-2010,,,"LINESTRING (104026.1090000011 526487.311999999, 107153.39799999818 535590.375)"
vlieglijnen_kust_2010.159,23,nhol_g_8,11-03-2010,,,"LINESTRING (107138.2109999992 535578.875, 104180.18800000101 526031.25)"
vlieglijnen_kust_2010.160,24,nhol_g_9,11-03-2010,,,"LINESTRING (104782.68800000101 527299.688000001, 102553.75 510150.436999999)"
vlieglijnen_kust_2010.161,1,zhol_g_173,12-03-2010,,,"LINESTRING (98071.79699999839 497007.125, 98432.5700000003 497992.4059999995)"
vlieglijnen_kust_2010.162,2,zhol_g_174,12-03-2010,,,"LINESTRING (98167.49199999869 496794.5940000005, 98765.63300000131 498276.7809999995)"
vlieglijnen_kust_2010.163,3,zhol_g_175,12-03-2010,,,"LINESTRING (98296.77299999818 496466.625, 98563.6799999997 497499)"
vlieglijnen_kust_2010.164,4,zhol_g_176_1,12-04-2010,,,"LINESTRING (98303.5 496132.9690000005, 101667.85200000182 503994.438000001)"
vlieglijnen_kust_2010.165,5,zhol_g_176_2,12-04-2010,,,"LINESTRING (98362.36699999869 496213.186999999, 98793.10200000182 497600.061999999)"
vlieglijnen_kust_2010.166,6,zhol_g_177,12-04-2010,,,"LINESTRING (98357.5 495777.1559999995, 99155.85200000182 497575.436999999)"
vlieglijnen_kust_2010.167,7,zhol_g_178,12-04-2010,,,"LINESTRING (98417.5390000008 495381.2190000005, 99810.70300000161 498757.25)"
vlieglijnen_kust_2010.168,8,zhol_g_179,12-04-2010,,,"LINESTRING (98426.43800000101 494847.188000001, 100358.2890000008 499534.936999999)"
vlieglijnen_kust_2010.169,9,zhol_g_180,12-04-2010,,,"LINESTRING (98367.68699999899 494232.2809999995, 100370.04699999839 499018.063000001)"
vlieglijnen_kust_2010.170,10,zhol_g_181,12-04-2010,,,"LINESTRING (100786.22700000182 499806.7809999995, 98243.06300000101 493271.8440000005)"
vlieglijnen_kust_2010.171,11,zhol_g_182,12-04-2010,,,"LINESTRING (96293.99199999869 488061.625, 100711.38300000131 498888.936999999)"
vlieglijnen_kust_2010.172,12,zhol_g_183,12-03-2010,,,"LINESTRING (99236.0940000005 494334.4059999995, 96143.5 486325)"
vlieglijnen_kust_2010.173,13,zhol_g_184,12-03-2010,,,"LINESTRING (95619.54699999839 485592.686999999, 99690.2809999995 496102.311999999)"
vlieglijnen_kust_2010.174,14,zhol_g_185,12-03-2010,,,"LINESTRING (98723.3440000005 494014.7190000005, 95746.25800000131 486428.9059999995)"
vlieglijnen_kust_2010.175,15,zhol_g_186_1,12-03-2010,,,"LINESTRING (97077.07800000161 489640.7190000005, 93300 480607.938000001)"
vlieglijnen_kust_2010.176,16,zhol_g_186_2,12-03-2010,,,"LINESTRING (93772.9609999992 481717.063000001, 96779.64799999818 489090.375)"
vlieglijnen_kust_2010.177,17,zhol_g_187,12-03-2010,,,"LINESTRING (93642.7109999992 481019.3440000005, 96960.0700000003 488963.438000001)"
vlieglijnen_kust_2010.178,18,zhol_g_188,12-03-2010,,,"LINESTRING (94542.56199999899 483295.7809999995, 88885.18800000101 472160.1559999995)"
vlieglijnen_kust_2010.179,19,zhol_g_189,12-03-2010,,,"LINESTRING (88547.4059999995 471183.375, 94599.1799999997 483003.561999999)"
vlieglijnen_kust_2010.180,20,zhol_g_190,12-03-2010,,,"LINESTRING (94668.7809999995 482690.436999999, 89120.5 471821.25)"
vlieglijnen_kust_2010.181,21,zhol_g_191,12-03-2010,,,"LINESTRING (89659.9609999992 473527.063000001, 84477.32800000161 464978.75)"
vlieglijnen_kust_2010.182,22,zhol_g_192,12-03-2010,,,"LINESTRING (84941.47700000182 465506.1559999995, 89962.74199999869 473636.6559999995)"
vlieglijnen_kust_2010.183,23,zhol_g_193,12-03-2010,,,"LINESTRING (89832.13300000131 473036.1559999995, 84842.67199999839 464894.1559999995)"
vlieglijnen_kust_2010.184,24,zhol_g_194,12-03-2010,,,"LINESTRING (86044.52299999818 467330.938000001, 80381.52299999818 459862.625)"
vlieglijnen_kust_2010.185,25,zhol_g_195,12-03-2010,,,"LINESTRING (80282.22700000182 459530.5940000005, 86039.7809999995 467027.3440000005)"
vlieglijnen_kust_2010.186,26,zhol_g_196_1,12-03-2010,,,"LINESTRING (81573.7809999995 460663.875, 80652.5700000003 460097.061999999)"
vlieglijnen_kust_2010.187,27,zhol_g_196_2,12-03-2010,,,"LINESTRING (80665.70300000161 459706.2190000005, 85931.27299999818 466514.625)"
vlieglijnen_kust_2010.188,28,zhol_g_197,10-03-2010,,,"LINESTRING (81118.4609999992 461110.375, 74273.43699999899 453715.7190000005)"
vlieglijnen_kust_2010.189,29,zhol_g_198_1,12-03-2010,,,"LINESTRING (81789.07800000161 461320, 79792.1799999997 459429)"
vlieglijnen_kust_2010.190,30,zhol_g_198_2,12-03-2010,,,"LINESTRING (82018.64799999818 461622.8440000005, 76343.9690000005 456106.4690000005)"
