Leverancier;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Global Connection;;;;;2;;;;2
Go B.V.;;;;;1;;;;1
Goedhart Reclame V.O.F.;;;1;;;;;;1
Goldmund, Wyldebeast & Wunderliebe B.V.;;;;1;;;;;1
Governance & Integrity International B.V.;;;;;1;;;;1
Governance & Integrity Nederland B.V.;;;;;2;;;;2
Gran Mercado B.V.;;;;;;1;;;1
Grandcafe Haagsche Bluf;;;;;;1;;;1
Granny's Corner;;;;;;1;;;1
Greens in the Park B.V.;;;;;;1;;;1
Groothandel Artisan B.V.;;;1;;;;;;1
Gusto Mangia e Bevi;;;1;;;1;;;1
Habana Beach;;;;;;1;;;1
Happy Meat B.V.;;;;;;1;;;1
Happy Parents Coaching;;;;;1;;;;1
Hart Beach B.V.;;;;;;1;;;1
Havenverg. R'dam;;;;;;1;;;1
HC Producties;;;;;1;;;;1
Helga Merits;;;;;;1;;;1
Hemelaar-van Campenhout;;;;;;1;;;1
HenriÃ«tte van Dueren den Hollander;;;;;1;;;;1
Hermans Interimmanagement, Advies & Coaching;;;;1;;;;;1
Het ConsultancyHuis B.V.;;;1;;;;;;1
Het Koninklijk Concertgebouw N.V.;;;;;;1;;;1
Het Kookplein;;;;;;1;;;1
Het Nutshuis;;;;;;1;;;1
Het Pleidooi;;;;;;1;;;1
Het Tolhuis;;;;;;1;;;1
Het Wapen van Zoetermeer B.V.;;;;;;1;;;1
High Five Health Promotion B.V.;;2;;;;;;;2
HOAX;;;;;;1;;;1
Holding Beheermaatschappij Ropeni B.V.;;;1;;1;1;;;1
Holland Promotion B.V.;;;;;;2;;;2
Holland Tour Guides B.V.;;;;;;1;;;1
Holland Webshops B.V.;;;;;;1;;;1
Hollandse Hoogte B.V.;;;;;;1;;;1
Hollandsouvenirshop;;;;;;1;;;1
Host Catering;;;;;1;;;;1
Hotel Des Indes B.V.;;;;;;1;;;1
Hotel Indigo The Haque - Palace Noordeinde;;;;;;1;;1;1
Hotel Media Park Hilversum B.V.;;;;;;;;1;1
House of Lords B.V.;;;1;;;1;;;2
House of Thol;;;;;;1;;;1
I.T.O. PCO B.V.;;;;;;1;;;1
Ibis Den Haag City Centre;;;;;;;;3;3
ICM Administratie B.V.;;;;;1;;;;1
ICM Opleidingen & Trainingen B.V.;;;;;1;;;;1
IDcentre B.V.;;;;;1;;;;1
IKAN Consultancy;;;;;2;;;;2
ikontwikkelmijzelf.nl;;;;;2;;;;2
ILAT Information, Learning and Adv. Transact.;;;;;1;;;;1
Incassobureau Plaggemars;;;;;1;;;;1
Indonesisch Restaurant Poentjak;;;;;;1;;;1
Information Security Academy B.V.;;;;;1;;;;1
Infotopics B.V.;;;;;1;;;;1
ING Bank;1;1;1;;1;3;;4;4
ING Bank N.V.;;;;;;;;1;1
Innervar;;;;;2;;;;2
InSight4u;;2;;;;;;;2
inspearit B.V.;;;;;1;;;;1
Instituut voor Systemisch Werk (IVSW);;;;;1;;;;1
Instock Amsterdam;;;;;;1;;;1
Instock Hospitality B.V.;;;;;;1;;;1
Intact;;;;;;1;;;1
Intercult. Business Improvement Holding B.V.;;;;;2;;;2;2
International Distributors B.V.;;;;;;1;;;1
Inzicht Bureau voor Coaching en Communicatie;;;;;1;;;;1
iPeople;;;;;1;;;;1
Irish Flowers;;;;;1;;;;1
Irma Schepers;;;;;1;;;;1
ISBW;;;;;1;;;;1
ISS Integrated Facility Services B.V.;;;1;;;2;;;2
Istana Indonesisch restaurant;;;1;;;;;;1
IT Management Group;;;;;1;;;;1
Jaap Hoekzema;;;;;1;;;;1
Jaarbeurs Ontwikkeling B.V.;;;;;;1;;;1
Jack Menke MD Public Health Consultancy;;1;;;;;;;1
Jan Cramer;;;;;;1;;;1
Jansen&Jansen Quiz;;;;;;1;;;1
Jentien Keijzer;;;;;1;;;;1
JessvanSpengen;;;;;1;;;;1
Jet Aviation Netherlands B.V.;;;;;;;;1;1
JI Wildschut Coaching;;;;;1;;;;1
Jones Brothers Coffee Company B.V.;;;;;;1;;;1
Joop Vos Coaching;;;;;1;;;;1
Joseph B.V.;;;;;;1;;;1
Juris B.V.;;;;;2;;;;2
Kaartje2go;;;1;;;;;;1
Karin Wikaart bedrijfspsycholoog;;;;;1;;;;1
Kelly Maakt;;;;;1;;;;1
Kenan Services;;;;;1;;;;1
Kiremko B.V.;;;;;;1;;;1
Klantenservice Federatie;;;;;;;1;;1
Klarna B.V.;;;1;;;;;;1
Klimmuur Amsterdam B.V.;;;;;;1;;;1
KLM Health Services B.V.;;4;;;;;;;4
Knowingo B.V.;;;;;2;;;;2
Koken-op-maat;;;;;;1;;;1
Komijn Koriander;;;;;;1;;;1
Kon. Ned. Veren. van Informatieprofessionals;;;;;;;1;;1
Koninklijke van der Most B.V.;;;;;;1;;;1
Kopi Kopi;;;1;;;;;;1
Krasi & Krasi;;;;;;1;;;1
KreOs Leiderschap & Ethiek;;;;;1;;;;1
Krijger Public Affairs;;;;;;1;;;1
Kruyning Training&Coaching;;;;;1;;;;1
KSG Trainers & Consultants;;;;;1;;;1;1
La Carte Internet B.V.;;;;;;1;;;1
Language Partners Nederland B.V.;;;;;1;;;;1
LanguageOne Middle East B.V.;;;;;1;;;;1
LDpe Nederland B.V.;;;;;1;;;;1
Learn it B.V.;;;;;1;;;;1
Lebkov;;;1;;;;;;1
Lee Hecht Harrison Nederland B.V.;;;;;1;;;;1
Leeuwendaal Advies B.V.;;;;;1;;;;1
Leidse Onderwijsinstellingen B.V.;;;;;1;;;;1
Leonidas;;;1;;;1;;;1
Ligthart Bloembollen;;;;;;1;;;1
Linguist Link Europe;;;;;;1;;;1
Little V Den Haag B.V.;;;;;;1;;;1
Loo Van Eck B.V.;;;;;1;;;;1
Looyint B.V.;;;;;1;;;;1
LTP Holding B.V.;;;;;2;;;;2
M. Wisbrun;;1;;;;;;;1
Madame Laurine;;;;;;1;;;1
Madurodam B.V.;;;;;;1;;;1
MAEK Academie;;;;;1;;;;1
Magic Travel;;;;;;;;1;1
Manta Beach;;;;;;1;;;1
Marcandi;;;;;;1;;;1
Mariëtte Dietz Coaching;;;;;1;;;;1
Maritime Travel Service B.V.;;;;;;;;1;1
Mauritshuis;;;;;;1;;;1
Maximes Denneweg 10B B.V.;;;;;;1;;;1
Maximum;;;;;1;;;;1
MdL-Coaching;;;;;1;;;;1
Medipoint - Zorgbalans - Haarlem;;1;;;;;;;1
Meetingselect B.V.;;;1;;1;2;;1;3
MENA Student Association;;;;;2;;;;2
Menno Valkenburg Coaching & Consulting (MVCC);;;;;1;;;;1
Mentorjam B.V.;;;;;1;;;;1
Mercure Den Haag Central;;;;;;2;;2;2
Merlijn B.V.;;;;;1;;;;1
metricsforthefuture.com;;;;;1;;;;1
Michel van Eeten;;;;;1;;;;1
MichielB.com;;;;;;1;;;1
michielres;;;;;2;;;;2
Millers;;;;;;1;;;1
Mimicri Training;;;;;1;;;;1
Mindcampus B.V.;;;;;1;;;;1
MingleMush B.V.;;;;;;1;;;1
Misi B.V.;;;1;;;;;;1
MoDrie;;;;;;1;;;1
Mpowering Potential;;;;;1;;;;1
Munckhof Taxi B.V.;;1;;;;1;;2;2
Museum Catering Den Haag B.V.;;;;;;1;;;1
MWM2 B.V.;;;;;1;;;;1
N.V.V.A.;;;;;;;1;;1
Nasima Translation and Consultancy;;1;;;;;;;1
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;2;;;;2
Ned. Finan Mij. v. Ontwikk Landen N.V.;;;;;;;;1;1
Nedvan Projectverhuizingen Facility Solutions;7;;;;;;;;7
New Babylon Meeting Center B.V.;;;;;;1;;2;2
NewForesight Consultancy B.V.;;;;;1;;;;1
NGFG;;;;;;;1;;1
NHA Opleidingen;;;;;1;;;;1
Nieuwe of Litteraire Sociëteit De Witte;;;;;;2;;;2
Nishiko;;;;;;1;;;1
NJR;;;;;;;;1;1
Norea;;;;;1;;1;;1
Notuleerservice Nederland B.V.;;;;;1;;;;1
NOVI Educational Services B.V.;;;;;2;;1;;2
Novotel Den Haag;;;;;;1;;;1
NRC Media B.V.;;1;;;;;;;1
Nsob;;;;;1;;;;1
Nuance B.V.;;;;;;1;;;1
O'Casey's Irish Pub & Restaurant;;;;;;1;;;1
One 4 Development;;;;;1;;;;1
OneClick;;;1;;;;;;1
OR-ondersteuning Opleidingen B.V.;;;;;1;;;;1
Oscars Scheveningen B.V.;;;;;;1;;;1
Outonoom B.V.;;;;;1;;;;1
Ouwehand Visverwerking B.V.;;;;;;1;;;1
Paagman B.V.;;;1;;;1;;;1
Pact Eilander;;;;;1;;;;1
Part-up B.V.;;;;;1;;;;1
Patisserie Jarreau B.V.;;;1;;;;;;1
PDC Informatie Architectuur B.V.;;;;1;;;;;1
PDS Professional Driving Solutions B.V.;;;;;1;;;;1
People & Print Group;;;1;;;1;;;1
PEOPLE Unlimited B.V.;;;;;1;;;;1
Persoonlijk Rome;;;;;1;;;;1
Petta Coaching & Advies;;;;;1;;;;1
Pieter-Rim de Kroon Films B.V.;;;;;;1;;;1
Plein 20 Den Haag B.V.;;;;;;1;;;1
Pluk! Den Haag;;;;;;1;;;1
Pol Horeca Delft B.V.;;;;;;1;;;1
Preferred Hotel Reservations B.V.;;;;;;;;1;1
Prentenkabinet Den Haag;;;1;;;;;;1
Primera Van der Zwaan;;;1;;;;;;1
Prinsenhof Groningen;;;;;;1;;;1
PRINTRS B.V.;;;;;;1;;;1
Priva Building Automation B.V.;;;;;1;;;;1
Project Dojo;;;;;;1;;;1
Promio;;;1;;;;;;1
Protocolbureau;;;;;1;;;;1
Puur Amsterdam;;;;;;1;;;1
PV Holland;;;1;;;;;;1
PvIB: Platform voor informatiebeveiliging;;;;;;;1;;1
Pwyp Training & Tools;;;;;2;;;;2
Qidos B.V.;;;;;1;;;;1
Qompas B.V.;;;;;2;;;;2
Quest Consult;;;;;;;;1;1
Quinton Brandveiligheid B.V.;;1;;;2;;;;2
QuoVadis Trustlink B.V.;;;;1;;;;;1
Raad & Daad Evenementen B.V.;;;;;;1;;;1
Recreatie & Entertainment NL 3;;;;;;2;;;2
Recruiters Omgekeerd;;;;;1;;;;1
Recruitment Builders B.V.;;;;2;;;;;2
Rederij Van der Meer;;;;;;1;;;1
Red's Tapas Grill & Bar;;;;;;1;;;1
Refractiecentrum Haaglanden B.V.;;1;;;;;;;1
Regina Bloemsierkunst;;;1;;;;;;1
Regina Coeli Language Courses B.V.;;;;;3;;;1;3
Reinout Krajenbrink;;;;;;1;;;1
Re-integratiebureau re-turn B.V.;;1;;;1;;;;1
Resilience B.V.;;;;;;;;1;1
Restaurant De Basiliek B.V.;;;1;;;1;;;1
Restaurant De Knip;;;;;;1;;;1
Restaurant Fouquet;;;;;;1;;;1
Restaurant Luden Den Haag Kiosk;;;;;;1;;;1
Restaurant Onz;;;;;;1;;;1
Restaurant Sarinande;;;;;;1;;;1
Restaurant-Café 'in de Waag' B.V.;;;;;;1;;;1
Result ADR B.V.;;;;;1;;;;1
Rob van Gijzel B.V.;;;;;1;;;;1
Rolien van Dijk;;;;;1;;;;1
Routs, Laeven en Partners B.V.;;;;;2;;;;2
S. and S. Food Services B.V.;;;;;;1;;;1
SALE by San;;;1;;;;;;1
Samen werken;;;;;1;;;;1
Sanne Breimer;;;;;1;;;;1
SBI Training en Advies/FNV Formaat B.V.;;;;;1;;;;1
Scenarios 4 Summits B.V.;;;;;1;;;;1
Schetswinkel;;;;;1;;;;1
Schiphol Nederland B.V.;;;;;;;;2;2
Schoevers Trainingen B.V.;;;;;1;;;;1
School of Foresight;;;;;2;;;;2
School voor Mediation SvM B.V.;;;;;1;;;;1
Schouten & Nelissen Nederland B.V.;;;;;1;;;;1
Secrid B.V.;;;;;;1;;;1
Securitech Expertise B.V.;;;;;1;;;;1
Segment Opleidingen B.V.;;;;;1;;;;1
Segment-T B.V.;;;;;1;;;;1
Shared Business B.V.;;;1;;3;;;;3
Sherpas Proyects;;;;;1;;;;1
Shuttel B.V.;;;;;;;;7;7
Simon Levelt B.V.;;;1;;;;;;1
Sioo;;;;;1;;;;1
Skydance Entertainment;;;;;1;;;;1
Sky-walker B.V.;;;;2;;;;;2
Smara Opleidingen;;;;;1;;;;1
So Communications;;1;;;;;;;1
Soes Beheer B.V.;;;;;;1;;;1
Soeters Management B.V.;;;;;;;;1;1
SolBeach B.V.;;;;;;1;;;1
Soldelsur Taalinstituut;;;;;1;;;;1
SOS International Amsterdam;;2;;;;;;;2
Souls on Stage;;;;;1;;;;1
Sparkling People B.V.;;;;;;1;;;1
Speak to Inspire;;;;;1;;;;1
Speakers Academy®;;;;;;;;1;1
Spiegelhart;;;;;1;;;;1
Sprankel & Co;;;;;1;;;;1
Springest B.V.;;;;;1;;;;1
SRM Communicatie B.V.;;;;;1;;;;1
SRS Consulting B.V.;;;;;1;;;;1
St. Haagse Academie voor Int. Recht;;;;;1;;;;1
St.Opleidingskunde/Foundation for Corp.Educat;;;;;1;;;;1
Stadscafe De Waag B.V.;;;;;;1;;;1
Stanneke Kusters training & coaching;;;;;1;;;;1
Stap.nu Reïntegratie & Counseling B.V.;;1;;;;;;;1
Stavoor B.V.;;;;;2;;;;2
Stg. Fund for Exc. of the Royal Conservatoire;;;1;;;;;;1
Stg. Kon. Visio, exp.centr. slechtz./slechth.;;1;;;;;;;1
Stg. Landel. CoÃ¶rd.centr. Reiz.advis.;;1;;;;;;;1
Stichting Accessibility;;;;;1;;;;1
Stichting Agri-ProFocus;;;;;;;;1;1
Stichting Amsterdam Institute of Finance;;;;;1;;;;1
Stichting De Ooievaart;;;;;;1;;;1
Stichting Deltares;;;;;2;;;;2
Stichting Fide Congres 2020;;;;;;;;1;1
Stichting Fonds Instituut Clingendael;;;;;2;;;;2
Stichting Het Rijksmuseum;;;;;;1;;;1
Stichting Hogeschool Utrecht;;;;;1;;;;1
Stichting Hulpaktie Doboj;;;;;1;;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;;;;;1;1;;1
Stichting Join the Pipe;;;;;;1;;;1
Stichting Kontakt der Kontinenten;;;;;3;;;;3
Stichting Kröller-Müller Museum;;;;;;1;;;1
Stichting Mollie Payments;;;;;;;;1;1
Stichting Nederlands Dans Theater;;;;;;1;;;1
Stichting Netherlands Water Partnership (Nwp);;;;;;1;;;1
Stichting Nuffic;;;;;1;;;;1
Stichting OCF;;;;;;1;;;1
Stichting Permits;;;;;1;;;;1
Stichting Prins27;;;;;;1;;;1
Stichting Stedelijk Museum Schiedam;;;;;;1;;;1
Stichting Talent naar de Top;;;;;1;;;;1
Stichting Voorlinden;;;;;;1;;;1
Stichting Werken op Maat;;;;1;;;;;1
Stichting WeZoDo;;;;;1;;;;1
Stoffenshop B.V.;;;;;;1;;;1
Stokes Verhoor Strategie;;;;;1;;;;1
Stone & Sand;;;;;1;;;;1
Strandclub WIJ;;;;;;1;;;1
Strandpaviljoen Buiten B.V.;;;;;;1;;;1
Strandpaviljoen De Staat B.V.;;;;;;1;;;1
Strandtent Naturel;;;;;;1;;;1
Studio MENG;;;;;1;;;;1
Studio Riquois;;;;;1;;;;1
Suite novotel Den Haag City Centre;;;;;;;;1;1
t Goude Hooft Exploitatie B.V.;;;;;;1;;;1
T. Antonakos;;;;;1;;;;1
T. Bunt Beheer B.V.;;;;;;1;;;1
TaalTaal B.V.;;;;;1;;;;1
Taart van Toen;;;1;;;;;;1
Taleninstituut Hispano;;;;;1;;;;1
Talent123;;;;;1;;;;1
Tapperij Atjeh;;;;;;1;;;1
Taxibedrijf Van der Wijst;;;;;;1;;;1
Taxicentrale Amsterdam B.V.;;;;;;;;1;1
Te Werve B.V.;;;;;;1;;;1
Teambuildingspellen.nl B.V.;;;2;;;;;;2
Technolab B.V.;;1;;;;;;;1
Tele'Train Education II B.V.;;;;;3;;;;3
Tempo-Team Uitzenden;;;;2;;;;;2
Tezet Business Gifts B.V.;;;1;;;;;;1
The Brownie Box B.V.;;;1;;;;;;1
The Changery;;;;;2;;;;2
The Hague Marriott;;;;;;1;;;1
The Head Office Consulting;;;;;;1;;;1
The Internet Academy;;;;;1;;;;1
The Learning Cycle B.V.;;;;;1;;;;1
Theatersport Den Haag;;;;;;1;;;1
Think & View communicatie;;;;;1;;;;1
Tilkema Horeca B.V.;;;;;;1;;;1
Timmermans Opleidingsconsultancy;;;;;1;;;;1
Tineke Mulder Coaching;;;;;1;;;;1
ToDent B.V.;;;;;1;;;;1
Ton Roozen Raad en Daad;;;;;;1;;;1
Tonco Modderman Training & Advies;;;;;2;;;;2
Tony's Chocolonely Nederland B.V.;;;1;;;1;;;2
Topgeschenken Nederland B.V.;;1;1;;;;;;1
Trast B.V.;;;;;;1;;;1
Trust Krediet Beheer Holding B.V.;;;;;;1;;;1
Twynstra Gudde Veiligheid B.V.;;;;;;;;1;1
Uit Rome;;;;;;1;;;1
Uitjesbazen B.V.;;;1;;;1;;;1
Unlimited People B.V.;;;;;1;;;;1
USG Restart B.V.;;1;;;;;;;1
V.O.F. Alpina-van Houweninge & IJsselstijn;;;1;;;;;;1
Van der Hilst Communicatie B.V.;;;;;1;;;;1
Van der Valk Hotel Bijhorst;;;;;;;;1;1
Van Harte & Lingsma Man. en Organisatie B.V.;;;;;2;;;1;2
Van Voornveld;;;;;1;;;;1
Vanberkel Professionals Holding B.V.;;;;;1;;;;1
