Ministerie;Leverancier;9100 - GWW;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9410 - Lokale belastingen - waterschapslasten;9500 - AZ specifiek;9510 - BZ specifiek;9520 - BZK specifiek;9530 - DEF specifiek;9540 - EZ specifiek;9550 - Fin specifiek;9560 - I&M specifiek;9570 - OCW specifiek;9580 - SZW specifiek;9590 - V&J specifiek;9600 - VWS specifiek;Eindtotaal
BZ;Hostmanship Group Nederland B.V.;;;;;;;;;2;;;;;;;;;;2
BZ;Hotel Des Indes B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Hotel Expl.Mij. Keizersgracht 384 B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;House of Lords B.V.;;;;;;;;;2;;;;;;;;;;2
BZ;ICCBA;;;;;;;;;1;;;;;;;;;;1
BZ;ICCO;;;;;;;;;3;;;;;;;;;;3
BZ;Icom-Nederland;;;;;;;;;1;;;;;;;;;;1
BZ;IDEAL&CO Design;;;;;;;;;1;;;;;;;;;;1
BZ;Identiteit & Diensten B.V.;;;;;;;;;3;;;;;;;;;;3
BZ;Impactainment Productions B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;ING Bank;;;;;;;;;2;;;;;;;;;;2
BZ;ING Bank N.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Inst. for Housing & Urban Development Studies;;;;;;;;;1;;;;;;;;;;1
BZ;Institute of Time B.V.;;;;;;;;;2;;;;;;;;;;2
BZ;Irina Volgareva;;;;;;;;;1;;;;;;;;;;1
BZ;IVEM;;;;;;;;;1;;;;;;;;;;1
BZ;Jabiz Hafizi;;;;;;;;;1;;;;;;;;;;1
BZ;JansenJager, beeldmakers;;;;;;;;;1;;;;;;;;;;1
BZ;Japan Cultural Exchange;;;;;;;;;2;;;;;;;;;;2
BZ;Joya Mooi;;;;;;;;;1;;;;;;;;;;1
BZ;Judith Noorman - Art History;;;;;;;;;1;;;;;;;;;;1
BZ;Keplerfilm B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;KLOAQ;;;;;;;;;1;;;;;;;;;;1
BZ;KNVB;;;;;;;;;2;;;;;;;;;;2
BZ;Kooymans Beheer B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Kupers Touringcars;;;;;;;;;1;;;;;;;;;;1
BZ;L & S Music B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Laurence Aegerter;;;;;;;;;1;;;;;;;;;;1
BZ;Lemming Film B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Lumière Publishing B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;M. Ballak;;;;;;;;;1;;;;;;;;;;1
BZ;Magic Travel;;;;;;;;;1;;;;;;;;;;1
BZ;Mano A Mano Produduções;;;;;;;;;1;;;;;;;;;;1
BZ;Masha Ru Studio;;;;;;;;;1;;;;;;;;;;1
BZ;Mauritshuis;;;;;;;;;1;;;;;;;;;;1
BZ;MeerPK;;;;;;;;;1;;;;;;;;;;1
BZ;Meetingselect B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Mensen met een Missie;;;;;;;;;1;;;;;;;;;;1
BZ;Metabolic B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Millstreet Films B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Miriam Guttmann Fotografie & Film;;;;;;;;;1;;;;;;;;;;1
BZ;Moreality B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;MPS B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;MSdV Services B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Munckhof Taxi B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Museum Het Schip;;;;;;;;;1;;;;;;;;;;1
BZ;nai010 uitgevers/publishers;;;;;;;;;1;;;;;;;;;;1
BZ;Nana Effah-Bekoe;;;;;;;;;1;;;;;;;;;;1
BZ;Nanda Janssen;;;;;;;;;1;;;;;;;;;;1
BZ;Narvic Media en Communicatie;;;;;;;;;1;;;;;;;;;;1
BZ;Nederland Rusland Centrum;;;;;;;;;1;;;;;;;;;;1
BZ;newton solutions;;;;;;;;;1;;;;;;;;;;1
BZ;Nieuw en Verbeterd;;;;;;;;;1;;;;;;;;;;1
BZ;Nieuwe of Litteraire Sociëteit De Witte;;;;;;;;;2;;;;;;;;;;2
BZ;NLÉ;;;;;;;;;1;;;;;;;;;;1
BZ;NOC*NSF;;;;;;;;;2;;;;;;;;;;2
BZ;nomaos;;;;;;;;;1;;;;;;;;;;1
BZ;Off for Metropolitan Arch. Stedebouw B.V.;;;;;;;;;2;;;;;;;;;;2
BZ;OK Webwinkel B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Onomatopee Projects;;;;;;;;;2;;;;;;;;;;2
BZ;ONYX AV B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;OWOW Projects B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Particular View Pictures B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Paul Clifford Evans;;;;;;;;;1;;;;;;;;;;1
BZ;Pianist Peter Caelen;;;;;;;;;1;;;;;;;;;;1
BZ;Pim Lammers;;;;;;;;;1;;;;;;;;;;1
BZ;pop.history.;;;;;;;;;1;;;;;;;;;;1
BZ;PSU B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Pyongyang Design;;;;;;;;;1;;;;;;;;;;1
BZ;Queen's Pleasure;;;;;;;;;1;;;;;;;;;;1
BZ;QuoVadis Trustlink B.V.;;;;;;;;;2;;;;;;;;;;2
BZ;Rapid Eye Movement;;;;;;;;;1;;;;;;;;;;1
BZ;Rebottled B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Reeling;;;;;;;;;1;;;;;;;;;;1
BZ;Rinkel Film B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;RO&AD Architecten;;;;;;;;;1;;;;;;;;;;1
BZ;Rogier Delfos;;;;;;;;;1;;;;;;;;;;1
BZ;Schiphol Nederland B.V.;;;;;;;;;3;;;;;;;;;;3
BZ;Shared Business B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Sil Krol;;;;;;;;;1;;;;;;;;;;1
BZ;Singel Uitgevers B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Singing Bronze Foundation;;;;;;;;;1;;;;;;;;;;1
BZ;Slices Tinker B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;So Communications;;;;;;;;;1;;;;;;;;;;1
BZ;SPRIGS B.V.;;;;;;;;;2;;;;;;;;;;2
BZ;St. De Balie Centr. Th. Polit. & Litteratuur;;;;;;;;;2;;;;;;;;;;2
BZ;St. SAM (Samenwerkende Amsterdamse Musea);;;;;;;;;1;;;;;;;;;;1
BZ;St. ter Bevordering van de Jiddische Cultuur;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Ambiance Tracks;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Amsterdam Rainbow Dress Foundation;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Atlas Cultureel Centrum;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Beautiful Distress;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting BSM;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Candy Tour Foundation;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Codart;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Cor Unum;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting CROW;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting CultMix;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting De Nieuwe Toneelbibliotheek;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Design Academy Eindhoven;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Documentatie Monumenten VOC;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Dudok Kwartet;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Dutch Cycling Embassy;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting Dutch Design Foundation;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting DutchCulture;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting Eye Filmmuseum;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting Fonds Instituut Clingendael;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Fotodok;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting Herinneringscentrum Kamp Westerbork;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting het Nationale Park de Hoge Veluwe;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting het Rijksmuseum;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Het van Doesburghuis;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting Human Rights in the Picture;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting Illusionary Rockaz Company;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting JA;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Lister;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Melbo;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting Monokino;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting MOVISIE;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Muziek Innovatie;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting Nationale Opera & Ballet Fonds;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting Nederlands Letterenfonds;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Netherlands Water Partnership (Nwp);;;;;;;;;2;;;;;;;;;;2
BZ;Stichting Prospektor;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Rubens Consort;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Salt Farm Foundation;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Skimming Tones;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting Slagwerk Den Haag;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Sonsbeek & State of Fashion;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting Stedenband Groningen-Moermansk;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Steunfonds Museum Bredius;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting The American School of The Hague;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting 'To be Sung';;;;;;;;;1;;;;;;;;;;1
BZ;Stichting V4T;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting VJ Movement Foundation;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting Voorlinden;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Vrienden van het Mauritshuis;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Waag Society;;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Wetlands International;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting Wetskills;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting What Design Can Do;;;;;;;;;2;;;;;;;;;;2
BZ;Stichting World Press Photo;;;;;;;;;4;;;;;;;;;;4
BZ;Stipo;;;;;;;;;1;;;;;;;;;;1
BZ;Stone & Sand;;;;;;;;;1;;;;;;;;;;1
BZ;Studio ID Eddy;;;;;;;;;1;;;;;;;;;;1
BZ;studio L A;;;;;;;;;1;;;;;;;;;;1
BZ;Studio laVina;;;;;;;;;1;;;;;;;;;;1
BZ;Tangarine;;;;;;;;;1;;;;;;;;;;1
BZ;Team Thursday;;;;;;;;;1;;;;;;;;;;1
BZ;TextielMuseum TextielLab by TextielMuseum;;;;;;;;;2;;;;;;;;;;2
BZ;THE BLUE ORANGE;;;;;;;;;1;;;;;;;;;;1
BZ;The Future Publishing and Printing;;;;;;;;;2;;;;;;;;;;2
BZ;The Hague Marriott;;;;;;;;;1;;;;;;;;;;1
BZ;Tony's Chocolonely Nederland B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Topkapi Rights I B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Tulpi B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Unravelau;;;;;;;;;1;;;;;;;;;;1
BZ;UpperFloor;;;;;;;;;1;;;;;;;;;;1
BZ;van Bavel Producties;;;;;;;;;1;;;;;;;;;;1
BZ;Van Gogh Museum Enterprises B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;VAN MEEL CONSULTANCY Dans, Kunst, Onderwijs;;;;;;;;;1;;;;;;;;;;1
BZ;VCK Travel B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Vereniging De Evangelische Omroep (Eo);;;;;;;;;1;;;;;;;;;;1
BZ;Viral Solutions;;;;;;;;;1;;;;;;;;;;1
BZ;VOF Van Lennep 82;;;;;;;;;1;;;;;;;;;;1
BZ;VOLSAP;;;;;;;;;1;;;;;;;;;;1
BZ;Volta Energy B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;We are you Tuil;;;;;;;;;2;;;;;;;;;;2
BZ;Wereldomroep;;;;;;;;;1;;;;;;;;;;1
BZ;Wes Company;;;;;;;;;1;;;;;;;;;;1
BZ;Witfilm B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;WorkWire B.V.;;;;;;;;;2;;;;;;;;;;2
BZ;Worldmeetings.com B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Xerox (Nederland) B.V.;;;;;;;;;1;;;;;;;;;;1
BZK;020 Security B.V.;;;;;;;;;;;1;;;;;;;;1
BZK;310k;;;;;;;;;;;1;;;;;;;;1
BZK;7Zebra's;;;;;;;;;;2;;;;;;;;;2
BZK;A. Hak Electron B.V.;;;;;;;;;;;1;;;;;;;;1
BZK;A. Hak West B.V.;;;;;;;;;;;1;;;;;;;;1
BZK;A.C. Autocare Nederland;;;;;;;;;;;1;;;;;;;;1
BZK;A.H. van Voorthuijsen;;;;;;;;;;1;;;;;;;;;1
BZK;A.R.K. Audio-video B.V.;;;;;;;;;;;1;;;;;;;;1
BZK;A3MC Management & Consultancy B.V.;;;;;;;;;;;4;;;;;;;;4
BZK;Aalbers;;;;;;;;;;1;;;;;;;;;1
BZK;Aann.bedr. P.A. van Miltenburg & Zn. B.V.;;;;;;;;;;;7;;;;;;;;7
BZK;Aannemersbedrijf B. de Nijs-Soffers B.V.;;;;;;;;;;;3;;;;;;;;3
BZK;Aannemersbedrijf C. van Dillen en Zoon B.V.;;;;;;;;;;;1;;;;;;;;1
BZK;Aannemersbedrijf Dons en Troost B.V.;;;;;;;;;;;6;;;;;;;;6
BZK;Aannemersbedrijf Fokker B.V.;;;;;;;;;;;7;;;;;;;;7
