nr;Stemdistrict;adres;buurt;PvdA;SP;VVD;GL;CDA;Chr.U;Stadspartij;D66;S & S;PVG;PvdD;Geldige stemmen;Blanco / Ongeldig;Opgeroepen kiezers
80;Columnakerk;Paulus Potterstraat 2;13;107;41;80;56;37;29;62;67;19;14;26;538;2;990
81;BSO Schildersbuurt;Adriaan van Ostadestraat 38;13;126;82;57;91;21;16;73;46;5;6;15;538;3;978
100;W.A. van Lieflandschool;Hora Siccamasingel 206;62;158;62;108;70;55;45;96;63;16;7;29;709;1;1109
101;Sporthal De Wijert;Vondellaan 75;66;81;46;52;61;23;33;55;18;14;4;12;399;1;974
102;Vondelflat;Vondellaan 77;66;72;37;71;31;61;29;39;27;3;2;10;382;0;827
104;Opstandingskerk;P.C. Hooftlaan 48;66;105;65;40;35;31;37;80;33;12;7;22;467;3;962
105;De Bolster;Multatulistraat 91;66;132;72;63;41;48;44;64;43;15;13;26;561;3;1309
106;C.B.S.  De Tamarisk;Van Ketwich Verschuurlaan 90;66;86;47;135;66;50;30;70;54;8;5;13;564;1;1147
107;Zuiderflat;Vestdijklaan 10;67;124;37;213;34;107;55;131;58;1;15;7;782;1;1103
108;Brederoschool;Ina Boudierplantsoen 3-5;68;160;38;194;71;83;43;101;114;5;8;25;842;2;1126
110;OBS Joseph Haydn;Haydnlaan 102;65;188;71;155;157;77;18;97;100;13;5;28;909;0;1074
111;Verpleeghuis Coendershof;Helper Brink 59 ;65;145;46;156;64;113;32;98;68;6;8;18;754;2;1270
112;Gymzaal;Sweelincklaan 2;65;95;31;91;59;35;13;52;51;6;4;13;450;0;1260
114;Evangelische Gemeente Helperkerk;Waldeck-Pyrmontplein 13a;64;105;70;91;130;37;21;77;67;21;4;33;656;5;1338
115;Dagverblijf De Kleine Beer;Goeman Borgesiuslaan 373;63;171;52;325;88;104;31;122;104;13;4;30;1044;4;1136
120;Multifunctioneel centrum Engelbert;Woldjerspoorweg 5a;54;76;39;97;28;17;2;68;24;5;5;14;375;0;754
130;Buurtcentrum Poortershoes;Oosterweg 13;50;162;85;101;147;33;21;120;69;37;11;38;824;3;948
131;Agens;Griffeweg 81;51;159;67;102;74;30;11;74;55;17;9;13;611;3;1220
132;Baptistenkerk;Meeuwerderweg 75;50;151;79;90;136;28;80;75;45;10;44;0;738;0;1136
133;Menzis;Winschoterdiep 70;51;80;35;53;73;23;13;40;50;16;5;22;410;2;1178
134;Buurtcentrum Poortershoes;Oosterweg 13;50;49;32;30;34;13;5;31;20;12;3;15;244;0;931
140;SBO Groningen;Blekerslaan 1;50;108;38;72;90;19;12;30;76;19;6;25;495;1;1181
141;De Smidse;Merwedestraat 1a;61;139;49;102;82;65;24;71;78;45;3;16;674;2;1506
142;Talmahuis;Merwedestraat 54;61;194;84;142;136;109;62;111;85;40;8;27;998;2;1406
143;De Puddingfabriek;Viaductstraat 3a;60;110;47;92;117;25;18;42;69;40;5;21;586;1;1173
144;SBO Groningen;Blekerslaan 1;50;61;18;58;69;23;10;24;29;8;4;15;319;0;1082
151;Augustinuscollege;Admiraal de Ruyterlaan 37;11;140;51;97;81;40;22;42;58;38;7;14;590;2;1292
152;Buurtcentrum Badstratenbuurt;Kleine Badstraat 4;11;77;62;73;78;16;24;41;63;36;5;31;506;2;1110
153;Cafe Bolhuis;Paterswoldseweg 16;11;99;43;112;84;29;10;54;58;35;6;16;546;1;1003
161;Nebo zorgcentrum;Paterswoldseweg 288;71;124;53;102;87;51;65;52;56;28;4;19;641;3;1392
162;Noorderpoortcollege;Verzetsstrijderslaan 2   ;70;66;40;62;44;32;16;40;44;26;5;12;387;2;759
163;MEE Groningen;Koeriersterweg 26a;70;75;22;65;60;45;43;44;49;26;1;19;449;1;941
171;Heymanscentrum;Henri Dunantlaan 20;72;106;34;66;29;70;49;73;37;4;6;29;503;3;935
172;Menno Lutterhuis;Paterswoldseweg 267;72;169;80;105;59;124;86;153;49;12;15;43;895;3;1463
174;BSV Corpus den Hoorn;Semmelweisstraat 2  ;72;126;77;39;37;31;17;49;28;6;9;21;440;1;1222
180;Maartenshof;Schaaksport 100-102;73;204;88;130;64;82;37;86;72;11;15;32;821;6;1377
181;Drees-flat;W. Dreesstraat 1;73;159;73;141;78;66;29;93;65;7;13;33;757;2;1324
182;Het Wall House;A.J. Lutulistraat 17;73;114;36;176;62;42;9;49;66;3;10;15;582;0;1047
183;Boerhaaveschool;Veenweg 1/1;73;203;36;266;100;67;28;104;120;11;11;15;961;1;1254
200;Oosterhoogebrugschool;W.F.Bathoornstraat 1;90;149;76;122;55;27;16;159;25;4;5;14;652;0;985
201;De Schakel;Rijksweg 15;90;116;75;68;36;33;24;102;42;8;12;17;533;1;894
202;Noorderpoortcollege;Pop Dijkemaweg 88;97;112;59;61;42;36;26;89;40;8;12;24;509;5;1145
210;De Tweemaster;Valreep 69;91;91;104;35;30;22;10;95;17;4;14;15;437;3;1167
211;Daltonschool De Catamaran;Vaargeul 117;93;178;126;83;60;39;28;179;53;8;20;36;810;7;1501
220;Ontmoetingsruimte;Stuurhut 221;92;171;112;48;39;32;23;116;29;7;14;27;618;1;1161
221;Jenaplanschool De Swoaistee;Kiel 7;92;134;129;51;74;21;36;131;42;6;14;34;672;1;1274
222;Wijkcentrum Het Dok;Kajuit 4;92;134;106;50;55;38;34;89;24;9;27;24;590;1;1440
223;Zorgcentrum Mercator;Kraaienest 70 ;92;138;87;74;75;41;28;77;19;3;7;31;580;0;1256
230;Daltonschool Driebond;Woldweg 7;98;160;66;115;69;40;45;145;35;10;4;21;710;1;1646
260;Buurtcentrum ’t Heerdenhoes;Isebrandtsheerd 97;96;193;141;75;122;52;66;120;44;10;13;37;873;2;1425
261;Sporthal Beijum;Amkemaheerd 293;95;55;53;21;30;24;28;57;20;6;5;17;316;0;1151
262;Activiteitencentrum Trefpunt;Beijumerweg 17;96;63;70;19;55;11;26;66;14;1;8;19;352;2;1063
263;Tine Marcusschool;Jaltadaheerd 163;96;127;72;46;63;22;20;87;30;12;14;29;522;0;955
264;Buurtcentrum De Kleihorn;Fultsemaheerd 87;95;104;102;22;97;22;36;113;35;6;7;32;576;2;1172
266;Eerste Openbare Montessorischool;Wibenaheerd 358;95;82;91;41;73;28;44;77;29;11;12;26;514;2;1492
267;Innersdijk;Ypemaheerd 2a;95;125;90;38;73;21;57;90;27;1;6;34;562;1;1277
268;Gymlokaal Stoepemaheerd;Stoepemaheerd 9;96;175;138;67;87;37;46;105;44;18;16;47;780;4;1410
300;Sporthal Selwerd;Eikenlaan 288 ;22;88;54;23;55;25;30;47;23;14;3;15;377;0;1414
301;Sporthal Selwerd;Eikenlaan 288 ;22;56;41;29;29;14;23;46;17;8;1;9;273;2;1448
302;Huize Patrimonium;Beukenlaan 36;22;113;55;44;26;92;78;108;23;4;12;24;579;2;1059
304;De Wegwijzer;Prunusstraat 74-76;22;118;64;82;65;84;54;144;37;34;8;13;703;1;1289
305;Vensterschool Selwerd;Eikenlaan 288/6;22;165;114;93;100;78;59;173;57;26;17;32;914;6;1412
311;Verpleeghuis ’t Blauwbörgje;Zonnelaan 8;23;189;90;75;58;59;39;105;45;20;13;22;715;4;1734
312;Bao Trieu sportcentrum;Spicastraat 198;24;52;33;36;14;40;24;78;13;9;10;12;321;0;933
313;Bisschop Bekkersschool;Capellastraat 9;24;116;62;38;29;48;40;102;27;8;13;19;502;2;1112
314;Zaal Trefpunt bij aanleunwoningen;Venuslaan 2;24;172;90;65;29;70;25;163;30;7;8;28;687;1;1306
316;Ontmoetingscentrum Paddepoel;Plutolaan 329;24;155;75;74;29;63;50;121;42;7;8;22;646;5;1441
320;’t Vinkhuys;Diamantlaan 94;14;112;60;59;50;23;44;88;20;11;15;28;510;8;1173
322;Annie M.G. Schmidtschool;Radiumstraat 2a;14;117;69;26;25;30;20;64;19;5;9;14;398;3;1140
323;Platina Zorgcentrum;Platinalaan 279;14;176;82;49;33;89;52;104;24;2;20;23;654;0;1416
324;De Veldspaat;Veldspaatstraat 368;15;110;66;34;13;37;30;78;16;3;12;14;413;2;1061
325;Vensterschool Vinkhuizen;Siersteenlaan 480;14;174;78;81;51;56;46;88;32;5;7;16;634;6;730
326;De Wende;Goudlaan 555;15;118;45;74;38;57;89;101;41;19;11;13;606;3;1426
327;Dagverblijf Ilmarinen;Kornalijnlaan 1;15;65;48;54;53;53;156;87;25;11;20;21;593;3;1456
328;Kinderopvang De Jonge Held;Leegeweg 4a;86;147;50;117;78;63;36;115;58;7;17;20;708;4;1555
329;De Goudvink;Goudlaan 297;15;96;76;41;39;48;48;52;16;7;13;24;460;2;896
331;Peuterspeelplaats De Smurf;Zuiderweg 80;81;106;50;136;64;56;41;75;63;1;10;20;622;0;1571
332;Rehobothschool;Prinses Margrietstraat 3;81;81;47;63;24;76;128;123;14;3;16;23;598;1;1366
334;Anne Frankschool;De Sanstraat 13  ;81;116;63;64;15;60;92;137;17;4;16;17;601;2;1257
335;CBS De Hoeksteen;Maresiusstraat 24;83;150;63;163;60;71;74;87;84;9;11;21;793;0;1493
340;Verenigingsgebouw NH-kerk;Kerkstraat 2;80;118;49;83;35;74;64;139;22;7;16;30;637;0;1533
341;Recreatiezaal Ruskenborg;Johan Dijkstralaan 1/3;85;137;35;90;24;65;78;80;33;6;10;23;581;2;1014
342;Gabriëlflat;Gabriëlstraat 2;81;101;46;54;13;60;54;81;21;1;14;30;475;2;787
350;Verenigingsgebouw De Hoeksteen;Hoogeweg 2a;84;106;24;141;59;55;40;70;83;10;12;21;621;2;1499
400;Hal Centraal Station;Stationsplein 4;11;247;85;135;225;48;65;81;132;88;12;32;1150;3;0
401;Stadhuis werkkamer Rehwinkel;Grote Markt 1;0;226;104;200;199;72;28;81;165;122;8;37;1242;5;0
410;Hanzehogeschool Van Olst-toren;Zernikeplein 7;26;112;34;89;81;40;38;35;93;77;5;18;622;3;0
420;Sportcentrum RUG;Blauwborgje 16;26;32;5;38;40;13;9;2;33;29;4;2;207;0;0
425;Sportcentrum Kardinge;Kardingerplein 1;94;26;18;19;18;4;2;11;8;2;2;8;118;0;0
430;Universitair Medisch Centrum Groningen;Hanzeplein 1;40;116;37;81;77;29;15;46;72;19;7;14;513;0;0
431;Universitair Medisch Centrum Groningen;Hanzeplein 1;40;312;97;225;197;79;49;127;172;88;11;34;1391;8;0
440;Martiniziekenhuis;Van Swietenplein 1;73;86;37;63;70;45;19;63;58;9;5;23;478;2;0
450;Rijksuniversiteit Groningen Harmoniecomplex;Oude Kijk in ’t Jatstraat  26;3;228;62;190;289;73;42;36;276;232;5;47;1480;14;0
460;De Oosterpoort;Trompsingel 27;50;67;23;65;54;18;12;12;72;112;6;12;453;1;0
461;De Oosterpoort;Trompsingel 27;50;66;26;73;61;17;7;16;51;100;11;7;435;3;0
