OBJECTID_1,KSYVORM,KSYHGA1,KSYBHBO,KSYBHBE,KSYBREED,XXXMATER,IWS_HBOKBO,IWS_HBOKBE,IWS_BOK_KSYBODEM,IWS_LENGTE_TOTAAL,KWKAFSL1,KWKDATUM,KWKOPME,KWKPLAAN,OSMOMSCH,KWKAFSL2,IWS_MEMO,KWKNAAM,IWS_LEGGERSTATUS,KSYIDENT,KERIDENT,LEG_ZIENSWIJZE,LEG_GEREED_VOOR_CL,IWS_AFST_B,KWKKEREN,WSZDEELGEBIED,OBJECTID,KSYIDENT_1,ONDERHOUDSPLICHTIGE_1,ONDERHOUDSVERPLICHTING_1,ONDERHOUDSPLICHTIGE_2,ONDERHOUDSVERPLICHTING_2,SHAPE_Length
37,1,,1.12,1.12,0.60000002,13,,,-1.33,21.700001,,2018,,,,,,,1,NW.10.110-O50,,,,,,,18752,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000166714599087795
38,2,,-1.6,-1.6,0.89999998,3,,,,9.8000002,,2011,D&C Inpassing plan Eeserwold,Eeserwold,Onderleider,,,Onderleider,1,O32,,,,2,,,9062,,Houder vergunning,Gewoon en buitengewoon en constructie,,,0.000134066086147882
39,2,,-1.6,-1.6,0.89999998,3,,,,9,,2011,D&C Inpassing Eeserwold,Eeserwold,Onderleider,,,Onderleider,1,O33,,,,2,,,9063,,Houder vergunning,Gewoon en buitengewoon en constructie,,,0.000121532510593409
40,1,,,,0.40000001,20,-2.22,-2.27,,27,,,Nabij Woldlakebos,A.F. Stroinkweg,Weg met onderleider,,,,1,O5,,,,2,,,8,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000310019606679013
41,1,,,,0.40000001,21,-2.03,-2,,20,,,841B,Westenwold afvoer Gheerdinge,Onderleider,,,,1,841B,,,,2,,,9,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000273454738061297
42,1,,,,0.60000002,21,-2.0799999,-2.0799999,,19,,,,,Onderleider,,,,1,O14,,,,2,,,43,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000214400283905993
43,1,,5,5,0.40000001,20,,,,21.73,,2019,,,Onderleider,,,,1,O19729,,,,,,,19729,,Houder vergunning,Geheel onderhoud,,,0.000221347492122147
44,1,,,,0.30000001,20,11.85,11.85,,4806,,,,,Weg en kanaal met onderleider,,,,1,O20369,,,,,,,20369,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000511514587782711
45,1,,,,0.69999999,3,-1.64,-2.25,,45,,,Aan de zuidkant zit een krooshek,De Stouwe - afvoer Broammeulle,Onderleider onder de Nieuwe Vaart,,,,1,O8,,,,2,,,41,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000489441603300005
46,1,,-1.51,-1.0700001,0.30000001,13,-1.0700001,-1.14,,29.5,,,Aan de zuidkant zit een schuif,Lange sloot,Onderleider,,,,1,O7,,,,2,,,10,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000267117326939529
47,1,,,,,20,,,,,,,,,Onderleider,,,,1,O46,,,,2,,,17472,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000302355347733958
48,4,1,,,1,3,9.5,9.5,,20,,,Muilprofiel,,Onderleider,,,,1,H-02-04_B_6,,,,2,,,35,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000374838702092467
49,1,,,,0.80000001,3,11.2,11.2,,30,,,,Beilervaart,Onderleider,,,,1,O-62-18_A_6,,,,2,,,33,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000485247713453906
50,1,,,,0.5,3,-2.6600001,-2.6199999,,84,,2009,,,Onderleider,,,,1,O26,,,,2,,,7782,,Waterschap,Gewoon en buitengewoon en constructie,,,0.00123020471254842
51,1,,,,1,3,12.5,12.5,,12,,,,,Onderleider,,,,1,O-62-18-06_B_16,,,,2,,,5223,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000143063299124348
52,1,,,,0.80000001,4,12.65,12.66,,26.299999,,2001,2003-2 Vastgesteld op: 29 juni 2004,,Onderleider,,,,1,BR-06-30_A_4,,,,2,,,26,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000230828529980676
53,1,,,,0.69999999,21,-5,-5,,82,,,,,Onderleider,,In archief zoeken naar tekeningen,,1,R02_B_6,,,,2,,,19,,Provincie,Onderhoud hoofdconstructie,Waterschap,Onderhoud doorstroomprofiel duiker,0.000952554112368518
54,2,1.25,,,2,3,7.7800002,7.7800002,,26.35,,2015,,,Onderleider,,,,1,O45,,,,2,,,17152,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000360540428950902
55,1,,,,0.40000001,3,1.98,2,,14,,,,,Onderleider,,,,1,O-06-08_G_28,,,,2,,,18,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000245165381836051
56,1,,,,0.40000001,3,1.33,1.3,,41,,,,,Onderleider,,,,1,O-06-08-D6,,,,2,,,91,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000407358826676296
57,1,,,,0.34999999,20,1.62,1.62,,22.799999,,,,Wold Aa weg,Weg en dam met onderleider,,,,1,WA-12-14-02_A_1,,,,2,,,92,,Waterschap,Gewoon en buitengewoon en constructie,,,0.00026589596495582
58,1,,,,0.60000002,21,-2.1700001,-3.5,,41.400002,,,,Bovenboersevaart,Onderleider onder de Molengracht,,,,1,O9,,,,2,,,11,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000264421483988818
59,1,,,,0.80000001,3,3.3499999,3.3499999,,58,,,,,Onderleider onder de Drentsche Hoofdvaart en weg,,,,1,O48,,,,2,,,18112,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000793772648288274
60,1,,,,0.60000002,3,9.3500004,9.3500004,,55,,,,,Onderleider,,,,1,NHV-10-18_C_6,,,,2,,,95,,Rijkswaterstaat,Gewoon en buitengewoon en constructie,,,8.63051990638228e-05
61,1,0.5,1.45,1.14,0.5,3,1.4,1.25,,27.969999,,,Rond 0.4/0.5 L=28.0,,Weg met onderleider Fietspad,,,,1,D3324,,,,2,,,1,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),0.000287129662386075
62,1,0.30000001,0.30000001,0.31,0.30000001,20,0.27000001,0.46000001,,29.389999,,,,,Onderleider,,,,1,D3300,,,,2,,,2,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000336874686655775
63,1,,,,0.5,3,4.0300002,4.0799999,,11.6,,,,,Onderleider,,,,1,O12,,,,2,,,17,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000199312940527681
64,1,,,,0.30000001,20,,,,9.1499996,,2010,,,Onderleider,,,,1,O42,,,,2,,,12581,,Houder vergunning,Gewoon en buitengewoon en constructie,,,9.21607852674304e-05
65,1,,,,0.30000001,20,,,,33,,2010,,,Onderleider,,,,1,O43,,,,2,,,12582,,Houder vergunning,Gewoon en buitengewoon en constructie,,,0.000483377616202135
66,1,0.5,-0.54000002,-0.60000002,0.5,3,-0.57999998,-0.56999999,,24.959999,,,1925-O,Beverieten/Schipsloot,Onderleider,,,,1,1925-O,,,,2,,,13,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000309535052098317
67,,,1.1,1.22,1.25,3,,,,28.5,,,"Onderleider Nieuwe Raalterwetering;Bet put",,Assendorperdijk,,Meetspijker zuidkant zandpad in betonwerk. Opname datum: 10-12-2008,,1,NW-O1,,,,2,2,,13708,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000260233510171101
68,1,,,,1.4,21,8.8000002,8.8000002,,38,,,,Beilervaart,Onderleider,,,,1,O-62_B_4,,,,2,,,29,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000352954730821125
69,1,,,,0.89999998,21,9.5200005,9.6099997,,36.5,,,,Beilervaart,Onderleider,,,,1,O-58_C_10,,,,2,,,30,,Waterschap,Gewoon en buitengewoon en constructie,,,0.00034612895132319
70,1,,,,1.4,21,9.3500004,9.3500004,,39.5,,,,Onder beilervaart,Onderleider,,,,1,O-48-10_B_4,,,,2,,,31,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000495901269649668
71,1,,,,1,21,9.1499996,9.1499996,,34.5,,,,Onder de Beilervaart,Onderleider,,Materiaal: Staal voorzien van lining,,1,O-48_K_28,,,,2,,,32,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000514586042583721
72,1,,,,0.89999998,21,-2.25,,,76.900002,,,Onderleider staal,,,,In- en uitstroomvoorziening,,1,SW.45.6-O4,,,,2,2,,13710,,Waterschap,Gewoon en buitengewoon en constructie,,,0.00103852866947396
73,1,,,,0.69999999,3,-0.81999999,-0.82999998,,30.1,,,Onderleider beton,,,,In- en uitstroomvoorziening,,1,SW.50.14-O2,,,,2,2,,13714,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000280590283343086
74,1,,,,0.30000001,20,-0.12,-0.2,,55.400002,,,Onderleider pvc,,,,In- en uitstroomvoorziening,,1,SW.50-O3,,,,2,2,,13715,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000533245487176933
75,2,1.15,,,1.2,3,12.26,12.27,,55,,,,Oranjekanaal Zuidzijde en Noorzijde,Onderleider,,,,1,O-114_A_4,,,,2,,,28,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),0.000589532253782506
76,1,,,,0.85000002,3,-1.02,-1.02,,57.900002,,,,,,,In- en uitstroomvoorziening,,1,SW.50.6-O4,,,,2,2,,13716,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000861422053413161
77,,,,,,98,,,,36.400002,,,Onderleider Inspectieputten,,,,,,1,SW.55.8-O1,,,,2,2,,13720,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000326979883210085
78,99,,,,,98,,,,,,,,,,,,,1,SW.50.19-O403,,,,2,2,,15247,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000323229770353702
79,1,,,,0.60000002,3,4.1799998,4.0799999,,38.900002,,,Onderleider beton / ijzer,Grondduiker 6 Bleerhorster waterleiding,,,In- en uitstroomvoorziening,,1,SW.90.42-O3,,,,2,2,,13709,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000577794315955664
80,1,,,,0.40000001,20,4.75,4.75,,28.6,,,,,Onderleider,,,,1,O20,,,,2,,,1700,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000220230773343714
81,1,,,,0.63,20,,,,,,,,,,,,,1,VR.5.65-O1,,,,2,2,,14255,,Gemeente,Gewoon en buitengewoon en constructie,,,0.000195435463628171
82,1,0.80000001,2.4100001,2.3699999,0.80000001,3,2.52,2.47,,20.65,,,1785-O,Oostenbutenweg,Weg met onderleider,,,,1,1785-O,,,,2,,,49,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),0.000186253348759446
83,,,,,,98,3.47,3.5,,26.129999,,,Midden-West,,,,,,1,SW.90.2-O1,,,,2,2,,13723,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000406985683996478
84,1,0.80000001,-0.40000001,1.04,0.80000001,3,-0.47999999,-0.15000001,,25.200001,,,,,Weg met onderleider,,,,1,D2810,,,,2,,,90,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),0.000413394117803882
85,1,,,,0.5,3,,,,12,,,,,,,,,1,SZ.20-O7,,,,2,2,,13702,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000423814107686035
86,1,,,,0.5,3,0.44999999,0.44999999,,37,,,Onderleider beton,,,,,,1,SW.60.10-O104,,,,2,2,,13725,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000545612371078083
87,1,,,,0.5,13,,,,45.799999,,,Luttenberg 1,,,,Luttenberg1,,1,OK.40.48-O1,,,,2,2,,13697,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000718888980312812
88,1,,,,0.60000002,3,12.85,12.81,,24.299999,,,,,Onderleider,,,,1,MR-02-9.2_B_5,,,,2,,,101,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000275742900972028
89,1,,-1.37,-1.87,0.30000001,20,,,,,,,,,,,,,1,RB.5.2-O1,,,,2,2,,13704,,Gemeente,Gewoon en buitengewoon en constructie,,,0.000398628757301517
90,1,,,,0.30000001,20,-1.37,-1.37,,9,,,,,,,,,1,KV.290-O1,,,,2,2,,13706,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000282323777026571
91,1,,,,0.80000001,20,,,,12,,,,Hasselterpand,,,,,1,SZ.15-O6,,,,2,2,,13701,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000388966128923527
92,1,,,,0.5,3,-1.17,-1.33,,18.799999,,,,,Onderleider,,,,1,O34,,,,2,,,10021,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000268086564980103
93,1,,,,0.30000001,20,10.58,10.58,,20.5,,,,Zuidwolder Waterlossing,Onderleider,,,,1,H3-2-52_AA_K12,,,,2,,,24,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000183247945122783
94,1,,,,0.80000001,3,-3.01,-3.5699999,,75,,2009,"2009-2 In de midden syphon -3,57",,Onderleider,,,,1,O24,,,,2,,,6821,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000923813365446382
95,1,,,,0.60000002,3,-3.3900001,-3.4300001,,52,,2009,2009-2,,Onderleider,,,,1,O23,,,,2,,,6820,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000727382690429049
96,1,,,,0.5,3,3.9400001,3.9400001,,4,,,,,Onderleider,,,,1,O-32_A_2,,,,2,,,40,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000279831386490118
97,1,,,,0.60000002,13,3.4200001,3.4400001,,27.5,,,Inlaatwerk HV3 202RM,Leeuwenveense Wetering,Onderleider,,,,1,H02-02-02_L_36,,,,2,1,,22,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000354793021939697
98,1,,,,1.2,3,10.6,10.6,,42,,2001,2003-2 Maten bestek Vastgesteld op: 29 juni 2004,,Onderleiders 3 stuks,,2003-2 Oude Diep Project,,1,BR-06_L_2,,,,2,,,96,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000351043896704077
99,1,,,,0.30000001,28,2.55,2.5,,14.6,5,,Betonnen bak met een Roestvrij stalende buis,,Onderleider,,,,1,O30,,,,2,,,14,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000237216116569743
100,1,,,,0.40000001,20,8.6499996,8.3599997,,28.9,,,van p naar l,,Onderleider,,,,1,NV-04-06_A_2,,,,2,,,37,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000387118797988624
101,1,,,,0.30000001,3,-1.78,-1.76,,15.2,,,,,Onderleider,,,,1,O13,,,,2,,,42,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000226586569199348
102,1,,,,1.25,3,4.0100002,3.9200001,,39.400002,,,Onderleider beton / ijzer,Grondduiker Weseper Vloedgraven (Hondeveld),,,In- en uitstroomvoorziening,,1,SW.90-O2,,,,2,2,,13711,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000677097611721008
103,1,,,,0.60000002,3,4.2199998,4.21,,33.150002,,,Onderleider staal,Grondduiker 9 Lichterswaterleiding,SW0333-SW0335-VV103,,in- en uitstroomvoorziening met krooshek,,1,SW.75.64-O103,,,,2,2,,13712,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000429965761300583
104,2,,-3.2,-3.2,0.89999998,3,,,,21.700001,,2011,C&C Inpassing plan Eeserwold,Eeserwold,Onderleider,,,Onderleider,1,O31,,,,2,,,9061,,Houder vergunning,Gewoon en buitengewoon en constructie,,,0.000303465303354191
105,2,3.25,,,3,3,-2.52,-2.3900001,,83.5,,,,,Onderleider,,,,1,O4,,,,2,,,7,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000758437042093811
106,1,,,,0.5,3,-4.1100001,-4.0999999,,101.5,,2014,,,Onderleider,,,,1,O40,,,,2,,,11942,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000931364454167632
107,2,1,,,1.5,3,0.02,0.02,,35,,,,,Onderleider,,,,1,NHV-04_2,,,,2,,,21,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),0.000282125242400031
108,1,,,,0.40000001,3,6.5,6.5,,58.5,,,,,Onderleider,,"Syphon is uitgevoerd met 2 putten van 1500 x 1500 mm en deze worden met putdeksels afgesloten.
2 putten aan weerszijden van de Oude Diep
",,1,O4-32-A-2,,,,2,,,44,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000531067847817269
109,2,1.35,,,3,3,9.1999998,9.1599998,,60,,,,,2 Onderleiders,,,,1,O21,,,,2,,,2436,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),0.000808385050934218
110,1,,,,0.30000001,11,0.18000001,0.18000001,,25,,2014,,,Onderleider,,,,1,O38,,,,2,,,11622,,Aangeland,Gewoon en buitengewoon en constructie,,,0.000258164957199109
111,1,0.69999999,-0.20999999,-0.34,0.69999999,13,-0.17,-0.28,,42.220001,,,,Onderleider Beverieten/Nijeslekerpolder Wold Aa,Onderleider,,,,1,2620-O,,,,2,,,3,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000434744615264999
112,1,,,,0.30000001,20,,,,,,,Syphon is dicht gemaakt,,,,,,1,KO.00-O2,,,,2,2,,16175,,Staatsbosbeheer,Gewoon en buitengewoon en constructie,,,0.000225456767968618
113,1,,-0.1,-0.1,0.30000001,20,,,,35.25,,,,,,,,,1,SW.50.16-O402,,,,2,2,,15231,,Waterschap,Gewoon en buitengewoon en constructie,,,0.00033967563487919
114,1,,,,0.5,13,1.17,1.17,-0.22,30.91,,2022,,,PE Onderleider onder Wapserveense Aa,,,,2,D2790,,,,2,,,89,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000277837268427197
115,1,,,,0.80000001,13,4.4400001,4.46,2.8399999,32,,,,,Onderleider,,"Reactie Sander V.: Net even over gesproken, onderleider bovenloop Reest ( boven Dedemsvaart).
Onderleider is in 2016 vervangen, zou nu een rond 800mm moeten zijn en geen rond 700. Kan jij even checken hoe deze nu in het systeem staat, volgens mij moet dit nog aangepast worden. 
Ligt nu een kunststof buis 800mm met gladde binnenzijde.
",,1,O37,,,,2,,,11621,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000512132849093578
116,1,,,,0.5,3,0.41,0.41,,42.5,,,Onderleider Nieuwe Wetering,,,,,,1,SW.60.2-O106,,,,2,2,,13722,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000557724160956328
117,1,,,,1.25,11,3.46,3.5,,33.5,,,Onderleider ijzer,Grondduiker 11 Zandwetering,Zandwetering,,2 x inlaat,,1,SW.75-O100,,,,2,2,,13717,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000486242055458493
