nummer;gebied;onderwerp;aangemaakt;gewijzigd;buurt;geo_shape;locatie_ter_hoogte_van;wijkcode;stadsdeelcode_;wijknaam;stadsdeelnaam;geo_point_2d
990534837;7-Gestel;9.5 Bladafval;2018-11-30T11:39:00+00:00;2018-12-04T17:25:00+00:00;BU07721733;"{""coordinates"": [5.434608697435524, 51.41602160092736], ""type"": ""Point""}";Rooswijck 10;73;7;Wijk Gestelse Ontginning;Stadsdeel Gestel;51.41602160092736, 5.434608697435524
990535106;6-Strijp;7.1 Parkeeroverlast;2018-12-02T13:37:00+00:00;2018-12-04T19:10:00+00:00;BU07721635;"{""coordinates"": [5.402933662214544, 51.43679171613403], ""type"": ""Point""}";Waterwereld 70;63;6;Wijk Meerhoven;Stadsdeel Strijp;51.43679171613403, 5.402933662214544
990535638;5-Woensel-Noord 1;3.2 Dode dieren;2018-12-05T10:25:00+00:00;2018-12-13T14:21:00+00:00;BU07721531;"{""coordinates"": [5.460409411337565, 51.48286573978248], ""type"": ""Point""}";Vaalserbergweg 317;53;5;Wijk Aanschot;Stadsdeel Woensel-Noord;51.48286573978248, 5.460409411337565
990533969;5-Woensel-Noord 1;6.1 Illegale stort;2018-11-24T17:21:00+00:00;2018-12-13T14:21:00+00:00;BU07721521;"{""coordinates"": [5.432980244291992, 51.470112936373056], ""type"": ""Point""}";Jan Gielenlaan 34;52;5;Wijk Achtse Molen;Stadsdeel Woensel-Noord;51.470112936373056, 5.432980244291992
990535412;5-Woensel-Noord 1;12.1 Verkeersbord;2018-12-03T17:51:00+00:00;2018-12-13T14:21:00+00:00;BU07721511;"{""coordinates"": [5.4532012151741025, 51.4718168436534], ""type"": ""Point""}";Fakkellaan;51;5;Wijk Ontginning;Stadsdeel Woensel-Noord;51.4718168436534, 5.4532012151741025
990533967;5-Woensel-Noord 1;12.5 Afvalbakken;2018-11-24T17:08:00+00:00;2018-12-13T14:21:00+00:00;BU07721521;"{""coordinates"": [5.424477857526565, 51.47654106200628], ""type"": ""Point""}";Scheldestraat 4D;52;5;Wijk Achtse Molen;Stadsdeel Woensel-Noord;51.47654106200628, 5.424477857526565
990535380;5-Woensel-Noord 1;12.11 Overig;2018-12-03T15:45:00+00:00;2018-12-13T14:21:00+00:00;BU07721521;"{""coordinates"": [5.4284315324642165, 51.48162855692429], ""type"": ""Point""}";Vechtpad;52;5;Wijk Achtse Molen;Stadsdeel Woensel-Noord;51.48162855692429, 5.4284315324642165
990534361;5-Woensel-Noord 1;12.1 Verkeersbord;2018-11-27T13:18:00+00:00;2018-12-13T14:21:00+00:00;BU07721511;"{""coordinates"": [5.451420545921846, 51.472067287094326], ""type"": ""Point""}";Weisshorn 1;51;5;Wijk Ontginning;Stadsdeel Woensel-Noord;51.472067287094326, 5.451420545921846
990535708;5-Woensel-Noord 1;12.1 Verkeersbord;2018-12-05T14:55:00+00:00;2018-12-13T14:21:00+00:00;BU07721515;"{""coordinates"": [5.472334614044821, 51.46943764796537], ""type"": ""Point""}";Genovevalaan;51;5;Wijk Ontginning;Stadsdeel Woensel-Noord;51.46943764796537, 5.472334614044821
990460803;4-Woensel-Zuid;14.2 Tegels en klinkers;2017-10-24T11:16:00+00:00;2017-11-28T11:11:00+00:00;BU07721414;"{""coordinates"": [5.4804087740526635, 51.447658670268574], ""type"": ""Point""}";John F Kennedylaan 3B;41;4;Wijk Oud-Woensel;Stadsdeel Woensel-Zuid;51.447658670268574, 5.4804087740526635
990460808;7-Gestel;14.2 Tegels en klinkers;2017-10-24T11:33:00+00:00;2017-11-06T16:07:00+00:00;BU07721725;"{""coordinates"": [5.4488088255802944, 51.41759069809007], ""type"": ""Point""}";Kerkhoflaan;72;7;Wijk Oud-Gestel;Stadsdeel Gestel;51.41759069809007, 5.4488088255802944
990460812;4-Woensel-Zuid;12.7 Hekwerk;2017-10-24T11:42:00+00:00;2017-10-31T09:31:00+00:00;BU07721421;"{""coordinates"": [5.457189731556057, 51.45683236812964], ""type"": ""Point""}";Fultonplein;42;4;Wijk Erp;Stadsdeel Woensel-Zuid;51.45683236812964, 5.457189731556057
990460813;4-Woensel-Zuid;14.8 Fietspaden controleronde;2017-10-24T11:44:00+00:00;2017-11-16T14:50:00+00:00;BU07721432;"{""coordinates"": [5.484596750975786, 51.45416966202162], ""type"": ""Point""}";Hudsonlaan 354;43;4;Wijk Begijnenbroek;Stadsdeel Woensel-Zuid;51.45416966202162, 5.484596750975786
990534761;1-Centrum;6.1 Illegale stort;2018-11-29T18:36:00+00:00;2018-11-30T13:43:00+00:00;BU07721111;"{""coordinates"": [5.48117083132597, 51.43894667987315], ""type"": ""Point""}";Genderstraatje 29;11;1;Wijk Centrum;Stadsdeel Centrum;51.43894667987315, 5.48117083132597
990534701;1-Centrum;13.3 Overig;2018-11-29T12:55:00+00:00;2018-11-30T13:48:00+00:00;BU07721111;"{""coordinates"": [5.480920315236203, 51.44149437754617], ""type"": ""Point""}";Stationsplein 93;11;1;Wijk Centrum;Stadsdeel Centrum;51.44149437754617, 5.480920315236203
990534865;5-Woensel-Noord 1;6.1 Illegale stort;2018-11-30T13:40:00+00:00;2018-11-30T14:22:00+00:00;BU07721513;"{""coordinates"": [5.468162572498227, 51.474554643580134], ""type"": ""Point""}";Elckerlyclaan 95;51;5;Wijk Ontginning;Stadsdeel Woensel-Noord;51.474554643580134, 5.468162572498227
990534603;6-Strijp;6.1 Illegale stort;2018-11-28T16:40:00+00:00;2018-12-01T12:03:00+00:00;BU07721624;"{""coordinates"": [5.449875468870213, 51.44767248075677], ""type"": ""Point""}";Canadastraat 28;62;6;Wijk Halve Maan;Stadsdeel Strijp;51.44767248075677, 5.449875468870213
990534680;7-Gestel;7.1 Parkeeroverlast;2018-11-29T11:20:00+00:00;2018-12-01T12:05:00+00:00;BU07721731;"{""coordinates"": [5.4457901771590995, 51.42699649701714], ""type"": ""Point""}";Martin Luther Kingstraat 26;73;7;Wijk Gestelse Ontginning;Stadsdeel Gestel;51.42699649701714, 5.4457901771590995
990534540;4-Woensel-Zuid;7.1 Parkeeroverlast;2018-11-28T13:15:00+00:00;2018-12-01T12:05:00+00:00;BU07721414;"{""coordinates"": [5.4789818953558225, 51.44793355816951], ""type"": ""Point""}";Stevertsemolen 5;41;4;Wijk Oud-Woensel;Stadsdeel Woensel-Zuid;51.44793355816951, 5.4789818953558225
990534668;1-Centrum;6.1 Illegale stort;2018-11-29T10:40:00+00:00;2018-12-01T12:07:00+00:00;BU07721111;"{""coordinates"": [5.480103834400533, 51.437578681727175], ""type"": ""Point""}";Catharinaplein 7;11;1;Wijk Centrum;Stadsdeel Centrum;51.437578681727175, 5.480103834400533
990534297;5-Woensel-Noord 1;7.3 Hondenoverlast;2018-11-27T09:36:00+00:00;2018-12-01T12:10:00+00:00;BU07721523;"{""coordinates"": [5.439058452143886, 51.48649965198962], ""type"": ""Point""}";Heraultlaan;52;5;Wijk Achtse Molen;Stadsdeel Woensel-Noord;51.48649965198962, 5.439058452143886
990534111;4-Woensel-Zuid;7.11 Vergunningen;2018-11-26T09:50:00+00:00;2018-12-01T15:21:00+00:00;BU07721425;"{""coordinates"": [5.4707748475347024, 51.4621940569125], ""type"": ""Point""}";Joris Minnestraat 2;42;4;Wijk Erp;Stadsdeel Woensel-Zuid;51.4621940569125, 5.4707748475347024
990534537;3-Tongelre;7.2 Aanhangers of caravans;2018-11-28T13:05:00+00:00;2018-12-02T10:08:00+00:00;BU07721335;"{""coordinates"": [5.521530530605131, 51.44858265618995], ""type"": ""Point""}";Hageheldlaan 8;33;3;Wijk Oud-Tongelre;Stadsdeel Tongelre;51.44858265618995, 5.521530530605131
990534648;5-Woensel-Noord 1;7.1 Parkeeroverlast;2018-11-29T01:15:00+00:00;2018-12-02T18:27:00+00:00;BU07721513;"{""coordinates"": [5.469572590925833, 51.47198364633756], ""type"": ""Point""}";Waleweinstraat 25;51;5;Wijk Ontginning;Stadsdeel Woensel-Noord;51.47198364633756, 5.469572590925833
990534526;5-Woensel-Noord 1;7.2 Aanhangers of caravans;2018-11-28T12:40:00+00:00;2018-12-02T19:28:00+00:00;BU07721522;"{""coordinates"": [5.452067988602516, 51.48225964466237], ""type"": ""Point""}";Normandielaan 144;52;5;Wijk Achtse Molen;Stadsdeel Woensel-Noord;51.48225964466237, 5.452067988602516
990535565;4-Woensel-Zuid;9.3 Zwerfvuil;2018-12-04T16:56:00+00:00;2018-12-05T09:13:00+00:00;BU07721422;"{""coordinates"": [5.47038350505526, 51.452738267566765], ""type"": ""Point""}";Kronehoefstraat 10;42;4;Wijk Erp;Stadsdeel Woensel-Zuid;51.452738267566765, 5.47038350505526
990535568;1-Centrum;1.3 Ondergrondse afvalcontainer;2018-12-04T17:06:00+00:00;2018-12-05T09:52:00+00:00;BU07721111;"{""coordinates"": [5.481861835884355, 51.43859867994733], ""type"": ""Point""}";Genderstraatje;11;1;Wijk Centrum;Stadsdeel Centrum;51.43859867994733, 5.481861835884355
990534304;4-Woensel-Zuid;6.1 Illegale stort;2018-11-27T09:59:00+00:00;2018-12-05T09:53:00+00:00;BU07721421;"{""coordinates"": [5.456074647825747, 51.45388367190331], ""type"": ""Point""}";Stephensonstraat 35A;42;4;Wijk Erp;Stadsdeel Woensel-Zuid;51.45388367190331, 5.456074647825747
990534105;4 - Woensel-Zuid;3.2 Dode dieren;2018-11-26T09:32:00+00:00;2018-12-05T09:53:00+00:00;BU07721516;"{""coordinates"": [5.487311170601233, 51.47037614262171], ""type"": ""Point""}";John F Kennedylaan;51;5;Wijk Ontginning;Stadsdeel Woensel-Noord;51.47037614262171, 5.487311170601233
990534721;4-Woensel-Zuid;14.2 Tegels en klinkers;2018-11-29T14:59:00+00:00;2018-12-05T09:53:00+00:00;BU07721114;"{""coordinates"": [5.480122965928643, 51.44569914643798], ""type"": ""Point""}";John F Kennedylaan;11;1;Wijk Centrum;Stadsdeel Centrum;51.44569914643798, 5.480122965928643
