Leverancier;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Challenge Team;;;1;;;;;;1
Choco-Paradijs;;;1;;;;;;1
Ciao! Ciao! B.V.;;;1;;;;;;1
CIBIT Adviseurs/Opleiders;;;;;1;;;;1
CiEP Personal Quality and Results B.V.;;;;;2;;;;2
CIFAL Flanders;;;;;1;;;;1
Cimsolutions;5;;;;;;;;5
CISO Masterclass B.V.;;;;;1;;;;1
Cloose;;;1;;;;;;1
Clubsound;;;1;;;;;;1
CMMC B.V.;;;;;1;;;;1
CN Trading;;;1;;;;;;1
CNV Jongeren;;;;;1;;;;1
Coachboulevard B.V.;;;;;2;;;;2
Coffee and Coaching;;;;;1;;;;1
Cogiton Group;;;;;;;;1;1
Communicatiebureau De Walvis;;;;;1;;;;1
Community Insight Group PTE LTD;;;;;1;;;;1
Compabox B.V.;;;1;;;;;;1
COMPAREX Nederland B.V.;;;;;3;;;;3
Computrain Opleidingen;;;;;1;;;;1
Conducto Opleidingen B.V.;;;;;2;;;;2
Coniche Business School;;;;;1;;;;1
Consonant Coaching & Training;;;;;1;;;;1
Consultancy by Stefan;;;;;1;;;;1
Consumentenbond;;;;;1;;;;1
Continental Bakeries (Haust) B.V.;;;1;;;;;;1
Conveno B.V.;;;;;2;;;;2
Coöperatie ACS partners U.A.;;;;;1;;;;1
Coöperatie De Betekenaar U.A.;;;;;1;;;;1
Coöperatie Hoeve Biesland B.A.;;;1;;;;;;1
Coosto B.V.;;;;;1;;;;1
Copla Opleiding & Training B.V.;;;;;2;;;;2
Cornalien Stolker Coaching & Consultancy;;;;;1;;;;1
Corner-Stone Marketing&Sales Programmes B.V.;;;;;1;;;;1
Corporate Communication Centre B.V.;;;;;1;;;;1
COT Inst. voor Veil.h.- & Crisismanagem. B.V.;;;;;1;;;;1
Creatief Centrum Inside Out voor bewustwording en inspiratie;;;;;1;;;;1
crmLiNK B.V.;;;;;1;;;;1
Cross Media Nederland B.V.;;;;;1;;;;1
Crux Creaties;;;;;1;;;;1
CS Trainingen en Opleidingen B.V.;;;;;1;;;;1
Curilion B.V.;;1;;;;;;;1
D.H.T.C. Den Helder Training Centre B.V.;;;;;1;;;;1
Daalman Train. Adv. & Organis.ontwikkel. B.V.;;;;;1;;;;1
DALAS;;;;;;;;1;1
Darel Consultancy B.V.;;;;;;;;1;1
DAREL Education B.V.;;;;;1;;;;1
De Academy B.V.;;;;;1;;;;1
De Auditu;;;;;1;;;;1
De Baak Administratie;;;;;3;;;;3
De Baak B.V.;;;;;3;;;;3
De Baak Noordwijk B.V.;;;;;;;;1;1
De Bierelier B.V.;;;1;;;;;;1
De Boerinn B.V.;;;1;;;;;1;1
De Borrel B.V.;;;1;;;;;;1
De Buurtboer Aan Huis B.V.;;;1;;;;;;1
De Clinge;;;1;;;;;;1
De Dwarsdenkerij;;;;;1;;;;1
De Feed Fabriek;;;1;;;;;;1
de galan school voor training;;;;;1;;;;1
De Goesting;;;1;;;;;;1
De Grachthof B.V.;;;1;;;;;;1
De Heeren Hofsteenge;;;1;;;;;;1
De Hip;;;1;;;;;;1
De Hoeve van Nunspeet B.V.;;;1;;;;;;1
De HSP-coach;;1;;;;;;;1
De Investeringsmaatschappij B.V.;;;;;2;;;;2
De Klerk Pr. v. adem-/ontsp.ther./ zangpedag.;;1;;;;;;;1
De Knegt & Leeflang B.V.;;;1;;;;;;1
De Kookfabriek Utrecht B.V.;;;1;;;;;;1
de l'Association des Instituts Européens de Conjoncture Economique (AIECE);;;;;1;;;;1
De Librije B.V.;;;1;;;;;;1
De Moor Tekst & Uitleg;;;;;2;;;;2
De Nieuwe Pelgrim;;;1;;;;;;1
De Nineties';;;1;;;;;;1
De Nonnen in Vught;;;;;2;;;;2
De Onderstroom Karin Brugman;;;;;1;;;;1
De Oude Bibliotheek B.V.;;;;;1;;;;1
De Overburen;;;1;;;;;;1
De Pier Horeca B.V.;;;2;;;;;;2
De Poort van Assen;;;1;;;;;;1
De Prael den haag;;;1;;;;;;1
De Presentatie Architect B.V.;;;;;1;;;;1
De Quiz B.V.;;;1;;;;;;1
De Roos Geschenken B.V.;;;2;1;;;;;2
De School voor Transitie;;;;;1;;;;1
De Staffing Groep Nederland B.V.;5;;;;;;;;5
De Stappencoach;;1;;;;;;;1
De Succesvolle Introvert;;;;;1;;;;1
De Toezichtsfluisteraar;;;;;1;;;;1
De Tombe Consultancy B.V.;;;;;2;;;;2
De Uurwerker;;;1;;;;;;1
De Veldkeuken Restaurant B.V.;;;;;;;;1;1
De Voort Advocaten - Mediators;1;;;;;;;;1
De Werkschuur loopbaanbegeleiding en coaching;;1;;;;;;;1
De Winkel van Sinkel B.V.;;;;;;;;1;1
De Witte Vosch B.V.;;;1;;;;;;1
DEKRA Certification B.V.;;;;;1;;;;1
Dekxels B.V.;;;1;;;;;;1
deLex Media en Management B.V.;;;;;1;;;;1
Delft Congress Support B.V.;;;;;1;;;1;1
Delftechniek;;1;;;;;;;1
Deloitte Accountants;;;;;1;;;;1
Deloitte Consulting B.V.;2;;;;2;;;;2
Deloitte Risk Advisory B.V.;4;;;;;;;;4
Delphi Mindconnection B.V.;;;;;1;;;;1
Deltalinqs Training & Services B.V.;;;;;1;;;;1
Denk Producties B.V.;;;;;1;;;;1
Depasse Organisatie & Informatie;;;;;1;;;;1
Depaus Interim, Consultancy & Training B.V.;;;;;1;;;;1
Der Bierkeller;;;1;;;;;;1
Detron Communication Solutions;;;;;1;;;;1
de-vent.nl;;;;;1;;;;1
Didactive B.V.;;;;;1;;;;1
Didgames;;;1;;;;;;1
Dijkstra;;;1;;;;;;1
Diner café Norgerhout;;;1;;;;;;1
Diner Thuis;;;1;;;;;;1
DIOR Opleidingen;;;;;1;;;;1
Direct Dutch B.V.;;;;;1;;;;1
Direction Briefings for Business Leaders;;;;;1;;;;1
Dirksen Opleidingen B.V.;;;;;1;;;;1
DiVers Lekker & Gezond;;;1;;;;;;1
Djihn Personal and Team Development B.V.;;;;;1;;;;1
DNV GL Business Assurance B.V.;;;;;2;;;;2
donkergroen;;;1;;;;;;1
Dopper;;;1;;;;;;1
Dorenbos Vervoer Management B.V.;;;;;;;;1;1
Dot Connectors;;;;;1;;;;1
Double Healix Leadership Edu. And Dev B.V.;;;;;1;;;;1
DPA Legal Services B.V.;5;;;;;;;;5
DPG Media B.V.;;;1;;1;;;;1
Dr. Banket B.V.;;;1;;;;;1;1
Driessen B.V.;4;;;;;;;1;4
Drone Education Centre B.V.;;;;;1;;;;1
DRTC Groningen B.V.;;;;;1;;;;1
Drukkerij Excelsior B.V.;;;1;;;;;;1
Dudok Den Haag B.V.;;;1;;;;;;1
Dudok Rijnstraat B.V.;;;1;;;;;;1
Dukers & Baelemans Opleiding en Advies B.V.;;;;;2;;;;2
Dutch Research Institute for Transitions B.V.;;;;;1;;;;1
Dutch Sino Business Promotions;;;;;;;;1;1
Duurzaam Gebouwd B.V.;;;;;1;;;;1
Duwtje B.V.;;;1;;2;;;;2
Ebbinge B.V.;;;;2;;;;;2
EBD GmbH;;;;;;;;1;1
Ecologica B.V.;;;;;1;;;;1
Eelco Baak Life Coaching;;;;;1;;;;1
Eetcafé by JenJ;;;1;;;;;;1
Effectivents;;;;;1;;;1;1
Elastic N.V.;;;;;2;;;;2
Ellen Pennings Backoffice;;;;;1;;;;1
Elycio Talen B.V.;;;;;4;;;;4
Elycio Vertalers;;;;;1;;;;1
EM2;;;1;;;;;;1
EMMA Communicatie B.V.;;;;1;;;;;1
Empowering All;;;;;1;;;;1
En nu online;;;;;2;;;;2
Enact Sustainable Strategies B.V.;;;;;;;;1;1
Energeia B.V.;;;;;1;;;1;1
Energy Delta Institute B.V.;;;;;3;;;;3
Engagement Media B.V.;;;;;2;;;;2
Enjoy - cakes;;;1;;;;;;1
Enterprise Summit B.V.;;;;;1;;;1;1
Entopic B.V.;;;;;;;;1;1
ERA;;;;;1;;;;1
Ergatis B.V.;;2;1;;;;;;2
Erna de Vries, psychologische counseling & coaching;;;;;1;;;;1
Escaping NL B.V.;;;1;;;;;;1
Esri Nederland;;;;;1;;;;1
Eten bij Werelds;;;1;;;;;;1
Etop;;1;;;1;;;;1
Eufores;;;;;;;1;;1
EURIB/Europ. Instit. for Brand Managem. B.V.;;;;;1;;;;1
Euroforum;;;;;2;;;1;2
European Academy for Taxes, Economics & Law Brauner Klingenberg GmbH;;;;;;;;1;1
Evangelische Gemeente Ten Boer;;;1;;;;;1;1
Event@Home Box;;;1;;;;;;1
EVO Fenedex;;;;;2;;;;2
evofenedex;;;;;;;1;;1
Expat Preventive Training B.V.;;;;;2;;;;2
expertcoach;;;;;1;;;;1
Expl. Maatsch. De Nieuwe Poort Rotterdam B.V.;;;1;;;;;;1
Exploitatiemy. De Poort van Leyden B.V.;;;1;;;;;;1
EXPO 66 B.V.;;;1;;;;;;1
EXTERUS B.V.;;;;1;;;;;1
F.L.A.I.R. Scholingstrajecten;;;;;1;;;;1
Falke & Verbaan B.V.;;2;;;2;;;;2
Famous Flavours B.V.;;;1;;;;;1;1
Fast Lane Benelux B.V.;;;;;2;;;;2
FDI Consulting Services GmbH;;;;;1;;;;1
Feithhuis Exploitatie B.V.;;;1;;;;;;1
Felicivin B.V.;;;1;;;;;;1
Fico Urban Italian;;;1;;;;;;1
Figi;;;1;;;;;;1
Fine Food Lung Fung;;;1;;;;;;1
Fire and Medical Training Centre B.V.;;;;;1;;;;1
Firebrand Training BeNeLux B.V.;;;;;1;;;;1
Firm Ground;;;;;1;;;;1
Firma Hof der Muzen;;;1;;;;;;1
First 1 Bedrijfsfitness B.V.;;2;;;;;;;2
Fitbox B.V.;;;1;;;;;;1
FitnessStoffering.nl;;;1;;;;;;1
Fleurettes Creation & Decoration;;;1;;;;;;1
Flitz-Events;;;1;;;;;;1
FMTC Holding B.V.;;;;;1;;;;1
Focus Academy;;;;;1;;;;1
Focus op Tekst;;;;;2;;;;2
FonVis B.V.;;;1;;;;;;1
Fopma Coaching;;;;;1;;;;1
Forzes;;;;;3;;;;3
Fox-IT Group;;;;;1;;;;1
Frame B.V.;;;;;1;;;;1
Franglaise;;;1;;;;;;1
Frank Schaper;;;;;1;;;;1
Frankfurt School of Finance & Management gGmbH;;;;;1;;;;1
Frankwatching B.V.;;;;;1;;;;1
FREZON;;;1;;;;;;1
Frieda de Vries;;;;;1;;;;1
Frisse Blikken ondernemen met talent B.V.;;;;;;;;2;2
Fruitful Office Benelux;;;1;;;;;;1
Fundustry B.V.;;;1;;;;;;1
G4S Training & Safety B.V.;;;;;2;;;;2
Gaaf Events;;;1;;;;;;1
Game Events B.V.;;;1;;;;;;1
Garnwerd aan Zee B.V.;;;1;;;;;;1
Gartner Ireland Ltd;;;;;1;;;;1
Gartner Nederland B.V.;;;;;2;;;;2
Gartner U.K. Limited;;;;;1;;;;1
Gasterij 't Karrewiel B.V.;;;1;;;;;;1
Gebr. Barendsen B.V.;;;1;;;;;;1
Geerteke van Lierop;;;;;1;;;;1
Geertsen Consultancy;;;;;1;;;;1
Geluks B.V.;;;1;;;;;;1
GeoICT Opleidingen B.V.;;;;;1;;;;1
Geschenk met Verhaal B.V.;;;3;;;;;;3
Get Events B.V.;;;1;;;;;;1
GetTheLaughFlow;;;;;1;;;;1
GIANT Health Event Ltd;;;;;;;;1;1
Gifts to Connect;;;1;;;;;;1
Gispen Groningen;;1;;;;;;;1
GITP B.V.;;;;;1;;;;1
GITP Breda;;;;;1;;;;1
GITP Training & Opleiding B.V.;;;;;1;;;;1
Global Knowledge Network Netherlands B.V.;;;;;2;;;;2
Glope Events B.V.;;;1;;;;;;1
Go B.V.;;;;;2;;;;2
Good Conditions B.V.;;1;;;;;;;1
Good! B.V.;;;;;;;;1;1
GoodHabitz Netherlands B.V.;;;;;2;;;;2
Gooiconsult Academie B.V.;;;;;2;;;;2
Gouds Kaashuis;;;1;;;;;;1
GrachtenAtelier;;;1;;;;;;1
GradusGroep B.V.;;;;;;;;1;1
Gran Mercado B.V.;;;1;;;;;;1
Grand Cafe Lubeck;;;1;;;;;;1
Grand Café 't Wapen B.V.;;;1;;;;;;1
Grand Central Food Market B.V.;;;1;;;;;;1
Grandcafé 1837;;;1;;;;;;1
Grandcafé De Wens B.V.;;;1;;;1;;;1
Granny's Corner;;;1;;;;;;1
Green Power Conferences Limited;;;;;1;;;;1
Greens in the Park B.V.;;;1;;;;;;1
Gresnigt & Van Kippersluis Advocaten;;;;;;;;1;1
Grondleggers;;;1;;;;;;1
Growth Tribe B.V.;;;;;1;;;;1
Gusto Mangia e Bevi;;;1;;;;;;1
H.A.E. Ali h.o.d.n. New York Pizza Den Haag Centrum;;;1;;;;;;1
Haas & Popi B.V.;;;1;;;;;;1
HabiTask B.V.;;;;;1;;;;1
Handboogvereniging Nimrod;;;1;;;;;;1
Hapjes aan Huis B.V.;;;1;;;;;;1
Happy Meat B.V.;;;1;;;;;;1
Haptotherapiepraktijk De Ruimte;;1;;;;;;;1
Harbour Café B.V.;;;1;;;;;;1
Harriet Aans;;;;;1;;;;1
Hart Beach B.V.;;;1;;;;;;1
Hartelijk Gefaciliteerd;;;;;2;;;;2
HE Den Haag B.V.;;;1;;;;;4;4
HeadFirst B.V.;3;;;;;;;;3
Health2Work B.V.;;1;;;;;;;1
Heeredwinger Advies;;;;;1;;;;1
Heerlijk Chocolade;;;1;;;;;;1
Helder Werk B.V.;;1;;;;;;;1
HEMA B.V.;;;1;;;;;;1
Henriëtte van Dueren den Hollander;;;;;1;;;;1
Hermitage (Amsterdam);;;1;;;;;;1
Hersenstichting Nederland;;;;;1;;;;1
Hesbak 2 B.V.;;;1;;;;;;1
Het Branche Bureau B.V.;;;;;1;;;;1
Het Drents Kwartiertje;;;1;;2;;;;2
Het Kaaswinkeltje 'De Lachende Koe';;;1;;;;;;1
Het Kookplein;;;2;;;;;;2
Het Ned. Instit. voor Verkeersveiligheid B.V.;;;;;1;;;;1
Het Nederl.talig Buisleiding Industrie Gilde;;;;;1;;;;1
Het NIC B.V.;;;;;1;;;;1
Het Pleidooi;;;1;;;1;;1;1
Het Rieten Dak;;;1;;;;;;1
Het Strandhuis Milligerplas B.V.;;;1;;;;;;1
Het Zuiderlicht Managementadviseurs B.V.;;;;;1;;;;1
Hoezo Projectmanagement&Congresorganisatie BV;;;;;;;1;;1
Hogeschool Beeckestijn B.V.;;;;;1;;;;1
Hogeschool NOVI B.V.;;;;;2;;;;2
Hogeschool Schoevers;;;;;1;;;;1
Holding Beheermaatschappij Ropeni B.V.;1;;1;;;;;;1
Holland Evenementen Groep B.V.;;;1;;;;;;1
Hollandse Nieuwe B.V.;;;;;1;;;;1
Home food & drinks;;;1;;;;;;1
Horeca Exploitatie Maatschappij Berlage B.V.;;;1;;;;;;1
Horses Know Grammar;;;1;;;;;;1
Hotel De Jonge Exploitatie B.V.;;;1;;;;;;1
Hotel Ekamper B.V.;;;;;1;;;;1
Hotel Exploitatie Kerckebosch B.V.;;;;;;;;1;1
Hotel New York B.V.;;;1;;;;;;1
Hotel Vianen B.V.;;;1;;;;;;1
Hotel/Restaurant Corona;;;;;1;;;;1
Hotel-Café-Restaurant 'Zwolle' B.V.;;;;;;;;1;1
Hotelschool The Hague;;;1;;;;;;1
Houtsma Agro Consultancy;;;;;;;;1;1
how2ask;;;;;1;;;;1
HSK Interventie B.V.;;1;;;1;;;;1
HSP coach Maaike;;;;;1;;;;1
Huis van Verbeelding B.V.;;;;;1;;;;1
Humphrey's Utrecht B.V.;;;1;;;;;;1
Hunter Alpha B.V.;;;;2;;;;;2
Hyphen Projects B.V.;;;;;;;;1;1
HZ / HZ University of Applied Sciences;;;;;1;;;;1
ICC Ned., Ond. v. ICC, The World Bus. Organ.;;;;;;;;1;1
ICM Administratie B.V.;;;;;1;;;;1
ICM Opleidingen & Trainingen B.V.;;;;;2;;;;2
ICTRecht B.V.;;;;;2;;;;2
ID Ware International B.V.;;;1;;;;;;1
Ilona Boomsma;;;;;2;;;;2
IMK Opleidingen B.V.;;;;;1;;;;1
Impact Company;;;;;1;;;;1
Impact Hub Development Co.LTD;;;;;;;;1;1
IMPAHLA B.V.;;;;;2;;;;2
Improven B.V.;4;;;;;;;;4
Impulsus, Support & Facilities B.V.;;;;;2;;;;2
In Touch Women Resource Management B.V.;;;;;1;;;;1
Inbrain B.V.;;;;;1;;;;1
Independent Regulators Group IRG;;;;;2;;;;2
Indiaas Restaurant Taj Mahal;;;1;;;;;;1
Indoor Ski Centrum Leenman Zwolle B.V.;;;1;;;;;;1
Industrielinqs Pers en Platform B.V.;;;;;;;;1;1
Informa Connect Limited;;;;;2;;;;2
Information Security Academy B.V.;;;;;1;;;;1
Ingrid van den Bosch Coaching;;;;;1;;;;1
InkoopAcademie B.V.;;;;;1;;;;1
Innermove Consult., Coach. & Procesbegeleid.;;;;;1;;;;1
InnoValor B.V.;;;;;2;;;;2
Innovero Software Solutions B.V.;;;;;1;;;;1
Inside-Out;;;;;2;;;;2
InsightsWorld B.V.;;;;;1;;;;1
Institute of Animal Technology;;;;;1;;;;1
Instituut van Internal Auditors Nederland;;;;;1;;;;1
Instituut Voor Vitaal Ondernemen B.V.;;;1;;;;;;1
Instock Den Haag;;;1;;;;;;1
Int. Knowledge & Networking (IKN) B.V.;;;;;1;;;;1
International Anti Crime Academy B.V.;;;;;1;;;;1
International Training Centre;;;;;1;;;;1
Intrac;;;;;1;;;;1
Inzicht Bureau voor Coaching en Communicatie;;;;;1;;;;1
