FID,bladnr,se_anno_cad_data,gdb_geomattr_data,shape
dtb_kaartbladen.47,d19bz,,,"POLYGON ((120000 512500, 110000 512500, 110000 518750, 120000 518750, 120000 512500))"
dtb_kaartbladen.48,d19fz,,,"POLYGON ((140000 512500, 130000 512500, 130000 518750, 140000 518750, 140000 512500))"
dtb_kaartbladen.49,d19ez,,,"POLYGON ((130000 512500, 120000 512500, 120000 518750, 130000 518750, 130000 512500))"
dtb_kaartbladen.50,d20az,,,"POLYGON ((150000 512500, 140000 512500, 140000 518750, 150000 518750, 150000 512500))"
dtb_kaartbladen.51,d20bz,,,"POLYGON ((160000 512500, 150000 512500, 150000 518750, 160000 518750, 160000 512500))"
dtb_kaartbladen.52,d20fz,,,"POLYGON ((170000 512500, 168000 512500, 168000 518750, 180000 518750, 180000 512500, 170000 512500))"
dtb_kaartbladen.53,d21az,,,"POLYGON ((190000 512500, 180000 512500, 180000 518750, 190000 518750, 190000 512500))"
dtb_kaartbladen.54,d21bz,,,"POLYGON ((200000 512500, 190000 512500, 190000 518750, 200000 518750, 200000 512500))"
dtb_kaartbladen.55,d21ez,,,"POLYGON ((210000 512500, 200000 512500, 200000 518750, 210000 518750, 210000 512500))"
dtb_kaartbladen.56,d21fz,,,"POLYGON ((220000 512500, 210000 512500, 210000 518750, 220000 518750, 220000 512500))"
dtb_kaartbladen.57,d22az,,,"POLYGON ((230000 512500, 220000 512500, 220000 518750, 230000 518750, 230000 512500))"
dtb_kaartbladen.58,d22bz,,,"POLYGON ((240000 512500, 230000 512500, 230000 518750, 240000 518750, 240000 512500))"
dtb_kaartbladen.59,d22ez,,,"POLYGON ((250000 512500, 240000 512500, 240000 518750, 250000 518750, 250000 517500, 250000 512500))"
dtb_kaartbladen.60,d19cn,,,"POLYGON ((110000 506250, 100000 506250, 100000 512500, 110000 512500, 110000 506250))"
dtb_kaartbladen.61,d19dn,,,"POLYGON ((120000 506250, 110000 506250, 110000 512500, 120000 512500, 120000 506250))"
dtb_kaartbladen.62,d19gn,,,"POLYGON ((130000 506250, 120000 506250, 120000 512500, 130000 512500, 130000 506250))"
dtb_kaartbladen.63,d19hn,,,"POLYGON ((140000 506250, 130000 506250, 130000 512500, 140000 512500, 140000 506250))"
dtb_kaartbladen.64,d20dn,,,"POLYGON ((160000 506250, 150000 506250, 150000 512500, 160000 512500, 160000 506250))"
dtb_kaartbladen.65,d20gn,,,"POLYGON ((170000 506250, 160000 506250, 160000 512500, 168000 512500, 170000 512500, 170000 506250))"
dtb_kaartbladen.66,d20hn,,,"POLYGON ((180000 506250, 170000 506250, 170000 512500, 180000 512500, 180000 506250))"
dtb_kaartbladen.67,d21cn,,,"POLYGON ((190000 506250, 180000 506250, 180000 512500, 190000 512500, 190000 506250))"
dtb_kaartbladen.68,d21dn,,,"POLYGON ((200000 506250, 190000 506250, 190000 512500, 200000 512500, 200000 506250))"
dtb_kaartbladen.69,d21gn,,,"POLYGON ((210000 506250, 200000 506250, 200000 512500, 210000 512500, 210000 506250))"
dtb_kaartbladen.70,d21hn,,,"POLYGON ((220000 506250, 210000 506250, 210000 512500, 220000 512500, 220000 506250))"
dtb_kaartbladen.71,d22cn,,,"POLYGON ((230000 506250, 220000 506250, 220000 512500, 230000 512500, 230000 506250))"
dtb_kaartbladen.72,d22dn,,,"POLYGON ((240000 506250, 230000 506250, 230000 512500, 240000 512500, 240000 506250))"
dtb_kaartbladen.73,d22gn,,,"POLYGON ((250000 506250, 240000 506250, 240000 512500, 250000 512500, 250000 506250))"
dtb_kaartbladen.74,d19cz,,,"POLYGON ((110000 500000, 100000 500000, 100000 506250, 110000 506250, 110000 500000))"
dtb_kaartbladen.75,d19gz,,,"POLYGON ((130000 500000, 120000 500000, 120000 506250, 130000 506250, 130000 500000))"
dtb_kaartbladen.76,d19hz,,,"POLYGON ((140000 500000, 130000 500000, 130000 506250, 140000 506250, 140000 500000))"
dtb_kaartbladen.77,d20dz,,,"POLYGON ((160000 500000, 150000 500000, 150000 506250, 160000 506250, 160000 500000))"
dtb_kaartbladen.78,d20gz,,,"POLYGON ((170000 500000, 160000 500000, 160000 506250, 170000 506250, 170000 500000))"
dtb_kaartbladen.79,d21cz,,,"POLYGON ((190000 500000, 180000 500000, 180000 506250, 190000 506250, 190000 500000))"
dtb_kaartbladen.80,d21dz,,,"POLYGON ((200000 500000, 190000 500000, 190000 506250, 200000 506250, 200000 500000))"
dtb_kaartbladen.81,d21gz,,,"POLYGON ((210000 500000, 200000 500000, 200000 506250, 210000 506250, 210000 500000))"
dtb_kaartbladen.82,d21hz,,,"POLYGON ((220000 500000, 210000 500000, 210000 506250, 220000 506250, 220000 500000))"
dtb_kaartbladen.83,d22cz,,,"POLYGON ((230000 500000, 220000 500000, 220000 506250, 230000 506250, 230000 500000))"
dtb_kaartbladen.84,d22dz,,,"POLYGON ((240000 500000, 230000 500000, 230000 506250, 240000 506250, 240000 500000))"
dtb_kaartbladen.85,d24fn,,,"POLYGON ((100000 493750, 95500 493750, 95500 500000, 100000 500000, 100000 493750))"
dtb_kaartbladen.86,d25an,,,"POLYGON ((110000 493750, 100000 493750, 100000 500000, 110000 500000, 110000 493750))"
dtb_kaartbladen.87,d25bn,,,"POLYGON ((120000 493750, 110000 493750, 110000 500000, 120000 500000, 120000 493750))"
dtb_kaartbladen.88,d25en,,,"POLYGON ((130000 493750, 120000 493750, 120000 500000, 130000 500000, 130000 493750))"
dtb_kaartbladen.89,d25fn,,,"POLYGON ((140000 493750, 130000 493750, 130000 500000, 140000 500000, 140000 493750))"
dtb_kaartbladen.90,d26an,,,"POLYGON ((150000 493750, 140000 493750, 140000 500000, 150000 500000, 150000 493750))"
dtb_kaartbladen.91,d26bn,,,"POLYGON ((160000 493750, 150000 493750, 150000 500000, 160000 500000, 160000 493750))"
dtb_kaartbladen.92,d26en,,,"POLYGON ((170000 493750, 160000 493750, 160000 500000, 170000 500000, 170000 493750))"
dtb_kaartbladen.93,d27an,,,"POLYGON ((190000 493750, 180000 493750, 180000 500000, 190000 500000, 190000 493750))"
dtb_kaartbladen.94,d27bn,,,"POLYGON ((200000 493750, 190000 493750, 190000 500000, 200000 500000, 200000 493750))"
dtb_kaartbladen.95,d27en,,,"POLYGON ((210000 493750, 200000 493750, 200000 500000, 210000 500000, 210000 493750))"
dtb_kaartbladen.96,d27fn,,,"POLYGON ((220000 493750, 210000 493750, 210000 500000, 220000 500000, 220000 493750))"
dtb_kaartbladen.97,d28bn,,,"POLYGON ((240000 493750, 230000 493750, 230000 500000, 240000 500000, 240000 493750))"
dtb_kaartbladen.98,d25az,,,"POLYGON ((110000 487500, 100000 487500, 100000 493750, 110000 493750, 110000 487500))"
dtb_kaartbladen.99,d25bz,,,"POLYGON ((120000 487500, 110000 487500, 110000 493750, 120000 493750, 120000 487500))"
dtb_kaartbladen.100,d25ez,,,"POLYGON ((130000 487500, 120000 487500, 120000 493750, 130000 493750, 130000 487500))"
dtb_kaartbladen.101,d25fz,,,"POLYGON ((140000 487500, 130000 487500, 130000 493750, 140000 493750, 140000 487500))"
dtb_kaartbladen.102,d26az,,,"POLYGON ((150000 487500, 140000 487500, 140000 493750, 150000 493750, 150000 487500))"
dtb_kaartbladen.103,d26bz,,,"POLYGON ((160000 487500, 150000 487500, 150000 493750, 160000 493750, 160000 487500))"
dtb_kaartbladen.104,d26fz,,,"POLYGON ((180000 487500, 170000 487500, 170000 493750, 180000 493750, 180000 487500))"
dtb_kaartbladen.105,d27az,,,"POLYGON ((190000 487500, 180000 487500, 180000 493750, 190000 493750, 190000 487500))"
dtb_kaartbladen.106,d27bz,,,"POLYGON ((200000 487500, 190000 487500, 190000 493750, 200000 493750, 200000 487500))"
dtb_kaartbladen.107,d27ez,,,"POLYGON ((210000 487500, 200000 487500, 200000 493750, 210000 493750, 210000 487500))"
dtb_kaartbladen.108,d27fz,,,"POLYGON ((220000 487500, 210000 487500, 210000 493750, 220000 493750, 220000 487500))"
dtb_kaartbladen.109,d28az,,,"POLYGON ((230000 487500, 220000 487500, 220000 493750, 230000 493750, 230000 487500))"
dtb_kaartbladen.110,d28bz,,,"POLYGON ((240000 487500, 230000 487500, 230000 493750, 240000 493750, 240000 487500))"
dtb_kaartbladen.111,d28ez,,,"POLYGON ((250000 487500, 240000 487500, 240000 493750, 250000 493750, 250000 487500))"
dtb_kaartbladen.112,d25cn,,,"POLYGON ((110000 481250, 100000 481250, 100000 487500, 110000 487500, 110000 481250))"
dtb_kaartbladen.113,d25dn,,,"POLYGON ((120000 481250, 110000 481250, 110000 487500, 120000 487500, 120000 481250))"
dtb_kaartbladen.114,d25gn,,,"POLYGON ((130000 481250, 120000 481250, 120000 487500, 130000 487500, 130000 481250))"
dtb_kaartbladen.115,d25hn,,,"POLYGON ((140000 481250, 130000 481250, 130000 487500, 140000 487500, 140000 481250))"
dtb_kaartbladen.116,d26cn,,,"POLYGON ((150000 481250, 140000 481250, 140000 487500, 150000 487500, 150000 481250))"
dtb_kaartbladen.117,d26dn,,,"POLYGON ((160000 481250, 150000 481250, 150000 487500, 160000 487500, 160000 481250))"
dtb_kaartbladen.118,d26gn,,,"POLYGON ((170000 481250, 160000 481250, 160000 487500, 170000 487500, 170000 481250))"
dtb_kaartbladen.119,d26hn,,,"POLYGON ((180000 481250, 170000 481250, 170000 487500, 180000 487500, 180000 481250))"
dtb_kaartbladen.120,d27cn,,,"POLYGON ((190000 481250, 180000 481250, 180000 487500, 190000 487500, 190000 481250))"
dtb_kaartbladen.121,d27dn,,,"POLYGON ((200000 481250, 190000 481250, 190000 487500, 200000 487500, 200000 481250))"
dtb_kaartbladen.122,d27gn,,,"POLYGON ((210000 481250, 200000 481250, 200000 487500, 210000 487500, 210000 481250))"
dtb_kaartbladen.123,d28cn,,,"POLYGON ((230000 481250, 220000 481250, 220000 487500, 230000 487500, 230000 481250))"
dtb_kaartbladen.124,d28dn,,,"POLYGON ((240000 481250, 230000 481250, 230000 487500, 240000 487500, 240000 481250))"
dtb_kaartbladen.125,d28gn,,,"POLYGON ((250000 481250, 240000 481250, 240000 487500, 250000 487500, 250000 481250))"
dtb_kaartbladen.126,d29cn,,,"POLYGON ((270000 481250, 260000 481250, 260000 487500, 270000 487500, 270000 481250))"
dtb_kaartbladen.127,d25cz,,,"POLYGON ((110000 475000, 100000 475000, 100000 481250, 110000 481250, 110000 475000))"
dtb_kaartbladen.128,d25dz,,,"POLYGON ((120000 475000, 110000 475000, 110000 481250, 120000 481250, 120000 475000))"
dtb_kaartbladen.129,d25gz,,,"POLYGON ((130000 475000, 120000 475000, 120000 481250, 130000 481250, 130000 475000))"
dtb_kaartbladen.130,d25hz,,,"POLYGON ((140000 475000, 130000 475000, 130000 481250, 140000 481250, 140000 475000))"
dtb_kaartbladen.131,d26cz,,,"POLYGON ((150000 475000, 140000 475000, 140000 481250, 150000 481250, 150000 475000))"
dtb_kaartbladen.132,d26dz,,,"POLYGON ((160000 475000, 150000 475000, 150000 481250, 160000 481250, 160000 475000))"
dtb_kaartbladen.133,d26gz,,,"POLYGON ((170000 475000, 160000 475000, 160000 481250, 170000 481250, 170000 475000))"
dtb_kaartbladen.134,d27dz,,,"POLYGON ((200000 475000, 190000 475000, 190000 481250, 200000 481250, 200000 475000))"
dtb_kaartbladen.135,d27gz,,,"POLYGON ((210000 475000, 200000 475000, 200000 481250, 210000 481250, 210000 475000))"
dtb_kaartbladen.136,d28cz,,,"POLYGON ((230000 475000, 220000 475000, 220000 481250, 230000 481250, 230000 475000))"
dtb_kaartbladen.137,d28dz,,,"POLYGON ((240000 475000, 230000 475000, 230000 481250, 240000 481250, 240000 475000))"
dtb_kaartbladen.138,d28gz,,,"POLYGON ((250000 475000, 240000 475000, 240000 481250, 250000 481250, 250000 475000))"
dtb_kaartbladen.139,d28hz,,,"POLYGON ((260000 475000, 250000 475000, 250000 481250, 260000 481250, 260000 475000))"
dtb_kaartbladen.140,d29cz,,,"POLYGON ((270000 475000, 260000 475000, 260000 481250, 270000 481250, 270000 475000))"
dtb_kaartbladen.141,d30fn,,,"POLYGON ((100000 468750, 90000 468750, 90000 475000, 100000 475000, 100000 468750))"
dtb_kaartbladen.142,d31an,,,"POLYGON ((110000 468750, 100000 468750, 100000 475000, 110000 475000, 110000 468750))"
dtb_kaartbladen.143,d31en,,,"POLYGON ((130000 468750, 120000 468750, 120000 475000, 130000 475000, 130000 468750))"
dtb_kaartbladen.144,d32an,,,"POLYGON ((150000 468750, 140000 468750, 140000 475000, 150000 475000, 150000 468750))"
dtb_kaartbladen.145,d32bn,,,"POLYGON ((160000 468750, 150000 468750, 150000 475000, 160000 475000, 160000 468750))"
dtb_kaartbladen.146,d32en,,,"POLYGON ((170000 468750, 160000 468750, 160000 475000, 170000 475000, 170000 468750))"
dtb_kaartbladen.147,d33bn,,,"POLYGON ((200000 468750, 190000 468750, 190000 475000, 200000 475000, 200000 468750))"
dtb_kaartbladen.148,d16dz,,,"POLYGON ((200000 525000, 190000 525000, 190000 531250, 200000 531250, 200000 525000))"
dtb_kaartbladen.149,d19en,,,"POLYGON ((130000 518750, 120000 518750, 120000 525000, 130000 525000, 130000 518750))"
dtb_kaartbladen.150,d22bn,,,"POLYGON ((240000 518750, 230000 518750, 230000 525000, 240000 525000, 240000 518750))"
dtb_kaartbladen.151,d22en,,,"POLYGON ((250000 518750, 240000 518750, 240000 525000, 250000 525000, 250000 518750))"
dtb_kaartbladen.152,d22fn,,,"POLYGON ((260000 517500, 250000 517500, 250000 518750, 250000 525000, 260000 525000, 260000 517500))"
dtb_kaartbladen.153,d23an,,,"POLYGON ((270000 517500, 260000 517500, 260000 525000, 270000 525000, 270000 517500))"
dtb_kaartbladen.154,d19dz,,,"POLYGON ((120000 500000, 110000 500000, 110000 506250, 120000 506250, 120000 500000))"
dtb_kaartbladen.155,d20hz,,,"POLYGON ((180000 500000, 170000 500000, 170000 506250, 180000 506250, 180000 500000))"
dtb_kaartbladen.156,d22gz,,,"POLYGON ((250000 500000, 240000 500000, 240000 506250, 250000 506250, 250000 500000))"
dtb_kaartbladen.157,d26fn,,,"POLYGON ((180000 493750, 170000 493750, 170000 500000, 180000 500000, 180000 493750))"
dtb_kaartbladen.158,d28an,,,"POLYGON ((230000 493750, 220000 493750, 220000 500000, 230000 500000, 230000 493750))"
dtb_kaartbladen.159,d28en,,,"POLYGON ((250000 493750, 240000 493750, 240000 500000, 250000 500000, 250000 493750))"
dtb_kaartbladen.160,d28fn,,,"POLYGON ((260000 493750, 250000 493750, 250000 500000, 260000 500000, 260000 493750))"
dtb_kaartbladen.161,d29an,,,"POLYGON ((270000 493750, 260000 493750, 260000 500000, 270000 500000, 270000 493750))"
dtb_kaartbladen.162,d24fz,,,"POLYGON ((100000 487500, 95500 487500, 95500 493750, 100000 493750, 100000 487500))"
dtb_kaartbladen.163,d26ez,,,"POLYGON ((170000 487500, 160000 487500, 160000 493750, 170000 493750, 170000 487500))"
dtb_kaartbladen.164,d28fz,,,"POLYGON ((260000 487500, 250000 487500, 250000 493750, 260000 493750, 260000 487500))"
dtb_kaartbladen.165,d29az,,,"POLYGON ((270000 487500, 260000 487500, 260000 493750, 270000 493750, 270000 487500))"
dtb_kaartbladen.166,d24hn,,,"POLYGON ((100000 481250, 90000 481250, 90000 487500, 95500 487500, 100000 487500, 100000 481250))"
dtb_kaartbladen.167,d27hn,,,"POLYGON ((220000 481250, 210000 481250, 210000 487500, 220000 487500, 220000 481250))"
dtb_kaartbladen.168,d28hn,,,"POLYGON ((260000 481250, 250000 481250, 250000 487500, 260000 487500, 260000 481250))"
dtb_kaartbladen.169,d24hz,,,"POLYGON ((100000 475000, 90000 475000, 90000 481250, 100000 481250, 100000 475000))"
dtb_kaartbladen.170,d26hz,,,"POLYGON ((180000 475000, 170000 475000, 170000 481250, 180000 481250, 180000 475000))"
dtb_kaartbladen.171,d27cz,,,"POLYGON ((190000 475000, 180000 475000, 180000 481250, 190000 481250, 190000 475000))"
dtb_kaartbladen.172,d27hz,,,"POLYGON ((220000 475000, 210000 475000, 210000 481250, 220000 481250, 220000 475000))"
dtb_kaartbladen.173,d30en,,,"POLYGON ((90000 468750, 80000 468750, 80000 475000, 90000 475000, 90000 468750))"
dtb_kaartbladen.174,d31bn,,,"POLYGON ((120000 468750, 110000 468750, 110000 475000, 120000 475000, 120000 468750))"
dtb_kaartbladen.175,d31fn,,,"POLYGON ((140000 468750, 130000 468750, 130000 475000, 140000 475000, 140000 468750))"
dtb_kaartbladen.176,d32fn,,,"POLYGON ((180000 468750, 170000 468750, 170000 475000, 180000 475000, 180000 468750))"
dtb_kaartbladen.177,d33an,,,"POLYGON ((190000 468750, 180000 468750, 180000 475000, 190000 475000, 190000 468750))"
dtb_kaartbladen.178,d33en,,,"POLYGON ((210000 468750, 200000 468750, 200000 475000, 210000 475000, 210000 468750))"
dtb_kaartbladen.179,d33fn,,,"POLYGON ((220000 468750, 210000 468750, 210000 475000, 220000 475000, 220000 468750))"
dtb_kaartbladen.180,d34an,,,"POLYGON ((230000 468750, 220000 468750, 220000 475000, 230000 475000, 230000 468750))"
dtb_kaartbladen.181,d34bn,,,"POLYGON ((240000 468750, 230000 468750, 230000 475000, 240000 475000, 240000 468750))"
dtb_kaartbladen.182,d34en,,,"POLYGON ((250000 468750, 240000 468750, 240000 475000, 250000 475000, 250000 468750))"
dtb_kaartbladen.183,d34fn,,,"POLYGON ((260000 468750, 250000 468750, 250000 475000, 260000 475000, 260000 468750))"
dtb_kaartbladen.184,d35an,,,"POLYGON ((270000 468750, 260000 468750, 260000 475000, 270000 475000, 270000 468750))"
dtb_kaartbladen.185,d30ez,,,"POLYGON ((90000 462500, 80000 462500, 80000 468750, 90000 468750, 90000 462500))"
dtb_kaartbladen.186,d30fz,,,"POLYGON ((100000 462500, 90000 462500, 90000 468750, 100000 468750, 100000 462500))"
dtb_kaartbladen.187,d31az,,,"POLYGON ((110000 462500, 100000 462500, 100000 468750, 110000 468750, 110000 462500))"
dtb_kaartbladen.188,d31ez,,,"POLYGON ((130000 462500, 120000 462500, 120000 468750, 130000 468750, 130000 462500))"
dtb_kaartbladen.189,d31fz,,,"POLYGON ((140000 462500, 130000 462500, 130000 468750, 140000 468750, 140000 462500))"
dtb_kaartbladen.190,d32az,,,"POLYGON ((150000 462500, 140000 462500, 140000 468750, 150000 468750, 150000 462500))"
dtb_kaartbladen.191,d32bz,,,"POLYGON ((160000 462500, 150000 462500, 150000 468750, 160000 468750, 160000 462500))"
dtb_kaartbladen.192,d32ez,,,"POLYGON ((170000 462500, 160000 462500, 160000 468750, 170000 468750, 170000 462500))"
dtb_kaartbladen.193,d32fz,,,"POLYGON ((180000 462500, 170000 462500, 170000 468750, 180000 468750, 180000 462500))"
dtb_kaartbladen.194,d33az,,,"POLYGON ((190000 462500, 180000 462500, 180000 468750, 190000 468750, 190000 462500))"
dtb_kaartbladen.195,d33bz,,,"POLYGON ((200000 462500, 190000 462500, 190000 468750, 200000 468750, 200000 462500))"
dtb_kaartbladen.196,d33ez,,,"POLYGON ((210000 462500, 200000 462500, 200000 468750, 210000 468750, 210000 462500))"
dtb_kaartbladen.197,d33fz,,,"POLYGON ((220000 462500, 210000 462500, 210000 468750, 220000 468750, 220000 462500))"
dtb_kaartbladen.198,d34az,,,"POLYGON ((230000 462500, 220000 462500, 220000 468750, 230000 468750, 230000 462500))"
dtb_kaartbladen.199,d34bz,,,"POLYGON ((240000 462500, 230000 462500, 230000 468750, 240000 468750, 240000 462500))"
dtb_kaartbladen.200,d34ez,,,"POLYGON ((250000 462500, 240000 462500, 240000 468750, 250000 468750, 250000 462500))"
dtb_kaartbladen.201,d34fz,,,"POLYGON ((260000 462500, 250000 462500, 250000 468750, 260000 468750, 260000 462500))"
dtb_kaartbladen.202,d35az,,,"POLYGON ((270000 462500, 260000 462500, 260000 468750, 270000 468750, 270000 462500))"
dtb_kaartbladen.203,d30gn,,,"POLYGON ((90000 456250, 80000 456250, 80000 462500, 90000 462500, 90000 456250))"
dtb_kaartbladen.204,d30hn,,,"POLYGON ((100000 456250, 90000 456250, 90000 462500, 100000 462500, 100000 456250))"
dtb_kaartbladen.205,d31cn,,,"POLYGON ((110000 456250, 100000 456250, 100000 462500, 110000 462500, 110000 456250))"
dtb_kaartbladen.206,d31gn,,,"POLYGON ((130000 456250, 120000 456250, 120000 462500, 130000 462500, 130000 456250))"
dtb_kaartbladen.207,d31hn,,,"POLYGON ((140000 456250, 130000 456250, 130000 462500, 140000 462500, 140000 456250))"
dtb_kaartbladen.208,d32cn,,,"POLYGON ((150000 456250, 140000 456250, 140000 462500, 150000 462500, 150000 456250))"
dtb_kaartbladen.209,d32dn,,,"POLYGON ((160000 456250, 150000 456250, 150000 462500, 160000 462500, 160000 456250))"
dtb_kaartbladen.210,d32gn,,,"POLYGON ((170000 456250, 160000 456250, 160000 462500, 170000 462500, 170000 456250))"
dtb_kaartbladen.211,d33dn,,,"POLYGON ((200000 456250, 190000 456250, 190000 462500, 200000 462500, 200000 456250))"
dtb_kaartbladen.212,d33gn,,,"POLYGON ((210000 456250, 200000 456250, 200000 462500, 210000 462500, 210000 456250))"
dtb_kaartbladen.213,d33hn,,,"POLYGON ((220000 456250, 210000 456250, 210000 462500, 220000 462500, 220000 456250))"
dtb_kaartbladen.214,d34gn,,,"POLYGON ((250000 456250, 240000 456250, 240000 462500, 250000 462500, 250000 456250))"
dtb_kaartbladen.215,d30gz,,,"POLYGON ((90000 450000, 80000 450000, 80000 456250, 90000 456250, 90000 450000))"
dtb_kaartbladen.216,d30hz,,,"POLYGON ((100000 450000, 90000 450000, 90000 456250, 100000 456250, 100000 450000))"
dtb_kaartbladen.217,d31cz,,,"POLYGON ((110000 450000, 100000 450000, 100000 456250, 110000 456250, 110000 450000))"
