Kenteken,Brandstof volgnummer,Brandstof omschrijving,Brandstofverbruik buiten de stad,Brandstofverbruik gecombineerd,Brandstofverbruik stad,CO2 uitstoot gecombineerd,CO2 uitstoot gewogen,Geluidsniveau rijdend,Geluidsniveau stationair,Emissieklasse,Milieuklasse EG Goedkeuring (licht),Milieuklasse EG Goedkeuring (zwaar),Uitstoot deeltjes (licht),Uitstoot deeltjes (zwaar),Nettomaximumvermogen,Nominaal continu maximumvermogen,Roetuitstoot,Toerental geluidsniveau,Emissie deeltjes type1 wltp,Emissie co2 gecombineerd wltp,Emissie co2 gewogen gecombineerd wltp,Brandstof verbruik gecombineerd wltp,Brandstof verbruik gewogen gecombineerd wltp,Elektrisch verbruik enkel elektrisch wltp,Actie radius enkel elektrisch wltp,Actie radius enkel elektrisch stad wltp,Elektrisch verbruik extern opladen wltp,Actie radius extern opladen wltp,Actie radius extern opladen stad wltp,Max vermogen 15 minuten,Max vermogen 60 minuten,Netto max vermogen elektrisch,Klasse hybride elektrisch voertuig,Opgegeven maximum snelheid,Uitlaatemissieniveau
0005EB,1,Benzine,,,,,,,,0,,,,,21.00,,,,,,,,,,,,,,,,,,,,EURO 0
0005PS,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0005RZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0005SM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0006AR,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0006EN,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0006EN,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0006GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,
0006NA,1,Benzine,,,,,,,,0,,,,,43.00,,,,,,,,,,,,,,,,,,,,
0006NF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0006SN,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0007PF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0007XD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0007XK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0008JG,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0008JK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0008NU,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0008SZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0008TL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0009DE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0009GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0009NN,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0009PH,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0009PT,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0009SL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0010GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0010HX,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0010JZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0010UT,1,Diesel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0011AF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0011EE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0011GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0011JK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0011UE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0011UE,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0011US,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0011VK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0011ZX,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0012GM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0012UJ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0012VM,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0012VM,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0012XK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0013BR,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0013GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
0013HX,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0013JF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0013JK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0013PL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0013ZB,1,LPG,,,,,,,,0,,,,,64.00,,,,,,,,,,,,,,,,,,,,
0014EE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0014UB,1,Benzine,,,,,,,,0,,,,,21.00,,,,,,,,,,,,,,,,,,,,
0014VL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0015DG,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0015EP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0015NN,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0015NZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0015PS,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0015PT,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0015PT,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0015XT,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0015ZX,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0015ZZ,1,Diesel,,,,,,85,92,4,,,,,448.00,,1.60,1350,,,,,,,,,,,,,,,,,
0016EU,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0016FF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0016HK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0016NF,1,Benzine,,,,,,,,0,,,,,52.00,,,,,,,,,,,,,,,,,,,,
0016PF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0016PU,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0016ZD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0017EE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0017GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0017JU,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0017UP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0017VN,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0018GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0018UA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0018XM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0019GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0019SL,1,Benzine,,,,,,,,0,,,,,99.00,,,,,,,,,,,,,,,,,,,,
0019SL,2,LPG,,,,,,,,0,,,,,99.00,,,,,,,,,,,,,,,,,,,,
001GV0,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
001GV1,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,
001GV3,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
001GV4,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,
0020GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0020PD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0020TR,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0020XF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0021JK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0021XZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0021ZT,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0022HZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0022JK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0022MK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0022NF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0022TU,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0022XD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0022ZJ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0022ZP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0023HJ,1,Benzine,,,,,,,,0,,,,,165.00,,,,,,,,,,,,,,,,,,,,
0023JB,1,LPG,,,,,,,,0,,,,,96.00,,,,,,,,,,,,,,,,,,,,
0023JB,2,Benzine,,,,,,,,0,,,,,96.00,,,,,,,,,,,,,,,,,,,,
0023JK,1,Benzine,,,,,,,,0,,,,,66.00,,,,,,,,,,,,,,,,,,,,
0023NF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0023PZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0023TU,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0023UR,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0024VK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0024VP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0024XK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0025PL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0025PL,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0025XD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0025XF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0025XM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0025ZL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0025ZR,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0025ZZ,1,Diesel,,,,,,82,84,6,,595/2009*627/2014A,,,375.00,,0.52,1275,,,,,,,,,,,,,,,,,EURO VI A
0026FN,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0026FN,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0026JB,1,Benzine,,,,,,,,0,,,,,96.00,,,,,,,,,,,,,,,,,,,,
0026JB,2,LPG,,,,,,,,0,,,,,96.00,,,,,,,,,,,,,,,,,,,,
0026JE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0026NN,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0026NR,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0026PS,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0026SM,1,Benzine,,,,,,,,0,,,,,23.00,,,,,,,,,,,,,,,,,,,,
0026VM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0026VM,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0027FD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0027XM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0028AH,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0028AS,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0028HL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0028VK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0028VR,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0028VR,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0028XK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0028ZR,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0029DR,1,Diesel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0029GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0029XB,1,Benzine,,,,,,,,0,,,,,29.00,,,,,,,,,,,,,,,,,,,,EURO 0
0029XM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0029XU,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
002GV0,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,
002GV1,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,
002GV2,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
002GV3,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
002GV4,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0030GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0030ZL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0030ZP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0031DM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0031GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0031PT,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0031PT,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0031PX,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0031ZA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0032AT,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0032GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0032PS,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0032ZZ,1,Diesel,,,,,,,,6,,,,,450.00,,1.20,,,,,,,,,,,,,,,,,,
0033GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0033JK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0033RB,1,Diesel,,,,,,,,0,,,,,218.00,,,,,,,,,,,,,,,,,,,,EURO 0
0033TG,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0033UP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0033VG,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0034EZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0034GB,1,Diesel,,,,,,,,0,,,,,63.00,,,,,,,,,,,,,,,,,,,,
0034GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
0034JK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0034JK,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0034TR,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0034XA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0034XE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0035MU,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0035MU,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0035NA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0035PL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0035PS,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0035ZV,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0036GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0036PH,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0036VX,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0036VX,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0036XA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0036XF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0036ZJ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0037GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
0037XF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0037XF,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0038EP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0038VX,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0039PF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0039XX,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
003GV0,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,
003GV1,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,
003GV2,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
003GV3,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
003GV4,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,
0040GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,
0040PF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0040SL,1,Diesel,,,,,,,,0,,,,,92.00,,,,,,,,,,,,,,,,,,,,
0040VA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0040VN,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0040XK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0041EB,1,Benzine,,,,,,,,0,,,,,40.00,,,,,,,,,,,,,,,,,,,,
0041VF,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0041VF,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0042BV,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0042FE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0042NV,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0042XZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0043AT,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0043GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
0044FN,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0044FN,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0044GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0044NF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0044XK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0045FN,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0045GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0045NE,1,Benzine,,,,,,,,0,,,,,59.00,,,,,,,,,,,,,,,,,,,,
0045PF,1,Benzine,,,,,,,,0,,,,,49.00,,,,,,,,,,,,,,,,,,,,
0045PF,2,LPG,,,,,,,,0,,,,,49.00,,,,,,,,,,,,,,,,,,,,
0045UE,1,Benzine,,,,,,,,0,,,,,34.00,,,,,,,,,,,,,,,,,,,,
0045UJ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0046DK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0046FE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0046FN,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0046FN,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0046GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0046JK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0046RB,1,Benzine,,,,,,,,0,,,,,38.00,,,,,,,,,,,,,,,,,,,,
0046RL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0046UJ,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0046UJ,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0046XE,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0046XF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0047FN,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0047NU,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
