OBJECTID,NAAM,DETAIL,CATEGORIE,MUTATIEDATUM,BOOGSTRAAL,GEOSUBCODE_PVR,KM_GEOCODE_PVR,SPOORNAAM_PVR,GEOSUBCODE,KM_GEOCODE,SPOORNAAM,RECHTSTAND,BINNENZIJDEBOOG,POSITIONELE_NAUWKEURIGHEID_MM,KWALITEIT,PROCESSTATUS,OBSTAKEL_ID,RECHTSTAND_VERTICAAL,SNELHEID,REF_FUNC_SPOORTAK_NAAM_LANG,VERKANTING,BOOGSTRAAL_VERTICAAL,MEETDATUM,REF_FUNCTIONELE_SPOORTAK_PUIC,Shape__Length
63,531-2022-25-1716,,Rijdraad,2022/10/05 11:46:13+00,2516,531_c,35.213,7,531_c,35.213665,7,N,N,250,Hoog,Voorlopig,309693,Y,80,531_2679R_34.7,4.24399158934153e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,e4a8d30c-0e51-4ccb-8f1a-b4b9359724ed,0.269156088543432
64,535-2022-27-1135,,Bovenleiding,2022/11/07 18:55:11+00,9000,535_a,5.308,598,535_a,5.306272,s598-w3229R,Y,N,250,Hoog,Voorlopig,312558,N,140,589_3203R_4.9,4.24402396052264e-314,4.24402188989352e-314,2022/07/06 00:00:00+00,f32765b3-142e-4d7c-9175-56125fb6d558,3.83589950337597
65,133-2018-41-3880,,Paal,2020/03/05 14:42:46+00,9000,133_a,15.048,s123-w1083Av,133_a,15.049156,s123-w1083AV,Y,N,250,Hoog,Definitief,208710,,,133_1077BV_14.6,,,2018/10/11 00:00:00+00,38a38817-f7ee-4296-9adb-e6ef1b999b69,1.12216086190884
66,163-2021-44-0351,,Rijdraad,2021/11/18 18:15:21+00,507,163__,48.362,sHB-sHA,163__,48.362757,sHB-sHA,N,N,250,Hoog,Voorlopig,284469,Y,60,555_387V_84.4,4.24402393137277e-314,4.24399602852136e-314,2021/11/01 00:00:00+00,2e889544-fbda-4f64-aa63-53c63713db6e,0.285954541841881
67,508-2022-17-1380,,Rijdraad,2022/09/21 10:56:44+00,9000,508__,91.726,9,508__,91.725043,9,Y,N,250,Hoog,Voorlopig,306918,Y,80,508_2115V_91.6,4.24402396002858e-314,4.24399602852136e-314,2022/04/25 00:00:00+00,e0598933-56fe-460a-8b66-1ab26beab85a,0.219146070008111
68,531-2022-25-2944,,Bovenleiding,2023/01/26 16:21:22+00,1362,531_c,34.019,226,531_c,34.018343,226,N,N,250,Hoog,Voorlopig,316609,N,80,531_2347L_34.3,4.24399159329405e-314,4.24402058852461e-314,2022/06/25 00:00:00+00,33fe1ab3-d805-49b8-b6b8-ee26a180ac35,2.41522773253373
69,508-2022-05-0062,,Rijdraad,2022/12/21 09:12:31+00,4107,508__,90.578,23,508__,90.577895,23,N,N,250,Hoog,Definitief,314889,Y,1,508_2013S_90.3,4.24402396002858e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,de8c3c36-08de-442d-9ff7-50a4bab8f409,0.545124756363165
70,163-2021-40-8204,,Rijdraad,2022/03/16 09:32:40+00,0,163__,47.565,LB,163__,47.587522,LB,Y,N,250,Hoog,Voorlopig,300905,Y,130,555_379V_84.4,4.24402395904045e-314,4.24399602852136e-314,2021/10/07 10:00:00+00,5df5d91b-39e8-4fac-a500-e3a16457fcf0,0.284887697172061
71,133-2018-41-3888,,Paal,2020/03/05 14:42:14+00,9000,133_a,14.969,s123-w1083Av,133_a,14.969868,s123-w1083AV,Y,N,250,Hoog,Definitief,208640,,,133_1077BV_14.6,,,2018/10/11 00:00:00+00,38a38817-f7ee-4296-9adb-e6ef1b999b69,1.12268339259116
72,133-2018-41-2442,,Paal,2020/07/22 05:58:56+00,760,133_a,14.399,101,133_a,14.4,101,N,N,250,Hoog,Definitief,230979,,,133_1065L_13.9,,,2018/10/09 00:00:00+00,00f0cdba-1cd6-4286-a86b-baf0cc6f4107,2.0642310917143
73,508-2022-05-0600,,Rijdraad,2022/12/21 14:31:28+00,2380,508__,91.727,7,508__,91.725926,7,N,N,250,Hoog,Definitief,316073,N,80,508_2109R_91.5,4.24399158291868e-314,4.24399476470144e-314,2022/02/05 00:00:00+00,2dfb3137-4240-41b8-9821-cab0c6abc4a2,0.233040768965432
74,099-2022-25-1022,,Rijdraad,2022/11/07 13:37:55+00,9000,099__,3.238,BN,099__,3.238479,BN,Y,N,250,Hoog,Voorlopig,311373,Y,130,099_1021AV_6.1,4.24399158242461e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,3c298e54-871a-43b9-afe1-4540f0ff3c0a,0.269432737431813
75,047-2022-05-0052,,Bovenleiding,2022/06/29 10:05:01+00,4469,047__,59.61,NW,047__,59.609723,NW,N,N,250,Hoog,Voorlopig,302919,N,1,514_49BS_65.3,4.24399159428219e-314,4.24399306610374e-314,2022/02/05 00:00:00+00,de4ae7c5-2a2d-4770-a8e0-aacf27a781aa,3.10209106894043
76,047-2022-05-1102,,Bovenleiding,2022/11/15 13:25:49+00,9000,047__,59.705,WN,047__,59.705425,WN,Y,N,250,Hoog,Voorlopig,312941,Y,130,514_49AV_65.2,4.24399158884746e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,c95bc0f4-6a92-4ee7-a3fe-744321b9be3c,0.489652938314476
77,133-2018-41-3801,,Paal,2020/03/05 14:58:35+00,9000,133_a,15.527,HY,133_a,15.527745,HY,Y,N,250,Hoog,Definitief,208937,,,133_1083AL_15.1,,,2018/10/11 00:00:00+00,934abd36-f04d-4630-8efb-5bb23ee54c81,1.00725220277744
78,531-2022-25-1774,,Bovenleiding,2022/10/05 11:46:13+00,2188,531_c,35.215,7,531_c,35.21536,7,N,N,250,Hoog,Voorlopig,309751,Y,80,531_2679R_34.7,4.24399159082373e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,e4a8d30c-0e51-4ccb-8f1a-b4b9359724ed,0.389221016904278
79,133-2018-41-2945,,Paal,2020/07/22 05:53:39+00,2340,133_a,14.577,1073B,133_a,14.578134,1073B,N,Y,250,Hoog,Definitief,230868,,,133_1067AR_13.9,,,2018/10/09 00:00:00+00,80bdd90e-003d-427e-bd52-9e59bc43608e,1.16233600993861
80,512-2022-11-0022,,Bovenleiding,2022/06/29 10:22:02+00,921,512_a,11.512,w445l-s96,512_a,11.511751,w445L-s96,N,N,250,Hoog,Voorlopig,303960,Y,80,512_445L_11.4,4.24402395953451e-314,4.24399602852136e-314,2022/03/20 00:00:00+00,abcf16f7-702e-40e2-a4e8-d751c709abee,1.59661955393262
81,109-2022-16-1447,,Rijdraad,2022/09/21 10:45:09+00,9000,109__,30.576,VR,109__,30.575487,VR,Y,N,250,Hoog,Voorlopig,305797,Y,100,109_243AL_31.0,4.24399158193054e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,3e1aeee2-abd1-4265-a325-1297b1c80778,0.277497747738608
