Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Mendix Technology B.V.;;;;;;;2;2
Michael Bailey Associates Limited;;;;4;;;;4
Micro Focus N.V.;;;;1;;;;1
Micromacro Consultants B.V.;;;1;;;;;1
MORE Apps B.V.;;;1;;;;;1
Move Next B.V.;;;;;;;1;1
MultiCopy Utrecht Centrum B.V.;;;;;;1;;1
MWM2 B.V.;;;1;;;;;1
MyForms B.V.;;;2;;;;;2
N200.Com B.V.;;;1;;;;;1
Networking4all B.V.;;;;1;;;;1
Neuteboom Automatisering B.V.;2;;;;;;;2
New Nexus B.V.;;;;5;;;;5
Nieuwland Opleidingen B.V.;;;;2;;;1;2
Nováccent Group B.V.;;;;4;;;;4
Nsecure B.V.;;;;;;1;1;1
O&i management consultants B.V.;;;;3;;;;3
OCLC B.V.;;;;3;;;;3
Officeheart B.V.;;;2;5;;;;5
OGZ B.V.;;;;;1;;;1
Onestopsourcing B.V.;;;;7;;;3;7
Ontwerpwerk B.V.;;;;;;;1;1
Ordina Technologie & Competenties B.V.;;;;8;;;5;8
Ormer ICT Outsourcing B.V.;;;;4;;;;4
Pardon Consult;;;;1;;;;1
PCextreme;;;;1;;;;1
Picturae B.V.;;;;;4;;;4
Picturae ICT B.V.;;;;2;;;2;3
Planon B.V.;;;;3;;;1;3
Plusine Systems B.V.;;;;1;;;;1
Pointgroup B.V.;;;;3;;;;3
PQR B.V.;4;3;4;6;;;;6
Prisma-IT B.V.;;;;1;;;2;2
Protinus IT B.V.;7;7;;2;;2;1;7
Q Delft B.V.;;;;;;;2;2
QNH Consulting Midden B.V.;;;;3;;;;3
QSM Nederland B.V.;;;;2;;;;2
QUBE ICT Solutions B.V.;;;;1;;;1;1
Quintor B.V.;;;;4;;;;4
QuoVadis Trustlink B.V.;;;;2;;;;2
RAAP Archeolog. Adviesbureau Oost Nederland;;;2;;;;;2
Readsoft B.V.;;;;1;;;;1
ReadSpeaker B.V.;;;;;;;1;1
Redhotminute B.V.;;1;;1;;;;1
Reflex Online B.V.;;;1;2;;;;2
Reijers Communicatie;;;1;;;;;1
Reisinformatiegroep B.V.;;;1;;;;1;1
Rem Automatisering B.V.;;;;2;;;;2
Repromat B.V.;;;2;;;;;2
Ricoh Nederland B.V.;;1;;;;;5;5
ROHDE & GRAHL B.V.;1;;;;;;;1
Rotaform Systeemtechniek;;2;;;;;;2
Sander Tiekstra Webontwikkeling;;;;3;;;;3
SAP Nederland B.V.;;;;5;;;5;6
SCC Services B.V.;7;5;;;;;;7
Scholten Awater B.V.;4;5;;4;2;;2;6
Schuttelaar & Partners, Maatsch. Comm. B.V.;;;;;;;1;1
Scope Business Media B.V.;;;;2;;;;2
SDL Tridion B.V.;;;;1;;;;1
Sectra Communications B.V.;;;;;;2;;2
Serena Software Benelux B.V.B.A.;;;;2;;;;2
SLB Diensten B.V.;;;1;;;;;1
SLTN B.V.;;7;4;6;;;;7
SmartDocuments Europe B.V.;;;;2;;;;2
Sogeti Nederland B.V.;;;;5;;;3;6
Source Automation;;;;5;;;;5
Stichting Administratiekantoor BIS;;2;;;;;;2
Stichting Administratiekantoor Nedstat;;;;1;;;;1
Stichting Bartiméus Sonneheerdt;;;;1;;;;1
Stichting Beheer Derdengelden X Pact;;;;;;;2;2
Stichting Reprorecht;;;;;;1;;1
Sumatra Software B.V.;;;;1;;;;1
SURFmarket;;;2;2;;;;3
SURFnet B.V.;;;;2;4;4;2;5
Symantec B.V.;;;;1;;;;1
Synobsys Nederland B.V.;;;;4;;;;4
Talent123;;;;4;;;;4
Tangelo Software B.V.;;;1;;;;;1
Target imedia B.V.;;;;2;;;;2
Tblox B.V.;;;2;;;;;2
TCN SIG Telehousing Exploitatie B.V.;1;3;;;;;;3
Tele2 Nederland B.V.;;;;;;4;1;4
Telegrootgebruik B.V.;3;;;;;6;1;6
Tele'Train B.V.;;1;;;;;;1
Telindus-ISIT B.V.;7;3;;;;;;7
Ter Hoeven & Partners B.V.;;2;;;;;;2
Terremark Amsterdam B.V.;;;;;;;1;1
TES Installatietechniek Tilburg B.V.;;;;;;1;;1
Tessella;;;;1;;;;1
Textinfo B.V.;;;;;;;1;1
The Fixables B.V.;;;;;;1;;1
The Implementation Group B.V.;;;;1;;;;1
Three-PM;;;;;;;2;2
THT Telematica B.V.;;;;;;2;;2
Tizin B.V.;;;;2;;;;2
T-Mobile Netherlands B.V.;;;;;;1;;1
TOPdesk Nederland B.V.;;;1;1;;;;1
Total Identity;;;;2;;;;2
Totality Informatisering B.V.;;;2;9;;;7;10
TouchFix;;;;;;1;;1
Transip B.V.;;;;;;;1;1
Tremani;;;;;;;1;1
Trezorix B.V.;;;;2;;;2;3
TriMM Multimedia B.V.;;;1;;;;;1
Triple P Nederland B.V.;;;;;;3;2;4
TweakPhone;;;;;;1;1;1
twoppy B.V.;;;1;;;;;1
Uniscape Telematica B.V.;;;;;;1;;1
Unisys Nederland N.V.;;;1;4;;;2;4
USoft B.V.;;;;4;;;;4
Uw Kabelpartner;;;;;;1;;1
Vancis B.V.;;;;;2;;;2
Veenman B.V.;;;;1;;3;;3
Ventus Information Management B.V.;;;;4;;;;4
Verint Netherlands B.V.;;;;1;;;;1
Viadesk;;;;;;;2;2
Vodafone;1;;;;;5;;5
Vodafone Libertel B.V.;2;2;;;;4;;4
Waters Chromatography B.V.;;1;;;;;;1
Webservices.nl B.V.;;;;1;;;;1
Webstate B.V.;;2;2;;;;2;3
Weiss Enet environmental simulation;1;;;;;;;1
Wellnomics B.V.;;;;;1;;;1
Widexs;;;;3;;;2;3
Worldline B.V.;1;;;;;;;1
Xerox (Nederland) B.V.;1;4;;;;1;;4
Xolphin SSL Certificaten;;;1;1;;;;1
XS4ALL Internet B.V.;;;;;;1;1;1
Yacht;;;;7;;;;7
Yenlo International Holding B.V.;;;;2;;;;2
YNNO B.V.;;;;;;;2;2
Your Source;;;;2;;;1;2
Zentrys Netherlands B.V.;;1;;;;;;1
Zicht Groep B.V.;;;;;1;;;1
Ziggo B.V.;;;1;;2;2;;2
ZyLAB Technologies B.V.;;;;1;;;;1
Eindtotaal;8;8;7;11;7;7;9;12
